Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:32:43.942473 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=If35Kdg0TBsAAAAAAAAAAA%3D%3D&fpstate=tldetail,The Onset,"Sydney NSW, Australia","Job Description

Build software, save the world!

Seriously though, if there was a company capable of world-saving activity it’s this tech start-up whose cutting-edge technology is designed to solve practical problems at scale on land, in the air, in the ocean’s depths, and in space!

They’re looking for a Machine Learning Software Engineer to join their hybrid Sydney office to help the Machine Learning team build intelligence to drive all unmanned systems moving forward.

They have offices abroad too so if you’re keen for some international travel, get your passport ready because this company is a serious advocate of having its employees take advantage of global office-hopping.

The role of a lifetime…

You will be instrumental in designing, developing, implementing, and maintaining software that supports the computer vision technologies their clients use to monitor their infrastructure assets.

Coming in with 3+ years of software experience, Python, SDLC experience and a knack for... problem-solving thanks to strong analytical and mathematical skills, you likely come with a piece of paper ascertaining your talent for Computer Science, Maths or Statistics.

Desirables…
• Experienced Machine Learning or Computer Vision
• Background in Computer Science, Mathematics or Statistics
• Experienced working in the cloud

Throw in some awesome company benefits (including a profit share scheme), PTO, and money in the bank (the salary is super competitive)… and why not give Jake a call on 0488 250 441 or email jake@theonset.com.au.
• Sponsorship and remote working unavailable"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:32:44.513484 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=DE4r6S7LijgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Anduril Industries,"Sydney NSW, Australia","Anduril is a defence technology company, bringing Silicon Valley talent and funding to the defence sector. Our technology helps our customers solve their toughest challenges by enabling them to make better, more informed decisions in life-and-death situations. We’ve assembled a diverse team of experts in artificial intelligence, computer vision, sensor fusion, optics, and data analysis that are creating software and hardware solutions to radically evolve the capabilities of the Australia and our allies. If you are passionate about solving problems that have real impact, come join Anduril and build the future of defence.

WHAT YOU’LL DO:
• Develop software to manage and automate the machine learning lifecycle
• Build Data pipelining
• Create Data annotation tooling
• Automation of Model Training
• Model Evaluation and Regression Testing
• Model Validation
• Model Deployment

REQUIRED QUALIFICATIONS:
• B.S. or M.S. in Computer Science or related field
• 3+ years experience developing... production grade software
• Passion for automating machine learning workflows
• Interest in working on challenging engineering problems related to machine learning, computer vision, image and video processing
• Proficiency in Python, Docker, CircleCI and Linux
• Experience or familiarity working with microservices architecture
• Experience with C++
• Ability to obtain an NV2 security clearance

PREFERRED QUALIFICATIONS:
• Automating various aspects of the machine learning lifecycle
• Deploying quality machine learning models in production
• Workflow management tools such as airflow, kubeflow, etc.
• PyTorch, or other deep learning frameworks
• Image processing libraries such as OpenCV
• C++ for edge ML applications
• C++ inference engines such as TensorRT
• Go programming language
• Front-end UI / Javascript
• developing and working with gRPC services
• Multithreading and multiprocessing
• Knowledge of and experience with NixOS ( http://nixos.org )

Anduril is an equal-opportunity employer, and we encourage candidates from all backgrounds to apply. If you are someone passionate to work on problems that matter, we’d love to hear from you"
Full-time,2023-01-08,NA,Senior Machine Learning Engineer,2023-01-08 13:32:45.091470 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=aZy0QHUpAM0AAAAAAAAAAA%3D%3D&fpstate=tldetail,CoTalent,"Sydney NSW, Australia","About The Company

This startup company has received backing from a well recognised multinational brand, so it now has the perks of both a small, intimate business and the security of a mature global brand.

Combining your knowledge of Machine Learning and Python, be in the position to help countless people protect themselves and their families.

The Gig

We are looking for a Senior Machine Learning Engineer who will be responsible for executing the full software development lifecycle (from analysing needs through to testing the new software to ensure it meets the identified needs).

This position works closely with product, operations and data science teams to deliver new features.

You'll Need
• 5yrs+ engineering experience
• 2yrs Python experience
• Extensive experience building API's
• Integration experience
• AWS
• C++ is a bonus
• Advocate of engineering best practices eg unit testing
Benefits
• Above market salary package
• Opportunity for career progression
• Work on a modern... code base
• Remote working OR Hybrid working arrangement (Sydney or Brisbane based office)
• Work on a product that gives back to the community
If this sounds like you, APPLY NOW or send your CV to:

gus@cotalent.com.au"
Full-time,NA,NA,Machine Learning Engineer,2023-01-08 13:32:45.679711 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=pEQDNxdu8AcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Rokt,"Sydney NSW, Australia","About Rokt

Rokt is the global leader in eCommerce technology, helping companies seize the full potential of every transaction moment to grow revenue and acquire new customers at scale. Live Nation, Groupon, Staples, Lands' End, Fanatics, UrbanStems, GoDaddy, Vistaprint and HelloFresh are among the more than 2,500 leading global businesses and advertisers that are using Rokt's solutions to drive more value through every transaction by offering highly relevant messages to their customers at the moment they are most likely to convert.

With our December 2021 Series E raise of USD$325M, Rokt is expanding rapidly and globally – operating in 14 countries across North America, Europe and the Asia-Pacific region with the largest office in NYC and a major R&D hub in Sydney. With more than 50% year-on-year revenue growth and vibrant company culture, Rokt has been listed in ‘Great Places to Work’ in the US and Australia. Our award-winning culture is guided by our eight core values: Smart with... Humility, Conquer New Frontiers, Own the Outcomes, Enjoy the Ride, Force for Good, Raise the Bar, Communicate with Impact, and Disagree then Commit. These values help us attract, engage, and develop the right talent around the globe and ensure we have the right conditions to do our best work. Keen to join a fast-growing company and a vibrant culture? Learn more at rokt.com.

The Rokt engineering team builds best-in-class eCommerce technology that provides personalised and relevant experiences for customers globally and empowers marketers with sophisticated, AI-driven tooling to better understand consumers. Our bespoke platform handles millions of transactions per day and considers billions of data points which gives engineers the opportunity to build technology at scale, collaborate across teams and gain exposure to a wide range of technology. We are expanding rapidly in our major R&D centres in NYC and Sydney. We are passionate about using intelligent systems to improve the transaction moment for retailers everywhere. Come join us and build the future!

About the role

As a Senior Machine Learning Engineer, you are someone who has significant expertise in both machine learning and software engineering. You will be working with our engineering and product teams to design, build and productionise proprietary machine learning models to solve different business challenges including smart bidding, lookalike modelling, forecasting, etc.

Responsibilities
• Collaborate closely with product managers and other engineers to understand business priorities, frame machine learning problems, and architect machine learning solutions.
• Build and productionise machine learning models including data preparation/processing pipelines, machine learning orchestrations, improvements of services performance and reliability and etc.
• Contribute and maintain the high quality of the code base with tests that provide a high level of functional coverage as well as non-functional aspects with load testing, unit testing, integration testing, etc.
• Keep track of emerging tech and trends, research the state-of-art deep learning models, prototype new modelling ideas, and conduct offline and online experiments.
• Share your knowledge by giving brown bags, tech talks, and evangelising appropriate tech and engineering best practices.
• Mentor other team members, facilitate within/across team workshops and lead the agile development.
• Bachelor’s degree in Computer Science, a similar technical field of study or equivalent practical experience.
• 3+ years of industry experience in building production-grade machine learning systems with all aspects of model training, tuning, deploying, serving and monitoring.
• 5+ years of industry experience in software engineering roles and development experience in Python, SQL, Go, and/or other programming languages.
• Strong understanding of software engineering, system design, data engineering and/or cloud architecture.
• Knowledge in at least one of the following areas - Bayesian methods, Econometrics, Reinforcement learning, Gradient boosting machine, Natural language processing, Computer vision, etc.
• Be motivated, and self-driven in a fast (we truly mean fast) paced environment with a proven track record demonstrating impact across several teams and/or organisations.
• Ability to communicate and collaborate effectively with business stakeholders and manage tasks in a timely manner.
• At Rokt we encourage autonomy; teams have complete ownership of their systems including building, running and monitoring. As such, you may be required to be on-call and respond to systems alerts should they arise.
• Ideas, opinions, and the ability to share them through respectful proposals, presentations, and team-wide discussions, An eagerness to work and learn in the open and share your learnings with your teammates.
• Experience in DevOps, MLOps and SRE is a massive plus.
• Experience with Kubernetes, Kubeflow, TFX and Feature Store in a production environment is a massive plus.
• Work with the greatest talent in town. Our recruiting process is tough. We hold a high bar because we have a high-performing, high-velocity culture - we only want the brightest and the best.
• Join a community. We believe the best things happen when we come together to solve complex problems and make meaningful connections with each other through interest groups, sports clubs, and social events.
• Accelerate your career. Develop through our global training events, ‘Level Up’ investment, online training courses, and our fantastic people leaders. Take your career to Rokt’speed - Grow your career in our rapidly growing company.
• Take a break. When you work hard, we know you also need to rest. We offer generous time off and parental leave policies, as well as mental health and wellness days for all employees. We also believe taking time off in sync with one another is important. As such, we shut down our offices every year in late December/early January for two weeks, partially sponsored by the company. We also offer a paid Rokt’star Sabbatical for employees who have been with us for 3 years or more.
• Stay happy and healthy. Enjoy catered lunch every day and healthy snacks in the office. Plus join the gym on us! Rokt offers a monthly allowance to use on a gym membership or online fitness classes. We also provide all Rokt'stars access to free 1:1 coaching, therapy and digital mental wellness resources.
• Become a shareholder. All Rokt’stars have stock options. If we succeed, everyone enjoys the upside.
• See the world! Along with our global all-staff events in amazing locations (Phuket, Thailand in January 2020, Hawaii in May 2022), we also offer generous relocation packages for those interested in moving to another Rokt office. We have cool offices in great cities - New York, Sydney, London, Singapore, and Tokyo.
• Get the best of both worlds with a hybrid workplace. We firmly believe that we are better together - in-person interaction is an important part of our culture and supports our rapid growth through better apprenticeship and career development. We currently work 4 days a week in the office, allowing you to enjoy the best of both worlds (please note: this is subject to change based on the needs of the business and some support roles still require a full-time presence). One week per quarter, you also have the flexibility to work from anywhere.
• We believe in equality. Rokt is an Equal Opportunity Employer and recognises that a diverse workforce is crucial to our success as a business. We would love you to apply for one of our open roles - irrespective of socio-economic status or background, age, gender identity, race, religion, sexual orientation, colour, pregnancy, carer/family responsibilities, national and social origin, political opinion, marital, veteran, or disability status.

Salary Range - $185,000 - $287,500 AUD per year plus equity

#LI-Hybrid"
Full-time,2023-01-08,NA,Senior Machine Learning Engineer (User Trust & Safety) - Open to remote...,2023-01-08 13:32:46.250357 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=HZCl9D-QIBsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Canva,"Sydney NSW, Australia","Canva’s Commitment and Mission

At Canva, we celebrate diversity. We deeply believe that bringing together diversity of thoughts, perspectives and expression is key to building the best product, team and company. We look for many different skills and abilities, as well as how you can enhance Canva and our culture. So, even if you don’t think you quite meet all of the skills listed or tick all the boxes, we’d still love to hear from you!

Our mission at Canva is to empower the world to design and since launching in 2013, we have grown exponentially, amassing over 100+ million monthly active users across 190 different countries and a team of over 3,000 people… and the best bit is that we’ve only achieved 1% of what we know we’re capable of.

Join us and design your future.

Trust & Safety Group
The Trust & Safety (T&S) Group vision is to make Canva the world’s most trusted company for safe design. To safeguard our community, our T&S engineering teams build technologies to prevent... detect, and mitigate abuse and fraud that could compromise the trust people have in Canva, such as unacceptable content, bots, account takeovers, and other abuse vectors. You'll be joining a fast moving team, rapidly building and shipping safe and trustworthy machine learning-driven features to users and staff.

We're looking to grow the team to continue to scale the impact of machine learning across Canva"
Full-time,2023-01-08,NA,Scientific Computing Specialist - Machine Learning,2023-01-08 13:32:46.837898 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=nhV8S_GbnJAAAAAAAAAAAA%3D%3D&fpstate=tldetail,CSIRO,"Sydney NSW, Australia","Acknowledgement of Country

CSIRO acknowledges the Traditional Owners of the land, sea and waters, of the area that we live and work on across Australia. We acknowledge their continuing connection to their culture and pay our respects to their Elders past and present. View our vision towards reconciliation

The Opportunity
• Supportive, rewarding, inclusive and truly flexible environment.
• Innovative and collaborative workplace with fantastic flexibility
• Join CSIRO - Australia's premier research organisation
• 2 positions available one indefinite and one f ixed term contract until 30/06/24

The Scientific Computing (SC) group within the Information Management & Technology function provides end-to-end infrastructure ranging from generic corporate IT systems through to leading-edge High-Performance data processing tools and platforms. The teams manage over 30PB of data at a compounded annual growth rate of ~75%, and a proportionate computational and network fabric including several... Top500 supercomputers, HPC Cloud and a highly versatile and robust corporate hosting platform. Additional services include advanced visualisation, data processing, application support, software delivery, and research software engineering. The capability is highly customer focussed and operates closely in partnership with all areas of CSIRO research.

The Scientific Computing Services group is seeking an additional staff member to meet the needs of users by providing programming support for their computational and data intensive workflows. Under direction from the Machine Learning Technical Leader and Scientific Computing Services Team Leaders, the successful candidate will plan and deliver machine learning capabilities to the organisation.

This is an opportunity to work in a professional and technically challenging environment, supporting a diverse range of applications, to further the use of computation in science discovery.

Work may be required at other CSIRO sites within Australia.

Your duties will include:
• Provide applications support services – focusing on machine learning - as part of the Data Analytics and Visualisation Team. Work activities are expected to cover both computer and data storage systems, and include:
• Development of applications and workflows using machine learning.
• Performance enhancement of selected machine learning applications and workflows.
• Problem solving at a high level for applications and workflows.
• Provide user support services as part of a team for the SC and partner systems. Work activities are expected to include:
• Engaging with researchers to understand needs and deliver against them.
• Effective request tracking and response to user support issues.
• Documentation, including the development and maintenance of locally written user guides for scientific computing.
• Contribute to knowledge sharing within the team by documenting procedures and liaising effectively with users regarding the delivery of services to meet their needs. Work may be required at other CSIRO sites within Australia.

Location: Canberra ACT, Clayton VIC, or Eveleigh NSW preferred. Other locations may be considered.

Salary: AU $105,806 to AU $114,500 pa plus up to 15.4% superannuation

Tenure: 2 positions available one indefinite and one f ixed term contract until 30/06/24

Reference: 90272

To be considered you will need:
• Tertiary degree in science, engineering, computer science, information technology or relevant field.
• Extensive experience in the interrogation and interpretation of scientific/research data sets through various means including data visualisation.
• Proficiency with modern data science programming languages such as Python or R.
• Advanced data cleaning/processing and numerical/statistical analysis skills.
• Demonstrated knowledge of four of more of:
• Dimensionality reduction
• Clustering methods
• Regression techniques
• Classification techniques
• Ensemble methods
• Image classification
• Object detection
• Transfer learning
• Time series forecasting
• Demonstrated experience with different interpretable machine learning techniques including, but not limited to, feature importance, Shapley values and class activation maps.

For full details about this role please review the Position Description

Eligibility

Applications for this position are open to Australian Citizens Only

Appointment to this role is subject to provision of a national police check and the ability to obtain and maintain a security clearance at the Baseline level.

Flexible Working Arrangements

We work flexibly at CSIRO, offering a range of options for how, when and where you work.

Diversity and Inclusion

We are working hard to recruit people representing the diversity across our society, and ensure that all our people feel supported to do their best work and feel empowered to let their ideas flourish.

About CSIRO

At CSIRO Australia's national science agency, we solve the greatest challenges through innovative science and technology. We put the safety and wellbeing of our people above all else and earn trust everywhere because we only deal in facts. We collaborate widely and generously and deliver solutions with real impact.

CSIRO is committed to values-based leadership to inspire performance and unlock the potential of our people.

Join us and start creating tomorrow today!

How to Apply

Please apply on-line and provide a cover letter and CV that best demonstrate your motivation and ability to meet the requirements of this role.

If you have any question regarding this position. Please contact careers online: careers.online@csiro.au

Applications Close

05 February 2023, 11:00pm AEST/AEDT

Shortlisting for this role may take place as applications are received. We therefore reserve the right to close this vacancy once a suitable candidate has been appointed,

Please consider applying as soon as possible"
Full-time,NA,NA,Machine Learning Data Scientist,2023-01-08 13:32:47.401862 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=hs18PxMDtn4AAAAAAAAAAA%3D%3D&fpstate=tldetail,"Susquehanna International Group, LLP (SIG)","Sydney NSW, Australia","Overview

Once in the team you will bring your machine learning expertise to bear on all aspects of the trade pipeline. You must have the ability to build models for high-frequency asset price prediction, to analyse the resulting trades, and to build models for better understanding of latency implications, etc. You must be able to explain clearly your ideas and results to the rest of the team.

In the role you will:
• Contribute techniques from machine learning towards improved automated trading systems.
• Work with traders, quants, software developers in a highly focused team building, deploying and improving automated trading systems.
• Research, implement, test, deploy and monitor proprietary systems trading across multiple markets and financial products. We work at all levels of the problem domain from market data handlers through trade monitoring.
• Work with python systems to extract the data you will require; (Preferable C++ but not a must)

What we're looking for
• Ph.D. in... Computer Science/ Quantitative subject (statistics, math, engineering, physics).
• Comfortable programming python in a Linux environment.
• You have developed real-world ML applications and have a strong interest in finance and trading.
• Strong interpersonal skills with the ability to liaise with senior/executive trading staff.
• Ability to work autonomously and as a member of inter-departmental teams.

We don’t post salary ranges externally so any salary estimate you see listed on a third party website was not provided by SIG and may not be accurate.

SIG is not accepting unsolicited resumes from search firms. All resumes submitted by search firms to any employee at SIG via-email, the Internet or directly without a valid written search agreement will be deemed the sole property of SIG, and no fee will be paid in the event the candidate is hired by SIG.

#efc-multi"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:32:47.979212 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=tJMsr3vQlj4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Maltem Australia,"Sydney NSW, Australia","Who we are

Maltem Group is a community of 1,200+ passionate individuals dedicated to innovation, new technologies, data, and digital transformation projects.

Founded in 2001 and located in 13 different countries, our footprint covers France, Singapore, Hong Kong, Vietnam, Philippines, Luxembourg, Belgium, Madagascar, Mauritius Island, Morocco, US, Canada and Australia. Our expertise consists of 20+ years of market knowledge in the business organization, digital practices, agile, data management and innovation.

Maltem APAC is composed of highly experienced practitioners. We work closely with clients to understand, connect, improve organizational effectiveness, and deliver value faster.

Our aim is to support our partners in building a sustainable competitive advantage in their industry and be at the forefront of innovation and customer experience.

Join our Data and Analytics team as we continue our journey to build innovative cloud-based data solutions. Our engineers operate in a... collaborative and autonomous environment where they are empowered and continuously learn, becoming masters in their craft.

This is a fantastic opportunity for someone who is passionate about big data technologies, enjoys solving problems and takes pride in delivering high quality solutions. You will work in a multi-talented, diverse team across multiple geographical locations and implement solutions in a fast-paced environment.

Skills and Experience:
• Minimum 2-3 years of experience in Machine Learning Engineering (AWS Sagemaker preferred)
• Strong background in Linux and shell/bash scripting
• Basic understanding of end-to-end Machine Learning pipelines (including the ML algorithms involved)
• Experience in deploying Machine Learning models (Batch or Real time)
• Experience troubleshooting and monitoring AWS environment and services
• Understanding of data engineering tools and languages including SQL, Python, Red Shift & Glue will be added advantage
• AWS certification will be added advantage
• Great communication and collaboration skills.

Internal life @Maltem
• A community of practitioners that you can contact anytime
• Regular lunch and coffee catch-ups with our wider community
• Team Building activities
• Sports activities that can happen after work or during the weekend (voluntary-basis)
• Work at our new offices where we have open space, free drinks, and plenty of other advantages
• Possibility to work overseas for Maltem Group
• Possibility to be part of advisory and greenfield projects
• Possibility to be mentored or mentor someone during your journey with Maltem
• We take care of each other, and our employees are at the heart of everything we do.

We take care of each other, and our employees are at the heart of everything we do. We are community driven. By joining us, you will have access to a pool of passionate experts across data engineering, analytics, data science Change and Project Management.

So, are you ready to join us"
Full-time,2023-01-08,"US$68,428–US$135,000 a year",Sr. Data Scientist,2023-01-08 13:32:48.550924 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=j8hB3sEaRXYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Visa,"Sydney NSW, Australia","Company DescriptionVisa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.Join Visa: A Network Working for Everyone.Job DescriptionWhat a Senior Data Scientist, Visa Consulting & Analytics does at Visa: In this role, you will be reporting to the Delivery... Lead for Data Services, Australia. You are expected to have excellent problem-solving skills with the use of advanced analytics, machine learning, AI and a sharp focus on execution. You will be working with colleagues across the organization to help shape Visa and partner’s business strategies by mining and interpreting data and generating relevant and meaningful insights that informs the strategy.You are expected to be hands on and have the required knowhow to work with big data using cutting edge machine learning, AI solutions. The role will involve close collaboration with data science analysts, members of the broader team in Visa Consulting and Analytics and other business stakeholders.The role would be focused on the broader Australia and New Zealand market and will be based in Sydney.Key ResponsibilitiesWork with large, complex data to measure results, build and develop predictive models, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.Lead development and application of new methodologies and analytic techniques, promoting best practices in the field.Build well-managed data solutions, tools and capabilities to enable self-service frameworks for internal or external stakeholdersCollaborating with the internal teams to fully understand business requirements and desired business outcomesProviding thought leadership in both using data to solve business problems and in arriving at innovative statistical solutionsEnsuring all project documentation is up to date and maintain the highest levels of quality in deliverablesEnsuring project delivery within timelines and budget requirementsContribute to the development of the team’s analytical skills and expertise.Cultivates open and clear communications across team members and stakeholdersThis is a hybrid position. Hybrid employees can alternate time between both remote and office. Employees in hybrid roles are expected to work from the office two days a week, Tuesdays and Wednesdays with a general guidepost of being in the office 50% of the time based on business needs.QualificationsProfessional• 8 plus years of hands-on analytical experience in relevel field• Subject matter expert in analytics especially in areas of analytical methodologies • Able to connect data visualisation insights with business problem• Superior analytical and problem-solving skills, with demonstrated intellectual and analytical rigor• Team oriented, collaborative, diplomatic, and flexible, with excellent presentation skills, including strong oral and writing capabilities• Experienced in working across a matrixed organization• Excellent communicator, should have the capability to translate numbers to business insights• Strong interpersonal and leadership skills with effective written and verbal communication skills and the ability to present complex ideas in a clear and concise way, a team player with good work ethics• Experienced in working across a matrixed organization• Previous exposure to financial services, credit cards or merchant analytics is a plus, but not essentialTechnical• Proficiency in coding skills using Hive, Python, and Pyspark on large datasets• Competency in data visualization software such as Tableau, Power BI etc. • Competent understanding of the recommender system, classification techniques, time series and regression models are recommended• Proficiency with Microsoft Excel and Powerpoint• Proficiency with collaboration tools within Microsoft Office 365 is required• Experience and in-depth knowledge of the cards and payments business are preferredBusiness• Excellent relationship and stakeholder management skills• Expert in presenting ideas and analysis to stakeholders• Very detailed oriented, is expected to ensure highest level of quality and rigor in reports and data analysis• Global mindset, desire and demonstrated ability to work cross culturally and in a matrixed organization• Ability to execute and solve problems independently• Proven skills in translating analytics output to actionable insights and recommendationsAdditional InformationVisa has adopted a COVID-19 vaccination policy. As a condition of employment, all employees based in the country where this job is located are required to be fully vaccinated for COVID-19, unless a reasonable accommodation is approved or as otherwise required by law"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:32:49.112571 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjXgJ_r6Lj8AhXSPn0KHRq2CqsQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=mBOMyLL0IGEAAAAAAAAAAA%3D%3D&fpstate=tldetail,ClearCompany,"Sydney NSW, Australia","Work with a leading business to continue to build out their Machine Learning practice as they capitalise on a massive period of growth.
My client, a household communications brand here in Australia is searching for a Machine Learning Engineer to continue to work with their vast amounts of customer data to capitalise on a massive period of growth.
Joining a high-performing team, you will be working end-to-end on a variety of models and analytical products, and deploying them into Machine learning. Your role will see you collaborating with Data Scientists, Engineers and other tech teams as you automate and scale the business' Machine Learning environment.
Due to the varied nature of the business and multiple streams of data from across the group (a 'house of brands""), you will be working with a variety of different models and stakeholders - no 2 days will be the same!!
What You'll Bring:
Minimum 5 + years of commercial experience in Data Science
Experience with Python or R, and strong... SQL skills
ML deployment experience is preferred.
Experience with DWH, ETL and Data Engineering frameworks and techniques
Any deployment or infrastructure experience
Stakeholder engagement and functional communication skills.
Positive attitude towards learning new tools and technologies
This is a great opportunity for an established Machine Learning Engineer, or a Data Scientist looking to grow on the deployment side of the business to take on a new role and create a meaningful impact across millions of homes in Australia.
You're joining a high-performing team and whilst this will be a challenging role, you will gain invaluable experience in a variety of environments. As a result of this, you will be compensated with a great package, ongoing training and development and a hybrid working model.
Please note – Candidates must be based in Sydney and have full working rights.
If you have any questions about this role or others we have available you can email our team directly via data@thedrivegroup.com.au
For The Latest Jobs, Tech News or to 'Introduce A Friend' for a $1000 Referral Fee - Follow Us On Linkedin:
https://www.linkedin.com/company/thedrivegroup
TheDriveGroup is 100% committed to improving meaningful diversity in the technology industry.
We partner with clients who embrace diversity and seek candidates across all backgrounds, abilities, genders, sexualities, cultures, and faiths.
If you have the right skills and attitude we would love to hear from you"
