Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,NA,NA,Machine Learning Engineer,2023-01-08 13:34:52.093236 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=BX7UTedT6yQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Radix.AI,"Brussels, Belgium","Are you ready to become your best self and deliver impact with AI?

“At Radix, we deliver AI solutions that have a positive impact on the world. We are driven, go the extra mile and we have lots of fun! We foster an open culture of collaboration and knowledge sharing where everyone has a voice. We want to improve as many people’s lives as possible and we look for people who share the same commitment. Let’s create a better future. Together.”

How will you make the difference?

With your talent, passion, and expertise, you’ll become part of an amazing team that makes the impossible possible! In this role, you’ll have the opportunity to work and learn, on impactful & rewarding challenges, including:
• Designing and implementing Machine Learning solutions using for example Transformer models, Convolutional Neural Networks, Unsupervised Learning, etc.
• Building and deploying reproducible and scalable solutions on cloud infrastructure.
• Distributing training across GPUs with data and... model parallelism.
• Scaling Machine Learning models to thousands of users.

Which clients will you be working for?

All our clients are chosen with respect to our values and beliefs at Radix. Therefore, we offer you the opportunity to join one of the leading AI solution providers and work together with a breadth of industries and like-minded organizations, including GSK, Brussels Airport, Atlas Copco, Flanders Investment and Trade, VDAB, Belga, Macadam, House of HR and many more. Visit our website https://radix.ai/ for client testimonials and case studies.

What will be the recruitment process?

We love to be transparent to you about the hiring process. Then you’ll know exactly what to expect!
• Step 1 - Interview
• We will go over your motivation, cultural fit, values, and any questions you have for us.
• Step 2 - Technical challenge:
• This challenge will be planned on workdays so we can kick off the challenge together.
• Step 3 - Face to face interviews with your future colleagues: :
• Technical interview: It allows you to learn more about the content of the job.
• Business case: We will show you what it's like to work at Radix. Based on a real-life business case we would like to get to know your practical approach and how you would interact with clients. If the feedback is positive, we make you an offer to join us at Radix! :)

What will we offer you?

At Radix, you’ll be part of a passionate & experienced team. Next to that, we organize frequent happy hours and team events to never forget! Your energy, drive, and commitment will be much appreciated by means of a competitive salary with a great package of extra benefits:
• A flexible work from home policy to choose where, how, and when you want to work.
• A cool, easily reachable office in Brussels (right above the central station).
• Your own MacBook Pro, phone subscription, monitor, etc.
• Monthly fixed cost, internet allowances.
• A hospitalization & dental insurance with DKV for you and your family members.
• Group insurance.
• Meal and eco vouchers.
• Full coverage of transportation costs.
• Additional Radix holidays.

Still not convinced? Visit our website to discover why Radix will be your dream workplace: https://radix.ai/blog/2021/3/nine-reasons-why-radix-is-your-dream-workplace/

We are already looking forward to getting in touch with you!

What type of person are we looking for?

For this role, we are looking for a passionate engineer who is deeply interested in Artificial Intelligence. You are a go-getter and get motivated by working in a vibrant team on diverse projects and are determined to deliver real impact solutions:
• You have a master’s or Ph.D. in Computer Science, Mathematics or a similar field.
• You are confident in your Software Engineering skills.
• You have mastered the SciPy stack (Python, pandas, numpy, scikit-learn, …).
• You know your way around source control and reproducibility tooling (git, conda, pip, docker).
• You have experience with Deep Learning frameworks (TensorFlow, PyTorch)
• Experience with parallel computing libraries (dask, numba) is a plus.
• You have excellent communication skills in English"
Full-time,NA,NA,🤖 Experienced Machine Learning Engineer,2023-01-08 13:34:52.665421 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=IpBhUz7TS5kAAAAAAAAAAA%3D%3D&fpstate=tldetail,dataroots,"Brussels, Belgium (+1 other)","🤖 The Job

Dataroots researches, designs and codes robust AI-solutions & platforms for various sectors, with a strong focus on DataOps and MLOps. As Machine Learning Engineer you're part of our dedicated in-house team of AI-specialists. You excel in building machine learning models which result in our robust and production-ready solutions to optimise company processes.

You love data and turning data inside out to reveal all its secrets. You are an expert in developing and implementing various statistical and machine learning models and you are in charge of controlling the performances of your models output. You love to experiment with different approaches to ensure your client the best-in-class solution. To achieve this, you collaborate closely with our data engineers and/or cloud architects on projects for various sectors, always with a quality focused, end-to-end approach. The result? Our teams provide clients a reliable foundation to make data-driven decisions.

As a senior you... will also build and share knowledge with your colleagues. With initiatives like our rootsacademy or rootlabs, you have various chances to share your knowledge and keep up to date with the latest developments in the field.

🎉 What you can expect at dataroots

Ready to roll into your next adventure? Let’s meet! At dataroots we combine 100% focus with fresh and fun ideas. Our offices are the ideal workplace for people with a knack for innovation. Our languages? Python, Scala, R and HCL. What we speak when we're not coding? English, because with colleagues from Brazil or Serbia you'll enter an inspiring and internationally focussed team.

💪 The Skills
• You have a knack for Machine Learning and have attained a Masters or Doctorate in a quantitative field.
• You have a strong background and are opinionated on software design principles.
• You have at least 3 years experience in a field related to machine learning and big data.
• You have a strong theoretical basis and experience in general machine learning & deep learning.
• You are excellent in Python, knowledge of R or Scala is a bonus.
• You get excited by large amounts of data.
• You approach problems with a pragmatic mindset.
• You have strong communication skills and can translate complex solutions into clear and understandable explanations.
• You have a good overview over the (big-)data ecosystem.
• You speak English fluently, a word of Dutch or French is a plus.

Was this list a bit much? Don't worry, we don't expect you to tick every box from the beginning. Most of all we are looking for colleagues with the same passion for personal and team development as the rest of us.

💰 The Offer
• An attractive salary package with extralegal benefits such as a company car, fuel card, hospitalisation insurance, group insurance, a high-end laptop and smartphone
• A personal & team training budget to further your professional career
• Trainings and seminars with your team and external experts to further sharpen your technical knife
• Sports and/or sushidates … We let of steam during our (virtual) drinks and monthly day@dataroots events #workhardplayhard
• Your own innovation budget to work on cool, education, challenging and/or opensource projects within your guild.

🇧🇪 Our main office is located in Leuven & Ghent, with a co-working place in Brussels. These locations are always available for brainstorm sessions or team events. As a dataroots consultant, you will occasionally be doing on-site visits at our clients. However, most of our work is done remotely. At dataroots, we are actively adapting to this new way of working. ✌️

Ready for a new chapter as a Machine Learning Engineer at dataroots? Super! Apply now! 🎉

dataroots focuses on Analytics, Machine Learning, Big Data, Optimization, and Data Mining. Their company has offices in Europe, Belgium, Brussels, Leuven, and Ghent. They have a mid-size team that's between 51-200 employees.

You can view their website at http://dataroots.io or find them on Facebook and LinkedIn"
Full-time,2023-01-08,NA,Machine Learning Engineer F/M/X,2023-01-08 13:34:53.224888 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=QFShc-MxzGgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Amaris Consulting,"Brussels, Belgium","Who are we?

Amaris Consulting is an independent technology consulting firm providing guidance and solutions to businesses. With more than 1000 clients across the globe, we have been rolling out solutions in major projects for over a decade – this is made possible by an international team of 6000 people spread across 5 continents and more than 60 countries. Our solutions focus on four different Business Lines: Information System & Digital, Telecom, Life Sciences and Engineering. We’re focused on building and nurturing a top talent community where all our team members can achieve their full potential. Amaris is your steppingstone to cross rivers of change, meet challenges and achieve all your projects with success.

At Amaris, we strive to provide our candidates with the best possible recruitment experience. We like to get to know our candidates, challenge them, and be able to give them proper feedback as quickly as possible. Here's what our recruitment process looks like:

Brief Call... Our process typically begins with a brief virtual/phone conversation to get to know you! The objective? Learn about you, understand your motivations, and make sure we have the right job for you!

Interviews (the average number of interviews is 3 - the number may vary depending on the level of seniority required for the position). During the interviews, you will meet people from our team: your line manager of course, but also other people related to your future role. We will talk in depth about you, your experience, and skills, but also about the position and what will be expected of you. Of course, you will also get to know Amaris: our culture, our roots, our teams, and your career opportunities!

Case study: Depending on the position, we may ask you to take a test. This could be a role play, a technical assessment, a problem-solving scenario, etc.

As you know, every person is different and so is every role in a company. That is why we have to adapt accordingly, and the process may differ slightly at times. However, please know that we always put ourselves in the candidate's shoes to ensure they have the best possible experience.

We look forward to meeting you!

Job Description

Together with a team of driven, passionate engineers, you will work closely with the client to design, implement, deploy, and maintain state-of-the-art Artificial Intelligence solutions.

In this role, you’ll have the opportunity to work on:
• Design complex analytics solutions with large data sets on distributed systems including the design of data lakes and data ingestion pipelines.
• Building technical solutions for real-time data processing solutions that consist of data models, data integration, storage and cloud-based data pipelines of major projects in agile mode
• Implementing Machine Learning solutions using for example: Reinforcement Learning, Convolutional Neural Networks, Unsupervised Machine Learning, etc.
• Building and deploying reproducible and scalable AI solutions on cloud infrastructure or on premises
• Scaling Machine Learning models to thousands of users
• Monitoring, expanding and optimizing the data infrastructure

Your profile:
• You have Master's degree in Computer Science or a related field.
• You have at least 3 of experience in Big Data projects and/or Artificial Intelligence Solutions in Production
• You are experienced in Data Lake technologies (Hadoop, Spark, Kafka, .., ...). An experience with public cloud technologies is a plus (AWS, Azure, IBM Cloud).
• You have experience with Deep Learning frameworks
• You are autonomous and assertive. You can speak your mind & accept to be challenged
• You are creative and thinking out of the box and are a problem solver
• French & Dutch speaking is a plus. English is mandatory.

Amaris Consulting is proud to be an equal opportunity workplace. We are committed to promoting diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability or other characteristics"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:34:53.798325 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=Fk1lNQJUJdgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Sia Partners,"Antwerp, Belgium","Company Description

Sia Partners is a specialist Management Consulting firm in 1999 and has grown into a global firm with approximately 2200 employees and annual revenue exceeding $400m. Our culture is strongly orientated towards high-quality expertise and delivering excellent results and outcomes for our clients, which include a wide range of multinational companies. Our global presence and our expertise in more than 30 sectors and services allows us to accompany clients worldwide. Using innovative technologies such as our own in-house apps, social networks, and digital tools, we provide a truly integrated global service.

Through Consulting for Good, we put our expertise at the service of our clients' climate objectives and make sustainable development a performance lever for our clients. Our portfolio of offerings is cross-sectors, +60 wide consulting offers and generate 15% of revenues.

Job Description

What you will do
As an expert in the field of Machine Learning Engineering... you will be responsible for the growth of our Data team, both professionally as well as in size. You will be in charge of shaping and executing the future of your expertise within Sia Partners. You will work on client projects as well as on building our own Sia AI solutions, together with our Dutch team of Data Scientists, our French Data Engineering team, and other business units of Sia Partners Global.

Your responsibilities include:
• Leading an internal team towards the development of AI products;
• Working in a multidisciplinary team on client projects as an expert on your subject;
• Making architectural and design decisions for cloud environments;
• Building production level ML/AI solutions with solid software engineering;
• Guiding Data Scientists to scale up their models into production (parallelizing, optimizing, tuning, testing, and wrapping);
• Giving trainings, leading internal meetings and organizing external events;
• Participating in team meetings and workshops with clients;
• Writing blog articles, presenting at conferences and sending out press releases on the subject that you lead.

Who you will work with
The Data Science team is young, diverse and growing (10+). You will join a team that will challenge you and invest in your professional development. We have a flat structure and rely on the entrepreneurial spirit of our members: initiative is highly encouraged. We are striving for well-being, diversity and knowledge-sharing inside the team, so that we can grow together.

Who you are
• You are an established technical professional that wants to make the next step in their career, taking on more leadership responsibilities.
• You have first-rate project management and time management skills.
• You are a true problem solver, you turn complex issues into simple and impactful business solutions.
• You are enthusiastic for applying Data Science/Engineering solutions to business problems.
• You have excellent communication skills and can present complicated concepts in a synthetic way.
• You have the ability to adapt rapidly and work on a range of different business areas within a challenging environment.
• You have the ability to work collaboratively in a team environment.

In return, you can expect:
• An international company that gives importance to diversity, inclusion, employee well-being and corporate social responsibilities actions.
• A great working atmosphere with friendly and professional colleagues where innovation and entrepreneurship are encouraged
• A personal development plan with a regular follow-up as well training opportunities to develop yourself
• A competitive salary with great advantages, like mobility budget, hospital insurance, performance -related bonus,...

Qualifications
• MSc level education in Computer Science, Applied Mathematics, Artificial Intelligence, Embedded Systems or related field of study.
• 2-4 years of experience in building production-quality ML/Deep Learning pipelines and models.
• Good understanding of Machine Learning fundamentals and strong knowledge in a specific domain (e.g., Computer Vision, Deep Learning, NLP).
• Expert coding skills in Python and at least one of these languages: Scala, C++, Java.
• Hands-on experience with database management languages (e.g., SQL, PostgreSQL).
• Hands-on experience in cloud-based infrastructures (AWS/GCP/Azure).
• Hands-on experience with Unix-based command line and DevOps tools (Git, Docker, Kubernetes).
• Hands-on experience with big data technologies (e.g. Spark, Hadoop, Databricks).
• Experience with coaching/mentoring other engineers.
• Prior experience in Management Consulting is a strong plus.
• Willingness to travel and work at local and international clients.
• Fluency in spoken and written English is required.
• Ability or strong willingness to be professionally proficient in the Dutch language.

Additional Information

We are unable to provide a work permit for this position

Sia Partners is an equal opportunity employer. All aspects of employment, including hiring, promotion, remuneration, or discipline, are based solely on performance, competence, conduct, or business needs"
Full-time,2023-01-08,NA,R&D Engineer: Automated Driving Machine Learning,2023-01-08 13:34:54.370013 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=p8454R-jSOkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siemens,"Leuven, Belgium","R&D Engineer: Automated Driving Machine Learning

At Siemens Digital Industries Software, we enable our customers to design and validate ADAS systems and autonomous vehicles for optimal safety and comfort. With a strong portfolio of advanced simulation and testing tools (Simcenter Prescan, HEEDS, Amesim, SCAPTOR), supported by our innovative mindset and project expertise, we address all challenges throughout the autonomous vehicle development cycle.

Summary

Siemens Digital Industries Software is looking to expand the Simcenter Engineering ADAS team with a R&D engineer focusing on machine learning technologies for automated driving. You will be part of an international and dynamic research team responsible for innovative engineering solutions in ADAS and autonomous vehicle driving. The team is working on multiple R&D and commercial projects. You will also collaborate with other industrial and academic partners during project execution.

Our innovative ADAS technologies enable... customers to design and validate automated driving for optimal safety and comfort performance. With a strong portfolio of simulation and testing tools (Simcenter Prescan, HEEDS, Amesim, SCAPTOR...), supported by engineers and project expertise, we address challenges throughout the autonomous vehicle development cycle.

Responsibilities and Duties
• Develop ADAS/AD machine learning, especially computer vision technologies
• Execute project tasks in ADAS R&D projects, cooperate with project team members
• Project management
• Contribute to and write scientific papers

Profile
• MSc/PhD degree in AI or computer vision
• Experience with scientific computing and programming Python, C/C++, Matlab
• Strong interest in automotive and ADAS
• Fluent in spoken and written English

Considered as additional advantage:
• Experience with real-time implementation
• Experience with autonomous driving

Company background

The Simulation and Test Solutions (STS) segment of Siemens Digital Industries Software is responsible for the Simcenter portfolio. This portfolio includes a complete suite for test-based engineering, an integrated simulation and analysis platform and a multi-disciplinary system performance simulation platform, complemented by Simcenter Engineering Services. Engineering Services supports customers throughout the product development cycle with its unique combination of engineering skills, development experience and process know-how, for key performance attributes of the vehicle, such as noise and vibration, ride and handling, ADAS, etc. Our R&D team develops methodologies andapplications to answer future customer needs of the Engineering Services.

#LI-NC1

#LI-Hybrid

#LI-STS

#DISW

#PLM

Organization: Digital Industries

Company: Siemens Industry Software NV

Experience Level: Mid-level Professional

Full / Part time: Full-time"
Full-time,NA,NA,Machine Learning Engineer,2023-01-08 13:34:54.949034 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=HP1GGLFRc2sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Smartendr,Belgium,"In order to support our growth, we’re looking for an ambitious Machine Learning Engineer. With your driven personality you’ll be developing our recommendation system, identify the ideal marketing opportunities and create machine learning algorithms and systems. You’ll become part of a small team with the opportunity to have a big influence on our product. Sounds like something for you? Then continue reading!
• What will you be doing? *
• Develop our recommendation system for dishes, items and users
• Create machine learning algorithms to increase our sales upselling and cross-selling
• Identify marketing opportunities with the use of AI (which time is best to launch campaigns, how successful are our campaigns, …)
• Create predictions systems (predict the amount of visitors on a day, what’s the revenue, …)

Who are you?
• You have a great knowledge of Python
• You are fluent in Dutch and English
• You hold a bachelor or masters degree in computer science or IT (or equivalent by... experience)
• You like to take initiative and work independently
• Who are we? *

Smartendr is a fast-growing tech start-up located in Lokeren. We help to increase efficiency within the hospitality sector. We deliver relevant customer data insight through a smart QR-based order application.
• What can you expect from us? *
• A Challenging job where you’ll be able to shape our product with us
• The opportunity to grow with the company, the sky is the limit!
• The start-up atmosphere: a flat structure with open communication and most of all lots of fun! (Team activities, Apero Friday, sports and so on!)
• And of course, money! 😊 Added with extra-legal benefits like a laptop, company car with fuel card, … Besides, we’re always happy to listen to your needs

Smartendr focuses on Hospitality. Their company has offices in Belgium. They have a small team that's between 1-10 employees.

You can view their website at https://www.smartendr.com"
Full-time,2023-01-08,NA,Senior Machine Learning Engineer,2023-01-08 13:34:55.512350 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=xXGQ0pVa4VgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Korrogo,"Bruges, Belgium","About the job Senior Machine Learning Engineer

You are an expert in the deployment and industrialization of analytics and AI models and will also be responsible for the effective packaging, deployment, and monitoring of analytical & AI models, through the use of continuous integration tools (CI/CD). You have the ability to address diversified problems like anomaly, threat, risk, fraud detection, classification, relation extraction, pattern recognition, optimization, automated recommendations, and more. As Senior ML Engineer you will functionally lead teams of other MLEngineers, Data Scientists, and UX designers if necessary. Looking for knowledge, such as:

Backgrounds with substantial knowledge of analytics and IT development

Proficient in the programming languages that are used in Data Analytics, such as Python, both in a single server setup as well as in a distributed setup (e.g. with Spark). You can also manage python kernels/libraries/repositories and are an experienced user of... source management tools (GIT)

Master the tools involved in the integration process, such as Jenkins, Docker, Sonar, Nexus, etc. Familiarity with Log management tools and Kubernetes/Yarn

Linux experience (sysadmin) and knowledge of web standards are considered a (strong) plus"
Full-time,2023-01-08,"US$61,603–US$135,000 a year",Data Engineer,2023-01-08 13:34:56.084180 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=_d-oVZOExyAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Talan,"Brussels, Belgium","Company DescriptionPassionate about digital, data, IoT or AI and willing to join a dynamic and ambitious team on a human scale? For more than 15 years, we have been advising companies and administrations and supporting them in the implementation of their transformation projects in Brussels and abroad. To do so, we rely both on technological leverage and on the strength of our DNA based on collective intelligence, agility and entrepreneurial spirit. With a presence on five continents and more than 4,000 employees, our goal is to reach more than a €1 billion revenue by 2024. Innovation is at the heart of our development and we are involved in areas linked to the technological changes of major groups, such as Big Data, IoT, Blockchain and Artificial Intelligence. Our values & playfields: Intelligence collective Agility Entrepreneurship /Intrapreneurship Promote diversity/mixity (Support to the Fondation femmes@Numerique...) Commitment (employees, partners, schools, associations... Respect for human beings and quality of life at work Open-mindedness and inclusiveness Together, let’s build Talan’s future.Job DescriptionAs a Data Engineer, you will be in charge of:Designing solutions following architecture guidelinesContributing to data engineering-related developments: development activities consist in building and maintaining efficient, reusable, and reliable solutions, as per high standard of software quality, design and testing principles while delivering solutions on-time and on-budgetSupporting continuous improvement of the services and applications. Identifying bottlenecks and bugs, and defining solutions to these problemsDelivering production ready services to users with the highest level of satisfactionWriting and updating technical documentations in English and making them available to the team and partners.Providing effective and timely communication to all relevant teams QualificationsYou must have extensive experience of 3 years minimum in addition to excellent analytical skills, accuracy, and good listening and communication skills.You must have extensive experience in the activities outlined below in addition to:Ability to collect information focusing on the Why.Ability to solve problems creatively and effectivelyBe open to receiving objective criticism and improving upon it.Fluent in English and French.Familiar with reliability engineering approaches (Dev/Sec/Ops, SRE, etc.) for regularly ingested data workloadsSkills requiredKnowledge of data management, data engineering, and data governanceKnowledge of data architecture, data security, protection, and privacyProficient with SQL (DDL and DML)Experience building data pipelines and data processing systemsKnowledge of data lake, database, and/or data warehouse architectures for analytical workloads (e.g. OLAP)Strong understanding of design principles, algorithms, data structures, and software engineering best practicesExperience with modern data warehousing solutions such as Snowflake, RedShift, DatabricksNice to haveStrong problem solving and analytical skillsProficient in Python and/or other modern languages used for batch data processingExperience with data ingestion, transformations (ETL/ELT), data modeling, data analysis and data miningNoSQL experienceFamiliarity with DevOps concepts, CI/CD pipelines, and orchestrating/scheduling/maintaining data workflows (e.g. developed and/or monitored with Apache Airflow)Experience building data visualizations (data dashboards e.g. with PowerBI) and producing data-driven reportsExperience supporting BI analytical and/or data science workloads in productionAdditional InformationThe team is located in Brussels but occasional travels to Paris can be expected"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:34:56.658810 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=ecpRKykco_8AAAAAAAAAAA%3D%3D&fpstate=tldetail,AXA,"Brussels, Belgium","In AI&Analytics Solutions team, we want to ensure that we’re bringing smart decision making (human augmentation or automated) to the forefront of our processes/journeys by establishing a data and experimentation culture that could ultimately become a competitive advantage in today’s fast-changing world.

Do you want to get involved and build competitive ML Data Product? Are you excited to create business value out of data?

As a member of the AI&Analytics Solutions team, you aim at elaborating solutions using technologies in the fields of Big Data and AI (ML). You will work in close collaboration with the Data Scientists and take an active part in innovation initiatives at AXA. You will execute Proofs of Concept using Data Analytics and Machine Learning techniques. You will also provide support for the industrialisation of models and their deployment into production applying best practices enabling the evolution of code and modelling techniques (MLOps).

As Machine Learning Engineer... you:
• Closely collaborate and support Data Scientists of the team;
• Design and implement ML systems;
• Apply MLOps principles along the end to end pipeline;
• Apply best practices to develop reusable assets within the complete scope of AXA.

As Machine Learning Engineer, you have:
• Min 2 years’ experience
• A Master degree in Engineering or IT;
• Hands-on experience with Python and cloud computing;
• Knowledge of AWS Sagemaker, AWS Lambda, AWS Glue, Step Functions,…
• Experience in developing end-to-end solutions;
• Notion of Machine Learning, Statistics and Optimization;
• Knowledge of French or Dutch as well as very good knowledge of English

And you are also:
• Outcome focused;
• Able to develop at the intersection of business needs and the technicality of new technologies;
• Eager to learn on the job and benefit from the experience of your colleagues;
• Willing to test and apply Machine Learning Algorithms on real use-cases;
• Outstanding analytical and problem-solving skills;
• Capable of identifying issues and proactive to solve them;
• Excellent communication skills;
• Ability to work in a team"
Full-time,2023-01-08,NA,Applied Machine Learning Engineer - Content Intelligence,2023-01-08 13:34:57.221453 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjYzLOo6bj8AhVhAzQIHa8fAZIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=tnQ7mt6eYXwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Spotify,Belgium,"Delivering the best Spotify experience possible. To as many people as possible. In as many moments as possible. That’s what the Experience team is all about. We use our deep understanding of consumer expectations to enrich the lives of millions of our users all over the world, bringing the music and audio they love to the devices, apps and platforms they use every day. Know what our users want? Join us and help Spotify give it to them.

The Content Intelligence organization aims for Spotify to have the most complete and correct information in the music industry. Through a diverse set of initiatives including our content knowledge graph, human in the loop, creator/content representation, and violative content detection, our squads in Content Intelligence strive to accurately model the full landscape of content at Spotify.

We are looking for an Applied Machine Learning Engineer to join our Content Intelligence product area and help drive the direction and development of proactive... content moderation at scale. As a part of our team, you will work closely with machine learning research as well as partner product and engineering teams to build, deploy and maintain in production ML models in the content understanding space. Your work will impact the experience of millions of users globally and be instrumental in keeping Spotify a safe and compliant platform where creativity can flourish.

What you'll do
• Contribute to designing, building, evaluating, shipping, and improving production ML services and methods through hands-on ML development in TensorFlow, Python, SQL, and Java.
• Perform data analysis to establish baselines and inform product decisions.
• Collaborate with a cross-functional agile team spanning research, data science, product management, and engineering to build new product features that improve the detection of content that violates Spotify’s Terms of Service.
• Thoughtfully communicate your work and experience in applied machine learning through both internal collaborations and mentorship opportunities.
• Use the Google Cloud Platform to train and deploy models at scale.

Who you are
• You have a strong background in applied machine learning and generalist content understanding, with experience and expertise in designing, building, and testing deep learning solutions.
• You are a technical and collaborative leader who can inspire and mentor others as well as receive mentorship and guidance yourself.
• You have hands-on experience implementing production machine learning systems at scale in Java, Scala, Python, or similar languages.
• You have demonstrated the ability to deliver results and make judicious tradeoffs between idealistic approaches and product impact.
• You have experience working with disparate data sources and sparse data, both structured and unstructured.
• You have previous industry experience with frameworks such as Tensorflow, Pytorch etc.
• You have experience with data pipeline tools such as Apache Beam, Scio, etc., and cloud platforms like GCP or AWS.
• You care about agile software processes, data-driven development, reliability, and responsible experimentation.

Where you'll be
• We are a distributed workforce enabling our band members to find a work mode that is best for them!
• Where in the world? For this role, it can be within the EMEA region in which we have a work location and is within working hours.
• Working hours? We operate within the Central European and GMT time zones for collaboration and ask that all be located in that time zone.
• Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service"
