Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,NA,₹2M–₹7M a year,Deep Learning Engineer,2023-01-08 13:30:50.857603 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=Ja20Xg2thJcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Nanonets,India,"We are looking for an engineer with ML/DL background.

Ideal candidate should have the following skillset

1) Python

2) Tensorflow

3) Experience building and deploying systems

4) Experience with Theano/Torch/Caffe/Keras all useful

5) Experience Data warehousing/storage/management would be a plus

6) Experience writing production software would be a plus

7) Ideal candidate should have developed their own DL architechtures apart from using open source architechtures.

8) Ideal candidate would have extensive experience with computer vision applications

Candidates would be responsible for building Deep Learning models to solve specific problems. Workflow would look as follows:

1) Define Problem Statement (input -> output)

2) Preprocess Data

3) Build DL model

4) Test on different datasets using Transfer Learning

5) Parameter Tuning

6) Deployment to production

Candidate should have experience working on Deep Learning with an engineering degree from a top tier institute... (preferably IIT/BITS or equivalent)

Nanonets focuses on Machine Learning. Their company has offices in San Francisco, Bengaluru, and Mumbai. They have a mid-size team that's between 51-200 employees. To date, Nanonets has raised $11.62M of funding; their latest round was closed on October 2021.

You can view their website at https://nanonets.com or find them on Twitter, Facebook, LinkedIn, and Product Hunt"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:30:51.444731 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=_IEOG70XAF8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Seceon Inc.,"Varanasi, Uttar Pradesh, India","Seceon Inc. is hiring 4+ ML Engineer

Do you want to innovate, stand out amongst your peers, and see your work protect Enterprises and SMBs/SMEs across the world from cyber security threats? All of this while working on cutting-edge Big and Fast data technologies, and advanced machine learning techniques with a great group of experienced engineers at one of the hottest startup companies around. Come work at a place where agility, developer productivity, and continuous improvement are valued, and architectural and product roadmaps are downright awesome! Here at Seceon, we believe that if you offer challenging projects to smart people, and give them the freedom to invent, you can create powerful products while being part of a fun, collaborative environment.

In this role you’ll:

Architect and build highly scalable security solutions based on big and fast data analytics solutions with supervised and unsupervised machine learning algorithms.

Work with a small group of highly talented... and experienced engineers with lots of opportunities to learn and contribute to all facets of the product.

Create clean, high-quality code that leverages the best/latest thinking on design patterns and architectures like Spark ML, Functional programming.

Positively collaborate with other top-notch engineers, product managers, and customers.

Continually drive improvement of process and product

Learn and grow, a LOT

Have fun, make friends, and contribute to our culture

About Us:

Seceon OTM Platform (aiXDR, aiSIEM, and aiMSSP) is used by 6000+ customers around the globe for ""Modernization the Cybersecurity for Digital-Era"" and the list grows every day. The OTM platform makes Comprehensive Cybersecurity possible for an organization of any size at affordable cost and eliminates the need for 15+ silos need to do ""Continuous real-time Monitoring, proactive Detection, auto/playbook based elimination containment of threats/breaches in early stages and delivers Continuous Compliance and Security Posture Improvement.

About You:
• In-depth knowledge of Machine Learning algorithms and techniques applied to network security
• 2-5+ years of working experience applying Machine Learning methods to network security models and software packages
• Strong math, analytical and problem-solving skills
• Solid experience in at least one of the Python, and Scala with machine learning libraries and frameworks
• Working Knowledge of big data frameworks such as Spark and databases such as Cassandra and Elasticsearch
• Self-driven, passionate and team-oriented
• Track record and working experience on Deep Learning real-time response models with NGFW, SIEM, UEBA, SOAR, or Incident Response

Your technical buzzwords include some combination of (what we use in parentheses)
• Experience with Big Data Technologies (Hadoop, Cassandra)
• Knowledge of Real-time stream processing (Spark Streaming)
• Realtime Messaging and Search Databases (Kafka, Elasticsearch)
• Developer tools (Eclipse, Git, JIRA, Sonar)
• Continuous Integration tools (Jenkins, Selenium)
• Micro-service containers (Docker)
• Service Oriented Architectures (RESTful APIs, JSON)
• Relational and NoSQL database knowledge
• Linux (Redhat, CentOS, Rocky)

Education

Minimum BS in Computer Science, Statistics, Computer Engineering, or related areas"
Full-time,2023-01-08,NA,Hypersonix.ai - Data Scientist - Python/Machine Learning,2023-01-08 13:30:52.017465 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=b3UhFObfNDsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hypersonix Inc.,"Bengaluru, Karnataka, India","Job Description : and Responsibilities :
• Responsible for design, architecture, and delivery of a feature or component/product with the highest quality
• Driving innovations in the platform constantly & remaining ahead of the curve
• Collaborates effectively with cross-functional teams to deliver end-to-end products & features
• Demonstrates ability to multi-task and re-prioritize responsibilities based on changing requirements
• Provide functional, design, and code reviews in related areas of expertise within the team and cross-team
• Analyze and extract relevant information from large amounts of data to help automate and optimize key processes
• Design, develop, evaluate and deploy innovative and highly scalable models for predictive learning
• Research and implement novel machine learning and statistical approaches
• Work closely with software engineering teams to drive real-time model implementations and new feature creations
• Work closely with business owners and operations... staff to optimize various business operations
• Establish scalable, efficient, automated processes for large-scale data analyses, model development, model validation, and model implementation
• Mentor/coach engineers to facilitate their development and provide technical leadership to them
• Rises the above detail to see broader issues and implications for the whole :
• A BS/MS/Ph.D. in Computer Science or Machine learning or Operational research or Statistics or in a highly quantitative field
• 8+ years of hands-on experience in applied Machine Learning, Big Data and products
• An ideal candidate should have a strong grasp of depth and breadth of knowledge in machine learning, data mining, and data analytics concepts as well as executions
• Strong Problem-solving ability
• Strong knowledge of scientific programming in scripting languages like Python
• Experience in designing and implementing information retrieval, web mining and neural network, and other classification algorithms
• Big thinker that can take broad visions and concepts and develop structured plans, actions, and measurable metrics and then execute those plans
• Expertise in using Python as well as with Spark ML, scikit-learn, Tensorflow, or similar machine/Deep learning open-source software libraries
• Superior organization, communication, interpersonal, and leadership skills
• Must be a proven performer and team player that enjoys challenging assignments in a high-energy, fast-growing, and start-up workplace
• Must be a self-starter who can work well with minimal guidance and in a fluid environment
• Must be excited by challenges surrounding the development of massively scalable & distributed system
• Agility and ability to adapt quickly to changing requirements and scope and priorities

Good-to-have Skills
• Experience in online Commerce (Retail/CPG/Restaurants/Hospitality) domain
• Experience in building products that are powered by data & insights
• Experience in Machine learning deployment and hands-on knowledge of Kubeflow/ML-flow
• Experience in working on massively large-scale data
• Experience in data structures & algorithms skills

(ref:hirist.com"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:30:52.596209 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=ivWG3oWFknUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Mercedes-Benz Research and Development India Private Limited,"Bengaluru, Karnataka, India","AufgabenJob Description and desired Skills for ML Engineer

- Enthusiastic self-starter with 4-6+ years industry experience delivering software as a service in a modern DevSecOps culture with Prior Experience on Virtual Intelligent assistants (chatbots)

- Strong scripting skills; Linux administration and Python
- Expert in Python coding, data analysis and business insight generation
- Customize and train models for business vertical or a group of business verticals
- Build automated ETL pipelines for a wide variety of data sources using Python, Writing Modular python Scripts,
- Some knowledge of system configuration tools such as Chef, Terraform GIT, Jenkins/Hudson
Java, WebLogic, .net( DotNET), HTML, CSS, JS, Sql Server, MySQL
- Develop RESTful APIs to serve machine learning models in production and strong debugging skills
- AI/ML Experience in NLP
- Demonstrating experience in messaging and queuing solutions such as Kafka, RabbitMQ and tools for ingest and query design
- Lead and... prioritize multiple assignments
- Build and maintain documentation on current environment, data locations/sources and models, ETL processes and associated code
- Take end-to-end ownership of Machine Learning pipelines -- from data pipelines to the real time prediction engine.
- Build and maintain deployment tools/procedures for applications, manage the CI/CD pipelines of Machine Learning systems in production
- Support and troubleshooting of staging/production environments
- Build scalable containerized applications/microservices using Docker and Kubernetes
- Develop tools to scale the different components of the Machine Learning pipeline
- Capacity planning for AI/ML Stack and communicating the same to leadership for costing of Hardware requests;
- Ensure production security standards are followed
- Ensure monitoring is robust and effective
- Zero downtime deployments and a high availability mindset
- Mandatory knowledge of Agile development practices.QualifikationenB Tech/BE
Experience in Power BI"
Full-time,2023-01-08,NA,Machine learning_Deepanshi_Truetecpro,2023-01-08 13:30:53.171380 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=NiL-SER0C0cAAAAAAAAAAA%3D%3D&fpstate=tldetail,CodersBrain,"Bengaluru, Karnataka, India","The Machine Learning Engineer is responsible for implementing and maintaining advanced machine learning algorithms and models, such as diffusion models, dreambooth, and Semantics Disentangling. This individual will be tasked with developing and implementing reinforcement learning algorithms with human feedback (RLHF) to improve the performance and accuracy of the system.

The Machine Learning Engineer will work closely with data scientists and other team members to identify and analyze data trends, and to develop and implement machine learning algorithms and models that can be integrated into the company's products and services. This individual will be responsible for designing and implementing experiments to evaluate the performance and accuracy of these algorithms and models, and for fine-tuning and improving their performance over time.

The Machine Learning Engineer will be expected to have strong programming skills, particularly in Python and TensorFlow, and experience working... with large datasets. They should also have a strong understanding of machine learning concepts and algorithms, and be able to apply these concepts to real-world problems.

In addition to their technical skills, the Machine Learning Engineer should be a strong communicator and be able to work well in a team environment. They should be able to clearly explain their work to both technical and non-technical audiences, and be able to effectively collaborate with other team members to achieve project goals"
Full-time,NA,₹1M–₹2M a year,Machine Learning Engineer,2023-01-08 13:30:53.739070 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=APpYswQSobQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Glib,"Gujarat, India","We are looking for a machine learning engineer to design and deploy models for unstructured information retrieval and classification. You should have a few real-world machine learning projects under your belt and should be comfortable taking projects from an idea stage to production.

Your work will revolve around information extraction from documents such as invoices, bills, receipts, reports, etc. The work is a combination of image processing, computer vision and natural language processing. If you love working with text and images, this job may be the perfect opportunity to showcase your skills.

Responsibilities

Here's what we expect you to do on a daily basis -
• Design annotation/training/inference pipelines
• Quickly explore and validate different models and architectures.
• Come up with appropriate metrics and benchmarks to evaluate performance.
• Wrap APIs around models and deploy them to the cloud.
• Monitor the performance of models and build feedback loops for continuous... improvement.

Required Skills

Here's what we expect you to know -
• Strong at data structures, algorithms and probability theory.
• C/C++/Python
• Tensorflow/Keras/PyTorch
• Worked with Spacy/OpenCV/Huggingface or other similar libraries
• Designing and developing RESTful APIs with Flask/FastAPI

A few more points to consider -
• It doesn't matter if you have a B.Tech, M.Tech or PhD. Or probably, you don't have a degree at all. That's OK. We prefer experience over education.
• We are open to remote work anywhere within India.

If this sounds exciting and challenging enough, go ahead and apply. We would love to talk to you!

Glib focuses on Analytics, Artificial Intelligence, Banking, and Finance Technology. Their company has offices in Ahmedabad and Mumbai. They have a small team that's between 11-50 employees.

You can view their website at http://www.glib.ai or find them on LinkedIn"
Full-time,NA,₹1M–₹5M a year,Researcher - Deep Learning & AI,2023-01-08 13:30:54.319306 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=ZQjpsI0ZzF0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Busigence Technologies,"Bengaluru, Karnataka, India","APPLY LINK: http://bit.ly/2F83vxU

Go through the entire job post thoroughly before pressing Apply. There is an eleven characters french word v*n*i*r*t*e mentioned somewhere in the whole text which is irrelevant to the context. You shall be required to enter this word while applying else application won't be considered submitted.

`````````````````````````````````````````````````````````````````````````````````````````````````````

Researcher - Deep Learning & AI

Team: Research

Full-Time, Permanent

Bangaluru, India

Relevant Exp: 6 months - 5 Years

Background: Top Tier institute + Startup exposure

Compensation: INR 10-50 LPA

. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .

Busigence is a Decision Intelligence Company. We create decision intelligence products for real people by combining data, technology, business, and behavior enabling strengthened decisions.

Scaling established startup... by IIT alumni innovating & disrupting marketing domain through artificial intelligence. We bring those people onboard who are dedicated to deliver wisdom to humanity by solving the world’s most pressing problems differently thereby significantly impacting thousands of souls, everyday.

We are a deep rooted organization with six years of success story having worked with folks from top tier background (IIT, NSIT, DCE, BITS, IIITs, NITs, IIMs, ISI etc.) maintaining an awesome culture with a common vision to build great data products. In past we have served fifty five customers and presently developing our second product, Robonate. First was emmoQ - an emotion intelligence platform. Third offering, H2HData, an innovation lab where we solve hard problems through data, science, & design.

We work extensively & intensely on big data, data science, machine learning, deep learning, reinforcement learning, data analytics, natural language processing, cognitive computing, and business intelligence.

First-and-Foremost

Before you dive-in exploring this opportunity and press Apply, we wish you to evaluate yourself - We are looking for right candidate, not the best candidate. We love to work with someone who can mandatorily gel with our vision, beliefs, thoughts, methods, and values --- which are aligned with what can be expected in a true startup with ambitious goals.

Skills are always secondary to us. Primarily, you must be someone who is not essentially looking for a job or career, rather starving for a challenge, you yourself probably don't know since when.

A book can be written on what an applicant must have before joining a . For brevity, in nutshell, we need these three in you:

1. You must be [super sharp] (Just an analogue, but Irodov, Mensa, Feynman, Polya, ACM, NIPS, ICAAC, BattleCode, DOTA etc should have been your Done stuff. Can you relate solution 1 to problem 2? or Do you get confused even when solved similar problem in past? Are you able to grasp problem statement in one go? or get hanged?)
2. You must be [extremely energetic] (Do you raise eyebrows when asked to stretch your limits, both in terms of complexity or extra hours to put in? What comes first in your mind, let's finish it today or this can be done tomorrow too? Its Friday 10 PM at work -Tired?)
3. You must be [honourably honest] (Do you tell others what you think, or what they want to hear? Later is good for sales team for their customers, not for this role. Are you honest with your work? intrinsically with yourself first?)

You know yourself the best. If not ask your loved ones and then decide. We clearly need exceedingly motivated people with entrepreneurial traits, not employee mindset - not at all.

This is an immediate requirement. We shall have an accelerated interview process for fast closure - you would be required to be proactive and responsive.

Real ROLE
We are looking for researchers with real passion for deep learning. You would be required to work with our research team on several deep learning applications.

Mandatory

R1. Must know in-and-out of functional programming in Python with strong flair for data structures, linear algebra, & algorithms implementation

R2. Must be able to apply state-of-art deep learning models to our existing research and develop entirely new methods, which are advanced & modern

R3. Must have designed multiple deep learning techniques solving complex business scenarios preferably from marketing domain across industries

R4. Must have designed proven pre-processing techniques on unstructured (image, audio, video, text, logs) and time-series data

R5. Must have designed CNN, RNN (atleast three variants including LSTM), Auto Encoders, DBN, MLP, RBM

R6. Must have tweaked & trained on deep learning architectures mainly AlexNet, ResNet, RCNN, GAN

R7. Must have worked on classification, clustering, computer vision, speech recognition, text summarization, time-series analysis

R8. Must have firm understanding of the underlying mathematics will be needed to adapt modelling techniques to fit the problem space with large data (10M+ entities)

R9. Must be extremely strong working knowledge on Python scientific stack (NumPy, SciPy, Matplotlib, Scikit-learn, Pandas, Stats model, Seaborn, PyBrain) and atleast basic working knowledge on TensorFlow. R/ SAS/ SPSS etc are not acceptable.

Preferred

R10. Good to have knowledge and practical experience in application of Supervised Learning algorithms, Bayesian methods, Gaussian processes, Combinatorial optimization, Meta Learning, Transfer Learning, Convex optimization, Sparse methods, Kernel methods, Stochastic process, Statistical learning theory, and Approximate inference

R11. Good to have working knowledge of first-class, high order, & pure functions, recurisons, lazy evaluations, and immutable data structures

R12. Good to have worked on Tensorboard, Saving & Restoring models, Continue Training

R13. Good to have worked on Keras on top of TensorFlow

R14. Good to have worked on Reinforcement Learning and Generative Adverbial Networks

R15. Great problem solver with extremely high curiosity on data processing & patterns

Ideal YOU
Y1. Degree in engineering, or any other data-heavy field at Bachelors/Masters/Ph.D level or above from a top tier institute
Y2. Relevant experience of 0.5 - 5 years working on real-world problems in a research lab or a reputed company or a proven startup
Y3. You are a fanatical implementer who love to spend time with findings & innovations, more than your loved ones
Y4. You are true believer that human intelligence can be augmented through computer science & mathematics and your survival vinaigrette depends on getting the most from the data
Y5. You are an entrepreneur mindset with ownership, intellectuality, & creativity as way to work. These are not fancy words, we mean it

Actual WE
W1. Real startup with Meaningful products
W2. Revolutionary not just disruptive
W3. Rules creators not followers
W4. Small teams with real brains not herd of blockheads
W5. Completely trust us and should be trusted back

Why Us
In addition to the regular stuff which every good startup offers – Lots of learning, Food, Parties, Open culture, Flexible working hours, and what not….

We offer you:

You shall be working on our revolutionary products which are pioneer in their respective categories. This is a fact.

We try real hard to hire fun loving crazy folks who are driven by more than a paycheck. You shall be working with creamiest talent on extremely challenging problems at most happening workplace.

How to Apply
You should apply online by clicking ""Apply Now"".

For queries regarding an open position, please write to careers@busigence.com
For more information, visit http://www.busigence.com

Careers: http://careers.busigence.com

Research: http://research.busigence.com

Jobs: http://careers.busigence.com/jobs/research

Feel right fit for the position, mandatorily attach PDF resume highlighting your

A. Key Skills
B. Knowledge Inputs
C. Major Accomplishments
D. Problems Solved
E. Submissions – Github/ StackOverflow/ Kaggle/ Euler Project etc. (if applicable)

If you don't see this open position that interests you, join our Talent Pool and let us know how you can make a difference here. Referrals are more than welcome. Keep us in loop"
Full-time,2023-01-08,NA,AI Engineer,2023-01-08 13:30:54.892523 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=zD_Y3JhXZTMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Bloom Consulting Services,India,"NA

Experience

2 - 6 years

Offered Salary

Notice Period

Not Disclosed

Job Description

Desired Candidate Profile:
• BE/BTech: (2-6 years industry experience)
• Mtech( AI/CS) (2- 4 Years Industry experience)
• 2+ years Machine Learning experience
• 2+ years of Python experience
• Mandatorily should have implemented ML solution(s) that is/are live in production.
• Knowledge of ML Solution Design and building from scratch is a plus.
• Strong enthusiasm to work in Start-up environment.

Maths and Stats:
• Grasp of Basic Statistics, Hypothesis test, etc.
• Ability of understand mathematical equations in research papers.
• Good understanding of maths behind ML techniques like SVM, etc.

Machine Learning:
• Good understanding of machine learning concepts: regression, classification, clustering
• Concepts of Image processing, computer vision
• Familiar with deep learning principles like deep neural nets, conv nets, recurrent nets etc.
• Should be able to pick up different applications... and industries like chatbot, recommendation engine, manufacturing automation, transport optimization.

Python:
• Strong grasp in Python numpy, pandas, matplotlib is a must
• Basic understanding of application frameworks, APIs, Server-Client, Django is a plus"
Full-time,NA,NA,Specialist-Machine Learning Ops,2023-01-08 13:30:55.467450 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=bqxHRQRIOjoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Eaton,India,"Description:

If you desire to be part of something special, to be part of a winning team, to be part of a fun team – winning is fun. We are looking forward to a Specialist Machine Learning Ops Engineer based in Pune, India. In Eaton, making our work exciting, engaging, meaningful; ensuring safety, health, wellness; and being a model of inclusion & diversity are already embedded in who we are - it’s in our values, part of our vision, and our clearly defined aspirational goals. This exciting role offers opportunity to:

Our Centre for Intelligent Power located at Eaton’s global headquarters in Dublin, applies data science to transform all aspects of our company. We’re working on solving the technical challenges of today’s digital world, while developing groundbreaking technology that’s going to power the next generation of futuristic products and services. Our multidisciplinary team of data scientists, data engineers and UX/UI designers are developing products based on AI, Edge... computing and Machine learning.We’re continuing to expand our organization and are now recruiting a Specialist Machine Learning(ML) Ops Engineer who will support the expansion and management of our large-scale, highly-distributed edge and cloud data processing pipelines.
• Demonstrate exceptional impact in delivering projects, products and/or platforms in terms of scalable data processing and application architectures, technical deliverables and delivery throughout the project lifecycle.
• Responsible for ensuring that ML deployment pipelines can maintain and monitor model accuracy and ensure application code quality.
• Lead the development of the Intelligence layer MLOps pipelines, ensuring that infrastructure and code is delivered incrementally and according to our internal security deployment policies.
• Work with stakeholders, define the deployment strategy and infrastructure to support AI/ML requirements
• Responsible for ensuring model development is deployable and sustainable at scale and meets the business needs.
• Author high-quality, high-performance, unit-tested code to extract and transform data based on business and data science needs
• Must be conversant with Agile methodologies and tools and have a track record of delivering products in a production environment.
• Work directly with stakeholders, engineering, and test to create high quality solutions that solve end-user problems.
• Develop and execute agile work plans for iterative and incremental project delivery
• Explore and recommend new tools and processes which can be leveraged across the data preparation pipeline for capabilities and efficiencies.
• Ensure that our development and deployment are tightly integrated to each other to maximize the deployment user experience.
• Curator for all code and binary artifact repositories (containers, compiled code)
Qualifications

Requirement:
• BE in computer science or equivalent software engineering discipline.
• 10+ years of experience in a relevant and comparable role in the software industry, with a proven track record of success.
• Proficient in Python and Linux environments to support model training, analysis and prediction pipelines for our advanced analytics services.
• Experienced in designing and building highly distributed and scalable Analytics/Data Science/Machine Learning pipeplines hosted in major public and/or private cloud providers such as Azure, AWS or Google Cloud.
• Proficient in developing and maintaining AI & ML DevSecOps pipelines to support Model training and prediction requirements.
• Experience with Docker & Docker orchestration technologies (e.g. Kubernetes (K8S), Docker compose).
• Ability to develop Machine learning and validation pipelines in a secure and enterprise grade environment.
• Strong problem solving and software debugging skills with a track record of delivery and a willingness to roll up sleeves to get the job done.
• Excellent verbal and written communication skills including the ability to effectively explain technical concepts.

Desired:
• Masters or equivalent degree in computer science or comparable software engineering discipline.
• Experience in deployment of Infrastructure-as-Code using Terraform.
• Proficiency with cloud technologies (IaaS, PaaS, serverless technology) micro-service design, CI/CD and DevOps technologies.
• Experience in Knowledge Graphs and integration this technology into intelligence pipelines.
• Experience in building and deploying AI/ML models in large scale production projects with modern light-weight design (API, Microservices etc.)
• Experience with ML frameworks and libraries such as TensorFlow, Keras, Pytorch and Kubeflow.
• Experienced in big data orchestration frameworks such as Apache Airflow.
• Knowledgeable in leveraging data transit protocols and technologies (AMQP, MQTT, Rest API, JDBC, etc).
• Knowledge of multiple cloud and edge technologies, especially Microsoft Azure e.g. Databricks, Azure IoT Edge.
• Knowledge of cloud development platforms such as Azure or AWS and their associated data storage options.
• Experience in integrating Artifact repositories (eg JFrog Artifactory) into CI/CD pipeline to manage and control access to binary dependencies
• Experience with Agile development methodologies and concepts.
• Keeps abreast of upcoming software development/engineering tools, trends, and methodologies.
• Good judgment, time management, and decision-making skills.

Yes! Because you are the one we are looking for, we hope to hear from you now!

#LI-PD1

We make what matters work. Everywhere you look—from the technology and machinery that surrounds us, to the critical services and infrastructure that we depend on every day—you’ll find one thing in common. It all relies on power. That’s why Eaton is dedicated to improving people’s lives and the environment with power management technologies that are more reliable, efficient, safe and sustainable. Because this is what matters.

We are confident we can deliver on this promise because of the attributes that our employees embody. We’re ethical, passionate, accountable, efficient, transparent and we’re committed to learning. These values enable us to tackle some of the toughest challenges on the planet, never losing sight of what matters.

Job: Engineering

Region: Asia Pacific
Organization: INNOV Innovation Center

Job Level: Manager
Schedule: Full-time
Is remote work (i.e. working from home or another Eaton facility) allowed for this position?: No
Does this position offer relocation?: Relocation from within hiring country only
Travel: No"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:30:56.049489 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjFxde06Lj8AhVZATQIHTCsAN0QutcGKAF6BAgZEAY#htivrt=jobs&htidocid=QgriOfgqNX0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Rooter Sports Technologies,"New Delhi, Delhi, India","We are looking for a highly motivated and a self-starter to help understand and build predictability across various funnels and support, create and launch important deep learning product initiatives.

Responsibilities:
• Develop ML Ops processes to support training and deployment of models based on DevOps and CI/CD principles.
• Design systems to provide real-time data for real-time machine learning models
• Partner with Data Scientists to test, validate and deploy Machine Learning and Optimization models
• Build and extend ML Frameworks, API connectivity and libraries to meet requirements.
• Establish processes by which models can be trained, retrained and Fine Tuned.

Requirements:
• Experience: 4-8 Years
• Experience in AWS, GCP, Big Query, Sage maker or any cloud based ML tool.
• Masters/Bachelors with 4+ years of experience in building/deploying real-world machine learning/Deep learning applications
• Previous experience with or exposure to: Deep Learning algorithm techniques... open source tools and technologies, statistical tools, and programming environments such as Python, R, and SQL
• Big Data platforms such as Hadoop, Hive, Spark, GPU Clusters for deep learning"
