Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,NA,NA,Machine Learning Engineer,2023-01-08 16:58:02.990345 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=6K0ei2d4E7oAAAAAAAAAAA%3D%3D&fpstate=tldetail,Microsoft,"Dublin, Ireland","Office 365 continues to lead the cloud transformation for Microsoft and has become the locomotive for services across the Company. With hundreds of thousands of customers and hundreds of million users already on the service, Office 365 is leading the future of services.

Customers and Partners are betting on the cloud and expecting Office 365 to deliver an unparalleled experience on the service. Our customers deserve and expect high satisfaction from the service and Office 365 is taking bold steps to deliver to this standard. Office 365 is leading the transformation and redefinition of how we help customers on the service. Our mission is to distinguish O365 support as a cloud-first support model that is optimized for customer experience and based on a culture of satisfaction.

The ML engineers from the AI and Business Intelligence (BI) team explore the big data from Office 365 operation and support in search of consistent patterns and systematic relationships (connect the dots) across... all data sources involved. The goal of this team is to predict trends, find insides and produce actionable, trustworthy recommendations and decisions for Office 365 operation and Tenant Value Guidance, which is curried on through an analytical modelling process based on machine learning by processing structured, semi-structed and unstructured data"
Full-time,NA,NA,Machine Learning Researcher,2023-01-08 16:58:03.573144 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=_tnF7R8WiGMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Huawei Ireland,"Dublin, Ireland","Location: Dublin

About Huawei

Huawei, the leading Telecommunications and IT solution provider has its European Research and Development centre for Autonomous Networks in Dublin. Led by Huawei’s Autonomous Networks vision, our Ireland LABis leading pioneering R&D in advanced software architectures & systems that underpin the transformation from Operator Driven to Autonomous Networks and plays a pivotal role in the future networking products and solution for Huawei’s customers.

Our team is applying a combination of advanced software techniques/architectures and deep domain expertise to transform the network to become agile, programmable, on-demand and autonomous. We are expanding our highly talented team to unlock the potential of the network and make a major break-through in the network revolution.

With the goal of maximising the benefits and use of cloud, big data, and artificial intelligence (AI) technologies, Huawei is developing their Autonomous Driving Networks solution to... bridge the gaps between the physical network and business goals. This solution aims to deliver networks driven by a business logic and service strategies based around end user experience and incorporating intelligence, simplicity, ultra-broadband, security, and openness with built-in automation from end to end. These networks also look to sense the quality of the user experience in real time, and perform predictive analysis so that they can proactively optimize performance.

Key Responsibilities:
• Contribute to ground breaking technology towards fully autonomous networks
• Design and implement Machine Learning model and pipelines to enable the automation of complex tasks in the Networking Domain
• Follow the latest ML research developments and evaluate their relevance for our projects
• Focus on the explicability of our models to allow independent result validation by network experts
• Demonstrate the potential of ML model through proof of concept projects
• Work with a distributed team of network experts, software architects and researchers, contributing to the enhancement of Huawei’s products and ecosystem
• Strong Machine Learning research record
• Experience performing data extraction, cleaning, analysis and presentation for big data sets
• High proficiency with at least one programming language (Python, R, Java, etc.)
• Proficiency with ML frameworks / packages (PyTorch, TensorFlow, Jax, scikit-learn etc.)
• Experience on building explainable ML models or source code modelling and generation
• Knowledge of computer networks (or willingness to learn about them)
• Experience in deploying ML models in production is a plus

Academic & Technical:
• MSc (PhD preferred) in Machine Learning, Computer Science, Maths or related fields.
• 5+ years of academic research or/and industry research experience.
• Knowledge of software architecture design, scalability, distributed systems and cloud technologies in the context of ML is a plus.

Basic:
• Fluent in English (written and spoken).
• Excellent communication and interpersonal skills.
• Quick learner and confident in working in research projects
• Ability to work within a team while successfully delivering individual targets.
• Experience working within an Asian business culture is a plus.
• Private Health Insurance
• Pension Plan
• Paid Time Off
• Work From Home
• Training & Development
• Performance Bonus

ONLY CANDIDATES WHO MAY LIVE AND WORK IN IRELAND WITHOUT RESTRICTION CAN BE CONSIDERED FOR THIS POSITION.

DUE TO THE HIGH VOLUME OF REPLIES, ONLY CANDIDATES WHO ARE SHORTLISTED FOR INTERVIEW WILL BE CONTACTED

http://career.huawei.com/reccampportal/portal/hrd/weu_rec_all.html"
Full-time,2023-01-08,€100K–€120K a year,Machine Learning Engineer – AI Focused Product,2023-01-08 16:58:04.144429 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=FbG_Jyb8S5IAAAAAAAAAAA%3D%3D&fpstate=tldetail,Archer - The IT Recruitment Consultancy,"Dublin, Ireland","Machine Learning Engineer – AI Focused Product
• AWS Cloud Environment
• Modern tech stack - AI/ML Focused
• Permanent role with very flexible WFH Options

This is a Machine Learning Engineer role to join am AI Product focused company with their Tech hub based in Dublin. They are developing high end data focused solutions with a range of project that focus on AWS and AI Engineering. Due to the growth of the company, they are seeking a strong Machine Learning Engineer to be a part of their massive greenfield Digital transformation that has received massive investment.

As a Machine Learning Engineer, you will play a massive role in the design, development and implementation of the cloud/ AWS solutions while working hand in hand with the Head of Analytics. They are searching for an individual that wants to make a genuine impact, share opinions and have their voice heard.

Moreover, you will work in a technology focused organisation with access to the latest technologies such as AWS Big... Data analytics, Data Bricks/ Spark/PySpark, S3 Buckets, Glue, Lambda and Python and Machine Learning Technologies to assist the Data Scientists to push the models into production which will allow you to expand your technology skills. You will focus will be extremely technically focused on AWS technologies. You will join a cross functional team of 7 experienced engineers and developers on the Platform team in maintaining and advancing their DS platform, designing ETL pipelines & Data Lake.

They are the largest organisation of their kind and with new investors that are focusing heavily and believe in their analytics platform, you will become play an incremental part in their AWS digital transformation and AI Advanced.

Finally, this company have adopted a very flexible stance on remote working (You may have to take a trip to the office based in Dublin for case critical instances however they believe in a strong work life balance that suits you! You must be based in Ireland.

The ideal candidate will have 5+ years’ experience in a Machine Learning Engineer role (with strong Python & AWS skills), a passion for learning new technology and looking for an opportunity to take their career to the next level.

Role / opportunity:

• Machine Learning Engineer
• Senior Machine Learning Engineer who wants to building high end, technically challenging products
• Join Dublin office – R & D center for one of their flagship products
• Build cloud based data analytics platform with machine learning and AI focused capabilities
• Global household organisation – hugely successful and well known market leader
• Machine Learning
• Python, AWS, ETL, Data Engineering, Glue, S3, Data Lake
• Highly skilled engineering team; great people to collaborate with and learn from
• Permanent Position
• Great benefits
• Highly competitive salary

Skills / experience:
• 5+ years’ Data engineering experience
• Strong Python and AWS engineering skills
• Experience building high performance, enterprise scale solutions

Package:

EUR DOE + 10% bonus, Profit share scheme, 10 days pad study leave, Tuition support, free onsite gym, Pension, Part paid health insurance and free parking"
Internship,NA,NA,Machine learning Intern,2023-01-08 16:58:04.714844 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=6f7OG9gAaj4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Intel Ireland Ltd,"Leixlip, County Kildare, Ireland","AI Image Analytics division of the Manufacturing, Supply and Operations Automation (MSOA) group at Intel Ireland offers unique internship experience to candidates with a combination of cutting-edge research and commercial technology development.

We are seeking an intern who is self-motivated and passionate about working on Computer Vision research and its applications involving various problems such as Classification, Object Detection etc.

Responsibilities include:
• Define and pursue application/research questions
• Solve technical problems with experimentation
• Communicate results with well-written technical documentation
• Collaborate with engineers across other divisions.

Qualifications

UNDERGRADUATE STUDENT, M.Sc. or Ph.D. students in Computer Science, Electronics, Applied Mathematics, and Statistics or related area. Students should be studying towards a Degree.
• Fluency in Python
• Experiences in programming and testing on Linux or Windows environment
• Experience with... version control (Git, CI)
• Understanding of Computer Vision and Deep Learning techniques
• Problem-solving and algorithm design skills
• Experience working with one or more frameworks such as TensorFlow, PyTorch and OpenCV
• Excellent verbal and written communication skills
• Experience with web development

Preferred Qualifications
• Experience with databases (SQL)
• Full-stack web development
• Scientific Publications in one or more of Deep Learning, Computer Vision, Electronics and Computer Science
• Requirements listed would be obtained through a combination of industry-relevant job experience, internship experiences or college assignments, classes, or research.

What we will offer you
• Extensive training and hands-on practical experience working with some of the smartest people in the world
• Competitive benefits and pay
• Onsite bank, gym, canteens, games areas and sports and social clubs
• Opportunities to volunteer

Inside this Business Group

As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art -- from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology Development and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore’s Law to bring smart, connected devices to every person on Earth.

Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

Benefits

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

Working Model

This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.

In certain circumstances the work model may change to accommodate business needs"
Full-time,2023-01-08,€100K–€110K a year,Machine Learning Engineer – AI Focused Product,2023-01-08 16:58:05.290811 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=FmBjKX8u4gcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Archer Recruitment,"Dublin, Ireland","Machine Learning Engineer – AI Focused Product
• AWS Cloud Environment
• Modern tech stack - AI/ML Focused
• Permanent role with very flexible WFH Options

This is a Machine Learning Engineer role to join am AI Product focused company with their Tech hub based in Dublin. They are developing high end data focused solutions with a range of project that focus on AWS and AI Engineering. Due to the growth of the company, they are seeking a strong Machine Learning Engineer to be a part of their massive greenfield Digital transformation that has received massive investment.

As a Machine Learning Engineer, you will play a massive role in the design, development and implementation of the cloud/ AWS solutions while working hand in hand with the Head of Analytics. They are searching for an individual that wants to make a genuine impact, share opinions and have their voice heard.

Moreover, you will work in a technology focused organisation with access to the latest technologies such as AWS Big... Data analytics, Data Bricks/ Spark/PySpark, S3 Buckets, Glue, Lambda and Python and Machine Learning Technologies to assist the Data Scientists to push the models into production which will allow you to expand your technology skills. You will focus will be extremely technically focused on AWS technologies. You will join a cross functional team of 7 experienced engineers and developers on the Platform team in maintaining and advancing their DS platform, designing ETL pipelines & Data Lake.

They are the largest organisation of their kind and with new investors that are focusing heavily and believe in their analytics platform, you will become play an incremental part in their AWS digital transformation and AI Advanced.

Finally, this company have adopted a very flexible stance on remote working (You may have to take a trip to the office based in Dublin for case critical instances however they believe in a strong work life balance that suits you! You must be based in Ireland.

The ideal candidate will have 5+ years’ experience in a Machine Learning Engineer role (with strong Python & AWS skills), a passion for learning new technology and looking for an opportunity to take their career to the next level.

Role / opportunity:
• Machine Learning Engineer
• Senior Machine Learning Engineer who wants to building high end, technically challenging products
• Join Dublin office – R & D center for one of their flagship products
• Build cloud based data analytics platform with machine learning and AI focused capabilities
• Global household organisation – hugely successful and well known market leader
• Machine Learning
• Python, AWS, ETL, Data Engineering, Glue, S3, Data Lake
• Highly skilled engineering team; great people to collaborate with and learn from
• Permanent Position
• Great benefits
• Highly competitive salary

Skills / experience:
• 5+ years’ Data engineering experience
• Strong Python and AWS engineering skills
• Experience building high performance, enterprise scale solutions

Package:

EUR DOE + 10% bonus, Profit share scheme, 10 days pad study leave, Tuition support, free onsite gym, Pension, Part paid health insurance and free parking"
Full-time,2023-01-08,NA,Software Engineer - Machine Learning Compilers,2023-01-08 16:58:05.859280 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=vgxZHH97exAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Arm,"Galway, Ireland","Job Overview

This role presents an opportunity to contribute to innovative Machine Learning compilation technology. You will help build the software that enables development of deep learning applications, smartphones, self-driving cars and many other areas.

In the Arm's Machine Learning (ML) Compiler team we are seeking a compiler engineer to build a range of innovative compiler solutions for a variety of markets. This is a rare opportunity to join a compiler team, and have a marked impact on both strategy and implementation!

You will apply your experience and insight within this domain to build and optimise compilers for machine learning networks targeting Arm’s range of CPU, GPU and NPU.

Responsibilities
• Build, extend and collaborate on innovative ML compiler projects such as Apache TVM
• Develop high-quality, improvements for Arm’s partners
• Work with other groups in Arm to expand support of the Arm architecture and cores

Required Skills And Experience
• C/C++ development... experience
• Experience in the full software development lifecycle (designing, developing, testing, delivering, and maintaining production-quality software), in a commercial environment
• Curiosity about compilers
• Fortitude to learn new skills and technologies

“Nice To Have” Skills And Experience
• Experience in contributing to an open-source project and working with an open-source community
• Interest in Machine Learning applications and frameworks
• Knowledge of scripting languages, for example Python or shell-scripting

In Return

On top of the already compelling Life at arm, we are famous for our team culture - regular career conversations, remarkable diversity, equity and inclusion approach and continuous improvement mentality.

We offer a competitive reward package including annual bonus, RSUs and healthcare support. As well as other benefits such as an on-site gym and social events that are organised within the company!

We are offering a hybrid approach to home and office working to provide an adaptable experience for all employees. We expect some working time to be spent in office, to promote a strong collaborative environment with good team integration but are accommodating to different home working requirements.

Arm is an equal opportunity employer, committed to providing an environment of mutual respect where equal opportunities are available to all applicants and colleagues. We are a diverse organization of dedicated and innovative individuals, and don’t discriminate on the basis of any characteristic"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:58:06.437227 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=Qcu6hURmqv4AAAAAAAAAAA%3D%3D&fpstate=tldetail,ornua foods,"Dublin, Ireland","Salary €90-100k Location Dublin, Republic of Ireland Type Permanent Start ASAP Machine Learning Engineer 73119 Desired skills: Scikit-learn, Pandas, Spark, MLlib, TensorFlow , PyTorch, Machine Learning We have an exciting opportunity to be part of a thriving and dynamic team, focused on solving business problems with Machine Learning algorithms. You will work with a motivated and talented group of software engineers and data scientists. You will grow with the team and have a lot of influence over how the team approached key business problems, mainly focused on advertising and customer churn data. Skills Needed: Excellent knowledge of machine learning concepts, experience of building models for production essential Strong Python development experience, including experience with APIs desirable Proficient with at least two of the following libraries or packages - scikit-learn, pandas, Spark MLlib, TensorFlow or PyTorch Strong software development fundamentals, familiarity with software... development lifecycle and best practices NLP would be an advantage but not essential Familiarity with Python and SQL data structures This is an outstanding opportunity to get working with a team who are building at scale and are transforming the business over the next couple of years. You will have the chance to impact business decisions, liaise with senior management on how to approach problem solving, gain further up - skilling in ML techniques and ultimately carve out an amazing career for yourself. Benefits include: market leading salary, pension, healthcare, wellbeing days, generous parental leave, bonus structure and more. For a confidential discussion about your job search, please contact Graeme King at Reperio Human Capital.
"
Full-time,NA,NA,Senior Machine Learning Engineer - Spam (Remote),2023-01-08 16:58:07.035535 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=f5oeawFJE-8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Yelp,"Dublin, Ireland","Yelp has billions of pieces of user-contributed content, millions of users and business listings, and hundreds of thousands of advertising customers—all of which are constantly growing. Our machine learning engineers turn raw data into valuable signals by building end-to-end ML systems from feature ETLs, as well as deploying predictive models in production and building the ML platforms that those models rely on. These systems power applications like search ranking, ads targeting, push notifications, and photo understanding.

The Spam team is responsible for ensuring that Yelp is a safe platform to use and reflects real user experiences by leveraging machine learning techniques.

Yelp engineering culture is driven by our values: we’re a cooperative team that values individual authenticity and encourages creative solutions to problems. All new engineers deploy working code their first week, and your impact will only grow from there with the support of your manager, mentor, and team. At... the end of the day, we’re all about helping our users, growing as engineers, and having fun in a collaborative environment

This opportunity requires you to be located in the Republic of Ireland.

We’d love to have you apply, even if you don't feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes.

Where You Come In:
• Conduct end-to-end analyses, from wrangling data via SQL or Python, to statistical modeling, to hypothesizing and presenting business ideas.
• Work with large, complex datasets.
• Lead the development of machine learned models for offline, batch-based data products as well as models deployed to online, real-time services.
• Provide technical mentorship and coaching to team members.
• Work in areas such as search, ads targeting, spam, and photo understanding.
• Productionize and automate model pipelines within Python services.
• Drive and lead adoption of MLOps best practices.
What It Takes to Succeed:
• Experience with data ETL and data analysis packages and workflows (SQL, MapReduce, Spark, etc.), as well as communicating these results with stakeholders.
• Strong coding skills in Python or an equivalent programming language.
• Solid understanding of software engineering best practices.
• Experience developing and productionizing machine learning models using packages such as xgboost, Sklearn, TensorFlow, Spark MLlib, etc.
• The curiosity to uncover promising solutions to new problems, and the persistence to carry your ideas through to an end goal.
• Working together with stakeholders to detect the best business value opportunities and translating them into machine learning solutions.
What You'll Get:
• Full responsibility for projects from day one, a collaborative team, and a dynamic work environment.
• Competitive salary, a pension scheme, and an optional employee stock purchase plan.
• 25 days paid holiday (rising to 29 with service), plus one floating holiday.
• €150 monthly reimbursement to help cover remote working expenses.
• €89 caregiver reimbursement to support dependent care for families.
• Private health insurance, including dental and vision.
• Flexible working hours and meeting-free Wednesdays.
• Regular 3-day Hackathons, bi-weekly learning groups, and productivity spending to support and encourage your career growth.
• Opportunities to participate in digital events and conferences.
• €67 per month to use toward qualifying wellness expenses.
• Quarterly team offsites.
#LI-Remote"
Full-time,NA,NA,Senior Machine Learning Scientist,2023-01-08 16:58:07.613465 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=uM6NQm5iZE4AAAAAAAAAAA%3D%3D&fpstate=tldetail,2K,"Dublin, Ireland","Who We Are

Founded in 2005, 2K Games is a global video game company, publishing titles developed by some of the most influential game development studios in the world. Our studios responsible for developing 2K’s portfolio of world-class games across multiple platforms, include Visual Concepts, Firaxis, Hangar 13, CatDaddy, Cloud Chamber, and HB Studios. Our portfolio of titles is expanding due to our global strategic plan, building and acquiring exciting studios whose content continues to inspire all of us! 2K publishes titles in today’s most popular gaming genres, including sports, shooters, action, role-playing, strategy, casual, and family entertainment.

Our team of engineers, marketers, artists, writers, data scientists, producers, thinkers and doers, are the professional publishing stewards of our growing library of critically-acclaimed franchises such as NBA 2K, Battleborn, BioShock, Borderlands, The Darkness, Mafia, Sid Meier’s Civilization, WWE 2K, and XCOM.

At 2K, we pride... ourselves on creating an inclusive work environment, which means encouraging our teams to Come as You Are and do your best work! We are dedicated to diversity and inclusion, and want our community of candidates to reflect this commitment. We encourage all qualified applicants to explore our global positions.

2K is headquartered in Novato, California and is a wholly owned label of Take-Two Interactive Software, Inc. (NASDAQ: TTWO).

What We Need

We are looking for a skillful and aspirational data scientist to join a rapidly growing team pioneering innovations in the Data & Analytics organisation. This team brings AI, machine learning, statistics, operations research, and economics to the design, operation, and Optimisation of 2K’s games. We cover the application of algorithmic solutions to matchmaking, player experience personalization, in-game economy, and fraud.

What You Will Do

Work closely with game development, live services, tech, and data engineering teams to identify, frame, and solve problems through innovative applications of machine learning in the fascinating world of video gaming.

Research and implement machine learning models and AI algorithms to impact in-game experiences.

Collaborate with engineers on integrating machine learning solutions with the products.

Who We Think Will Be A Great Fit

You have great technical breadth and depth over machine learning and statistics, experience with deployment and productizing machine learning models, track record of technical leadership on complex projects through cross-team collaborations.

You are a solution oriented, creative problem solver, a self-starter with the passion and enthusiasm to drive impact, build whatever is necessary along the way. You are capable and comfortable making architectural choices when working on complex solutions consisting of multiple components.

What You Will Have
• Master or PhD in Mathematics, Statistics, Physics, Computer Science, Operations Research, Industrial Engineering, Electrical Engineering, or Economics.
• 2+Years of experience in machine learning, data science, or applied science roles.
• Expertise in both traditional ML & deep learning.
• Proficient in Python programming and machine learning modelling/computation frameworks such as scikit-learn, PyTorch, Tensorflow, Spark ML
• Proficient in relational database and SQL. Experience with big data technologies such as Apache Spark, NoSQL databases
• Excellent communication skills with both technical and non-technical audience
• Technically not a ""skill"", but, you are comfortable with working hours 10am-6.30pm enabling greater connection with our US HQ

Bonus Points:
• Experience with matchmaking algorithm in either gaming or non-gaming context, recommender systems, simulations, or antifraud problems.
• Expertise in mathematical optimisation, reinforcement learning, game theory, mechanism design or market design.
• Knowledge and experience of RNN, GNN, GAN, Anomaly Detection
• Cloud services such as AWS. Familiarity with containerisation, container orchestration, serverless, and model serving
• Familiarity with video games

As an equal opportunity employer, we are committed to ensuring that qualified individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform their essential job functions, and to receive other benefits and privileges of employment. Please contact us if you need reasonable accommodation.

Please note that 2K Games and its studios never uses instant messaging apps or personal email accounts to contact prospective employees or conduct interviews and when emailing, only use 2K.com accounts.

#LI-CC

#Li-Onsite"
Full-time,NA,NA,Machine Learning Engineer - Recommender Systems,2023-01-08 16:58:08.195552 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwiPsL7clrn8AhX9MTQIHcMZCwgQutcGKAF6BAgREAY#htivrt=jobs&htidocid=OxU79jtxuPkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Huawei Ireland,"Dublin, Ireland","Location: Dublin, Ireland (onsite)

We are currently looking for a Machine Learning Engineer – Recommender Systems to join our Huawei Consumer Cloud Service - App Gallery team based in our Dublin Office.

In this role, you will have the chance to work on projects that impact millions of people, explore novel ways to build recommender systems for the App Gallery, provide the most relevant items to users while preserving user privacy

Key Responsibilities:
• Responsible for building and evolving the core module of the recommendation system, including data analysis, distributed model training, productionization and online experiments, etc.
• Write product or system development code

Minimum Qualifications:
• Solid background in machine learning, familiar with recommendation systems and their core components.
• Have hands-on experience in handling large-scale data with one or more frameworks like Spark, Hadoop, Flink, Elastic Search, etc.
• Familiar with algorithms used in recommendation... systems, such as Collaborative Filtering, Logistics Regression, Factorization Machine, etc
• Proficient with software development in programming languages Java, Python, and Scala.

Preferred Qualifications:
• MS/Ph.D. in Machine Learning or related technical field
• Experience in leading a technical team.
• Experience in developing real-time applications/services with high throughput and evaluating new features with A/B tests"
