Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,NA,NA,"Data Scientist, Machine Learning & AI",2023-01-08 13:34:09.335619 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=V4-qLi-4DGMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Musixmatch S.p.a,"Bologna, Metropolitan City of Bologna, Italy","ABOUT MUSIXMATCH:

Musixmatch is the leading music metadata company, featuring the world’s largest lyrics catalog and +70M user contributors. Musixmatch is the trusted global partner of companies like Spotify, Apple, Amazon Music, Meta, Google, MTV, Shazam, Vevo and has a partnership with +100,000 music publishers including Sony/ Music Publishing, Universal Music Publishing, Warner/Chappell, Kobalt, BMG Rights, and the Harry Fox Agency.

We are a bunch of creatives who care about our work and what we do. We believe that participation and collaboration are key to getting things done well. We are looking for tech-savvy people who are eager to learn in a fast-paced environment, who have an international outlook on life, and who love taking on new challenges.

For our AI & Machine Learning team we’re now looking for a Data Scientist, Machine Learning & AI Engineer in our HQ in Bologna (Italy).

IMPORTANT NOTICE

Due to the COVID-19 outbreak we have put this position on hold, however we... are still super happy to receive your application for us to review and when the position is active again, we will reach out to you should your candidacy match our needs.

Keep safe and healthy!!

WHAT WE’RE WORKING ON:

Natural Language Processing and Query Understanding

Deep Learning

Text Understanding and Classification

Large-scale Machine Learning

Image Processing and Computer Vision

Recommendation systems and Content Personalization

Learning to Rank for Search and Ads

Fraud and Abuse Detection

REQUIREMENTS:

Share our values (below).

Have strong analytical and quantitative skills.

Familiar with techniques in Machine Learning, Data Mining, Recommender Systems, Information Retrieval, Natural Language Processing, Computational Advertising, Deep Learning and Computer Vision or related fields.

Ph.D. degree in Machine Learning, Data Mining, Recommender Systems, Information Retrieval, Natural Language Processing, Computational Advertising, Deep Learning and Computer Vision or related fields.

Demonstrate the capability to review and write technical papers.

Contribute to research that can be applied to Musixmatch products.

Ability to quickly prototype ideas and solve complex problems by adapting creative approaches.

Strong collaborator and communicator, while fostering the engineers around you to grow and learn.

SKILLS:

Have strong technical and programming skills.

2 years minimum experience with these programming languages: Python, C++. A good experience in JavaScript/Node.js and PHP is preferred.

Familiar with one or more of these Machine Learning frameworks: NLTK, CNTK, Torch, TensorFlow.

Experience in one or more of these numerical computing platforms: NumPy, Matlab, R.

WHAT WE OFFER:

- Flexible schedule

- Generous training budget

- Top class tech and equipment

- Company-wide retreat once per year

- Welfare plan

COVID-19 DISCLAIMER:

Musixmatch is actively hiring and, in response to COVID-19, conducting all interviews and onboarding virtually.
• *Due to the amount of CVs that we receive, unfortunately, it is impossible to answer every applicant, thus if you have not received a response from us, please be patient. We do assure you that we will contact you should you be selected to move forward in the recruitment process. We would therefore like to thank all applicants for their interest and time"
Full-time,NA,NA,Deep Learning Scientist (junior/senior),2023-01-08 13:34:09.907332 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=SplM2OHthCIAAAAAAAAAAA%3D%3D&fpstate=tldetail,RADiCAL,"Lombardy, Italy (+1 other)","RADiCAL (https://getrad.co) is looking for a Deep Learning Scientist who will play a key role in developing the next generation of markerless motion-capture, human virtualization and 3D animation solutions . If you want to be involved in genuine product innovation that solves actual problems across many industries and is enjoyed by millions of users around the world, we’d love to speak to you.

About RADiCAL:

RADiCAL democratizes 3D motion capture, animation and human virtualization solutions for everyone, everywhere. We use the most advanced deep learning techniques in developing our cloud-based solutions. Our community of creatives in 3D computer graphics, animation, film, TV and gaming, along with futurists, scientists, academics and design enthusiasts, is growing fast around the world.

About you and the position:

RADiCAL is a startup, so we'd like you to be entrepreneurial, nimble, deeply motivated, and goal-oriented. We're looking for a person with strong initiative, technical... and /professional leadership, as well as the desire to consistently push boundaries. We are laying down the foundation of an ambitious, fast-growing, and well-funded startup and, for the right candidate, this could be a great opportunity to grow with us and become a senior team member and leader.

Given the position you'll be filling, we'd expect that you have at least 2+ years of relevant postgraduate academic and/or professional experience (although we’re open to less experience if you’re exceptionally talented). For the right candidate, the position comes with an equity package commensurate with experience and the level of leadership expected for the position.

Day-to-day responsibilities:

The Deep Learning Scientist will be responsible for:
• Researching, designing, implementing real-world state-of-the-art deep learning solutions
• Training and testing advanced deep learning models at scale in the cloud
• Supporting and improving our development and training/testing architecture
• Optimizing our inference solutions for deployment in production
• Solving complex problems and comparing alternative solutions, trade-offs, and diverse points of view to determine a path forward
• Managing and improving our data collection/generation pipeline and our existing datasets
• Actively interacting with the CTO, CEO, and a highly-motivated full-stack team in a stimulating, collaborative environment

Skills and qualifications:
• Masters (or PhD) degree in related fields such as Machine Learning, Artificial Intelligence, Computer Vision, Computer Science, Robotics, Applied Math, or Physics
• Proficiency with Python and solid software engineering
• Proven experience working with modern deep learning frameworks (Tensorflow, Pytorch, etc.) and modern neural network architectures
• Experience working on a deep learning project from ideation and development (e.g., creating models from scratch) to training, parameter tuning, and testing
• Experience translating problem specifications to algorithms/code
• Experience with implementation and evaluation of public work and academic papers
• Experience with exploratory data analysis for deep learning projects
• Comfortable working in a fast-paced and agile startup environment
• Strong communication and presentation skills
• Pro-active thinking and strong initiative

Preferred skills and qualifications:
• Experience with C++ (expected from seniors)
• Proven track record of achieving significant results as demonstrated by grants, fellowships, patents, first-authored publications in top-tier peer-reviewed journals/conferences (expected from seniors)
• Experience in leading projects and teams (expected from seniors)
• Strong understanding of one or more of the following topics: 3d human motion reconstruction, 2d human pose estimation, 3d kinematics, 3d algebra/geometry, computer vision based image/video processing techniques, human motion synthesis, 3d graphics and animation, biomechanics, 3d motion capture and tracking, object detection, video segmentation, camera calibration, multivariate time-series modelling, numerical optimization methods, detection/tracking methods (Kalman filter, particle filter, SLAM, etc.)
• Experience with cloud-based infrastructure and tools
• Experience with GPU and CUDA development or neural network model optimization
• Experience working/developing with high-end VFX content creation software and/or game engines (such as Unity or Unreal)

Location (in order of preference):

Milan / Italy / Europe

(remote)

If you’re interested, please get in touch via Angel application process or send us a mail here: careers@getrad.co.

We look forward to hearing from you!

RADiCAL focuses on Robotics, Artificial Intelligence, Motion Capture, and Animation. Their company has offices in New York City. They have a small team that's between 1-10 employees.

You can view their website at http://www.getrad.co/ or find them on Twitter, Facebook, and LinkedIn"
Full-time,2023-01-08,NA,Junior Consultant Machine Learning,2023-01-08 13:34:10.482327 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=e0Wxa7gZt2UAAAAAAAAAAA%3D%3D&fpstate=tldetail,Reply,"Bari, Metropolitan City of Bari, Italy","See job description for details

Sei un/a giovane neolaureato/a o laureando/a appassionato/a di Machine Learning ? Credi nelle macchine come agenti intelligenti e sogni di sviluppare algoritmi di Deep Learning ? Progetta modelli analitici innovativi ed esplora le nuove frontiere dell'automazione, unisciti a noi !

COSA OFFRIAMO
• Un nirvana tecnologico . In Reply, l'innovazione ci scorre nelle vene. Abbiamo un cuore nerd e ne andiamo fieri. Dotazioni tecnologiche all'avanguardia, esperienza sul campo, challenges e hackathons, calcetto e caffè gratis ti stanno già aspettando.
• Formazione continua. Nessuno pretende che tu sappia tutto dal momento in cui entri qui. Al contrario: scoprirai un ambiente che ti stimola alla ricerca di nuove opportunità per migliorare i nostri processi.
• Opportunità di carriera. Il percorso di crescita su misura per dare inizio al tuo futuro, l'occasione perfetta per realizzare le tue ambizioni. DI COSA ABBIAMO BISOGNO
• Struttura accademica. Con un'ottima... laurea triennale o magistrale in Informatica, Ingegneria Informatica, Ingegneria Elettronica, Ingegneria delle Telecomunicazioni.
• Spirito di gruppo. In Reply crediamo profondamente nel gioco di squadra. Una volta dei nostri, il tuo team sarà la tua famiglia e ti guiderà in ogni progetto.
• Curiosità e proattività. Ti chiediamo di amare ciò che fai, puntando sempre all'eccellenza. CHI SIAMO
Reply è costituita da un modello a rete di aziende altamente specializzate, che affiancano i principali gruppi industriali nella definizione e nello sviluppo di modelli di business abilitati dai nuovi paradigmi tecnologici e di comunicazione, quali ad esempio, Big Data, Cloud Computing, Digital Communication, Internet degli Oggetti, Mobile e Social Networking.
I servizi di Reply includono Consulenza, System Integration e Digital Services e declina la propria offerta di servizi su tre ambiti di competenza: Processi, Applicazioni e Tecnologie.

Cosa aspetti"
Full-time,NA,NA,Machine Learning Engineer,2023-01-08 13:34:11.044577 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=8s1-0saKtMMAAAAAAAAAAA%3D%3D&fpstate=tldetail,iGenius,"Milan, Metropolitan City of Milan, Italy","Work somewhere with the creativity of a scale-up and expertise of an enterprise.

We’re looking for an extraordinary Machine Learning Engineer to join our AI Team in Milan.

You’d work side-by-side with Developers, Designers and Data Scientists to understand customers’ needs, proposing a range of insightful solutions and to implement and test machine learning models as efficient services integrated into our product ecosystem. You’d also explore state-of-the-art Machine Learning research to improve current products and develop new ones. Other responsibilities will include continuously improving your scientific and engineering skills while helping others to improve theirs through mentoring and guiding them.

What You Have
• A Master’s Degree or PhD in quantitative fields, like Computer Science, Engineering, Stats, Math, or Physics
• At least 2 years of proven experience as a Machine Learning Engineer (or a PhD)
• Understanding of the fundamentals of statistics and machine learning... e.g., sampling theory, inference and interpretation, model validation, regression and classification techniques
• Good knowledge in at least one of the following applied machine learning fields: Recommender Systems, NLP, Information Retrieval, Causal Inference, Time Series, Knowledge Graph
• Experience with the design, implementation and delivery of advanced machine learning projects in either academic or commercial settings
• Superb Python programming skills and experience with data science libraries, e.g., NumPy, Pandas, Scikit-learn, writing efficient production-level code, which is well-written and explainable
• Experience with modeling and implementing deep learning models by employing TensorFlow or PyTorch
• Knowledge and practical use of version control systems, e.g., Git and container tools, e.g. Docker

What Would Be Nice To Have
• Experience working closely with Product
• Experience developing scalable solutions to handle large and complex data
• Interest in MLOps best practices and tools, e.g., Kubeflow
• Experience with Graph DB technologies
• Proficiency in SQL
• Proficiency in Object-Oriented Programming
• Experience with cloud resources, e.g., AWS, Google Cloud
• Familiarity with agile development

Who You Are
• Able to write and speak about complex technical concepts to broad audiences in a simplified format
• Strong team player, enthusiastic, curious and talented at problem-solving, able to work independently and efficiently
• Interested in coaching, mentoring and technical leadership
• Driven and not scared of facing new challenges
• Fluent in English and eager to work in a multicultural, international environment

Working at iGenius

With a growing team in four offices — Milan, NYC, London and Lausanne — iGenius is a scaleup that thinks like an enterprise, where talented innovators can thrive and people come first. That’s not all.

Perks
• Learning Fridays. If our team members know more, so do we. That’s why we give everyone a training budget that they can spend on books, online courses or other training materials
• Smart Working. Trains can be a drag, so we let our team members work from home when they can
• Salary is based on experience, and topped up with other bonuses

About iGenius

iGenius is the scale-up on a mission to reimagine data interaction for businesses.

Our vision is to disrupt the B2B data industry by bringing a consumer approach to it. We are the creators of crystal, the virtual advisor for data intelligence.

Founded in 2016 by Uljan Sharka, iGenius was chosen by LinkedIn as one of the Top 10 Startups to work for in Italy in 2020. It was also recognized by Gartner as a 2021 Cool Vendor in AI Core Technologies, and listed as one of the top Italian startups to watch by Sifted, a Financial Times-backed publication.

Please review our Privacy Policy here https://bit.ly/2XAy1gj"
Full-time,2023-01-08,NA,Computer Vision and Machine Learning Engineer – Settore Industry,2023-01-08 13:34:11.606016 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=FuHXmexjWukAAAAAAAAAAA%3D%3D&fpstate=tldetail,Akka Technologies,"Milan, Metropolitan City of Milan, Italy","AKKA ranks as the European leader in engineering consulting and R&D services in the mobility sector. As an innovation accelerator for its clients, AKKA supports leading industry players in the automotive, telco&media, industrial, aerospace, rail and life-sciences sectors throughout the life cycle of their products with cutting edge digital technologies (AI, ADAS, IoT, Big Data, robotics, embedded computing, machine learning, etc.).

With the aim of strengthening our team, we are looking for a

Computer Vision and Machine Learning Engineer

The resource will be responsible for defining artificial intelligence and computer vision solutions for smart systems and innovative machine-humane interfaces to support the automatization of industrial processes. In particular, the resource will be involved in the following activities:
Definition of data variability required to develop machine and deep learning approaches
Investigation and selection of best concept to support our Customer in... artificial intelligence solutions
Design and implementation of control algorithm architectures
Deployment and validation of developed concepts into target electronics architecture
Tasks management in collaboration with project team members Profile

The ideal candidate has a Degree in Computer Science Engineering, Automation Engineer, Telecommunication Engineer, or equivalent culture, and at least 1 years of experience in the role of Data / Vision Engineer. The candidate has fluent Knowledge of English and team working and communication skills. Geographical mobility is required at national and international level.

Requirements

The ideal candidate presents the following characteristics:
Advanced / Deep Knowledge in CNN architectures
Advanced Knowledge in Python software programming language or equivalent POO software programming language
Previous experience in industrial contexts is preferred
C++ programming skills are preferred

Job Offer
Long-term full-time contract

Location
Milano

Founded 1984, AKKA has a strong entrepreneurial culture and is pursuing fast-paced growth and international development in line with its strategic plan CLEAR 2022. The Group continues to recruit at a steady pace to support its strong business growth. As of 31 December 2018, the Group had 21,000 employees (15,500 at the end of 2017). Driven by its expertise in future mobility, digital and industry 4.0 technologies, the Group’s 2018 revenue rose by 12.8% to €1,505.3 million and has surpassed the €1.5B cap"
Full-time,2023-01-08,NA,PostDoc on Machine Learning - Knowledge Graph,2023-01-08 13:34:12.163961 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=0WCIOjXdNf4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Istituto Italiano di Tecnologia - IIT,"Venice, Metropolitan City of Venice, Italy","Commitment & contract: PostDoc (Collaborator)Location: Venice (Italy)ABOUT USAt IIT we work enthusiastically to develop human-centered Science and Technology to tackle some of the most pressing societal challenges of our times and transfer these technologies to the production system and society. Our Genoa headquarters are strictly interconnected with the other 11 centers around Italy and two outstations based in the US. We promote excellence in basic and applied research such as neuroscience and cognition, humanoid technologies and robotics, nanotechnology, materials for a truly multidisciplinary scientific experience.YOUR TEAMYou will be working in a multicultural and multi-disciplinary group, where computational scientists (Machine Learning, Computer Vision, image processing, big data and high-performance computing), material engineers, chemists, physicists, digital humanists and archaeologists collaborate, each with their own expertise, to carry out common research.The Centre for... Cultural Heritage Technology (CCHT) in Venice is coordinated by Dr Arianna Traviglia, who has extensive experience in mediating the inclusion of technology within the study and protection of Cultural Heritage. Research at CCHT focuses on promoting cutting-edge technologies and approaches for analysis and preservation of Cultural Heritage. This includes ML/CV-based approaches to discover and monitor archaeological sites, digitise heritage objects using automated approaches and automatically transcribe ancient texts.At the Centre, you will be working in the framework of EC Horizon Europe RITHMS project (GA 101073932). RITHMS intends to boost the operational capacity of Police and Customs/Border Authorities in addressing the illicit trafficking of cultural goods through multidisciplinary research, technological innovation, outreach and training. The project will develop an interoperable AI-based platform able to identify criminal organized networks by leveraging the methods of Social Network Analysis (SNA) and drawing from multiple datasets as sources of information.As a team member, your main responsibilities will be to support and contribute to the development of the Knowledge Graph deriving from the datasets implemented during the project and feeding RITHMS SNA platform.ESSENTIAL REQUIREMENTSPh.D. in computer science or a related field with specialization in Machine Learning (ML);Experience working with heterogenous datasets and documented knowledge of technologies for the creation and the storage of knowledge graphs (Neo4j);Documented experience in the implementation of ML methods for the analysis of knowledge graphs;Proficiency with Python;Experience on Deep Learning algorithms and relevant platforms (PyTorch or TensorFlow);Proficiency in English language (written and oral).ADDITIONAL SKILLSExperience on unsupervised or semi-supervised Deep Neural Networks, such as autoencoders and Graph Neural Networks (GNNs);Experience in grant proposal preparation at National and/or European level.Good communication skillsStrong problem-solving attitudeHigh motivation to learnSpirit of innovation and creativityGood at time and priority managementAbility to work in a challenging and international environmentAbility to work independently and collaboratively in a highly interdisciplinary environmentCOMPENSATION PACKAGECompetitive salary package for international standardsPrivate health care coverage (depending on your role and contract)Wide range of staff discountsCandidates from abroad or Italian citizens who permanently work abroad and meet specific requirements, may be entitled to a deduction from taxable income of up to 90% from 6 to 13 years.WHAT’S IN FOR YOU?An equal, inclusive and multicultural environment ready to welcome you with open arms. Discrimination is a big NO for us!We like contamination and encourage you to mingle and discover what other people are up to in our labs.If paperwork is not your piece of cake, we got you! There’s a specialised team working to help you with that, especially during your relocation.If you are a start-upper or a business-minded person, you will find some exceptionally gifted professionals ready to nurture and guide your attitude and aspirations.If you want your work to have a real impact, in IIT you will find an innovative and stimulating culture that drives our mission to contribute to the improvement and well-being of society.Integrity, courage, societal responsibility and inclusivity are the values we believe in. They define us and our actions in our everyday life and guide us to accomplish IIT mission. We stick to our values!If you feel this tickles your appetite for change, do not hesitate and apply!Please submit your application using the online form and includinga detailed CV with a publications’ listuniversity transcriptscover letter (outlining motivation, experience and qualifications)contact details of 2 references.the call will remain open until the position is filled (we recommend to apply as soon as possible).The position is pending contract signature.We inform you that the information you provide will be used solely for the purposes of evaluating and selecting professional profiles in order to meet the requirements of Istituto Italiano di Tecnologia.Your data will be processed by Istituto Italiano di Tecnologia, based in Genoa, Via Morego 30, acting as Data Controller, in compliance with the rules on protection of personal data, including those related to data security.Please also note that, pursuant to articles 15 et. seq. of European Regulation no. 679/2016 (General Data Protection Regulation), you may exercise your rights at any time by contacting the Data Protection Officer (phone Tel: +39 010 28961 - email: dpo@iit.it - kindly note that this e-mail address is exclusively reserved for handling data protection issues. Please, do not use this e-mail address to send any document and/or request of information about this opening"
Full-time,2023-01-08,NA,Data Scientist,2023-01-08 13:34:12.732206 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=rj3nS-2LZWcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Bridgestone Europe NV/SA,"Rome, Metropolitan City of Rome, Italy","Job Description

We are looking for a Data Scientist that will help us in delivering digital data products. Your primary focus will be in applying data mining, machine learning techniques, time series analysis techniques, doing statistical analysis, and building high quality prediction systems to be integrated within our products.

Responsibilities
• Feature selection, building and optimizing classifiers using machine learning techniques
• Data mining using state-of-the-art methods
• Signal processing for IoT data
• Enriching company’s data with third party sources of information when needed
• Processing, cleansing, and verifying the integrity of data used for analysis
• Doing ad-hoc analysis and presenting results in a clear manner
• Own the algorithm and model development and validation process till it enters production

Skills and Qualifications
• Master in Computer Engineering, Computer Science or equivalent
• Preferred: PhD in Data Science, Machine Learning or equivalent
• 3... years of professional experience in applying machine learning and data mining techniques to real problems with copious amounts of data
• Experience with signal processing, in particular FFT analyses
• Excellent understanding of machine learning techniques and algorithms, such as Anomaly detection, Bayesian techniques, SVM, Decision Forests, Deep Learning, Regression etc.
• Good applied statistics skills, such as distributions, statistical testing, regression, etc
• Experience with common data science tools and libraries, such as Python, PyCharm, R, RStudio, NumPy, SciKit Learn, TensorFlow, MLib, Jupyter, Azure Machine Learning Studio etc.
• Experience with data visualization tools, such as Plotly, D3.js, Matplotlib, GGplot, etc.
• Proficiency in using query languages such as SQL, Hive, Pig
• Good knowledge of version-control system such as Git
• Experience with Databricks and Spark for data analysis
• Knowledge of big data technologies such as Databricks, Microsoft Azure, Hadoop and computing engines is a big plus
• Proficiency with latex is a big plus
• Good scripting and programming skills
• Data-oriented personality
• Ability to work collaboratively in a team environment
• Ability to independently own and drive model development, balancing demands and deadlines
• Great communication skills, Fluency in English is a must"
Full-time,NA,NA,Senior Data Scientist/Machine Learning Engineer,2023-01-08 13:34:13.306883 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=OvHzjcnNjtIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Luxoft,Italy,"In this project, Luxoft helps the customer, which is a German manufacturer, to develop, train, and deploy Machine Learning models for internal customer needs.

Some of the models include:
• Automatic Warranty Claim Approval
• Financial Forecasting
• Automatic anomaly detection in engine signals (IoT on mining trucks)
Models use both unstructured data (text) and data in tabular format. Knowledge of handling different data types (structured, text, image) is expected.

The customer develops engines for mining trucks, yachts, cruise ships, power generators, etc.

Technologies: Python, unit testing, pandas, NumPy, Machine Learning, Data Science, Azure Databricks, MLFLow, Docker, Gradient Boosting Trees (LightGBM), Pyspark, Tensorflow, Keras, Deep Learning, LSTM, Kanban, Azure DevOps."
Full-time,NA,NA,Data Scientist,2023-01-08 13:34:13.883606 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=r45zuaoy_HsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Lilly,"Sesto Fiorentino, Metropolitan City of Florence, Italy","At Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 35,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world.

Eli Lilly Italia is looking for a Data Scientist to join our Team in Sesto Fiorentino. He/She will be responsible of supporting the overall manufacturing organization finding new valuable and actionable process insights by modelling, transforming and analysing large data sets from different manufacturing system sources.

In addition to this, he/she will develop and deploy advanced analytics solution aimed at supporting decision making... monitoring & optimize process outcomes. He/she will contribute to scout, assess and deploy innovative methods and technologies that allow to expand the available manufacturing data and enable to access new valuable information. He/she will contribute to deploy the data driven culture within the manufacturing organization.

Main responsibilities of the role:
• Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
• Mine and analyze data from company databases to drive optimization and improvement initiatives.
• Assess the effectiveness and accuracy of new data sources and data gathering techniques.
• Develop custom data models and algorithms to apply to data sets and perform output quality assessment and test.
• Use predictive modeling to increase business outcomes.
• Coordinate with different functional teams to implement models and monitor outcomes.
• Develop processes and tools to monitor and analyze model performance and data accuracy.
• Manage the solutions developed during their whole life cycle
• Coach the manufacturing organization on data analytics methods and technologies.

Basic requirements:
• Master’s Degree in Computer Science, Engineering or other scientific disciplines
• English fluency (minimum B2 level)
• Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
• Experience working with and creating data architectures.
• Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
• Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.

Additional skills/preferences:
• Excellent written and verbal communication skills for coordinating across teams.
• A drive to learn and master new technologies and techniques.
• Understanding of the Manufacturing S95 Information System Architecture

Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response.

Lilly does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.

#WeAreLilly"
Full-time,NA,NA,Data Scientist,2023-01-08 13:34:14.456072 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Italy&ibp=htl;jobs&sa=X&ved=2ahUKEwjqzfeT6bj8AhWhGzQIHTlOBz0QutcGKAF6BAgIEAY#htivrt=jobs&htidocid=NR2UJF4ENoIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Prima,"Milan, Metropolitan City of Milan, Italy","At Prima we are revolutionizing the insurance world, starting with two fundamental pillars: data and the technology to harness it.

The speed and dynamism of the industry in which we operate requires us to continually make real-time decisions, such as pricing coverage for a specific user or the need for a fraud check for a reported claim. Almost all of these decisions are made automatically by dynamic systems and artificial intelligence engines that estimate the probability of future events and define the best possible action for Prima and its customers.

As a Data Scientist you will aim to teach our platform to make the best decisions in a variety of different contexts and, in general, to extract as much value as possible from our data assets. Your work will directly impact the growth and sustainability of our company, contributing to the achievement of our strategic goals.

At Prima you will find the right environment to grow, learning a lot from colleagues and having the... opportunity to make your mark. You will quickly gain operational autonomy and full recognition for your efforts.

You are the ideal candidate or applicant if you meet these requirements:

Excellent academic achievement and English proficiency

You have earned a bachelor's or doctoral degree in Mathematics, Physics, Engineering Mathematics, Engineering Physics, Statistics, or Actuarial Science with honors and not more than 4 years. You have a good command of English, enough to be able to communicate the content of your work to foreign colleagues. No prior work experience is necessary; we will invest in your talent and education.

Quantitative, logical and analytical skills

You quickly master very complex topics, whatever the field. You have great attention to detail and can intuit and model the mathematical dynamics that drive the phenomena around you, grasping the cause and effect relationships between the forces at work. In Prima you will find stimulating and varied challenges that will test all your skills.

Curiosity, passion and pragmatism

You take a critical look at the world around you and always ask ""why?"" You think about how to improve things and fight to realize your ideas. You have a practical result-oriented spirit and can identify the most effective way to achieve it. We will encourage you to pursue common goals in an original and innovative way, advancing your ideas and proactively generating value.

In addition to the basic requirements, we will pay special attention to these characteristics:
• You have a solid foundation in probability, statistics and inferential statistics
• You have had international experience and speak fluent English
• You have a solid foundation in programming and algorithm implementation, especially machine learning
• You know how to program in Python and are familiar with major data analysis and machine learning libraries (such as Pandas, Numpy, Scipy, XGBoost, Keras, TensorFlow)
• You know how to create and manipulate datasets using data mining languages (such as MySQL or Redshift)
• Can you organize and analyze data in Excel

We will give you everything you need to express your talents and work at your best:
• Young, informal environment
• State-of-the-art devices and tools
• Ongoing training (internal and external)
• Welfare plan and company benefits
• Team building events

We will evaluate salary and duration at the interview stage to ensure you receive an offer that matches your experience and expertise.

Working hours are Full Time and our contracts are regulated by the CCNL of Commerce.

Our office is in Piazzale Loreto 17, 20131 Milano (MI), but we also consider Full Remote hiring from other European countries and for our offices in Rome, London and Madrid.

-

Prima offers equal employment opportunities and is oriented toward diversity and inclusion in the workplace. The company prohibits discrimination of any kind based on race, color, gender, religion, sexual orientation, nationality, disability, genetic information, pregnancy or other protected personal characteristics, as defined by national laws"
