Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,NA,NA,"Senior Data Scientist (AI,ML,CI)",2023-01-08 16:55:09.345602 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=FaPPziffuvsAAAAAAAAAAA%3D%3D&fpstate=tldetail,"RBV, AirAsia Digital Sdn. Bhd.","Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Job Description

Are you ready to take off and be part of the Allstar employee? Whether you’re applying for a developer, customer happiness or crew, at AirAsia we act as One AirAsia.

If you are hungry to make a difference with one of the most well known low-cost airlines and to work in the dynamic technology hub, this is the job for you.

Group Data comes under AirAsia Digital which is responsible for spearheading digital transformation across AirAsia. Group Data works on business and operations problems across all entities in the AirAsia Group. Key problems we solve include improving revenue and reducing costs through large-scale data federation, predictive and prescriptive analytics, state-of-the-art machine/deep learning, intelligent scheduling and optimization, and other advanced techniques. Group Data is also responsible for the data lakes across all our businesses, deriving insights and value from them and sharing them back with the businesses. In addition, Group Data also... actively participates in innovation and training in the Redbeat Academy as well as collaboration with strategic partners like Google, GE, Airbus, and academia.

What You'll Do:
• Develop, train, implement models that significantly impact the field of data science and data analytics in Customer Intelligence and other areas.
• Design and develop data-related prototypes, POCs, programs, applications, reports, dashboards, etc., and deliver solutions that directly provide value to the business.
• Improve models and algorithms to further optimize business outcomes, especially in the area of Customer Intelligence.
• Collaborate and work across functional and multidisciplinary teams (including Data Scientists, Data Engineers, Software Developers, various stakeholders, etc.) in a dynamic environment to develop an understanding of evolving/agile business needs.
• Formulate hypotheses, and design and develop corresponding necessary measures, systems, simulations, and experiments in order to validate the hypotheses.

About You:
• BS/MS/PhD in Computer Science, Data Science, IT, Statistics, AI, Machine Learning, Analytics, etc.
• At least 5 years of relevant experience beyond the first degree.
• Must have strong Data Science skills, knowledge and experience, and strong domain knowledge in Customer Intelligence, Business Intelligence in Consumer Experience, etc. Must have successfully completed projects in large-scale real-world Customer Intelligence.
• Customer Profile, Segmentation, feature store, CLTV modelling, customer lifecycle optimization, CRM, etc.
• High proficiency in SQL, and experience with NoSQL databases.
• Good applied statistical knowledge with emphasis in business, finance and Customer Intelligence related statistical distributions, statistical testing, modeling, regression analysis, etc.
• Understanding of machine learning algorithms such as k-NN, Naive Bayes, SVM, Decision tree, and different kinds of Machine Learning objectives such as supervised learning (classification, regression, etc.), unsupervised learning, semi-supervised learning and reinforcement learning.
• Have completed successful large-scale projects using Python and its corresponding Data Science, Machine Learning and Deep Learning ecosystem of libraries or frameworks including Scikit-Learn, Pandas, TensorFlow, PyTorch, etc.
• Experience with code versioning, code review and documentation.
• Experience using cloud platform products and services.
• Good working knowledge of productivity tools such as G Suite, Git, Jira, Confluence.

Good to have:
• Experience writing clean and well-engineered code for containerised applications to handover to other teams.
• Experience using Google Cloud Platform products and services (such as BigQuery and App Engine, AI Platform, Cloud Big Table, Cloud Firestore, Cloud Run and Kubernetes Engine) and Google Data Studio.
• Graph modelling and Graph Query Language. E.g. Neo4j and Cypher Query Language.
• Product (front-facing) experimentation experience.

We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be your best.We are committed to creating a diverse work environment and are proud to be an equal opportunity employer.

Search Firm Representatives - AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place"
Full-time,2023-01-08,₹120K–₹192K a year,Machine Learning Engineer,2023-01-08 16:55:09.944305 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=-cnDE7Pz2YQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Virtual Calibre MSC Sdn Bhd,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Minimum 5+ year of experience in being Applied Machine Learning Engineer role Research, develop, and implement prediction, optimization, and analytics tools. Guide and implement best practices of curated data and evaluate ML models on large-scale data Experience with data analysis languages such as Python or Scala Experience with Machine Learning tools (Azure ML, Sage Maker, Tensor Flow, Kubernetes, etc.) Experience with Machine Learning Languages (R, Python, .NET Core, etc.) Experience with large-scale data processing tools: Hadoop, Spark is additional plus"
Full-time,NA,NA,Machine Learning Engineer,2023-01-08 16:55:10.518260 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=VU_zg58U9pYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hilti Panama,"Petaling Jaya, Selangor, Malaysia","In the role of a Machine Learning Engineer, you will be part of our Analytics Solutions team and collaborate with our Data Scientists as well as our Data Engineers on building and deploying advanced statistical models. Hilti has a tremendous wealth of external and internal data. We are using it to bring our customer relationship to another level as well as develop advanced tools and services based on tool data. The Data Science team is highly technical and at the same time at the core of Hilti’s digital business.

In this role you deploy and operate machine learning models and build our analytics solutions. As a ML engineer you own the operations of our Data Science workbench and enable MLOps processes.
You design and build artificial intelligence systems to automate machine learning models. You assess, analyze and organize large amounts of data, while also executing tests and optimizing machine learning models and algorithms. You create machine learning models and retrain systems... when needed. You also research ML algorithms and tools to maintain and extend our ML libraries and our ML toolbox. You select appropriate data sets and pick appropriate representation methods.
You identify differences in data distribution that affects model performance and verify data quality. You transform and convert data science prototypes as well as run machine learning tests. You also use results to improve models and train and retrain systems when needed. You also build entire applications based on ML models.
You provide on-going tracking and monitoring of performance of decision systems and statistical models. You lead the design and deployment of enhancements and fixes to systems as needed.
• Bachelor’s in computer science, engineering or related field with CGPA 3.5 and above.
• Relevant experience in building, deploying, and monitoring analytics solutions using state of the art tools.
• Deep knowledge of statistical techniques and experience using machine learning algorithms.
• Understanding with cloud platforms (e.g. AWS and Azure)
• Strong programming skills in Python, C and Java.
• Strong data engineering skills in SQL in order to partner up most efficiently with our data engineers and data scientists.
• Advanced software engineering skills (software architecture, version control systems, continuous integration software)
• Strong communication and interpersonal skills.

Become a valuable member of our highly professional and international team of IT experts and tackle the challenges of a global multinational company using the latest technologies. You will have the freedom to act in the responsible area and will have career prospects in a dynamic environment with excellent opportunities to develop yourself to higher levels and wider range of knowledge. We have a clearly defined career development track for every individual employee and an excellent team who are duly rewarded by performance.
What do we offer?

Show us what you’re made of and we’ll offer you opportunities to move around the business – to work abroad, experience different job functions and tackle different markets. It’s a great way to find the right match for your ambitions and achieve the exciting career you’re after.
We have a very thorough people review process, unlike any we know of in any other business. We can pair talent with opportunities - developing our people in their current roles or challenging them to work in new ways or in new places. It’s how we find the right fit, further our teams personally and professionally, get the best value for each employee and increase the job satisfaction. Additionally, we offer you a wide range of benefits"
Full-time,NA,NA,Machine Learning Engineer,2023-01-08 16:55:11.087440 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=j6eSSpcas6MAAAAAAAAAAA%3D%3D&fpstate=tldetail,Arvato Systems Malaysia,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia (+1 other)","Responsibilities:

The ML Ops project acts as a center of expertise and pursues the goal to conceptualize and provide central services and tools for reliable and efficient deployment of data science models. The following functionalities are planned:
• Deployment of models with automated processes
• versioning and monitoring of data
• continuous monitoring and updating of models
• Scalability of developed models and processe
• collaboration through the reuse of models and processes
Scope of service
• conception and implementation of a model repository
• conception and implementation of data access, preparation, modeling, versioning
• conception, implementation and provision of services for continuous monitoring of models and their quality, especially with regard to changing data
• evaluation and selection of existing solutions and technologies
• support teams in designing, building and running P-environments for ML
• develop helpers, utils, functionalities
• roll out tools ... functionalities to teams

Requirements:
• B.Sc., M.Sc. or Ph.D. in computer science or a related field
• Excellent communication and teamwork skills
• Familiar with workflow management platforms like Airflow or Argo Workflows (Preferable)
• Familiar with best practices in the Software Engineering and MLOps community (Preferable)
• You enjoy working in an agile team, like to get involved, think ""out of the box"" and are keen to tackle new topics
• Good English skills complete your profile
Must Have:
• Expert level understanding and hands-on experience with building MLOps or DevOps infrastructure in CI/CD environments
• Basic understanding of Machine Learning Models and Use Cases
• Some level of experience with most or all of the Technologies/Tools/Platforms of our used stack

Technology Stack:
• GCP
• Kubernetes
• Prometheus,
• Helm,
• GitLab,
• Terraform,
• Argo,
• MLFlow,
• Python

Life at Arvato Systems Malaysia:

If you're looking to be creative and at the same time putting on the entrepreneurship hat while working on Technology related work, then you fit right into our culture.

Top 10 Perks & Benefits on Why You Should Join Us:
• Yearly Company Trip.
• We promote flexi work arrangements having flexi benefits where employees could enjoy what they see fit.
• Besides Annual Leaves & Sick Leaves, we have other unique paid time-offs such as Birthday Leave & Child Care/Parental Leave.
• We got you covered in terms of insurance alongside with your immediate family members (Spouse & Children only).
• Attractive Employee Referral Program.
• Sponsored meals if you work at the office!
• Unlimited coffee refills with state-of-the-art barista coffee machine where you can practice on your preferred choice of latte art.
• Believes in learning and people development with plenty of trainings to upskill your personal growth.
• Plenty of initiatives and interest groups to ensure that not only everyone in the team gels and bond closer together, we put an emphasis on CSR work as well.
• Work is important, but your mental health should always take priority. At Arvato Systems Malaysia, we do everything we can to make sure you lead a healthy and happy life by walking the talk on work-life balance.

Diversity & Inclusion:

Arvato Systems Malaysia stands for Equal Employment Opportunity (EEO). We do not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need.

Arvato Systems Malaysia focuses on Corporate IT. Their company has offices in Kuala Lumpur and Kuala Lumpur City Centre. They have a large team that's between 201-500 employees.

You can view their website at https://arvato-systems.com/malaysia"
Full-time,NA,NA,"Software Development Engineer, Machine Learning/AI",2023-01-08 16:55:11.665488 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=CPMkGN_y0FgAAAAAAAAAAA%3D%3D&fpstate=tldetail,AkiraKan Limited,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","If you are excited about cutting edge AI, robotics that affects the real world, and want to join a company where your skills can have a huge impact, you'll fit right in. Join us as part of the Autonomy Team, you will support the team by building robust AI systems to improve transit, land transportation and marine operation. You will be able to closely interact with others within the company who are experts in perception systems, Deep Learning, Machine learning, and robotics. There is an opportunity to make a strong impact on products, while having the freedom and bandwidth to tinker. Come join us to enjoy flexible working hours, attractive rewards and promising career outlook. What you will be doing: -Stay up to date with the latest research and innovations in deep learning. -Collaboration with other teams in the Mapping and Localization Group. -Training Deep Neural Networks for Perception Systems. -Build infrastructure, data and computation pipelines, data storage strategies, common... libraries and useful tools needed to optimize research and development of deep-learning models. -Integrating DL algorithms into production C++ code. -Defining the requirements for training dataset needs. -Working with a variety of sensors: cameras, LIDAR, radar, GPS, odometry. -Building training pipelines and real-time inference run-times (PyTorch, TensorFlow, TensorRT, Python, C++). -Performing in-vehicle tests and collecting data. [Apply now at https://my.hiredly.com/jobs/jobs-malaysia-akirakan-limited-job-software-... -Bachelor's degree in Computer Science, Software Engineering, Applied Math, Robotics or a related technical discipline. -Solid coding proficiency in Python, C++, Scala/Java, Golang or Rust. -Ability to productionize deep learning models. -Familiar with at least one deep learning framework (TensorFlow, PyTorch, MXNet, JAX or other); -Any knowledge of the following would be a plus: CUDA programming, compilers like ONNX, TVM, XLA, TensorRT, Triton, TFRT, model quantization, model compression, etc.; -Good communication and analytical skills. Ability to work with multiple teams in a dynamic environment"
Full-time,2023-01-08,"US$35,280–US$65,520 a year","Scientist 1, Data Science",2023-01-08 16:55:12.242752 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=nCPkzMlMhK4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Western Digital,Malaysia,"Company DescriptionThe future. It’s on you. You & Western Digital.We’ve been storing the world’s data for more than 50 years. Once, it was the most important thing we could do for data. Now we’re helping the world capture, preserve, access and transform data in a way only we can.The most game-changing companies, consumers, professionals, and governments come to us for the technologies and solutions they need to capture, preserve, access, and transform their data.But we can’t do it alone. Today’s exceptional data challenges require your exceptional skills. It’s You & Us. Together, we’re the next big thing in data. Western Digital® data-centric solutions are found under the G-Technology™, HGST, SanDisk®, Tegile™, Upthere™, and WD® brands.Job DescriptionJob DescriptionAs a Data Scientist, you will be working on Digital Innovation projects leveraging 4IR technologies. You will be collaborating with Data Science Team to design and build Big Data tools/models/analytics to unlock business... value from data insights. You are required to constantly learn new front-tier technology and creatively apply/deliver solutions to manufacturing operations to meet goals.ESSENTIAL DUTIES AND RESPONSIBILITIES:Work with a global team of data scientists, data engineers, software engineers, process & product engineers, design engineers, etc collaboratively to develop new data science solutions that improve productivity and operations metrics.Leverage data mining techniques in mathematics, statistics, information technology, machine learning, deep learning, data engineering, visualization etc to discover insightful patterns.Work on projects and develop solutions that would be of high impact to various areas at all manufacturing.Develop/take an idea, access and prepare necessary data to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins.Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process, ERP/MES data etc to extract meaningful information for analytics.Design, model and prototype machine learning models and algorithms to solve specific Supply Chain, Manufacturing, Inventory Management & Distribution problems.Strong understanding of business strategy to develop a clear vision of data scienceThe ability to develop, tune, and deploy predictive models that explain or predict business outcomesPrepare and deliver presentations with data visualizations and business conclusionsDevelop and code, software programs, algorithms, typically on very large datasets, from multiple sources, including IoT devices/sensorsInterprets actionable insights from large data and metadata sources and communicates the findings to product, service, and business leaders for product improvement QualificationsQualificationsREQUIRED:Bachelor's Degree or Master's Degree in related fields and research projects related to Analytics/Data Science with relevant industry or academia experience.Experience with SQL, Relational databases, Big Data platforms, AWS, etc.Experience in applied statistics and statistical modeling. Practical experience in the application of ML and AI algorithms.Experience with Hadoop or other MapReduce paradigms, and associated languages such as Hive, Presto, etc.Experience working with structured, semi-structured, and unstructured data sourcesPREFERED: Full stack development experience is preferredKnowledge of web front-end development: HTML/CSS, JavaScript (JQuery or Angular preferred)Knowledge of Hadoop Environment, including Hive, Map Reduce, No/SQL, HBase, and SparkExcellent knowledge of at least one of the following programming languages / frameworks: Python, R, Java, Matlab, SQL, ScalaFamiliar with collaborative solutions, model & code versioning (Github), solution packaging (Docker)Practical experience of cloud-based solutions is a strong plus.Knowledge of Software Engineering standards and best practices is a strong plusKnowledge of the AI/ML Model Lifecycle Management and tools including EDA, Modelling, Integration/Deployment, Data/Model drift detection, Model retraining, etc.Up-to-date knowledge and skills in recent Machine Learning tools and techniques such as NN, NLP, Deep Learning, etcPassion for Innovation, collaboration with the eco-system, and creating value to the organizationAptitude to interact with functional or business stakeholders who are not familiar with ML Engineering considerations.Self-starterSKILLS:Strong communication, analytical and creative problem-solving skillsStrategically focused, impact-oriented, highly organized, and adaptable.Strong knowledge and experience with R, Python, or other statistical softwareFamiliarity with core techniques in statistical and machine learning e.g. regularized regression, time series analysis, decision trees, boosting algorithms, neural networks, frequentist and Bayesian inference, power calculation, and experimental design, clustering, collaborative filtering, NLP, cross-validation and bootstrapping, and data visualizationStrong interpersonal skills and maintain positive relationships with colleaguesProactive and collaborative effectively in a rapidly changing environmentSolid grasp of statistics and probabilityAbility to solve problems and provide complex solutions with limited directionAnalytical mind and business acumen. Application understanding of machine-learning and operations researchExperience with manipulating massive-scale structured and unstructured data.Excellent communications and presentation skills, with the ability to synthesize, simplify and explain complex problems to different types of audiences, including executives. A great team player.Results-oriented, with growth and imaginative mindset and strong dedication and passion to identify and implement improvement opportunities. Strong drive for results.Proven track record to perform in an environment characterized by volatility, uncertainty, complexity, and ambiguity (VUCA)Ability to execute requests with strong attention to detail and strong time-management skillsKnowledge in web crawling, natural language processing, visualization, and dashboard creationAbility to deploy data science solutions in cloud analytics infrastructure and AWSExcellent written and verbal English-language communication and presentation skillsAdditional InformationBecause Western Digital thrives on the power of diversity and is committed to an inclusive environment where every individual can thrive through a sense of belonging, respect, and contribution, we are committed to giving every qualified applicant and employee an equal opportunity. Western Digital does not discriminate against any applicant or employee based on their protected class status and complies with all federal and state laws against discrimination, harassment, and retaliation, as well as the laws and regulations set forth in the ""Equal Employment Opportunity is the Law"" poster"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:55:12.815431 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=0bUbFz4Q7XUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Teledirect Pte Ltd,Malaysia,"#BeMore Do you aspire for a rewarding career that lets you do more and achieve more Unleash your full potential at work with TDCX, an award-winning and fast-growing BPO company. Work with the world's most loved brands and be with awesome, diverse people. Be home, belong, and start your journey to #BeMore! Top Reasons to work with TDCX Attractive remuneration, great perks, and performance incentives Comprehensive medical, insurance, or social security coverage Premium workspaces Engaging activities and recognition programs Strong learning and development plans for your career growth Positive culture for you to #BeMore at work Easy to locate area with direct access to public transport Flexible working arrangements Be coached and mentored by experts in your field Join a global company with 26 years of experience and more than 350+ industry awards What is your mission Understand client requirements and how they translate into application features Write high-quality source code to program... complete applications within deadlines Peer Review codes, and make recommendations for process improvements and best practices. Guide business decisions from a technical perspective like performance, reliability, scalability, and security Implement agile software development practices such as test-driven development, continuous delivery and pair programming. Keep key personnel up-to-date with the latest software trends, techniques, and technologies for presentation/demonstration purposes. Pro-Active to be able to work on a task independently. Identify bottlenecks, quick fixes and bugs, and devise solutions to mitigate and address issues for desktop and various mobile applications. Work Closely with Teammates & Technical Lead to deliver great features with fewer technical debts. Possess great interpersonal skills and an acute ability to communicate in spoken and written English. Any other duties and responsibilities that may be assigned to you by the management from time to time, within your category of employment in the organization and for the effective implementation, maintenance and continual improvement of the ISO9001 and ISO18295-1 Quality Management System of TDCX Who are we looking for Have hands on experience in NodeJs & ReactJs with production level code quality Expertise in handling databases MySQL & MongoDB Having significant experience in working with FrontEnd components Have experience in implementing Machine Learning[1] [2] models Experience in creating and integrating API's Comfortable using Industry standard during coding like using CI/CD , Version Control , Unit testing,OOP etc. Have implemented projects with NPM/Yarn Have experience Development using MicroServices Able to deploy Applications in the Server Have worked with Coco SSD Have implemented or know to implement Socket IO Have significant exposure and experience in TensorFlow We use Google Cloud Platform, so would expect you to be familiar with Cloud Platforms in general Would really help if you have worked with ELECTRON or Android Studio Follows Design patterns while development Familiar with Face Recognition, Object Detection experience using Machine Learning"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:55:13.389897 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=pGVagE1sRzUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Avanade,Malaysia,"​
Job Description

​

As ML Engineer, you will be part of team to develop analytics solutions based on machine learning & statistical predictive algorithms for clients of Data & AI. We are looking for experienced machine learning engineers with extensive hands-on experience in machine and deep learning, statistical modeling, and software development, proven scientific research skills, and technical leadership.

To ensure success as a machine learning engineer, you should demonstrate solid data science knowledge and experience in a related ML role. Avanade is looking someone whose expertise translates into the enhanced performance of predictive automation software.

Experience: 6-8 years overall experience and at least 5 years working as ML Engineer

Skills:

​
• Python, Java.
• Hands-on experience and understanding of deep learning techniques (TensorFlow, Theano, MXNet, Microsoft DMTK).
• Experience with big data stack (Spark, Hadoop, Storm, Hive & Pig) and NoSQL stores.
• Experience... with distributed machine learning (RHadoop, Spark MLlib).
• Strong algorithmic and programming skills in Java or C/C++ or C# or Scala.
• A solid grounding in applied mathematics, especially optimization and graph theory, and statistics.

​

Key Responsibilities:

​

​
• Consulting with managers to determine and refine machine learning objectives.
• Designing machine learning systems and self-running artificial intelligence (AI) software to automate predictive models.
• Transforming data science prototypes and applying appropriate ML algorithms and tools.
• Ensuring that algorithms generate accurate user recommendations.
• Turning unstructured data into useful information by auto-tagging images and text-to-speech conversions.
• Solving complex problems with multi-layered data sets, as well as optimizing existing machine learning libraries and frameworks.
• Developing ML algorithms to analyze huge volumes of historical data to make predictions.
• Running tests, performing statistical analysis, and interpreting test results.
• Documenting machine learning processes.
• Keeping abreast of developments in machine learning.

​

Job Requirements:

​
• Significant experience in the design and build of data science solutions for customers.
• Strong experience with Microsoft Technologies
• Hands-on experience in data science, machine learning and statistical analytics.
• Experience in data analytics, BI, data warehousing, a data platform development or other relevant hands-on technical experience.
• Understanding of structured and unstructured data analysis, streaming data, IoT, artificial intelligence, natural language processing and related topical analytics fields.
• Understanding of data science methodologies and the processes of data scientists follow in problem-solving.
• Significant experience in implementing/deploying ML solutions in Azure or other cloud platforms
• Experience on NER (Named entity recognition), NLP tasks like Cosine similarity, word embedding, document similarity, context based search
• Experience with document search system like elastic search, solr, Azure cognitive search
• Advanced knowledge on Azure Databricks, Azure Pipelines, Azure Storage
• Understanding of optimizers, hyper parameter tuning, ML ops libraries and platforms, detecting data drift

​

What we offer you

Come for the distinctive experiences you have helping forward-thinking corporations, non-profits, and governments push the boundaries of digital innovation. Stay for the limitless learning opportunities that encourage you to master Microsoft and pursue big ideas. Enjoy ambitious growth for yourself as part of Avanade’s people-first culture with benefits like employee share purchasing, flexible work arrangements, a commitment to diversity and inclusion, and competitive pay.

​"
Full-time,NA,NA,Data Scientist,2023-01-08 16:55:13.960303 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=r9cWHEDlnl8AAAAAAAAAAA%3D%3D&fpstate=tldetail,JAC Recruitment Malaysia,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","JOB RESPONSIBILITIES
• Work closely with our IT team to identify issues and use data to propose solutions for effective decision-making.
• Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.
• Build algorithms and design experiments to merge, manage, interrogate and extract data to supply quality data for machine learning.
• Use machine learning tools and statistical techniques to produce solutions to problems.
• Test data mining models to select the most appropriate ones for use on a project.
• Maintain clear and coherent communication, both verbal and written, to understand data needs and report results.
• Horizon scan to stay up to date with the latest technology, techniques and methods.
• Conduct research from which you'll develop prototypes and proof of concepts.
• Exploring and visualizing data to gain an understanding of it, then identifying differences in data distribution that could affect performance when deploying the... model in the real world
• Supervising the data acquisition process. Establish new systems and processes and look for opportunities to improve the flow of data
• Look for opportunities to use insights/datasets/code/models across other functions to provide strategic solutions
• Stay curious and enthusiastic about using algorithms to solve problems and enthuse others to see the benefit of your work.

JOB REQUIREMENTS
• Bachelor’s degree in Data Science / Computer science / Information Technology or a related subject and/or equivalent formal training or work experience.
• Strong interest in latest Machine Learning Research
• Experience with Azure, AWS or Google Cloud
• Experience with computer vision, object detection and/or multi-object tracking
• Strong analytical and problem-solving skills.
• Excellent interpersonal and communication skills.

Perks & Benefits
• Career growth & learning opportunities
• Outpatient, dental & optical, medical insurance
• Special leaves
• Hybrid working environment
• Opportunities to transfer to headquarters in Shanghai & Hong Kong

Apply online or feel free to contact me directly for more information about this opportunity.
Due to the high volume of applicants, we regret to inform that only shortlisted candidates will be notified. Thank you for your understanding.

#LI-JACMY
#countrymalaysia"
Full-time,NA,NA,AI / Computer Vision Engineer,2023-01-08 16:55:14.543340 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwik7deJlrn8AhVwAzQIHe6lAkcQutcGKAF6BAgPEAY#htivrt=jobs&htidocid=auokCbwlLBAAAAAAAAAAAA%3D%3D&fpstate=tldetail,poladrone solutions sdn bhd,Malaysia (+1 other),"JOB RESPONSIBILITIES

• Research and develop existing computer vision algorithms and incorporate novel techniques or create new algorithms from ground up to solve desired use cases

• Designs, trains, and optimizes deep learning model pipelines for customer applications using state of the art open source models and custom models from R&D team

• Develop and adapt advanced computer vision and state-of-the-art deep learning techniques for object segmentation / detection / classification Prototype, benchmark and implement new algorithms in production-level code

• Develop scalable machine learning and computer vision algorithms, leveraging deep learning

• Deploy deep learning models into production

• Assist business team to deliver product value

• Assist in testing and evaluation on the developed solutions by unit test, stress test, etc.

• Write professional documents for what you will develop

JOB REQUIREMENTS

• Solid knowledge of machine learning and deep learning is a MUST.

•... Experience with deep learning frameworks (Tensorflow, Caffe, Pytorch).

• Demonstrated experience extracting / applying software from open source repos

• Experience with applying machine learning algorithms in imaging domains.

• Hands on experience in computer vision algorithms such as segmentation and object detection.

• Proficiency in Python and strong willingness to learn.

• Proficiency in object-oriented languages, such as C++ or Objective-C

• Proficiency in OpenCV.

• Self-learning ability, passionate, open-minded, team player, and good communication skills.

• Ability to research, prototype, benchmark and implement new algorithms in production-level code.

• Bachelor’s or Master’s degree in computer science/ Information Technology/ Engineering or a related field.

poladrone solutions sdn bhd focuses on General Aviation. Their company has offices in Selangor and Cyberjaya. They have a mid-size team that's between 51-200 employees.

You can view their website at https://www.poladrone.com"
