Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,NA,NA,Machine Learning Engineer [Remote],2023-01-08 16:53:27.697306 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=oYyujKN33Z8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Polymerize,Singapore,"At Polymerize, we provide materials informatics software for materials companies to accelerate their product development and efficiently manage data while bringing operational efficiency and AI driven material innovation to their R&D. We work at the intersection of AI and materials science and use our years of material research & experience background.

We are looking for an experienced ML Engineer to join our team.

Our expectations from you
• Implement robust and scalable pipelines for Continuous Integration (CI), Continuous Training (CT), Continuous Delivery/Deployment (CD), and Monitoring
• Implement pipelines for data ingestion, validation/cleaning, storage, and wrangling
• Work with Data Scientists to design and productionize custom ML model architectures and AI systems
• Design and improve the ML infrastructure by using best practices and third-party tools for automating processes
• Develop and automate internal workflows to allow seamless data access to Data Scientists and... Research Scientists
• Develop tools for understanding structured data using statistical techniques and visualizations

What you'll need?
• Version Control: GIT
• Databases: MongoDB, Redis
• System / OS: Linux
• Cloud: AWS Ecosystem
• Programming Languages: Python, BASH
• Tools: Docker, GitHub Actions
• Machine Learning: Scikit-Learn, XGBoost, Keras
• MLOps: MLFlow, Cortex, Seldon.io
• Other: FastAPI, Websockets, Celery / Ray

Abstract Skills:
• Working knowledge of Machine Learning and Deep Learning fundamentals
• Understanding of training, hyper-parameter optimization, testing, and model/data drift concepts
• Knowledge of multi-tier architectures with load balancers, caching, web servers, application servers and databases
• Hands-on experience in development, training, and deployment of ML models

Polymerize is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability or age.

Mail: contact@polymerize.io

Polymerize focuses on B2B, Manufacturing, and B2B · SaaS · Mobile · Artificial Intelligence / Machine Learning. Their company has offices in Singapore. They have a small team that's between 11-50 employees.

You can view their website at https://polymerize.io or find them on LinkedIn"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:53:28.296156 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=LzmKYI1VUo8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Razer Inc.,Singapore,"Getting onboard Razer will place you on a global mission to revolutionize the way the world games. Razer is a place to do great work, offering you the opportunity to make an impact globally while working across a global team located across 5 continents. Razer is also a great place to work, providing you the unique, gamer-centric #LifeAtRazer experience that will put you in an accelerated growth, both personally and professionally.

Job Responsibilities

Razer's analytics & insights team is growing and we are looking for a machine learning engineer with 1 to 2 years of experience in designing and developing machine learning systems to join us.
• Build, test data and model pipelines for machine learning applications and analytics purpose.
• Perform extract, transform, load operations from multiple data sources.
• Design, build, test, validate, and deploy machine learning systems based on requirements to productionize models for product development, marketing campaigns and business... strategies.
• Develop processes and tools to monitor and analyze data quality and model performance.
• Build data platform tools for stakeholders and team members for data visualization, catalog, and observability

Pre-Requisites
• A drive to learn and master new technologies and techniques.
• Excellent written and verbal communication skills for coordinating across teams.
• Experience in programming languages such as Python, SQL.
• Knowledge of machine learning data structures and modeling, software architecture, libraries and frameworks to create data science products that accomplishes outlined goals.
• Experience using orchestration tools like Airflow or Prefect, distributed computing framework like Spark or Dask.
• Demonstrated experience in applying DevSecOps, DataOps and MLOps.
• Developed and deployed applications running on cloud systems such as AWS, Azure or Google Cloud Platform using Infrastructure as code tools such as Terraform, containerization tools like Dockers.
• Experience visualizing/presenting data for stakeholders using: PowerBI, Tableau.
• Experience on working with Enterprise level data platform and product would be a plus
• Has a Bachelor or Masters degree in Computer Science, Statistics, Mathematics or another quantitative field.

Are you game"
Full-time,2023-01-08,SGD 5K–SGD 8K a month,Software Engineer (Machine Learning),2023-01-08 16:53:28.885247 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=m7eNu5I28xEAAAAAAAAAAA%3D%3D&fpstate=tldetail,SHIELD AI TECHNOLOGIES PTE. LTD.,Singapore,"As a Software Engineer (Machine Learning), you will develop and leverage innovative machine learning solutions for solving complex sets of problems and applications. By analyzing and detecting patterns in vast amounts of data, you should have a good understanding of machine learning life cycle-algorithms, data structures and design patterns. We are looking for talented and passionate Software Engineers who are proactive to take initiatives to identify problems, and have the logical thought flow and right skill sets to solve them. There will be many opportunities to explore new tech stacks and to work on advanced technologies.

Responsibilities
• Ability to design and develop machine learning algorithms
• Discover, design and develop analytical methods to support novel approaches of data and information processing
• Identify and apply appropriate methods to process and analyze large data-sets of labelled and unlabelled records, and discover new valuable insights for the system
•... Provide support on other parts of the system (not limited to Machine Learning)
• Review and contribute to improve current software and system architecture for stability and to optimize performance
• Research & development of fraud detection solution
• Minimum Bachelor Degree in Computer Science, Information System with Machine Learning specialization or equivalent
• Strong foundation in database and data scaling
• Experience with various Machine Learning algorithms and ability to apply in real-life cases
• Experience in MySQL, NoSQL and Columnar database
• Experience in C++, C, Python and other programming languages will be an advantage
• Prior experience in e-payments or e-commerce industry is a plus
• Strong analytical, interpersonal, communication and presentation skills"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:53:29.474688 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=qMQPjNt5_JEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Michael Page,Singapore,"As a qualified Machine Learning Engineer, you will be involved in the design and development of Data modelling, Data Mining, Statistical Analysis, Simulation, Operations Research & Predictive Analytics.

Our client, one of the largest engineering group in Singapore that bring innovation and technology together to create cutting-edge solutions

Description

As a Machine Learning Engineer, your responsibilities are below:
• Design, develop, test and maintain Machine Learning systems based on customers or internal stakeholder's requirements.
• Explore new Machine Leaning method, techniques and platforms
• Assist to maintain Machine Learning/AI knowledge repository

Profile

As a Machine Learning Engineer, you shall possess min. Degree, Master's Degree or PhD in Computer Science/Engineering, or other related field. At least 3 years of experiences in design and development of Machine Learning systems. You shall have the experience in Python or C++ as your main programming skill with... Kubernetes deployment work experience as well.

Job Offer
• Permanent position with stable career
• Involvement in exclusive government projects
• Good working culture with flexible work setting

To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Wilson Tay on +65 6416 9838"
Full-time,2023-01-08,NA,Research Fellow (Machine Learning),2023-01-08 16:53:30.053980 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=BWsFp8ZL5YMAAAAAAAAAAA%3D%3D&fpstate=tldetail,NATIONAL UNIVERSITY OF SINGAPORE,Singapore,"Job Description

Postdoctoral Research Fellow (Machine Learning)

The Department of Geography at the National University of Singapore (https://fass.nus.edu.sg/geog/) is seeking one full-time Postdoctoral Research Fellow (RF) with relevant experience to work on assessing the impact of climate extremes in . The RF is expected to integrate advanced knowledge in data science to explore patterns in the plethora of open-access observations (e.g., satellite remote sensing, eddy covariance) of the earth system, in particular focus on the extreme climate in tropical Asia.

The ideal candidate is expected to be highly creative, have strong numerical and critical thinking skills, a working familiarity with the processes governing the terrestrial carbon cycle and the ability to work in a diverse environment. This position is funded by the NUS presidential young professor award. The initial contract will be 1 year with the possibility of renewal contingent on satisfactory job performance and... funding availability. We provide competitive salary (> S$65k/year) for the position with the consideration of years of experience postgraduate.

The duties of the RF include:
• Collect and organize large open-access data relevant to the terrestrial carbon cycle.
• Implement advanced machine learning method to explore patterns in big data.
• Develop algorithms to examine climate-carbon cycle interactions under extreme conditions.
• Presentation of results at international conferences.
• Writing and publishing in scientific journals.

Interested candidates should submit an application comprising: 1) a letter of interest with details of their research experience, interest and future plan (1-2 pages), 2) a full curriculum vitae, with contact information for three references (one of which must be from your PhD supervisor) and 3) the PDF of your best paper (optional). For full consideration, please submit your application by Oct 30th, 2022. The posting shall remain open until the position is filled.

NUS is one of the top universities in Asia, and its geography department has recently been ranked as the 5th best in the world. This position offers an excellent environment for working with a highly skilled interdisciplinary team and will provide chances to collaborate with researchers at both national and international institutes.

Please contact Assistant Prof. Xiangzhong (Remi) Luo (xzluo.remi@nus.edu.sg) with any questions regarding the position or application process.

Qualifications
• PhD in data science, mathematics, physics or a related field (preferably less than 3 years postdoctoral experience).
• Proficient coding skills in at least one of Matlab, R and Python.
• Experience processing large dataset and implementing mainstream machine learning techniques.
• Basic understanding of the application of machine learning in earth system science.
• Strong numerical and communication skills.
• Evidence of ability to publish results in relevant journals.
• An ability to work in an integrated team environment.

Covid-19 Message

At NUS, the health and safety of our staff and students are one of our utmost priorities, and COVID-vaccination supports our commitment to ensure the safety of our community and to make NUS as safe and welcoming as possible. Many of our roles require a significant amount of physical interactions with students/staff/public members. Even for job roles that may be performed remotely, there will be instances where on-campus presence is required.

Taking into consideration the health and well-being of our staff and students and to better protect everyone in the campus, applicants are strongly encouraged to have themselves fully COVID-19 vaccinated to secure successful employment with NUS.

More Information

Location: Block AS2-03-01

Organization: National University of Singapore

Department : Geography

Employee Referral Eligible:

Job requisition ID : 17567"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:53:30.641781 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=QpKnuWmB9dsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Newbridge,Singapore,"Are you excited about building software solutions around large, complex Machine Learning (ML) and Deep Learning (DL) systems? Want to help the largest global enterprises derive business value through the adoption and automation of Artificial Intelligence (AI)? Eager to learn from many enterprises’ use cases of AWS ML and DL?

As a Sr. ML Engineer, you will focus on developing and deploying personalization and recommender systems, algorithms, and models to drive a delightful personalized content discovery experience. You will partner closely with product and engineering stakeholders to identify ML opportunities, accelerate AI innovation, and ensure the delivery of impactful solutions for the business

To be successful, you will need:

Mastery in at least one high-level programming language such as Python, Java, or Scala (7+ years)
Working experience with big data tools such as Hadoop/YARN, Spark, Kafka, Hive, Presto (5+ years)
Experience with cloud platforms such as AWS, Google Cloud... Azure
Expert-level experience with ML platforms -TensorFlow, Recognition, etc
Expert-level experience delivering production-level online machine-learning models leveraging large data sets that have led to significant growth or performance improvements.

You will:
Oversee operational support and maintenance of products and services delivered by the AI/ML team
Build best practices used in day-to-day operations and working with business units to plan, design, and implement large-scale projects in machine learning space
Design and apply machine learning algorithms in image recognition, NLP, and anomaly detection space and evaluate their performance on real-world data sets.
Write robust production-level code and engage in code reviews.
Deploy ML model pipelines, scale through Big Data, optimize performance"
Full-time,2023-01-08,NA,Machine Learning,2023-01-08 16:53:31.254844 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=m4BZ3-5VpSAAAAAAAAAAAA%3D%3D&fpstate=tldetail,REFRACT TECHNOLOGIES PTE. LTD.,Singapore,"Machine Learning / Computer Vision Specialist

About Us

Refract Technologies is a family of 60+ members and growing. We are engineers, game producers, artists and entrepreneurs, all with deep passion and experience in the gaming and technology industries. We’re here as veterans from the likes of Electronic Arts, Ubisoft, Unity, IGG, Gumi, XII Braves, Creative Technologies & more.

Our vision is to extend human experience beyond reality through innovations in gaming and entertainment. We are game changers.

The Role

As a Machine Learning/Computer Vision Specialistat Refract Technologies, you’ll be part of the team illuminating the future of what image recognition can achieve. This role will see you support the automation of predictive decision-making through the collation, processing and analysis of large populations of data.

If you’re passionate about innovation, and bridging the gap between cutting-edge technologies to mass market consumers, we’d love to speak with... you

Responsibilities
Develop and understand image analysis algorithms and SLAM algorithms.Build performant mobile based algorithms.Create algorithms defining player KPIs and game-event detection in real time.Design and create platforms for image processing and visualisation.Prepare clear documentation and prepare data for training, retraining and customization of machine learning models internally.Draft clear training documents for the machine learning models for external parties to follow.Develop Deep Learning models to solve problems.Implement full software development: integration, debugging, configuring, testing and deployment.Prepare documentation such as technical reports, product manuals, etc.Understand dataflow programming.Participate in planning, task estimation, requirements gathering, and tracking of workUnderstand the current processes and work within the constraints of the platformsDevelop quick prototypes to test the viability of the different models.Maintain a strong focus on the performance of the model, not just the end-results.

Traits We’re Looking For
Ability to multitask effectively in a dynamic environment .Strong time-management and organisation skills for coordinating multiple initiatives, priorities and implementations of new technology and products into very complex projects.Strong written and oral communications skills with the ability to effectively collaborate with management and engineering.Take a consumer-first based approach to problem-solving.Inquisitive and always pushing boundaries with regards to technology to make our products the best they can be.

Skills and Experience Required
Degree in computer vision (CV), machine learning, pattern recognition, or related technical fields.Strong mathematical background in Linear Algebra and Computer Analysis.Good understanding of SLAM Algorithms.Strong skills and understanding of state of the art NN architectures, techniques and principles.3+ years of work-related experience in software development or Machine Learning or high-performance computing .Experience working on applied CV projects. Examples include (but are not limited to) optical character recognition (OCR), object detection and recognition, video analytics, image classification, feature/colour spaces, algorithms, filters, 3D Geometric Algebra/Matrice, non-linear optimization, and visual question answering (VQA) etc.Good understanding of state-of-the-art deep learning and computer vision techniques.Experience in developing supervised and unsupervised learning.Experience with CNN, RNN, supervised and unsupervised learning, optimization techniquesExperience with traditional/legacy computer vision techniques (e.g. OpenCV) and be able to make solid recommendations on techniques based on pros/cons analysis.Experience in mobile development and has deployed models onto mobile devices.

Big Plus
Experience with one or more deep learning frameworks such as Caffe, Theano, Torch, TensorFlow.Has prior experience developing or utilising ORB-SLAM"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:53:31.835425 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=jYQrlso5ZAQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Tangspac,Singapore,"An Exciting role to work for fintech company

Our client a fintech company is looking to hire Machine learning Engineer to join their AI and machine learning development team

Roles
• Work closely with data scientists and data engineers to support them to develop ML models
• Developing scalable platforms to improve AI's capabilities
• Responsible for scaling, productionising and performance tuning machine learning systems
• Responsible for MLOps enforcement including DevOps and testing planning and executions
• Documentation of all development
• Deal with complexity by collaborating with colleagues, listening to customers, testing ideas and continuously learning.

Requirements :
• IT or Comp Science graduate with at least 2 years of experience in Machine learning
• Experience working with Python and other OO languages
• Good experience working with Hadoop ecosystems (Spark, Ray, Hive, Impala)
• Strong analytical skills
• Experience with devops is a plus

Interested candidates please... email your latest resume to subagio@tangspac.com"
Full-time,NA,"SGD 5,482–SGD 10,963 a month",Information Technology - Senior Data Sciences & Analytics Engineer (Machine...,2023-01-08 16:53:32.419432 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=ykZcAJTdb74AAAAAAAAAAA%3D%3D&fpstate=tldetail,Singapore Airlines,Singapore,"SIA has multiple positions for machine learning/deep learning experts to drive our AI and data science initiatives.

Key Responsibilities
• Member of the in-house AI Center-of-Excellence team that works on challenging problems in machine learning (including areas on NLP, computer vision, recommender system, transfer learning and reinforcement learning), mathematical optimization, game theory, and experimental design.
• Research and develop statistical machine learning and deep learning algorithms to meet complex product requirements. The scope includes defining hypotheses, executing necessary tests and experiments; evaluating, tuning and optimizing algorithms and methods; and having an eye towards cloud implementation ease, scalability, and robustness in a live customer-facing production environment.
• Provide technical direction and guidance to a small and highly skilled team of junior and senior data scientists embedded in Kanban data squads. These squads deliver products/services... in AI, data science and data analytics to stakeholders in a large number of business units. Serve as a go-to expert in your area of ML/DL expertise.
• Work closely with business stakeholders to create impactful and intelligent features/products. Collaborate with other team members including data scientists, data engineers and data strategists. Strategic ownership of all critical end-to-end AI processes.
• Administer/maintain performant cloud and on-premises GPU compute resources that train large ML models and provide inference microservices in production.

Requirements
• PhD degree related to computer science, advanced machine learning or other AI disciplines is required. Consideration will be given to exceptional candidates without advanced degrees.
• Advanced programming skills in Python. Strong technical skills in algorithm design/analysis, data structure and SQL. Intermediate-level mastery of functional/object-oriented software development using modern programming languages such as Scala, JavaScript, Java and C#.
• At least 3 years of relevant industry experience in two or more of the following areas:
• Expert-level hands-on skills in shallow and deep machine learning. Highly conversant with GPU-accelerated deep learning frameworks (such as TensorFlow and PyTorch).
• Demonstrated ability in rapidly adapting, training and deploying state-of-the-art AI models in production based on the latest published research papers and code.
• Knowledge and working experience in workflow, map-reduce or stream processing systems such as Spark and Kafka.
• Strong skills in Bayesian statistics and inference. Comfortable with the application of Bayesian and causal networks for probabilistic reasoning.
• Significant hands-on experience with AWS, GCP or similar public cloud environment.
• Excellent mentoring, interpersonal and communication skills for working with both technical staff and non-technical business users.
• Demonstrated intellectual firepower as a rapid problem-solver and tech lead.
• Experience with Agile/Scrum/Kanban methodologies is a plus"
Full-time,2023-01-08,SGD 5K–SGD 8K a month,R&D Engineer (Artificial Intelligence and Machine Learning),2023-01-08 16:53:32.991392 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwieiprZlbn8AhV-FzQIHRIrAswQutcGKAF6BAgXEAY#htivrt=jobs&htidocid=5-VudDQlT5MAAAAAAAAAAA%3D%3D&fpstate=tldetail,LRDTECH PTE. LTD.,Singapore,"Job Description – R&D Engineer (Artificial Intelligence and Machine Learning)

Let’s keep it real: You want to work with other highly competent software engineers in an environment where there is no hype, drama and prima donnas. A place like LRD where you’re given the opportunity to learn, grow and apply your skills, and get well rewarded above market rate for your technical contributions too.

We are a Singapore-based technology company that creates breakthrough Artificial Intelligence (AI) technologies backed by a global leader in the energy sector. We are hiring from the best and brightest scientists and engineers to conduct applied R&D and solve the most challenging problems in high-stakes projects.

Responsibilities

The R&D team comprises subject matter experts in the fields such as Artificial Intelligence, Deep Learning, Data Science/Engineering, High-Performance Computing, Applied Mathematics and Physics. As a member of the R&D team, you will be:
• Conducting applied R&D on... core technologies of the company.
• Designing and developing software libraries running on the company’s HPC infrastructure.
• Applying your skills and knowledge to affect high-profile engineering projects that result in critical real world impacts.

Why Join LRD?

LRD offers a conducive work environment in a company culture that values authenticity, integrity, technical skills, teamwork and results. Here are some of the opportunities offered by the position:
• You are always presented with new challenges to solve intellectually stimulating problems. The work never gets stale, mundane or boring.
• Continuous learning opportunities to develop your technical expertise in many subfields of AI, ML, HPC, geoscience, engineering, etc.
• Have your work recognized with publication opportunities in top scientific conferences and journals.
• Be rewarded for your contributions with high performance bonuses well above market rate.

Who Should Join LRD?

The many opportunities offered by the position come with matching expectations. To succeed in this role, you must be a hardworking person who proactively does what it takes to obtain the results on time and on target. You must also be intellectually curious, thorough in your work and strive for excellence.

Requirements
• Minimum 2 to 3 years of software development and/or data science experience. (Fresh grads welcome to apply and to include educational transcripts)
• BSc/MSc in Computing, Science or Engineering (with a GPA of at least 4.0).
• Strong programming skills in Python/NumPy, C or C++.
• Proficiency in development tools such as git, Linux Shell Scripting, vim/emacs, etc.
• Excellent analytical skills and enjoy solving complex technical problems.

Strongly Desired
• Outstanding academic background in Science, Math, Physics or Mechanics.
• Experience in AI, ML, data engineering, scientific computing, signal processing, computer vision and/or Natural Language Processing (NLP).
• Major contributions to technical projects including R&D or open source projects.
• Publications in scientific journals and conferences will be highly valued.

Interested candidates may apply by sending your resume to hiring@lrdtech.com. We regret that only shortlisted candidates will be notified"
