Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,2023-01-08,CHF 80K–CHF 100K a year,Software Engineer​/Machine Learning,2023-01-08 13:35:09.141565 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=1E-t3qXtbo8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Isomorphic Labs,"Lausanne, Switzerland","Position: Software Engineer (Machine Learning
Software Engineer, Machine Learning, London or Lausanne

We are looking for engineers with various levels of experience - Mid through to Senior, Principal, Staff or equivalent levels.

This is an extraordinary opportunity to join a new Alphabet company that will reimagine drug discovery through a computational- and AI-first approach.

We are assembling a world-class, multi-disciplinary team who want to drive forward groundbreaking innovations. As one of the first members of this pioneering organisation, you will play a meaningful role in building this team, embodying an inspiring, collaborative and entrepreneurial culture.

This early-stage venture is on a mission to accelerate the speed, increase the efficacy and lower the cost of drug discovery. You’ll be working of the new era of ‘digital biology’ and advancing a new type of biotech that will deliver transformative social impact for the benefit of millions of people.
Your impact

This... is an exciting opportunity for you to work on a greenfield ML-based software platform that will transform the biopharmaceutical world as we know it.

Working in a highly creative, iterative environment, you will be partnering with leading engineers, scientists and ML researchers to build the critical platform driving that transformation. This is a newly created role and you will need to use your previous experience and show initiative in order to fully carve out your contribution.
What you will do
• Design and create a world-leading ML drug discovery platform by developing secure, scalable, cloud-based software and libraries
• Develop tools to enable large-scale machine learning experiments.
• Partner with the ML Research, Drug Design, and Data Engineering teams to design, develop, train, and evaluate a variety of cutting edge ML models.
• Maximise model performance, scalability, and robustness for production use within our computational platform.
• Collaborate with the MLOps team to support model operation in production.
• Create novel instrumental drug discovery tools in partnership with domain experts, taking end-to-end ownership from rapid prototyping to production-quality code
• Iterate collaboratively with scientists and domain experts to gather feature requirements and user feedback

Skills and qualifications

Essential
• Strong experience with developing large-scale machine learning models
• Experience with a variety of modern ML frameworks in production settings, including at least one of PyTorch, JAX, or Tensor Flow
• Experience with the full ML development lifecycle
• Experience partnering with research and product teams to prototype then productionise ML models - particularly Deep Learning and Neural Networks
• Strong software engineering experience with software design / architecture skills
• Extensive programming experience writing production code using any mainstream programming languages, e.g. Python, Java, C++, Go
• Experience building secure/scalable platforms/products on cloud
• Demonstrate ongoing career progression / trajectory and a passion for learning
• Either a Bachelor’s degree in Computer Science, a related technical field, or equivalent practical experience
• Strong understanding of data structures and algorithms
• Basic understanding of maths and statistics
Nice to have
• Strong experience in Python
• Basic knowledge of biology / chemistry
• Experience working with biomedical data
• Knowledge of the pharmaceutical industry, ideally with a focus on drug discovery
• Experience building, deploying and maintaining production systems on GCP
Behaviours and attributes
• Grounded and original thinker: you combine the best from industry with new ideas and creative approaches, taking well-informed risks to advance progress
• Motivated by purpose and impact:
Self-directed, chooses the most effective path to maximise impact in pursuit of higher level purpose, operates a clear bias for action
• Experimental:
Comfortable with ambiguity, embraces new ideas, responds quickly and adapts to maximise opportunities
• Collaborative and inclusive: you are willing to go the extra mile and work beyond role remit, building strong partnerships with a variety of collaborators
• Curious mindset:
Strong interest in self-development, learns from setbacks as well as successes"
Full-time,2023-01-08,NA,2023 University Graduate - Machine Learning Engineer,2023-01-08 13:35:09.727979 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=ywpgyTJlqj4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Adobe,"Basel, Switzerland","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

We are looking to hire a Machine Learning Engineer within our Software Development Engineering Team in Basel, Switzerland. This is a junior role that would suit a recent graduate looking to pursue a career in Machine Learning Engineering, and who can demonstrate some work experience or working knowledge within this... field.

What you’ll do
• Develop algorithms that use deep learning and traditional methods in NLP & computer vision, combined with traditional large complex solutions/codebases.
• Build experiments, algorithms and prototypes that not only yield high accuracy but are also crafted and engineered to scale.
• Collaborate across multiple research, design, product and engineering subject areas, making the trade-offs required to rapidly deliver solutions for complex problems.

What you need to succeed
• Should hold at least a bachelor’s degree in Computer Science. Master’s degree or PhD would be preferred.
• 1+ years of experience working with Adobe Experience Manager (or similar).
• Experience working across multiple time zones.
• Ability to write efficient, clean, and reusable code in Python and JavaScript.
• Experience of HTML content analysis and/or structure recognition work.
• Experience working and shipping products/services in Machine Learning, Image processing, Vision and/or NLP.
• Working knowledge of designing and leveraging AI/ML APIs. Adobe Sensei preferred.
• Experience using scientific methods to extract or extrapolate knowledge and insights from Web Analytics data in Adobe Analytics (or similar).
• Experience of building prototypes from scratch and writing maintainable code inside large existing codebases and leveraging ML pipelines. Azure Pipeline, AWS SageMaker preferred.
• Demonstrable software development skills that encourage code reuse among engineers and researchers.

When you join Adobe, you can look forward to collaborating with the most genuine people in the industry, working on projects with real purpose, and having immense pride in the products we create and the customers we support. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.

Adobe is an equal opportunity employer. We hire talented individuals, regardless of gender, race, ethnicity, ancestry, age, disability, sexual orientation, gender identity or expression, veteran status, cultural background or religious beliefs. We know that when our employees feel appreciated and included, they can be more creative, innovative and successful. This is what it means to be Adobe For All. Learn more about our vision here.

Come create experiences that matter at a company that is recognized around the world and hear what our employees are saying about their career experiences on the Adobe Life blog"
Full-time,NA,US$70K–US$79K a year,Senior Deep Learning Scientist,2023-01-08 13:35:10.300493 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=GloJvLR367AAAAAAAAAAAA%3D%3D&fpstate=tldetail,Reexen Technology,Switzerland,"Keep up with state-of-the-art deep neural networks and their applications in audio, vision, and biomedical signal inference, and evaluate the suitability/feasibility for wearable and IoT devices.

• Define and collect the appropriate datasets for planned or potential product development.

• Build training pipelines and real-time inference models (TensorFlow, PyTorch, Python, C++, etc.).

• Work with processor architects to tailor the neural network models for resource- constrained scenarios (e.g., model compression, quantization, MAC reduction), and define the software-hardware mapping strategy.

• Work with analog/mixed-signal IC designers to include physical non-idealities in neural network model evaluation and study possible means to mitigate the effect of the non-idealities if necessary.

Minimum Qualification

• Masters, PhD, or equivalent experience in Computer Science, Electrical Engineering, or related field.

• Strong experience in various applications of machine learning... algorithms, deep

Hero Meets Hero!

neural networks in particular, including CNN, RNN, LSTM, Transformers, etc.

• Proven programming proficiency in various languages, e.g., Python, C++.

• Desirable – Experience with adapting neural network models to resource-

constrained application scenarios and/or hardware architecture constraints.

• Desirable – Domain knowledge of various inference usage scenarios, e.g., real-time,

streaming, in audio, vision, biomedical applications.

• Desirable – Strong math knowledge, zeal for learning new things and solving

challenging problems.

Additionally, we look for the following universal qualities in all candidates:

• Resourceful Achiever: self-driven and proactive. You apply logic and reason to effectively solve problems and manage risks.

• Avid Learner: you eagerly take on new challenges and seek out opportunities to grow and stretch.

• Passionate Owner: you are energized by your work, taking ownership, and delivering results without ego.

• Committed Collaborator: with a positive attitude and commitment to get to the best result, you welcome ideas from others and drive processes forward in an inclusive manner

Reexen Technology focuses on Semiconductors, Artificial Intelligence, Computer Vision, and Europe. Their company has offices in Switzerland. They have a mid-size team that's between 51-200 employees.

You can view their website at https://reexen.ch"
Full-time,2023-01-08,NA,Senior Machine Learning Engineer - Special Projects Group,2023-01-08 13:35:10.877256 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=DZDvIvQGfi4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Apple Switzerland AG,"Zürich, Switzerland","Senior Machine Learning Engineer - Special Projects Group

Key Qualifications

Key Qualifications
• In-depth expertise in deep learning (DL), statistical machine learning (ML), and specifically with deep reinforcement learning (DRL)
• In-depth theoretical understanding of the foundations of Reinforcement Learning, practical experience is a plus.
• Familiar with current DL literature and the math of machine learning: optimization methods, common types of models and layers, etc.
• Understanding and experience of modern machine learning concepts and state of the art deep learning frameworks
• Experienced with distributed training and cloud compute infrastructure— Demonstrated experience scaling neural network training jobs across clusters of GPU’s
• Ability to train and debug deep learning systems: Define metrics and datasets, performing error analysis, training models in a modern DL framework
• Excellent programming skills in Python, C/C++ is a plus
• Strong publication record... demonstrating innovative research
• Passionate about building extraordinary products
• Creative, collaborative, and product focused
• Excellent communication skills — you collaborate effectively with other teams and communicate clearly about your work

Description

DescriptionAs a member of the team, you will work on a hardware/software product enabled by the ML technologies you build. Our team pursues research & development in the areas of machine learning (ML) with a particular focus on deep learning (DL), optimization, and deep reinforcement learning (DRL). You will work on one of the most challenging technical problems of today, and develop new ML solutions that will impact and enable future Apple products. You’ll join a fantastic team of talented engineers and researchers with deep experience in robotics, machine learning, and software engineering. You will research and develop innovative ML strategies for challenging problems that will affect future Apple products. We hope you’re excited about the values that drive us: Passion for the mission: We’re here to make something great. We take on whatever work is right for the product and strive for the best possible results. Humility: The right answer is more important than being right. We search for solutions as a team and value clear-eyed feedback. Lean habits: You can’t grow without limits. Time constraints and big goals encourage us to sharpen our focus and learn to make great decisions.

Education & Experience

Education & ExperiencePhD or Masters degree in Machine Learning, Robotics, Statistics, Computer Science, or equivalent professional experience.

Additional Requirements

Additional Requirements"
Full-time,2023-01-08,NA,Internship - Data Scientist / Machine Learning Engineer - Full time,2023-01-08 13:35:11.453998 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=I5RD2szRXMkAAAAAAAAAAA%3D%3D&fpstate=tldetail,TNF Switzerland,"Chêne-Bougeries, Switzerland","A career at the Lombard Odier Group is something to be proud of. Our mission is to protect and grow our clients’ wealth - but not by any means necessary. Sustainability is at the heart of everything we do and we treat our clients’ wealth as if it were our own. We protect our clients’ assets for the long-term using expertise and innovation, all underpinned by our Rethink Everything philosophy. Our colleagues are the foundation of our success. We employ people at different life stages, from graduates to executive level leaders. The one thing they all have in common is that they seek to challenge the status quo, are imaginative and have the ability to offer a fresh perspective.Primary responsibilities:As part of the implementation of our Data Science strategy at Lombard Odier, we are offering a 6-month internship.The objective is to support the Data Science team in the development, integration and monitoring of AI solutions:Implement the infrastructure dedicated to the operationalization... of machine learning models.Enrich the ecosystem to facilitate data exploration, cleaning and modeling.As a member of the data science team, you will collaborate with various collaborators such as architects, IT specialists and business teams within the Lombard Odier Group.Desired Profile:Degree in computer science, data science, or equivalent experienceFluency in Python with the ability to write clean, modular, well-documented code in a collaborative development settingKnowledge of Machine learning (supervised & unsupervised learning) will be appreciatedExperience with Docker is a plusTeam player with strong communication skillsQuick learner with strong problem-solving skillsAbility to work under pressure and multi-taskIf you recognise yourself in this description, then please do apply. We look forward to hearing from you"
Full-time,2023-01-08,NA,Data Scientist/Machine Learning Engineer,2023-01-08 13:35:12.026636 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=dPGwNvVpk_4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Logmind,"Lausanne, Switzerland","Data Scientist/Machine Learning Engineer Job Description We are looking for an entrepreneurial, collaborative person with hands-on experience in machine learning, predictive analytics and software engineering. We are a young and dynamic startup from Switzerland that has a mission to enable modern businesses to understand unstructured machine data in a smart and easy manner. We develop a big data analytics solution that provides extensive analytical capabilities and insights into machine-generated log data for the visibility into complex IT environments. We are looking for an entrepreneurial, collaborative person with hands-on experience in machine learning, predictive analytics and software engineering. MSc or Ph.D. in computer science, statistics, mathematics or related fields Relevant industry experience is a plus. Expertise in modern analytics tools and programming languages such as Python, Scala, Java and/or R, Elasticsearch, Spark, Hadoop etc. Expertise in data mining algorithms... and statistical modeling techniques such as clustering, classification, regression, decision trees, neural nets, support vector machines, anomaly detection, sequential pattern discovery, and text mining. Motivated and passionate about large-scale machine learning problems, ability to think big and get things done. Good communication skills ability to explain complex technical issues to both technical and non-technical audiences. Your responsibilities Prototype, design and develop machine learning algorithms for time-series data. Implement, test and optimize proposed machine learning models for large-scale environment. Closely collaborate with the software engineering team to integrate proposed models with the main platform. We offer a full-time position based in Lausanne Switzerland. Thus, you have to be eligible to work and live in Switzerland. To apply, please send us your resume at jobs@logmind.com"
Full-time,NA,NA,Data Scientist (m/f/x),2023-01-08 13:35:12.600748 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=g0Ed_AqX5dYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Procter and Gamble,"Petit-Lancy, Switzerland","Position: Data Scientist (m/f/x)

Location: Geneva

Do you have passion to transform P&G while enabling better decision-making through advanced analytics and machine learning; enhance business results and improving consumer's lives every single day?

If you have, join P&G: we offer you a career in Information Technology, starting as Data Scientist in Geneva.

What You Will Do:

“Get hands-on into the details” on Data Science, using state-of-the-art artificial intelligence, big data platforms and data visualization to discover solutions to problems requiring tremendous creativity. Partner with business leaders to fully understand the problem, and data engineers to automate & deploy your models into applications providing prescriptions to Sales and Marketing executives - that allow P&G to serve consumers worldwide in a better way.

You will be reporting to a senior data scientist, be co-located within a DataScience and Analytics team, part of P&G’s global DataScience organization.
• You... will analyze and model on big datasets – translating 1.5TB daily consumer touchpoints and 500 million consumers' behaviors to actionable recommendations.
• You will answer business questions and propose solution for business problems by applying machine learning techniques and algorithms, and automatize analysis of consumer information or other deep learning data; explore their patterns and recommend business activities
• You will discover and invent next-generation analytic capabilities for our category analysts and business partners
• You will own your new creative algorithm-driven applications from design-thinking up to user adoption
• You will team-up with technology partners to translate your innovations into robust, scaled, analytic solutions
• You will participate and improve P&G's analytic capability program at different levels of skill and seniority, esp. also including your own skills and knowledge through job experience, coaching & training.

Qualifications
Qualifications

To qualify for this role we expect the following:
• You have a deep understanding of Statistics and Machine Learning, Optimization and other advanced analytical models – and how to apply to real world problems (friends glaze over because you cant stop talking about them over dinner).
• You are proud to write solid code. Python and Spark are favorites, not your top ones? We can teach you.
• You have familiarity with beating data into submission with pandas, SQL, or Spark.
• You have strong communication skills and prefer to chart your own course to get the job done.
• You know how to tell a story with data.
• You are curious and effective. (Sense a theme? The ability to recognize patterns is important).
• You are a Prioritizer, there are only so many hours in a day and your friends and family deserve some of it.
• You value simplicity and understand that good enough is not a cop out.
• You are creative and find that unique viewpoint to solve problems that make others run and cower.
• You are collaborative in practicing DataScience as a team sport. We love to brainstorm together!
• You have a Master Degree or PhD in a quantitative / computational field (Operation Research, Computer Science, Engineering, Applied Math, Statistics, Analytics, Data Science, Life-science, Physics etc)
• You are fluent in English (written and oral)

What could give you extra chances to have fun:
• Experience with Big Data Ecosystem: Spark, MapReduce, SQL, Hive
• Experience with Cloud Infrastructure: Microsoft Azure, Google Cloud Platform
• Experience with Agile DevOps, Github, Jira, Confluence
• Basic understanding of Business Intelligence Tools such as PowerBI, Spotfire, Tableau, etc, and/or UI frameworks (Flask, VueJS,..) to impress your business sponsors

We offer:
• Your career in Procter & Gamble will start as Data Scientist, offering
• Meaningful work from day one in a dynamic, diverse, multi-cultural and flexible working environment impacting future business results.
• Collaborative and multinational work environment.
• Excellent personal and professional development possibilities.
• 'Vibrant Living' offering on-site: Gym / Yoga / Sports-teams, Hair-Salon, Canteen, Agile workspace design, Flex-work arrangements possible, Company Shop etc
• Equal Opportunities for everybody #WeSeeEqual #LikeAGirl #GABLE #P&G

Who we are:

Information Technology (IT) uses information and business knowledge to craft innovative solutions that change the way P&G runs business.

Do you want to belong to one of the most advanced IT organizations in the world, transforming every single day the way business is done through technology and innovation? Do you have passion for technology and desire to learn and grow continuously? A career in IT with us will build your ownership and influencing skills and will provide you a breadth of experiences across multiple businesses, and depth of expertise.

Just so you know:

Apart from significant responsibilities from day 1, exceptional learning opportunities, and an inclusive and international working context, we also offer employees personalized flexibility designed to deliver business results and enable employees to grow their careers while meeting personal needs.

At P&G, we don’t just offer a job, we offer a career with varying assignments and lots of development opportunities, so that we develop our leaders of tomorrow.

Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why we’re committed to building a winning culture based on Inclusion and our ideal candidate is passionate about the same principle.

We are an equal opportunity employer and value diversity at our company. We do not discriminate against individuals on the basis of race, color, gender, age, national origin, religion, sexual orientation, gender identity or expression, marital status, citizenship, disability or any other legally protected factor.

Due to legal restrictions, immigration sponsorship is available only for EU/EFTA nationalities. All candidate with non – EU/EFTA nationalities are encouraged to check out opportunities in countries where they can obtain a work permit.

We value flexibility and life balance and we have tools and policies ensuring our people feel part of an inclusive

community.

Further helpful information to make the application process smooth:
• Just apply via clicking the button below
• Have your CV in English ready to attach
• Please note individual attachments cannot be larger than 500 KB"
Full-time,2023-01-08,CHF 100K–CHF 130K a year,Senior Deep Learning Scientist C / C++ 🏆,2023-01-08 13:35:13.180310 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=pcxsIE1558cAAAAAAAAAAA%3D%3D&fpstate=tldetail,Cybertron Tech GmbH,"Dietikon, Switzerland","Senior Deep Learning Scientist 💰 Salary: 100000 - 130000 CHF per year

At Cybertron Tech GmbH we are looking for a C / C++ engineer!

🛠️ Our tech stack:
TensorFlow, Python, C++

📝 Rquirements:
• Masters, PhD, or equivalent experience in Computer Science, Electrical
Engineering, or related field.
• Strong experience in various applications of machine learning algorithms, deep neural networks in particular, including CNN, RNN, LSTM, Transformers, etc.
• Proven programming proficiency in various languages, e.g., Python, C++.
• Desirable – Experience with adapting neural network models to resource constrained application scenarios and/or hardware architecture constraints.
• Desirable – Domain knowledge of various inference usage scenarios, e.g., real-time, streaming, in audio, vision, biomedical applications.
• Desirable – Strong math knowledge, zeal for learning new things and solving challenging problems.

👩‍💻👨‍💻 Your responsibilities are:
• Keep up with state-of-the-art deep... neural networks and their applications in audio, vision, and biomedical signal inference, and evaluate the suitability/feasibility for wearable and IoT devices.
• Define and collect the appropriate datasets for planned or potential product development.
• Build training pipelines and real-time inference models (TensorFlow, PyTorch,
Python, C++, etc.).
• Work with processor architects to tailor the neural network models for resource constrained scenarios (e.g., model compression, quantization, MAC reduction), and define the software-hardware mapping strategy.
• Work with analog/mixed-signal IC designers to include physical non-idealities in neural network model evaluation and study possible means to mitigate the effect of the non-idealities if necessary.

View this job and over 500 other transparent jobs with salaries (💰💰💰) & tech stacks (🛠️) on SwissDevJobs

Category: C / C++ Developer / Engineer
Location address: Ueberlandstrasse 18, Zurich, Switzerland

Salary: 100000 - 130000 CHF per year

Benefits & perks that we offer:
4 weeks vacation, 42-hour work week, Accident insurance, Annual company retreat, Flexible work time, Home office / Remote 2 days per week, Startup culture

Cybertron Tech GmbH - More about us and the role:
Reexen Technology is a rising startup specialized in energy-efficient integrated electronics that help enable ubiquitous intelligence. Our end-toend solutions, from sensing to local decision making, find a vast range of applications in audio, vision, and biomedical products. Our ambition and success heavily rely on our core competence in low-power analog/mixedsignal and digital integrated circuit design, as well as holistic considerations at the system, architecture, and algorithm levels.
Imagine what you could do here. At Reexen, new ideas have a way of becoming innovative products, services, and customer experiences. Bring passion and dedication to your job, and there is no telling what you could accomplish. Would you like to work in a rapidly changing environment where your technical abilities will be challenged on a day-to-day basis? Reexen is searching for a world-class architect in deep learning and its application to vision, speech, and other domains, with the goal of solving specific problems encountered in Reexen’s product development.
Reexen is working on the next-generation architecture for NPU to be used in wearable and IoT devices.

Are you looking for C / C++ jobs in Zurich"
Full-time,2023-01-08,CHF 80K–CHF 100K a year,Senior Data scientist – AI & Machine Learning,2023-01-08 13:35:13.758732 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=0em3LahzcRkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Sunrise GmbH,Switzerland,"Position: (Senior) Data scientist – AI & Machine Learning (f/m/d) 100%
Location: Glattpark
AI Exploitation & Innovation is a specialist machine learning and statistical computing team focused on data driven solutions that maximize customer satisfaction and enhance Sunrise UPC’s company performance. To achieve this, we build and operate fully automated modelling and decision-making pipelines for diverse business applications such as marketing campaigning or customer care optimizations.

The team is looking for an exceptional individual who is passionate about the power of data to change how organizations think and operate. As a core team member your responsibilities will be diverse but likely to include:

- Development of new predictive models e.g. for churn, next best action, contact optimization.

You will be expected to lead end-to-end projects from data sourcing and prototypes through to final product deployment

- Enhancement and optimization of existing models to drive continuous... performance improvements

- Proactive exploitation of large datasets and novel techniques to discover new opportunities to drive the company’s commercial performance forward

- Tackle tough business problems by use of your excellent analytical mind to and help senior leaders make informed and effective decisions

- Be an active participant in building a next generation AI Exploitation & Innovation team
What we look for in an applicant:

- A University degree (MSc or PhD) in a quantitative area (e.g. science, econometrics, mathematics)

- Strong background in machine learning and data mining

- Profound statistical knowledge and extensive experience applying your knowledge in a business environment

- Experience in analysis of large amounts of data using tools like R, Python, MATLAB, etc.

- Experience with databases and advanced SQL skills

- Experience cloud computing environments (e.g. Google Cloud Platform, Azure, Data Bricks)

- Familiarity with data visualization tools such as Tableau, R-Shiny, Qlik View

Keen interest in understanding business problems and a desire to apply statistical methods to solving them

- Strong organisational skills and have a structured approach to problem solving. You can manage multiple projects and competing tasks/priorities, from concept to delivery

- Exceptional motivation

- You will be a true team player and enjoy working in a multicultural environment.

You will exhibit exemplary communication skills and the ability to communicate effectively ls of the organization

- Fluency in both spoken and written English is vital and you should have a good command of German

At Sunrise, you will work in a dynamic and international environment w every voice is heard, perspectives are shared and values are respected. As an equal opportunity employer, it is crucial to have a diverse workforce for the success of our business.

In addition to our new «Flex Work» working model, we offer you above-average social benefits and attractive product advantages from the Sunrise range.

Seize this opportunity to join us on our journey to actively help shape our future! We look forward to your online application.

Recruiting Team Sunrise, recruiting"
Full-time,NA,NA,Computer Vision Researcher/Engineer,2023-01-08 13:35:14.332239 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwj5qLqw6bj8AhW8HDQIHSzgC0oQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=NIkDTnCjdnwAAAAAAAAAAA%3D%3D&fpstate=tldetail,"Magic Leap, Inc.","Zürich, Switzerland","Magic Leap is a team of creatives and technologists developing a lightweight wearable that is leading to the new era of spatial computing which enables the digital world to seamlessly integrate into reality. Our office in Zurich, Switzerland is a center of excellence for Computer Vision and Deep Learning. We are looking for exceptional engineers, passionate about shaping the future of computing.

Job Description

Qualified candidates will use their experience in Computer Vision with specialization in at least one of the following areas:
• SLAM / Collaborative SLAM / Visual-Inertial Pose Tracking: Design and implement advanced algorithms for estimating the 6 DOF pose of one or several head-mounted devices by optimally fusing visual and inertial measurements collected from multiple cameras and IMUs, building consistent large scale maps of the environment, and performing localization into previously created maps
• 3D Reconstruction: Design and implement algorithms that use image and... depth sensor data from the device to generate accurate point clouds and detailed meshes of the environment
• Hand Tracking: Design and implement algorithms that compute a detailed representation of the user’s hands
• Eye Tracking: Design and implement algorithms understand the user’s eye motion with the highest accuracy possible
• Sensor Calibration: Design and implement algorithms for online and offline calibration of complex devices composed of several sensors, cameras, IMUs, depth sensors and imagers. Collaborate with other engineers on the design and deployment of a fully automatic robotics-aided calibration process targeted for factory production
• Machine Learning / Deep Learning: Use collected image data in the smartest possible way in order to allow the device to understand the user and the environment better than with traditional algorithms
• High Performance Embedded Computing: Combine your experience of embedded optimizations and image processing / Computer Vision in order to develop high-performance production software with state-of-the-art computer vision capabilities on our embedded platforms and achieve highest possible compute efficiency

Qualifications
• 3+ years of significant experience in one of the areas above
• Fluent in C/C++ and Python (~3+ years of active experience)
• Experience with Computer Vision libraries (e.g. OpenCV, Ceres, g2o, gtsam, Sophus) is a plus
• Knowledge in software optimization, embedded programming, and parallel computing (e.g. SIMD, OpenCL, GPGPU, etc.) is a plus
• Deep Learning experience is a plus if it includes deep learning experience in geometric Computer Vision

Education
• PhD or MSc in Computer Science or related areas of study

Additional Information
• All of your information will be kept confidential according to Equal Employment Opportunity guidelines"
