Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,NA,NA,Machine Learning Engineer With Data Science Experience,2023-01-08 13:35:32.757222 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=V_HhM3TA2hAAAAAAAAAAAA%3D%3D&fpstate=tldetail,P.I. Works Inc,"İstanbul, Turkey","P.I. Works is the first company in the world to automate the management of a commercial 5G network.

Our automated network management products and services empower mobile operators to accelerate network transformation and to drive network quality and efficiency on the path to 5G. These solutions have been deployed across more than 63 mobile operators in 45 countries around the world.

Come and join us to work with the leading telecom operators around the world and redefine the mobile experience worldwide leveraged by contemporary, pioneer use-cases based on wide variety of Artificial Intelligence methods such as Statistical Machine Learning, Deep Learning, Big Data Complex Event Processing and Pattern Recognition to be applied in the Telecommunication industry etc.

What You Will Do:
• Developing machine learning models to achieve business objectives, along with metrics to track their progress
• Develop Proofs-of-Concept (POC) by using state-of-the-art ML technologies and Lead the POC... process
• Work closely with subject-matter-experts from different domains to define problems metrics and ensure model outputs to meet the expectation
• Document and explain cutting-edge techniques to other team members
• Join brainstorming sessions to leverage provided solutions and learn from others

What You Need To Be Successful:
• Hands-on applied machine learning experience from 3 to 5 years with proven record of statistics, ML model development, data analysis and visualization know-how and experience
• Proficiency with Python and related ML-Data Analysis libraries used for problems in the scope of time series, forecasting and anomaly detection,etc.
• Project completion with deep learning frameworks (like Tensorflow, Keras) especially for RNN for time-series forecasting
• Excellent skills at distilling complex, ambiguous scenarios into tractable model
• Expertise in visualizing and manipulating big datasets
• Familiarity with SQL and experience working with various database types
• Able to support technical meetings worldwide with a fluent command of English
• Familiarity with version control systems, and source code versioning systems such as git/mercurial, issue and know-how tracking solutions like Jira and Confluence, productivity tools for data science such as Jupyter or Azure notebooks

What Makes You A Great Fit (is a plus):
• BSc in Computer Science, Mathematics or similar field; Master’s degree
• Experience on working with sequential big data like time series forecasting and anomaly detection, root cause analysis or geolocation analytics
• High-performance computing, data modeling and query optimization experience
• SW Development techniques, big data technologies and Linux
• Telecommunication domain know-how and working experience
• Executive-level reporting and presentations, data story-telling skills
• Eligible for working in Turkey

What We Can Provide:
• Career development opportunities in a multinational working environment
• Develop your 5G and AI knowledge in a market-leading company with subject matter experts
• International career opportunities (Americas, Europe, MEA, APAC regions)
• Private health insurance
• Flexible working hours and vacation policy
• Transportation allowance
• Meal allowance, complimentary breakfast and soft drinks
• Pop-up events and gifts
• Sports activities"
Full-time,2023-01-08,NA,"Senior Data Engineer – Machine Learning in
            
             ...",2023-01-08 13:35:33.328204 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=WWUFOTW7NsoAAAAAAAAAAA%3D%3D&fpstate=tldetail,IQVIA,"İstanbul, Turkey","[ad_1]

Senior Data Engineer

We are looking for an innovative, collaborative, intellectually curious and entrepreneurial Senior Data Scientist to join our Enterprise Data and Analytics team. This is an exciting opportunity to join a newly created fast-moving start-up style group within one of the world’s leading human data science companies. The primary focus of the role is to develop advanced analytics on highly complex, large-scale internal company data to identify potential efficiencies and improvements.

A typical day might include
• Working with the team and client to develop reporting and analytical needs
• Addressing those requirements by developing and applying appropriate processes and methodologies
• Communicating technical concepts and analytical outputs to a diverse set of stakeholders
• Proactively identifying opportunities for innovation and areas for improvement across the company

Responsibilities:
• Gathering, cleaning, and processing data
• Developing tools and... processes to monitor and analyse data accuracy
• Collaborating with organizational leaders to identify informational needs
• Analysing data sets to spot trends and patterns that can be translated into actionable insights
• Presenting findings in an easy-to-understand way to inform data-driven decisions
• Designing descriptive, diagnostic, predictive and prescriptive models, and machine learning algorithms to mine big data sets

Qualifications
• Bachelor’s Degree Computer Science or related discipline, or knowledge acquired through equivalent experience required
• Advanced working knowledge of SQL required, Python requirement, Alteryx is advantage
• Machine learning, data modelling experience
• Advanced statistic, predictive analytics
• Experience supporting and working with cross-functional teams in a dynamic environment
• Strong written and verbal communication skills

Why Join?

Those who join us become part of a recognized global leader still willing to challenge the status quo to improve patient care. At IQVIA, you will have access to the most cutting-edge technology, the largest data sets, the best analytics tools and, in our opinion, some of the finest minds in the Healthcare industry.

We thank all applicants for their interest; however, only those selected for an interview will be contacted

IQVIA is a strong advocate of diversity and inclusion in the workplace. We believe that a work environment that embraces diversity will give us a competitive advantage in the global marketplace and enhance our success. We believe that an inclusive and respectful workplace culture fosters a sense of belonging among our employees, builds a stronger team, and allows individual employees the opportunity to maximize their personal potential.

IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at https://jobs.iqvia.com

IQVIA is a world leader in using data, technology, advanced analytics, and expertise to help customers drive healthcare – and human health – forward. Together with the companies we serve, we are enabling a more modern, more effective and more efficient healthcare system, and creating breakthrough solutions that transform business and patient outcomes.

To get there, it takes diverse skills and a curiosity to explore new possibilities. No matter your role, everyone at IQVIA, including our colleagues at Q² Solutions, contributes to our shared goal of improving human health. Thank you for your interest in growing your career with us.

EEO Minorities/Females/Protected Veterans/Disabled

Apply Now

To help us track our recruitment effort, please indicate in your cover/motivation letter where (vacanciesinturkey.com) you saw this job posting"
Full-time,NA,NA,AI (Machine Learning and Deep Learning) Engineer,2023-01-08 13:35:33.903165 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=PnjfQvgv2xEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Huawei Telekomünikasyon Dış Ticaret Ltd,Turkey,"As Huawei Turkey R&D Center, we are now looking for AI (Machine Learning and Deep Learning) Engineers to join our ranks.
• If you have experience with Machine Learning, Deep Learning, Computer Vision or Data Science, this could be a fantastic next step in your career in a company set to completely revolutionize the telecommunications industry.
• This is a great chance for you and your career to be a part of an innovation leader company. You will have opportunity to improve process efficiency and software quality of projects developed by thousands of Huawei Engineers using ML/DL models designed by yourself.
• We expect from candidates to have a strong understanding in Machine learning and Deep Learning. Also, strong Python coding skill is required. Knowledge on Linux command line and shell scripting is a plus.

Brief Job Description:
• Researching and developing AI/ML/DL models from scratch and take ownership of them
• Analyze massive amounts of data, optimize and improve the model... with given requirements to reach optimum business solution for real world problems.
• Developing AI/ML/DL based services and applications
• Comprehensive AI based Proof of Concept (PoCs) development for launching innovative solutions
• Actively participate in development for applying the model

Essential Skills Required:
• Bachelor degree in Computer Science/Electrical&Electronics Engineering/Software Engineering or a related field of study; a MSc/PhD degree in Data Science, Machine Learning or other field with relevant research is a big plus.
• Minimum 3 years of working experience at least one of these areas : Machine Learning Algorithms, Deep Learning, Computer Vision, Natural Language Processing, Speech Research or Data Science.
• Strong programming skills in Python with model training, data analysis and visualization for massive amounts of data, including experience with various libraries, packages, and frameworks such as pandas, scikit-learn, SciPy, NumPy, OpenCv, Jupyter, TensorFlow, Keras, PyTorch etc.
• Familiarity with deep learning approaches (CNNs, RNNs, LSTM, GRU, GAN, Reinforcement Learning, etc.) as well as machine learning methods (SVM, Bayesian learning, decision trees, logistic regression, etc.).
• Knowledge in version control systems (Git), SQL, and relational databases.
• Practice on Cloud Platform's machine learning Solutions (AWS Sagemaker, Google Cloud AI) will be better.
• Experience on Kaggle contest is a plus.
• Experience on other software languages such as Java, C++, JavaScript is a plus.
• Knowledge on Linux command line (Ubuntu, etc.), shell scripting, CUDA/CuDNN is a plus.

Personal Skills Required:
• Excellent written and verbal skills with strong grasp of English is a must.
• Agile oriented; focused on delivery and customer first.
• Excellent problem solving; analytical thinking skills.
• Adaptive; responsive for on-demand changes.
• Dedicated; working hard to finish tasks on-time with high quality.
• Communicative; calling before sending e-mail.
• Team Player: Working with team members and other members to achieve a shared goal or outcome in an effective way; taking initiative to support others.
• Open; collecting feedbacks and defining actions for self-improve.
• Willing to search, learn and adapt new technologies to projects.
• Competitive salary
• Home office pack to create your own home working space;
• Discount at MSc/PhD programs from several top universities;
• Employee Gift Packs for special events;
• Online training platforms (Udemy, O’Reilly, Raywenderlich, Packt);
• External certification support;
• A culture of continuous development: conferences, in-house events & Tech Talks to stay up-to-date on current research and technology"
Full-time,NA,NA,Software Engineer in Machine Learning,2023-01-08 13:35:34.495896 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=k5tYwOlRKwsAAAAAAAAAAA%3D%3D&fpstate=tldetail,AFINITI,Turkey,"WHO ARE WE?

Afiniti is the world’s leading applied artificial intelligence and advanced analytics provider. Afiniti Enterprise Behavioral Pairing™ uses artificial intelligence to identify subtle and valuable patterns of human interaction in order to pair individuals on the basis of behavior, leading to more successful interactions and measurable increases in enterprise profitability. Afiniti operates throughout the world and has measurably driven billions of dollars in incremental value for our clients.

Key Responsibilities:
• Design multi-component service and backend architectures that can process high volume/high speed data, apply business & analytics logic, and serve to client or UI interfaces.
• Work with a multidisciplinary team of domain experts, systems architects, data scientists and engineers in order to customize products according to external client and internal power user needs.
• Lead delivery of software projects and product development of significant impact and... scale.
• Design and complete a medium to large medium sized task independently.

Pluses:
• Ph.D. degree in Computer Science or other field with relevant research.
• Experience with Agile Development tools and processes.
• Strong experience in Python.
• Experience with state-of-the-art NLP techniques.
• In-depth knowledge of machine learning, statistics, or linear programming.
• Linux system administration and shell scripting.

Requirements:
• M.Sc. degree in Computer Science or related field.
• Fundamentals in problem solving, computer science, algorithm design, complexity analysis.
• Experience in machine learning/artificial intelligence, data science, statistics or information research.
• Experience with deep learning frameworks, preferably designed for text data.
• Practical experience in building and evaluating models using major libraries such as Scikit-Learn, Pytorch, Tensorflow.
• 2+ years professional experience in software design and development, especially with machine learning and artificial intelligence applications.
• Proven software engineering experience in at least one Object Oriented language, e.g. C++, Python, Java.
• Experience with parallelization frameworks like MPI or OpenMP, GPU programming.
• Familiarity with basic concepts of AI Ops or continuous deployment/integration.
• Passion for writing beautiful code and tuning performance.
• Solid written and verbal communication skills to document and explain complex systems.
• Demonstrated ability to manage time independently and take projects to completion.
• Willingness to both teach others and learn new techniques.
• Comfort working in a collaborative environment with cross-team communication to bring projects into production"
Full-time,2023-01-08,TRY 130K–TRY 150K a year,Senior Data Scientist,2023-01-08 13:35:35.070943 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=6XNdYw0Ns3wAAAAAAAAAAA%3D%3D&fpstate=tldetail,Organon Analytics,"İstanbul, Turkey","-Bachelor’s degree in statistics, mathematics, economics, computer science,engineering, or similar quantitative discipline 3-6 years working in a similar quantitative role

-Proficiency in using query languages such as SQL, Hive, Spark QL

- Proficiency in using statistical modeling tools such as Python, R, SAS, SPSS

- Experience in extracting, cleaning and preparing data for modeling

- Experience in building and applying machine learning/predictive modeling inreal-world use cases

- Having great communication & presentation skills

- Creative and innovative problem-solving skills

- Good team player, result oriented attitude, strong attention to detail and analytical mind

- Intellectual curiosity and a passion for data and analytics

- Strong desire to take initiative; ability to deal with ambiguity and competing objectives

- Advanced level of English

Preferred qualifications

-Solid foundation in statistics

-Experience in one programming language, e.g. Python, Perl, C/C... Java

- Experience with a consumer facing company

- Exposure to big data systems and methodologies

Responsibilities

-Work on all aspects of creating predictive intelligence including collecting requirements, establish analytics work plan, data exploration, cleansing, and preparation, identifying features, selecting algorithms, building and testing models, iteratively improving solutions

-Perform hands on data analysis to design predictive systems or improve the performance of systems

- Collaborate with software developers to put predictive intelligence inproduction

- Design scalable and efficient methods for big data

- Research new algorithms and machine learning solutions for solving business problems

- Present complex ideas and their value proposition to non-technical audienceas a cont story with clear and easy to follow conclusions

- Provide guidance to business decisions with interpreting statistics, prepare high-level presentations of data for executive review

- Collecting requirements for both new and existing products of the company

- Handle prioritization of various initiatives, and communicate with key stakeholders regarding progress"
Full-time,NA,NA,Machine Learning/Research Engineer,2023-01-08 13:35:35.648608 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=AMPDZKp1SbgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Uplift People Consulting,"İstanbul, Turkey","Our client is the world’s leading applied artificial intelligence and advanced analytics provider. They use artificial intelligence to identify subtle and valuable patterns of human interaction in order to pair individuals on the basis of behavior, leading to more successful interactions and measurable increases in enterprise profitability. They operate throughout the world and have measurably driven billions of dollars in incremental value for their clients.

We are looking for an experienced Machine Learning/Research Engineer for our client's growing team.

Job Requirements
• Design multi-component service and backend architectures that can process high volume/high-speed data, apply business & analytics logic, and serve client or UI interfaces
• Work with a multidisciplinary team of domain experts, systems architects, data scientists, and engineers in order to customize products according to external client and internal power user needs
• Lead delivery of software projects and... product development of significant impact and scale
• Design and complete a medium to large medium-sized task independently

Candidate Requirements
• M.Sc. degree in Computer Science or a related field
• Similar experience in software design and development, especially with machine learning and artificial intelligence applications
• Experience in machine learning/artificial intelligence, data science, statistics or information research
• Experience with deep learning frameworks, preferably designed for text data
• Fundamentals in problem-solving, computer science, algorithm design, and complexity analysis
• Practical experience in building and evaluating models using major libraries such as Scikit-Learn, Pytorch, and Tensorflow
• Proven software engineering experience in at least one Object Oriented language, e.g. C++, Python, Java
• Experience with parallelization frameworks like MPI or OpenMP, GPU programming
• Familiarity with basic concepts of AI Ops or continuous deployment/integration
• Passion for writing beautiful code and tuning performance
• Solid written and verbal communication skills to document and explain complex systems
• Demonstrated ability to manage time independently and take projects to completion
• Willingness to both teach others and learn new techniques
• Comfort working in a collaborative environment with cross-team communication to bring projects into production"
Full-time,NA,NA,Senior Lead AI/ML Engineer,2023-01-08 13:35:36.224556 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=ESCFJrNbqrsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Base64.ai,Turkey,"About the job

Base64.ai is an artificial intelligence startup in New York. We are building SAAS solutions for automated document processing, facial recognition, and voice identification. We are looking to expand our engineering team. Join us to work on cutting-edge engineering projects at a multinational company. Perks include a very competitive salary, employee stock program, remote work, and flexible hours.

An ideal candidate can lead a team of AI/ML engineers and drive projects from start to end, including data preprocessing, model training, model deployment, and performance monitoring. We are looking for distinguished machine learning engineers that are eager to lead, mentor, and guide fellow ML engineers.

Responsibilities
• Lead, design and apply recent CV / NLP techniques, make key improvements to our ML architecture
• Build end-to-end machine learning projects from idea to production
• Work closely with the engineering team for deploying deep learning models
• Research the... state-of-the-art scientific literature in information extraction for better understanding all types of complex documents
• Prototype and develop algorithms using advanced deep learning techniques for document understanding

Requirements
• Excellent communication, people-management, and mentoring skills
• 5+ years of hands-on professional experience in designing and building production-grade solutions in one or more of the following areas: Optical character recognition, named entity recognition, document classification, key information extraction, document layout analysis, document question answering, table detection
• 5+ years of hands-on experience in deep learning frameworks (e.g., PyTorch, Tensorflow, etc.)
• Experience in building state-of-the-art products in neural networks using CNN, LSTM-RNN, Transformer, or similar
• Meticulous work ethics, planner, problem-solver, self-motivated, and team-player
• Proficient in Python
• English proficiency

Bonus points
• 3+ years of experience with NLP models and libraries such as Huggingface, BERT, GPT, etc. is a plus
• 5+ years of experience on computer vision is a plus
• Experience in cloud environments (AWS, Google, Azure) is a plus
• Relevant PhD or master’s degree is a plus

Tips for a successful application
• Please add links to your GitHub and recent projects that you want to share.
• Do not share any confidential or private information with us, including about your current job or project.
• If your LinkedIn is not up2date, please attach a PDF of your resume

Base64.ai focuses on SaaS, Machine Learning, and Document Management. Their company has offices in New York City, Atlanta, New Jersey, Ontario, and Munich. They have a small team that's between 11-50 employees. To date, Base64.ai has raised $1.81M of funding; their latest round was closed on February 2022 at a valuation of $15M.

You can view their website at https://base64.ai or find them on Twitter, Facebook, LinkedIn, and Product Hunt"
Full-time,2023-01-08,TRY 130K–TRY 150K a year,NLP Research Engineer,2023-01-08 13:35:36.800433 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=7lRwdEBKCDsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Afiniti International Holdings Ltd.,"İstanbul, Turkey","Who are we?

Afiniti is the world’s leading applied artificial intelligence and advanced analytics provider. Afiniti Enterprise Behavioral Pairing™ uses artificial intelligence to identify subtle and valuable patterns of human interaction in order to pair individuals on the basis of behavior, leading to more successful interactions and measurable increases in enterprise profitability. Afiniti operates throughout the world and has measurably driven billions of dollars in incremental value for our clients.

As a member of the NLP team under the AI R&D team, you’ll customize high-performance text processing packages to be used by our AI production team. Our technology requires extremely high precision estimates to operate ormance. We work with methods that are computationally expensive even for moderately sized datasets.

The NLP engineer reports to the Lead of the NLP Team under the AI R&D.

Purpose

In this role, you will dive into our core machine learning and NLP algorithms, tune... them for performance, apply parallelization strategies w possible, and implement the next generation of algorithms.

You will be working with research scientists and research engineers on developing algorithms and modeling techniques focusing on code quality and creating production-ready systems.

You will be dealing with specific challenges like working on large heterogeneous datasets and support us in implementing our custom and novel algorithms that are robust, reliable, and efficient that can run in production at scale and additionally adapting our NLP systems to different environments within Afiniti.

This role may require all phases of software engineering including, requirements, design, code, test, integration, and debugging with a good understanding of machine learning algorithms specifically natural language processing techniques.

This is a senior role that requires in depth experience of deployment and various client environments.

The ideal candidate will have

· Bachelor’s degree in Software Engineering, Computer Engineering or Computer Science.

· Fundamentals in problem-solving, computer science, algorithm design, complexity analysis

· Experience with deep learning frameworks, preferably designed for text data.

· Practical experience in building and evaluating models using major libraries such as Scikit-Learn, Pytorch, Tensorflow

· 5+ years of professional experience in software design and development experience especially with machine learning and artificial intelligence applications

· Proven software engineering experience in at least one Object Oriented language, e.g. C++, Python, Java

· Experience with parallelization frameworks like MPI or OpenMP, GPU programming

· Familiarity with basic concepts of AIOps or continuous deployment/integration

· Dev Ops or continuous deployment/integration experience

· Passion for writing beautiful code and tuning performance

· Solid written and verbal communication skills to document and explain complex systems

· Demonstrated ability to manage time independently and take projects to completion

· Willingness to both teach others and learn new techniques

· Comfort working in a collaborative environment with cross-team communication to bring projects into production

Pluses

· MSc. degree in Computer Engineering, Computer Science, or another field with relevant technical depth

· Experience with Agile Development tools and processes

· Strong experience in Python

· Experience with state-of-the-art NLP techniques

· In-depth knowledge of the deployment of machine learning/NLP systems

· Linux system administration and shell scripting

Salary and Package

As well as a competitive base salary dependent on the number of years of experience, we also offer corporate benefits.

Location

This position is located in Istanbul (a remote option within Turkey is possible"
Full-time,NA,NA,Machine Learning,2023-01-08 13:35:37.373720 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=j1sYBRKqnZQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Loxiy,"İstanbul, Turkey","The position will be responsible for designing and leading advocacy for Loxiy on artificial intelligence products development such as Smart Drone, Self-driving cars, robots, etc."
Full-time,NA,NA,Data Engineer,2023-01-08 13:35:37.929838 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwjnrO676bj8AhXCMDQIHYRiAHUQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=8RNe8JgAzoUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siemens,"İstanbul, Turkey","We are looking for Data Engineer to be located in a hybrid environment (Kartal and remotely time to time) who will be responsible for building data models and developing designs and analysis by using digital solutions.

What part will you play?

• Software development activities in the domain, including analysis, design, implementation, documentation and testing

• Implementation of innovative platform / application by utilizing new technologies

• Producing high quality project deliverables within planned time and effort

• Conforming to Siemens processes, quality standards and guidelines

What you need to make real what matters.
• BSc., MSc. or PhD. in computer science or a related areas
• Proven 3+ years of experience in software development
• Very good command of English (German is a plus)
• Strong problem solving and analytical skills
• Experience in Data Analytics and Machine Learning is must
• Experience in Scala, Java, Python or C# is a strong plus
• Experience in frontend... development is a strong plus
• Experience in developing software applications for Cloud and IoT Platforms is a plus
• Experience in Data Warehousing (of Snowflake, Teradata, MSSQL etc.)
• Experience in Agile Development is a plus
• Design, develop, implement, test, document, and operate large-scale, high-volume, high-performance data structures for business intelligence analytics.
• Participating in the full development life cycle, end-to-end, from design, implementation and testing, to documentation, delivery, support, and maintenance to produce comprehensive, usable dataset documentation and metadata.

What we offer
• Speak up Culture
• Respectful Workplace
• Being part of a global work environment
• Remote working and remote living flexibility
• Attractive remuneration package
• Excellent recognition tools providing spot awards
• Learning & Development
opportunities for both personal and professional growth
• Leave days for parents and a
variety of flexible working models that allow time off for yourself and
your family
• Creche allowance for mothers
• Share matching programs to become a shareholder
of Siemens AG
• Find more benefits here

Individual benefits are adapted to meet
local legal regulations, the requirements of different job profiles, locations,
and individual preferences.

“At Siemens we are always challenging ourselves to build a better future.
We need the most innovative and diverse Digital Minds to develop tomorrow‘s
reality. Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds“

As Siemens, we believe physical barriers are not related to potential.
Only the potential matters to us. Therefore, we look forward to receive
applications of candidates with physical barriers and chronic illnesses. We
support healthy relationships between candidates with barriers and their
colleagues because we believe we can create differences together.

Siemens is dedicated to quality, equality, and valuating diversity, and
we welcome applications that reflect the diversity of the communities within
which we work.

We are looking forward to receiving your online application. Please
ensure you complete all areas of the application form to the best of you
ability as we will use the data to review your suitability to the role.

Please find more information from our web site:

https://new.siemens.com/tr/tr.html

Contact

If you need more information please don't hesitate to contact us.

+90 216 459 20 00

https://new.siemens.com/tr/tr/genel/iletisim.html

insanorganizasyon.tr@siemens.com

www.instagram.com/siemensturkiye

https://m.youtube.com/user/Siemens

http://www.twitter.com/siemensturkiye

http://www.facebook.com/siemensturkiye

Organization: Global Business Services

Company: Siemens Sanayi ve Ticaret Anonim Sirketi

Experience Level: Experienced Professional

Full / Part time: Full-time"
