Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:49:07.455807 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=sZRNZOciAEwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Envision,"London, UK","Machine Learning Engineer
London, England, United Kingdom 4 weeks ago Be among the first 25 applicants
Welcome back
Sign in to save Machine Learning Engineer at FINESSE .
About The Role At FINESSE, we pride ourselves in building the foundations of a consumer brain - one that understands consumer preferences and predicts trends. As our Machine Learning Engineer, you will creatively brainstorm new data sources, pipelines and algorithmic strategies to improve our trend prediction and demand forecasting. You will work alongside brilliant members of a world class team to build fascinating technology and you will leverage the latest techniques in AI and machine learning across network analysis, natural language understanding, time series analysis, computer vision and recommendation systems to optimize our decisions on what to design, how much of it to produce, and which rising social media influencers to work with.
About You You can’t wait to apply your data and machine learning expertise... to figure out what’s trending in culture and fashion in realtime and to eliminate the inefficiencies in fashion design and distribution that contribute to fashion being the second largest polluter in the world. You love social data and the messy nature of it and embrace the challenges of big data, performance and scalability, thinking for the long-term and setting up systems that benchmark progress, prevent regressions, and are easily maintainable by other collaborators. Above all, you’re excited to build something from the ground up that will touch the lives of millions of people worldwide.
Recommended Background
• Experience working with heavily alternative data sets
• Experience across NLP, sentiment analysis, network/graph analysis, time series analysis, reinforcement learning, computer vision with a deep specialization in one area
• Solid statistical foundation and inspired creative mathematical understanding of real world problems
• Experience building production-level machine learning systems
• Knowledge of technologies such as Tensorflow, Keras, Hadoop, Postgres, AWS, Docker
What You’ll Love At FINESSE
• Being at the forefront of and working towards creating a culture-defining new product
• A close-knit, extremely passionate & world class team excited about changing the face of fashion
• A diverse team and culture that values inclusivity and individuality as highest priority
• Company sponsored happy hours and outings
• Comprehensive benefits: Medical, dental and vision insurance; 401k
• Paid maternity and paternity leave
• Sponsored weekly team lunches
• Unlimited PTO
Our Culture FINESSE has a dreamer & doer culture. We envision the next age of fashion & consumer and then get to work to implement it, always thinking creatively, innovatively and collaboratively to create real change. We are energetic, highly creative and hungry for change that is both revolutionizing as well as ethical. Get notified about new Machine Learning Engineer jobs in London, England, United Kingdom . Machine Learning Engineer

London, England, United Kingdom 3 weeks ago Machine Learning Engineer

London, England, United Kingdom 1 week ago Machine Learning Engineer

London, England, United Kingdom 2 weeks ago Machine Learning Engineer

London, England, United Kingdom 3 months ago Machine Learning Engineer

London, England, United Kingdom 2 days ago Machine Learning Engineer

Southwark, England, United Kingdom 3 weeks ago Machine Learning Engineer

London, England, United Kingdom 1 week ago Machine Learning Engineer - London

London Area, United Kingdom 1 day ago Principal Machine Learning Engineer

London, England, United Kingdom 2 weeks ago Junior Machine Learning Engineer

London, England, United Kingdom 1 week ago Machine Learning Engineer - FinTech

London, England, United Kingdom 1 day ago Senior Machine Learning Engineer

London, England, United Kingdom 3 weeks ago Machine Learning Engineer - MLOps

London, England, United Kingdom 2 weeks ago Senior Machine Learning Engineer

London, England, United Kingdom 3 weeks ago Senior Machine Learning Engineer

London, England, United Kingdom 2 days ago Senior Machine Learning Engineer

London, England, United Kingdom 2 weeks ago Senior Machine Learning Engineer

London Area, United Kingdom 2 days ago Senior Machine Learning Engineer

London Area, United Kingdom 3 days ago Senior Machine Learning Engineer

London, England, United Kingdom 2 weeks ago Lead Machine Learning Engineer

London, England, United Kingdom 2 weeks ago Manager - Machine Learning Engineer

London, England, United Kingdom 1 week ago Senior Machine Learning Engineer - Spam

London, England, United Kingdom 1 week ago Machine Learning Engineer II (NLP)

London, England, United Kingdom 5 days ago Python Machine Learning Engineer - AWM Research Technology

London, England, United Kingdom 1 week ago Senior Machine Learning Engineer - Natural Language Processing (Remote)

London, England, United Kingdom 1 day ago Machine Learning Engineer

London, England, United Kingdom 3 days ago Machine Learning Operations Engineer
London, England, United Kingdom 1 week ago Machine Learning Platform Engineer
London, England, United Kingdom 2 weeks ago Machine Learning and C++ Engineer for Game Technology
London, England, United Kingdom 2 weeks ago Remote Machine Learning Engineer/ Any Location/ Europe/ USA
London, England, United Kingdom 2 weeks ago Machine Learning Engineer - ""- Relocate to Saudi Arabia, Permanent Expat Family Relocation Package""
London, England, United Kingdom 3 weeks ago Senior Machine Learning Engineer (Bangkok based, relocation provided)
London, England, United Kingdom 2 weeks ago Machine Learning Integrations Engineer - MLOps
London, England, United Kingdom 3 weeks ago Machine Learning Data Engineer - Contractor
London, England, United Kingdom 2 weeks ago Machine Learning Engineer
London, England, United Kingdom 2 weeks ago Sign in to create your job alert for Machine Learning Engineer jobs in London, England, United Kingdom . You’re signed out
Sign in for the full experience"
Full-time,NA,NA,Senior Machine Learning Engineer,2023-01-08 16:49:08.057194 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=zFvz5MFJfy4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Hawk-Eye Innovations,"London, UK","Senior Machine Learning Engineer

Department: Software Engineering - Machine Learning

Employment Type: Full Time

Location: London, UK
Description

Machine Learning Engineer - Senior

The Machine Learning team sits within our Computer Vision Engineering Department, who are responsible for delivering real-time, end-to-end solutions for tracking balls, players and other relevant sports objects, for the purposes of sports officiating and data analytics.

One example of our tracking products is SkeleTRACK - a real-time ball and skeletal tracking currently deployed to major US sports leagues and European football leagues. Our Computer Vision and Machine Learning team are almost entirely responsible for building this technology. We are now looking at how we improve and extend this into more sports and services - more than likely solving more complex and challenging problems!

A day in the life of a Machine Learning Engineer

As a Machine Learning engineer at Hawk-Eye Innovations, you will... be part of an agile team that is responsible for the end to end pipeline for our Machine Learning models. This involves tasks such as working with our annotation teams to get the best annotated data and providing them with the best tools on our annotations platform; keeping track of live model performance and detect common failure cases; integrating models and features into our SkeleTRACK products; keeping up to date with the latest research; and designing new ML models, whether real-time or otherwise.

You will partner closely with our product team to establish requirements and develop innovative solutions to the most complex challenges within sports technology. You can expect to solve significant problems whilst leading and coaching more junior members of the team as we brainstorm solutions, conduct research and find the best approach. You will be working in a weekly Kanban cycle to deliver game-changing technology and will support the configuration and deployment of our products that are delivered on a global scale.

Key Responsibilities

Key Responsibilities

We innovate to build incredible ball and player tracking solutions, applying that to sports officiating but also broadcast video, coaching and fan engagement. Computer Vision and Machine Learning is pivotal to all of this and is the core competency of the Hawk-Eye Engineering team.

You will be working with a highly skilled set of engineers. As the business and team have grown rapidly, so has the emphasis on creating a team and structure that can enable us to continue to create innovative solutions and products.

Senior Engineer

As a Senior Engineer, you will be one of the senior members of the team. Technically, you will be a developing domain expert and expected to help influence the direction of our development. Your responsibilities will include:
• Being a technical mentor to the development team, influencing decisions within the team;
• Building strong relationships within the machine learning team and communicating effectively both the engineering and product teams;;
• Maintaining modern architecture and design practices;
• Understanding requirements and delivering solutions with little direction;
• Being a thorough and excellent software engineer, writing code with minimal guidance;
• Leading R&D initiatives, keeping up to date with industry trends;
• Attending CV/ML conferences;
• Being a pragmatic problem solver.

Skills Knowledge and Expertise

Skills, Knowledge and Expertise

Must have a good understanding of:
• Python
• Relevant libraries (Pytorch, Pytorch-ignite, Numpy, Jupyter, Pandas)
• Linux & Windows 10
• TensorRT
• GIT

Nice to haves
• Modern C++ (C++17/20)
• CUDA
• ClearML
• CMake & Visual Studio
• OpenCV
• Typescript & Semantic UI React
• SSH

Bonus Skills
• QT
• TeamCity
• JIRA & Kanban
• Confluence

Our Tech Stack

At Hawk-Eye Innovations, we continue to push the boundaries of innovation within global sport. As part of our team, you will work closely with exceptional people and the most cutting edge technologies.

You can expect to work with:
• Pytorch
• Python
• modern C++ (17/20)
• Production software targets Windows 10 (plus some Linux software, e.g. for ML training)
• Tools: Git, cmake, Visual C++, TeamCity, JIRA, Confluence, Slack.
• Libraries: OpenCV, Ceres, Qt (and quite a few more smaller ones)

Our Development Team

Our Development team at Hawk-Eye Innovations is multi-faceted. It is responsible for building technology that unpins all of the services delivered by the wider operational business. We have expertise in a variety of engineering disciplines, including:
• Computer Vision
• Machine Learning
• Video content management and streaming
• Cloud data platforms
• Web technologies
• Computer Graphics
• Data Science

Each of the above teams collaborates closely to deliver technologies across a number of sports, products, and services. One of our core services is ball and player tracking in sports such as tennis, cricket, football, and US sports like major league baseball. We build end-to-end solutions - real-time tracking, data warehousing, low latency data streaming, and broadcast enhancements, including automated officiating (e.g. Hawk-Eye Live, Tennis).

Our VAR system is used to help officiate in the biggest football competitions in the world, including the top leagues in England, Germany, Spain, Italy, France, and the USA, the UEFA Champions League, and the FIFA World Cup. Outside of football, our products are used in almost every major sport in the world, including the Olympics, American football, baseball, basketball, ice hockey, cricket, tennis, and golf.

In addition to officiating, we are also used as a broadcast tool, providing the ability to add replays and graphics to TV productions. This ranges from working with massive productions like the Masters golf tournament (where we won a Sports Emmy for our product that allowed viewers at home to view every shot of the tournament at the click of a button) to smaller events on the tennis tour where we provide the entire production, including cameras which we remotely control to follow the play.

Ultimately, we are flexible in our approach to software development. We do all of this with the support of the Product team, who facilitate projects and product development while delivering the technology into the hands of our operational teams.

We actively balance the focus of product development and innovation, appreciating that both are extremely important to the success of our business. While we adopt a robust approach to software development we are aggressive with our innovation - this includes regular Hack-Days, creating opportunities to experiment, initiating creative ideas, and embracing failures (but failing fast).

As part of our Development Team, you will be part of creating software that is integral to some of the biggest sporting tournaments, leagues, and federations in the world. You’ll be able to see the results of your work on live TV, along with billions of sports fans around the world whose experience will be augmented by our software.

Our Development Team Culture

Our Development team at Hawk-Eye is built on a culture shaped by openness and honesty, along with a desire to push the boundaries of technology and innovation. We are constantly learning so that we can keep up to date with modern ways of doing things, and we use our code review process to challenge each other to improve and work in the best way possible, regardless of seniority in the team. We have areas that specific individuals are responsible for, but we always work collaboratively so that everyone can gain knowledge across our codebase, and areas of responsibility change over time as team members progress. We are agile and strive for the highest quality in everything we produce, whilst always ensuring that the code we write is clear and maintainable.

Benefits

In addition to being a part of a great team, working in a fun and creative environment and learning from the best technical minds in the sports industry, we offer:
• 25 days annual leave in addition to 8 public holidays;
• Enhanced pension scheme (with 5% matching);
• Flexible working
• Complimentary Unmind app
• Access to sporting events and tickets
• Onsite Gym (Basingstoke)
• Sony Group Company Discounts"
Full-time,NA,£90K–£100K a year,Machine Learning Data Engineer,2023-01-08 16:49:08.639500 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=b7fymWplIO4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Lorien,"London, UK","My client, a top Tier bank in the UK, are seeking a Senior Machine Learning Engineer to work on a large scale Data Transformation programme.

The Core purpose of role is to provide technical leadership and strategic direction to ensure delivery whilst helping create the vision and delivery plan for ML and A.I tools as well as ML Ops capability.
• Strong experience as a Machine Learning Engineer
• Hands-on experience in implementing, deploying and maintaining machine learning models at scale in Python, Scala, .NET or similar languages.
• Comfortable working with at least one machine learning framework (TensorFlow, PyTorch, XGBoost, scikit-learn,
• Strong understanding of software development lifecycles and engineering practices (Data pipelines, API workflows, CI/CD, containerisation) - specifically ML Ops principles, techniques and tooling
• Experience accessing and combining data from multiple sources and building data pipelines in a cloud environment, using large scale data... computation technologies such as Apache Spark.
• An advanced degree in Computer Science, Machine Learning etc
• Strong communication skills are a must, as you will be working collaboratively across the organisation with technical and non-technical stakeholders.
• *Please apply if you have the above skill set**

IND_PC1

Carbon60, Lorien & SRG - The Impellam Group STEM Portfolio are acting as an Employment Business in relation to this vacancy"
Full-time,2023-01-08,NA,Machine Learning Research Engineer,2023-01-08 16:49:09.236675 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=6jIGSBphijAAAAAAAAAAAA%3D%3D&fpstate=tldetail,CareerAddict,"London, UK","We are seeking a dynamic and experienced Machine Learning Engineer with expertise in Machine Learning and/or Computer Vision, including 2D and 3D.

Our client is best known for developments in material capture. they have designed and patented a method that allows for the accurate and automatic conversion of real-world materials into a proprietary 3D format. The method has gained interest from leaders in game, film, VFX, and fashion industries.

As a Machine Learning Engineer, you will be responsible for developing, testing and deploying machine learning models and algorithms.

You will be expected to have a good understanding of various machine learning techniques, such as supervised and unsupervised learning, deep learning, and reinforcement learning. You will also need to have experience with computer vision, including 2D and 3D techniques with experience with tools such as Blender.

The ideal candidate should have a strong academic background in a relevant field, such as computer... science, mathematics, or engineering.

Requirements
• Knowledge of Python and a common ML framework (Tensorflow preferred)
• Strong in maths and statistics
• Experienced in version control (eg git)
• Able to write production-ready code
• Able to extract techniques and methods from academic research and apply them in practice
• Ability to work independently and take ownership of tasks
• Think creatively about technical problems

You should also have a proven track record of developing and deploying successful machine learning models and algorithms.

If you are interested in this opportunity, please send us your CV and a cover letter outlining your experience and qualifications. We look forward to hearing from you"
Full-time,NA,NA,Data Scientist - Machine Learning,2023-01-08 16:49:09.821721 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=QH4-qE0-XskAAAAAAAAAAA%3D%3D&fpstate=tldetail,Eximius Finance,"London, UK","My client, A leading Fintech company are looking to hire the best-in-class talent into their Data Science Team based in London.

Responsibilities.
• Identify patterns and trends to help uncover key insights into the Financial Markets.
• Develop Data Models to forecast future market trends.
• Use Machine Learning techniques to improve quality of data sets.

Skill Requirements.
• PhD from a Quantitative background
• Strong programming skills in Java, Pyhton or R
• Knowledge of Machnine Learning Techniques
• An Interest in FX and other Financial Products"
Full-time,2023-01-08,NA,Machine Learning Engineer / Remote/ $High,2023-01-08 16:49:10.388183 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=C-C5UrLslLQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Jobs via eFinancialCareers,"London, UK","Responsibilities:
• Building, deploying, maintaining and monitoring the ML models at the core of our product
• Exploring and analysing existing and new datasets to create highly predictive features and insights
• Working with our Data team to productionise ML models and prioritise new datasets
• Building ML libraries and frameworks for robust testing and fast deployment of ML models

Required skills:
• Deep understanding of ML models
• Experience with building ML models for commercial products
• Strong statistical skills
• Experience working with complex datasets
• Experience productionising and monitoring ML models
• Strong Python programming skills, particularly on the data science stack
• Strong SQL skills
• Experience building modular, extensible and reusable ML frameworks
• Strong communication and documentation skills
• Team player with collaborative mindset
• Technical degree in engineering, computer science, or equivalent (ML education is a plus)

The role can be fully remote... so open to people from all locations.

Apply:-

Please send a PDF resume to quants@ekafinance.com"
Full-time,2023-01-08,NA,Senior Machine Learning Engineer,2023-01-08 16:49:10.964375 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=C3__vSUKBhAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Harnham,"London, UK","THE COMPANY

We are working with one of the world's largest pharmaceutical companies. They are in the market looking for a senior machine learning engineer who wants to be part of a global leader. This company reaches out to hundreds of thousands of people all over the world.
This person needs to be capable of very clean, deployable code. There are a variety of different projects that they are
working on.

THE ROLE

You will:

Work alongside a team of Scientists to optimize, improve and deploy machine learning models
Experiment with deep learning and run tests and experiments
Lead coding and engineering best practice
Work with state-of-the-art technologies (Spark, Tensorflow, Keras)

YOUR SKILLS AND EXPERIENCE

You must have:

An MSc or Ph.D. in Computer Science, Machine Learning, Artificial Intelligence, or Mathematics
3 - 4 years experience in a deep learning engineering role
Experience with Python (pandas, numpy, scikit learn, tensorflow, keras), Unix, github

THE BENEFITS

£95,000... + benefits

HOW TO APPLY

Please register your interest by sending your CV via the Apply link on this page. For more information about similar data science roles at Harnham please contact Graham Kinsey at Harnham"
Contractor,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:49:11.551490 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=Ljaz0uoER4IAAAAAAAAAAA%3D%3D&fpstate=tldetail,Harnham,"London, UK","London/Hybrid

12-Month Contract

Up to £850 per day

Inside IR35

The Company

A fantastic opportunity to join a world-leading health organisation in a recently set-up and growing team. The company has a variety of products and strands of the business. You will join the business as a Machine Learning Engineer playing a role in developing products at the cutting edge of Machine Learning and AI. You will have the opportunity to work with a talented and dedicated team of professionals.

Role And Responsibilities

The ideal Machine Learning Engineer will be working as part of an agile team to deliver the project requirements.
• Monitoring and improving our GCP cloud platform.
• Supporting the wider Data Team on a range of projects.
• Writing high-quality code.
• Creating Machine Learning frameworks in PyTorch and/or TensorFlow.
• Deploying and running Machine Learning Algorithms.
• Approaching complex problems and providing clear solutions to these problems.

Critical Skill... Requirements

As a Machine Learning Engineer, you will have the following:
• Good knowledge of DevOps practices relating to Machine Learning.
• DevOps tooling (Kubernetes/Docker/Helm)
• Awareness of modern ML platforms.
• GCP (Google Cloud Platform)
• TensorFlow and/or PyTorch.
• Python coding skills.

How To Apply

If you are interested, please apply by sending your latest CV through via the link below"
Full-time,NA,NA,Machine Learning Engineer · London or Remote (GMT±3),2023-01-08 16:49:12.120787 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=97m4N7YhjUwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Playground,"London, UK","Playground is looking for a Machine Learning Engineer who can help us build intelligence into a variety of products that span our solutions and product business.

Your work at Playground
• Build, test, deploy, maintain, and improve data pipelines and machine learning systems.
• Help define and improve engineering standards, tooling, and processes.
• Work with data collection and QA team members to improve the quality of our datasets and pipelines.
• Work with product designers to help integrate the machine learning model and achieve the desired user experience.

Things you might work on
• Building tools to help a stealth automotive hardware startup deliver on cutting-edge applied machine learning.
• Work within our product team to deliver and launch our flagship product.
• 3+ years Experienced with modern Machine Learning and Deep Learning software libraries (Tensorflow, PyTorch, sci-kit).
• Committed to high-quality, well-tested code.
• Excited to push the status quo of what... intelligent products can be.
• Digital signal processing or working with time-series data and machine learning is a plus.
• Experienced with Machine Learning systems in production is a plus.
• DevOps or MlOps experience is a big plus.

A bit more about us

Playground is on a mission to enable a new generation of intelligent products, built to be shaped by their users from the ground up — bringing a participatory and data-first approach to real world AI/ML-driven products.

We are a design-led team with multidisciplinary backgrounds working for companies like IDEO, Google, Frog, Variable, and Medtronic at the intersection of design and machine learning.

In order to bring our vision of “AI, shaped by people” to reality we are:
• building the infrastructure and developer tooling to bring user-centred, iterative data-first approaches to any AI product with FieldDay;
• building an intelligent camera, WorkLens, enabling companies and their front-line workers to collect data and build intelligent systems for their workflow;
• working with select clients like Canopy (Ford + ADT), and Forma Health by Rafael Nadal to bring shapeable AI into their products.

We are excited for you to join us.
• Competitive salary and equity
• 30 days holiday
• Health and Dental Insurance with Bupa
• Wellness and fitness yearly stipend
• Learning and development yearly stipend
• Work-from-home stipend
• Excellent equipment

London 🇬🇧🇪🇺
• Iconic top-floor office in Central London overlooking King’s Cross/St. Pancras and views of the Shard, and BT Tower.
• Great coffee from Round Hill Roastery brewed on our La Marzocco Linea, ceremonial grade Matcha, a fridge full of Dash Water, Toast Ale and many healthy (,and not so healthy) snacks.
• Our own, custom-designed space featuring high-quality Vitra chairs, linoleum-top tables and artwork celebrating our work. There’s also a 3D-printer ready to make any idea a reality.

Remote 🌏🌍🌎

We embrace fully remote work and welcome applicants who can mostly work in timezones GMT±3.
Currently, we have team members based in New York, Berlin, Amsterdam, Copenhagen, Larnaca and Sofia.

Diversity and inclusion are core to our culture. If you are a member of an underrepresented group in tech, we strongly encourage you to apply"
Full-time,2023-01-08,NA,Machine Learning Expert,2023-01-08 16:49:12.688109 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom+London&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ45ndlLn8AhUFJzQIHZnRAoUQutcGKAF6BAgWEAY#htivrt=jobs&htidocid=qYiq_7qhy4IAAAAAAAAAAA%3D%3D&fpstate=tldetail,ersg Ltd,"London, UK","Machine Learning Expert We are looking for a Machine Learning Expert to support Advanced Digital Solutions for Public Services. This position will be fully remote. The candidate must be available between 9:00 AM and 14:00 h UTC+2). We are looking for someone full time between 37 y 40 hours per week.

The core skills we are looking for are: Programming languages including Bash, Python and SQL Knowledge of Python and ML standard libraries (GeoPandas, GDAL, rasterio, TensorFlow, SciPy, etc…) Experience with Spark, Databriks, Dremio Knowledge and experience in Azure architectures Agile methodologies, CI/CD techniques, Git Experience with spatial and spatiotemporal data is a plusThis position is deemed Outside IR35.

ersg are an equal opportunities employer; we are committed to promoting equality of opportunity for all job applicants. We do not discriminate against applicants on the basis of age, sex, race, disability, pregnancy, marital status, sexual orientation, gender reassignment or... religious background; all decisions are based on merit"
