Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
"Senior Machine Learning Engineer, Speech Modeling",NA,2023-01-30 12:10:20,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=FRd1XqPPrhQAAAAAAAAAAA%3D%3D&fpstate=tldetail,ASAPP,Full-time,NA,Argentina,"At ASAPP, we are on a mission to build transformative machine learning-powered products that push the boundaries of artificial intelligence and customer experience. We focus on solving complex, data-rich problems  the kind where there are huge systemic inefficiencies and where a real solution will have a significant economic impact. Our CX performance platform uses machine learning across both voice and digital engagement channels to augment and automate human work, radically increasing productivity and improving the efficiency and effectiveness of customer experience teams.We are looking for a new member to join our Speech Research team. As a part of our team, you will develop, deploy, and scale speech recognition models. You'll work with our senior product team, engineers, and researchers to develop high-quality software that is robust and reliable. Youll be faced with new technical challenges and things to learn about ML and software engineering on a daily basis.If you thrive... in an environment of deep thinking, impactful research, and startup-paced execution, ASAPP is the ideal place for you. We are looking for customer-oriented engineers that are excited by working in a fast paced environment with close collaboration with customer teams and with a thirst to build solutions that solve real-world problems for our customers.As our operations keep growing, we encourage applicants from all locations in Argentina to apply.What you'll do• Help us turn research into meaningful ML products that help tens of millions of users• Assess the risks and merits of different approaches to solving complex problems in the light of the specific requirements and time frame• Actively work on creating and improving tools to parallelize model training, unifying dataset creation and accuracy measurements across experiments• Closely monitor the edge cases of model performance and taking active measures of explaining the reasons and possible approaches for diminishing undesirable effects• Be actively involved in the process of productizing research experiments into enterprise-ready AI solutionsWhat you'll need• Production experience with Python, AWS, Kubernetes, and/or Docker.• Proven skill at debugging complicated systems and writing solid test cases to ensure their stability• Experience implementing technical solutions, tackling tough engineering problems to help build our products.• You enjoy solving complex engineering problems working closely with the Product team to achieve business goals.What we'd like to see• A Bachelors Degree in a field of science, technology, engineering or math, or equivalent hands-on experience• Desire to learn new things, work closely with peers from different teams, and be open to teach and learn from others.• Passion for Machine Learning and solving problemsBenefits• Competitive compensation• Stock options• OSDE 410 for the family group• Wellness perks• Macbook equipment• 3 weeks of vacation• Training and development• English lessonsASAPP focuses on Machine Learning, Artificial Intelligence, and Natural Language Processing. Their company has offices in New York City. They have a large team that's between 201-500 employees.You can view their website at http://asapp.com or find them on LinkedIn"
(Junior) Machine Learning Engineer,2023-01-30,2023-01-30 12:10:20,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=RZofADZUzqoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Qualcomm,Full-time,NA,"Córdoba, Cordoba, Argentina","Company:Qualcomm Europe, Inc. Spain Branch OfficeJob Area:Engineering Group, Engineering Group  Machine Learning EngineeringGeneral Summary:At Qualcomm XR labs Europe, we're a passionate team of engineers who want to change the world through virtual and augmented reality products and technologies. We develop state-of-the-art computer vision, deep learning, and graphics solutions to deliver ultra-optimized, power-efficient software and hardware to enable the intelligent perception of the world around us. The Qualcomm XR Labs Europe is rapidly expanding and seeking innovators who will create the new digital world. We're hiring at any of the XR Labs Europe locations in Austria, France, Netherlands, and Spain.Qualcomm is redefining the connected, intelligent edge with exciting new products for Augmented Reality (AR) and Virtual Reality (VR). We are a world-class engineering organization developing state-of-the-art computer vision, deep learning, and graphics solutions to... deliver ultra-optimized, power-efficient software and hardware to enable the intelligent perception of the world around us.To scale and strengthen our offering in this domain, Qualcomm XR team in Europe is rapidly expanding and seeking candidates to investigate and develop the fundamental perception systems enabling self-contained XR platforms. We look for innovators who will push the boundaries of mobile perception technology to offer a comprehensive platform to our customers.ResponsibilitiesCandidates bring an understanding of computer vision and machine learning algorithms and technologies that are necessary building blocks of interactive, real-time, and immersive systems, including SLAM, localization, mapping, sensor fusion and mathematical optimization. They also have first experience in systems design and implementations for real-time embedded and mobile platforms.• Be part of a world-class XR team researching and developing mobile Augmented and Virtual Reality enabling technology• Development of efficient and accurate computer vision and machine learning solutions for XR mapping and localization tasks• Understand and analyze requirements for perception systems for XR platforms• Collaborate across functional boundaries in defining architecture, APIs, design and schedule• See your design in action on industry-leading chips embedded in the next generation of AR and VR devices, smartphones, and roboticsSkills/Experience• First understanding of 3D computer vision methods and mathematics, covering one or more of the following areas:SLAM, deep learning, mapping and localization, mathematical optimization• Can independently prioritize and make progress on multiple workstreams• And/or strong understanding of machine learning algorithms and deep networks used in these areas• Experience using modern deep learning toolboxes (e.g. PyTorch, TensorFlow), machine learning pipelines, model evaluation and data visualization• Good understanding and strong knowledge in algorithms and statistics• Good understanding and experience in math function optimization• Be able to stay on top of state-of-the-art approaches• Excellent C++, Python and object-oriented programmingAt least one of the points below is a must• Prior experience of working with AWS or Azure• Prior experience of working with BigData/Distributed computing in real time and offline• Prior experience of descriptor training, matching neural networks training, image retrieval/search task, segmentation• Experience of delivering reliable ML models to the production• Experience in software development, incl. testing and debugging on XR devices, mobile platforms or other embedded systemsEducationRequired: University degree in Computer Science, Computer Engineering, Electrical• References to a particular number of years experience are for indicative purposes only. Applications from candidates with equivalent experience will be considered, provided that the candidate can demonstrate an ability to fulfill the principal duties of the role and possesses the required competencies.Although this role has some expected minor physical activity, this should not deter otherwise qualified applicants from applying. If you are an individual with a physical or mental disability and need an accommodation during the application/hiring process, please call Qualcomm's toll-free number found for assistance. Qualcomm will provide reasonable accommodations, upon request, to support individuals with disabilities as part of our ongoing efforts to create an accessible workplace.Qualcomm is an equal opportunity employer and supports workforce diversity.To all Staffing and Recruiting Agencies:Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.If you would like more information about this role, please contact "
Machine Learning Engineer (HAT ID: 5125),NA,2023-01-30 12:10:21,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=Bu6tmRd1KYgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Ernst & Young,Full-time,NA,Argentina,"Job descriptionThe AIEY Team is looking for a Machine Learning Engineer with a background in machine learning (ML) and deep learning (DL) technologies to help design and build cutting edge AI solutions. The AIEY Team is creating innovative AI technology and products that will transform EY and our clients. The successful candidate will be part of a team building innovative AI solutions that rely on AI and ML techniques including but not limited to natural language processing, computer vision, deep learning, and machine learning.The AIEY Team is creating a model for how AI can reinvent large companies, and industries. Through EYs network of more than 250,000 professionals working in every sector, we have an opportunity to offer AI products and services that transform how business is done in all types of enterprises and to realize the vision of building a better working world.What are you going to doYoull help with substantial parts of developing and implementing a wide... range of machine learning models to documents, images and structured data. You will drive development of large portions of critical project deliverables. You may guide other engineers, estimate task effort and communicate your approach and results effectively.What do we need from youMS or PhD in CS, EE or related disciplinesYou can take a large a big problem, decompose it into smaller parts and own delivering the whole solutionYou have expertise in one or more object-oriented languages, including Python, Go, Java, Scala, or C++, and an eagerness to learn moreYou have experience with both machine learning and building softwareYou have experience with databasesMachine learning domain knowledgebias-variance tradeoff, exploration/exploitationand understanding of various model families, including neural net, decision trees, Bayesian models, instance-based learning, association learning, and deep learning algorithmsYou have the ability to solve complex business problems and apply machine learning to problems no one has ever attempted beforeYou follow a strong adherence to metrics driven development, with a disciplined and analytical approach to product developmentYou have experience in statisticsYou enjoy reading academic papers and implementing experimental systemsExperience developing complex software systems that have been deployed to an active userbaseYou have experience presenting at industry recognized ML conferences as well as being published in the fieldYou have experience in Natural Language ProcessingShift: Monday to Friday from 9 to 6 PM.Location: MicrocentroEY, an equal employment opportunity employer, values the diversity of our workforce and the knowledge of our people"
Machine Learning Engineer,NA,2023-01-30 12:10:21,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=iX0fvVSxkQsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Fusemachines,Full-time,NA,"Buenos Aires, Argentina","About FusemachinesFusemachines is a leading AI strategy, talent, and education services, provider. Founded by Sameer Maskey Ph.D., Adjunct Associate Professor at Columbia University, Fusemachines has a core mission of democratizing AI. With a presence in 4 countries (Nepal, the United States, Canada, and the Dominican Republic and more than 250 full-time employees) Fusemachines seeks to bring its global expertise in AI to transform companies around the world.ABOUT THE ROLEThis is a remote, full-time position.Responsibilities• Build and maintain the Machine Learning pipelines and related software applications• Simplify the Machine Learning project development and deployment cycle• Work closely with data scientists to develop ML models• Evolve the data science development toolkitSkills & Qualifications• 2+ years of programming experience in developing and deploying machine learning projects• Proficiency with Python programing in a production environment• Experience with... SQL/NoSQL database and data warehouse (i.e. MySQL, Postgres, Snowflake)• Experience with common data science frameworks (i.e. Pandas, Numpy, Scikit-learn, Tensorflow)• Experience with containerization technologies (i.e. Kubernetes, ECS, Docker)• A big plus with experience in Graph AnalyticsEqual Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.Powered by JazzHR"
Lead Data Scientist - Argentina,NA,2023-01-30 12:10:22,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=X_i8nFGkOBUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Very,Full-time,NA,"Buenos Aires, Argentina","You must read the IMPORTANT section at the end of this job posting.About VeryVery is a fully distributed IoT technology firm led by expert problem-solvers to create efficient, scalable solutions that move commercial, industrial, and consumer IoT projects from pilot to production in record time.Weve built a collaborative, tight-knit team that thrives, whether were hanging out in person at our annual retreat or coordinating work across time zones. The results show that were doing something right  as weve won numerous workplace awards over the years. Most recently in 2021 we were certified as a Great Place to Work, and in 2022 we were listed again in Parity.orgs list of Best Companies for Women to Advance.We believe that everything we build  and the people we build it with  has the potential to change the world. Our client list includes numerous well-known brands determined to leverage the power of IoT to drive material outcomes  such as Vizio, Peloton, Clear, iHeart... Radio and Fellowes. Our goal, for each and every client we partner with, is to create high-value solutions through a collaborative and user-centered process.About This RoleAs a Generalist Lead Data Scientist at Very, you will work with our Software, Hardware, and Product Design teams to build full-service solutions for our clients. We focus on building end-to-end hardware and software solutions that meet our client's business needs, and reliable machine learning systems are often a part of our offering. An ideal candidate will display technical expertise in machine learning and data science, as well as strong communication skills, and the ability to present ideas and results to audiences ranging in technical depth. Candidates should also have experience translating business problems into analytical solutions, working in interdisciplinary teams, and building ML models for production systems.What Youll Be Working OnAt Very, there is a never-ending supply of variety to the types of projects we work on. However, it is critical to note that almost all of these projects are production systems. As such, the only consistent research component of this position will revolve around establishing a pattern of delivery that allows the team to implement full-scale applications leveraging machine learning in a fast, predictable manner.Youll spend 80-90% of your time working on products or platforms for one of our clients, and the other 10-20% of your time will be spent improving Verys Data Science Practice. This will involve:- Working with other data scientists to continuously improve our delivery process for data science applications.- Working with our marketing team to generate high-quality content (blog posts, conference presentations)- Working with our sales team to close deals and build meaningful, well-scoped proposals for potential clients.As a lead data scientist, you will be expected to not only understand the following analytical approaches but also be able to guide others in their implementation:- Predictive modeling and/or anomaly detection on multivariate time series data- State classification and prediction for geospatial time series data- Regression and classification using a variety of deep learning and ensemble tree-based methods- Clustering/segmentation- Dimensionality reduction or latent space representation- Classical statistical analysis and signal processingOur Current ToolingOur data science contracts typically involve building a greenfield API or greenfield product from the ground up. In the context of the data science and machine learning pipelines, we typically leverage:- Git, GitHub, CircleCI or GitHub Actions (CI/CD), pytest (TDD)- The standard SciPy Stack (Numpy, SciPy, Pandas, Scikit-Learn, Matplotlib)- SQL/Postgres- Docker- Jupyter notebooks for prototyping- Cloud architecture and resources for production systems. eg)-- AWS: Lambda, ECR/ECS, RDS, API Gateway, Batch, Sagemaker-- Azure: Functions, Container Registry/Instances, SQL Database for PostgreSQL/MySQL, API Management, Machine Learning-- 3rd party: TimescaleDB- Serverless or Terraform for Infrastructure-as-Code- MLflow- PyTorchOn our full-service builds, we often reach for the following tools. Experience with them is not required, but any familiarity with these tools is a plus. Our build teams operate with a very high degree of collaboration, so you will definitely have run-ins with these stacks throughout your time here:- Python web development frameworks (Django, Flask)- React & React Native- Swift & Objective C- Ruby on RailsAs an IoT technology company our data science pipelines include Things. This will require you to build pipelines and deploy analytical models to hardware on the edge in addition to the cloud. This requires a deep collaboration with the design, software and hardware teams in the following environments:- Elixir, Phoenix, and Nerves- Embedded C and other lower level languages such as Rust- CI/CD including hardware and end-to-end testing and verification- Development Single-Board Computers such as RPiAt Very we have two types of lead positions; a specialist and generalist. Both positions go beyond the mastery of the core Data Science competencies to include a leadership position. The specialist lead focuses in great depth in one or more areas of Data Science and spreads that mastery across Very. The generalist lead takes a more multi-disciplinary approach and leads multi-disciplinary projects from a technical perspective.Responsibilities-- Work with stakeholders (clients, sales, engineers & designers) to define Statements Of Work (SOW)-- Communicate how data science can deliver value to the client-- Estimate quantity of work required to unlock this value-- Identify related assumptions, risks and dependencies- Take ownership of the data science components and related systems to ensure project success-- Architect, build and deploy reliable end-to-end data and ML pipelines into production-- Ensure the highest level of testing across the full data pipeline and operating envelope-- Execute and document all algorithm verification testing for certification-- Build and nurture strong relationships with clients, understand their perspective and walk them through the data science value chain-- Facilitate complex conversations to achieve alignment to drive positive outcomes- Continue to expand and evolve the Data Science (DS) practice at Very-- Provide technical guidance to DS and non-DS team members-- Pairs with mid team members to develop their skills and deliver on projects-- Continually learn, share and refine your DS skills and knowledge-- Establish and enact DataOps and MLOps best practices- Take on the responsibility of Technical Lead on complex multi-disciplinary projects- - Build reliable product roadmaps with technical implementation strategies- - Monitor and optimize the technical implementation and coordination of the project- - Identify and mitigate risks and seek assistance when requiredQualificationsRequired- Masters degree in Data Science related field- 5+ years of related experience-- Deployed statistical, ML or other analytical models to production-- Lead teams with hardware and software engineers- - Performed real-time signal processing or lead teams that did so- Strong written and spoken communication skills in English-Proficient in Agile development-Mastery in analytical framing-- Breaking down solutions into thin vertical slices of work-- Guiding interdisciplinary team to successfully estimate and execute these slices- Deep understanding of all four types analytics (Descriptive, Diagnostic, Predictive & Prescriptive)-- Translating desired client outcomes to the appropriate type-- Understanding the data requirements and techniques to achieve each type- Experience using a cloud computing platform like AWS, GCP, or Azure- Expert level Python development skills related to Data Science-- Object-Oriented Programming-- Automated testing, code coverage, model building & evaluation-- SciPy Stack, Scikit-learn, Tensorflow or PyTorch-- GitHub CI/CD best practices- Experience developing in, compiling and deploying low level software; C++, Embedded C or Rust preferred- Proficient developing in Linux including and light administrationNice-to-have- 7+ years of related experience including with connected devices- Proficient in embedded real-time signal processing- AWS Professional level certification- Familiarity with Elixir, Phoenix, and Nerves- Hands on experience with Single-Board Computers such as RPiCompensationWe believe in a fair compensation structure and use a transparent compensation matrix.Base CompensationBetween USD $94,000 and $133,880 per year, commiserate with experience.Variable Compensationup to 15% in the first yearWe also offer world-class perks:- 20 days of paid time off- You get a MacBook Pro- $500 annual Home Office Stipend to build out your home office.- $125/mo Monthly Communications Stipend (Can be used towards Cell Phone Data Plan, WiFi Plan, VOIP, VPN)- Udemy license for continuing education- $1,500 annual Training Stipend after 1 year- $1,000 annual Healthcare Stipend (to be used towards Health insurance premium)- Personalized ESL coaching and access to an AI-powered adaptive platform to take your English to the next levelWhy Work for VeryYou are more than your job title. At Very, we prioritize talent development and professional growth with a human-first approach that caters to the unique goals each individual brings to the team.Our core value, Invest in Our People, looks like collaborating with a cohort of talented people on a mission to get better every single day. It feels like working for a company that invests in you. And it means finding alignment with your career goals to get you where you want to be.How do we bring our priorities to life Of course we offer the typical world-class perks you would expect. Additionally, as a remote-first company (since 2011), we provide stipends for home office, telephone, and internet. Professional development funds and generous parental leave are also some of the benefits you can expect.But a healthy company culture isn't just about perks. It's about creating an environment where our employees can thrive. Our work is fueled by smart, creative people whose lives are enriched by our experiences together. We learn together, we grow together, and we play together. Despite working across more than half a dozen countries, our teams connect regularly for work and for fun - on Slack, Zoom, and during an annual retreat. Weve been remote-first from the beginning, so we know well what it takes to maintain a strong culture. #LI-RemoteIMPORTANT:1. This job is to work for a US company. An advanced level of English is a must. Please refrain from applying if this is not your case. Resumes must be in English.2. This job is remote but if youre not located in the region or country mentioned in the posts title, do not continue. Your application wont be reviewed.If youre in Brazil, Bahamas, Barbados, Bolivia, Cuba, El Salvador, Haiti, Jamaica, Nicaragua, Panama, Suriname, Trinidad and Tobago, or Venezuela, we cant accept your application at this time.3. The region/country on the post's title is not related to the location of the clients we serve. It's a reference to the residence location of the applicant. All of Very's clients are North America-based.Interviewing for a new company is a serious time commitment for all parties involved. Please take the time to read this and thoughtfully consider if we would be a good fit for one another. No contractors or agencies. Seriously. #LI-Remote"
AI & Computer Vision engineer,NA,2023-01-30 12:10:22,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=DB7AdQIi2_QAAAAAAAAAAA%3D%3D&fpstate=tldetail,Pagarba Solutions,Full-time,US$40K–US$85K a year,Brazil (+2 others),"Job Description:The AI and computer vision team at Pagarba Solutions use cutting edge tools and technologies to solve massive ideas and challenges in the areas of web3, blockchain, edge AI, video analytics, supply chain , manifacturing , multi-spectral imaging, IoT, manufacturing and predictive analytics, computer vision, machine learning, data science and deep learning.The AI/CV Data Engineer is responsible for designing, building and testing the artificial intelligence and computer vision modules that will power existing and future company products.The AI/Data Engineer will also be responsible for building and maintaining the MLOps, DataOps and help with DevOps infrastructure needed to support these models and products.Responsibilities:• Design and implement AI modules to power our products• Train AI models according to required specifications and metrics• Building and maintaining the infrastructure needed to support these models• Working with other engineers on data... pipelines and data processing tasks• Developing new features for existing products using AI/Machine Learning techniques• Collaborate with senior engineers to integrate AI modules into existing systems• Perform QA testing on new or modified code as assigned by senior engineers• Stay up to date with the latest models and changes in the technology.• Design and develop production ready code• familiar with docker & kubeflow• Communicate results and implications to colleagues and business partners.• Coordinate with application development teams to integrate developed models with existing applications and deploy onto mobile apps or edge devicesJob-Related Experience:Minimum of 2 years experience in software engineering related to artificial intelligence, machine learning of computer vision algorithms.experience with automating data annotation and labeling as well as augmented and synthetic data strategiesEducation: Masters preferred , Ph.D. preferred in following fields: Preferred Majors: Computer Science, Electrical Engineering, Engineering  Statistics, Engineering - Systems Engineering, Mathematical Sciences - Applied Mathematics, PhysicsPagarba Solutions focuses on Analytics, Machine Learning, Artificial Intelligence, Face Recognition, and Mobile Games. Their company has offices in Argentina, Atlanta, Brazil, Canada, and Chile. They have a small team that's between 11-50 employees.You can view their website at https://pagarba.ai or find them on Twitter, Facebook, and LinkedIn"
Senior Machine Learning Scientist - (CS),2023-01-16,2023-01-30 12:10:22,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=rQRtyhuisA0AAAAAAAAAAA%3D%3D&fpstate=tldetail,IT Scout,Full-time,NA,Argentina,"Our client envisions a world where the experience of selling or buying a home is simple and enjoyable for everyone. They offer a comprehensive cloud-based platform that enables residential real estate agents to deliver exceptional service to their seller and buyer clients. Founded in 2012 as one of the fastest-growing technology companies in a nearly $4 trillion industry, they have built a world-class engineering team that operates the only comprehensive platform in the real estate industry. Our client is convinced it can do much more and needs your expertise in building modern cloud services to evolve and create products that improve every step of the real estate agent experience, from first contact with a client to closing the deal.Responsibilities: Using your machine learning skills to explore and deeply understand data. Perform feature engineering and modeling tasks on top of this data to power customer facing features. Collaborate with machine learning engineers to... produce features in a production ready state. Support machine learning features throughout the product life cycle. Become the subject matter expert for one or more services in your domain Create clear and concise documentation (diagrams, service descriptions, decisions, runbooks) Own and operationally improve services in your domain throughout their lifecycleWhat we look for: BS in CS/ML or equivalent practical experience Strong programming skills 5+ years of experience with machine learning frameworks and tooling, for example, Spark, PyTorch, SciKit learn, etc. Ability to collaborate with scientists, engineers, and product managers on a product-focused, iterative team Comfortable building ML models from scratch Experience with the AWS environment Relevant machine learning coursework and/or internship experience in a machine learning roleWhat is the interview process like1) Screening Interview with the IT Scout team.2) Interview with our client's Hiring Manager. Maximum duration: 30 minutes.3) You will receive an invitation for technical coding. Maximum duration: 60 minutes.4) System design interview (You will have to propose a solution to the design). Maximum duration: 60 minutes.5) Managerial interview. Maximum duration: 60 minutes.The vacancy is a contractor in USD, includes work tools (notebook shipment), holidays in Argentina, and two weeks of vacation"
Data Engineer,2023-01-04,2023-01-30 12:10:23,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=uUkN4Fh4mbsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Dialpad,Full-time,US$115K–US$180K a year,"Buenos Aires, Argentina","Work beautifully Dialpad is where work comes togetherone, beautiful workspace for anywhere communication & collaboration. With the industrys most innovative business phone system, unlimited text and team messaging, one-click video meetings, and the worlds most advanced AI Contact CenterDialpad is completely transforming how the world works together.About the team Dialpads Data Team brings together business expertise and advanced analytics skills to enable business teams to identify improvement opportunities that translate into new opportunities and results. The Data Engineer team will architect and craft the data platform to empower and implement data applications, including data ingestion framework, Data Observability, Data Quality, Anomaly detection, Data Lake/Data warehouse, business intelligence, APIs and reporting systems. The team will improve data platform performance and reliability, and opportunities to collaborate with industry standard innovative technology partners... and authorities to improve efficiency through automation. This hands-on role focuses on implementing data platform vision, planning and carrying out the roadmap to enable platform capabilities Responsibilities Implement Data Ingestion, transformation and data quality frameworks in Realtime and Batch Design and develop cloud data platforms - Tools and Capabilities to support teams to enable self-service capabilities. Write in Python, Java or other languages to deliver a wide variety of data services Building tools to accelerate data ingestion and transformation with lineage, data security, data privacy protection. Improve data quality by using & improving internal tools/frameworks to automatically detect Data quality issues. Collaborate with Product Owners to apply Dialpads agile processes and be responsible for the initiation, delivery, and communication of projects for the partner organizations Willing to work across multiple time zones Understand and gain solid understanding of teams technology stack and instance strategy to align with software development lifecycle Contribution to the documentation, release notes, documentation reviews to guide others and improve their performance Building high quality monitoring, sets and communicate reliability requirements and coaching junior members of the team including extended teams Keeping security for both data in transit and data at rest, and compliance (PII, PCI, CCPA, SOX, GDPR etc.) in mind About You Basic Qualifications: 3+ years of technology industry experience Proven track record writing data algorithms and pipelines. Proficient experience writing python, java or Scala. Experience on any of these cloud platforms (GCP, AWS, Azure) Experience with BigQuery, Spark or Databricks, or Redshift Other Qualifications: Familiarity with Data pipelines or CI/CD implementations (Preferred) Quantitative graduate degree (is a plus) Master Degree or higher in Computer Science/Engineering or directly related experience Benefits Culture Weve been named a Top Workplace seven times because we truly live and breathe our culture. In alignment with one of our core values, Skill & Will, we strive to bring on only the most passionate and talented people to our team. Collectively, Dialers work together to solve problems that help the everyday worker. We foster a collaborative environment where people are elevated, wins are celebrated, and development is encouraged. Compensation and Equity Teamwork makes the dream work. Recognizing that our talented and committed team members drive our success, Dialpad offers competitive salaries in addition to stock options because each Dialer participates in our success. Equity, Balance, and Belonging At Dialpad, we value the humanity that makes each of us unique. We strive to ensure everyone is supported equitably, and Dialers are free to bring their full selves to work each day, and celebrate others doing the same. We champion the intersectionality that exists between gender identity, ethnicity, age, disability status, and the many other aspects of our greater humanity.Dont meet every single requirement Studies have shown that women and marginalized groups are less likely to apply to jobs unless they meet every single qualification. At Dialpad we are dedicated to building an inclusive and authentic workplace, so if youre excited about this role but your past experience doesnt align perfectly with every qualification in the job description, we encourage you to apply anyways. You may be just the right candidate for this or other roles. Dialpad is an equal-opportunity employer. We are dedicated to creating a community of inclusion and an environment free from discrimination or harassment"
Machine Learning Engineer (Remote) (7729 USD/Mes),2023-01-02,2023-01-30 12:10:23,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=Qiq_rPzDhd0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Listopro,Full-time,NA,Argentina,"About The Position• Machine Learning• Python (probably) - but we can use any language, so if you can build a ML system in another language that could be fine.• Professional ML using diverse models -• Fraud detection (plus)• Good communication• Speaks English• Smart• Nice/ KindRequirementsNoneBenefitsVacaciones / Flexibilidad de Trabajo• Trabajo Remoto: Globalmente remoto"
Senior Data Scientist,2023-01-04,2023-01-30 12:10:23,https://www.google.com/search?q=Machine+Learning+Jobs+Argentina&ibp=htl;jobs&sa=X&ved=2ahUKEwiyuNK5_-_8AhVnHzQIHYu3Cv8QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=tqx0dYxpyKgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Cargill,Full-time,NA,"Rosario, Santa Fe Province, Argentina","Want to build a stronger, more sustainable future and cultivate your career Join Cargill's global team of 155,000 employees who use new technologies, dynamic insights and over 154 years of experience to connect farmers with markets, customers with ingredients, and people and animals with the food they need to thrive.Job Purpose and ImpactThe Senior Data Scientist will work collaboratively in multidisciplinary teams to develop complex proof of concepts, minimum viable products and fully deployable solutions. In this role, you will create complex predictive and optimization models that help deliver significant value to the company's businesses and functions.Key Accountabilities• Continuously seek out best practices and develop skills.• Work on multidisciplinary teams of data engineers, software engineers, data scientists and business subject matter experts to deliver complex projects on time and within budgets.• Translate ambiguous and complex business problems into project... charters clearly identifying technical risks and project scope.• Take ownership for the entire data science workflow that includes a well defined, complex project scope, exploratory data analysis, model development, deployment and monitoring.• Independently handle complex issues with minimal supervision, while escalating only the most complex issues to appropriate staff.QualificationsMinimum Qualifications• Bachelor's degree in data science, computer science, math, engineering or related field or equivalent experience,• Confirmed ability to present to non technical audiences• Strong python programming skills• Experience in a minimum of two machine learning algorithms approaches: unsupervised, supervised and reinforcement learning• Minimum of four years of related work experiencePreferred Qualifications• Master's degree or PhD in data science, computer science, math, engineering or related field• Strong data visualization skills• Strong SQL skills• Experience working with continuous integration and delivery (CI/CD) pipelines• Experience working with Hadoop and other distributed computing frameworks• Experience working with AWS• Experience in software development environment and code management or versioning• Experience in agricultureAt Cargill, everyone matters and everyone counts. Cargill is committed to creating and sustaining an inclusive and diverse work environment where all employees are treated with dignity and respect. As such and in alignment with our Guiding Principles, Cargill's long-standing equal employment opportunity policy prohibits discrimination and harassment against any employee or applicant based on race, ethnicity, color, religion, national origin, ancestry, sex, gender, gender identity, gender expression, sexual orientation, age, disability, pregnancy, genetic information, marital status, family status, citizenship status, veteran status, military status, union affiliation, or any other status protected by law. Cargill also complies with all applicable national and local laws and regulations pertaining to non-discrimination and employment"
