Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Remote Machine Learning Engineer Jobs,2023-01-21,2023-01-30 12:10:33,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=9bRLmVq_8rUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Armenia,"A US-based banking platform that enables businesses to provide financial services and solutions to customers, is looking for a Machine Learning Engineer. The engineer will be required to don multiple hats and contribute to cross-functional tasks like reviewing the existing architecture and proposing changes as necessary. The company's cutting-edge technology enables developers to build and launch market-ready credit, deposit, and crypto products in a matter of weeks. During their Series B round of funding, the company raised over $50 mn. This will be a long-term, full-time role requiring some overlap with the PST time zone.Job Responsibilities:• Build effective and scalable data pipeline• Help build and maintain ML models• Perform code reviews and architect new systems• Mentor other team members and guide them on implementing industry best practicesJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent experience)• At least 3+ years of... relevant experience as a machine learning engineer• Prolific skills with Python, Pytorch, and Tensorflow• Extensive experience working with MongoDB, Redis, ElasticCache, and AWS• Nice to have some experience with fintech, risk, credit, and crypto products• Fluent in written and spoken English"
Remote Machine Learning Engineer - Head of ML/Data Jobs,2023-01-21,2023-01-30 12:10:34,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=19c_5IFS8uQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Armenia,"A US-based startup committed to designing, building, and managing high-performing revenue operations for businesses is looking to hire a Machine Learning Engineer. The engineer will develop machine learning models to classify news/PR/industry articles based on category tags derived from a learning data of 5000+ data points. The company has assembled a dynamic group of sales, marketing, and technology experts with a track record of leading growth for some of the worlds largest and most successful companies. The selected candidate will create and leverage existing ML models for text summarization to enable rapid analyst understanding and context. This is an excellent opportunity for those who would like to join the team in pioneering the future of B2B growth.Job Responsibilities:• Understand the business objectives and develop models to achieve them, along with metrics for progress tracking• Design and develop scalable machine learning systems• Research and integrate appropriate... ML algorithms and tools• Manage and lead the team executing the bottoms up build of a sales insight engineJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent experience)• At least 3-5+ years of relevant Software, ML, or Data engineering experience• Baseline knowledge of full-stack development is desired• Nice to have some proficiency in Scala, Play-framework, HTML, Bootstrap, jQuery, JavaScript, and Python scripting• Have a keen interest in building from scratch rather than with frameworks• Competence in data science and algorithms to develop rules and scoring of quantitative information• Sound problem-solving aptitude• Familiarity with various machine learning frameworks and libraries• Ability to thrive in a fast-paced, collaborative environment"
Remote Full-Stack/Machine Learning Engineer Jobs,NA,2023-01-30 12:10:34,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=-W7y51e5PWAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Armenia,"A fast-scaling company creating products to help makers and manufacturers acquire customers and plan supply chains is looking for a Full-Stack/Machine Learning Engineer. The selected candidate must understand the companys business model and constructively provide input and insight. The company is leveraging the power of revolutionary AI technology to run businesses autonomously and rearrange atoms to serve individuals, businesses, and communities better. The developer will be working directly with the finance department and will be in a full-time, long-term position.Job Responsibilities:• Integrate their internal revenue and finance system with various diverse systems (lots of API work)• Build dashboards to reflect above mentioned items• Recommend different solutions and implementations• Carry out some ETL work• Work with existing Machine Learning teams to build AI-driven productsJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent... experience)• At least 3+ years of relevant experience as a full-stack or ML engineer• Demonstrable experience and knowledge of Machine Learning technologies• Extensive experience working with Ruby, JavaScript/TypeScript, and Python• Prior finance or fintech experience is nice to have• Prior startup / CTO experience is a huge plus• Some interest or experience in Crypto is desirable• Ability to look at the bigger picture and execute critical tasks• Good problem solving and communicator skills"
Remote Machine Learning Engineer Jobs,2023-01-14,2023-01-30 12:10:35,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=yQ99RpIe6SEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Armenia,"A well-established fast-growing company using modern robotics analysis and systems to help further the construction industry is looking for a Machine Learning Engineer. The engineer will be collaborating on large, complex projects in a team, providing technical reviews and solving problems efficiently. The company does extensive site surveys on-demand or at regular intervals using a modern robot or terrestrial scanners. During the Seed round, it raised 2.5mn+ in funding. The selected candidate will actively contribute to key company projects involving Deep Learning, Machine Learning, Computer Vision, and many more.Job Responsibilities:• Develop back-end infrastructure, data pipelines, and ML models for AI-backed services• Work on building ranking models and automate modeling pipelines• Deploy new features for solving complex data management problems• Integrate machine learning models for end-users and run experiments• Build great ML models using computer science fundamentals... like data structures, algorithms, programming languages, distributed systems, and information retrievalJob Requirements:• Masters/Ph.D in Computer Science, Mathematics, Applied Statistics, Physics or related fields• At least 3+ years of relevant experience as a Machine Learning expert• Well versed in working with complex ML and Data pipelines and maintenance Large Datasets• Thorough knowledge of technologies like Deep Learning, Machine Learning, and Computer Vision• Must possess strong development skills using C++ and Python• Familiarity with commonly used ML software libraries like Tensorflow, Keras, etc• Knowledge building and deploying data pipelines and services in AWS will be beneficial• A background in Deep Learning and 3D Vision is highly preferred• Well-versed with Graph Neural Networks• Deep understanding of Computer Vision, non-linear optimization, and Bayesian Statistics• Publication in top tier conferences NIPS, ICML, ICRL, CVPR, ICCV, or ECCV would be advantageous"
Lead Machine Learning Engineer,NA,2023-01-30 12:10:35,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=lpP9F_yrPIAAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Armenia,"DescriptionWe are looking for a Lead Machine Learning Engineer who will design ML models with continuous training and build frameworks for data scientists. Apply for the vacancy if you are highly competent in creating and deploying production applications and data pipelines.WHAT YOULL DO• Manage the transition of machine learning algorithms to the production environment and integration with the enterprise ecosystem• Design, maintain, and optimize the complete end-to-end machine learning life cycle• Design specifications, documentation and user guides• Contribute to the improvement of SDLC practices, establish and configure CI/CD/CT processes• Provide capabilities for early detection of various drifts (data, concept, schema, etc.)WHAT YOU HAVE• 5+ years of experience in enterprise software development• 3+ years of background in Machine Learning• Qualifications in designing, building and deploying production applications and data pipelines• Competency in the development... of highly available, largely scalable, ML-driven applications and systems• Hands-on expertise in the implementation of SDLC best practices• Knowledge of Python development• Familiarity with Cloud-native services (GCP, AWS, Azure) and Apache Spark Ecosystem (Spark SQL, MLlib/Spark ML)NICE TO HAVE• Expertise in MLOps-related platforms/technologies• Production experience in integrating ML models into complex data-driven systems/IoT devices/mobile devices• Competency in basic software engineering tools (CI/CD environments such as Jenkins or BuildKit, PyPI, Docker, Kubernetes)WE OFFER• Outstanding career development opportunities with a transparent roadmap to accelerate your journey• Knowledge sharing within the community of 61,300+ industrys top professionals worldwide• Various opportunities for self-development: hard & soft skills internal training courses, mentoring programs, and unlimited access to 8,000+ LinkedIn Learning courses• Free English classes with certified teachers• Competitive compensation, regular assessments, and salary reviews• Participation in the Employee Stock Purchase Plan• Flexible working schedule• Friendly team and enjoyable working environment• Relocation opportunities within our offices in 50+ countries• Bonuses for participating in the referral program• Medical & family care programs, wellness & fitness programs, corporate and social eventsABOUT EPAM• EPAM Armenia is a team of 1,000+ talented innovators united by a passion for technology. In 2014, we opened our first office in Yerevan, and now we have a second engineering hub in Gyumri. We've built a continuously learning organization that helps its employees rapidly advance their careers. Here you will work with the world's industry leaders, support impactful projects using the latest technologies, collaborate with multi-national teams, and have access to a wide variety of development opportunities"
Remote Senior Machine Learning Engineer Jobs,NA,2023-01-30 12:10:35,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=pn-FGpFmwPEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Armenia,"A rapidly-growing company providing AI-enhanced nanomaterial synthesis solutions is looking for a Senior Machine Learning Engineer. The engineer will be providing a solid foundation for the team to build, scale, skip, and iterate on. The US-based company uses a data-driven process optimization approach to quickly analyze the vast nanomaterial synthesis in parameter spaces. This will be a full-time role that requires 4+ hours overlap with the PST time zone.Job Responsibilities:• Communicate, understand, and clarify tasks• Recommend different solutions and implementations to solve scalability issues• Use a holistic, test-oriented approach to troubleshoot and upgrade the application• Document and maintain software functionality• Deploy programs and evaluate user feedback• Comply with project plans and industry standardsJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent experience)• At least 3+ years of relevant experience as a... machine learning engineer• Prolific experience working with Python, Computer Vision, and Machine Learning• Nice to have some experience with Data Engineering and DevOps technologies• Excellent communication and interpersonal skills"
Remote Machine Learning Engineer Jobs,2023-01-14,2023-01-30 12:10:36,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=Rhcp5OsQmecAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Armenia,"A rapidly growing company specializing in unique, high-end, ultra-luxury products, particularly handbags and accessories is looking for a Machine Learning Engineer. The selected candidate will be responsible for creating ML models by spotting routine patterns. The company is transforming the mega fashion experience to create a sustainable option that extends product life cycles and makes them widely available to a diverse clientele.Job Responsibilities:• Collaborate with the team to develop heuristics that will aid in understanding the proper questions to pose• Develop machine learning models by identifying patterns of routines• Consider current learning models, and assess their effectiveness and viability• Work on software models iteratively to assist the business to maintain its position as a leader in technology• Combine the use of AWS services with the creation of custom Python code to develop scalable solutionsJob Requirements:• Bachelors/Masters degree in... Engineering, Computer Science (or equivalent experience)• At least 5+ years of relevant experience in a Machine Learning engineering role• 5+ years of professional experience in Python• Strong Data Science background, working with statistics and mathematics• Expert ability to break down complex and ambiguous requirements into actionable and technical deliverables• Knowledge of MySQL, MariaDB, AWS RDS, and AWS Aurora• Experience with AWS Sagemaker and AWS Forecasting is a plus• Proficiency in English"
Senior Machine Learning Engineer,NA,2023-01-30 12:10:36,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=uXZ_tMlz2gYAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Armenia,"DESCRIPTIONWe are looking for a Senior Machine Learning Engineer who will design and implement standardized processes and technology capabilities for ML systems. If you are experienced in defining strategies and tools  we have a hire-to-train offering for you.WHAT YOULL DO• Collaborate with the Data Science team and analyze their work from an ML engineering point of view• Create a roadmap to bring ML artefacts to life• Participate in the code review process• Design and build reproducible ML pipeline end to end• Analyze and communicate model performance• Write reliable code that other software engineers can extend• Stay up to date with current frameworks and suggest new ones• Build a framework (coordination between teams, DevOps, Data Engineers, QA, MLE, DS)WHAT YOU HAVE• Expertise in Python and its ecosystem• Familiarity with ML, software engineering and distributed computing basics• Background in DBMS and different data models (relational, columnar, document... etc.)• Competency in building HTTP-based APIs for distributed systems• Flexibility to use such machine learning tools as Pandas, Numpy, Scikit-Learn, TensorFlow, PyTorch, DeepAR, Prophet, Catboost, XGBoost, Spark, PySpark and such tasks as Time Series forecasting, Computer Vision, Recommendation SystemsNICE TO HAVE• Understanding how web applications are created and organized• Experience withcontinuous integrationand developmentWE OFFER• Outstanding career development opportunities with a transparent roadmap to accelerate your journey• Knowledge sharing within the community of 61,600+ industrys top professionals worldwide• Various opportunities for self-development: hard & soft skills internal training courses, mentoring programs, and unlimited access to 8,000+ LinkedIn Learning courses• Free English classes with certified teachers• Relocation opportunities within our offices in 45+ countries• Bonuses for participating in the referral program• Friendly team, enjoyable working environment, and flexible working schedule• Medical & family care programs, wellness & fitness programs, corporate and social events• Participation in the Employee Stock Purchase PlanABOUT EPAM• EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to numerous innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to learn and grow continuously. No matter where you are located, you will join a dedicated, creative, and diverse community to help you discover your fullest potential"
Senior Machine Learning Engineer,2023-01-16,2023-01-30 12:10:36,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=fx1WYaUanScAAAAAAAAAAA%3D%3D&fpstate=tldetail,AppFollow,Full-time,NA,Armenia,"AppFollow is an App review management and App Store Optimization (ASO) platform.Our primary goal is to simplify the everyday routines of app developers, product managers, marketing teams, customer support, etc. AppFollow helps you gather and manage your apps and games data, increase app average rating, improve app store rankings, and app user loyalty.We are constantly improving our Semantic Analysis toolkit and looking for a Senior Machine Learning Engineer to helpdrive the direction and development of proactive content moderation at scale. As a part of our team, you will work closely with the CTO, Product and ETL teams.You will partner product and engineering teams to build, deploy and maintain in production ML models which will impact the experience of more than 100 000 of users globally.More about Semantic Analysis toolkit... https://support.appfollow.io/hc/en-us/articles/360020979818-Semantic-Analysishttps://appfollow.io/blog/semantic-analysis-how-to-understand-user-reviews-at-scale-and-drive-customer-satisfactionhttps://support.appfollow.io/hc/en-us/articles/4408119766289-Phrase-AnalysisCurrent stack: Python,SQL, Big Data, AWS Sagemaker, Airflow, Docker, Kubernetes.Why should you join us- You will work with our Big Data sets (over TB)- Participate in strategy for current ML infrastructure- Bring crazy ideas for discussion, which help us improve our systemUse AWS stack for building cost efficiency products- You can work from any part of the worldWhat will you do- Own the machine learning engineering strategy for across product- Design, build, train, evaluate and test current ML models (Attention and Transformer architecture, BERT based) focusing on reviews- Organize the best infrastructure for ML.- Deal with 100m+ reviewsParticipate in company-wide projects with CTO, Product and ETL teams-Support current products and building new:- Semantic and phrase analysis, language detection- Tune custom semantic tagsImprove models by customers feedback- Cost optimizationGenerate replies to reviews (*new)- Peak detections (*new)- Contribute to ML infrastructure (internal frameworks, logging and data organization, etc.)What skills are expected:- Have +3 years of experience as a full-stack Machine Learning Engineer- Have deep understanding on Python and SQL- Have experience in NumPy, Pandas, PyTorch and and SKLearn- Have understanding of NLP architecture of transformers- Solid understanding of Multi Lang Have fluent EnglishIcing on the cake:- Knowledge of either AWS or any cloud- Familiarity Airflow, ABSA, experience in Data Labeling, Docker, CI/CDWe offer:- Full-time remote job. Though youre always welcome to spend time with us in our office in Helsinki.- 25 days of paid vacation. Take the time you need to stay motivated, charged, and balanced. By prior agreement, you can have days off for special occasions.- Generous social benefits package including health insurance, home office moderation bonus, and many more.- Stock options bonus according to the employee stock ownership plan.- Paid Corporate Meet-ups. We get together with the whole company twice a year at various locations to work and spend time together offline. Also, we have offline team meetings at least twice a year. We bear all the travel costs for your accommodation, flights, lodging, and other business travel expenses.- Youll have executive-level visibility into how the company is run and performing. We are always ready to provide dedicated support and fast-track your onboarding, including giving you the tools you need to be successful.- The biggest benefit is our awesome AppFollow team.- We're a team of open-minded and friendly highly-skilled professionals that enjoy creating a great product, growing together, and supporting each other"
AI/ML Team Lead-Hoory AI Project,NA,2023-01-30 12:10:37,https://www.google.com/search?q=Machine+Learning+Jobs+Armenia&ibp=htl;jobs&sa=X&ved=2ahUKEwi1hsnA_-_8AhVvAjQIHZJ2ANUQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=0RrriNAEX3oAAAAAAAAAAA%3D%3D&fpstate=tldetail,Ucraft,Full-time,NA,"Yerevan, Armenia","Job Responsibilities:• Architect, build, maintain, and improve new and existing suite of algorithms and their underlying systems,• Work closely with data scientists and analysts to create and deploy new product features,• Establish scalable, efficient, automated processes for data analyses, model development, validation and implementation• Understanding of fundamental design principles behind scalable applications• Running machine learning tests and experiments• Prepare technical documentation• Good understanding of the CI/CD process is a plus• Share knowledge and skills with the team through workshops and various presentations to adopt best practices• Keep Ucraft on top of all best practices of modern machine learning development by working with state-of-the-art technologiesRequired Qualifications:• Experience working with RASA framework and Conversational AI• 3-4 years of relevant experience• Good understanding of mathematics, statistics, and algorithms• Ability to... write robust code in Python• Extensive knowledge of ML frameworks, libraries, data structures, data modeling, and• Software architecture (Keras,scikit-learn, Pytorch,Tensorflow)• Good communication and knowledge sharing skills• BS degree in mathematics or computer science or other advanced certificationOUR TECH STACKPython, DRF, Google Vision, Tensorflow, GRPC, PostgreSQL, GCP"
