Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-18,2023-01-30 12:10:47,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=If35Kdg0TBsAAAAAAAAAAA%3D%3D&fpstate=tldetail,The Onset,Full-time,NA,"Sydney NSW, Australia","Job DescriptionBuild software, save the world!Seriously though, if there was a company capable of world-saving activity its this tech start-up whose cutting-edge technology is designed to solve practical problems at scale on land, in the air, in the oceans depths, and in space!Theyre looking for a Machine Learning Software Engineer to join their hybrid Sydney office to help the Machine Learning team build intelligence to drive all unmanned systems moving forward.They have offices abroad too so if youre keen for some international travel, get your passport ready because this company is a serious advocate of having its employees take advantage of global office-hopping.The role of a lifetimeYou will be instrumental in designing, developing, implementing, and maintaining software that supports the computer vision technologies their clients use to monitor their infrastructure assets.Coming in with 3+ years of software experience, Python, SDLC experience and a knack for... problem-solving thanks to strong analytical and mathematical skills, you likely come with a piece of paper ascertaining your talent for Computer Science, Maths or Statistics.Desirables• Experienced Machine Learning or Computer Vision• Background in Computer Science, Mathematics or Statistics• Experienced working in the cloudThrow in some awesome company benefits (including a profit share scheme), PTO, and money in the bank (the salary is super competitive) and why not give Jake a call on 0488 250 441 or email jaketheonset.com.au.• Sponsorship and remote working unavailable"
Machine Learning Engineer,2023-01-30,2023-01-30 12:10:47,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=IfMWemlHnFgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Michael Page,Full-time,NA,"Brisbane QLD, Australia","• 5 month contract + extensionsML Ops, Azure, KubernetesAbout Our ClientOne of Queensland largest organisations is seeking to expand their Data Science and Machine Learning team, in line with a series of projects aimed to enable ML Ops, and build a scalable, distributed platform to account for new opportunities and challenges in the Data Science domain.Job DescriptionKey duties:• Build a scalable distributed compute platform on specialised hardware using Kubernetes.• Containerisation and container orchestration using a cloud-native design (Kubernetes, Swarm, Mesos0.• Rapidly evolve, scale and adapt the platform to account for new opportunities and challenges in the Data Science domain, which is built upon open-source foundations (Spark, MLFlow, ShinyProxy, Jupyter, PyTorch, Tensorflow, Ansible).• Build and support an observability capability that provides proactive debugging and development tools for a rapidly scaling platform.• Build and support a platform that... facilitates model management and governance.• Integrate Azure services for hybrid cloud operations.• Develop a CI/CD pipeline and monitoring tools using self-hosted agents and cloud VMs.The Successful ApplicantSkills And Commercial Experience Required• Proficient in at least two appropriate languages, such as Python, Shell, C++, R, Java, Go.• Extensive experience in CI/CD pipeline development.• Extensive experience in the use of Azure services.• Experience in building and maintaining configuration-as-code, and writing utilities that automate deployments.• Experience in writing synthetic monitors and smoke tests for applications and services.• Expertise in service deployment strategies such as blue/green, canary releases and multi-armed bandit rollouts.• Expertise in containerisation and container orchestration using cloud-native design.What's on Offer• Contract until EoFY, plus a strong likelihood of extensions.• Join an excellent team of skilled, collaborative Data Scientists and ML Engineers.• Hybrid work model, primarily working from home (approx 3-4 days per week, and 1-2 days in office).• Flexible working hours.• Competitive daily rate (approx. $1000-1120 per day).• Immediate start available (negotiable with notice periods etc)Contact: Chris MitackisQuote job ref: JN-012023-5889482"
Lead Data Scientist (Machine Learning),NA,2023-01-30 12:10:47,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=YlcV5YEhQggAAAAAAAAAAA%3D%3D&fpstate=tldetail,Employment Hero,Full-time,NA,"Sydney NSW, Australia","Employment Hero is an Australian tech unicorn - valued at over $1.25 billion.Our world-class software is the easiest way for small and medium-sized businesses to manage HR, payroll, employee engagement, and benefits. Weve grown 100% year-on-year since our inception in 2014, and now service over 90,000 businesses and 850,000+ active users globally. We have exciting growth plans for 2023 and beyond, powered by our mission of making employment easier and more valuable for everyone.We take a Remote First approach with our team. Employment Hero can hire across the world, so long as candidates have eligible working rights and are in a suitable timezone to their colleagues. If youve got the skills for the role and the passion for our mission then we want to hear from you!About the Lead Data Scientist jobEmployment Hero is continuing to innovate and grow, and have now opened a new opportunity for a Lead Data Scientist who can join us and be foundational in establishing a Data Science... function.As our Lead Data Scientist, you will leverage our wealth of data gained through our broad Human Resources and Employee Experience products, developing new Machine Learning (ML) models, building advanced analytics and insights, whilst growing and developing a team of data professionals.Youll have an impressive challenge ahead of you, where youll provide sophisticated insights and intelligence, including for commercial use cases to our sales, marketing and product teams on customer trends and opportunities, and also to inform and build products for our clients where we can continue to make employment easier for small and medium sized businesses around the world.Were moving fast, and often build the plane while flying, were looking for someone who isnt afraid to start running from day 1.Some of your responsibilities will include:• Design, develop, maintain and manage our data warehouses /data lake• Build advanced Machine Learning / Analytics models• Work with our product and engineering teams to use your ML initiatives, including developing products• Be our data steward - own our governance, be a data security evangelist• Coach, mentor and develop a small team of Data Analysts in Data Science• Provide advice and work directly with our Chief Product and Technology Officer (CPTO) to scale the data function into the futureAbout your experience, skills and abilities:• Experienced as a Lead or Senior Data Scientist within a product lead technology business, including experience in ML for revenue generation• Deep hands-on experience with creating Machine Learning models from scratch and getting them into production• A passion for and confidence in Data Governance and stewardship• An experience or desire to manage and develop a team• Solid ability to code in Python, SQL, RNice to haves but not essential:• Masters or PhD in a relevant field• Experience with ETL or systems integration projectsSome of our benefits:• This is a fully remote position for anyone within Vietnam, we provide your laptop and other equipment to get you set up, plus an allowance for other items to get your desk ready• We have flexible working time - as most of our developers are based in Vietnam youll be working local business hours, Monday to Friday• Fully compliant with the Vietnam Labor Code, with Social Security based on full salary• 20 days vacation leave, plus 1 Leisure Rules day a year• Private healthcare package for you (plus spouse + children)• Budgets towards continuing your learning and other generous allowances• International annual company conference (Last conference we went to Phuket, Thailand!)• Refer friends to open jobs and receive a cash bonus for every successful referral you make• Participate in our Employee Share Options Program - youll be a part owner of Employment HeroWe celebrate diverse perspectives and experiences, and we celebrate and invite people of all backgrounds and identities to apply for this position.Why join Employment Hero• Raised $181M achieving unicorn status in February 2022• LinkedIn Top 25 Startups 2021, ranked #2 in Australia• The Australian Top 100 Innovators List 2021• Raised $140M Series E round led by Insight Partners July 2021• Raised $45M Series D round led by Seek 2021• Deloitte Technology Fast 50 2020, ranked #42 in Australia• LinkedIn Top 10 Startups 2020• Raised $22M Series C Round led by Seek July 2019• Raised $8 mill series B round led by Seek and OneVentures• Deloitte Technology Fast 50 2019, ranked #20 in Australia• GetApp Category Leader Q1 2019• Deloitte Technology Fast 50 2018, ranked #12 in Australia• HRD Gold Medalist - Human Capital Management Systems 2018• HRD Gold Medalist - Rewards and Recognition Service Provider 2018• HRD Rewards and Recognition Employer of Choice 2018• LinkedIn Top 25 Startups 2018• EY Entrepreneur of the Year National Finalist 2018#southeastasia#LI-HM1"
Machine Learning Engineer,2023-01-04,2023-01-30 12:10:48,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=6d8Z2vZgKasAAAAAAAAAAA%3D%3D&fpstate=tldetail,Anduril Industries,Full-time,NA,"Sydney NSW, Australia","Anduril is a defence technology company, bringing Silicon Valley talent and funding to the defence sector. Our technology helps our customers solve their toughest challenges by enabling them to make better, more informed decisions in life-and-death situations. Weve assembled a diverse team of experts in artificial intelligence, computer vision, sensor fusion, optics, and data analysis that are creating software and hardware solutions to radically evolve the capabilities of the Australia and our allies. If you are passionate about solving problems that have real impact, come join Anduril and build the future of defence.WHAT YOULL DO:• Develop software to manage and automate the machine learning lifecycle• Build Data pipelining• Create Data annotation tooling• Automation of Model Training• Model Evaluation and Regression Testing• Model Validation• Model DeploymentREQUIRED QUALIFICATIONS:• B.S. or M.S. in Computer Science or related field• 3+ years experience developing... production grade software• Passion for automating machine learning workflows• Interest in working on challenging engineering problems related to machine learning, computer vision, image and video processing• Proficiency in Python, Docker, CircleCI and Linux• Experience or familiarity working with microservices architecture• Experience with C++• Ability to obtain an NV2 security clearancePREFERRED QUALIFICATIONS:• Automating various aspects of the machine learning lifecycle• Deploying quality machine learning models in production• Workflow management tools such as airflow, kubeflow, etc.• PyTorch, or other deep learning frameworks• Image processing libraries such as OpenCV• C++ for edge ML applications• C++ inference engines such as TensorRT• Go programming language• Front-end UI / Javascript• developing and working with gRPC services• Multithreading and multiprocessing• Knowledge of and experience with NixOS (http://nixos.org)Anduril is an equal-opportunity employer, and we encourage candidates from all backgrounds to apply. If you are someone passionate to work on problems that matter, wed love to hear from you"
Machine Learning Engineer,2023-01-28,2023-01-30 12:10:48,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=TrzPTMzhEtgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Artificial Workflow,Full-time,NA,"Brisbane QLD, Australia","Artificial Workflow is seeking top-notch AI engineers to join our team. We welcome applicants to join our Innovation team and apply cutting-edge deep learning models to design the next generation of AI generative features. Utilizing models developed by our Core AI team and open-source AI projects from around the world, such as GPT-2 & 3, and stable diffusion, you will create advanced AI features.At Artificial Workflow, we specialize in AI consulting and integrating AI solutions into organizations. You will play a vital role in helping businesses harness the power of artificial intelligence to drive efficiency and productivity.We are working to empower businesses and companies to understand, trust, and effectively utilize their AI. Join us as we establish the framework for AI integration and drive the advancement of next-generation innovation.Key Responsibilities:• Design, develop, and implement AI systems and software solutions• Optimize and improve existing AI models and... algorithms• Collaborate with cross-functional teams to integrate AI solutions into products and services• Troubleshoot and debug AI systems as neededRequirements:• Bachelor's or Master's degree in Computer Science, Electrical Engineering, or a related field• Strong experience with programming languages such as Python, C++, and Java• Proficient in machine learning libraries such as TensorFlow, PyTorch, and Scikit-learn• Strong understanding of deep learning concepts and architectures• Strong understanding of cloud computing platforms such as AWS, Azure or Google CloudBenefits:• An opportunity to work with a talented and growing team of AI engineers and researchers• Early team member, equity options• Opportunities for career growth and development• A positive work-life balance• Exciting international projects and engagement with global companies in the AI industry.If you are a highly skilled AI Engineer excited about cutting-edge technologies and eager to contribute to the development of innovative AI solutions, we would love to speak with you about joining our team at Artificial Workflow"
Postdoctoral Fellow in Machine Learning applications for Utility-Scale PV,2023-01-30,2023-01-30 12:10:48,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=TGtaH8_x6Z0AAAAAAAAAAA%3D%3D&fpstate=tldetail,University of New South Wales,Full-time,NA,"Sydney NSW, Australia","Job no: 514194Work type: full timeLocation: Sydney, NSWCategories: Post Doctoral Research AssociateThe OpportunityThe School of Photovoltaic and Renewable Energy Engineering (SPREE) has multiple opportunities for Postdoctoral Fellows. As one of the Postdoctoral Fellows you will contribute towards the research effort of UNSW in the field of photovoltaic (PV) devices and to develop their research expertise through the pursuit of defined projects relevant to their particular field of research.This position will give you the opportunity to develop your scholarly research and professional activities both nationally and internationally through contributing to the writing of scientific papers and reports for international journals, participating in conferences and workshops, and actively engaging with industry partners.The role of the Postdoctoral Fellow reports to Professor Ziv Hameiri and has no direct reports.Level A, Salary - $99,325 to 106,237 per annum + 17... superannuationFull timeFixed-term contract  Initial 12 months with view for an additional 24 monthsLocation: Kensington  Sydney, AustraliaAbout UNSWUNSW isnt like other places youve worked. Yes, were a large organisation with a diverse and talented community; a community doing extraordinary things. But what makes us different isnt only what we do, its how we do it. Together, we are driven to be thoughtful, practical, and purposeful in all we do. If you want a career where you can thrive, be challenged and do meaningful work, youre in the right place.This position is within the School of Photovoltaic and Renewable Energy Engineering (SPREE) that is internationally recognised for its record-breaking research in solar power (photovoltaics) and renewable energy. The PERC solar cell was first invented at UNSW in our labs in 1983 and today powers more than 85% of all new solar panel modules all over the world. SPREEs work and people have changed the face of sustainable energy on the global stage, and we continue to be at the forefront of leading-edge research and development in the field of renewable technology as our economies transition away from fossil fuelsFor more information, please follow the below links:https://www.unsw.edu.au/engineering/our-schools/photovoltaic-and-renewable-energy-engineeringhttps://www.acdc-pv-unsw.com/https://www.unsw.edu.au/engineering/our-schools/photovoltaic-and-renewable-energy-engineering/our-research/research-activities/characterisation-defects-machine-learningSkills & Experience:A PhD in Computer Science or a related field.Demonstrated experience (more than three years) of developing machine learning and deep learning algorithms for dynamic systems (sequential or time-series data), preferably for renewable energy (wind or photovoltaic) applications.Thorough theoretical background in machine learning and deep learning.Proven expertise in (and/or proven ability to learn if necessary):One or more scientific programming languages, such as Python (preferred) or R, with a preference for functional style and algorithms experience.One or more deep learning frameworks, such as PyTorch (preferred) or TensorFlow, with a preference for experience implementing SOTA models and training procedures from academic journal papers.Development of data engineering pipelines (data aggregation and processing, database management, analysis, and visualisation).Operating within unix-based environments (headless servers, HPC clusters), with preference for experience managing server infrastructure.Collaborative software development using tools such as git/github or equivalent.Highly desirable: experience with generative representation learning models (VAEs, GANs, etc.) or similar unsupervised data modelling techniques.Priority will be given to those who have theoretical background in semiconductor device physics.Demonstrated research excellence. Evidence of winning major international awards for research is highly desirable.Demonstrated track record in research with outcomes of high quality and high impact. Clear evidence of the desire and ability to continually achieve research excellence as well as the capacity for research leadership.Proven commitment to proactively keeping up to date with discipline knowledge and developments.A track record of significant involvement with the profession and/or industry.High level communication skills and ability to network effectively and interact with a diverse range of students and staff.Demonstrated ability to work in a team, collaborate across disciplines and build effective relationships.Evidence of highly developed interpersonal and organisational skills.An understanding of and commitment to UNSWs aims, objectives and values in action, together with relevant policies and guidelines.Knowledge of health and safety responsibilities and commitment to attending relevant health and safety training. Cooperate with all health and safety policies and procedures of the university and take all reasonable care to ensure that your actions or omissions do not impact on the health and safety of yourself or others.Align with and actively demonstrate the UNSW Values in Action: Our Behaviours and the UNSW Code of Conduct.Additional details about the specific responsibilities for this position can be found in the position description.To Apply: Please click the button and submit your CV, Cover Letter and Responses to the Skills and Experience. You should systematically address the Skills and Experience listed within the position description in your application.Please note applications will not be accepted if sent to the contact listed below.Contact:Eugene Aves  Talent Acquisition ConsultantE: eugene.avesunsw.edu.auApplications close: 11:55 pm (Sydney time) on Monday, 13th February 2023UNSW is committed to evolving a culture that embraces equity and supports a diverse and inclusive community where everyone can participate fairly, in a safe and respectful environment. We welcome candidates from all backgrounds and encourage applications from people of diverse gender, sexual orientation, cultural and linguistic backgrounds, Aboriginal and Torres Strait Islander background, people with disability and those with caring and family responsibilities. UNSW provides workplace adjustments for people with disability, and access to flexible work options for eligible staff. The University reserves the right not to proceed with any appointment.Position DescriptionAdvertised: 30 Jan 2023 AUS Eastern Daylight TimeApplications close: 13 Feb 2023 AUS Eastern Daylight Time"
AI Lead Software Engineer,NA,2023-01-30 12:10:49,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=X8LXmGqDKtwAAAAAAAAAAA%3D%3D&fpstate=tldetail,"BCG, BCG GAMMA, Boston Consulting Group",Full-time,NA,"Sydney NSW, Australia (+3 others)","Who We AreBoston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholdersempowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.Practice Area ProfileBCG GAMMA combines innovative... skills in computer science, artificial intelligence, statistics, and machine learning with deep industry expertise. The BCG GAMMA team is comprised of world-class data scientists and business consultants who specialize in the use of advanced analytics to get breakthrough business results. Our teams own the full analytics value-chain end to end: framing new business challenges, building fact-bases, designing innovative algorithms, creating scale through designing tools and apps, and training colleagues and clients in new solutions. Here at BCG GAMMA, youll have the chance to work with clients in every BCG region and every industry area. We are also a core member of a rapidly growing analytics enterprise at BCG - a constellation of teams focused on driving practical results for BCG clients by applying leading edge analytics approaches, data, and technology.What You'll Do• Passionate about software development, data science, large data analytics and transforming organizations into analytics led, innovative companies• Able to apply leading software development practices and standards into robust, maintainable software solutions• Can develop abstract analytics models to solve complex problems for decision analysis• Actively involved in every part of the software development life cycle• Successful at distilling complex results or processes into simple, clear visualizations and explain sophisticated data concepts in an understandable manner both verbally and written• Experienced at guiding non-technical teams and consultants in understanding analytics at scale, infrastructure as code and best practices for robust software development• Optimize and enhance computational efficiency of algorithms and software design• Motivated by a fast-paced, service-oriented environment and interacting directly with clients on new features for future product releases• Bring bleeding edge data science models into production together with a highly multi-disciplinary team of scientist, engineers, partners, product managers and subject domain experts• Enjoy collaborating in teams to share software design and solution ideas• A natural problem-solver and intellectually curious across a breadth of industries and topics#LI-DNIWhat You'll Bring (Experience & Qualifications)• Masters degree or PhD in Computer Science (or in a highly related area)• 8+ years of experience in algorithms, data structures, object-oriented programming, and in software development environment• Analytic reasoning and complex problem solving involving mathematical programming and big data problems• Previous consulting experience and/or strong leadership positions• Excellent communication skills• Exposure to AI applications or experience building AI tools• Proven ability to deploy complex analytics systems and operate them at scale (incl. logging and monitoring)• Management/team lead experience, experience working with global and remote teams• Experience guiding teams in addressing the technical and delivery challenges• Experience working directly with the business to translate business requirements into product capabilitiesTECHNOLOGIES• Full stack development• Object oriented programming in at least Python and programming in a second language (Go, Scala, Java, C++)• Unix based command line & development tools and version control (Git)• Very good overview of all and specialization in several of the following Tools/Languages- Deep learning: Tensorflow, Keras, Pytorch- Python data stack: Pandas, Scikit-Lean, Scipy, Numpy- Data: Hadoop, Spark, MongoDB, Neo4j, Redis, SQL, Rest, GraphQL- Cloud: AWS/Azure/Google- DevOps: Kubernetes, Docker, CI/CD, Terraform- UI Frameworks/languages: Angular, React, Java/TypescriptWORK ENVIRONMENT• Fast-paced, intellectually intense, service-oriented environment• Position is located in Gamma European hubs (Paris, London, Germany, Nordics etc.)• Fluency in local language and English are required• Expect time spent traveling"
Scientific Computing Specialist - Machine Learning,2023-01-04,2023-01-30 12:10:49,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=-qxXa9P00qkAAAAAAAAAAA%3D%3D&fpstate=tldetail,CSIRO,NA,NA,"Perth WA, Australia","Acknowledgement of CountryCSIRO acknowledges the Traditional Owners of the land, sea and waters, of the area that we live and work on across Australia. We acknowledge their continuing connection to their culture and pay our respects to their Elders past and present. View our vision towards reconciliationThe Opportunity• Supportive, rewarding, inclusive and truly flexible environment.• Innovative and collaborative workplace with fantastic flexibility• Join CSIRO - Australia's premier research organisation• 2 positions available one indefinite and one fixed term contract until 30/06/24The Scientific Computing (SC) group within the Information Management & Technology function provides end-to-end infrastructure ranging from generic corporate IT systems through to leading-edge High-Performance data processing tools and platforms. The teams manage over 30PB of data at a compounded annual growth rate of 75%, and a proportionate computational and network fabric including several... Top500 supercomputers, HPC Cloud and a highly versatile and robust corporate hosting platform. Additional services include advanced visualisation, data processing, application support, software delivery, and research software engineering. The capability is highly customer focussed and operates closely in partnership with all areas of CSIRO research.The Scientific Computing Services group is seeking an additional staff member to meet the needs of users by providing programming support for their computational and data intensive workflows. Under direction from the Machine Learning Technical Leader and Scientific Computing Services Team Leaders, the successful candidate will plan and deliver machine learning capabilities to the organisation.This is an opportunity to work in a professional and technically challenging environment, supporting a diverse range of applications, to further the use of computation in science discovery.Work may be required at other CSIRO sites within Australia.Your duties will include:• Provide applications support services  focusing on machine learning - as part of the Data Analytics and Visualisation Team. Work activities are expected to cover both computer and data storage systems, and include:• Development of applications and workflows using machine learning.• Performance enhancement of selected machine learning applications and workflows.• Problem solving at a high level for applications and workflows.• Provide user support services as part of a team for the SC and partner systems. Work activities are expected to include:• Engaging with researchers to understand needs and deliver against them.• Effective request tracking and response to user support issues.• Documentation, including the development and maintenance of locally written user guides for scientific computing.• Contribute to knowledge sharing within the team by documenting procedures and liaising effectively with users regarding the delivery of services to meet their needs. Work may be required at other CSIRO sites within Australia.Location: Canberra ACT, Clayton VIC, or Eveleigh NSW preferred. Other locations may be considered.Salary: AU $105,806 to AU $114,500 pa plus up to 15.4% superannuationTenure: 2 positions available one indefinite and one fixed term contract until 30/06/24Reference: 90272To be considered you will need:• Tertiary degree in science, engineering, computer science, information technology or relevant field.• Extensive experience in the interrogation and interpretation of scientific/research data sets through various means including data visualisation.• Proficiency with modern data science programming languages such as Python or R.• Advanced data cleaning/processing and numerical/statistical analysis skills.• Demonstrated knowledge of four of more of:• Dimensionality reduction• Clustering methods• Regression techniques• Classification techniques• Ensemble methods• Image classification• Object detection• Transfer learning• Time series forecasting• Demonstrated experience with different interpretable machine learning techniques including, but not limited to, feature importance, Shapley values and class activation maps.For full details about this role please review the Position DescriptionEligibilityApplications for this position are open to Australian Citizens OnlyAppointment to this role is subject to provision of a national police check and the ability to obtain and maintain a security clearance at the Baseline level.Flexible Working ArrangementsWe work flexibly at CSIRO, offering a range of options for how, when and where you work.Diversity and InclusionWe are working hard to recruit people representing the diversity across our society, and ensure that all our people feel supported to do their best work and feel empowered to let their ideas flourish.About CSIROAt CSIRO Australia's national science agency, we solve the greatest challenges through innovative science and technology. We put the safety and wellbeing of our people above all else and earn trust everywhere because we only deal in facts. We collaborate widely and generously and deliver solutions with real impact.CSIRO is committed to values-based leadership to inspire performance and unlock the potential of our people.Join us and start creating tomorrow today!How to ApplyPlease apply on-line and provide a cover letter and CV that best demonstrate your motivation and ability to meet the requirements of this role.If you have any question regarding this position. Please contact careers online: careers.onlinecsiro.auApplications Close05 February 2023, 11:00pm AEST/AEDTShortlisting for this role may take place as applications are received. We therefore reserve the right to close this vacancy once a suitable candidate has been appointed,Please consider applying as soon as possible"
Machine Learning Engineer,2023-01-14,2023-01-30 12:10:50,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=FmbBT5eHJd8AAAAAAAAAAA%3D%3D&fpstate=tldetail,TPG Telecom,Full-time,A$140K–A$150K a year,"Sydney NSW, Australia","Two of Australias leading telecommunication companies, Vodafone Hutchison Australia and TPG, have come together to form TPG Telecom Limited. TPG Telecom has a powerhouse of brands which include Vodafone, TPG, iiNet, Internode, Lebara, AAPT and felix. As the second largest telecommunications company listed on the ASX, TPG Telecom has a strong challenger spirit and a commitment to delivering the best services and products to our customers. We are driving competition and choice for businesses and consumers across Australia.Reporting to the Senior Manager, Analytics and Data Science in the Group Data and Analytics function, the Machine Learning Engineer will be responsible for the design, development and industrialisation of automated Machine Learning pipelines that meet our organisation requirements.Key Responsibilities and Tasks• Help with the evolution of next generation analytical platforms;• Design and implement end-to-end ML pipelines;• Research and experiment with the API... applications;• Manage and optimise processes for data intake, validation, mining and engineering as well as modelling, visualization and communication of deliverables;• Engage with Technology teams and influence change and stability in design of the enterprise Data & Analytics eco-system;• Provide consultative guidance on AI & ML-related principles within the organisation, while also inputting on external client proposals and engagements, proactively.What We Need• BSc or MSc degree in related field (e.g. data science, computer science, engineering, etc.). PhD is a plus.• 3-5 years of relevant industry experience building ML solutions and deploying them to production;• Mastery of the entire ML pipeline, frameworks and libraries.• Technical experience and knowledge in data management related to Data Lakes, Cloud, Data Warehousing, Analytics and/or Business Intelligence.• Expert development skills in Python, R, SQL and Teradata related programming tools;• Experience building REST APIs, web services and business applications at scale.• Knowledge of AWS cloud best practices and architecture.• Experience with working in an agile team environment.• Experience with communicating and presentation highly quantitative concepts to a non-quant audience.• Strong oral communication and presentation skills.• An individual with energy and drive to succeed and who understand the importance of stakeholder management and setting realistic expectations.Benefits and perks• Flexible hybrid way of working (from home and office)• Stay Connected Mobile  Access to a free mobile plan• Stay Connected NBN  Access to a free NBN 100 plan• Your Leave - an additional 4 days of leave to be used whenever you like - every year• Access to TPG Learning Hub platform and internal development opportunities• Access to Corporate Partner DiscountsOur TPG Telecom SpiritWe believe in the power of meaningful relationships to support vibrant, connected communities where everyone belongs. You will join a supportive company that is diverse and inclusive, and celebrates what makes our employees different, as well what brings us together. We want you to bring your true self to work, and to feel like your contribution matters. We encourage ambition in everything we do, from telco solutions to customer experience, to community impact. You will have real opportunities to take charge and take control.If you think the power of people and collaboration can make a meaningful difference in the world, then APPLY NOW to help us build a better future.We are a 2023 Circle Back Initiative Employer  we commit to respond to every applicant.Bolder and better together!#LI-Hybrid #LI-DV1"
MACHINE LEARNING ENGINEER,2023-01-23,2023-01-30 12:10:50,https://www.google.com/search?q=Machine+Learning+Jobs+Australia&ibp=htl;jobs&sa=X&ved=2ahUKEwi9p8fG_-_8AhXbGDQIHYl9CL0QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=fuewzOum9sQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Sustaindigital,Full-time,NA,"Sydney NSW, Australia","Work for a leading E-commerce organisation that is scaling rapidly solving some the most challenging problems. Known for their cutting edge and innovative technology, you'll have the opportunity to work in a collaborative, high-performing project-based environment, that places emphasis on research and development.The Role:As a ML Engineer, you'll primarily be responsible for the implementation of algorithms and systems to collect and collate data in order to optimise customer engagement and experience of in house technology.What you'll need:To be successful in this position, you should have:Proven experience with machine learning and/or optimisation algorithms and Machine learning frameworksExperience designing and developing scalable solutions using ML modelsExperience in MLOpsProficiency in SQL, R, Python (Scikit, NumPy etc.)Background in Machine Learning, Deep Learning, Data Science and/or StatisticsIdeally, experience with GCPTo apply, please get in touch... with your resume via the links on Seek, or you can reach me at Eilishsustaindigital.com for a confidential discussion and information about the role and organisation"
