Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-10,2023-01-11 18:14:47,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=If35Kdg0TBsAAAAAAAAAAA%3D%3D&fpstate=tldetail,The Onset,Full-time,NA,"Sydney NSW, Australia","Job Description Build software, save the world! Seriously though, if there was a company capable of world-saving activity its this tech start-up whose cutting-edge technology is designed to solve practical problems at scale on land, in the air, in the oceans depths, and in space! Theyre looking for a Machine Learning Software Engineer to join their hybrid Sydney office to help the Machine Learning team build intelligence to drive all unmanned systems moving forward. They have offices abroad too so if youre keen for some international travel, get your passport ready because this company is a serious advocate of having its employees take advantage of global office-hopping. The role of a lifetime You will be instrumental in designing, developing, implementing, and maintaining software that supports the computer vision technologies their clients use to monitor their infrastructure assets. Coming in with 3+ years of software experience, Python, SDLC experience and a knack for... problem-solving thanks to strong analytical and mathematical skills, you likely come with a piece of paper ascertaining your talent for Computer Science, Maths or Statistics. Desirables  Experienced Machine Learning or Computer Vision  Background in Computer Science, Mathematics or Statistics  Experienced working in the cloud Throw in some awesome company benefits (including a profit share scheme), PTO, and money in the bank (the salary is super competitive) and why not give Jake a call on 0488 250 441 or email jaketheonset.com.au.  Sponsorship and remote working unavailable"
Senior Machine Learning Engineer,2023-01-05,2023-01-11 18:14:47,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=aZy0QHUpAM0AAAAAAAAAAA%3D%3D&fpstate=tldetail,CoTalent,Full-time,NA,"Sydney NSW, Australia","About The Company This startup company has received backing from a well recognised multinational brand, so it now has the perks of both a small, intimate business and the security of a mature global brand. Combining your knowledge of Machine Learning and Python, be in the position to help countless people protect themselves and their families. The Gig We are looking for a Senior Machine Learning Engineer who will be responsible for executing the full software development lifecycle (from analysing needs through to testing the new software to ensure it meets the identified needs). This position works closely with product, operations and data science teams to deliver new features. You'll Need  5yrs+ engineering experience  2yrs Python experience  Extensive experience building API's  Integration experience  AWS  C++ is a bonus  Advocate of engineering best practices eg unit testing Benefits  Above market salary package  Opportunity for career progression  Work on a modern... code base  Remote working OR Hybrid working arrangement (Sydney or Brisbane based office)  Work on a product that gives back to the community If this sounds like you, APPLY NOW or send your CV to: guscotalent.com.au"
Machine Learning Engineer,2023-01-04,2023-01-11 18:14:48,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=6d8Z2vZgKasAAAAAAAAAAA%3D%3D&fpstate=tldetail,Anduril Industries,Full-time,NA,"Sydney NSW, Australia","Anduril is a defence technology company, bringing Silicon Valley talent and funding to the defence sector. Our technology helps our customers solve their toughest challenges by enabling them to make better, more informed decisions in life-and-death situations. Weve assembled a diverse team of experts in artificial intelligence, computer vision, sensor fusion, optics, and data analysis that are creating software and hardware solutions to radically evolve the capabilities of the Australia and our allies. If you are passionate about solving problems that have real impact, come join Anduril and build the future of defence. WHAT YOULL DO:  Develop software to manage and automate the machine learning lifecycle  Build Data pipelining  Create Data annotation tooling  Automation of Model Training  Model Evaluation and Regression Testing  Model Validation  Model Deployment REQUIRED QUALIFICATIONS:  B.S. or M.S. in Computer Science or related field  3+ years experience developing... production grade software  Passion for automating machine learning workflows  Interest in working on challenging engineering problems related to machine learning, computer vision, image and video processing  Proficiency in Python, Docker, CircleCI and Linux  Experience or familiarity working with microservices architecture  Experience with C++  Ability to obtain an NV2 security clearance PREFERRED QUALIFICATIONS:  Automating various aspects of the machine learning lifecycle  Deploying quality machine learning models in production  Workflow management tools such as airflow, kubeflow, etc.  PyTorch, or other deep learning frameworks  Image processing libraries such as OpenCV  C++ for edge ML applications  C++ inference engines such as TensorRT  Go programming language  Front-end UI / Javascript  developing and working with gRPC services  Multithreading and multiprocessing  Knowledge of and experience with NixOS (http://nixos.org) Anduril is an equal-opportunity employer, and we encourage candidates from all backgrounds to apply. If you are someone passionate to work on problems that matter, wed love to hear from you"
Machine Learning Engineer,NA,2023-01-11 18:14:48,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=pEQDNxdu8AcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Rokt,Full-time,NA,"Sydney NSW, Australia","About Rokt Rokt is the global leader in eCommerce technology, helping companies seize the full potential of every transaction moment to grow revenue and acquire new customers at scale. Live Nation, Groupon, Staples, Lands' End, Fanatics, UrbanStems, GoDaddy, Vistaprint and HelloFresh are among the more than 2,500 leading global businesses and advertisers that are using Rokt's solutions to drive more value through every transaction by offering highly relevant messages to their customers at the moment they are most likely to convert. With our December 2021 Series E raise of USD$325M, Rokt is expanding rapidly and globally  operating in 14 countries across North America, Europe and the Asia-Pacific region with the largest office in NYC and a major R&D hub in Sydney. With more than 50% year-on-year revenue growth and vibrant company culture, Rokt has been listed in Great Places to Work in the US and Australia. Our award-winning culture is guided by our eight core values: Smart with... Humility, Conquer New Frontiers, Own the Outcomes, Enjoy the Ride, Force for Good, Raise the Bar, Communicate with Impact, and Disagree then Commit. These values help us attract, engage, and develop the right talent around the globe and ensure we have the right conditions to do our best work. Keen to join a fast-growing company and a vibrant culture Learn more at rokt.com. The Rokt engineering team builds best-in-class eCommerce technology that provides personalised and relevant experiences for customers globally and empowers marketers with sophisticated, AI-driven tooling to better understand consumers. Our bespoke platform handles millions of transactions per day and considers billions of data points which gives engineers the opportunity to build technology at scale, collaborate across teams and gain exposure to a wide range of technology. We are expanding rapidly in our major R&D centres in NYC and Sydney. We are passionate about using intelligent systems to improve the transaction moment for retailers everywhere. Come join us and build the future! About the role As a Senior Machine Learning Engineer, you are someone who has significant expertise in both machine learning and software engineering. You will be working with our engineering and product teams to design, build and productionise proprietary machine learning models to solve different business challenges including smart bidding, lookalike modelling, forecasting, etc. Responsibilities  Collaborate closely with product managers and other engineers to understand business priorities, frame machine learning problems, and architect machine learning solutions.  Build and productionise machine learning models including data preparation/processing pipelines, machine learning orchestrations, improvements of services performance and reliability and etc.  Contribute and maintain the high quality of the code base with tests that provide a high level of functional coverage as well as non-functional aspects with load testing, unit testing, integration testing, etc.  Keep track of emerging tech and trends, research the state-of-art deep learning models, prototype new modelling ideas, and conduct offline and online experiments.  Share your knowledge by giving brown bags, tech talks, and evangelising appropriate tech and engineering best practices.  Mentor other team members, facilitate within/across team workshops and lead the agile development.  Bachelors degree in Computer Science, a similar technical field of study or equivalent practical experience.  3+ years of industry experience in building production-grade machine learning systems with all aspects of model training, tuning, deploying, serving and monitoring.  5+ years of industry experience in software engineering roles and development experience in Python, SQL, Go, and/or other programming languages.  Strong understanding of software engineering, system design, data engineering and/or cloud architecture.  Knowledge in at least one of the following areas - Bayesian methods, Econometrics, Reinforcement learning, Gradient boosting machine, Natural language processing, Computer vision, etc.  Be motivated, and self-driven in a fast (we truly mean fast) paced environment with a proven track record demonstrating impact across several teams and/or organisations.  Ability to communicate and collaborate effectively with business stakeholders and manage tasks in a timely manner.  At Rokt we encourage autonomy; teams have complete ownership of their systems including building, running and monitoring. As such, you may be required to be on-call and respond to systems alerts should they arise.  Ideas, opinions, and the ability to share them through respectful proposals, presentations, and team-wide discussions, An eagerness to work and learn in the open and share your learnings with your teammates.  Experience in DevOps, MLOps and SRE is a massive plus.  Experience with Kubernetes, Kubeflow, TFX and Feature Store in a production environment is a massive plus.  Work with the greatest talent in town. Our recruiting process is tough. We hold a high bar because we have a high-performing, high-velocity culture - we only want the brightest and the best.  Join a community. We believe the best things happen when we come together to solve complex problems and make meaningful connections with each other through interest groups, sports clubs, and social events.  Accelerate your career. Develop through our global training events, Level Up investment, online training courses, and our fantastic people leaders. Take your career to Roktspeed - Grow your career in our rapidly growing company.  Take a break. When you work hard, we know you also need to rest. We offer generous time off and parental leave policies, as well as mental health and wellness days for all employees. We also believe taking time off in sync with one another is important. As such, we shut down our offices every year in late December/early January for two weeks, partially sponsored by the company. We also offer a paid Roktstar Sabbatical for employees who have been with us for 3 years or more.  Stay happy and healthy. Enjoy catered lunch every day and healthy snacks in the office. Plus join the gym on us! Rokt offers a monthly allowance to use on a gym membership or online fitness classes. We also provide all Rokt'stars access to free 1:1 coaching, therapy and digital mental wellness resources.  Become a shareholder. All Roktstars have stock options. If we succeed, everyone enjoys the upside.  See the world! Along with our global all-staff events in amazing locations (Phuket, Thailand in January 2020, Hawaii in May 2022), we also offer generous relocation packages for those interested in moving to another Rokt office. We have cool offices in great cities - New York, Sydney, London, Singapore, and Tokyo.  Get the best of both worlds with a hybrid workplace. We firmly believe that we are better together - in-person interaction is an important part of our culture and supports our rapid growth through better apprenticeship and career development. We currently work 4 days a week in the office, allowing you to enjoy the best of both worlds (please note: this is subject to change based on the needs of the business and some support roles still require a full-time presence). One week per quarter, you also have the flexibility to work from anywhere.  We believe in equality. Rokt is an Equal Opportunity Employer and recognises that a diverse workforce is crucial to our success as a business. We would love you to apply for one of our open roles - irrespective of socio-economic status or background, age, gender identity, race, religion, sexual orientation, colour, pregnancy, carer/family responsibilities, national and social origin, political opinion, marital, veteran, or disability status. Salary Range - $185,000 - $287,500 AUD per year plus equity #LI-Hybrid"
Machine Learning Data Scientist,NA,2023-01-11 18:14:49,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=hs18PxMDtn4AAAAAAAAAAA%3D%3D&fpstate=tldetail,"Susquehanna International Group, LLP (SIG)",Full-time,NA,"Sydney NSW, Australia","Overview Once in the team you will bring your machine learning expertise to bear on all aspects of the trade pipeline. You must have the ability to build models for high-frequency asset price prediction, to analyse the resulting trades, and to build models for better understanding of latency implications, etc. You must be able to explain clearly your ideas and results to the rest of the team. In the role you will:  Contribute techniques from machine learning towards improved automated trading systems.  Work with traders, quants, software developers in a highly focused team building, deploying and improving automated trading systems.  Research, implement, test, deploy and monitor proprietary systems trading across multiple markets and financial products. We work at all levels of the problem domain from market data handlers through trade monitoring.  Work with python systems to extract the data you will require; (Preferable C++ but not a must) What we're looking for  Ph.D. in... Computer Science/ Quantitative subject (statistics, math, engineering, physics).  Comfortable programming python in a Linux environment.  You have developed real-world ML applications and have a strong interest in finance and trading.  Strong interpersonal skills with the ability to liaise with senior/executive trading staff.  Ability to work autonomously and as a member of inter-departmental teams. We dont post salary ranges externally so any salary estimate you see listed on a third party website was not provided by SIG and may not be accurate. SIG is not accepting unsolicited resumes from search firms. All resumes submitted by search firms to any employee at SIG via-email, the Internet or directly without a valid written search agreement will be deemed the sole property of SIG, and no fee will be paid in the event the candidate is hired by SIG. #efc-multi"
Creative Technologist - Search & Recommendations (AI & ML),2023-01-11,2023-01-11 18:14:50,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=PRgkXyngUr4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Canva,Full-time,NA,"Sydney NSW, Australia","Canvas Commitment and Mission At Canva, we celebrate diversity. We deeply believe that bringing together diversity of thoughts, perspectives and expression is key to building the best product, team and company. We look for many different skills and abilities, as well as how you can enhance Canva and our culture. So, even if you dont think you quite meet all of the skills listed or tick all the boxes, wed still love to hear from you! Our mission at Canva is to empower the world to design and since launching in 2013, we have grown exponentially, amassing over 100+ million monthly active users across 190 different countries and a team of over 3,000 people and the best bit is that weve only achieved 1% of what we know were capable of. Join us and design your future. About the Group The Search and Recommendations Group is a core component of the Canva user experience. They are responsible for providing the core platform that allows all of Canva's amazing templates, images... stickers, video, audio, etc, to be discovered inside and outside Canva. With that, they also own key in-product surfaces to allow users to discover content before and during design. With over 100 million assets in our library (and rapidly growing), this group is key in ensuring that every user in every locale can find the content they need to create amazing designs. With so much content, surfacing the right ingredients to the right user, at the right time will be critical for the future success of Canva. About the Product Design specialty One of the principles of our design team is to show the future. As designers, we transport the rest of the company into a future were yet to build. A big part of the role of a product designer at Canva is to be a visionaryvisualising and reinventing the future of design. There is a magic that occurs where design and engineering collide  that has been the philosophy that has driven the success of a lot of our product experiences. Were looking for someone who understands this magic and can work within the design team to help craft experiences that are detailed, polished, and push the boundaries of whats technically possible, as well as inspire teams and leaders to invest in new ideas. As a creative technologist, youll be part of the Product Design specialty, collaborating with all of our product designers to come up with interesting solutions to design problems, prototype new ideas, and figure out the details that go into a good design before they get fully built. Youll also be an invaluable bridge between the design and engineering teams, helping the full vision of the design team to roll out to our millions of users"
Machine Learning Engineer,2022-12-22,2023-01-11 18:14:50,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=tJMsr3vQlj4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Maltem Australia,Full-time,NA,"Sydney NSW, Australia","Who we are Maltem Group is a community of 1,200+ passionate individuals dedicated to innovation, new technologies, data, and digital transformation projects. Founded in 2001 and located in 13 different countries, our footprint covers France, Singapore, Hong Kong, Vietnam, Philippines, Luxembourg, Belgium, Madagascar, Mauritius Island, Morocco, US, Canada and Australia. Our expertise consists of 20+ years of market knowledge in the business organization, digital practices, agile, data management and innovation. Maltem APAC is composed of highly experienced practitioners. We work closely with clients to understand, connect, improve organizational effectiveness, and deliver value faster. Our aim is to support our partners in building a sustainable competitive advantage in their industry and be at the forefront of innovation and customer experience. Join our Data and Analytics team as we continue our journey to build innovative cloud-based data solutions. Our engineers operate in a... collaborative and autonomous environment where they are empowered and continuously learn, becoming masters in their craft. This is a fantastic opportunity for someone who is passionate about big data technologies, enjoys solving problems and takes pride in delivering high quality solutions. You will work in a multi-talented, diverse team across multiple geographical locations and implement solutions in a fast-paced environment. Skills and Experience:  Minimum 2-3 years of experience in Machine Learning Engineering (AWS Sagemaker preferred)  Strong background in Linux and shell/bash scripting  Basic understanding of end-to-end Machine Learning pipelines (including the ML algorithms involved)  Experience in deploying Machine Learning models (Batch or Real time)  Experience troubleshooting and monitoring AWS environment and services  Understanding of data engineering tools and languages including SQL, Python, Red Shift & Glue will be added advantage  AWS certification will be added advantage  Great communication and collaboration skills. Internal life Maltem  A community of practitioners that you can contact anytime  Regular lunch and coffee catch-ups with our wider community  Team Building activities  Sports activities that can happen after work or during the weekend (voluntary-basis)  Work at our new offices where we have open space, free drinks, and plenty of other advantages  Possibility to work overseas for Maltem Group  Possibility to be part of advisory and greenfield projects  Possibility to be mentored or mentor someone during your journey with Maltem  We take care of each other, and our employees are at the heart of everything we do. We take care of each other, and our employees are at the heart of everything we do. We are community driven. By joining us, you will have access to a pool of passionate experts across data engineering, analytics, data science Change and Project Management. So, are you ready to join us"
Senior Machine Learning Engineer,NA,2023-01-11 18:14:51,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=AC5fZkGBI1EAAAAAAAAAAA%3D%3D&fpstate=tldetail,Neara,Full-time,NA,"Sydney NSW, Australia","WHAT YOU WILL DO As our Senior Machine Learning Engineer, you will build and optimise machine learning models and algorithms that will be applied to millions of critical infrastructure assets. As part of this, you will:  Develop approaches to generate accurate models from imperfect data using deep learning and classical algorithms  Develop approaches for intelligent network scale insights  Develop and optimize training pipelines  Develop data structures that can perform in real-time with user interaction on large underlying data sets  Work with a variety of data sources, including LiDAR, aerial photography & photogrammetry, and structured data.  Put your software engineering skills to the test in organizing functionality for many use cases in a complex domain (this is not an ""on click button, send RPC"" kind of application)  Mentor other engineers in best practices WHO YOU ARE You're an experienced Senior Machine Learning Engineer with a strong background in software... development and machine learning. You have a Bachelor's Degree in Computer Science (or equivalent) and you're passionate about building complex deep-learning and neural networks. You have a superb working knowledge of Python and C++ and you've worked on complex enterprise software solutions throughout your career. Most of all, youre highly motivated to build best-in-class solutions and solve complex, meaningful problems. We're ideally looking for someone who is based in Sydney and can work from the office from time to time, but we'll definitely consider exceptional candidates from other parts of Australia. WHO WE ARE Neara is a high-growth utility software company headquartered in Sydney, Australia. We have secured our Series B funding and are backed by some of the best investors in Australia, including Square Peg Capital and Skip Capital. Our mission is to empower organizations by bringing them closer to their assets, environment, and business through intelligent software solutions. As a result, we are tackling the toughest challenges in the rapidly evolving energy and infrastructure sector. Our proprietary software platform generates three-dimensional digital models of infrastructure assets, enabling complex, engineering-grade analysis to be performed at scale. We enable utilities and infrastructure asset owners to enhance the operation and performance of their assets by optimizing capital spending, reducing operational costs, and improving safety and risk management. Were growing globally and we are passionate about the role that Neara is playing in reshaping and evolving the industry at a critical time in its history. WHAT WE ARE OFFERING YOU  Competitive salary + ESOP  Career development and growth opportunities  Flexible hours and working arrangements  Awesome work culture  Complex, meaningful products & real world problems"
Data Scientist / Modeler,2023-01-09,2023-01-11 18:14:52,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=9HZ3aY7FxBoAAAAAAAAAAA%3D%3D&fpstate=tldetail,OnDeck Australia,Full-time,NA,"Sydney NSW, Australia","ABOUT THE ROLE Help us build out the future of business lending at OnDeck. Youll join a team focused on disrupting the commercial lending market and helping small business succeed by providing SMEs access to funding in the easiest and fastest way. Reporting to the Head of Data and Analytics, youll be responsible for managing, maintaining and enhancing all aspects to OnDecks Modeling environment. You will be responsible for analyzing large amounts of information to discover trends and patterns which you may need to build, manage, maintain, and deploy predictive models and/or machine-learning algorithms. You will be a key member of the organization that will help drive and promote a data driven culture at OnDeck. Key responsibilities: Some of the work you will be doing:  Ensure that all business partners have the right data, at the right time, to make well informed data driven decisions  Working within the Data and Analytic team, you will be responsible for leading model... development activities by following industry standards and best practices.  Work closely with Risk Team to develop best-in-class risk models geared toward financial optimization, loss mitigation and operational efficiencies  Advise and evaluate existing and new external data sources for use case effectiveness  Work closely with technology team to architect and develop scalable cloud-based analytic/model solutions  Working closely with the PMO, you will provide stakeholder updates to the Executive Team and other Senior Management as required  Familiarity with cloud based model execution environments and follow best practices and standards  Ensuring efficient functioning of data storage and processing functions in accordance with company security policies and best practices in cloud security. To be eligible you must have:  3-5 years proven experience as a data scientist.  Demonstrated ability to collaborate with people across businesses, locations and focus on execution.  Strong SQL experience  Experience with Python, R or similar  Familiarity with statistical modeling techniques and practices  AWS or GCP certifications preferred.  Ability to understand data quickly, and interpret results for business partners  Troubleshooting and analytical skills.  General understanding of SaaS platforms and agile methodology as well as business processes.  Excellent organization and communication skills with a strong attention to detail. What sets you apart:  You are hands on, move quickly, and love solving problems in a fast-paced environment .  You are quick to see the interconnectedness of processes, are confident in questioning why, and learn quickly.  You enjoy working with a variety of people across the business to identify and solve problems, including people in other parts of the world. WHO ARE WE OnDeck Australia was founded in 2015 and has grown to become one of Australias largest online small business lenders, in a category largely underserved by traditional banks and financial institutions. OnDeck Australia is a locally owned and operated business, headquartered in Sydney We are changing the way business owners borrow money by combining our passion for small business with cutting-edge technology. We evaluate businesses based on their actual performance, using real time data which enables us to say yes more often, to more business owners, faster than traditional lenders. We have helped thousands of small business owners across Australia access short term, unsecured finance to drive their business growth and enable more opportunities. HOW OnDecks point of difference has always been leveraging our unique credit scoring capability and our understanding of small businesses to provide best in class lending solutions, delivered by awesome people. The Key Online Australian Lending Algorithm (KOALA Score) was developed in-house by our own data scientists and regarded as one of the most predictive models in the market. It uses a broad range of data sources that enables us to evaluate the financial health and repayment capacity of small businesses, which in turn enables us to offer larger loans to more businesses, through a fast and efficient online platform. The success of the KOALA Score has supported the launch of our Lightning Loans process. With more than two thirds of all decisions made without underwriter input, it creates a faster, more streamlined application process for loans of up to $150,000. Funding decisions can be made in as fast as 30 minutes, with approved applicants funded in as fast as two hours. This combination of KOALA and Lightning Loans is driving some of the fastest, most accurate lending decisions in the SME market today"
Sr. Data Scientist,2022-12-16,2023-01-11 18:14:52,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwiN9Yy87cD8AhUYOUQIHXNGCFUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=j8hB3sEaRXYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Visa,Full-time,"US$68,428–US$135,000 a year","Sydney NSW, Australia","Company DescriptionVisa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.When you join Visa, you join a culture of purpose and belonging  where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world  helping unlock financial access to enable the future of money movement.Join Visa: A Network Working for Everyone.Job DescriptionWhat a Senior Data Scientist, Visa Consulting & Analytics does at Visa: In this role, you will be reporting to the Delivery... Lead for Data Services, Australia. You are expected to have excellent problem-solving skills with the use of advanced analytics, machine learning, AI and a sharp focus on execution. You will be working with colleagues across the organization to help shape Visa and partners business strategies by mining and interpreting data and generating relevant and meaningful insights that informs the strategy.You are expected to be hands on and have the required knowhow to work with big data using cutting edge machine learning, AI solutions. The role will involve close collaboration with data science analysts, members of the broader team in Visa Consulting and Analytics and other business stakeholders.The role would be focused on the broader Australia and New Zealand market and will be based in Sydney.Key ResponsibilitiesWork with large, complex data to measure results, build and develop predictive models, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.Lead development and application of new methodologies and analytic techniques, promoting best practices in the field.Build well-managed data solutions, tools and capabilities to enable self-service frameworks for internal or external stakeholdersCollaborating with the internal teams to fully understand business requirements and desired business outcomesProviding thought leadership in both using data to solve business problems and in arriving at innovative statistical solutionsEnsuring all project documentation is up to date and maintain the highest levels of quality in deliverablesEnsuring project delivery within timelines and budget requirementsContribute to the development of the teams analytical skills and expertise.Cultivates open and clear communications across team members and stakeholdersThis is a hybrid position. Hybrid employees can alternate time between both remote and office. Employees in hybrid roles are expected to work from the office two days a week, Tuesdays and Wednesdays with a general guidepost of being in the office 50% of the time based on business needs.QualificationsProfessional 8 plus years of hands-on analytical experience in relevel field Subject matter expert in analytics especially in areas of analytical methodologies  Able to connect data visualisation insights with business problem Superior analytical and problem-solving skills, with demonstrated intellectual and analytical rigor Team oriented, collaborative, diplomatic, and flexible, with excellent presentation skills, including strong oral and writing capabilities Experienced in working across a matrixed organization Excellent communicator, should have the capability to translate numbers to business insights Strong interpersonal and leadership skills with effective written and verbal communication skills and the ability to present complex ideas in a clear and concise way, a team player with good work ethics Experienced in working across a matrixed organization Previous exposure to financial services, credit cards or merchant analytics is a plus, but not essentialTechnical Proficiency in coding skills using Hive, Python, and Pyspark on large datasets Competency in data visualization software such as Tableau, Power BI etc.  Competent understanding of the recommender system, classification techniques, time series and regression models are recommended Proficiency with Microsoft Excel and Powerpoint Proficiency with collaboration tools within Microsoft Office 365 is required Experience and in-depth knowledge of the cards and payments business are preferredBusiness Excellent relationship and stakeholder management skills Expert in presenting ideas and analysis to stakeholders Very detailed oriented, is expected to ensure highest level of quality and rigor in reports and data analysis Global mindset, desire and demonstrated ability to work cross culturally and in a matrixed organization Ability to execute and solve problems independently Proven skills in translating analytics output to actionable insights and recommendationsAdditional InformationVisa has adopted a COVID-19 vaccination policy. As a condition of employment, all employees based in the country where this job is located are required to be fully vaccinated for COVID-19, unless a reasonable accommodation is approved or as otherwise required by law"
