Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer (m/f/d),NA,2023-01-30 12:11:31,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=NxB5GHuP7o4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Machine Learning Reply,Full-time,NA,"Graz, Austria","AtMachine Learning Reply Austriawe strive to work onleading-edge data science projectswith our clients for which we are seeking Cloud Engineerconsultants with a strong technicalbackground.Machine Learning Reply, with its sister companies in Italy and Germanyand over 8500 employees at Reply globally, is a fast-growing consultancy focused on solving problems with Data Science, Cloud technologies and the right organizational frameworks as their backbone. We are a tight knit, laid back, but seriously motivated unit that aims to be involved at conferences and in community of practice with our tech partners.We offer tailor-made end-to-end cloud-based solutions in the Data Science area that cover the entire project life cycle - from initial strategy consulting to data architecture and infrastructure issues to data processing and deployment of production-ready algorithms.We have a vast expertise in every step of the Data Science implementation spectrum in all key industries of... the German HDAX-companies. With focus on open source and cloud technologies we enable our customers to successfully introduce and implement new data-driven solutions and to optimize already existing processes and products while simultaneously adapting to cloud technologies.TasksUse your cloud know-how and work closely with our customers to find out what the perfect (cloud) technology is for them!• Through your knowledge you are able to design innovative, technical approaches for cloud solution architectures• Your designed cloud architectures (based on AWS, Microsoft Azure or Google Cloud) will be implemented by you also always considering DevOps / MLOps• You will not be alone and will work closely with colleagues from Data Science or Data Engineering to jointly develop data-intensive applicationssuch as data warehouses, data lakes and/or data platforms• You enjoy brainstorming, conceptualization and final implementation. You therefore like to accompany the complete LifeCycle by creating specifications, code and presentations for your solutions.• As part of the Reply network, you join communities of practice, participate in hackathons and use all available learning resourcesWhat we offer you:• We offer you for this position according to the collective agreement for employees in data processing and information technology a gross monthly salary of at least EUR 3215 (Consultant) or EUR 4286 (Senior Consultant) depending on your previous experience.• Access to work on projects across industries (large and mid-market companies in Banking, Insurance, Automotive, Retail, etc.)• Very active group social program - including conference funding, team building, group events, Reply Exchange• Recognition for Innovation to foster your personal development• Work in an open, flat environment, within a broad Reply knowledge sharing network (more than 90 autonomous Reply groups across 8 countries)• Office space in downtown Vienna with access to Stammstrecke• Training and certification encouraged• Home-office contracts• State of the art work equipment• Award winning office spaces for an excellent work experience• Public transport ticket within Vienna• Gym-membership subsidy for a gym of your choice• Flexible work environment between client, Reply office and remote work• A university degree in (business) informatics, mathematics, statistics (or comparable) and at least 3 years of professional experience in industry or consulting• Experience in the development of data-intensive applications such as data warehouses, data lakes and / or data platforms• You have knowledge in code development using Java/Scala or Python• You are familiar with relational databases as well as ideally NoSQL databases (e.g. Oracle, Aurora, Mongodb, Cassandra)• Deep understanding in the development of Machine Learning applications as well as solutions based on Big Data technologies such as Hadoop or Spark or their cloud-based equivalents• Very good English and good German skills as well as willingness to travel nationally"
[Remote] Team lead - Core Team (Python / Machine Learning),NA,2023-01-30 12:11:32,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=VzMvbpuyjXYAAAAAAAAAAA%3D%3D&fpstate=tldetail,MOSTLY AI,Full-time,€90K–€100K a year,Austria (+1 other),"Who We AreMOSTLY AI is a Vienna, Austria based high-tech startup that has developed game-changing AI technology for synthetic data. Our solutions enable organizations across the world and across industries to safely share big data assets, internally as well as externally, while keeping the privacy of their customers fully protected. This breakthrough in data protection is made possible by leveraging generative deep neural networks that extract patterns, structures and variations from existing data to generate highly realistic & highly accurate synthetic customers.Our international team of data enthusiasts takes pride in offering the world's most advanced synthetic data solutions, and thus to enable a big data ecosystem where privacy is truly respected. The category synthetic data is just getting started and the potential is growing day by day. We believe that in the next couple of years every larger organization will incorporate synthetic data in their data stack. To serve the... growing needs of our clients we are looking for a Team lead for the Core Team: The Core Team is building the core of our Synthetic Data Platform employing Python and Tensorflow.Who You AreYou are an experienced engineering team lead (Python/Machine Learning). You love working with your team and to jointly achieve high performance. You want to substantially contribute to the deployment of a deep tech product. You want to work with state-of-the art tools in a truly agile development environment. You are up to speed on the latest technologies and still enjoy writing and reviewing code.If this sounds like you then you should read further!Responsibilities• Lead a high performing group of engineers, recruit and build out a strong engineering team with an inclusive and diverse culture• Coach and mentor engineers to help them realize their full potential• Define the future-proof architecture with the team, document and align with other teams• Go deep into the code with the team, when necessary• Ensure that quality is integrated into the code by defining standards, introducing industry accepted tools and methodologies• Own your part of the product in all aspects from technical design to development, release and deployments• Work closely with the product team to refine requirements, coordinate with other stakeholders in the company• Actively follow and evaluate new technologies/methods in the software industry to increase efficiency• Manage sprints and keep track of internal reporting• Be an active member of the Leadership Team of the companyRequirements• 10+ years of software development experience• 2+ years of leadership experience in managing or leading teams and engineering deliverables• Proven track record managing complex Machine Learning applications• Domain expertise in Python, Tensorflow and data manipulation/analysis libraries• Good level of knowledge on cloud and container technologies• Exceptional management skills to collaborate across teams and coach engineering talent• Willingness to learn and constantly improve own skills• Highly energetic personality with a ""can do/ getting things done"" attitude• Result-driven as well as excellent interpersonal, communication, and collaborative skills• English, German is a plus• Must be able to navigate and blend into a high paced start-up environment#LI-RemoteOur Perks• Be part of the synthetic data revolution and work with international top experts in the field of unsupervised AI• Build the world you wish to see - a future where big data and privacy can co-exist• Live and work in Vienna, named year-after-year the most liveable city in the world - if you prefer you can also stay where you are - we support fully remote positions!• Benefit from five weeks of paid vacation and 100% covered health insurance (in Austria)• Enjoy lunch subsidies and a free annual public transportation ticket• We offer snacks and drinks at the office, and host regular happy hours• We bring together our global team at least twice a year for team events - we dont settle for boring!At least 90,000 annual gross salary incl. overtime  additional payment according to skills and experience. #LI-RemoteIf you love data as much as we do, then come and join us to advance, deploy and promote our category-defining novel solutions around privacy-preserving generative AI.MOSTLY AI focuses on Artificial Intelligence, Consumer Behavior, and Privacy. Their company has offices in New York City and Vienna. They have a small team that's between 11-50 employees. To date, MOSTLY AI has raised $6M of funding; their latest round was closed on February 2020.You can view their website at https://mostly.ai or find them on LinkedIn"
Cloud Engineer (m/w/d),NA,2023-01-30 12:11:32,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=4virR1ZOkroAAAAAAAAAAA%3D%3D&fpstate=tldetail,Machine Learning Reply,Full-time,NA,"Vienna, Austria","AtMachine Learning Reply Austriawe strive to work onleading-edge data science projectswith our clients for which we are seeking Cloud Engineerconsultants with a strong technicalbackground.Machine Learning Reply, with its sister companies in Italy and Germanyand over 8500 employees at Reply globally, is a fast-growing consultancy focused on solving problems with Data Science, Cloud technologies and the right organizational frameworks as their backbone. We are a tight knit, laid back, but seriously motivated unit that aims to be involved at conferences and in community of practice with our tech partners.We offer tailor-made end-to-end cloud-based solutions in the Data Science area that cover the entire project life cycle - from initial strategy consulting to data architecture and infrastructure issues to data processing and deployment of production-ready algorithms.We have a vast expertise in every step of the Data Science implementation spectrum in all key industries of... the German HDAX-companies. With focus on open source and cloud technologies we enable our customers to successfully introduce and implement new data-driven solutions and to optimize already existing processes and products while simultaneously adapting to cloud technologies.Tasks:Use your cloud know-how and work closely with our customers to find out what the perfect (cloud) technology is for them!• Through your knowledge you are able to design innovative, technical approaches for cloud solution architectures• Your designed cloud architectures (based on AWS, Microsoft Azure or Google Cloud) will be implemented by you also always considering DevOps / MLOps• You will not be alone and will work closely with colleagues from Data Science or Data Engineering to jointly develop data-intensive applicationssuch as data warehouses, data lakes and/or data platforms• You enjoy brainstorming, conceptualization and final implementation. You therefore like to accompany the complete LifeCycle by creating specifications, code and presentations for your solutions.• As part of the Reply network, you join communities of practice, participate in hackathons and use all available learning resourcesWhat we offer you:• We offer you for this position according to the collective agreement for employees in data processing and information technology a gross monthly salary of at least  3215 (Consultant) or  4286 (Senior Consultant) depending on your previous experience.• Access to work on projects across industries (large and mid-market companies in Banking, Insurance, Automotive, Retail, etc.)• Very active group social program - including conference funding, team building, group events, Reply Exchange• Recognition for Innovation to foster your personal development• Work in an open, flat environment, within a broad Reply knowledge sharing network (more than 90 autonomous Reply groups across 8 countries)• Office space in downtown Vienna with access to Stammstrecke• Training and certification encouraged• Home-office contracts• State of the art work equipment• Award winning office spaces for an excellent work experience• Public transport ticket within Vienna• Gym-membership subsidy for a gym of your choice• Flexible work environment between client, Reply office and remote work• We are looking forward to your completed studies in (business) computer science, mathematics, statistics or comparable• You have experience with cloud services from AWS or Azure, alternatively you have extensive knowledge with on-premise solutions• A solid understanding of Linux systems is a big plus, as well as an interest in Terraform, CloudFormation, and Ansible• Knowledge of databases, networks or cluster technologies• Ideally, you are familiar with a programming language such as Python, shell scripting, or even Perl, and have had initial experience with Big Data technologies such as Spark, Hadoop, or Kafka• Fluent German and English skills round out your profile"
"Postdoc or Junior Group Leader: “Machine Learning in [Bio]Medicine""",NA,2023-01-30 12:11:33,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=3CQxHeePKSYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Medical University of Vienna,Full-time,NA,"Vienna, Austria","A full PDF version of this job posting is available from the following URL: http://www.medical-epigenomics.org/files/PostdocMachineLearninginBioMedicineDec2022.pdfWe are recruiting an ambitious scientist who wants to advance their career in machine learning and establish a cutting-edge re-search program in machine learning applied to precision medicine or high-throughput biology. The successful candidate will join the Institute of Artificial Intelligence at the Medical University of Vienna, with ample opportunities to integrate into the European research landscape, including the European Lab for Learning and Intelligent Systems (ELLIS). This call is open to early-stage re-searchers who want to pursue cutting-edge research, and to more senior candidates seeking to establish an independent research group. A tenure-track option is available for exceptional candidates.The GoalMachine learning is transforming medicine, for example enabling physicians to incorporate vast amounts of... data and knowledge into each of their clinical decisions. Machine learning also advances our understanding of the biology underlying human diseases, with future perspectives to identify the key molecular mechanisms in each individual patient and devise personalized therapies. Researchers at the Medical University of Vienna, together with the CeMM Research Center for Molecular Medicine and the Austrian Academy of Sciences, are working to establish an ambitious research program focusing on Machine Learning in BioMedicine, with three pillars: (i) methodological research in machine learning, focusing on interpretable deep learning, causal modeling, fed-erated machine learning, and time series analysis; (ii) proof-of-concept applications in biology and medicine, including personal-ized medicine and systems biology; (iii) dissemination and impact through sustainable clinical applications, contribution to inter-national consortia, creation of startup companies, and a commitment to research-centric teaching and public outreach. The suc-cessful candidate will contribute creatively and proactively to one or more of these directions.The CandidateWe are looking for candidates who want to pursue cutting-edge research in the wider field of Machine Learning in BioMedicine. A typical background would be a PhD in machine learning, computer science, statistics, bioinformatics or in an-other quantitative field, ideally combining methodologically and applied research (in any field). We are open to early-stage candi-dates who have recently completed their PhD or will do so within the next year  but also to candidates who have already collected initial postdoctoral research experience and are eager to proceed with their scientific career. The position includes ample opportu-nities for advancing a research career, developing academic leadership skills, engaging in international collaborations, and con-tributing to the advancement of medicine through computational research. The university provides an excellent employee benefits package. The expected starting salary is EUR 60,000 to EUR 65,000 per year (gross). Through the ELLIS network or other consortia, there is the option for a research stay abroad in a leading machine learning lab with complementary expertise.Please send your application to sec-aimeduniwien.ac.at. The application e-mail should include a cover letter, CV, and academic transcripts, ideally combined into a single PDF document. All applications received by 5 February 2023 will be considered. Start dates are very flexible"
Data Scientist (m/f/d),NA,2023-01-30 12:11:33,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=iLACpnHWAGAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Machine Learning Reply,Full-time,NA,"Vienna, Austria","At Machine Learning Reply Austria we strive to work on leading-edge data science projects with our clients for which we are seeking Data Science consultants with a strong technical background.Machine Learning Reply, with its sister companies in Italy and Germany and over 8500 employees at Reply globally, is a fast-growing consultancy focused on solving problems with Data Science and the right organizational frameworks as their backbone. We are a tight knit, laid back, but seriously motivated unit that aims to be involved at conferences and in community of practice with our tech partners.We offer tailor-made end-to-end solutions in the Data Science area that cover the entire project life cycle - from initial strategy consulting to data architecture and infrastructure issues to data processing and modeling using machine learning algorithms.We have extensive expertise in the broad Data Science spectrum in all key industries of the German HDAX-companies. With focus on open source... and cloud technologies we enable our customers to successfully introduce and implement new data-driven solutions and to optimize already existing processes and products.TasksYou are responsible for customised end-to-end solutions in the field of data science that cover the entire project cycle at the customer. Data architecture, infrastructure topics or quality assurance with machine learning algorithms are your passion.• Identify and analyse problem solutions and discuss them with the customer.• Propose and discuss effective solutions and develop, optimise and deploy them into production• Develop state-of-the-art algorithms, implement them and automate workflows in an agile environment• Stay up to date on the cutting edge of technology and work together with market-leading technology companies• Be the point of connection between the technical team and management realising business needsWhat we offer you:• We offer you for this position according to the collective agreement for employees in data processing and information technology a gross monthly salary of at least  3215 (Consultant) or  4286 (Senior Consultant) depending on your previous experience• Access to work on projects across industries (large and mid-market companies in Banking, Insurance, Automotive, Retail, etc.)• Very active group social program - including conference funding, team building, group events, Reply Exchange• Recognition for Innovation to foster your personal development• Work in an open, flat environment, within a broad Reply knowledge sharing network (more than 90 autonomous Reply groups across 8 countries)• Office space in downtown Vienna with access to Stammstrecke• Training and certification encouraged• Home-office contracts• State of the art work equipment• Award winning office spaces for an excellent work experience• Public transport ticket within Vienna• Gym-membership subsidy for a gym of your choice• Flexible work environment between client, Reply office and remote work• A degree in computer science, mathematics, physics or comparable and relevant professional experience in the industry• Solid experience with Python or R• Excellent software engineering skills (algorithms and data structures, object-oriented programming, CI/CD, automated testing, optimisation and writing tidy code, etc.)• Sound knowledge of machine learning and statistics, ideally with expertise in at least one of the relevant areas, e.g. NLP, recommender systems, time series, computer vision• Knowledge of cloud services from AWS or Azure, or alternatively experience with on-premise deployment• Experience in prioritising customer needs and creating solutions or applications which bring business value• Excellent English skills, good German skills, and willingness to travel if required by the project"
Machine Learning Pre-Sales Consultant (m/f/d) (Remote within Germany or Austria),NA,2023-01-30 12:11:33,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=ttKfBYSxNHsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Orange Business Services,Full-time,NA,"Vienna, Austria","about the role• Choose your location in Berlin or Frankfurt and work anywhere within Germany or choose your location in Vienna and work anywhere within Austria remotely*• **Become a 'Machine Learning Pre-Sales Consultant (m/f/d)' at Orange Business Services!At Orange Business Services, part of the Orange group, we are looking for reinforcement for our team in Berlin, Frankfurt or Vienna. We are convinced that data is an exceptional but still underutilized resource. We work every day to unlock the full potential of data and achieve positive change.Who are weWe are a full-service provider of big data and cloud solutions. We are pioneers in holistic consulting, planning and implementation of digitization projects, and cover the entire spectrum of services. We are different, creative and courageous - professional and open to new ideas. We are authentic and passionate about what we do.Your Mission• Engage with customers and internal stakeholders in the pre-sales phase•... Present our Data Science/Machine Learning capabilities and use cases• Find ways how our solutions can support our current and future customers• Give webinars and talk about technologies, solutions, and use cases• You are happy to take center stage and are not afraid in front of the camera• Reach out to the Machine Learning community via for example conferences and short marketing videos to explain fascinating solutions and technologies in the field• Represent our Data Science/Machine Learning expertise and support internal stakeholders in framing customer approaches, solutions, and assist with technical expertise in the offer writing process• Work closely with our Sales team and Data Science experts in the creative process of custom solution building• Own the communication and refinement of the technical approach between the stakeholders and the customerYour Profile• You are a natural communicator and presenter• You have a passion for innovative and intelligent solutions that utilize cutting edge technologies• You are a fast and passionate learner• You want to widen your Data Science/Machine Learning expertise and enjoy sharing learned content• You have, ideally, a technical background, with a B.Sc. or higher in natural sciences with a focus on Machine Learning solutions or similar• You have very good English skills (verbally and written, at least C1)• You have good German skills (verbally and written, at least B2)Your Work Environment:• Competent colleagues with extensive experience and expertise in web technologies, big data and cloud services• Cool projects with well-known national and international customers• Steep learning curve through participation in various projects and further training measures• Fitness and wellness discounts• Flat hierarchies and clear, direct communication• Plenty of scope for design and the opportunity to contribute ideas• Flexible working hours, extraordinary team events and some surprises• Good work equipment with Lenovo or Apple• For more Information please visit our career pageAre you curiousThen apply now!We look forward to getting to know you"
Research Scientist (m/f/d) Sustainable Automation Solutions (342799AP),NA,2023-01-30 12:11:34,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=9UZz-H2cUGUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siemens,Full-time,NA,"Vienna, Austria","Siemens Technology is looking for a dynamic ResearchScientist to join our Sustainable Automation Solutions Research Group andsupport our Siemens business units and end customers in Austria. The rightperson will have a strong technical background in IT and OT technologies and apassion for designing industrial solutions from a connectivity / driver levelup to AI-based processing pipelines from concept to completion!Change the future with us!• You will research in the area of industrial software andautomation systems with focus on intelligent systems using machine learning androbotic technologies• Try to solve the most challenging and scalable use cases inindustrial machine learning together with a motivated team of technical,industry and business experts• Complete technical solution co-creation for the developmentand implementation of customer solutions, ideate, architect, design, implementand deploy end-to-end systems• Define, research, and implement Cloud-Edge... applications inmanufacturing industries, from a connectivity / driver level up to (AI-based)processing pipelines• Focus on runtime performance optimizations to deploy AI applicationsin automation environments (e.g. Fast Moving Consumer Goods, Automotive)• Work with other Research Scientists, Software Developers,industry customers, business unit and research partners and system integratorson developing end-to-end industrial automation solutions• Consult with appropriate groups inside and outside ofSiemens AG for complex domestic and international projectsWhat you need to make real what matters.• Masters degree in software/system engineering, computerscience, information technology, electrical engineering or similar (PhD is aplus)• Programming skills: C++, Java, Python, or similar. Atminimum authority in one language and good working knowledge in another. Targetoperating systems: Linux and Windows• Skills in agile software/system engineering methodology undtechnologies for large-scale distributed systems, edge computing and cloudsystems (AWS, Azure), e.g., microservices, event-streaming/messaging, containerorchestration (Docker, Kubernetes), DevOps• Experience building applications using deep learningframeworks like Keras, Tensorflow, PyTorch in either production or researchsettings• Has shipped multiple machine learning products and hasexperience with the machine learning product lifecycle as well as runtimeintegration and performance optimization• Basic knowledge in Siemens Software solutions is a plus (e.g.Tecnomatix ProcessSimulate, Totally Integrated Automation portfolio, PLCSimAdv.)We dont need superheroes, just super minds.• Excellent interpersonal and communication (verbal &written) skills in German and English• Capable of presenting complex technical topics in a clearand structured way, ability to moderate discussions, meetings, and projects• Curiosity to ask questions and find innovative solutions totechnical challengesMake your mark in our exciting world at Siemens!Lucky for us, we are not all the same. Through diversity, wegenerate power. We run on inclusion and compassion. Our combined creativeenergy is fueled by at least 130 nationalities. We celebrate character - nomatter what ethnic background, gender, age, religion, identity, or disability.We will ensure that individuals with disabilities areprovided reasonable accommodation to participate in the job application orinterview process, to perform essential job functions, and to receive otherbenefits and privileges of employment. Please contact us to requestaccommodation.What we offer.Our compensation and benefits package includes a competitivebase annual salary starts at min. EUR 57.000,- and can substantially raise based on your already achievededucation and experience levels. We celebrate the fact that ouremployees are individuals and have different wants and needs. We offer anexcellent company share scheme and employee discounts to name a few. Weencourage the opportunity to discuss flexibility requirements with ourapplicants to encourage agile and remote working.At Siemens we are always challenging ourselves to build abetter future. We need the most innovative and diverse Digital Minds to developtomorrow's reality. Find out more about the Digital world of Siemens here:www.siemens.com/careers/digitalmindsOrganization: TechnologyCompany: Siemens Aktiengesellschaft OesterreichExperience Level: Experienced ProfessionalFull / Part time: Full-time"
Computer Vision & Machine Learning Engineer (m/f/x),2023-01-04,2023-01-30 12:11:34,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=XEDDCMDRyZEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Anyline GmbH,Full-time,NA,"Vienna, Austria","Your missionAre you ready to join an amazing team, building state-of-the-art OCR scanning applications performing over 10 million scans per year A team also actively going beyond state-of-the-art by conducting fundamental research in cooperation with renowned research institutes Then youve come to the right place as we are hiring engineers crafting OCR solutions using computer vision and machine learning technologies.With your experience you will work on the core computer vision and neural network components for our class leading mobile OCR solution.You will develop new algorithms and features, work on prototypes and evaluate which approaches offer the best results. Doing so will involve computer vision, machine learning or a mixture of both.Since data makes the world and Anyline go round, data management for training and evaluation of our novel machine learning approaches will be an integral part of your work. To get the data sorted you will collaborate with our dedicated... data team - your one stop shop to facilitate your work. And in case there are not enough training samples available you will get creative and create synthetic images to bring our neural networks to the next level.However, not every challenge can be solved by training a deep network with millions of samples. Sometimes you will need to get creative with traditional 2D image processing approaches as well.To round it all off, your new innovative algorithms and trained models need to run close to real time on mobile devices of various performance levels. Its an interesting and challenging aspect of crafting mobile scanning solutions.But wait, theres more. Youll even have the opportunity to extend our computer vision ambitions into new and exciting territories beyond our current focus of OCR.Your profile• A passion for image processing and machine learning in the field of computer vision• Experience with modern neural network architectures• Proficient programming skills in C++ and Python• Bonus points if you have programming experience in Lua• Hands on experience with OpenCV, TensorFlow, Numpy• Desire to implement new and innovative ideas• Fluent in English both spoken and writtenWhy us• People & Values: An autonomous company culture, where every employee can change the future! Work with a stellar team where you take over responsibilities from day one.• Benefits: Sponsored lunch with the Anyline Ticket Restaurant Card.• Health: A membership to Austria's largest and most innovative health center.• Social Impact & Volunteering: Each employee gets two complete workdays per year, which can be used to volunteer at any organization.• Events & Feel-Good Initiatives: Numerous company events throughout the year - both onsite and remote! Of course we also have snacks, fresh fruit, great drinks and initiatives like Healthy February & our own smoothie bar.• Learning & Knowledge: We offer time and resources to enable lifelong learning for each employee!• Work-Life Dynamic: At Anyline we offer you the highest level of flexibility because we know that our lives do not neatly fall into a typical 9-5 schedule and that individuals are productive at different times of the day. Further, you can work remotely, work from the office, or have a workation. Everything to improvise and combine your private & professional life.• Public Transport: Sponsored season ticket for the public transport in Austria.• Great office  Vienna: Hybrid set-up meeting rooms, good public transport connections & great lunch options! Bring your dog to the office - our second floor offers doggy beds and toys.• Compensation: For this position, the minimum monthly gross salary is EUR 2.051,- (38.5h/week), in accordance with the collective agreement. We offer a higher salary in line with qualifications and experience"
DevOps for the Data and Analytics Platform (f/m/x),NA,2023-01-30 12:11:35,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=t4VQuZu_AmEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Raiffeisen Bank International AG Jobportal,Full-time,NA,"Vienna, Austria","Are you open to new ideas, do you value creative freedom and live for cultural diversity Do you desire mutual trust and responsibility Would you like to work in a bank that has grown over 125 years and is active as a leading commercial and investment bank in Austria and Central and Eastern Europe (CEE) Then youve found just the right place at Raiffeisen Bank International (RBI).DevOps for the Data and Analytics Platform (f/m/x)Do you want to combine the enthusiasm and flexibility of a start up with the solid background of an established bank Are you interested in data science platforms, Machine Learning and Artificial Intelligence workflows applied in a modern financial institution Then you might be the right person for our team!We take care that innovation is done right within Raiffeisen Bank International (RBI). We intend to further strengthen our international team with ambitious candidates who will support us in our creative push to:• Expand the internal machine... learning and artificial intelligence toolset we provide to Raiffeisen and the international community with current leading-edge solutions• Assist in further development, application & operation of our analytical platformsWhat you can expect:• Design and develop new solutions on the RBI data science platform on AWS• Ensure efficient management of development-, test- and production environments• Implement PySpark Jobs and Engineer Apache Airflow data pipelines in Python and run them on data science platform• Deliver well-tested product increments in close collaboration with other team members• Scripting and automation of repeatable tasks as part of continuous integration• Setup and maintain containerized applications and services in e.g. Dockers• Implement security controls (data controls, user access controls, networking) in close alignment with IT security expertsWhat you bring to the table:• At least 2 - 3 years of experience in working in corporate environment with all its implications on DevOps deliverables, e.g. coding standards, comply with CI/CD pipelines, application of test automation, documentation standards etc.• Experience with cloud infrastructure components• Ideally experience with machine learning frameworks (e.g. MLflow, Kubeflow, Databricks)• Ideally experience with data engineering pipelines (e.g. Airflow)• Work experience in large organizations• Fluent knowledge of English; German is appreciated, but not mandatoryWhat we offer:• A start-up like culture for openness, innovation and agility, with the stability and backing of an international leading bank• Outstanding learning and development opportunities, with a broad set of supported courses• Flexible and family friendly work environment for a proper work-life balance e.g. in home-office mode• Social benefits (e.g. job ticket for public transportation, subsidy for sports and culture, yearly extended health checks, pension scheme, etc.)• EUR 60.000,-- annual gross salary incl. overtime  additional payment according to skills and experienceWe are looking forward to receiving your online application!https://jobs.rbinternational.com"
Senior Machine Learning Engineer (f/m/d) at Seasy,NA,2023-01-30 12:11:35,https://www.google.com/search?q=Machine+Learning+Jobs+Austria&ibp=htl;jobs&sa=X&ved=2ahUKEwjmu6Hc_-_8AhX0JDQIHWo0A1YQutcGKAF6BAgREAU#htivrt=jobs&htidocid=GCUFIaOYo2AAAAAAAAAAAA%3D%3D&fpstate=tldetail,Speedinvest Heroes Consulting GmbH,Full-time,NA,"Vienna, Austria","Seasy is an Austrian maritime startup focused on sailing and boating. They are innovating the sailing industry by creating an online marketplace for sailors and marinas. Currently looking to hire exceptional engineers to join their Graz/Austria TeamIf you like sailing, wed love to have you on board to build the number one boating platform. But even if you didnt sail before, you should join either way. Wed be happy to share with you some sailing adventuresWhat Will You Do• Contribute to our current Machine Learning projects by implementing and designing ML algorithms• Work on the integration of these Machine Learning algorithms into our main product• Work with most renowned researchers in their fields (Austrian Institute of Technology AIT)• You will become a core member of the team and you will collaborate with different colleagues to solve problems and visions of the productWho You Are• Good to have 3+ years of commercial experience.• Experience in end-to-end ML... system development• Experience in cloud computing environments with Heroku and Kubernetes• Familiarities with Front-end and Back-end Technologies (React,GraphQL, Node.js,PostgreSQL and Firebase etc.)• Experience working with Machine learning Stack (Python, Pandas, Anaconda and Image processing etc.)• A bonus would be React Native, Testing experience, feel for good UX• Ability to organise your work in a hybrid on-site/ remote setup• Experience working in an agile team environment• You are a EU citizen and/or resident with a working permit• Having a passion for sailing is a great plus, but not necessary. You will see after your first sailing trip with usWhat We Offer• Career growth opportunities on a personal and professional level• Time flexibility and no timesheets. The outcomes of your work will speak for yourself.• Remote working while still valuing personal relationships is key to us - we also provide you great office spaces in Vienna & Graz - (Flexible Working Hours)• Team sailing trip with a yacht once a year with a live in-house DJ • Work for a company that has a mission to build diverse and inclusive role models for the future• Be part of a very talented, collaborative team that strives to find innovative answers• Competitive package with expected minimum salary of EUR 60,000.00 gross annually. The package will be based on previous work experience, with the possibility of paying a higher salarySounds exciting, right• If you want to participate in a journey full of pleasant surprises and learning opportunities, your timing is perfect.• If you may not meet all of the above requirements, but nevertheless believe that you may be a good fit for the position, please apply anyway.We value diversity of perspective and seek to build an inclusive workplace that welcomes people from all different backgrounds"
