Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Senior Machine Learning Engineer,2023-01-02,2023-01-30 12:13:02,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=Uedck96PdAsAAAAAAAAAAA%3D%3D&fpstate=tldetail,The Boothby Group,Full-time,NA,Botswana,"I am seeking a Senior Machine Learning Engineer to join my client in London, UK working on perception systems for autonomous driving and smart cities. This is an excellent opportunity to join a start-up environment but with zero financial worries as they are financed entirely by the parent organisationwho have a net worth of $100M+.Primary Responsibilities• Research and develop computer vision, ML & multi-modal sensing technologies for perception systems• Support the development of the tech roadmap• Work closely with partnering universitiesRequired experience• PhD in Computer Vision or Vision-based Machine Learning• Top publication record in related areas• Demonstrable interest to work on perception systems• Python, PyTorch, TensorFlow• OpenCVWhats on offer75-100kInterested This is a great opportunity for a PhD educated Senior Machine Learning Engineer. Please apply now for immediate consideration and speak with Chris Wyatt at IC Resources who is recruiting for this... position in London, UK"
"Data Scientist, Python, Machine Learning, Remote, COR4894d",2023-01-12,2023-01-30 12:13:03,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=cR9_M0cmqK0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Beautyk Creative,Full-time,NA,Botswana,"Data Scientist, Python, Machine Learning, Remote, COR4894My client, an innovative, fast-growth start up seeks a Data Scientist to join their team. You'll be joining a company that is set to revolutionize care within a prominent medical sector, possibly saving countless lives in the process.THIS IS A FULLY REMOTE OPPORTUNITYThe RoleThis is an excellent Data Scientist role, working for a London based company who is a fast growing start-up! The Data Scientist will use knowledge of Python and PyTorch, MLOps frameworks and has a background in mathematics or machine learning, to be involved in the maintenance and development of AI medical devices.The CompanyThe Data Scientist will join an award-winning Cloud AI Medical company. The Data Scientist will contribute to a supportive team environment, which rewards hard work and takes pride in having a diverse team. The current work pattern in place is fully remote.BenefitsSome of the benefits on offer for the Data Scientist... include:• Fully Remote• Generous holiday allowance• Excellent company pensionWhat's RequiredThe Ideal candidate for the role will have some of the following:• Prior experience with Python and PyTorch• A good understanding of MLOps frameworks and have a mathematics or machine learning background• Any experience with Cloud platforms like AWS,/Azure knowledge of additional languages and frameworks or excellent problem-solving skills would also be advantageousThe list above is important, but not as important as hiring the right person! So if you don't meet all of the criteria above, but feel the role is of interest, please apply or get in touch today to discuss further.So What's NextIf you are a Data Scientist currently, or looking to harness your career in this direction, and would like to know more about this excellent opportunity, apply now for immediate consideration!Data Scientist , Python and PyTorch, Machine LearningCorriculo Ltd acts as an employment agency and an employment business. #indhigh"
Machine Learning Lead (Principal Level),2023-01-09,2023-01-30 12:13:03,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=DxUy__5qqDwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Guaranteed Tenants Ltd,Full-time,NA,Botswana,"Machine Learning Lead (Principal Level) * Remote Working * 70k-90k * J12448A fantastic opportunity for a Principal Machine Learning Lead to play a strategic role in designing and delivering a programme of work that will develop and share fundamental understanding of the algorithms that underpin online services to help meet Online Safety objectives. This is a senior role in the Data and Innovation Hub, leading a team of engineers and setting strategic direction. You will have a mix of in-depth knowledge of Machine Learning and Deep Learning techniques used in content moderation and/or recommender systems with an ability to communicate this knowledge to various business teams. This will inform work throughout the Online Safety programme including transparency reports and platform monitoring.Knowledge And ExperienceDemonstrable experience in managing a team, including setting strategic direction: experience of leading a team and managing the performance and development of team... members.Expertise in recommender systemsExperience in algorithmic audit, which may include algorithmic assessment, machine learning validation, technical validation, model approval, performance assessment, quality assurance, model risk, monitoring and testing of previously written algorithms, post-production data scienceKnowledge of Python, Scikit learn, Tensorflow or PytorchStrong project management abilities, including excellent organisational skills to manage and prioritise a range of work, projects, and ad hoc requests.Acting as a thought leader within the Machine Learning and Deep Learning community, including through management and development of junior staff and others' projects.Exploring and advocating ways of utilising new ML and DL tools and techniques to tackle business and organisational challenges, drawing on the application of, and innovation in online platforms, academia, and other sectors.Experience in stakeholder management, with demonstrable ability to build and maintain working relationships with a broad range of people, including industry stakeholders and colleagues across Ofcom.Establishing a strong team spirit, demonstrating flexibility and adaptability, and supporting a culture of collaboration and trustIf this sounds like the role for you then please apply to arrange an informal discussion.Please note we can only accept applications from those with current UK working rights for this role, this client cannot offer visa sponsorship.Alternatively, you can refer a friend or colleague by taking part in our fantastic referral schemes! If you have a friend or colleague who would be interested in this role, please refer them to us. For each relevant candidate that you introduce to us (there is no limit) and we place, you will be entitled to our general gift/voucher scheme.Datatech is one of the UK's leading recruitment agencies in the field of analytics and host of the critically acclaimed event, Women in Data UK. For more information visit our website: www.datatech.org.uk "
Machine Learning Product Manager - Next Best Action,2023-01-02,2023-01-30 12:13:03,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=cmk6Y8WtJwgAAAAAAAAAAA%3D%3D&fpstate=tldetail,TRAIN,Full-time,NA,Botswana,"Were making zero carbon happenWere OVO Group, a big family of companies united by a single vision: to get to zero carbon, fast.We call this Plan Zero and it shows how well be fighting the climate crisis and transforming the way people use energy over the next decade. To do this, we need the sharpest minds. Are you up for the challengeDo great green things with OVO EnergySo much has changed since we launched in 2009. Our goal remains the same though: make energy cheaper, greener, and simpler. Just as it was on day one.Everyone belongs at OVOOur aim is to build a diverse and inclusive movement: teams of brilliant people, with unique talents, skills, passions, and experiences.We encourage everyone to join us, whatever your gender identity, race, ethnicity, sexual orientation, age, life experience, or background. So please come as you are we cant wait to meet you.Where in the world of OVO will I be workingAs OVO moves closer to 5m customers, our Data teams enable our... strategy to provide a world leading, carbon net zero, and digitally enabled experience. Use and protection of data is core to OVOs ambition to be Britains decarbonisation partner - helping us better understand our customers and support real time interaction management to strengthen the value of our relationship. Data helps us develop diversified products and services to support carbon free living, both as real time data insight to propositions and as information, as we iterate and test our products and performance.This role reports to the ML Product Lead and supports the vision and management of ML based data products, a cornerstone of OVO decision making. Primarily responsible for the Next Best Action capability the role will also support how we develop ML based data products with the team.What will I be doingYou will be part of an exciting team to ensure data driven insights, machine learning tools and data decisioning frameworks are embedded into the business to meet our stakeholder needs. This is a growing area within data and as a Product Manager you will work with data scientists, analysts and engineers to develop valuable tools, such as Next Best Action (NBA), which ensures a great customer experience drives commercial value and enables our decarbonisation agenda.• Manage OKRs & KPIs for a cross-functional team that supports company priorities reporting on performance and progress• Building relationships with multiple stakeholders across product, commercial and operational teams to collate requirements, prioritise and manage delivery of data driven products• Monitor performance of data products identifying how we can develop and drive additional value for our stakeholders• Support the day-to-day management of data products, with a key focus on Next Best Action, working with exceptionally talented data scientists and engineers to build and maintain critical decision making capability• Working with Data Lead to ensure data products tools have the right interfaces and expertise available for its users across digital and traditional channels• Support development of the multi-product strategy and collaborate with peers and senior stakeholdersIs this the job for me• Proven experience as a product manager, with experience of productising and scaling data science to deliver commercialisation and innovation.• Experience in agile delivery and product management, in a cross functional / matrixed organisation.• Understand advanced analytics and data science and the value of data. Know what the art of the possible is, without necessarily knowing the technical details of how its achieved.• Demonstrable ability to assess opportunities and risks related to current and new products to support business plans.Brilliant Benefits For a World-changing TeamOur people are at the heart of Plan Zero. Thats why we offer plenty of green benefits and progressive policies to make you feel at home.For starters, youll get 34 days of holiday (including bank holidays).Then theres Flex Pay. Its an extra 9% of your salary on top of your core pay to use as you like. You can take it as cash, add to your pension, or choose to spend it on a huge range of flex benefits.Heres a Taster Of Whats On OfferFor your healthWith benefits like a healthcare cash plan or private medical insurance depending on your career level, critical illness cover, life assurance, health assessments, and moreFor your wellbeingWith gym membership, gadget, travel and cyber insurance, workplace ISA, will writing services, DNA testing, dental insurance, and moreFor your lifestyleWith extra holiday buying, discount dining, culture cards, tech loans, and supporting your favourite charities with give-as-you-earn donationsFor your homeGet up to 300 off any OVO Energy plan (when you pay by Direct Debit), plus personal carbon offsetting and great discounts on smart thermostats and EV chargersFor your commuteNab a great deal on ultra-low emission car leasing, plus our cycle to work scheme and public transport season ticket loansWant to hear about our full range of flexible benefits and progressive people policies Our People Team can tell you everything you need to know.Oh, and one last thing...Wed be thrilled if you tick off all our boxes yet we also believe its just as important we tick off all of yours. And if you think you have most of what were looking for but not every single thing, go ahead and hit apply. Wed still love to hear from you"
Data Scientist,2023-01-09,2023-01-30 12:13:04,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=MUR3V8H8aw0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Coca-Cola Company,Full-time,NA,"Gaborone, Botswana","We are looking for a hardworking Data Scientist to join our all-star team at the Coca-Cola Company. The Data Scientist is responsible for discovering the information hidden in vast amounts of data and supporting the business in making smarter decisions thereby driving significant business efficiencies. The primary focus will be in applying data mining techniques, doing statistical analysis, building high quality prediction systems and collaborating with key business stakeholders to optimize and streamline reporting and metrics, and implement solutions to create better business value. You will play a critical role in the growing Data Science Services team, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data... science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization. If you are strong in decision-making, persuasion and have the right experience for the job, then apply for the position of Data Scientist at Coca-Cola Company today! We always seek to recruit best talents globally and annually to match the multinational continuous growth objective. As a global icon and keeper of the worlds most valuable brand, our boundless opportunities attract the very best experienced professionals, like you. Now more than ever is the time to become part of the Coca-Cola Group. One of the reasons our company continues to thrive after 130+ years is having a company culture that supports and rewards behaviours that lead to growth. Our Growth Behaviours, as we call them, are ways of being and working that help to make us successful. Think about how you can bring this to life by sending your CV and Cover letter for your desired role at the Coca-Cola Company"
Director of Data Science,2023-01-25,2023-01-30 12:13:04,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=yjnVeKQ3v_IAAAAAAAAAAA%3D%3D&fpstate=tldetail,IT Consult Services,Full-time,NA,Botswana,"A great opportunity for someone experienced in Bioinformatics/Data Science to join a Biotech looking to improve target discovery and validation.They are seeking a hands-on Director of Data Science with a combination of experience in data analysis, software engineering, and either single-cell or genetics data to enhance data science capabilities and lead the data science team.Responsibilities• Take ownership of projects from beginning to end and oversee progress at the technical level day to day• Identify data types and methods to enhance data science capabilities• Identify insights from data to be leveraged by machine learning methods• Oversee the development of bioinformatics data infrastructure• Mentor the team across data science, bioinformatics, and software developmentRequired• PhD in Bioinformatics, Computational Biology, Data Science, or a related discipline• Proficient python developer• Strong experience with genetics or single-cell data• Experience being a tech... lead on data science projects• Experience leading a team of data scientists or bioinformaticians• Proficient in statistical analysis• Proficient in software development with knowledge of modern software engineering practicesApply now or message me for more information!This position is hybrid working in London so requires applicants to be based in London or able to commute"
Data Engineer,2023-01-24,2023-01-30 12:13:04,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=0WNT4et0OAgAAAAAAAAAAA%3D%3D&fpstate=tldetail,DVS IT,Contractor,NA,Botswana,"Fully RemoteDuties• To transfer data from the multiple asset databases into a single Asset Register one database at a time• To work with the current database owners, under the guidance• and instruction of the Asset Management Programme Board Architect• Validate Data in EBA Test Bed in preparation for upload to EBA production• Undertake User Acceptance Testing (UAT) to ensure that the Asset Register is fit for purpose and accurate• Once all databases are in the Asset Register, work on automating the data feeds in and out to ensure automated updates are carried out• Fully document all actionsRequirementsAPI knowledgeCSV file transferData mapping / moving / extraction / transfer / automationData replication managementDatabase configuration lifecycle supportDatabase installation / upgrade / maintenance / backup / restore / optimisation / troubleshootingDatabase operation / application executionDatabase server installation / upgradeDatabase SQL command... maintenance / configurationJava virtual machine operationTechnical documentation creationUser acceptance testing (UAT) performanceVirtual operating system maintenance / monitoringVMware knowledgeNATO Level Secret Clearance"
Data Scientist,NA,2023-01-30 12:13:05,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=SCn64hUHtisAAAAAAAAAAA%3D%3D&fpstate=tldetail,LSL Property Services plc,Full-time,NA,Botswana,"Trading since 1989, e.surv Chartered Surveyors is the UK's number one residential surveyor and the largest provider of property risk expertise and residential surveying services. To put it into numbers, we complete more than one property inspection every 12 seconds and employ over 600 surveyors from Lands End to John OGroats and Northern Ireland. This gives us the flexibility to offer nationwide coverage combined with invaluable local knowledge.We're part of the LSL Property Services Group PLC which includes household names Your Move and Reeds Rains as well as the mortgage network PRIMIS. We work with lenders, intermediaries, social housing entities and estate agents in addition to private customers.Due to a number of exciting projects here at e.surv we are seeking an experienced Data Scientist. This is a key strategic role in our proposition team and will be responsible for building and managing a new UK wide property attribute data lake to support development of internal... propositions to improve operational efficiencies as well as commercial property data led products and propositions.ResponsibilitiesLead development of the data strategy and execution within the company and ensure its integration and adoption across the business.Creation of the data science roadmap and be accountable for the data project portfolio across the business.Establish actionable KPI's and success metrics along with ensuring there is accurate reporting.Leverage data science tools and techniques to analyse large property attribute datasets that will enable development of custom models and algorithms to uncover property market insights, trends and patterns in the data.Drive the collection of new property attribute datasets as well as the refinement of existing business data sources.Create a data science platform and experiment with techniques inclusive of advanced analytics and capitalising on new data science approaches that can yield new revenue streams.Lead the development of a residential property Automated Valuation Model (AVP) which meets the accuracy requirements of all major high street lenders and credit ratings agencies.Build and lead the team of data engineers and scientistsEngage and manage 3rd party suppliers which are needed to help develop the data portfolioOwn the architecture of the data lake and the technologies used in the creation and management of the dataKnowledge And ExperienceSignificant working experience in a data science capacity and preferably in the property market, or an interest in this field.Successful experience of the implementation of new data science models, tools and techniques that lead to improved business performance.Demonstrable experience in development of residential property Automated Valuation Models.Proficient in use of SQL to query databases and will also be an expert working with both relational and non-relational database systems such as SQL. The candidate must also be highly familiar with modern machine learning techniques for classification and regression as well of knowledge of experimental design and statistical modelling.Exceptional project management skills with an ability to lead a cross-business group in a unified directionDegree in Statistics, Machine Learning, Mathematics, Computer Science, Economics, or any other related quantitative fieldApplyIf you feel you match our requirements and are looking for your next career challenge, or for a confidential discussion on the full details of this role please contact Loren Worrall on 07800705566 or alternatively apply with your CV for a quick response. Our team are also available out of hours on 07794 392858In your Application, please feel free to note which pronouns you use (for example, she/her/hers, he/him/his, they/them/theirs)PRE EMPLOYMENT SCREENING - All of our employees have to pass a Criminal Records Disclosure and Credit Referencing Process in order to work with our lender clients, if you are unsure on this, ask the team and we'll be happy to explain the process.LSL Property Services are dedicated to protecting your data our Recruitment Privacy Notice can be viewed"
Senior Software Engineer - AI / ML,2023-01-09,2023-01-30 12:13:05,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=jlZXvbZqux8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Jobsøgende: Potentiale forløsende lederskab i drift & kundeorienteret virksomheder,Full-time,NA,Botswana,"A Machine Learning and Robotics client we are working with are looking for an experienced Java Engineer with a passion for all things Artifical Intelligence, Machine Learning and Prototyping.Their mission is to create a seamless way for Machines to intelligently interact with the world around them by undertaking fundamental research in the area of computer vision, particularly multi-stero vision systems.Offices based in Oxford with onsite work, salary on offer up to 130k + package.Requirements• Strong Java experience required.• A PhD is highly desirable.• 1st class degree in Mathematics, Computer Science, Engineering (or similar quantitative subject) from a Russell Group university is essential.• Interest and experience in 3D geometry and/or modelling highly regarded, Computer Vision preferred.• Knowledge of ML/AI techniques desirable but not essential.• At least 4 years experience required - either commercial or academic.Offices based in Oxford with onsite work, salary... on offer up to 130k + package.Java Research Engineer - AI / ML"
MLOps Engineer,2023-01-09,2023-01-30 12:13:06,https://www.google.com/search?q=Machine+Learning+Jobs+Botswana&ibp=htl;jobs&sa=X&ved=2ahUKEwj87rmHgPD8AhXSMzQIHdY2AFoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=stKSu6KMmXYAAAAAAAAAAA%3D%3D&fpstate=tldetail,LEO Club Maastricht,Full-time,NA,Botswana,"London (fully remote)105,000 + bonus (DOE)Hyperloop Recruitment have partnered with an exciting technology house who are looking for a MLOps Engineer to join their growing team, on a fully remote basis.The successful candidate will take the lead and drive forward the deployment, life cycle management and monitoring of Machine Learning models, leading up to production.Working closely with the Data Scientists and Engineering team, the MLOps Engineer will be responsible for defining and deploying process and tools for continuous integration and release management for ML, as well as working closely with team members on high performance environments such as clustering and API gateways.Key Skills Required For The Role• Minimum 5 years' commercial experience in a similar role• Strong background in DevOps tools (AWS/Azure) such as EC2, ELB, Route 53, S3• Terraform, Docker, Kubernetes• Strong background in CI/CD deployment• Hands-on experience with Machine Learning tools... including KubeFlow, MLFlow, DVC or Pachyderm• Degree educated in Software Engineering or related subject• Bash, PowershellThe MLOps Engineer position is paying up to 105,000 (DOE) plus a strong benefits package including annual bonus and private healthcare.The role is UK-based fully remote, with the only requirement to attend the office once per quarter. To apply, click here"
