Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Lead Machine Learning Engineer(Data Engineering),2023-01-12,2023-01-30 12:13:18,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=2pQyiOyTOqgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Tide,Full-time,NA,Bulgaria,"Who Are TideAt Tide, were on a mission to save businesses time and money. Were the leading provider of UK SME business accounts and one of the fastest-growing FinTechs in the UK. Using the latest tech, we design solutions with SMEs in mind and our member-driven financial platform is transforming the business banking market. Not only do we offer our members business accounts and related banking services, but also a comprehensive set of highly connected admin tools for businesses.Tide is about doing what you love. Were looking for someone to join us on our exciting scale up journey and be a part of something special. We are wanting passionate Tideans to drive innovation and help build a best-in-class platform to support our members. You will be comfortable in ambiguous situations and will be able to navigate the evolving FinTech environment. Imagine shaping how millions of Tide members discover and engage with business banking platforms and building this on a global scale.What... Were Looking ForYou are a seasoned data engineering professional who is passionate about building scalable data solutions and inspiring others to learn more. You want to join a fast moving company and shape our architecture to help us scale. You have an agile mindset and want to deliver value incrementally.Youll be part of the data leadership team and work closely with our analytics, data science and governance teams in order to deliver data solutions that generate business value.As An Lead Machine Learning Engineer Youll Be• Creating and maintaining ML pipelines to operationalize ML models.• Developing & deploying low latency and highly scalable dockerized micro services.• Collaborating in cross-functional software/architecture design sessions to find the best solutions for the problems that we are facing.• Working with Peer ML engineers who will be responsible for scaling and deploying machine learning models for Tide.• Participating in an agile development team that delivers value iteratively.• Building ML platform to speed up develop & deploy cycle and monitoring of models in production.What Youll Get In Return• 25 days paid annual leave• 3 paid days off for volunteering or L&D activities• Extended maternity and paternity leave covered by the company• Personal L&D budget in the amount of 1000 BGN per year• Additional health & dental insurance• Mental wellbeing platform• Fully covered Multisports card• Food vouchers• Snacks, light food, drinks in the office• WFH equipment allowance• Share optionsWhat Makes You a Great Fit• You have at least 8+ years of development experience• You have experience leading a team of backend developers and/or ML engineers, coaching best practices and architecting solutions.• You have extensive development experience in Python, including development of microservices using e. g. Flask, Django, etc.• You have experience in building data solutions, both batch processes and streaming applications.• You are familiar with event-driven designs, specifically you have worked with Kafka, Pulsar, RabbitMQ, etc. before.• You have experience working in an agile team, dedicated to generating value in an iterative fashion.• You have worked with feature store , ML Observability and automated MLOps systems• Experience in batch processing frameworks.• You have high development standards, especially for code quality, code reviews, unit testing, continuous integration and deployment.• You have experience working with machine learning models before and know about the challenges faced when putting these into production.• Business-level of English and good communication skills.• You have experience with Git and Docker.• You have experience working with ML platforms is a plus.Tidean Ways of WorkingAt Tide, were Member First and Data Driven, but above all, were One Team. Our Working Out of Office (WOO) policy allows you to work from anywhere in the world for up to 90 days a year. We are remote first, but when you do want to meet new people, collaborate with your team or simply hang out with your colleagues, our offices are always available and equipped to the highest standard. We offer flexible working hours and trust our employees to do their work well, at times that suit them and their team.Tide is a place for everyoneAt Tide, we believe that we can only succeed if we let our differences enrich our culture. Our Tideans come from a variety of backgrounds and experience levels. We consider everyone irrespective of their ethnicity, religion, sexual orientation, gender identity, family or parental status, national origin, veteran, neurodiversity status or disability status. We believe its what makes us awesome at solving problems! We are One Team and foster a transparent and inclusive environment, where everyones voice is heard"
Senior Machine Learning Engineer,NA,2023-01-30 12:13:18,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=c1L6RjX190gAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hyperscience,Full-time,NA,"Sofia, Bulgaria (+1 other)","Company DescriptionHyperscience is transforming the future of work to elevate human potential. Our human-centered approach to automation enables a new era of human and machine collaboration that delivers dramatically improved organizational agility, without the legacy cost and burden of change management. By combining data, people, and processes into digital assembly lines, the Hyperscience Platform turns complex processes into simple, configurable workflows. Our industry-leading machine learning technology continuously learns and evolves, to involve humans only when needed. For more information, please visit www.hyperscience.com.Machine Learning (ML) is the core of our effort to automate the future work. We turn ML lab experiments into enterprise-ready AI solutions to solve complex machine perception and natural language understanding problems. This is an opportunity to work on the full lifecycle of an AI solution - you will research cutting-edge techniques in document... understanding, which sits at the intersection of Computer Vision, NLP, and spatial modeling. You will take your idea from research to production and integrate your ideas directly into our product to drive a positive impact for users. Finally, you will build and maintain training, inference, and monitoring pipelines.Responsibilities• Contribute to research efforts in the document understanding and extraction field• Productionize models and auxiliary ML features into the application to serve enterprise customers• Propose engineering and model improvements to refine Hypersciences document processing functionality• Collaborate with team members to build common ML tools, frameworks, and infrastructure• Frame open-ended real world product challenges into new AI-driven features and product offeringsQualifications• Solid understanding of Math and CS fundamentals• Strong analytical skillsKnowledge of modern ML/DL technologies (experience applying ML to real-world projects)• Hands-on experience solving ML challenges in Pytorch• Able to perform applied research projects and bring them to production• Experience with one or more general purpose languages (Java, C/C++, Python, etc)• Demonstrated ability to write high-quality code• Team player with strong communication skills• Proficiency in written and spoken English languageBenefits & Perks• Youll work with some of the best machine learning, software, and test engineers in one of the most innovative tech companies in Sofia• Work from home flexibility• Monthly reimbursement on internet expenses• Monthly budget to cover child care expenses• Up to 6 months of fully paid parental leave used within 3 years of your childs birth• 30 days of paid leave annually to help nurture work-life symbiosis• A great office, with excellent location• Auto assistant for your car• A sports card, covering various options for sport• Additional health insurance package, including extensive medical, dental & vision care• Truly competitive salary• Stock Options• Referral bonusAll job applications will be treated and processed with strict confidentiality and in full compliance with the GDPR provisions. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Hyperscience focuses on SaaS, Enterprise Software, Machine Learning, Data Center Automation, and Big Data. Their company has offices in New York City, New York, London, and Sofia. They have a large team that's between 201-500 employees. To date, Hyperscience has raised $188M of funding; their latest round was closed on October 2020.You can view their website at http://www.hyperscience.com or find them on Twitter, Facebook, and LinkedIn"
Senior Machine Learning Engineer,2023-01-10,2023-01-30 12:13:19,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=iVnPlmzLorcAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,"Sofia, Bulgaria","DescriptionYou are curious, persistent, logical and with a growth mindset  a true techie at heart. You enjoy living by the code of your craft and developing elegant solutions for complex problems. If this sounds like you, this could be the perfect opportunity to join EPAM as Senior Machine Learning Engineer.What Youll Do• Deploy and monitor machine learning algorithms in production environment• Design, create, maintain, troubleshoot, and optimize the performance of complete end-to-end ML deployment lifecycle• Build frameworks for data scientists to accelerate the development of production-grade ML models• Establish and configure CI/CD/CT processes• Identify technical risks and gaps, devise mitigation strategies• Evaluate new tools and techniques• Promote and support MLOps practicesWhat You Have• 3+ years production experience as ML Engineer or Data Engineer• Several years of experience working with one of the major cloud providers (such as AWS, Azure, GCP)•... Experience in Python development and the Python ML ecosystem• Good understanding of the ML fundamentals, data preparation and feature engineering• Experience with automated data pipeline and workflow management tools• Experience with basic software engineering tools, e.g., git, CI/CD environment, PyPi, Docker, Kubernetes• Experience with one of the infrastructure as a code (IoC) frameworks (e.g.: Terraform / CDK TF, Ansible, AWS CloudFormation / AWS CDK, etc.)• Agile development experience• Good analytical and problem-solving skills• Good attention to detail• Open to code reviews and pair programming• Clear, concise communication skills and good command of written and spoken EnglishNice to have• Experience with at least one of the MLOps related platforms or technologies (such as AWS SageMaker, Azure ML, GCP Vertex AI / AI Platform, Databricks MLFlow, Kubeflow, Airflow, Argo Workflow, TensorFlow Extended (TFX), etc.)• Understanding of the Apache Spark ecosystem (Spark SQL, MLlib/Spark ML)We offer• Opportunity to engineer your future• Personal development program that will allow you to be valued for your strengths• Wide range of professional trainings and workshops• Broad projects variety and possible mobility between projects over the time• Collaborate in a multicultural environment and exchange best practices with colleagues around the world• Varied social benefits; Sports, Transportation and Health programs• Employee Stock Purchase Plan• Work-life balance and flexible schedule, team buildings and sport opportunities• Modern office in the new Infinity Tower business center• Remote By Design - we provide you with virtual working environment making you able to be productive and work from any location  being your home, a nice sunny terrace, summer or any of the EPAM offices all around the globeGreat! What's Next• Send us your up-to-date CV or LinkedIn profile, representing your skills and past projects achievements• Well get in touch with you and help you ensure youve identified the most suitable role we have for you based on your strengths and passion• Well invite you for follow up technical conversations with your potential future colleagues and/or project, which can be done face to face in a calm meeting room at our office or via video conferencing call from your cozy place• At the end we will align how we can best proceed further in a mutual agreement• P.S. Want to prepare better and Grow yourself Check our training and development resources and tailor your own PDP  free for any passionate IT professional at https://grow.telescopeai.com"
Senior Machine Learning Engineer,NA,2023-01-30 12:13:19,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=x8oNByUrx7kAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hyperscience,Full-time,NA,"Sofia, Bulgaria","Company DescriptionHyperscience is transforming the future of work to elevate human potential. Our human-centered approach to automation enables a new era of human and machine collaboration that delivers dramatically improved organizational agility, without the legacy cost and burden of change management. By combining data, people, and processes into digital assembly lines, the Hyperscience Platform turns complex processes into simple, configurable workflows. Our industry-leading machine learning technology continuously learns and evolves, to involve humans only when needed. For more information, please visit www.hyperscience.com.Machine Learning (ML) is the core of our effort to automate the future work. We turn ML lab experiments into enterprise-ready AI solutions to solve complex machine perception and natural language understanding problems. This is an opportunity to work on the full lifecycle of an AI solution - you will research cutting-edge techniques in document... understanding, which sits at the intersection of Computer Vision, NLP, and spatial modeling. You will take your idea from research to production and integrate your ideas directly into our product to drive a positive impact for users. Finally, you will build and maintain training, inference, and monitoring pipelines.Responsibilities• Contribute to research efforts in the document understanding and extraction field• Productionize models and auxiliary ML features into the application to serve enterprise customers• Propose engineering and model improvements to refine Hypersciences document processing functionality• Collaborate with team members to build common ML tools, frameworks, and infrastructure• Frame open-ended real world product challenges into new AI-driven features and product offeringsQualifications• Solid understanding of Math and CS fundamentals• Strong analytical skillsKnowledge of modern ML/DL technologies (experience applying ML to real-world projects)• Hands-on experience solving ML challenges in Pytorch• Able to perform applied research projects and bring them to production• Experience with one or more general purpose languages (Java, C/C++, Python, etc)• Demonstrated ability to write high-quality code• Team player with strong communication skills• Proficiency in written and spoken English languageBenefits & Perks• Youll work with some of the best machine learning, software, and test engineers in one of the most innovative tech companies in Sofia• Work from home flexibility• Monthly reimbursement on internet expenses• Monthly budget to cover child care expenses• Up to 6 months of fully paid parental leave used within 3 years of your childs birth• 30 days of paid leave annually to help nurture work-life symbiosis• A great office, with excellent location• Auto assistant for your car• A sports card, covering various options for sport• Additional health insurance package, including extensive medical, dental & vision care• Truly competitive salary• Stock Options• Referral bonusAll job applications will be treated and processed with strict confidentiality and in full compliance with the GDPR provisions. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status"
Senior Machine Learning Engineer,NA,2023-01-30 12:13:19,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=oh7AY2K3tWAAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,"Sofia, Bulgaria","WHY EPAMEPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.DESCRIPTIONYou are curious, persistent, logical and with a growth mindset  a true techie at heart. You enjoy living by the code of your craft and developing elegant solutions for complex problems. If this sounds like you, this could be the perfect opportunity to join EPAM as Senior Machine Learning Engineer.WHAT YOULL DO• Deploy and monitor machine learning algorithms in production... environment• Design, create, maintain, troubleshoot, and optimize the performance of complete end-to-end ML deployment lifecycle• Build frameworks for data scientists to accelerate the development of production-grade ML models• Establish and configure CI/CD/CT processes• Identify technical risks and gaps, devise mitigation strategies• Evaluate new tools and techniques• Promote and support MLOps practicesWHAT YOU HAVE• 3+ years production experience as ML Engineer or Data Engineer• Several years of experience working with one of the major cloud providers (such as AWS, Azure, GCP)• Experience in Python development and the Python ML ecosystem• Good understanding of the ML fundamentals, data preparation and feature engineering• Experience with automated data pipeline and workflow management tools• Experience with basic software engineering tools, e.g., git, CI/CD environment, PyPi, Docker, Kubernetes• Experience with one of the infrastructure as a code (IoC) frameworks (e.g.: Terraform / CDK TF, Ansible, AWS CloudFormation / AWS CDK, etc.)• Agile development experience• Good analytical and problem-solving skills• Good attention to detail• Open to code reviews and pair programming• Clear, concise communication skills and good command of written and spoken EnglishNICE TO HAVE• Experience with at least one of the MLOps related platforms or technologies (such as AWS SageMaker, Azure ML, GCP Vertex AI / AI Platform, Databricks MLFlow, Kubeflow, Airflow, Argo Workflow, TensorFlow Extended (TFX), etc.)• Understanding of the Apache Spark ecosystem (Spark SQL, MLlib/Spark ML)WE OFFER• Opportunity to engineer your future• Personal development program that will allow you to be valued for your strengths• Wide range of professional trainings and workshops• Broad projects variety and possible mobility between projects over the time• Collaborate in a multicultural environment and exchange best practices with colleagues around the world• Varied social benefits; Sports, Transportation and Health programs• Employee Stock Purchase Plan• Work-life balance and flexible schedule, team buildings and sport opportunities• Modern office in the new Infinity Tower business center• Remote By Design - we provide you with virtual working environment making you able to be productive and work from any location  being your home, a nice sunny terrace, summer or any of the EPAM offices all around the globeGREAT! WHAT'S NEXT• Send us your up-to-date CV or LinkedIn profile, representing your skills and past projects achievements• Well get in touch with you and help you ensure youve identified the most suitable role we have for you based on your strengths and passion• Well invite you for follow up technical conversations with your potential future colleagues and/or project, which can be done face to face in a calm meeting room at our office or via video conferencing call from your cozy place• At the end we will align how we can best proceed further in a mutual agreement• P.S. Want to prepare better and Grow yourself Check our training and development resources and tailor your own PDP  free for any passionate IT professional at https://grow.telescopeai.com"
"Senior Product Manager, ML Infrastructure",2023-01-17,2023-01-30 12:13:20,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=IoB7AmnYop0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Hyperscience,Full-time,NA,"Sofia, Bulgaria","Company DescriptionHyperscience is transforming the future of work to elevate human potential. Our human-centered approach to automation enables a new era of human and machine collaboration that delivers dramatically improved organizational agility, without the legacy cost and burden of change management. By combining data, people, and processes into digital assembly lines, the Hyperscience Platform turns complex processes into simple, configurable workflows. Our industry-leading machine learning technology continuously learns and evolves, to involve humans only when needed. For more information, please visit www.hyperscience.com.Job DescriptionThe Product team is the driving force behind Hypersciences mission of connecting human and artificial intelligence to solve tomorrows automation challenges today. Building upon our state-of-the-art intelligent document processing capabilities, we continue to grow our product to automate more complex knowledge worker use cases and enable... clients and partners to build innovative solutions on our platform.As a Senior Product Manager, you will work closely with our clients to gain deep insight into their business processes and automation needs as well as how they manage our AI platform. You will collaborate with Engineering and Design to translate these insights into a product strategy for your area. You will have the opportunity to reimagine how clients interact with ML models on our platform and what the experience of upgrading our platform is. You will collaborate with other product development teams and ML Engineering to take advantage of the flexibility of our Hyperscience Cloud Platform in order to build the right type of ML infrastructure for the future of our platform and bring the latest innovation in AI to solve our clients business problems.Qualifications• 4+ years of experience working in product management• Bachelor's degree in engineering, physics, or another technical field• Natural leadership skills and experience working effectively with local and remote engineering, design, and business teams• Ability to present complex technical ideas to both technical and non-technical audiences• Demonstrated ability to gather user requirements from a number of sources to inform product direction and break down those requirements into actionable user stories• Deep understanding of and empathy for users• Understanding of market trends and competitive landscape and demonstrated ability to incorporate those insights into strategic product decisions• Understanding of UI/UX design concepts and experience partnering with product designNice to have• Masters in Business Administration, engineering, physics, or other technical field• Familiarity with machine learning methods and technologies• Experience working on ML products• Experience in enterprise software developmentBenefits & Perks- Youll work with some of the best machine learning, software, and test engineers in one of the most innovative tech companies in Sofia- Work from home flexibility- Monthly reimbursement on internet expenses- Monthly budget to cover child care expenses- Up to 6 months of fully paid parental leave used within 3 years of your childs birth- 30 days of paid leave annually to help nurture work-life symbiosis- A great office, with excellent location- Auto assistant for your car- A sports card, covering various options for sport- Additional health insurance package, including extensive medical, dental & vision care- Truly competitive salary- Stock Options- Referral bonusAll job applications will be treated and processed with strict confidentiality and in full compliance with the GDPR provisions. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status"
Data Scientist - Risk,NA,2023-01-30 12:13:20,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=PNvkECPfUR8AAAAAAAAAAA%3D%3D&fpstate=tldetail,SumUp,Full-time,NA,"Sofia, Bulgaria","The mission of the risk modelling team is:We develop, serve, maintain and improve ML Models for Fraud and Financial Crime Detection, Prediction and Prevention in SumUpThe team does so by providing real time models and batch applications in the realm of risk and financial crime over the whole SumUp life cycle and products. Together with the risk platform squad the risk modelling team builds the necessary platform foundations for scalable and reliable ML model serving and development in SumUp. The platform enables a global approach supported by local specifics.As part of our data science community the Data Scientist will evaluate and measure machine learning model performance so that eventually they can be trained to make automated models.In the role of Data Scientist you will be part of the Risk Modelling Squad which is the Data Science Team within the Risk Domain of Online Payments. The team currently consists of 6 Data Scientists and one Data Science Lead, where the Data... Scientists are building, deploying and improving Machine Learning Models in both the risk and compliance area.What youll do:• Feature generation• Model experimentation and evaluation• Model deployment• Model monitoring and improvement• Data Analysis and retrieval• Use case exploration and stakeholder communication• Planning, prioritisation, roadmap building• Contribute actively to knowledge exchange in the Data Science chapterYoull be great for this role if you have:• 5+ years of experience in a Machine learning production environment• Experience and interest in project leadership/ownership for DS projects• Python, SQL, Machine LearningIt would be an advantage for this role if you have:• Pyspark• Experience in risk and fraud statistics and experimental designWhy you should join SumUp• Help build a world class risk platform using the latest technologies and industry practices• You will be part of a truly global data science community, with opportunities for collaboration, knowledge sharing, and ongoing training & development.• Entitlement to an L&D budget for attending conferences and external training.• Youll receive 25 days paid leave, increasing with tenure, and paid vacation for certain occasions. Also, our favorite 1 month of paid Sabbatical vacation.• Youll receive an individual learning budget and can take up to 10 days educational leave to expand your skillset.• You'd enjoy other great benefits such as additional health and life insurance, online fitness classes, subsidized Multisport card, Babbel language platform subscription, free shuttle buses from Joliot-Curie metro station, a long list of discounts and more.About SumUpWe believe in the everyday hero.SumUp is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. SumUp does not make hiring or employment decisions on the basis of race, colour, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender identity, sexual orientation, disability, age or any other basis protected by applicable laws or prohibited by company policy. SumUp also strives for a healthy and safe workplace and strictly prohibits harassment of any kind.SumUp will not accept unsolicited resumes from any source other than directly from a candidate"
Senior Machine Learning Engineer,2023-01-16,2023-01-30 12:13:21,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=mtFzWDWWjHwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hyperscience,Full-time,NA,"Sofia, Bulgaria","Company DescriptionHyperscience is transforming the future of work to elevate human potential. Our human-centered approach to automation enables a new era of human and machine collaboration that delivers dramatically improved organizational agility, without the legacy cost and burden of change management. By combining data, people, and processes into digital assembly lines, the Hyperscience Platform turns complex processes into simple, configurable workflows. Our industry-leading machine learning technology continuously learns and evolves, to involve humans only when needed. For more information, please visit www.hyperscience.com.Machine Learning (ML) is the core of our effort to automate the future work. We turn ML lab experiments into enterprise-ready AI solutions to solve complex machine perception and natural language understanding problems. This is an opportunity to work on the full lifecycle of an AI solution - you will research cutting-edge techniques in document... understanding, which sits at the intersection of Computer Vision, NLP, and spatial modeling. You will take your idea from research to production and integrate your ideas directly into our product to drive a positive impact for users. Finally, you will build and maintain training, inference, and monitoring pipelines.Responsibilities• Contribute to research efforts in the document understanding and extraction field• Productionize models and auxiliary ML features into the application to serve enterprise customers• Propose engineering and model improvements to refine Hypersciences document processing functionality• Collaborate with team members to build common ML tools, frameworks, and infrastructure• Frame open-ended real world product challenges into new AI-driven features and product offeringsQualifications• Solid understanding of Math and CS fundamentals• Strong analytical skillsKnowledge of modern ML/DL technologies (experience applying ML to real-world projects)• Hands-on experience solving ML challenges in Pytorch• Able to perform applied research projects and bring them to production• Experience with one or more general purpose languages (Java, C/C++, Python, etc)• Demonstrated ability to write high-quality code• Team player with strong communication skills• Proficiency in written and spoken English languageBenefits & Perks- Youll work with some of the best machine learning, software, and test engineers in one of the most innovative tech companies in Sofia- Work from home flexibility- Monthly reimbursement on internet expenses- Monthly budget to cover child care expenses- Up to 6 months of fully paid parental leave used within 3 years of your childs birth- 30 days of paid leave annually to help nurture work-life symbiosis- A great office, with excellent location- Auto assistant for your car- A sports card, covering various options for sport- Additional health insurance package, including extensive medical, dental & vision care- Truly competitive salary- Stock Options- Referral bonus"
"(Senior) AI Engineer (m/f/d) in Sofia, Bulgaria",2023-01-19,2023-01-30 12:13:21,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=VkQI9fhTp-sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Yoummday,Full-time,NA,"Sofia, Bulgaria","Your missionYou made my day - with our innovative and market-changing platform, we are already giving a large number of people around the world access to a new, flexible and self-determined working world, while at the same time offering our customers a completely virtual and market-revolutionizing customer service through our proprietary platform.To pursue our further growth, we are looking for you as a (Senior) AI Engineer (m/w/d) to design new and develop existing AI applications. We offer you a founder-led, economically successful and strongly growing startup with an open and fun culture. And the treasure of our self-developed, state of the art communication platform and a vast range of available data and challenging AI use cases. According to our work philosophy, you can work from home or from any of our cool offices in Berlin, Munich, Halle or Sofia/Bulgaria.Your Mission• Curiosity to identify applications for state-of-the-art machine learning models (e.g. in the fields of... speech or NLP, optimization)• Development and testing of AI prototypes as part of one of our cross-functional product teams (product & UI, frontend and backend development)• Exchange with customers on requirements for AI applications together with the product team• Conception and implementation of AI architecture principles and ML pipelinesYour profile• Degree in computer science, mathematics, physics or engineering• At least 2 years of experience in machine learning projects• Experience writing modern Python code using ML frameworks and data processing libraries (e.g. PyTorch, Tensorflow, scikit-learn, pandas, numpy, )• Good communication skills in English or German• Eagerness to learn new thingsWhy us• Task: You create your own area of responsibility and expand it through short decision-making processes and a lot of creative freedom• Innovation: An exciting field that wants to develop in a performance-oriented and motivated team and through the latest technologies• Footprint: You will work with us on the three global trends Future of Work, Sustainability and Sharing Economy• Values: We see ourselves as a loyal start-up family, in which we will develop together with authenticity as well as couarge and therefore, sustainably change the world for a better with every step• Work-Life-Balance: Work wherever you want within a flexible time frame - because it is the results that count"
Senior Automation QA Engineer,NA,2023-01-30 12:13:21,https://www.google.com/search?q=Machine+Learning+Jobs+Bulgaria&ibp=htl;jobs&sa=X&ved=2ahUKEwjEmdyOgPD8AhXdIzQIHbSpABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=CtOkBM3EY3MAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hyperscience,Full-time,NA,"Sofia, Bulgaria (+1 other)","Company DescriptionHyperscience is transforming the future of work to elevate human potential. Our human-centered approach to automation enables a new era of human and machine collaboration that delivers dramatically improved organizational agility, without the legacy cost and burden of change management. By combining data, people, and processes into digital assembly lines, the Hyperscience Platform turns complex processes into simple, configurable workflows. Our industry-leading machine learning technology continuously learns and evolves, to involve humans only when needed. For more information, please visit www.hyperscience.com.Job DescriptionFor our QA team in Sofia, we are looking to hire a Senior Automation QA Engineer who will work within our Engineering team and across the full software development life cycle - improving requirements, creating test plans and automating them.You will do so in an environment where squads own their own domains and drive their roadmaps... bottom-up.We believe in bottom-up autonomy with top-down alignment. We look for people who want to contribute their ideas to help us continue to get better technically and in other ways. We also look for people who have a strong sense of team and want to collaborate effectively and support each other.This is an exciting time for Hypersciences product, business and people!You will have the opportunity to influence and deliver on a bold vision for transforming the way organizations model and execute their business processes, and there will be many opportunities for growth along the way.Responsibilities• Writing high-quality test cases both for manual and automated execution• Working closely with the Product Managers to define and clarify the requirements• Migrating manual test cases to automated ones• Maintaining the existing automation test cases• Improving the functionality of our existing automation framework• Mentoring and guiding less experienced QA team members• Contributing to our performance and load automated testing• Executing the regression test suite for the application• Contributing to the improvement of the development and release processSkills required (must have)• At least 4 years of experience in Quality Assurance, with a min of 2 years experience in Automation• Comfortable working in distributed teams and Agile environment• In-depth knowledge of best software testing and QA practices• Excellent verbal and written communication skills in English• Very good coding skills using any object-oriented programming language• Experience with testing frameworks(Junit, Nunit, pytest, etc.)Nice-to-have skills• Experience with Python• Experience working with CI• Experience with WebDriverWhat You Will Achieve• Within your first 30 days:• You will get acquainted and eventually be fully comfortable navigating the test automation codebase, the technology stack, the development processes and org structure within the company.• You will learn the product and will make your first significant contributions to automatically ensure the quality of our products.• Within your first quarter and beyond:• You will be an integral part of the team and a driven, focused self-starter who can navigate a certain amount of ambiguity, and who is not afraid to take a sizable chunk of functionality, analyze it, break it down into testable parts, create testing plans, implement automation tests of those plans and then assume ownership and responsibility over the quality of it.• You will be taking an active role in discussions about possible solutions, different approaches, adoption of different tools and more.Benefits & Perks• Youll work with some of the best machine learning, software, and test engineers in one of the most innovative tech companies in Sofia• Work from home flexibility• Monthly reimbursement on internet expenses• Monthly budget to cover child care expenses• Up to 6 months of fully paid parental leave used within 3 years of your childs birth• 30 days of paid leave annually to help nurture work-life symbiosis• A great office, with excellent location• Auto assistant for your car• A sports card, covering various options for sport• Additional health insurance package, including extensive medical, dental & vision care• Truly competitive salary• Stock Options• Referral bonusAll job applications will be treated and processed with strict confidentiality and in full compliance with the GDPR provisions. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Hyperscience focuses on SaaS, Enterprise Software, Machine Learning, Data Center Automation, and Big Data. Their company has offices in New York City, New York, London, and Sofia. They have a large team that's between 201-500 employees. To date, Hyperscience has raised $188M of funding; their latest round was closed on October 2020.You can view their website at http://www.hyperscience.com or find them on Twitter, Facebook, and LinkedIn"
