Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
AppD Machine Learning Engineer,NA,2023-01-30 12:17:00,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=rrUYDrhMSOYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Cisco,Full-time,NA,"Prague, Czechia","About UsAppDynamics is the Application Intelligence company. With AppDynamics, enterprises have real-time insights into application performance, user performance and business performance so they can move faster in an increasingly sophisticated, software-driven world. Our coordinated suite of products is built on our innovative, enterprise-grade App iQ Platform that enables our customers to make faster decisions that enhance customer engagement and improve operational and business performance. AppDynamics is uniquely positioned to enable enterprises to accelerate their digital transformations by actively monitoring, analyzing, and optimizing complex application environments at scale which has led to proven success and trust with the Global 2000.About You• B.S./M.S. Degree in CS / EE (or related) from a top school• Some experience with applied machine learning algorithms in anomaly detection, root cause analysis, and time series.• Knowledge of Python multi-threaded development•... Knowledge of cloud computing infrastructure (e.g. AWS, Azure, GCP) and their use in practiceAbout the TeamAt AppDynamics, our goal is to make it simple to handle modern, distributed, and extremely complex applications residing in both the cloud and the data center. Our customers run some of the largest web sites in the world, and use our products to monitor and solve applications distributed across thousands of servers.It is our teams responsibility to automate many of the monitoring and troubleshooting tasks using intelligent models and algorithms. We achieve this by developing and operationalizing algorithms and models that extracts useful insights from the extensive amount of data our product collects. We help our customers to spot problems earlier, identify root causes faster, and resolve them sooner - all with fewer efforts. We use machine learning and many statistics tools to mine patterns and anomalies.If you have a passion for searching solution for big data problems, building it out, and then tuning and productizing it to make it operationally rock solid, we want to talk to you!Core Responsibilities• Acquire, clean and structure data from various sources and maintain databases/data systems• Working closely with data scientists to develop and operationalize models and algorithms• Design, develop & troubleshoot complex data pipelines to meet non-functional and functional business requirements• Collaborate with other engineers by reviewing code and designs• Identifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating processes• Support our operations team to ensure that the data science services work well in practice.We connect everything: people, processes, data, and things. We innovate everywhere, taking ambitious risks to craft the technologies that give us smart cities, connected cars, and handheld hospitals. And we do it in style with outstanding personalities who arent afraid to change the way the world works, lives, plays and learns.We are leaders with vision, tech enthusiasts, pop culture aficionados, and we even have a few purple haired rock stars. We celebrate the creativity and diversity that fuels our innovation. We are optimists and we are doers. Recently we have won the #1 employer in the World award.#appdjobs#LI-JP1Cisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis.Cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records"
Machine Learning Engineer,NA,2023-01-30 12:17:00,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=R3rY-IiDTrQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Reckon.eu,Full-time,NA,"Prague, Czechia","Company DescriptionFounded in 2013, Spaceknow, Inc. is an aerospace, Silicon Valley, venture capital-backed startup. Spaceknow works by bringing transparency to the global economy by tracking global economic trends from space through their Analytics-as-a-Service products. The company develops these products for monitoring economic activity for a wide variety of both consumer and enterprise clients.Spaceknow developed a proprietary interface to access multiple imagery providers image archives and data feeds. Currently we have unified access to three operators with new ones being added monthly. Spaceknow is working towards a future where all the worlds imaging platforms are available through our interface.Spaceknow Intelligence product presents an integrated geospatial processing dataflow.Job DescriptionSpaceknow Inc. is seeking senior engineers to join our growing team. Working to advance the state of the art by developing novel machine learning approaches, you will build... self-configuring, self-healing, self-tuning distributed systems and you will deliver developer-centric tools youd love using yourself. Additionally, youll see your code matter by working directly with customers who come to Spaceknow to solve their move valuable business needs.QualificationsYou should have a proven track record of solving difficult problems creatively and enjoy spending your time writing code and producing results. We are a close-knit team, but you will not be managed and must be comfortable working in an unstructured environment that provides the freedom to get things done independently.Additional InformationWhat we offer:• Superb work environment.• Motivating succes bonuses including paid extra times.• 5 weeks of holiday.For more details please contact Martin - galik at spaceknow.com"
Machine Learning Engineer – Data Science,2023-01-20,2023-01-30 12:17:01,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=MbVAvUc_GTgAAAAAAAAAAA%3D%3D&fpstate=tldetail,IDC,Full-time,NA,"Prague, Czechia","Overview IDC is seeking a Machine Learning Engineer who will join our Data Science team in Prague, Czech Republic.The IDC Data Science team applies the most modern technology and methods to connect multiple data streams, discover novel information, and deliver actionable insights to the rest of the company and to our customers. We combine knowledge graphs, natural language processing, machine learning, and data visualization to solve a wide range of problems entailed in providing advanced market intelligence and advisory services.In the Machine Learning Engineer role, you will come up with fresh approaches to address emerging business needs and innovate how insights are derived from data and communicated via a data platform. You will have an opportunity to shape both the product and the role, as we collaborate closely within the team as well as with other engineering and business groups. Responsibilities Design and conduct machine learning experiments, evaluate models as well as the... overall impact on workflowsAdvise on using appropriate methods, tools, and frameworks, share the expertise in the teamFollow advances in the state of the art, keep in touch with the professional communityFocus on inferring original insights and presenting them with novel data storytellingEngage with stakeholders and business partners, improve the level of automation, apply data science best practices to drive efficient delivery of information via a data platform Qualifications QualificationsBachelor's or higher degree or considerable work experience in Artificial Intelligence, Computer Science, Software Engineering, Mathematics, Econometrics, or related fields3+ years of programming in Python, R, Java, Scala, Julia, or other relevant languagesPortfolio of machine learning projects showcasing interesting approaches and experienceExpertise in a choice of programming tools for machine learning and exploratory data analysisExperience with machine learning frameworks and platforms like Tensorflow, Keras, PyTorch, Google Colab, Amazon SageMakerFamiliarity with frameworks and models for natural language processing, such as Hugging Face, spaCy, BERT, GPT-2, GPT-3Familiarity with tools for machine learning on graphs and networks, such as StellarGraph, NetworkXFluency in English and strong communication skills  verbal, written, and ever learningWhat are we offeringInternational environment with daily usage of EnglishTime for self-development + other trainingsFlexible working hours + Home Office (most of the time)5 weeks of vacations + days off during 23.12. -31.12.3 Sick daysCafeteria system, Lunch credit"
Applied Scientist – Machine Learning Engineer,NA,2023-01-30 12:17:01,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=RI7C_HIuZGwAAAAAAAAAAA%3D%3D&fpstate=tldetail,SpaceKnow Inc.,Full-time,NA,Czechia,"SpaceKnow provides transparency to global changes and trends by combining the worlds largest collection of satellite imagery with a proprietary artificial intelligence engine. Our vision is to index the physical world and empower users with near-realtime large-scale analysis to drive decision making.SpaceKnow has two distinct products: a web-based, on-demand geospatial analytics platform (also available through API), as well as a growing suite of economic index offerings.Join a team of passionate Machine Learning Engineers to advance the state of the art in novel machine learning approaches and data science tools for processing satellite images!You should have a proven track record of creatively solving difficult problems and you should enjoy spending your time writing code and producing results. Have experience with big data analysis, image processing, deep neural networks and cloud computation is a great plus.Qualifications• Software development experience in data... manipulation, data mining or prototype development using Python (agile development, software version control, continuous integration, test driven development, pair programming, rapid prototyping)• Data analysis and signal processing skills with an ability to independently prototype machine learning (deep learning) pipelines• Understanding of mathematical modeling, computer vision, statistical analysis, data mining• Skilled in creative, strategic thinking and an ability to propose and deliver simple solutions to complex puzzles• Excellent communication and collaboration skills• Self-motivated and independent• Masters or PhD in computer science, machine learning, data science or signal processingBenefits• Free drinks and food• Work-life balance• Vacation & Paid Time Off• Sick Days• Teambuildings on regular basesTagged as: rapid-prototyping, Test-Driven Development, pair programming"
Machine Learning Engineer – Data Science,2023-01-18,2023-01-30 12:17:02,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=42Q-SI2qigMAAAAAAAAAAA%3D%3D&fpstate=tldetail,UNAVAILABLE,Full-time,NA,"Ostrava, Czechia","OverviewIDC is seeking a Machine Learning Engineer who will join our Data Science team in Prague, Czech Republic.The IDC Data Science team applies the most modern technology and methods to connect multiple data streams, discover novel information, and deliver actionable insights to the rest of the company and to our customers. We combine knowledge graphs, natural language processing, machine learning, and data visualization to solve a wide range of problems entailed in providing advanced market intelligence and advisory services.In the Machine Learning Engineer role, you will come up with fresh approaches to address emerging business needs and innovate how insights are derived from data and communicated via a data platform. You will have an opportunity to shape both the product and the role, as we collaborate closely within the team as well as with other engineering and business groups.Why IDCIDC is the most respected global technology market research firm. We are changing... the way the world thinks about the impact of technology on business and society. Our people, data, and analytics create global technology insights that accelerate customer success. IDC was recognized by the Institute of Industry Analyst Relations (IIAR) as the 2022 Analyst Firm of the Year for the third consecutive year, for delivering critical, timely insights in coordinated efforts around the world, during a time when our customers faced unprecedented challenges.Our collaborative, innovative and entrepreneurial culture is the perfect place for you to discover your future! We are just getting started!Responsibilities• Design and conduct machine learning experiments, evaluate models as well as the overall impact on workflows• Advise on using appropriate methods, tools, and frameworks, share the expertise in the team• Follow advances in the state of the art, keep in touch with the professional community• Focus on inferring original insights and presenting them with novel data storytelling• Engage with stakeholders and business partners, improve the level of automation, apply data science best practices to drive efficient delivery of information via a data platformQualificationsQualifications• Bachelor's or higher degree or considerable work experience in Artificial Intelligence, Computer Science, Software Engineering, Mathematics, Econometrics, or related fields• 3+ years of programming in Python, R, Java, Scala, Julia, or other relevant languages• Portfolio of machine learning projects showcasing interesting approaches and experience• Expertise in a choice of programming tools for machine learning and exploratory data analysis• Experience with machine learning frameworks and platforms like Tensorflow, Keras, PyTorch, Google Colab, Amazon SageMaker• Familiarity with frameworks and models for natural language processing, such as Hugging Face, spaCy, BERT, GPT-2, GPT-3• Familiarity with tools for machine learning on graphs and networks, such as StellarGraph, NetworkX• Fluency in English and strong communication skills  verbal, written, and ever learningWhat are we offering• International environment with daily usage of English• Time for self-development + other trainings• Flexible working hours + Home Office (most of the time)• 5 weeks of vacations + days off during 23.12. -31.12.• 3 Sick days• Cafeteria system, Lunch credit"
Senior Software Engineer for Machine Learning Team,2023-01-25,2023-01-30 12:17:02,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=v0goWJGBmAYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Heureka Group a.s.,Full-time,NA,Czechia,"Senior Software Engineer for Machine Learning Team Mm zjem o poziciHi,we are One Matching Team - Julia, Luk, Martina, Ondra and Sanja. We are looking for a senior software engineer with a strong background in data and preferable experience in building machine learning powered products.The ideal candidate should have a strong background in data science and Python programming. In this role, you will be responsible for the design and maintenance of machine learning models for offer-to-product matching. You will work closely with our stakeholders to understand business needs and develop solutions that drive impact.In addition to technical expertise, we are looking for a candidate who excels in teamwork, learning, and adaptability. Leadership skills are a plus. The ability to work well in a team and share knowledge with colleagues is essential. You should be able to work well in a fast-paced, dynamic environment and be able to adapt quickly to changing requirements.What we... doWe are on a journey to build the best Machine Learning-powered offer-to-product matching in the CEE e-commerce world We have a unique opportunity to get creative and provide our users with a solution that brings translated content and offers from 9 countries, under a single Product Page. This will provide our users with a cross-border shopping experience that hasnt been experienced before in the CEE region.At Heureka Group, we always strive to build an environment of trust, where buyers, sellers and brands can feel confident while using our services. Our team elevates these values to another level, by adding certainty that the buyers will find a variety of products coming from their country, and across the border, so that they can choose the best e-shop for them. You can read more on our blog.RequirementsProven experience in software engineeringExcellent Python knowledgeSome experience with Data Science or Data Engineering or Data AnalyticsStrong algorithmic thinkingWillingness to learn and share your knowledgeAbility to give and take constructive feedbackWillingness to work remotely in an international teamConsidered a plusExperience with Google Cloud Platform or another cloud computing platformExperience with running ML models in productionKnowledge of Kubernetes, Gitlab CI/CD, RabbitMQ, ElasticSearchAbility to lead, inspire, and mentor othersIf you are a self-starter with a passion for solving complex problems using machine learning, we encourage you to apply for this exciting opportunity. See you soonNote: we are primarily an international team, working remotely and communicating fully online. We occasionally meet at the Prague office, or the Ljubljana office. Its up to you where you would like to work from, but we prefer to meet each other from time to time in one of these offices. Our common language is English.What youll get:Opportunity to participate in the development of a product that is currently used by three million unique users per month in two countries. There will be unique technical challenges that you just can't get anywhere else. Opportunity to be part of One Platform visionGreat company culture and open mindsetOpportunity to learn a lot from the huge shared know-how we have in HeurekaSupport you in improving your skills, including participation in training and conferencesOrganized hackathonsWe are working in tribes and teams which consist of developers, product manager and scrum masterFree working hours, working from home, and a lot of other benefits such as cafeteria, meal vouchers, etc.If you are interested in the offer, send us your CV or LinkedIn profile and our recruiter Katka will contact you with the next steps."
Robotic process automation/Machine learning specialist,NA,2023-01-30 12:17:03,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=tbcaBzdNhA0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Thermo Fisher,Full-time,NA,"Brno, Czechia","Thermo Fisher Scientific is the world leader in serving science, with revenues of more than $40 billion and approximately 150,000 employees globally. Our mission is to enable our customers to make the world healthier, cleaner and safer.Robotic process automation and machine learning specialists are responsible for digital transformation solutions of our business processes and community. They design, develop, test, document and implement technological solutions to meet business requirements. The focus is put on digitization and automation of factory related processes. The goal is to achieve breakthrough efficiency improvements, removing barriers in execution and enabling fast, sustainable solutions and long term business growth.What will you work on:• End-to-end implementation, long term sustainability and process documentation of all introduced solutions• Actively searches for continuous improvement in processes• Educates broad operations team and provides effective solutions... proposals in automation and data processing• Ensures accurate change management and project outcome deployment to the broad population of employees and teams• Encourages teamwork within broad Thermo Fisher for efficient cross-site work• Develops and cultivates close relationships between Operations, RnD and ITWho do we look for:• University degree in technical field• ideally 5+ years in data process development, robotic process automation or machine learning• Sophisticated data processing methods knowledge• Proficient in English• Knowledge of project management, data analysis, detailed problem solving and resource planning• Willing to educate and mentor others• willingness to travel regionally and internationally as the need arisesHow do we motivate you• flexible working schedule, 5 weeks of vacation and 3 sick days/year• Brand new Hackerspace room equipped with VR headset, Recording studio for your videos, music or podcasts, Lego Mindstorms, 3D printer, Arduino and much more!• you will be part of a successful international company specialized in high-tech• meal allowance and company canteen with free fruit and vegetables• free Multisport card• annual bonus• pension insurance allowance, possibility of life or health insurance for better prices• personal mobile tariff for a friendly price• possibility to grow in personal skills and professional language (e.g. free English lessons)• modern work environment including relax zones, gym, outside playground and massages in the building• open and friendly company spirit - we have a company rock band, various sport teams etc.!Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation"
Senior Machine Learning Engineer,2023-01-13,2023-01-30 12:17:03,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=mEhM172KN2gAAAAAAAAAAA%3D%3D&fpstate=tldetail,Cisco,Full-time,NA,"Prague, Czechia","Senior Machine Learning EngineerWhat You'll DoWe are looking for an experienced Senior Machine Learning Engineer / Scientist to work in an international environment in downtown Prague, Czech Republic.You will be part of a team focusing on the research and development of email security that discover threats in hundreds of millions of e-mails daily.We expect you to• Work multi-functionally in the fields of Machine Learning, Data Science, and Software Engineering• Be part of a team building scalable AI-driven systems for the detection of sophisticated phishing attacks targeting businesses• Explore data, suggest ideas, build working prototypes in Python, but be also able to build production-grade code• Actively participate in team discussions and code reviews, but also work independently• Act as a resource to less experienced colleagues• Lead medium-sized features from technical design to completion• Be able to communicate with internal and external partners• Contribute to... patentable inventions or conference publications, and collaborate on research challenges with corporate and academic partners across the globeWho You'll Work WithThe Cognitive Intelligence Research and Development (R&D) team within Cisco develops innovative capabilities in the cyber security domain that detect and prevent the misuse of the customer computing infrastructure. With security focus & mentality, we make machine learning work in really big scale. This enables our customers to protect their critical assets against todays and future cyber threats. So, if you share our passion for technology innovation, have experience in relevant technical areas, and love spending your time with data science, machine learning or ML models life cycle, this is the job for you. We look forward to receiving your application and CV.Our requirements for this role:• proficient in English• MSc in computer science or similar (e.g., mathematics or physics with computer science background)• Strong working experience in research or software engineering projects Excitement to collaborate in a diverse multi-functional team to solve customer's needs• Pragmatic, customer result-oriented approach with ability to analyze and decide difficult tradeoffsAn important plus will be:• Experience with cyber threat defense, email security, computer networks• Experience with AWS, Kubernetes• Experience of working in an agile environment• Experience with large-scale systems• Experience with long-term projects Relevant publication record (scientific or industrial conference or journal)• Trackable record of your own open-source contributionsWhy CiscoCome and experience our culture on your own! We offer extensive packet of benefits such as company-paid week for a charity project of your choice, company-sponsored medical care in Prague, pension fund allowance and many others. We connect everything: people, processes, data, and things. We innovate everywhere, taking bold risks to shape the technologies that give us smart cities, connected cars, and handheld hospitals. And we do it in style with outstanding personalities who arent afraid to change the way the world works, lives, plays and learns.#cognitiveintelligence#cognitiveintelligence.Area of InterestEngineer - SoftwareTechnology InterestAI or Artificial Intelligence, Security, Software Development, Testing"
Data Engineer (m/f/d),2023-01-16,2023-01-30 12:17:04,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=bdaavmcv1PMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Omio,Full-time,US$115K–US$180K a year,"Prague, Czechia","Company DescriptionAt Omio, we are Making Travel Easy through Technology! This is a great chance for you to join one of Europes fastest growing travel companies, backed by over 30 million monthly users and the worlds leading tech investors.Job DescriptionYou'll join the Performance Acquisition Engineering Team to develop intelligent marketing systems and customised solutions to help travellers to find and book their dream journeys through various paid channels like SEM, Display, Apps with data-driven solutions, and end-to-end marketing automation.You will design, build and maintain a marketing-related data platform to drive Omio's revenue growth by accelerating customer acquisition. You will be closely working with Performance Marketing managers (SEM, Display, and Affiliate and Apps), Marketing Data Scientists, Data Analysts, Product Managers, and Backend Engineers to build best-in-class data pipelines that provide meaningful insights from large data sets to drive large investment... decisions.Responsibilities:Be the expert on end-to-end data flow for Paid Marketing channels (SEM, Display and Affiliate and Apps)Design, build and maintain complex and efficient data pipelines to transform raw data sources into accurate and reliable business reportingUnderstand the business context and impact by collaborating with marketing stakeholders, data analysts, and product managers while developing new data pipelines (ETL)Bridge the gap between business requirements and ETL logic by troubleshooting data discrepancies and implementing scalable solutionsOptimise and improve existing data pipelines to support our growth, initiatives around performance, and scalabilityEnd-to-end responsibility on running the data platform, alongside data and SRE teams, monitoring key metrics around availability, performance, and data delivery to ensure SLAs are met with internal stakeholdersDrive incidents resolution and root cause investigation within postmortems establishing a culture of collaboration between teamsQualificationsExperience in designing medium-to-large data engineering solutionsStrong experience in large scale data processing (Apache Spark) and Scala/JavaExpertise in SQL, especially within cloud-based data warehouses like Google BigQueryFamiliarity with both stream and batch data processing patternsNice to have:Knowledge of job orchestrators (Apache Airflow or similar)Working experience with Python, GCP(or similar cloud technologies)Knowledge of with Microservice Architecture and REST APIsExperience in API integration of online advertising platforms (Google Ads, Apple, Facebook)Understanding of distributed systems, CI/CD, and container technologiesAdditional InformationLearn more about Omio:Our StoryOur Technical StackHere at Omio, we know that no two people are alike, and thats a great thing. Diversity in culture, thought and background has been key to growing our product beyond borders to reach millions of users from all over the world. Thats why we believe in giving equal opportunity to all, regardless of race, gender, religion, sexual orientation, age or disability"
Machine Learning Scientist (EMEA Remote),NA,2023-01-30 12:17:04,https://www.google.com/search?q=Machine+Learning+Jobs+Czech+Republic&ibp=htl;jobs&sa=X&ved=2ahUKEwjttef4gPD8AhUXIjQIHfLuAcUQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=EVW5dT8VIWAAAAAAAAAAAA%3D%3D&fpstate=tldetail,"Turnitin, LLC",Full-time,NA,"Prague, Czechia","Company DescriptionWhen you join Turnitin, you'll be welcomed into a company that is a recognized innovator in the global education space. For more than 20 years, Turnitin has partnered with educational institutions to promote honesty, consistency, and fairness across all subject areas and assessment types. Over 16,000 academic institutions, publishers, and corporations use our services: Gradescope by Turnitin, iThenticate, Turnitin Feedback Studio, Turnitin Originality, Turnitin Similarity, ExamSoft, and ProctorExam.Turnitin has offices in Australia, India, Indonesia, Japan, Korea, Mexico, the Netherlands, the Philippines, Ukraine, the United Kingdom, and the United States. Our diverse community of colleagues are all unified by a shared desire to make a difference in education. Come join us, and let's make change together.Job DescriptionAt Turnitin, our mission is to ensure academic integrity, help students get informative feedback, and surface insights about teaching and... learning. Our products are used at over 15,000 schools in over 150 countries, covering over 30M students. The company was founded almost 20 years ago, and was recently acquired by Advance (owner of Conde Nast and Discovery Network). Turnitin is headquartered in Oakland, with offices in Pittsburgh, Newcastle (UK), Utrecht (Netherlands), Seoul (South Korea) and Melbourne (Australia).Machine Learning is integral to the continued success of our company. Our product roadmap is exciting and ambitious. You will join a team of curious, helpful, and independent scientists and engineers, united by a commitment to deliver cutting-edge, well-engineered ML systems.We are in a unique position to deliver Machine Learning useful to hundreds of thousands of instructors teaching millions of students around the world. Over 1B papers have been submitted to the Turnitin platform, and over 100M answers have been graded on Gradescope by Turnitin. Machine Learning powers automated feedback on student writing, investigates authorship of student writing, groups handwritten student answers by content, and plays a crucial role in many back-end processes.We expect Machine Learning Scientists to be versatile and have a well balanced set of skills. You will focus on model training, with significant capacity for research (developing novel model architectures), dataset construction, and model hardening (preparing the model and code for production pipelines).Day-to-day, your responsibilities are to:• Work with domain experts and product owners to determine what questions should be asked and what questions can be answered.• Read research papers, understand requisite math, experiment with new models, write up approaches and results.• Find the right model architecture and hyperparameters, effectively debugging along the way.• Find optimal hyperparameters and expand dataset/build heuristics until edge cases are handled correctly.• Answer questions and make trainable datasets from raw data, using efficient SQL queries and scripting languages, visualizing when necessary.• Write clean, efficient, and modular code, with automated tests and appropriate documentation.• Stay up to date with technology, make good technological choices, and be able to explain them to the organization.Qualifications• Experience working with text data to build predictive models, both supervised and unsupervised.• A strong understanding of the math and statistics behind machine learning theory and fluency with general machine learning domains such as classification, regression, unsupervised clustering and recommender engines.• Software engineering background with 2-3 years of experience (we use Python, SQL, Unix-based systems, git, and github for collaboration and review).• Strong machine learning development skills (we use sklearn, keras, tensorflow, pytorch, jupyter).• Bachelors or Master's degree in Computer Science, Statistics, Applied Mathematics or related field, with relevant industry experience, or outstanding previous achievements in this role.• Good communication and teamwork skills.• Good written and spoken English.Would be a plus• Familiarity in coding for at-scale production, ranging from best practices to building back-end API services or stand-alone libraries• Familiarity in front-end frameworks (e.g. React, Javascript, Flask) to build simple demos, POCs and prototypes• Experience working with image data to build predictive models.Additional InformationOur Mission is to ensure the integrity of global education and meaningfully improve learning outcomes.Our Values underpin everything we do.• Customer Centric - We realize our mission to ensure integrity and improve learning outcomes by putting educators and learners at the center of everything we do.• Passion for Learning - We seek out teammates that are constantly learning and growing and build a workplace which enables them to do so.• Integrity - We believe integrity is the heartbeat of Turnitin. It shapes our products, the way we treat each other, and how we work with our customers and vendors.• Action & Ownership - We have a bias toward action and empower teammates to make decisions.• One Team - We strive to break down silos, collaborate effectively, and celebrate each others successes.• Global Mindset - We respect local cultures and embrace diversity. We think globally and act locally to maximize our impact on education.Seeing Beyond the Job AdAt Turnitin, we recognize its unrealistic for candidates to fulfill 100% of the criteria in a job ad. We encourage you to apply if you meet the majority of the requirements because we know that skills evolve over time. If youre willing to learn and evolve alongside us, join our team!Turnitin, LLC is committed to the policy that all persons have equal access to its programs, facilities and employment. All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran"
