Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Data Scientist,2023-01-26,2023-01-30 12:17:56,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=Z2wRuzAXj5sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Paymob Solutions,Full-time,NA,"Cairo, Egypt","Job briefWe are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company We will rely on you to build data products to extract valuable business insights In this role you should be highly analytical with a knack for analysis math and statistics Critical thinking and problem-solving skills are essential for interpreting data We also want to see a passion for machine-learning deep learning and research Your goal will be to help our company build data product Responsibilities Design implement and maintain novel machine learning deep learning algorithms and build AI engines Analyze large amounts of information to discover trends and patterns Build predictive models and machine-learning deep learning algorithms Present information using data visualization techniques Propose solutions and strategies to business challenges Collaborate with engineering and product development teams Work with large data sets to manipulate... transform and enrich structured data and identify classifiers patterns and trends • Proven experience as a Data Scientist for at least 2 years.• Work experience in training neural networks (including CNNs, GNNs, RNNs, Transformers).• Knowledge of python and SQL;• Experience working effectively with science, data processing, and software engineering teams.• Analytical mind and business acumen• Strong math skills (e.g. statistics, algebra)• Excellent communication and presentation skills• BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred"
Senior Machine Learning Engineer,NA,2023-01-30 12:17:56,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=p5z54-YDBpsAAAAAAAAAAA%3D%3D&fpstate=tldetail,LyRise,Full-time,NA,Egypt,"Machine Learning Engineer responsibilities include:Designing and developing machine learning and deep learning systemsRunning machine learning tests and experimentsImplementing appropriate ML algorithmsJob briefWe are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products.Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, wed like to meet you.Your ultimate goal will be to shape and build efficient self-learning applications.ResponsibilitiesStudy and transform data science prototypesDesign machine learning systemsResearch and implement appropriate ML algorithms and toolsDevelop machine learning applications according to requirementsSelect appropriate datasets and data representation methodsRun machine... learning tests and experimentsPerform statistical analysis and fine-tuning using test resultsTrain and retrain systems when necessaryExtend existing ML libraries and frameworksKeep abreast of developments in the fieldRequirementsProven experience as a Machine Learning Engineer or similar roleUnderstanding of data structures, data modeling and software architectureDeep knowledge of math, probability, statistics and algorithmsAbility to write robust code in Python, Java and RFamiliarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)Excellent communication skillsAbility to work in a teamOutstanding analytical and problem-solving skillsBSc in Computer Science, Mathematics or similar field; Masters degree is a plus• Source: WorkableLyRise focuses on South East Asia, Europe, Canada, Middle East, and London, UK. Their company has offices in Delaware and Cairo Governorate. They have a small team that's between 11-50 employees.You can view their website at https://www.lyrise.ai or find them on LinkedIn"
Machine Learning OPs Engineer - CDA,NA,2023-01-30 12:17:57,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=B6FvSrkdPIUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Contact Centers Company (CCC),Full-time,NA,"Cairo, Egypt","MissionMachine Learning Operations Engineer position with focus on Deep Learning SLAM CalibrationResponsibilities Build data pipelines to support AI deployment for Automotive Design architecture and tool selection Identify and evaluate new technologies to improve performance, maintainability and reliability Apply software engineering best practices, including CI/CD, test automation etc. Ensure SW auditability, versioning, and data security Work closely with data engineers and optimize data and SW delivery processEducation / Training BSCs or MSc in Electrical engineering specialised in Computer VisionProfessional Experience 1-15 yrs of ExperienceLanguages Arabic English"
Machine Learning Engineer (Remote),2023-01-12,2023-01-30 12:17:57,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=sJP15A_lhf0AAAAAAAAAAA%3D%3D&fpstate=tldetail,MonetizeMore,Contractor,NA,Egypt,"MonetizeMore builds industry-leading ad technology that is seen by more than 300M+ people per month. The company has been running for 12 years achieving consistent double-digit growth each year with a team of 280+ team members spread across the globe.MonetizeMore offers location and schedule freedom to every one of its team members. That means that you would have the lifestyle autonomy to choose to work from anywhere in the world, during the time of day you prefer. This new-age work lifestyle would enable you to engineer your ideal lifestyle. Say goodbye to endless commutes, stuffy business attire, and the arbitrary 9 to 5 work-day. Take your life back into your hands by joining the MonetizeMore team!What youll do:• Build new algorithms and modeling techniques to advance the newest ideas in ad optimization.• Leverage the large scale amount of data we collect, to improve the efficiency of the multi-billion advertising impression market on the Internet.• Work will have a... positive impact for millions of people.Who you are:• Proven experience with production implementation. Building and maintaining the feedback loop between the ML model, collecting data, re-running the model, and re-deploying the model in production.• At least 3 years of hands-on software engineering experience building complex solutions to real-world problems at scale.• Strong practical experience on at least one Data Management Paradigm (Relational, Document or Graph)• Ability to perform exploratory data analysis on data to form hypothesis• Experience with automated testing and continuous integration.• Exposure to AWS or other cloud platforms.• Experience working on an Agile team.• Experience working on Docker and Kubernetes.• English language fluency• Good communication skills, self motivated.• Degree in Computer Science, mathematics or related field with a specialization on machine learning or equivalent experience.Nice to have:• Web development experience.• Experience developing advertising technology• High performance ratings on Kaggle or other public ML competitions.What we offer:• Competitive Salary: Our salary formula adjusts to your cost of living and experience.• Work remotely: Live and work wherever you like!• Flexible working hours: You have the autonomy to set your own schedule• Retreats: We meet in person for company get-togethers.• Career Growth and TrainingsIf you think you are a good fit. Please apply on this side bar and give specific reasons what sets you apart. We hire individuals, not robots so dont be afraid to show a little personality.We make hiring decisions based on your experience, skills and passion. Please note that interviews are conducted virtually.NmEnXIfCDb"
Python and Javascript Machine Learning Engineer,2023-01-15,2023-01-30 12:17:58,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=dDQNEuFNidkAAAAAAAAAAA%3D%3D&fpstate=tldetail,GetTechForce.com,Full-time,NA,"Cairo, Egypt","At Get tech force we help companies build their teams We currently have 40 remote developers in Egypt and are looking to expand our team now by looking for a team of remote Python Developers The role will be Monday to Friday as the main development hub is in Europe Join us and Work on an award-winning platform that processes billions of dollars every day Be on a team that s responsible for company-wide top priority projects Deliver reliable software on an agile team striving for continuous integration automated testing and code reviews Contribute innovative ideas to improve the daily trading experience of thousands of customers Improve yourself and your team through education and continuous learning Machine Learning Engineer (NLP - Natural Language Processing):- Experience in implementing OpenAI API- Design machine learning systems, especially for NLP tasks- Research and implement machine learning algorithms and tools.- Run ML tests and experiments- Perform statistical analysis and... fine-tune test resultsTools and language:Data warehouse (BigQuery)SQL databaseProgramming language: Python and JavascriptExperience with MLOps tools, for example, Weights & BiasesExperience with Bubble.io is a plus"
Machine Learning Engineer /Remote/ - Hiring Immediately,2023-01-12,2023-01-30 12:17:58,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=UUizVXGHlyEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Monetizemore,Full-time,NA,"Cairo, Egypt","We are looking for a capable Machine Learning Engineer (Remote) to join our dynamic team at MonetizeMore in Cairo.Growing your career as a Full Time Machine Learning Engineer (Remote) is an incredible opportunity to develop useful skills.If you are strong in adaptability, decision-making and have the right drive for the job, then apply for the position of Machine Learning Engineer (Remote) at MonetizeMore today!MonetizeMore builds industry-leading ad technology that is seen by more than 300M+ people per month. The company has been running for 12 years achieving consistent double-digit growth each year with a team of 280+ team members spread across the globe.MonetizeMore offers location and schedule freedom to every one of its team members. That means that you would have the lifestyle autonomy to choose to work from anywhere in the world, during the time of day you prefer. This new-age work lifestyle would enable you to engineer your ideal lifestyle. Say goodbye to endless... commutes, stuffy business attire, and the arbitrary 9 to 5 work-day. Take your life back into your hands by joining the MonetizeMore team!What youll do:• Build new algorithms and modeling techniques to advance the newest ideas in ad optimization.• Leverage the large scale amount of data we collect, to improve the efficiency of the multi-billion advertising impression market on the Internet.• Work will have a positive impact for millions of people.Who you are:• Proven experience with production implementation. Building and maintaining the feedback loop between the ML model, collecting data, re-running the model, and re-deploying the model in production.• At least 3 years of hands-on software engineering experience building complex solutions to real-world problems at scale.• Strong practical experience on at least one Data Management Paradigm (Relational, Document or Graph)• Ability to perform exploratory data analysis on data to form hypothesis• Experience with automated testing and continuous integration.• Exposure to AWS or other cloud platforms.• Experience working on an Agile team.• Experience working on Docker and Kubernetes.• English language fluency• Good communication skills, self motivated.• Degree in Computer Science, mathematics or related field with a specialization on machine learning or equivalent experience.Nice to have:• Web development experience.• Experience developing advertising technology• High performance ratings on Kaggle or other public ML competitions.What we offer:• Competitive Salary: Our salary formula adjusts to your cost of living and experience.• Work remotely: Live and work wherever you like!• Flexible working hours: You have the autonomy to set your own schedule• Retreats: We meet in person for company get-togethers.• Career Growth and TrainingsIf you think you are a good fit. Please apply on this side bar and give specific reasons what sets you apart. We hire individuals, not robots so dont be afraid to show a little personality.We make hiring decisions based on your experience, skills and passion. Please note that interviews are conducted virtually.Benefits of working as a Machine Learning Engineer (Remote) in Cairo: Company offers great benefits Opportunities to grow Advantageous package Remote Work opportunity"
Senior Machine Learning Engineer (Computer Vision),NA,2023-01-30 12:17:58,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=oPNL-saMORgAAAAAAAAAAA%3D%3D&fpstate=tldetail,LyRise,Full-time,NA,"Cairo Governorate, Egypt","As a lead Machine Learning (ML) engineer you will be responsible to lead a team to bring the productSkills:• worked with at least one of the recent architectures like ResNet, Fast/Faster R-CNN, SSD, Yolo, MobileNets to perform object detection/localization and image segmentation.• knowledgeable about the intricate details of convolution and should have created own models either from scratch or based on existing models like inception, vgg etc.• familiar with TensorFlow and the top level frameworks like TF-Slim, Keras.• broader background in other Machine Learning areas like regression and multinomial logistic regression and familiarity on taking the models to mobile platforms is highly desired.• deep knowledge in Computer Vision and should be extremely familiar/hands-on implementing histogram equalization, adaptive equalization, contour detection, watershed algorithm, dilation, erosion techniques.• The candidate should be proficient in coding, particularly using Python and... C++.Qualification:• Ideally a Ph.D. in the area of deep learning is desired but not required.• Candidates with Masters in the same area are also encouraged to apply.Previous work experience, particularly in the area of object detection, localization and image segmentation and computer vision is highly desirable.LyRise focuses on South East Asia, Europe, Canada, Middle East, and London, UK. Their company has offices in Delaware and Cairo Governorate. They have a small team that's between 11-50 employees.You can view their website at https://www.lyrise.ai or find them on LinkedIn"
DELL Egypt Internship | Data Scientist Undergraduate Intern,NA,2023-01-30 12:17:59,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=WFmsyE0fqncAAAAAAAAAAA%3D%3D&fpstate=tldetail,Dell,Internship,NA,Egypt,"DELLJob DescriptionAs an Undergraduate Intern, you will work with a cross-functional global team to research, build and apply state-of-the-art machine learning and deep learning technologies.Duties and ResponsibilitiesYour main responsibilities in this role include the following:• Join the team in performing all the phases of a data science project: business understanding, data understanding and preparation, exploratory analysis, modeling, model evaluation, communicating results and business value of a model to the product leadership and finally deploying your data product.• Work with development teams & business groups to ensure models can be implemented as part of a delivered solution replicable across many clients.• Keep up to date with the latest developments in the field by continuous learning and proactively champion promising new methods relevant to the problems at hand.• Develop the ability to explain and present results to stakeholders.Job Requirements• 2nd or... 3rd year university student, majoring in Data Science, Computer Science or similar discipline.• Familiarity with at least one scripting language such as Python and experience with Python libraries (such as numpy, pandas, etc)• Strong applied mathematical and statistical skills regardless of the tools.• Demonstrated familiarity with ML and DL algorithms, diverse types of data and sources, different types of learning models, diverse learning settings.• Familiarity with visualization tools (Power BI, Tableau, Qlikview, etc.).• Demonstrated ability to propose novel solutions to problems, performing experiments to show feasibility of their solutions, and working to refine the solutions into a real-world context.• Strong analytical, written, and verbal communication skills.Desirable Skills• Familiarity with ML libraries (such as SKLearn, MADlib, etc) and with ML frameworks (such as TensorFlow, Keras, etc)• Familiarity with using query languages such as SQL.• Ability to communicate well with senior-level team membersJob DetailsCompany: DELLEmployment Type: InternshipJob Location: Cairo, EgyptApplyRelevant Links:• Analyst• Cairo jobs• Dell careers• Engineering• internships in Egypt• IT jobHave questionsJoin us 24Seven Jobtalk and get answers on any topic"
Machine Learning With Tensorflow Session Lead,NA,2023-01-30 12:17:59,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=J3_EEp2g3xUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Udacity,Full-time,NA,"Cairo, Egypt","Position overview: Udacity is seeking a talented Instructor/Mentor to manage and facilitate an online/blended Intro to Machine Learning with Tensorflow program. These programmes are run in partnership with the Ministry of Communications and Information Technology in Egypt. (Type of employment: contract/remote).As a Session Lead/Instructor, you will be meeting virtually on a weekly basis with your students for group work, activities and short lectures. During the week, students are expected to study an estimated 10 hours on their Nanodegree programs on their own, and you will be expected to respond to their technical questions and check-in with them to make sure they are making progress. Required skills/qualifications:• Fluency in Arabic is a must• Proficiency in English both written and spoken• 2+ years of working experience related to the below skills set• Intermediate Python• Statistics and probability• Machine learning algorithms• Supervised Learning• Unsupervised... learning• Deep Learning - Neural Network Design - TensorFlowResponsibilities:• Managing weekly Connect sessions with students according to Udacity guidelines• Creating the Udacity Connect session agenda & notes• Coordinating between the students and the Udacity Connect team• Reporting to Udacity the weekly overall attendance status of students & observations about each session• Being present at every Connect session over Zoom, helping students introduce themselves, organizing students in groups and keeping track of timeLearn more about the Session Lead Guidelines. Why should you apply• Work remotely as an External Contractor• Earn competitive hourly additional income working from the comfort of your own home• Contribute to a vibrant, international student and Mentor community• Stay updated with the latest in cutting-edge technologiesUdacity's mission is to train the world's workforce in the careers of the future. We partner with leading companies to learn how technology is transforming industries, then teach the critical tech skills that individuals need for new and better jobs, and companies are looking for in their workforce. With Nanodegree programs ranging from AI and Azure to Data Science, Robotic Process Automation, and Cybersecurity, our online training platform helps even the busiest learners prepare themselves for the most in-demand tech roles. Udacity's unique learning model of real-world projects and experts and mentors available 24/7 enables an unprecedented degree of engagement with our students, and we are with them through every step of their learning journeyfrom the first moment a marketing team member might answer a question, to the penultimate moment when a career team member receives word that a graduate has gotten a new job. Always putting Students First guides us as we continue our mission to bring the highest quality learning possible, to as many learners as we can possibly reach. Learn more about Udacity's Values Students First - Better Together - Entrepreneurial - Data Driven - Candid and Direct - Talent ObsessedUdacity is committed to creating economic empowerment and a more diverse and equitable world. We have partnered with AT&T, Google, Lyft, Microsoft, Accenture and more to provide over 22,000 scholarships this year to those from communities under-represented in tech. To ensure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, color, religion, sex, gender, gender identity or expression, sexual orientation, marital status, national origin, ancestry, disability, medical condition (including genetic information), age, veteran status or military status, denial of pregnancy disability leave or reasonable accommodation. Udacity's Terms of Use and Privacy Policy"
Data Science & A.I./ML Lead,NA,2023-01-30 12:17:59,https://www.google.com/search?q=Machine+Learning+Jobs+Egypt&ibp=htl;jobs&sa=X&ved=2ahUKEwiByLKTgfD8AhXVMDQIHSEvAGMQutcGKAF6BAgaEAU#htivrt=jobs&htidocid=18OW9ZmTytIAAAAAAAAAAA%3D%3D&fpstate=tldetail,LyRise,Contractor,NA,"Cairo Governorate, Egypt","You will have ownership of the direction of this business A.I. platform. This will include how to employ machine learning, deep learning and data science as well as our business A.I. Factory roadmap.What you will do:• Define A.I. strategy and R&D roadmap, aligning them with the broader company strategy• Be a technical expert in Machine / Deep Learning and Data Science• Collaborate closely with the leadership team, especially our Chief Technology Officer, Chief Product Officer and the backend architect• Oversee and support all A.I.-related development, ensuring quality of output and efficiency• Decide on, build and manage an in-house AI R&D team• Hands-on ownership in A.I.-related development.Required Skills:• 8+ years of commercial experience of both AI research and AI development, preferably with a related academic background (MS or Ph.D. is preferred)• Technical expertise in a range of areas of A.I. and application domains• A track record of delivering AI projects which... created value to the business• A pragmatic approach to employing AI techniques, conducting AI research and building systems which are• Strong technical expertise in the AWS technology stack, R & Python• A very good understanding of people analytics (technology, processes, KPIs)LyRise focuses on South East Asia, Europe, Canada, Middle East, and London, UK. Their company has offices in Delaware and Cairo Governorate. They have a small team that's between 11-50 employees.You can view their website at https://www.lyrise.ai or find them on LinkedIn"
