Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer (m/f/d),2023-01-15,2023-01-15 11:03:26,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=i_OuTFcj0Q4AAAAAAAAAAA%3D%3D&fpstate=tldetail,AMAI GmbH,Full-time,NA,"Karlsruhe, Germany","Who we areWe are an interdisciplinary team of AI experts from Karlsruhe with the mission to support European companies in integrating machine learning into their products and processes. As of the next possible date, we are looking for you as Machine Learning Engineer (m/f/d). As part of the team, you will be an expert in data and machine learning. Let's make the world a little bit smarter together.What you do• Technology selection, concept creation and implementation of machine learning and deep learning projects• Modeling and evaluation of various algorithms to solve customer problemsWhat you bring• Completed computer science studies (or similar)• At best first project experience in IT or AI projects• Good knowledge of Python, C++, MLOps or Java• Experience in the application of algorithms e.B. for object recognition, feature extraction/representation, symbol and text classification• At best, cloud service providers experience (AWS, Azure, Google Cloud)• Dealing with... tools such as .B. OpenCV, scikit-learn, PyTorch or Tensorflow, Keras• Interest in new challenges• Fluent German (at least C1 level) and good English skills, both written and spokenWhat we offer• Exciting, cross-German projects within different domains• Exchange of ideas and knowledge transfer around the topic of Machine Learning• Fair payment including flexible working hours• Independent work• 40-hour job with a healthy work-life balance• A working environment focused on Machine Learning• Company events, such as game afternoons, after-work drinks or Christmas party• Choice of home office or remote work and if you are in the office: free drinks, snacks and fresh fruitWe have caught your interest Then apply now with your entire application documents (cover letter, resume and references).If you have any questions, please do not hesitate to contact Kieu Anh Nguyen at careeram.ai"
Senior Researcher - Machine Learning for Molecules,NA,2023-01-15 11:03:27,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=3nJHN77Re6wAAAAAAAAAAA%3D%3D&fpstate=tldetail,Microsoft,Full-time,NA,"Berlin, Germany","Over the coming decade, deep learning looks set to have a transformational impact on the natural sciences. The consequences are potentially far-reaching and could dramatically improve our ability to model and predict natural phenomena over widely varying scales of space and time. Our AI4Science team encompasses world experts in machine learning, quantum physics, computational chemistry, molecular biology, fluid dynamics, software engineering, and other disciplines, who are working together to tackle some of the most pressing challenges in this field. We are looking for talented people to join us.For our lab in Berlin, Germany, we are seeking exceptional Senior Researcher candidates in the areas of Machine Learning for Quantum Chemistry and/or Molecular Dynamics. The successful applicant is expected to contribute to a program of research in the development of machine-learning-based ab-initio methods, sampling methods and coarse-graining methods that have the potential to transform... how we simulate quantum and classical properties of molecules. This is an exceptional opportunity to drive ambitious research in a highly collaborative, diverse and global team of other researchers and engineers, and to push the state of the art in machine learning learning for molecular modelling.There is no closing deadline for this post. The post will be filled once suitable candidates are found so if you are interested, please apply as soon as possible. When submitting your application, include your CV with a list of publications as an attachment.Candidates are sought from a range of seniorities, after their PhD has been completed, with postdoctoral experience or early group leader / assistant professor level.Read more about AI4Science:AI4Science Web Site Microsoft Research AI4Science - Microsoft ResearchAI4Science Blog AI4Science to empower the fifth paradigm of scientific discovery - Microsoft Research"
(Senior) Machine Learning Engineer,2022-12-22,2023-01-15 11:03:28,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=_uhWpDwZ6M8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Snke OS GmbH,Full-time,NA,"Munich, Germany","Snke OS is a universally deployable digital B2B platform, founded in 2020 & headquartered in Munich. Emerging technologies continue to drive a digital transformation in the healthcare economy. Our founders recognized the potential for value creation by decoupling & deploying their best-in-class platform & team so that other companies can scale up & innovate efficiently. Fueled by AI & big data analytics, Snke OS delivers the platform & infrastructure that enables partners across the healthcare industry to deploy digital solutions for safer & more efficient interventions.The 150-person Snke OS team brings a wealth of experience to the new company with backgrounds in large platforms, digital health & software-driven medical technology. Lets impact the industry together! We are looking for pioneers to lead fast & lead first with Snke OS.(Senior) Machine Learning EngineerWHAT TO EXPECTFor our ambitious and growing Data Intelligence department, we are looking for a senior... algorithm developer with a strong background in state-of-the-art machine learning methods.In this position, you will• work on learning-based solutions for a variety of tasks in medical data analysis with a particular focus on the processing of medical images and videos (e.g. image segmentation, object detection and more)• exploit the ever increasing amount of medical data in order to push the limits of intelligent software components for medical procedure support• have the chance to drive your creative ideas from initial prototypes up to their final product release• share your knowledge and provide technical guidance to your colleagues in the development team• ultimately have impact on the daily work of medical professionals around the worldWHAT YOU OFFER• Education in mathematics, physics, computer science or similar background• Profound demonstrated experience in using modern machine learning methods along with classic computer vision approaches to solve challenging problems in the area of image processing• Ideally, you have worked on a PhD in a relevant area or gained this experience during a range of projects in an industrial setting• Strong mathematical background and interest, allowing you to understand modern machine learning methods in all their details, and making you eager to adapt and further develop these methods in your daily work• Good confidence in using the Python ecosystem for efficient prototyping of your ideas• Strong interest and skills in software engineering and object oriented programming (ideally in C++), allowing you to integrate your algorithms within a complex software framework• Eagerness to be part of a high-skilled, dynamic team where your talent is both, challenged and supported• Fluency in English and ideally German (or willingness to learn German)WHAT WE OFFER• Centrally located, modern work spaces• 30 days of vacation plus 24.12. and 31.12.• Flexible working hours as well as hybrid work model within Germany• Secure bicycle storage room• Restaurant, coffee shop on-site• Regular after-work, team & company events• Great 212m roof terrace• International team of supportive colleagues• Comprehensive training and continuing education opportunitiesInterested Then we are looking forward to receiving your online application!Contact person: Daniel Sypli"
(Senior) Machine Learning Engineer/Researcher (m/f/d),NA,2023-01-15 11:03:28,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=yuuuFUg1eB8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Huawei Research Center Germany & Austria,Full-time,NA,"Munich, Germany","Huawei is a leading global information and communications technology (ICT) solutions provider. Driven by a commitment to operations, ongoing innovation, and open collaboration, we have established a competitive ICT portfolio of end-to-end solutions in Telecom and enterprise networks, Devices and Cloud technology and services. Our ICT solutions, products and services are used in more than 170 countries and regions, serving over one-third of the world's population. With 197,000 employees, Huawei is committed to develop the future information society and build a Better Connected World.Huawei's Munich Research Center is responsible for advanced technology research, architectural development, design and strategic engineering of our products.The size of our cloud platform is gaining momentum and it is already planet scale. Huawei Cloud is one of the largest and fastest-growing platforms in the world. It has strong presence with over 40 availability zones located across 4 continents and... 23 geographical regions, covering locations such as Germany, Hong Kong, South Africa, or Brazil, among others.Now we are looking for a:(Senior) Machine Learning Engineer/Researcher (m/f/d)Our teams mission is to develop new intelligent tools aimed at SRE and cloud maintenance operators to enable them to quickly detect anomalies thanks to the use of artificial intelligence when cloud services are slow or unresponsive. We analyze observability data from Huawei Cloud to detect glitches which impact customers, identify their root cause within seconds, and automatically fix problems, when possible.If you are enthusiastic about tackling real-world problems which require engineering and theoretical approaches to be solved, and you love to work with a dynamic group of people driven by challenges, come and join us!INNOVATION FIELDTo drive reliability, we are seeking for a (Senior) Machine Learning Engineer/Researcher to join the Ultra-scale AIOps Lab which is distributed across Dublin, Munich, and Shenzhen Research Centers. This team is entrusted with developing key data mining and machine learning algorithms for Huawei Cloud. You will take systematic approaches to solve operation problems, dissect how large-scale, complicated systems work, and feel a great satisfaction from making continuous improvements.Responsibilities• Use deep learning and machine learning to create scalable solutions for business problems• Develop new tools using cutting edge technology focusing on efficiency and automation• Work closely with the AIOps team to jointly develop innovative tools driven by AI• Build ML systems in production settings• Collaborate with colleagues from science, engineering, and business backgroundsRequirements• PhD in Computer Science or related fields• Extensive years of experience as an ML, data scientist or data engineer• Experience with statistical software (e.g., Pandas, R) and programming languages (e.g., Python, Java).• Hands-on expertise with ML libraries (e.g., Scikit-Learn, TensorFlow, Keras)• Experience with applying machine learning on large-scale datasets.• Experience with fast prototyping• Demonstrated ability to solve challenging engineering problems is required.• Fluent written and spoken English.By applying to this position, you agree with our RECRUITMENT PRIVACY STATEMENT. You can read in full our recruitment privacy statement via the link below.http://career.huawei.com/reccampportal/portal/hrd/weurecall.htmlWhat you can expect• Our culture is characterized by innovative power and team spirit as well as the intensive exchange of knowledge and experience within our global network.• We offer you a competitive compensation package and a broad range of training opportunities. Many online and face-to-face training programs.• Self-responsible work in a competent, motivated and constantly growing team.If you are enthusiastic in shaping Huaweis Munich Research Center together with a multicultural team of highly skilled Engineers and Researchers, feel free to contact us. Driving future technologies focused on the customer experience is our main mission. Apply now!Please send your application and CV (incl. cover letter and reference letters) in English"
Senior Radar Machine Learning Engineer (f/m/d),NA,2023-01-15 11:03:29,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=4hBu0_irGy4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Aptiv,Full-time,NA,"Wuppertal, Germany","About the PositionAptiv is one of the leading Automotive suppliers and the forefront of solving mobilitys toughest challenges. As a large technology company, we are looking for a new talent for one of our leading Tech Centers for Artificial Intelligence in Wuppertal, Germany. We offer the chance to work in a challenging technical environment where science is transferred into real products. There, you can work together with a fantastic, passionate young, international team of technical experts from around the globe to develop new sensors, algorithms and platforms to shape the future of mobility.Good perception is essential to extract the necessary information about the environment for future autonomous vehicles. We are looking for a passionate AI/ML engineer with a deep understanding for technology. The candidate shall have the capability to transfer the latest AI/ML techniques to combine it with Aptivs latest radar sensor technology to create market leading perception solutions... In order to turn ideas into prototypes, demonstrations and finally into products, the candidate needs to have a strong hands-on spirit. You will be working with exciting new sensor technology of one of the leading automotive radar suppliers.Your Background• Master or Ph.D. in science, technology, physics, engineering and mathematics or a related field• At least 3 years of professional experience in a research oriented environment or in industry, preferably in the area of radar technology and / or AI / ML• Excellent analytical skills and a good mathematical background with deep mathematical understanding• Fluent in modern programming languages, such as C/C++, Python, Cuda or R• Experience in one or more of the following fields:• Modern radar signal processing methods• Deep learning and other modern machine learning methods• Good English language skills and preferably proficient German language skillsBonus• Experience in developing software as part of a team• Experience with deep learning toolkits like Theano, Pytorch, Tensor Flow, etc.• Experience in the field of real-time and embedded systems• Autonomous driving or ADAS experience• Familiarity with CUDA, Git, CMake, continuous integration tools• Proven track record of publications in relevant conferences (CVPR, NIPS, ICCV, ICRA, Fusion, ...)Aptiv Benefits• In addition to an attractive compensation package, Aptiv offers 30 days of vacation• A secure, permanent employment awaits you with the opportunity for continuous internal development in an international environment• Access to internal and external training, coaching and certifications to help you develop your skills and knowledge• We provide special recognition for innovation and outstanding performance• A very international environment and cooperation with experts at eye level awaits you• You have the chance to get involved in CSR activities• At Aptiv, you will have the opportunity to actively shape the future of mobility with state-of-the-art technology (e.g. e-mobility and autonomous driving) in partnership with almost all global OEMsSome See Differences. We See Perspectives That Make Us Stronger.Diversity and Inclusion are sources of innovation and creativity, both of which are essential to Aptivs success. Everyday our diverse team comes together, drives innovation, pursues solutions, and meets challenges using their unique abilities, perspectives and talents, changing what tomorrow brings. When you join our team, youll get encouraged to think boldly, express your viewpoint and innovate as a matter of habit.Some See Technology. We See a Way to Make Connections.At Aptiv, we dont just see the world differently; we work to change reality. That means developing technology that rewrites the rules of whats possible in the pursuit of making transportation safer, greener and more connected. Today there are more than 180,000 of us globally, located in 46 countries, and united by one mission. Join the movement and together, lets change tomorrow.Are you interested in this job Awesome! We look forward to receiving your application. Please include your certificates and a transcript with your grades from university.If you have any questions or would like to find out more about the position and Aptiv, please contact Ms. Viktoria Behm, Talent Acquisition Specialist. She is happy to assist you and is available at 00 49 202 291 2430 or by e-mail at viktoria.behmaptiv.com.Applications from severely disabled persons and persons of equal status will be given preferential consideration in the event of equal suitability.Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidatesAptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law"
"Engineer, Computer Vision and Machine Learning",NA,2023-01-15 11:03:29,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=lYZwyqd08aAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Outrider,Full-time,NA,Germany,"The companyOutrider is a software company that is automating distribution yards with electric, self-driving trucks. Our system eliminates manual tasks that are hazardous and repetitive while it improves safety and efficiency. Outriders mission is to drive the rapid adoption of sustainable freight transportation. We are a private company founded in 2018 and backed by NEA, 8VC, Koch Disruptive Technologies, and other top-tier investors. Our customers are Fortune 200 companies and our autonomous trucks are already running in distribution yards. For more information, visit www.outrider.aiThe roleWere searching for a computer vision and machine learning engineer with at least 3 years experience developing algorithms and training models for one of the following: object detection, tracking, segmentation, pose estimation, and classification of obstacle types (vehicle, truck, pedestrian, etc.).The Engineer, Computer Vision & Machine Learning, will join a team that is developing the... next-generation perception stack for The Outrider System. The team is working on interesting and challenging problems in pose estimation and object detection using LIDAR, RADAR, vision, and GNSS/INS.The engineer in this role will help drive the development of perception capabilities by owning the full development lifecycle model, from dataset curation and model development to integration with the perception pipeline.The Engineer, Computer Vision & Machine Learning will report to the Manager of Machine Learning and develop perception-based software capabilities through all phases of Outrider's pilot and deployment programs. This position plays an essential role in helping deliver a reliable, profitable, performant, safety-critical system -- it offers a very talented software engineer the chance to help develop a market-defining enterprise product that combines autonomous vehicle technology with a software-as-a-service (SaaS) business model.The ideal candidate will embrace our goal to drive zero-emission, self-driving vehicle adoption, and help us realize our potential to define, build, and lead a new category of robotic automation for the enterprise.Duties and responsibilities• Develop and train models for applications such as object detection, tracking, classification, segmentation, and pose estimation• Evaluate model performance• Incorporate models in perception algorithms• Integrate models into production-vehicle perception systems• Maintain training, validation, and testing sets across customer sites and weather conditions• Be responsible for the full software engineering lifecycle: requirements, design, source code implementation, unit test, integration, and system test• Travel and perform fieldwork, depending on initial customer locations (up to 10%)Required qualifications• 3+ years of professional experience training, evaluating, and deploying models for object detection, segmentation, and pose estimation with a deep learning framework such as PyTorch or Tensorflow• 3+ years of professional C++ and Python experience• Experience working on a team in a Linux environment and targeting embedded deployment• Masters degree in computer science or relevant field with exposure to classic and modern computer vision techniques• Experience with at least one of the following: vision, LIDAR, radar, or thermal sensing technologyIdeal qualifications• AWS experience with S3, SQS, Lambda, DynamoDB, and EC2• Experience with docker• ROS / software for ground robotic systems• Experience with embedded computer vision• Prior experience designing annotation ontologies and working with data labeling vendors• FOSS libraries/frameworks such as OpenCV, the Point Cloud Library (PCL), and similar packages• FOSS tools supporting software engineering, such as CMake, continuous integration packages, the Google test framework and others• PhD and relevant publications and patentsAt Outrider, we believe in cultivating an environment where there is diversity of perspectives, experiences, and knowledge with the expectation that we thrive in an inclusive environment. Outrider is committed to a workforce where everyone's opportunities are limitless regardless of race, national origin, gender, age, religion, disability, veteran status, or any others that are protected by law.To protect yourself against the increasing number of recruiting scams, please make sure that you are communicating with Outrider Technologies, Inc. or one of its employees. The only way to communicate with us is through our corporate website at www.outrider.ai, through corporate emails utilizing our domain name of outrider.ai, and through our job board at jobs.lever.co/outrider. Be vigilant when checking domains because imitators often make very small changes to trick the eye. Additionally, please know that Outrider does not use text messaging or public messaging platforms, such as Telegram or Whatsapp, to communicate with candidates and Outrider will never ask an employment candidate for financial information or for payment of any kind.Outrider focuses on Industrial, Hybrid Vehicles, and Logistics / Transportation / Shipping. Their company has offices in Denver and Golden. They have a small team that's between 11-50 employees. To date, Outrider has raised $8.118M of funding; their latest round was closed on July 2018.You can view their website at https://www.outrider.ai or find them on Twitter and LinkedIn"
"(Senior) Software Engineer, Machine Learning - Fintech (all genders)",NA,2023-01-15 11:03:30,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=XNE6d1hbJR4AAAAAAAAAAA%3D%3D&fpstate=tldetail,"Delivery Hero, Delivery Hero",Full-time,NA,"Berlin, Germany","Be our next Hero! - Join the worlds leading local delivery platform.We are looking for a (Senior) Software Engineer, Machine Learning (all genders) to join our Risk tribe in FinTech team on our journey to always deliver amazing experiences.You will work with a cross functional team of engineers and data scientists. You will be involved in understanding the business problems, designing and researching the technical solutions, and making them production-ready.If you're an experienced Machine Learning Engineer and a creative problem solver who is hungry for a new adventure, an international workplace is waiting for you in the heart of Berlin!Your mission:• Engineer a state-of-art ML platform for training, serving, and experimentation• Creating, deploying and maintaining highly performant, reliable and scalable services to score millions of transactions for fraud prevention every day in multi-region set-up.• Set standards for engineering excellence by following best practices... and providing mentorship.• Assist domain leads to set the technical vision and strategy.• Evaluate complex technical setups & design patterns, identify performance vs. cost trade-offs and provide technical advice.• Drive technical learning sessions and initiatives.Your heroic skills:• 5+ years of engineering experience, at least 3 of them developing machine learning projects and pipelines.• Experience with building/maintaining a large scale ML platform with 100s of models in production• Deep understanding of Python and its ecosystem, especially oriented to data science and Machine Learning (including data libraries such as pandas, scikit, pyspark, FastAPI), SQL/NoSQL databases, Serverless infrastructure and tools.• Apply best practices of software engineering for monitoring, observability, designing, OOP concept to build and improve the system in house.• Good understanding of Machine Learning and Statistical methods, AB testing, practical usage of ML libraries (e.g. scikit, xgboost, lgbm etc.), and tools (e.g. mlflow, sagemaker, vertex ai, etc.)• Ability to build scalable and cost-effective ML pipelines using cloud services (in AWS or GCP). Experience with workflow management tools (e.g. Airflow).• Good understanding of Big Data tools and technologies such as Redshift, BigQuery, Spark, Kafka, Athena etc• Knowledge of ""Infrastructure as code"" and containerization.• Experience in developing, deploying, and supporting services-based enterprise cloud solutions on GCP and/or AWS using Kubernetes• Experience with CI/CD build pipelines, integrated tests, and test-driven development• Hands-on experience with Terraform, Linux, Git, Docker, Helm• Having passion about good code quality and maintainability.• Excellent communicator who builds collaborative relationships with technical and non-technical partnersNice to have:• Familiarity with Datadog/ ArgoCDAbout us:As the worlds leading local delivery platform, our mission is to deliver an amazing experience, fast, easy, and to your door. From prepared meals to groceries, flowers, coffee, medicine we deliver whatever you need. We operate in over 72 countries across Asia, Europe, Latin America, the Middle East and Africa and are also pioneering quick commerce, the next generation of e-commerce. As one of Europes largest tech platforms, we work with a global ecosystem of employees, riders, and partners, and are at the forefront of innovation.As one of our Heroes, youll work in an international and dynamic environment, with other Heroes from every corner of the globe where you can grow and develop your career with the right support, every step of the way. We are building a company that future generations can be proud of and are committed to welcoming everyone to our table. Delivery Hero has a lot to offer when it comes to benefits: we want to empower our Heroes and that means caring about all aspects of their wellbeing, such as: career, community, social, physical and financial. Learn more about our benefits at Delivery Hero here.At Delivery Hero, we believe diversity and inclusion are key to creating not only an exciting product, but also an amazing customer and employee experience. Fostering this starts with hiring -- therefore we do not discriminate on the basis of racial identities, religious beliefs, color, national origin, gender identities or expressions, sexual orientations, age, marital or disability statuses, or any other aspect that makes you, you. Just be yourself and we cant wait to see what value you bring to the role. We're as interested in your character as we are in your talent.Have we sparked your interest If you are looking for an environment where our company DNA is defined by our values and People Leader Principles, please apply and send us your CV using the online form. Please note, we do not accept applications via email"
Junior Machine Learning Scientist (f/m/d),NA,2023-01-15 11:03:31,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=z3A8qXr0mVYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Kineo GmbH,Full-time,NA,"Berlin, Germany","We are Kineo, a Berlin-based tech startup developing machine learning solutions that bring real, tangible business value to our clients. Through our expertise, mindset, culture and most importantly with your help we are turning the AI landscape upside down. Are you up for the challengeOur proposition to you• We vouch to create a space where you can explore different sets of complex problems and data across industries and verticals.• To support you in your personal development, everyone at Kineo has a mentor. When you grow, so does Kineo.• Your decisions matter! You will not have a boss who decides things for you. At Kineo we believe that decisions are best made locally, by the people closest to the problem at hand.• Transparent salary and career planning from day one.• A beautiful office in the centre of Kreuzberg, with tons of benefits, such as free drinks, snacks, consoles etc.• Flexible, family-friendly work environment - we have parents in the team and support... them.Success in the role means that you will have• After 2 months: You established yourself as a member of the team and have already contributed to one of our client projects. You have a clear understanding of how we work and can independently navigate our technical architecture.• After 6 months: You are a key member of the team and fully involved in the development of a client project. You will have made notable contributions to our codebase and internal processes.• After 12-24 months: In collaboration with internal science and engineering resources, you lead the development of a client-facing application from the workshop phase to production. You are a trusted expert in a wide variety of machine learning algorithms and you are able to transfer that knowledge to more junior members of the team.Your Character Traits• Strong inner drive to get things done: youre not waiting for others to manage or tell you what to do. You are self-driven and you like to work autonomously.• You hate boxes: You dont stop when your thing is done, and you dont point to the other side. Instead, you are eager to learn and support in areas that may not be your core expertise.• Quality ambassador: you combine an obsession with quality with a highly pragmatic prioritisation of tasks to maximize your project throughput.• Exceptional communicator: you have excellent communication, presentation and interpersonal skills that enable you to quickly establish an emotional bond.You fit in with our team culture if you• Enjoy working in an environment that combines pragmatic, commercial thinking with a strong desire to learn and grow together. We value team players, not data ninjas.• Have a highly ambitious, curious and driven mindset while being able to convey humility and respect for different opinions.• Feel like a global citizen with a strong passion for openness and diversity.• See open feedback, accountability and independent thinking as the foundation for exceptional (team) work.Tasks• You will work as part of smaller teams of 2-3 people on developing machine learning solutions with our clients.• You will conceptualize and implement algorithmic solutions to challenging business problems. This includes prototyping and productionizing of machine learning solutions, and also defining and analysing product use cases together with the customer.• You will own machine learning solutions from the first drop of raw data, all the way into production serving millions of inference requests.Requirements• An advanced quantitative degree - e.g Mathematics, Statistics, Computer Science or related fields. Strong knowledge of theoretical math and CS.• Knowledge of working with large structured and unstructured data sets. Knowledge of data engineering tools like Apache Spark is an advantage.• Strong programming skills in Python. We love other languages too, but Python is what we (and you) will use.• Experience in using a wide range of ML frameworks such as SKLearn, Tensorflow, Torch in production. Experience with domain specific libraries like OpenCV, HuggingFace etc are an advantage.• Excellent written and verbal communication, with the ability to work cross-functionally with non-scientific experts.Last but not least, keep in mind that we are hiring value based, not skill based. That being said, please tell us the following in your contact message:• Why we would love to work with you• Why you want to work with us"
Machine Learning Staff Engineer,NA,2023-01-15 11:03:31,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=dUmXTWb-dVkAAAAAAAAAAA%3D%3D&fpstate=tldetail,SumUp,Full-time,NA,"Berlin, Germany","As an ML Engineer in the Lending Tribe, youll play an essential role in supporting a relatively new SumUp product to grow to the next level. Youre going to be part of a team where the objectives are to understand the financial behavior of our customers deeply to assess their credit risk, predict their probability of defaulting during a loan, and identify their affordability. These objectives contribute directly to the profitability and the scale that our product will reach.We empower our engineers to make significant decisions from the moment we understand the business challenges to implementing each piece of the system, ensuring incremental changes through fast iterations. As a Staff Engineer, you will have the opportunity to foster high standards that will influence the SumUp Data ecosystem.What youll do• Excel in ML architecture and documentation to support the team with a clear understanding of what and how to deliver.• Develop high-quality code for our ML pipelines.•... Engage in modelling to ensure good engineering practices in their development cycle.• Engage with the ML Platform of SumUp, both technically and supporting the relationship, to ensure the Lending tribe contributes to the platform's evolution.• Establish a solid practice to evaluate Data Quality and Consistency.Youll be great for this role if you have a solid experience with the following• AWS Services (infra, data, network, sagemaker)• Python• ML libraries (pyspark, pandas, pytorch, scikit-learn)• Transactional Database (Postgres)• Data Lake• Data warehousingWould be a differential if you have experience with• Data Analyses: Statistics and Probability knowledge to engage better with the Data Scientist's hypothesis.• Credit Scoring on Payments or Banking industries.• Data Scientist background to understand their common pain points• Infra as a Code (K8s, ArgoCD, GitHub Actions)Why you should join SumUp• Were a truly global team of 3000+ people from 60+ countries, spread across 3 continents.• You'll have the opportunity to make an impact as we work in flat hierarchies.• You'll attend global offsites and regular team events.• Youll receive a budget for attending conferences and external training.• We offer a corporate pension scheme, 28 days paid leave, free German and yoga classes, subsidised Urban Sports Club membership and other great benefits.• This role can be based in Berlin or remote within EUAbout SumUpWe believe in the everyday hero.Small business owners are at the heart of all we do, so we're creating tools that help them run their businesses. With a founders mentality and a 'team-first attitude, our diverse teams across Europe, South America and the United States work together to ensure that the small business owners we partner with can be successful doing what they love.SumUp is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. SumUp does not make hiring or employment decisions on the basis of race, colour, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender identity, sexual orientation, disability, age or any other basis protected by applicable laws or prohibited by company policy. SumUp also strives for a healthy and safe workplace and strictly prohibits harassment of any kind.SumUp will not accept unsolicited resumes from any source other than directly from a candidate"
(Senior) Data Scientist / Machine Learning Engineer (m/f/d) MI-OD,2023-01-03,2023-01-15 11:03:32,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwj-lvvBlMr8AhWzGTQIHZmMBp4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=slB6o0zBJMAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Kuehne Nagel,Full-time,NA,"Berlin, Germany","Are you a data native and would you like to shape the future of our global data products Join our data team and be part of our journey to become a data-driven company. Your RoleThe world of logistics is full of data challenges and opportunities. Our data science team has set out to tackle these. In our team you will be closely working with our business stakeholders to further automate business processes utilizing data science and machine learning. You will be part of a rapidly growing, innovative and highly agile team of data scientists and data engineers with opportunities to bring in new ideas with self-responsibility to have a real impact on our strategic development. Our team is located in Hamburg where you would have you primary office location. Remote work option is possible. Your Responsibilities• Design andimplement our data science and AI solutions, e.g. in the area of predictivescheduling and real-time tracking, dynamic pricing, demand forecast and warehouse... replenishment, churnprediction, fraud and anomaly detection.• Identify and refine potentialdata science use cases together with our business stakeholders.• Shape our predictiveapplications through their entire lifecycle  from ideation and specification,architectural design, prototypingand integration into productive systems.• Be part of designing andsetting up a modern analytics and data architecture which fits the needs of adata-driven logistics enterprise.• Continuously refine ouranalytics landscape by evaluating new tools and analytical approaches.Your Skills and Experiences• Masters degree in data science,computer science, statistics, economics, mathematics, physics or a similar degree.• Multiple years of workingexperience in a similar role.• Advanced practical experiencewith supervised and unsupervised machine learning techniques inenterprise settings. Proficiency in machine learning frameworks and data analyticstools.• Software development skills and proficiency in at least one of the following languages: Python, Scala or similar.• Experience with big data applications (e.g. Spark), cloud platforms (AWS, Azure, Google Cloud) andcontainerization (Docker, Kubernetes, OpenShift) is a plus.• Capability to envision end-to-end data solutions and setting the right priorities.• Openness to share your knowledge with colleagues and to learn from others.• Fluent in spoken and written English. German is a plus.Good Reasons to JoinWe want you to feel comfortable in your working surroundings. Therefore, we are offering you flexible working hours, modern offices and mobile working in the form of home office. Kuehne+Nagel is offering you a custom-made career  through individual planning and supervisors who support and advice you in every way. Personally, you get supported by a lot of work-life-balance offerings, a company pension and a supplementary health insurance"
