Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
"Machine Learning Engineer, Hong Kong",NA,2023-01-15 11:00:36,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=z1vEY_yPKN0AAAAAAAAAAA%3D%3D&fpstate=tldetail,"Intact, Intact",Full-time,NA,Hong Kong,"We have a fantastic opportunity for an experienced Machine Learning Engineer to join our team in Hong Kong. As a tech pioneer within a new AI lab, youll have the opportunity to:  Use machine learning and advanced statistics to help build innovative solutions for real-life customer and business problems  Develop and deploy to production data and machine learning pipeline at scale  Influence the AI roadmap for the largest home, auto business insurer in Canada  Explore new technologies and use them in your own solutions  Validate the analytical approach and project outputs of other team members  Grow alongside a diverse team of world-class experts in data science, software engineering, actuarial science, business and design  Mentor and coach interns and other engineers to help us grow, as a team  All this plus great work-life balance! Heres what you bring to the table:  A bachelors degree in a discipline such as computer science, software engineering, AI, or a related... field. MSc is an asset  2+ years of experience solving business problem using machine learning  Expertise in programming in languages such as Python and machine learning libraries such as Tensorflow, PyTorch, scikit-learn, etc.  Expertise with the machine learning development lifecycle  Experience developing data and machine learning pipelines  Familiar with the underlying theory of machine learning (supervised, unsupervised and reinforcement learning)  Unlimited curiosity and the desire to challenge the status quo  You can take a vaguely defined issue and bring it to life using a creative approach  Strong communication, time management and work organization skills  The passion for developing world-class data products Some nice-to-haves:  Knowledge of DevOps modern tools such as Docker, Kubernetes, ELK;  Knowledge of our tech stack: scikit-learn, xgboost, LightGBM, tensorflow, pytorch, Flask, MongoDB, Kafka About Us The Intact Lab  with headquarters in Montreal, Canada  is a fast-growing, digital innovation hub backed by Intact Financial Corporation (TSX: IFC, HK$110 billion in market cap), Canadas largest home, auto and business insurance company. Intact Financial (HK) limited (Intact Lab, HK) is our first R&D A.I. centre outside of Canada. This expansion into the Asia Pacific region is an exciting chapter of our journey to become the best insurance A.I. shop in the world. #LI-IT #LI-Hybrid"
Machine Learning Engineer,2023-01-08,2023-01-15 11:00:36,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=CXP2FziGVNYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Lalamove (HK),Full-time,NA,Hong Kong,"Lalamove is seeking a motivated and skilled individual to join the team as a Machine Learning Engineer. What you will be doing  Deploy, schedule, monitor, evaluate and optimize solutions for performance and scalability  Build ML development environment for data scientists to model and test prototypes  Collaborate with data scientists to build ML pipelines and move prototypes into large-scale production environment  Partner with data engineers to manage data pipeline requirements as well as infrastructure and software engineers to bring models to production Who are you What we seek:  Quick learner: you enjoy working with data and algorithms and have the ability to learn new frameworks and technologies quickly  Problem solver: you have strong critical thinking skills and willing to find creative solutions to difficult problems  High autonomy: self-organized, passionate with a can-do attitude and own end-to-end projects  Team player: you go the extra mile to ensure success... and alignment of all parties involved  Evangelist: you effectively teach and promote innovative tech, challenge and influence the strategy of stakeholders What you will need:  4+ years of hands-on experience implementing high availability production machine learning systems  Experience with distributed computing technologies (e.g. Hadoop, Spark, GPUs)  Experience with AWS (S3, Redshift, SageMaker, Lambda) or GCP (ML Engine, KubeFlow)  Experience in one or more of the following: Classical ML, Deep Learning, Image Processing, NLP, Operations Research and Recommendation Systems  Experience with machine learning frameworks and libraries (e.g. Sklearn, H2O, XGBoost, TensorFlow, Theano, Keras, Spark MLlib)  Proficiency in SQL and Python  Good command of English Nice to have:  Familiarity with Redis and MySQL  Familiarity with Scala, Golang, PHP or Javascript  Logistics domain knowledge Additional Information  Job Level: Mid  Experience Level: Mid Level  Job Category: Software Engineering  Related Specialization: Software Engineering  Specializations: Software Engineering  Tags: Machine Learning, AWS, Hadoop, Spark, SQL, Python, Redis, MySQL, Scala, Golang, PHP, Javascript, GCP, Deep Learning, Image Processing, NLP, Operation Systems, Recommendation Systems Company At Lalamove, we believe in the power of community. Millions of drivers and customers use our technology every day to connect with one another and move things that matter. Delivery is what we do best and we ensure it is always fast and simple"
"Senior Development Manager, Algorithmic and Machine Learning Systems",2022-12-28,2023-01-15 11:00:37,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=7EVz4SulUK8AAAAAAAAAAA%3D%3D&fpstate=tldetail,CLSA,Full-time,NA,Hong Kong,"Position Description The Algorithmic Trading team is looking for a senior developer to join our Hong Kong development center. Our trading platform is purely developed in-house; the successful candidate will work closely with Electronic Execution desk, Equity Traders and Technologists to deliver high quality, cutting edge solutions for the Asia Pacific region. The candidate will have to work effectively in a dynamic and diversified team environment. Key Areas of Responsibilities  Provide insight and deliver technical solutions to business problems  Develop, optimize and enhance algorithmic trading strategies  Involve in full software development lifecycle  Resolve operational issues and implement preventative measures Requirements  Degree in Computer Science or Software Engineering  Deep knowledge in algorithmic trading and design  Strong problem-solving and analytical skills  Open to any object oriented programming talents  Solid development experience in C# is a plus ... Good communication and interpersonal skills  Great team player and open to new ideas  Proficient in Winforms and WPF  Experience in Machine Learning and Artificial Intelligence  Enthusiastic, self-motivated  Strong written and verbal communication skills If you are seeking a dynamic environment in which to build your career in CITIC CLSA, please send your resume to recruitmentclsa.com. Kindly specify the position title in the email subject for job application. CITIC CLSA may collect personal data from you for purposes relating to your engagement with the Company, including human resource management and other business and internal / external compliance purposes. Any personal information and /or data collected and held by the Company may be used by the Company or transferred (whether within/ outside Hong Kong) to any other parties within the Company, subsidiaries and affiliates of the Company, internal or external service providers, or any other relevant parties including governmental or regulatory authorities, for the above purposes"
Computer Vision Engineering & Research Intern,2023-01-13,2023-01-15 11:00:38,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=c0gDYWL6sUEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Apple,Internship,NA,Hong Kong,"Summary Posted: Jan 14, 2023 Weekly Hours: 40 Role Number:200456453 The people here at Apple dont just build products  they build the kind of wonder thats revolutionized entire industries. Its the diversity of those people and their ideas that encourages the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it! Apple is seeking highly qualified people for the position of Computer Vision Engineer and Researcher. The team pursues research & development in the areas of machine learning (ML) with particular focus on computer vision (CV). As a member of the team, you will work on some of the most ambitious technical problems, develop new ML solutions that will affect future Apple products, and collaborate with the best product teams to integrate your ideas into products. In addition, you will engage with the academic community by publishing your innovative... research, and speaking at conferences and events. Key Qualifications Key Qualifications  In-depth expertise in computer vision (CV)  Expertise in one or more of the below fields : Computer Vision, including but not limited to 3D semantic scene understanding, generative models, 3D reconstruction, SLAM, Neural Network Architectures for 3D, Computational Photography and Videography, Visual Representative Learning, Active Sensing, Pattern Recognition, Computer Graphics  Excellent programming skills in Python, C/C++, CUDA or other GPGPU  Familiar with Tensorflow or Pytorch  Strong publication record demonstrating innovative research is a plus  Good presentation skills  Passionate about building extraordinary products  Encouraged to perform well in a fast-paced environment, to complete the tasks assigned, to meet the production goals and, at the same time, to explore independently innovative ideas that can improve and transform the product experience of Apple customers  Be able to deliver ML technologies aligned with the values of Apple, ensuring the highest standards of quality, innovation, and respect for user privacy  Creative, collaborative, & product focused Description Description You will research and develop innovative ML strategies for challenging problems that will affect future Apple products. You will collaborate with broader teams across Apple to transfer AI/ML solutions. You will have opportunities to provide technical mentorship and guidance and prepare technical reports for publication and conference talks. You are self-motivated, excellent problem solver, a go-getter. You are quick to form relationships and work well with change and ambiguity. You have strong programming skills with tried experience crafting, prototyping, and delivering sophisticated algorithmic solutions. Education & Experience Education & Experience Currently pursuing a PhD in Computer Vision, AI, Machine Learning, and Computer Graphics. Additional Requirements Additional Requirements  Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants"
Data Scientist / Machine Learning Engineer | Multiple Roles | up to HKD 65k...,2023-01-15,2023-01-15 11:00:38,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=Z8gYT5jXPOsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Venturenix Limited,Full-time,NA,Hong Kong,"Venturenix is a recruitment company focusing on IT career placements in APAC, particularly Hong Kong. We provide consultative advise on your career not only based on our recruitment experience, but also based on our industry experience as our recruitment consultants were industry experts. i.e. We have been in your shoes. With the leverage from our parent company T12M (A private equity firm focusing on Tech firm investment), Venturenix is a recruitment firm that truly understand the latest trend of the IT market not only from human resources perspective, but also from an investment or Technology acquisition perspective. Our clients, including listed conglomerates, are looking for Data Scientists and Machine Learning Engineers to make business impacts through Machine Learning and statistics. Requirements:  3+ years of experience in Data Science  Master degree or PHD holder would be a plus  Solid experience in machine learning / statistical analysis  Solid experience in Python / R... / SQL Interested parties please directly apply. All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security"
"Asset Management - Python Machine Learning Engineer, Lead software engineer - VP",2023-01-08,2023-01-15 11:00:39,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=H6DwKbBHe0QAAAAAAAAAAA%3D%3D&fpstate=tldetail,JPMorgan Chase & Co.,Full-time,NA,Hong Kong,"Key Responsibilities Include  building and operating highly sophisticated end-to-end data and Machine Learning pipelines  designing production APIs, data delivery processes  integrating unstructured and timeseries data into production pipelines  collaborating with DevOps engineers to plan and deploy data storage and processing systems, especially for text, timeseries or financial data Requirements  Strong software Engineering experience  Experience building and operating pipelines for processing and ML inference for text, timeseries or financial data  Experience architecting, developing, and operating within AWS  Proficiency in Python programming  History of successfully collaborating with internal stakeholders and clarifying requirements  Proven ability to iterate quickly  (preferred) Experience working with Kubernetes, Airflow (or similar schedulers) and Machine Learning frameworks  (preferred) Knowledge of Machine Learning algorithms such as common Deep Learning based... Natural Language Processing (NLP) and Unsupervised Clustering  (preferred) Experience working with ElasticSearch J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs"
(Senior) Machine Learning Engineer,2023-01-14,2023-01-15 11:00:39,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=jsRdnQN6HaIAAAAAAAAAAA%3D%3D&fpstate=tldetail,A.S. Watson Group,Full-time,NA,Hong Kong,"Role Purpose: We are looking for a Machine LearningEngineer to work with our Data Science team to develop scalable andmaintainable data-driven solutions. The primary focus of the role is toproductionalize and scale machine learning models. You will be working closelywith our Data Architects, Engineers and Data Scientist to build end-to-end MLapplications and scale the solution to different business units. A typical day in this Role:  Solvingcomplex business problems by designing and implementing algorithms and models.  Measuringand optimizing the performance of algorithms and models.  Enhancingdata collection procedures to include information that is relevant to buildingadvanced analytics.  Workingclosely with project managers and commercial users to understand businessrequirements and translating them into technical requirements.  Bringingin best practices in advanced data analytics, predictive modeling and otherdevelopment processes.  Developingautomated data pipeline with a... continuous integration mindset.  Assistingin promoting data culture and best practices within the organization. This job is a good fit for You if:  You are a Problem Solver - You make decisions based onevidence-based opinions. When you do something new, you seek to understand asmuch as possible and don't jump in but conduct your due diligence and plan formoving forward.  You are an Expert - You have in-depth knowledge of akey area and seek possible solutions through study and research. You tend tobe more reserved, and they don't need to be in charge. You work well in teamsand are also comfortable working alone.  You are a Detailer - You like to dig into the details,and you excel at minimizing risk. You deliberate fully before makingdecisions and will need to see all the facts before reaching a conclusion. You follow up rigorously. Success will depend on:  Degreein Computer Science, Statistics, Mathematics, Machine Learning or related fields.  At least 2 years of experience asa Machine Learning Engineer or Data Scientist.  Self-motivated,adaptable in a fast-paced environment and with strong sense of ownership.  Design,review and deploy Machine Learning solutions to a distributed machine learningplatform on a predominately Microsoft Azure architecture.  Advancedproficiency in Python, Spark or R. Familiar with MLpackages (scikit-learn, PyTorch, LightGBM,etc..).  Witha good understanding of software engineering and DevOps skills (Docker, Git,CI/CD, etc..).  Ableto communicate the analytic results in a clear and effective manner. We are an equal opportunity employer and welcome applications from all qualified candidates. The information provided will be treated in strict confidence and be used only for consideration of your application for relevant/ similar posts within the A.S. Watson Group"
"AI Developer II, Hong Kong",NA,2023-01-15 11:00:40,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=tghkJtJhFVUAAAAAAAAAAA%3D%3D&fpstate=tldetail,"Intact, Intact",Full-time,NA,Hong Kong,"Calling all AI and machine learning experts! We have a fantastic opportunity to join our team in Hong Kong. Artificial intelligence is shaping the future of insurance. Our latest lab is located in the Hong Kong Science and Technology Park to turn this vision into a reality. As Canada's largest home, auto and business insurer, we're here to cultivate the next generation of technology and talent. Together, we're helping our customers protect what matters to them most through the power of data science, machine learning and AI. Life in the Lab Technology is only as good as the people behind it. Every day at work, youll inspire and be inspired by the brilliant minds of our greater lab team: actuaries, data scientists, machine learning experts, geomathematicians, meteorologists, software engineers and designers. Together, you will tackle challenging problems and have the freedom to imagine, research, create, test, and bring innovative solutions to life that will have a profound impact... on our business and the needs of our customers. As our company grows, your career will grow with it. There will always be an opportunity for you to develop your leadership skills, strengthen your expertise or take your work in a new direction. Whether its leading a new, exciting project or moving into a different A.I. product team in Canada or Hong Kong, your career will always be on the move. Do you want to use AI to generate innovative solutions that bring clear tangible value to your organization Our Intact Lab in Hong Kong is looking for an experienced Software developer to join the AI Engineering team. Do you like building solutions in an agile environment Do you want to have a strong impact on the AI and Machine Learning vision of Canadas largest insurance company We have the perfect opportunity for you. As an AI Developer, you will :  Work and collaborate closely with Data Scientists to facilitate research and transform research prototypes to production solutions using best practices in software engineering in the AI field.  Implement new workflows to integrate AI models into Applications and Solutions.  Integrate DevOps concept and tools to provide an agile and scalable environment.  Participate in the design, development and evolution of microservices, APIs and reusable libraries for the execution of our algorithms in mission critical production environments.  Participate in the technological watch and definition of development standards to ensure system efficiency, resilience, and sustainability.  Participate in the end-to-end testing in order to deliver production-grade code (in terms of performance, stability and scalability). Ensure the high level of quality of the work delivered.  Production support: Participate in the production support of the AI applications to maintain 24/7 service availability.  Introduce Data Scientists to coding best practices. You are :  Interested in Artificial Intelligence, able to interact with software engineers, data scientists and R&D teams.  Fast learner. Were looking for team members who thrive on applying their knowledge, learning new technologies. You should be able to adapt easily to meet the rapid pace of a rapidly evolving research, development, and testing environment.  Versatility. In addition to having a good knowledge of the software engineering fields, you understand how all the pieces fit together into integrated systems, and how they meet business requirements. Very good communicator.  Passion. You feel ownership over everything you ship. You pride yourself on efficient monitoring, strong documentation, and proper test coverage. A mobilizer and delivery oriented.  A team player. You believe that the whole is greater than the sum of its parts. You rely on others' candid feedback for continuous improvement. What you bring to the table:  Bachelors in computer engineering, computer science, software engineering, AI, or related discipline  Proficiency with Python, and good understanding of other languages such as Java, C++, C#,  Good understanding of machine learning concepts and algorithm design techniques  Experience with software engineering life cycle and agile methodologies.  Understanding of modern DevOps tools such as Gitlab, Grafana, ELK stack, Jenkins  Familiarity with data storage and warehousing technologies such as Snowflake, MongoDB, S3.  Experience in developing enterprise grade software solutions and complex services based on Docker, Kubernetes, Flask and Spring Boot is an asset  Familiarity with machine learning and data processing frameworks such as Spark/ Pyspark, XGBoost, Tensorflow is nice to have.  Working knowledge of streaming and batch processing systems such as Kafka is an asset  Familiarity with AWS technologies such as Kinesis, Lambda and CloudWatch is a plus. About Us The Intact Lab  with headquarters in Montreal, Canada  is a fast-growing, digital innovation hub backed by Intact Financial Corporation (TSX: IFC, HK$110 billion in market cap), Canadas largest home, auto and business insurance company. Intact Financial (HK) limited (Intact Lab, HK) is our first R&D A.I. centre outside of Canada. This expansion into the Asia Pacific region is an exciting chapter of our journey to become the best insurance A.I. shop in the world. This role is eligible for employee referral bonus. #myReferrals1000 #LI-Hybrid, #LI-IT What we offer Working here means you'll be empowered to be and do your best every day. Here is some of what you can expect as a permanent member of our team:  A financial rewards program that recognizes your success  A dynamic workplace learning ecosystem complete with learning journeys, interactive online content, and inspiring programs  An extensive flex pension and benefits package, with access to virtual healthcare  Flexible work arrangements  An annual wellness account that promotes an active and healthy lifestyle  Access to tools and resources to support physical and mental health, embracing change and connecting with colleagues  Inclusive employee-led networks to educate, inspire, amplify voices, build relationships and provide development opportunities  Inspiring leaders and colleagues who will lift you up and help you grow  A Community Impact program, because what you care about is a part of what makes you different. And how you contribute to your community should be just as unique We are an equal opportunity employer At Intact, we value diversity and strive to create an inclusive, accessible workplace where all individuals feel valued, respected, and heard. If we can provide a specific adjustment to make the recruitment process more accessible for you, please let us know when we reach out about a job opportunity. Well work with you to meet your needs. Click here to review other important information about the hiring process, including background checks and internal candidates"
Data Scientist (AI/Machine Learning),2023-01-09,2023-01-15 11:00:41,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=J8YnHiB12lgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Links International,Full-time,NA,Hong Kong,"Links International is an award-winning industry leader in innovative human resources outsourcing in Asia. Links was established in 1999 and has offices in Hong Kong, Singapore, Shanghai, Macau and Zhuhai, Vietnam, Malaysia, Thailand and Australia. We offer a broad range of services, ranging from both retained and contingent recruitment, to payroll and visa processing, designed to cover all aspects of your human resources processes, enabling your team to focus on higher value, strategic activities. Our client aims to develop the area of healthcare technology with the support from other global leaders in healthcare, school, and government. Currently they are looking for a AI Programmer/ Specialist to join their team. Responsibilities This role will be involved in the design, implement, and test AI software for analyzing large healthcare related data, including data in electronic health record, medical images, text data, and sensor data from wearable devices and smartphones... (IoT). This role under R&D team to engage with developing mobile applications, cloud computing solutions or other AI-solutions for multiple healthcare related projects. Requirement Bachelor degree in bioinformatics, computer science, software engineering, statistics, biomedical engineering or a related discipline. Masters or PhD degree with substantial relevant experience consider for a more senior position Knowledge in computer programming including experience in AI or machine learning Preferred mobile app development, IoT technology, or cloud computing experiences Candidates with more experiences will consider as a senior AI specialist Fresh graduates are welcome All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security. Full-time,Permanent"
Data Scientist (Machine Learning Product),NA,2023-01-15 11:00:41,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwjD0NHwk8r8AhUlCjQIHVhJBb4QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=03iL3txES-gAAAAAAAAAAA%3D%3D&fpstate=tldetail,Michael Page,Full-time,HK$600K–HK$720K a year,Hong Kong,"About Our Client Our client creating an industry 4.0 building system that allows every building component to be ordered and fabricated directly from factory. It aims to provide an Amazon-like experience for building projects to find, configure and manufacture building products at competitive prices on demand. The embedded product finder and product configurator functions are powered by cutting edge machine learning and algorithmic models developed by the Data Science team. They are now hiring a Data Scientist to be a key contributor to this technology. Job Description Job Responsibilities:  Conduct research and implementation of ML model;  Engage in the design and implementation of ML service for our digital platform;  Collaborate with various team for developing ML service;  MLOps pipeline management;  Engage in the end-to-end lifecycle of ML/DS service development and maintenance. The Successful Applicant Job Requirements:  Bachelor/ Master degree in Mathematics... Computer Science/ Statistics or any relevant disciplines;  At least 3+ years' experience in Machine Learning OR data science product development, preferably in computer vision, NLP, constraint optimization or reinforcement learning;  Proficiency in Python, Bash, Git, Linux;  Proficiency in Pytorch/ Pytorch-lightning/ Docker;  Experience with MLOps will be a plus; (Optional);  Good command of English, Cantonese and Mandarin. What's on Offer  13th Month Guaranteed Bonus;  Health insurance;  Flexible and remote working options;  Life insurance;  Retirement benefits or accounts;  Professional development;  Fitness or healthy lifestyle incentives;  Home office improvement incentives for remote workers"
