Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-30 12:23:01,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=4SazmGzhFIcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Accenture,Full-time,NA,"Budapest, Hungary","If you are an experienced data scientist and you want to extend your expertise in AI & ML, we invite you to join Accenture to work as part of a worldwide team of experts. We have various project opportunities on the field of computer vision, predictive analytics, and conversational artificial intelligence.What will you do:• Gathering business requirements and translating them into machine learning requirements• Identifying, creating and preparing data required for ML algorithms• Build/implement data analysis and visualizations• Build/Implement machine learning/statistical models• Research and continuous training on AI and MLWhat we offer:• Attractive and competitive compensation package• Wide range of benefits including cafeteria, private healthcare package, life insurance, AYCM sport card, internal referral bonus, family-oriented benefits, company shares• Access to a whole set of learning platforms and leading-edge trainings, opportunity to receive specific certificates•... Work with the latest technologies, participation in diverse international projects• Constant career development, internal mentorship, working with highly marketable specialists• Modern work environment and flexible working place (home working is allowed"
Machine Learning Engineer,2023-01-27,2023-01-30 12:23:01,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=i6NUquzUv78AAAAAAAAAAA%3D%3D&fpstate=tldetail,Accenture Hungary,Full-time,NA,"Budapest, Hungary","If you are an experienced data scientist and you want to extend your expertise in AI & ML, we invite you to join Accenture to work as part of a worldwide team of experts. We have various project opportunities on the field of computer vision, predictive analytics, and conversational artificial intelligence.What will you do:• Gathering business requirements and translating them into machine learning requirements• Identifying, creating and preparing data required for ML algorithms• Build/implement data analysis and visualizations• Build/Implement machine learning/statistical models• Research and continuous training on AI and MLWhat we offer:• Attractive and competitive compensation package• Wide range of benefits including cafeteria, private healthcare package, life insurance, AYCM sport card, internal referral bonus, family-oriented benefits, company shares• Access to a whole set of learning platforms and leading-edge trainings, opportunity to receive specific certificates•... Work with the latest technologies, participation in diverse international projects• Constant career development, internal mentorship, working with highly marketable specialists• Modern work environment and flexible working place (home working is allowed)What we expect:• Experience with building AI applications (preferably Python/R)• Knowledge of Python scientific computing libraries• Familiarity with machine learning libraries (like Keras, Pytorch, Tensorflow, SciKit)• Experience with processing/modeling big data is an advantage• Open mindset, ability to quickly adapt new technologies and learn new practice• Fluency in English (both verbal and written"
Machine Learning Engineer for Automated Driving,NA,2023-01-30 12:23:01,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=Ig57149uEPwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Bosch Group,Full-time,NA,"Budapest, Hungary","Company DescriptionDo you want beneficial technologies being shaped by your ideas Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology - with us, you will have the chance to improve quality of life all across the globe.Welcome to Bosch.The divisions Cross Domain Computing Solutions (XC) develop innovative components, systems and functions in the field of vehicle safety, vehicle dynamics and driver assistance. Through the combination of systems based on cameras, radar and ultrasonic sensors, electric power steering and active or passive safety systems we not only make driving safer and more comfortable today but we are also building the basis for the autonomous driving of tomorrow.Job DescriptionYour contribution to something big:AI is not science-fiction anymore it is already part of our daily lives it is fundamentally changing how we drive, how we work, how we learn, how we shop and how we travel. At Bosch it... is also becoming part of the products we make, products that will assist and support us and make life easier for all. Whether it is used for manufacturing, in cell phones or in self-driving cars, one thing is for sure, in line with our Invented for Life ethos we want to make AI safe, robust and explainable. With us, here in Budapest now You have the opportunity to join us in this mission.Develop a deep understanding in Highly and Fully Automated Driving Systems and in the corresponding problem spacesCreate highly innovative solutions in the field of Machine Learning to address various challenges including Automated DrivingEvaluate the different Machine Learning solutions from industrial product development perspectivesImplement the designed algorithms in the defined ecosystems and/or Automated Driving System productsAnalyze problems occurring on the field of Driver Assistance and Partial Automated Driving development from Deep Learning perspectivesSupport activities for building up simulation/training/test environment for Deep LearningAct as an expert on the topic of Machine Learning with a focus on Deep LearningHelp build up competence in the field of ML/DL among driver assistance and automated driving developers in HungaryQualificationsWhats required:MSc/PhD in related fields, or extensive experience with BSc degreeVery good mathematical skillsStrong software skills (Python or C++)Pro-active and problem solving mindsetGood communication and presentation skillsAbility to work in a teamFluent English language skillsAdvantages:Strong theoretical and applied skills in relevant areas of Deep Learning (e.g. deep convolutional networks, recurrent networks, active learning, anomaly detection, distributed/parallel learning algorithms, learning control etc.)Machine Learning (academic and/or industrial) project experienceProduction Machine Learning experienceExperience in Deep Learning frameworks (e.g. Tensorflow, Pytorch etc.)Publication in related fieldsGerman language skillsAdditional InformationBenefits & our offer: Competitive compensation package incl: salary, annual & performance bonus, cafeteria Flexible work arrangements:o With high % of home-office opportunity, that will remain after the pandemico Flexibility in location & timing  in accordance with teams target & alignmento Our on -site Activity Based Working environment which is designed for creativity and efficiency using advantages of Smart Buildings International, diverse, inclusive company culture supported with transformational leadership mindset Continuous learning & growth opportunity  we offer wide range of development programs and trainings to ensure that you re ready for the next challenge Wellbeing programs including Medical & Mental support Organized events in various theme such as Sport, Cultural & Educational also, many self-organized activities supported by the company Childcare opportunity #Bosch Kindergarten & Nursery Easily accessible by public transportation or by bicycle - parking and bike racks are available"
Personalized Internet Ads Assessor - Hungary,2023-01-30,2023-01-30 12:23:02,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=MbPr9xAGQzAAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Budapest, Hungary","Company infoTELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.comWho is suitable for this workWe are looking for dynamic people who have strong communication skills and use the Internet daily. This is a freelance, independent contractor position. You will have the flexibility and freedom to work from your own home, working your own hours.What does the work... involveIn this job you will be reviewing online advertisements in order to improve their content, quality and layout. You will be required to provide feedback and analysis on advertisements found in search engine results and provide ratings on their relevance to the search terms used.Another aspect of this opportunity will involve reviewing the language used in advertisements by examining grammar, tone and cultural relevance.As a Personalized Internet Ads Assessor your ultimate goal will be to contribute towards making internet search and online advertising more relevant and interesting for all Hungarian speakers in Hungary.Requirements• You must be living in Hungary for the last 3 consecutive years• Suitable candidates must have full professional proficiency in English and Hungarian• Access to and use of a broadband internet connection and associated computer and antivirus software to perform the work, all provided at your own expense• Experience in use of web browsers to navigate and interact with a variety of content• Access to and use of an Android (version 4.1 or higher) or IOS Smartphone (version 8 or higher) to complete tasks• A Barcode Scanner application must be installed on your smartphone to complete certain tasks• Active daily user of Gmail and other forms of Social MediaWorking on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a part time project and your work will be subject to our standard quality assurance checks during the term of this agreement.Why join the TELUS International AI Community• Earn extra income• Access to our community wellbeing initiative• Remote work & Location Independence• Flexible Hours to work around home life• Better Work-Life Balance• Be a part of an online communityWhats nextIf this sounds like a role youd be interested in taking on, please apply below.https://jobs.telusinternational.com/enUS/careers/PipelineDetail/Personalized-Internet-Ads-Assessor-Hungary/21384"
Machine Learning Engineer,NA,2023-01-30 12:23:02,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=t8m9h0HWaxMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Docler Holding,Full-time,"US$45,618–US$150,000 a year","Budapest, Hungary","Company DescriptionUnique, exciting, fun-loving, and fast-growing  Welcome to Docler Group which is the umbrella company of Byborg Enterprises! Since launching in 2001, we have created products and experiences that entertain millions of people across the globe. We now serve more than 50 million users a day and are consistently among the top visited websites in the world with following in the millions!Our top-ranking websites include:LiveJasmin.com, a market leader in the live streaming industryJasmin.com, a platform that helps people make authentic connectionsOranum.com, the pioneer and largest global online esoteric spaceTwinRed, a leading service provider in the digital advertising sectorJob DescriptionOur Machine Learning R&D team designs create & use state-of-the-art solutions to solve problems in live streaming apps. We apply AI where it is beneficial and profitable, thus not limiting ourselves to a single topic in the AI world.For us it's always important to work with as... motivated and crazy people as we are . If you are looking for real-life challenges, join us to build an independent ML system together.Design, build, train and test Machine Learning models which can learn and respond to complex situations Brainstorm solutions to the toughest problems alongside a team of smart, creative, passionate engineers and scientists Write production-level code to convert your ML models into working pipelines that are used every day Work closely with Data Scientists, other Machine Learning Engineers, and Scientists to create, train, evaluate and deploy models Optimize model and code to perform at scale Participate in code reviews to ensure code quality and distribute knowledge QualificationsB.S., M.S. or Ph.D. in Computer Science, Engineering, or related technical field 3+ years of industry or research experience developing Machine Learning models Fluency in Python and experience with commonly used data science packages Interest in Computer Vision, Natural Language Processing, Audio Processing projects Deep knowledge of ML libraries like Scikit-Learn, Tensorflow, PyTorch, etc. Excellent understanding of classical and deep machine learning techniques and algorithms Experience with common statistics methodologies (distributions, clustering, regression, forecasting, classification, regularization, resampling) ""Engineer at heart"" with a high degree of comfort in designing software systems and producing high-quality code Great communication and collaboration skills In return you will get...An exceptional compensation package (unique salary, All You Can Move sport pass, a yearly 500.000 Huf /year cafeteria package, private health insurance) along with a generous relocation package to help you moveWork-from-home possibilityPrivate health insurance for when you dont feel so greatThe opportunity to see your work directly contribute to the success of the companyWe want you to grow with us, so we offer the opportunity to attend conferences, technical workshops, trainings, and meetups, along with certification possibilitiesCompany branded merchandise (goodies)And finally, a fun, professional, and collaborative work culture where we guarantee there is never a dull day.Additional InformationDocler Group is an equal employment opportunity employer. We consider individuals for employment based on their skills, abilities and experience. We thrive to attract and hire a strong, talented and diverse workforce, prohibiting discrimination based on race, color, religious or political beliefs, age, nationality, physical, mental or developmental disability, gender, sexual orientation.DISCLAIMER: This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion. NOTE: Docler Group does not accept unsolicited resumes from agencies. We consider any resume (CV) or biography received from an agency without prior approval from our Legal and Recruiting Department to be unsolicited, and such submissions will not be recognized for purposes of ownership of the candidate. We are in it for the long haul so your future is safe with us.We are always on the lookout for fresh talent to join our #doclersquad"
Machine Learning Engineer,2023-01-27,2023-01-30 12:23:03,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=mdxt_kqdHBYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Visual Concepts,Full-time,NA,"Budapest, Hungary","At Visual Concepts, we believe great games are made by diverse and empowered teams with a shared passion for play. As one of the worlds top game development studios, we have shipped over 100 multi-sku titles to critical acclaim and commercial success. Our teams are independent and entrepreneurial. Our studios in Agoura Hills, Novato, Orange County, Budapest, Shanghai, Austin, San Jose, Vancouver and Seoul are committed to artistry and technical innovation, offering top candidates the opportunity to learn and grow with some of the smartest and most creative minds in the industry.What We NeedWant to be a key part of one of the most successful and beloved video game franchises in history If so, the NBA 2K team at Visual Concepts team would love to talk to you. We're looking for a talented ML engineer who has specifically focused on computer vision, simulations, and overall creative applications of cutting edge technology. Your work will directly impact the game.What You Will Do•... Help design and develop machine learning models to solve classification, pose estimation, character transition, and mesh generation problems• Implement data processing, scraping, and annotation procedures to prepare model training data• Work with our internal game engine to integrate and visualize model inference resultsWho Will Be A Great Fit:• Professional experience implementing computer vision techniques and systems to improve important game-related development• CNNs are your jam, specifically in the context of extracting information from images, videos, and animation• Bachelors degree in Computer Science, Maths, or related field• 3+ years of programming experience in Python with specific experience using NumPy and OpenCV• Experience solving supervised learning problems with modern Machine Learning libraries such as TensorFlow and PyTorch• Strong understanding of 3D Maths including quaternions, linear algebra, and 3D matrix transformations• Some experience in C/C++• Love for video games (not just ours!)To learn more about Visual Concepts and our studio locations, check out our website at www.vcentertainment.com"
Machine learning trainee,NA,2023-01-30 12:23:03,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=glvEaTrrotwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Bosch Group,Full-time,NA,"Budapest, Hungary","Company DescriptionDo you want beneficial technologies being shaped by your ideas Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology  with us, you will have the chance to improve quality of life all across the globe.Welcome to Bosch.Job DescriptionSupport Machine Learning Engineers with data preprocessing, model developmentStay current with latest research and technology trends to build state of the art machine learning/deep learning modelsQualificationsActive full-time student statusOngoing studies at University on BSC or MSC level in the field of engineering/software development/mathematicsConfident English language knowledgeUndertaking a minimum of 6 months periodUndertaking a minimum of 20 hours per weekKnowledge of basics of Machine LearningKnowledge of Python or C++Additional InformationYour future job location offers you:flexible worktime options  benefits and services ... various sports opportunities  catering facilities  good access to local public transport  room for creativity  urban infrastructure"
Senior NLP/ML Engineer,2023-01-27,2023-01-30 12:23:03,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=jxBs9KJauvMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Exadel,Full-time,US$131K–US$240K a year,Hungary,"Welcome bonus $4000 ! We are looking for a Senior NLP/ML Engineer to join our team. As a member of the Engineering team, you will work closely with other data scientists and software engineers as a key player in designing and building state-of-the-art ML decision systems for insurance claim processing. Work at Exadel - Who We Are: Since 1998, Exadel has been engineering its own software products and custom software for clients of all sizes. Headquartered in Walnut Creek, California, Exadel currently has 2700+ employees in development centers across the Americas, Europe, and Asia. Our people drive Exadels success, and they are at the core of our values. About Our Customer:The ustomer is a leading provider of vehicle lifecycle solutions, enabling the companies that build, insure, repair, and replace vehicles to power the next generation of transportation. The company delivers advanced mobile, artificial intelligence, and connected car technologies through its platform, connecting a... vibrant network of 350+ insurance companies, 24,000+ repair facilities, OEMs, hundreds of parts suppliers, and dozens of third-party data and service providers. The customer's collective set of solutions inform decision-making, enhance productivity, and help clients deliver faster and better experiences for end consumers. The ustomers company was ranked #17 in the Top 100 Digital Companies in Chicago in 2020 by Built in Chicago, an online community for digital technology entrepreneurs in Chicago, and was named one of Forbes best mid-sized companies to work for in 2019  an important accolade and retention tool for the 2,600+ full-time company employees (alongside 350 dedicated contractors). The ompanys corporate headquarters is in downtown Chicago in the historic Merchandise Mart - a certified LEED (Leadership in Energy and Environmental Design) building that is also known to be a technology hub within the broader metro. About Our Project:Safekeep is a business unit that focuses on automating insurance claim subrogation for auto, workers compensation, property and general liability claims.Safekeep leverages data analysis and AI/Machine learning packaged into a smart workflow engine to : Identify claims with subrogation potential Minimize the impact of subrogation team turnover Decrease the administrative costs of subrogation Simplify and optimize cross-carrier interaction UI for the smart workflow engine is built specifically for subrogation business processes, bringing together data for decision-making related to the recovery process and tracking. This includes automated processing of demand packages, settlements and payments. Safekeep provides a digital platform for carrier-to-carrier collaboration to standardize and streamline the subrogation interaction between them. In 2020 alone, Safekeep won the following awards: Innovation Championship by Zurich - Safekeep won 1st place out of 1300 solutions from around the world Innovation in Insurance awards - Safekeep won the Global Silver Award out of 359 innovations from 45 countries. It was also voted one of ""the 3 best innovations at a global level"" in InsurTech Plug and Play Insurance Partners voted Safekeep as the #1 InsurTech Requirements: Experience in Machine Learning/ Data Scientist (e.g. ML algorithm selection, feature engineering, model training, hyperparameter tuning, distributed model training, supervised and unsupervised learning implementation, building model pipelines, using Machine Learning tools/libraries/frameworks) Experience with language modeling (e.g., transformers, Hugging Face, FastText, Named Entity Recognistion, text cleaning) Advanced knowledge of Python (native, Pandas, ScikitLearn, Tensorflow or Pytorch, PyStats) Advanced knowledge of SQL and Data Modeling Experience in study design: power analysis and schema definition Proficiency in both written and verbal communication, required for a remote and largely asynchronous work environment Demonstrated capacity to clearly and concisely communicate complex technical, architectural, and/or organizational problems and propose iterative solutions Experience owning a feature from concept to production, including proposal, discussion and execution Self-motivated and self-managed with strong organizational skills English level:Intermediate+ Nice to Have: A masters degree in computer science, mathematics, statistics, or other quantitative fields 3+ years MLOps experience (e.g. model versioning, model and data lineage, monitoring, model hosting and deployment, scalability, orchestration, continuous learning) Hands-on experience in ETL Development leveraging Python and Spark/Scala Experience working with AWS big data technologies (Redshift, S3, EMR, Glue, etc.) Background in financial services including banking, insurance, or an equivalent field Experience creating orchestration workflows with tools such as Airflow, Kubeflow or AWS Step Functions DevOps experience (e.g. CI/CD Pipelines, Infrastructure as Code, containers, Agile software development) Experience working with data streaming technologies (Kafka, Spark Streaming, etc.) Proven success in communicating with customers (internal and external), other technical teams, and senior management in order to collect requirements, describe data modeling decisions and data engineering strategy Knowledge of software engineering best practices across the development lifecycle, including Agile methodologies, coding standards, code reviews, source management, build processes, testing and operations Responsibilities:The Senior NLP/ML Engineer will be in charge of building and maintaining AI models for insurance decision systems. As such, they should have a commanding knowledge of state-of-the-art AI modeling (linear models, GBM and XGB, neural nets, and their training methods) to build effective models in a fast-paced environment and be familiar with the fundamentals of modeling (probability, bias-variance trade-offs, parameter estimation, and visualization tools, feature importance) for diagnosis and improvement of model pipelines. Design, develop, and maintain the automation of frameworks for iterative machine learning model development, training, and inference Provide teams with operational support and develop solutions that provide monitoring, logging, and alerting capabilities Automate data flows and reporting pipelines Manage CI/CD infrastructure, including patching and security updates on the infrastructure Develop and maintain build scripts to automate deployments for multiple environments including dev/test, QA, UAT, and production Advantages of Working with Exadel: You can build your expertise with our Client Engagement team, who provide assistance with existing and potential projects You can join any Exadel Community or create your own to communicate with like-minded colleagues You can participate in continuing education as a mentor or speaker. You will not only be emotionally but also financially rewarded for mentoring You can take part in internal and external meetups as a speaker or listener. We support you in broadening your horizons and encourage knowledge sharing for all of our employees You can learn English with the support of native speakers You can take part in cultural, sporting, charity, and entertainment events Working at Exadel means always upgrading your skills and proficiency, so we provide plenty of opportunities for professional development. If youre looking for a challenge that will lead you to the next level of your career, youve found the right place We work hard to ensure honest and open relations between employees and leadership, so our offices are friendly environments"
Machine Learning Engineer,NA,2023-01-30 12:23:04,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=Dq9Hw3chlmMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Jaguar Land Rover,Full-time,NA,"Budapest, Hungary","REQ ID: 94003JOB TITLE: Machine Learning EngineerLOCATION: BudapestWELCOME TO JAGUAR LAND ROVERWe are looking for engineers with a strong knowledge in developing and integrating artificial intellingence technologies into Assisted & Automated Driving who will evolve and develop artificial intelligence algorithms to support the development of JLR toolchain and in-house software capabilities to achieve autonomous driving. You will be familiar with the development of perception and/or fusion algorithms utilising state of the art cameras and LiDARs.What To Expect• Development of artificial intelligence technologies to create automated benchmark system for ADAS perception• Driving continuos growth of JLR data set• Development of tightly and/or loosely coupled fusion algorithms• Establish JLR KPI for autonomous driving solutions• Support technology readiness level evaluation• Support autonomous technologies technical assessment to enable certification and compliance... activities• Deployment of AI Algorithms to a wider software stack• Deployment of AI Algorithms to internal customers• Ability to program in Pytorch, Python,• Ability to research and implement the latest cutting edge AI technologiesWhat Youll Need• Artificial Intelligence technologies  Deep Neural Networks, Knowledge base systems, decision trees, Spiking Neural Network, Bayesian Decision trees, SVM• Experience and eagerness for further development in camera and/or LiDAR based perception algorithms• Python• Pytorch• Strong Interpersonal skills, including proactive deadline management and pointed stakeholder communicationsSO WHY US• Join us for the next level of your career and help developing solutions that shape the future of cars• Be part of an international, inclusive and open-minded team where you have actual influence on the processes• See the product youre working on come to life from testing all the way to production• Work flexibly with high percentage of home office or from our award-winning office• We honour your work with a competitive salary and performance related bonus scheme• Benefit from our health and life insurance and cafeteria package• Embrace our culture through various company programs such as charity events or our regular board game club"
"IT INTERN for Machine learning & AI solutions (3-6 months, part-time/full-time)",NA,2023-01-30 12:23:04,https://www.google.com/search?q=Machine+Learning+Jobs+Hungary&ibp=htl;jobs&sa=X&ved=2ahUKEwjOkNykgvD8AhXALTQIHdTFBUcQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=9Rh7545E5aEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Procter and Gamble,Full-time,NA,"Csömör, Hungary","Do you want to combine your studies with work experience in a dynamic IT organization Are you willing to step into the shoes of an IT manager and help bring groundbreaking, technology-based capabilities to life Would you like to join a team of IT professionals who use both IT and business skills every single day We'll be thrilled to meet you!IT Intern for Machine learning and AI solutions (3-6 months, part-time/full-time)Location: Csmr, HungaryDuration: 3-6 monthsWork schedule: full-time/ part-time with flexible working hours (24-32-40 h/w)The IT solutions we build help move millions of trucks efficiently, enable high quality video collaboration, crunch data to deliver business insights, allow our automated manufacturing plants to run robustly, aid in design of new products and thousands of store shelves, provide immersive virtual reality experiences for product and store testing, help our sales force run their work in the field with mobile solutions, support millions of... payments and reports, manage consumer communication in the Web, ensure cybersecurity and more.You will start your internship in one of our fastest growing Manufacturing Plants - Budapest Plant, Csmr.We are looking for an enthusiastic artificial intelligence trainee seeking to deliver state-of-the-art AI and ML solutions. Responsibility would be to conduct research on the machinery and technologies available on the market, preparing the transition of the facility to an Industry 4.0 model.QualificationsWe are looking for:• Candidates in last year of study for bachelors degree (with maximum 12 months following graduation) or 1st or 2nd year of study for masters degree - with a real passion for business and technology (advantage: Mechatronic, Electrical Engineer, Computer Science)• Strong leadership, innovation and interpersonal collaboration skills.• Strong analytical skills (specific technical / IT mastery preferred).• English fluency• Programing skills f.ex.C++ or Python• Database management, SQL• Distributed Computing f.ex Kubernetes, Docker• Neural Network Frameworkf.ex Tensorflow, KerasWHAT WE OFFER:• Responsibilities as of Day 1  you will feel the ownership of your project from the beginning, and you will be given specific projects and responsibilities.• Continuous mentorship  you will work with passionate people and receive both formal training as well as day-to-day mentoring from your manager.• Work and be part of a dynamic and encouraging environment - working over a diverse array of interesting problems.• A diverse, multifaceted work environment passionate about safety and quality• Promote agility and work/life balance for employees, we value every individual and support initiatives, promoting.• We love flexibility. You can arrange your work schedule based on your personal needs.• Experience true support for work/life effectiveness and your long-term well-being.• Get a competitive salary and benefits' packageABOUT US:P&G is a leading global consumer goods company whose winning brands are built around the model of innovation. We produce globally recognized brands and we grow the best business leaders in the industry. With a portfolio of trusted brands as diverse as ours, it is paramount our leaders are able to lead with courage the vast array of brands, categories and functions. We serve consumers around the world with one of the strongest portfolios of trusted, quality, leadership brands, including Always, Ariel, Gillette, Head & Shoulders, Herbal Essences, Oral-B, Pampers, Pantene, Tampax and more. Our community includes operations in approximately 70 countries worldwide. Visit http://www.pg.com to know more.Our Budapest Plant has been established in 1991 and nowadays counts around 900 employees. We are producing female hygienic products (Always, Naturella, Discreet, Tampax) with the most advanced technologies.Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why were committed to building a winning culture based on Inclusion and our ideal candidate is passionate about the same principle: you will join our daily effort of being in touch so we craft brands and products to improve the lives of the worlds consumers now and in the future. We want you to inspire us with your unrivaled ideas.We are an equal opportunity employer and value diversity at our company. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability status, age, sexual orientation, gender identity and expression, marital status, citizenship, HIV/AIDS status or any other legally protected factor.Immigration sponsorship is not available for this role. As a general matter, Procter & Gamble does not sponsor candidates for nonimmigrant visas or permanent residency. However, Procter & Gamble may make exceptions on a discretionary basis. Any exceptions would be based on the Company's specific business needs at the time and place of recruitment as well as the particular qualifications of the individual.Procter & Gamble participates in e-verify as required by law.Qualified individuals will not be disadvantaged based on being unemployed"
