Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-11,2023-01-11 18:10:08,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=i0mdigOfVIkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Newton School,Full-time,NA,"Bengaluru, Karnataka, India","We are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products. Machine Learning Engineer's responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we'd like to meet you. Your ultimate goal will be to shape and build efficient self-learning applications. Responsibilities  Designing and developing machine learning and deep learning systems  Running machine learning tests and experiments  Implementing appropriate ML algorithms Requirements  Good understanding of Algorithms and data structures.  Experience in designing scalable systems ML is a plus  Expert programming experience in any one general programming language (strong OO skills preferred).  Experience in at least one general programming language (Ruby, Python, Java, Elixir, C/C++)  Experience with... ML/DL frameworks  Experience with pandas, numpy etc.  Worked in a start-up environment with high levels of ownership and full dedication.  Experience in NoSQL datastores like Redis, MongoDB, Couchdb etc with an understanding of underlying sharding and scaling techniques  Experience in building highly scalable business applications, which involve implementing large complex business flows and dealing with a huge amount of data"
Machine Learning Engineer,2023-01-08,2023-01-11 18:10:09,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=5qafJhoKcTAAAAAAAAAAAA%3D%3D&fpstate=tldetail,ServiceNow,Full-time,NA,"Hyderabad, Telangana, India","Company Description At ServiceNow, our technology makes the world work for everyone, and our people make it possible. We move fast because the world cant wait, and we innovate in ways no one else can for our customers and communities. By joining ServiceNow, you are part of an ambitious team of change makers who have a restless curiosity and a drive for ingenuity. We know that your best work happens when you live your best life and share your unique talents, so we do everything we can to make that possible. We dream big together, supporting each other to make our individual and collective dreams come true. The future is ours, and it starts with you. With more than 7,400+ customers, we serve approximately 80% of the Fortune 500, and we're proud to be one of FORTUNE's 100 Best Companies to Work For and World's Most Admired Companies 2022. Learn more on Life at Now blog and hear from our employees about their experiences working at ServiceNow. Unsure if you meet all the... qualifications of a job description but are deeply excited about the role We still encourage you to apply! At ServiceNow, we are committed to creating an inclusive environment where all voices are heard, valued, and respected. We welcome all candidates, including individuals from non-traditional, varied backgrounds, that might not come from a typical path connected to this role. We believe skills and experience are transferrable, and the desire to dream big makes for great candidates. Job Description What you get to do in this role: - Make queries and APIs to gather data and make insight - Train/test/deploy/maintain complex ML models at scale - Build ML/AI enabled applications on the ServiceNow platform - Integrate ML/AI capabilities into the ServiceNow platform - Help evolve the MLOps process our team follows - Write web components with APIs that developers love to use - Create code that is easy to understand and maintain across the team - Participate with the team to architect, design and build scalable AIML solutions Qualifications To be successful in this role you have: - Proven experience implementing machine learning and deep learning solutions - Strong data analysis skills. Data Science skills are a plus. - Strong knowledge of Python and its ecosystem of data science libraries . Knowledge of Natural Language Processing (NLP) and the related ML algorithms are preferred. - Strong understanding of MLOps process, preferably using Azure ML service - Eager to learn ServiceNow platform and new technologies quickly and demonstrate a hands-on understanding - Strong understanding of design patterns, integration patterns/practice, data modelling principles, and best practices - A good track record of project delivery for large cross-team projects - Exceptional debugging, testing, and problem-solving skills - Bachelor's degree in Computer Science or a related discipline backed with industry experience Additional Information ServiceNow is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status or any other category protected by law. At ServiceNow, we lead with flexibility and trust in our distributed world of work. Click here to learn about our work personas: flexible, remote and required-in-office. If you require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact us at talent.acquisitionservicenow.com for assistance. For positions requiring access to technical data subject to export control regulations, including Export Administration Regulations (EAR), ServiceNow may have to obtain export licensing approval from the U.S. Government for certain individuals. All employment is contingent upon ServiceNow obtaining any export license or other approval that may be required by the U.S. Government. Please Note: Fraudulent job postings/job scams are increasingly common. Click here to learn what to watch out for and how to protect yourself. All genuine ServiceNow job postings can be found through the ServiceNow Careers site"
Machine Learning Engineer - Python/Data Modeling,2023-01-11,2023-01-11 18:10:10,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=RrrLTeP4N6wAAAAAAAAAAA%3D%3D&fpstate=tldetail,HuQuo,Full-time,NA,"Gurugram, Haryana, India","Roles & Responsibilities  Design, implement, test, deploy and maintain innovative data and machine learning solutions to accelerate our business.  Create experiments and prototype implementations of new learning algorithms and prediction techniques  Collaborate with product managers, and stockholders to design and implement software solutions for science problems  Use machine learning best practices to ensure a high standard of quality for all of the team deliverables  Has experience working on unstructured data (text) : Text cleaning, TFIDF, text vectorization  Text classification using any of the following : decision trees, knn classification, support vector machines, neural networks or LDA.  2+ years of practical experience applying ML to solve complex problems in an applied environment  2+ years hands-on experience in Python, SQL or other similar languages  Proficiency in model development, model validation and model implementation for largescale applications  Ability to... convey mathematical results to non-science stakeholders Strength in clarifying and formalizing complex problems  Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-experts. (ref:hirist.com"
Deep Learning/Machine Learning Expert / Sr. Engineer,2023-01-11,2023-01-11 18:10:10,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=WwEhTAqJ99UAAAAAAAAAAA%3D%3D&fpstate=tldetail,Intellias,Full-time,NA,India,"Project Overview: We believe everyone is born creative. Were a diverse tapestry of thinkers, dreamers, givers, DIYers, handi-workers, artisans, and forever and always architects of things. We place the power of handmade into the hands of all. We give you beautiful, easy-to-master tools so you can make something unique, remarkable, perfect. We surround you with ideas, community, inspiration, and encouragement to take your creativity further than you ever imagined. And as a community, we celebrate the exhilarating act of making every single day. So, make that handcrafted card that feels like a hug. Design a shirt for fun, for family, or for a full-blown business. Craft with a passion or for a purpose. Make something big and bold, itsy-bitsy, amazingly ambitious, or just plain silly. Whatever you make, just make your heart out. Because heres the remarkable truth: When we all make together, we make all things possible. Lets make. Responsibilities:  Write robust Python software... code in our machine learning training repository while applying best software practices to support machine learning scientists in tasks such as fetching training data, preprocessing it, and orchestrating the training runs;  Integrate the training software into our continuous integration cluster to support metrics persistence across experiments, weekly/nightly neural network builds, and other unit / throughput tests;  Profile performance of training software in our training cluster, identify bottlenecks in and between CPU/GPU code execution, and work on optimizing its throughput and scalability within and across nodes to ultimately reduce convergence time;  Coordinate with the team and managing the business requirements and also working with external development teams. Requirements:  Bachelors degree or higher in Applied Mathematics, Physics, Computer Science, Data science, Statistics, Artificial Intelligence;  2+ years of Working experience as a Deep Learning Engineer or Data Scientist develop and executing computer vision deep learning model design and experimentation using Python or C++;  Experience with Python, pandas, numpy, pytorch, scikit-learn, SQL;  Experience with ML frameworks such as TensorFlow, MxNet, PyTorch;  Deep knowledge of machine learning algorithms, including supervised, unsupervised, neural network, regression, and tree-based approaches;  Experience with OpenCV;  Familiarity with AWS tools such as SageMaker, EMR, Lambda, and Fargate a plus;  Ability to with product managers to define achievable tasks with ML models;  Ability to work in a fast-paced development environment;  Good team player with great communication skills;  Passionately motivated to take ideas from R&D phase to a product. Higher Education:  Bachelor's Degree"
Machine Learning Engineer,2023-01-02,2023-01-11 18:10:11,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=ivWG3oWFknUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Mercedes-Benz Research and Development India Private Limited,Full-time,NA,"Bengaluru, Karnataka, India","AufgabenJob Description and desired Skills for ML Engineer - Enthusiastic self-starter with 4-6+ years industry experience delivering software as a service in a modern DevSecOps culture with Prior Experience on Virtual Intelligent assistants (chatbots) - Strong scripting skills; Linux administration and Python - Expert in Python coding, data analysis and business insight generation - Customize and train models for business vertical or a group of business verticals - Build automated ETL pipelines for a wide variety of data sources using Python, Writing Modular python Scripts, - Some knowledge of system configuration tools such as Chef, Terraform GIT, Jenkins/Hudson Java, WebLogic, .net( DotNET), HTML, CSS, JS, Sql Server, MySQL - Develop RESTful APIs to serve machine learning models in production and strong debugging skills - AI/ML Experience in NLP - Demonstrating experience in messaging and queuing solutions such as Kafka, RabbitMQ and tools for ingest and query design - Lead and... prioritize multiple assignments - Build and maintain documentation on current environment, data locations/sources and models, ETL processes and associated code - Take end-to-end ownership of Machine Learning pipelines -- from data pipelines to the real time prediction engine. - Build and maintain deployment tools/procedures for applications, manage the CI/CD pipelines of Machine Learning systems in production - Support and troubleshooting of staging/production environments - Build scalable containerized applications/microservices using Docker and Kubernetes - Develop tools to scale the different components of the Machine Learning pipeline - Capacity planning for AI/ML Stack and communicating the same to leadership for costing of Hardware requests; - Ensure production security standards are followed - Ensure monitoring is robust and effective - Zero downtime deployments and a high availability mindset - Mandatory knowledge of Agile development practices.QualifikationenB Tech/BE Experience in Power BI"
Machine Learning Engineer - Q-538,2023-01-10,2023-01-11 18:10:11,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=oP2Q2P8Wyz4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Artmac Soft Private,Full-time,NA,India,"Who we are: Artmac Soft is a technology consulting and service-oriented IT company dedicated to providing innovative technology solutions and services to the Customers. Click here to Apply: JobLink: https://artmacsoft.com/work-at-artmac/jobidz5G7h3l6a1kMvyS65NP3cyOEIcm7WQ48-GbGuuNFz6M Job Description: Job Title : Machine Learning Engineer Job Type : Full Time Location : Remote Experience : 2 to 8 years We are looking for a highly capable machine learning engineer to optimize our machine learning systems. To ensure success as a machine learning engineer, you should demonstrate solid data science knowledge and experience in a related ML role. Responsibilities: - Creating machine learning systems and self-running artificial intelligence (AI) software to automate prediction models. - Extensive knowledge of ML frameworks, libraries, data structures, data modeling, and software architecture - Knowledge of machine learning techniques such as time series analysis, decision trees... clustering, deep learning, and optimization - Languages for coding and programming, such as Python, Java, C++, C, R, and JavaScript. - Expertise of the mathematical concepts behind data science methodologies and experiments - Architect, construct, and deploy strong data pipelines and models - Creating machine learning algorithms to examine massive amounts of historical data in order to generate predictions. - Running tests, doing statistical analysis, and interpreting test findings are all part of the job. - Build and improve data tools with our outstanding data and technical team. Qualification: - Bachelor's degree or equivalent combination of education and experience"
Machine Learning Engineer (Fulltime) (Clone),2023-01-11,2023-01-11 18:10:12,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=KlS8hlsIrC0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Adappt Intelligence,Full-time,NA,"Bengaluru, Karnataka, India","Tools (summarized)  Programming Languages :Python  Operating Language: Linux  Data Analysis Libraries: Pandas, PySpark, Numpy, Matplotlib  Machine Learning Libraries: Scikit-learn  Deep Learning & Computer Vision Libraries : Tensorflow, Keras, PyTorch, Darknet  Cloud Tools and Containers : Docker, EC2, ECS, SageMaker  Workflow Management : Prefect, Apache Airflow Skills  Knowledge of underlying mathematical foundations of statistics and machine learning  Experience or knowledge in machine learning related to computer vision, supervised learning and time series analysis.  Proficiency in Python with excellent knowledge of Data Structures  Fluency in using Pandas or PySpark to write efficient codes at scale with large datasets  Procient in at least one of the deep learning frameworks e.g. Tensorflow, Keras or Pytorch and some experience using a machine learning library like scikit-learn Responsibilities  Develop models and build prototypes for a wide variety of tasks... spanning object detection, object tracking and time series predictions.  Contribute across dierent stages of model development including data collection, data cleaning, model development, validation, and deployment.  Utilize data processing tools, containers and data science techniques to create state of the art data pipeline CTC: 12 LPA"
Machine Learning Engineer,2023-01-09,2023-01-11 18:10:13,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=tXQYd38YzGYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Optisol Business Solutions,Full-time,₹600K–₹1.2M a year,United States (+5 others),"We are hiring *Machine Learning Engineer *for our concern. Experience: 1 to 5 years  *Salary Range : *6 to 12 LPA Skills Required:  Contribute towards building data pipelines in AWS, utilizing a variety of services.  Contribute to data strategy for our clients through research into best practices or prior experience.  In depth knowledge of Python and its data analysis and machine learning packages like Scikit Learn, OpenCV, TensorFlow, Keras, PyTorch etc.  Prior exposure to cloud platforms (preferable AWS) to deploy data pipelines and to use AWS tools/services like AWS SageMaker, Kinesis, MLFlow etc.,  Good familiarity with building RESTful APIs using FastAPI and other similar tools.  Proficient understanding of code versioning tools, such as Git/Bitbucket.  Experience with SQL/NoSQL databases  Experience working with GPU for model training.  Experienced in analyzing data and train ML models for variety of use cases and data types like video, text, sensor etc.  Aptitude... and Motivation is learning new tech stack and platforms. We are a tribe of happy people obsessed with customer success  Sample our work culture at Life at OptiSol Portal https://culture.optisolbusiness.com Optisol Business Solutions focuses on Enterprise Software, iOS, Android, Web Development, and Mobile Application. Their company has offices in Australia, Delaware, India, United States, and United Kingdom. They have a large team that's between 201-500 employees. You can view their website at http://www.optisolbusiness.com or find them on Twitter, Facebook, and LinkedIn"
Machine Learning Engineer - Timeseries,NA,2023-01-11 18:10:13,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=zT-IAyNfy-sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siemens,Full-time,NA,"Bengaluru, Karnataka, India","Machine Learning Engineer Siemens founded the new business unit Siemens Advanta (formerly known as Siemens IoT Services) on April 1, 2019, with its headquarter in Munich, Germany. It has been crafted to unlock the digital future of its clients by offering end-to-end support on their outstanding digitalization journey. Siemens Advanta is a strategic advisor and a trusted implementation partner in digital transformation and industrial IoT with a global network of more than 8000 employees in 10 countries and 21 offices. Highly skilled and experienced specialists offer services which range from consulting to craft & prototyping to solution & implementation and operation  everything out of one hand! This is your role. What part will you play  5 to 8 years of development experience  Looking for Machine Learning / Deep learning engineers with expertise in Timeserise Analytics and modelling, Anomaly detection , forecasting and classification with python.  Domain knowledge in... Industrial/electrical /Financial is highly valuable/preferable.  Should be open to travel to Saudi for duration of 3-6 months.  Strong interpersonal skills, fluent communication in a business environment.  Customer-focused behavior, proactive initiative.  Capability to collaborate strongly with responsibility and respect. Make your mark in our exciting world at Siemens This role is based in Bangalore. Youll also get to visit other locations in India and beyond, so youll need to go where this journey takes you. In return, youll get the chance to work with teams impacting entire cities, countries  and the shape of things to come. Were Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we encourage applications that reflect the diversity of the communities we work in. At Siemens we are always challenging ourselves to build a better future. We need the most innovative and diverse Digital Minds to develop tomorrow s reality. Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds Organization: Advanta Company: Siemens Technology and Services Private Limited Experience Level: Experienced Professional Full / Part time: Full-time"
Data Engineer/ML,2023-01-09,2023-01-11 18:10:14,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjtycm37MD8AhXxJUQIHUwzBv0QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=XMW39QZpzLsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Tookitaki,Full-time,US$115K–US$180K a year,India,"Location: India,None,None Data Engineer Experience-1+ yrsSummary:You have a passion for building big data solutions that solve real-world problems. Example Activities: - Build a Big Data processing and feature engineering framework for transaction monitoring- Design and build real-time pipelines for AML product- Implementing a scalable graph analysis framework Your Responsibilities: - Take full ownership in designing and implementing big data pipelines (both batch and real-time) to support the product needs - Work closely with data scientists, engineers and product managers to deliver the end-to-end product - Optimize the current production big data pipelines - Perform best practices in design, development and documentationAbout you:You should have relevant experience to the role, as: Strong programming skillsBuilding robust and scalable data infrastructure (both batch and real-time processing) to support the needs of internal and external usersExperience in building big data... pipelines for machine learning products Strong understanding of data modelingExperience with graph databases is a plus Experience with building cloud-based or on-premise big data and machine learning platform services is a plusMore generally, we expect you to have the quality of the following: Take strong ownership of your work and are driven to deliver the product end-to-endExcited about making an impact in building excellent products and have a strong curiosity Collaborate with the product team and other stakeholders to build the right thing that can generate the most impact for our customers Hold high standards and pursue excellence Apply to this job"
