Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer – MSAI,NA,2023-01-30 12:27:39,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=szv43SRezMIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Microsoft,Full-time,NA,"Nairobi, Kenya","Machine Learning Engineer  MSAI  Job DescriptionThe Microsoft Search Assistance and Intelligence (MSAI) team is responsible for enabling intelligence in Microsoft Outlook, SharePoint, Teams, Bing, and Microsoft Assistant. The Machine Learning Engineer  MSAI would be part of the Knowledge team working on researching and developing state of the art natural language processing, machine learning and graph learning technologies to build an intelligent backend for a host of delightful and powerful user experiences aimed at improving everyday productivity of every Office 365 user and organization. Every single email, chat, document, meeting, search, or any interaction users have with office canvases further augments this knowledge by deep understanding of the user, helping us build user and tenant specific knowledge graphs, while strictly guaranteeing Microsofts promise to customer privacy, compliance, and trust.The features benefiting from this range from the most basic features... like autocompleting user queries in Microsoft Search to super ambitious ones like solution for enterprise knowledge management (Viva Topics). We are looking for highly motivated software engineers who are passionate about researching interesting problems around knowledge mining, natural language processing, relevance experimentation, user understanding and writing high performance code to serve these intelligent solutions on our distributed systems operating at the scale of exabytes of data.Responsibilities• Working with a team of researchers, applied scientists and engineers, you will be responsible for all stages of the research & development cycle including early ideation, design, implementation, scaling it internationally and finally ensuring that our live is stable and healthy.• The implementations typically involve writing scalable, distributed, and highly efficient components and shipping large-scale backend services.• Instill best practices for software development and documentation, ensure designs meet requirements as well as adhering to all the privacy and compliance guidelines in handling critical user data.• Collaborating with other engineers to build demos and apps to be able to contribute new ideas.Qualifications• BS or MS degree in Computer Science (or related fields like Electronic Engineering, Physics or Mathematics).• Knowledge of data structures and algorithms and algorithmoptimizations.• Experience in developing or applying predictive analytics, statistical modelling, data mining, or machine learning algorithms.• Handson experience with anobject-orientedprogramming language such as C++, C#, Java or Python.Preferred Qualifications:• Software design and development experience with backend services.• Strong communication and interpersonal communication and collaboration skills.• Passion for learning and ramping up on new technologies and codebases.• Data driven decision making.Would you like to learn more about Software Development, CLICK HERE to have a look at the top schools.For all your IT certification needs, please, click here for information on how to get started"
Senior Machine Learning Engineer,NA,2023-01-30 12:27:39,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=fs2Z-9-aVtAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Jumo,Full-time,NA,"Nairobi, Kenya","If you join us, you will• Build and evolve JUMOs Prediction Services platform to support our mission of financial inclusion• Deploy real-time and batch models that predict customer behaviour for optimal product fit• Work with a team of ML Engineers who are keen to solve big problems and grow as a collective• Immerse yourself in a data driven environment working closely with Data Engineering, Decision Science and Portfolio teams.• Mentor juniors with technical leadership• Help with reviewing code and merging changes• Drive your own development with the support of senior leaders• Iterate quickly without compromising quality• Help guide and set the standards in coding and deployments• Drive operational excellence in meeting our Service Level Objectives• Work directly with team stakeholders and help with breaking down complex problems into smaller tasksWhat youll need• Degree in Engineering, Computer Science or similar• 5 years+ software development experience as part of... a team• Experience in Software Architecture and System Design• Expert Python skills• Proven technical leadership in developing mission critical software• Proven experience in the Machine Learning lifecycle• Proven experience with large scale datasets in Apache Spark, AWS EMR or similar• Cloud development experience, preferably AWS• Proven experience in DevOps tools (e.g. Jenkins, Spinnaker)• Ability to work in autonomously in potentially ambiguous situationsBonus if you have experience in• Kubernetes• Fintech domain• Infrastructure as Code (e.g. Terraform)• Java, or C++• Scala• Kafka• NoSQL (e.g. DynamoDB)•"
Machine Learning Team Leader,NA,2023-01-30 12:27:40,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=A25z_p0bfcUAAAAAAAAAAA%3D%3D&fpstate=tldetail,digital divide data,Full-time,NA,"Nairobi, Kenya","Company DescriptionAbout Digital Divide Data (DDD)Digital Divide Data (DDD) is a US-based non-profit, mission-driven enterprise with the goal of using technology and digital skills to bridge the divide between economically and socially marginalized youth and employment opportunities that lead to a sustainable and viable future. DDD identifies talented but underserved youth in Africa and Asia (Kenya, Cambodia, and Laos are the main centers) to enter formal employment, undergo professional training and skills development, and pursue tertiary education. Our headquarters are in New York, and we have over 1,500 employees across our operations in Kenya, Cambodia, and Laos.Job Description Ensure that the allocated work is properly distributed to all the team members and is executed in a timely manner. Ensuring the departments productivity is maximized to the required standards and the pre-defined KPIs, performance targets, and standards are achieved in accordance with the... business plan. Monitor and report progress on performance, provide feedback, and take appropriate corrective action. Ensure that personal targets and deadlines are met. Provide support and assistance for team members to assist in the development of their skills and knowledge by identifying the campaign training requirements and evaluating the effectiveness of the training among the team members Provide regular coaching and training on new and existing products and changes to any processes. Conduct regular quality assessments and coaching; offer constructive feedback, which will include QA feedback sessions and continuously developing quality. Prepare daily individual performance activity reports, incident logs, and shift planners to ensure that the statistics are well interpreted to meet the required business standards. Provide the team with appropriate communication and gain their feedback through regular team meetings. To motivate the team to provide a first-class service to all our clients whilst ensuring business targets are met. Work closely with the other Team Leaders to ensure that queries across all areas of the business are handled. Recognize & celebrate team & individual accomplishments & exceptional performance The Team Leader shall keep the Operations Manager/Management informed of schedules, priorities, accomplishments & ongoing issues, and participate in achieving resolutions to identified issues. Keep track of client change of instructions and cascade that down to the team and notify of any scope changes to the management team. Drive the DDD culture and values within the team by promoting teamwork, optimize and maximize personal and team potential and encourage staff development.Qualifications A degree or diploma in a business-related field. Two years of work experience in a BPO environment. Minimum 1 year of experience in a Team leader position in a busy contact center IT literacy in Excel, Access, Word, and PowerPoint Reporting and analytical skills Superb attention to detail and interest in analyzing a large amount of media• Lidar Segmentation skills will be an added advantageAdditional Information Able to handle, and prioritize, multiple projects simultaneously Fluent in English (written and verbal) and Swahili Great attention to detail and feedback skills. Excellent communication skills Planning and organizing skills Fast learner and able to break down complex information into simple concepts. Strong interpersonal skills. Problem-solving skills - Solution oriented Excellent team player and captain"
Internship: Research Engineer AI,NA,2023-01-30 12:27:40,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=1gPL_mc4GHUAAAAAAAAAAA%3D%3D&fpstate=tldetail,IBM,Internship,NA,"Nairobi, Kenya","IntroductionAt IBM, work is more than a job  its a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things youve never thought possible. Are you ready to lead in this new era of technology and solve some of the worlds most challenging problems If so, lets talk.Your Role and Responsibilities  Research Engineer AIIBM Research Africa is looking for Research Engineer interns (Masters level) to join our efforts in anomalous pattern detection and Trustworthy AI. The internship will provide selected students the unique opportunity to work with world-class scientists based in Nairobi and around the globe as part of the worlds largest research organization.The exact starting time and duration will be agreed upon individually.Successful applicants will demonstrate excellent coding (Python) and communication skills to quickly make contributions to... research projects over the course of a few months. We will be giving preference to students with backgrounds in anomalous pattern detection, deep learning (PyTorch or Tensorflow) or Trustworthy AI concepts such as: bias, explainability, or causality.Required Technical and Professional Expertise  Research Engineer AI• MS Degree in Machine Learning, Computer Science, Applied Mathematics, Statistics, or related fields• Safely integrating novel code into larger projects• Design, validation, and characterization of algorithms and/or systems• Contributing to open source projectsPreferred Technical and Professional ExpertiseNoneAbout Business UnitWith more than 3,000 researchers in 12 labs located across six continents, IBM Research brings together hundreds of researchers who possess unparalleled industry expertise to address some of the worlds most challenging problems. Join us as we do pioneering work in areas such as cognitive computing, augmented intelligence, quantum computing, and blockchain, to name a few.Your Life  IBMWhat matters to you when youre looking for your next career challengeMaybe you want to get involved in work that really changes the world What about somewhere with incredible and diverse career and development opportunities  where you can truly discover your passion Are you looking for a culture of openness, collaboration and trust  where everyone has a voice What about all of these If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.Impact. Inclusion. Infinite Experiences. Do your best work ever.About IBMIBMs greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.Location StatementFor additional information about location requirements, please discuss with the recruiter following submission of your application.Being You  IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.Would you like to know what IBM has been up to lately Click hereThe interview process does not have to be scary. Here are some tips you can use to make sure that you make a good first impression"
Mid Machine Learning Engineer,NA,2023-01-30 12:27:40,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=h9ES5uqAl1oAAAAAAAAAAA%3D%3D&fpstate=tldetail,Azenia,Full-time,NA,"Nairobi, Kenya","Job PurposeWe are looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products.Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, wed like to meet you.Your ultimate goal will be to shape and build efficient self-learning applications.Job Responsibilities• Study and transform data science prototypes• Design machine learning systems• Research and implement appropriate ML algorithms and tools• Develop machine learning applications according to requirements• Select appropriate datasets and data representation methods• Run machine learning tests and experiments• Perform statistical analysis and fine-tuning using test results• Train and retrain systems when necessary• Extend existing ML libraries and frameworks• Keep abreast of... developments in the fieldRequired Skills & Experience• 5 years of ML model development (Catboost, Light GBM, XG Boost)• Experience in Python development• Understanding of data structures, data modeling and software architecture• Deep knowledge of math, probability, statistics and algorithms• Ability to write robust code in Python, Java and R• Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)• Excellent communication skills• Ability to work in a team• Outstanding analytical and problem-solving skills• Degree in Information Technology or related course"
Machine Learning Engineer – Wasoko,2023-01-17,2023-01-30 12:27:41,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=XtrUs6yi7YIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Wasoko,Full-time,NA,"Nairobi, Kenya","SummaryWe are looking for an experienced ML Engineer to join our team and help create innovative solutions for our company. The successful candidate will have a strong background in machine learning, data engineering, and software development. They will be responsible for developing ML models, integrating data sources, and creating pipelines for data acquisition and analysis.Responsibilities• Design and develop ML models to address business needs• Develop automated pipelines for data acquisition and analysis• Develop data engineering solutions to integrate data sources• Develop software solutions to support ML models• Develop and maintain a suite of tools and processes to test, deploy, and monitor ML models• Collaborate with stakeholders to understand requirements and deliver solutionsQualifications• Bachelors degree in Computer Science, Engineering, Mathematics, or a related field• 3+ years of experience in ML engineering and data engineering• Proven experience... developing ML models and software solutions• Strong understanding of data engineering and software development best practices• Ability to work independently and in a team environment• Experience with cloud computing platforms (Azure, AWS, Google Cloud Platform) is a plusQualified candidates should apply on this link"
Data Scientist,NA,2023-01-30 12:27:41,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=GF46Vo3PekMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Invent Consulting Limited,Full-time,NA,"Nairobi, Kenya","Company DescriptionInvent Consulting Ltd is a software development company offering enterprise software solutions, CRM solutions, Business Intelligence solutions and custom web and mobile solutions that help organizations operate efficiently, profitably and productively.We are seeking a talented Data Scientist for a 6-month contract that will be renewable based on the individual overall performance measured across the 6-month period.Job Description• Devise and utilize algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity and accuracy• Processing, cleansing, and verifying the integrity of data used for analysis• Perform exploratory data analysis• Research and devise innovative statistical models for data analysisQualifications• Strong analytical and problem-solving skills• 2+ years of writing code in PHP, Java, Python or C#• Knowledge of programming languages like SQL, Python, R, and... Scala• Experience working with Jupyter Notebooks• Strong mathematics skills (e.g., statistics, algebra)• Experience with machine learning and AI• Experience working with h2o will be an added advantage• Ability to work independently and with team members from different backgrounds• Excellent attention to detail• Excellent communication and presentation skills• Ability to collaborate across the team to build solid and clean code as well as close on projects in a timely manner• Experience working with Amazon Web Services will be an added advantage"
Data Scientist,2023-01-05,2023-01-30 12:27:41,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=WkMdTrlwXV0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Pollicy,Full-time,NA,"Nairobi, Kenya","Pollicy is a feminist collective of technologists, data scientists, creatives and academics working at the intersection of data, design and technology to craft better life experiences by harnessing improved data.Tasks will include:Building, deploying and maintaining data pipelines and machine learning models.Contributing to the dataset creation by supplementing the already available data with that data that may be relevant to the machine learning activity.Actively participating in the data preparation process/text preprocessing which involves areas of n-Gram identication, tokenization, stopwords removal, named entity removal, etc.Contributing to data analysis to extract insights from textual data.Other duties as assigned.Deliverables:The reproducible script allows someone else to recreate your work by copying and pasting code. Include the required packages, data, code, and a description of your environment.Model performance screenshot  A screenshot of the model... evaluation results.Document term matrix  a mathematical matrix that describes the frequency of terms that occur in a collection of documents.Note on sentiment analysis  a short writeup on the model.You must have:At least an undergraduate degreeAt least 3 years experience with machine learning/deep learning (Preferably experience building machine learning for Natural Language processing).Experience working with both Python and R to build and deploy models.An open mind and desire to try out new thingsWillingness to teach and share knowledge with others.Competency in Microsoft and Google applications including Word, Excel, and OutlookPossess strong writing and communication skills"
Senior Data Engineer,2023-01-27,2023-01-30 12:27:42,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=_TT37wXjiyQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Angaza,Full-time,NA,"Nairobi, Kenya","About AngazaAngaza enables businesses to sell life-changing products, on credit, to low-income, unbanked consumers in emerging markets. Our technology uses an IoT network of connected devices, mobile payments, and machine learning to accelerate the adoption of solar energy systems, smartphones, and appliances.We are reinventing consumer credit by making it available to the 2 billion people across the globe who are unbanked or left out of formal credit/savings ecosystems. With Angaza, consumers have the flexibility to buy now and pay later, with full pricing transparency. And, merchants can increase their sales and revenue by over 8x by offering life-changing products on credit.Angazas inclusive finance platform is already used by businesses in 50+ countries across Sub-Saharan Africa, Latin America, and Asia to improve the daily lives of over 20 million people.Role SummaryWe are looking for an experienced Senior Data Engineer to partner with our Data & Devices and Business... Intelligence teams to own and scale our data pipelines and data infrastructure. As a Senior Data Engineer, youll work closely with colleagues across the company to develop a deep understanding of our data streams and to design data and analytics solutions that support core business functions such as underwriting and analytics.What You'll Do• Collaborate with Engineering and Business Intelligence teams to design, test, develop, and maintain pipelines between cloud data sources.• Interface with key stakeholders such as finance and sales to understand their needs and the data they generate.• Develop backend features for core platform features including developer APIs, device management and underwriting.We're Looking For Someone With• 4+ years experience in a relevant field• Fluency with Python• Experience with SQL• Familiarity with dbt (or similar tools), Snowflake and reverse ETL tools• Experience with AWS Cloud InfrastructureOur Stack• Backend: Python with Flask, SQLAlchemy, and Celery• Infrastructure: AWS with PostgreSQL, EC2, Lambda, and friends managed through Terraform• Frontend: modern JS with React/Redux• Mobile: Android with Kotlin• Business Intelligence Tools: dbt, Hevo, Snowflake, Sisense visualization serviceOther DetailsAngaza is a for-profit company with headquarters in Nairobi and San Francisco.Employees receive salary and competitive benefits that include:- company-sponsored private medical plan- pension plan with company contribution- quarterly professional development allocation- team & mission you can believe inOur Commitment to DEIAt Angaza, we evaluate all candidates on the basis of their ability to meet stated job requirements. We do not discriminate against candidates on the basis of sex, gender, marital status, religion, nationality, or other personal characteristics. In keeping with our commitment to supporting a safe and inclusive workplace, we strongly encourage candidates from traditionally underrepresented backgrounds to apply"
Head of Data,NA,2023-01-30 12:27:42,https://www.google.com/search?q=Machine+Learning+Jobs+Kenya&ibp=htl;jobs&sa=X&ved=2ahUKEwjs89Wpg_D8AhVJHDQIHSpgAe4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=GwiogMy1H8UAAAAAAAAAAA%3D%3D&fpstate=tldetail,Sendy,Full-time,NA,"Nairobi, Kenya","About SendySendy specializes in connecting on-demand, trusted, and transparent service providers with individuals and businesses looking to move packages. Thus, we believe its a natural extension of our core expertise to also connect our users to quality certified transportation providers. As of today, Sendy users can now request a package delivery using a motorcycle, van, pickup, or 3 ton truck, or a passenger RIDE with a boda boda or cab  all from within the same Sendy mobile app (available on Android and iOS) and web platform. All delivery and ride services are available 24 hours a day, 7 days a week and can be paid for using cash, Mpesa, or card.We believe that Africa does better when everyone has room to grow and thrive. No one should be left out because the distance between seeing an opportunity and making a living from it is too great. We started by delivering small packages but havent stopped there. Today, were empowering businesses to send raw materials to their... production facilities and finished goods to their customers. Were helping small scale farmers get their produce to the market. Were making it possible for the hardworking delivery driver to earn a decent living. We are here to make it easy to trade in Africa so that everyone has room to grow.We are looking for a Head of data who wishes to help us improve trading and movement of goods in Africa by helping us efficiently maximize the data we collect as we provide our services.Job purposeThe overall purpose of the Head of Data is to provide strategic leadership and drive initiatives of the different data teams in the organization. The individual will lead data scientists, data analysts, data engineers and other technical team members in supporting different stakeholders with insights, reports and services to aid achieving different business objectives.. Furthermore, the role focuses on continuously improving internal processes and our data tool stack . Previous experience in developing and deploying machine learning models in production is a strong plusKey duties and responsibilities• Develop and ensure execution of the Data strategy in line with the overall business strategy.• Develop a road map for data in alignment with all stakeholders.• Manage, grow and motivate the direct reports within the data team.• Lead teams in developing ML models and ensure they provide value to the stakeholders.• Manages overall data architecture and manages, develops, prioritizes and recommends initiatives to improve and build upon the data architecture to support the business.• Ensures consistency of processes and champions best practices in data management. Oversees data accuracy processes and goals.• Responsible for user experience with data reporting and tools.• Devise and evaluate methods for collecting data and constantly try new tools to improve our setup.• Support the team in developing and maintaining KPI reports and dashboards that communicate key business trends and highlight opportunities for growth and improvement.• Perform analytics and leverage existing analytical tools to improve decision making and customer strategy development for key stakeholders across Sendy.• Work with the data engineering team to store accurate and required data in an accessible manner.• Any other duties that may be assigned by the supervisor.Working relationshipsInternal RelationshipsThe Head of Data Data will be: Directly accountable to the VP Growth & Data Required to work with stakeholders from all departments across the companyExternal Relationships: Partners CustomersKnowledge, experience and qualifications required Bachelors degree in Computer Science, Electrical Engineering , Statistics, Mathematics or any other related fields. Minimum 5 years experience working in the technology industry Minimum of 3 years working with data science / machine learning related projects.Technical competencies Proven ability in building and deploying machine learning models in production. Proven ability in data analytics & visualization. Skilled in SQL, R, python, etc. Experience with AWS,GCP, Snowflake, etc. Strong knowledge of the software development cycle.Core competencies Strong leadership skills. Analytical, creative thinking and problem solving skills. Strong project management skills Strong creativity skills and idea generation. High-level interpersonal and cross-cultural skills. Must be a self-starter and highly organized. Ability to work well with people at all levels in the organization. Excellent communications skills Flexibility and adaptability. Open to change. Calm under chaos.What We Offer• Comprehensive health insurance  Inpatient / Outpatient / Dental / Optical• Flexible vacation• All risk Insurance• Monthly Lunch allowance• Education Stipend• Opportunity for company stock optionsWorking EnvironmentThe job can be done both remotely and in person, with a strong preference for in person availability.Salary is negotiable based on experience.This Job is no Longer Taking Applications"
