Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Senior Machine Learning Engineer,NA,2023-01-30 12:28:43,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=GRhkAD9MlWoAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Lithuania,"EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.DESCRIPTIONWe are looking for a Senior Machine Learning Engineer who can design and implement standardized processes and technology capabilities for building, deploying and operationalizing ML systems rapidly and reliably. To provide leadership in defining and implementing strategies and tools, working with internal and external stakeholders.Half of the time is dedicated to the hands-on analysis of... data science initiatives, plans, and ML-powered products. In contrast, the other half is spent building data and modelling pipelines, tools and applications to automate that process.WHAT YOULL DO• Work with Data Scientists to understand what they are working on, analyze the work from a machine learning engineering point of view and list a roadmap of what needs to be done to bring ML artefacts into life: guiding practices on how to improve, helping with a preliminary ML system design and anticipating of consequent Product changes, advising what the team should look for the project, implementing of some hypotheses (YOLO model, an algorithm from a whitepaper, etc.)• Participate in the code review process• Participate in the code review process• Design and build efficient and reproducible ML pipelines: producing features and anything needed to iterate over a model (feature selection, hyperparameter tuning, validation, etc.)• Schedule and operate model in a productiondata pipeline• Design and build ML pipeline end to end to promote ML artefacts into production• Analyze and communicate model performance• Write clean and tested code that can be maintained and extended by other software engineers• Keep up to date on relevant technologies and frameworks and propose new ones that the team could leverage• Have some vision on an ML system design to fill in the gaps• Build a framework (coordination between teams, DevOps, Data Engineers, QA, MLE, DS)WHAT YOU HAVE• Expertise in Python and its ecosystem• Machine learning, software engineering and distributed computing basics• Experience with DBMS and different data models (relational, columnar, document, etc.)• Competency in building HTTP-based APIs for distributed systems• Experience with machine learning tools such as Pandas, Numpy, Scikit-Learn, TensorFlow, PyTorch, DeepAR, Prophet, Catboost, XGBoost, Spark, PySpark and tasks such as Time Series forecasting, Computer Vision, Recommendation Systems• Understanding how web applications are built and organized• Experience withcontinuous integrationand continuous developmentWE OFFER• Innovative solutions delivery to the worlds digital changes• Experience exchange with colleagues all around the world• Opportunities for self-realization• Unlimited access to LinkedIn learning solutions• Friendly team and enjoyable working environment• Engineering, corporate and social events• Social package: professional & soft skills trainings, medical & family care programs, sports• Free English classes• Flexible working schedule"
machine learning engineer,2023-01-29,2023-01-30 12:28:43,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=ynxIlQj9SDEAAAAAAAAAAA%3D%3D&fpstate=tldetail,BARBORA LT,Full-time,NA,"Vilnius, Vilnius city municipality, Lithuania","WHAT YOU'LL BE DOING:• Contribute to the development, deployment and operations of data science solutions  from the design to operations and monitoring.• Design and implement the technical framework for building, deploying and monitoring ML models.• Ensure ML applications are optimized in terms of performance and stability.• Monitor ML model performance.• Automate machine learning tests and training.• Co-develop and document standards and best practices for Data Science.REQUIREMENTS:• Experience in the development and deployment of ML models.• Advanced knowledge of Python.• Experience with AWS.• At least 3 years of ML experience or 4 years of software development experience.• Understanding of deep learning solutions.YOU ARE SOMEONE WHO:• Is proactive and a quick learner with an ambitious and results driven personality.• Has good knowledge of English.• Are curious and eager to learn new things.• Have a sharp eye for details.• Is an excellent communicator with... organizational skills.WHAT'S IN IT FOR YOU:• You will accelerate your career by joining the #1 e-commerce grocery company in the Baltics; • You will enjoy and partners' discounts;• Your choice of a Mac or Windows laptop;• Flexible working hours and a possibility to work remotely;• A high degree of collaboration and autonomy, motivated colleagues and access to cutting-edge technologies;• Fully equipped kitchen with coffee, cold drinks, and snacks;• Monthly LAN parties with pizza, company events and team-buildingsSALARYGross salary range is 3100 - 4000 EUR / month and depends on your experience"
Lead Machine Learning Engineer,NA,2023-01-30 12:28:44,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=r_1iIxmK0cQAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Lithuania,"DescriptionYou are strategic, resilient, engaging with people and a natural self-starter. You have a passion for solving complex problems. If this sounds like you, this could be the perfect opportunity to join EPAM as a Lead Machine Learning Engineer. Scroll down to learn more about the positions responsibilities and requirements.WHAT YOULL DO• Responsible for the transition of machine learning algorithms to production environment and integration with enterprise ecosystem• Design, create, maintain, troubleshoot, and optimize the complete end-to-end machine learning life cycle, which includes• machine-learning model optimization• data preparation• feature extraction• model performance monitoring• AB/Canar/Bluegreen/etc. testing• Integration with Enterprise ecosystem/IoT devices/Mobile devices• Write specifications, documentation, and user guides for developed solutions• Build frameworks for data scientists to accelerate the development of production-grade machine... learning models• Collaborate with data scientists and engineering team to optimize the performance of ML pipeline• Aid In improvement of SDLC practices• Exploration of new tools and techniques and propose improvements• Establish and configure CI/CD/CT processes• Design and maintain ML models continuous training• Provide capabilities for early detection of various drifts (data, concept, schema., etc.)• Continuously identify technical risks and gaps, devise mitigation strategies• Identify and eliminate technical debt in machine learning systemsWHAT YOU HAVE• Experience in Enterprise Software Development for 5+ years• Solid background in Machine Learning for 3+ Years• Experience with designing, building and deploying production applications and data pipelines• Experience in development of highly available, largely scalable, ML driven applications and systems• Experience with cloud native services: GCP, AWS, Azure• Able to work closely with customers and other stakeholders• Strong knowledge and experience in Python development• Deep understanding of Python ML ecosystem (pytorch, tensorflow, numpy, pandas, sklearn, XGBoost)• Hands-on experience in implementation of Data Products• Deep understanding of data preparation and feature engineering• Understanding of Apache Spark Ecosystem (Spark SQL, MLlib/Spark ML)• Deep hands-on experience with implementation of SDLC best practices in complex IT projects• Experience with automated data pipeline and workflow management tools (Airflow)• Knowledge and experience in computer science disciplines such as data structures, algorithms, and software design patterns• Hands-on experience in different data processing paradigms (batch, micro-batch, streaming)• Deep understanding of MLOps concepts and best practices• Experience with some of the MLOps related platform/technology such as AWS SageMaker, Azure ML, GCP Vertex AI / AI Platform, Databricks MLFlow, Kubeflow, Airflow, Argo Workflow, TensorFlow Extended (TFX), etc• Production experience in integrating ML models into complex data-driven systems/IoT device/Mobile devices• Experience with basic software engineering tools (CI/CD environments such as Jenkins or Buildkit, PyPi, Docker, Kubernetes)• Experience with one of the infrastructures as a code (IoC) framework (Terraform/CDK TF, Ansible, AWS CloudFormation / AWS CDK)WE OFFER• Outstanding career development roadmap to accelerate your journey• Engineering community of 61,300+ industrys top professionals• Certification and mentoring programs, training, and unlimited access to LinkedIn Learning• Innovative solutions delivery to the worlds industry leaders• Regular assessments and salary reviews• Bonuses for participating in the referral program• Participation in the Employee Stock Purchase Plan• Flexible schedule and opportunity to work remotely from any place in Lithuania• Friendly team, and enjoyable working environment• Relocation within offices in 50+ countries with throughout support for you and your family• 3 additional vacation days and 4 trust days a year (sick leave without a medical certificate)• Private health insurance and corporate discounts for family membersABOUT EPAM• We are a team of 61,300+ technologists, strategists, and designers in 50+ countries. EPAMers help leading brands transform their business through our engineering expertise, design thinking, and business consulting. We foster creativeness and unconventional ways of doing things welcoming like-minded professionals. Growing fast in Lithuania to 1K EPAMers in less than 2 years, we have myriads of challenges for you to explore"
MLOps engineer,2023-01-26,2023-01-30 12:28:44,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=Ho4mz-1nVfYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Accenture Baltics,Full-time,NA,"Vilnius, Vilnius city municipality, Lithuania","MLOps is a set of management techniques for the deep learning or production ML lifecycle, formed from machine learning or ML and operations or Ops. These include ML and DevOps methods, as well as data engineering processes for deploying and maintaining machine learning models in production.Benefits:• Competitive salary 3300 - 5350 EUR gross• Flexible vacation + health & travel insurance + relocation• Work from home, flexible working hours• Work with Fortune 500 companies from different industries all over the world• Skills development and training opportunities, company-paid certifications• Opportunities to advance career• An open-minded and inclusive company cultureKey responsibilities:• Design and implement cloud solutions, build MLOps on cloud (AWS, Azure, or GCP)• Build CI/CD pipelines orchestration by GitLab CI, GitHub Actions, Circle CI, Airflow or similar tools• Data science model review, run the code refactoring and optimization, containerization, deployment... versioning, and monitoring of its quality• Data science models testing, validation and tests automation• Communicate with a team of data scientists, data engineers and architect, document the processesRequired Qualifications:• Ability to design and implement cloud solutions and ability to build MLOps pipelines on cloud solutions (AWS, MS Azure or GCP)• Experience with MLOps Frameworks like Kubeflow, MLFlow, DataRobot, Airflow etc., experience with Docker and Kubernetes, OpenShift• Programming languages like Python, Go, Ruby or Bash, good understanding of Linux, knowledge of frameworks such as scikit-learn, Keras, PyTorch, Tensorflow, etc.• Ability to understand tools used by data scientist and experience with software development and test automation• Fluent in English, good communication skills and ability to work in a teamDesired Qualifications:• Bachelors degree in Computer Science or Software Engineering• Experience in using AWS, MS Azure or GCP services.• Good to have any associate Cloud Certification"
Senior Software Engineer - Machine Learning,NA,2023-01-30 12:28:45,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=ZVoCw4sdv7cAAAAAAAAAAA%3D%3D&fpstate=tldetail,Intempt Technologies,Full-time,US$30K–US$60K a year,Lithuania,"Intempt is looking for a proactive, detail-oriented, and self-organizing Senior Software Engineer who specialized in Machine Learning and seeks to grow technical skills while building a career with a high-growth startup.In this role, you will be responsible for architecting and implementing next-generation machine learning product for Intempt platform. The position would also require to leverage and improve ML infrastructure for model development, training, deployment and scaling ML systems.If you love working on software products that touch the consumer and want some serious experience under startup growth conditions, you should apply to join our team.ResponsibilitiesUtilize code (Python and Java) and apply machine learning expertise to build product featuresDevelop ML-driven systems to expand capabilities and facilitate analysis within a given domain such as: predicting churn and recommendation enginesWork with large, complex data sets. Solve difficult, non-routine... analysis problems, applying advanced analytical methods as neededBuild ML pipelines iteratively in a sustainable fashionMaintain standards for writing clean, organized machine learning code and documentation to streamline machine learning workflowDrive and promote a culture of sustainability & maintainability.Solve analytical problems, and effectively communicate methodologies and results both verbally and in writingMinimum QualificationsBA/BS or Masters Degree in Computer Science or related technical discipline, or equivalent practical experience3+ years total technical software engineering experience in one or more of the following areas:Programming languages: Java and PythonTraining using data structures and algorithmsModern machine learning algorithms (e.g., tree-based techniques, supervised, deep, or probabilistic learning)Machine Learning Software such as MLflow, Tensorflow/Pytorch, Scikit-LearnStrong understanding of Object-Oriented Analysis and Design, Algorithms, and Data StructuresProfessional experience defining, developing, and maintaining scalable web service APIExpert skills working with SQL queries, including performance tuning, utilizing indexes/partitions.Preferred QualificationsExperience in software design, development, and data-related solutions/architectureExperience working with Big Data systems (Flink, Spark, Kafka, Cassandra, Clickhouse) with at least a multi-PB scaleExperience in low latency, high-performance, real-time data processingProven record of building next-generation libraries, APIs and data pipelinesExperience with large-scale distributed and multi-tenant systemsWhy work at IntemptYou're interested in growing your engineering skills 10x by delivering on a big responsibility at an innovative startupYou're interested in flexible remote workFully Paid (no questions asked) vacation & sick leaveHome office setup or co-working allowanceAnnual team retreatsIntempt Technologies focuses on SaaS, Personalization, Ecommerce, and Lifecycle Marketing. Their company has offices in Austin and Vilnius. They have a small team that's between 11-50 employees.You can view their website at http://www.intempt.com or find them on Twitter, LinkedIn, and Product Hunt"
AI / Machine learning specialist/researcher,NA,2023-01-30 12:28:45,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=JyptLK2y80UAAAAAAAAAAA%3D%3D&fpstate=tldetail,Planner 5D,Full-time,NA,"Vilnius, Vilnius city municipality, Lithuania","About UsStarted as an app to create floor plans and interior designs, Planner 5D is now a unified destination for home improvement and design for over 80+ million users across the globe.Do you remember the last time you were doing a renovation at home Dealing with different designers and architects, figuring out where to place your furniture and how many outlets do you need. Our mission is to make the entire design process as streamlined and pleasant as possible. Planner 5D makes it possible for every person out there to design their own dream home  and this is only the beginning of our path.Planner 5D is available on all platforms, including Web, iOS, Android, Windows and MacOS with full synchronization between them. The company is well funded by international VCs.Planner 5D is more than an app or a platform for home design. Planner 5D is a team. A team of perspective talents, sharing the same passion and values an opportunity to work together. A team of young enthusiasts... working from different countries and time zones to achieve a common goal. A team of highly-motivated professionals, seeking to make visual home design tools accessible to anyone.We strive to develop and enter new market verticals. That's why we are constantly searching for new talents and ready to expand our team.We are searching for AI / Machine learning specialist / scientist who will join our AI team and work on new exciting solutions like 3D point cloud understanding, 2D image recognition.What You Will DoResearch into fields of AI and mathematics to find solutions to not so easy real world problems, create prototypes and / or final solutions.Only reading papers and applying solutions from web will not be enough. In quite some cases you will have to create custom solutions or implement them from papers directly or explain to developers how to do it.Requirements• Deep understanding of AI, computer vision, statistics, geometry and topology, combinatorics (especially graph theory), analysis, optimization• Experience in computer science with knowledge of algorithms and data structures• At least 4 years in AI research or practiceRequired knowledge of• Python - and common maths / AI / statistics libraries (numpy, scipy, shapely, pandas, ...)• Tensorflow• Supporting technologies - JSON, Git, ...• 2D / 3D computer graphics• How 3D data works - point-clouds, meshes, ...Character requirements• Should like your job• Great analytical skills• Wish to learn, use and understand new ideas, algorithms, technologies, solutions• Has hobbies related to technologies (programming, micro-controllers, 3D printing, physics, mathematics, ...)• Should be able to understand tasks, and express himself to others (essentially to properly communicate in our team)What we offer:• Competitive salary  we want our team members to be comfortable and are open to any discussions.- Freedom and responsibility in the role  we won't stand behind you pushing to work. We trust our team enough to allow people to work on their own.- Budget for education and training  we encourage our team members to study and are ready to cover training expenses. - An opportunity to work from Vilnius ofice or remotely from any place in the world.We hope that your application will be the beginning of a long-term and mutually beneficial relationship that goes beyond a job. Fill in the form and we'll get back to you within a working day!PI200202563"
Data Scientist,2023-01-23,2023-01-30 12:28:45,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=njZpHiCR350AAAAAAAAAAA%3D%3D&fpstate=tldetail,Multitude,Full-time,NA,"Vilnius, Vilnius city municipality, Lithuania","We are looking for a Data Scientist who will support various business initiatives by providing end-to-end machine-learning solutions. The ideal candidate is adept at using large datasets to find opportunities for improving decision-making and process optimization. They must have experience with data mining and analysis, model development and implementation, using/creating algorithms and creating/running experiments. They must have a proven ability to drive business results with data-driven insights. The right candidate will have a passion for innovating and discovering different solutions in order to improve business outcomes.Responsibilities:• Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.• Mine and analyze data from company databases to provide meaningful insights.• Employ machine learning and statistical methods to optimise product development, marketing techniques, credit scoring... collections optimization, and other business strategies.• Design and track performance of A/B tests providing data-driven insights.• Develop processes and tools to monitor and analyze model performance and data accuracy.• Produce relevant documentation related to model performance.About you:• Degree in data science, statistics, mathematics, econometrics or a similar field• Experience using programming languages (R, Python, SQL, etc.) to manipulate data, develop models and draw insights.• Knowledge of a variety of machine learning techniques, understanding of different algorithms and their real-world advantages/drawbacks.• Ability to use different data visualization practices to provide data-driven insights.• Excellent written and verbal English communication skills• Experience working on machine learning projects related to marketing, credit scoring or collections is an advantage.We Offer:• Company share matching program• Wellness allowance• Flexible working hours• Access to LinkedIn learning with over 8000 courses• Possibility to work from home and from the office• Healthy snacks in the office• Working in a fast-growing international finance company• Opportunities for growth, the realization of own ideas and further trainingThe salary range for this position is 2500-5,000 (gross) per month, depending on experience"
Senior Data Scientist,2023-01-23,2023-01-30 12:28:46,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=_PstS3Q9AmQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Danske Bank Lithuania,Full-time,NA,"Vilnius, Vilnius city municipality, Lithuania","Do you want to be part of the data science journey in one of the largest financial institutions in Northern Europe Are you committed and able to apply your extensive analytical skills Can you create value for Danske Bank customers by detecting financial crime through advanced machine learningJoin 1st Line Financial Crime Machine Learning Team, a team of experts within different areas of expertise, responsible for ensuring an agile ever-growing detection setup. We are currently looking for an experienced data scientist to assist expand our data science competencies in financial crime modelling, and you have the possibility to contribute.We are looking for people with a genuine interest in researching and applying state-of-the-art generative machine learning methods. This will likely be demonstrated via a strong academic publication track record or GitHub repo. We offer you an opportunity to continue learning through interactions with colleagues, a weekly journal club and a... dedicated time and monetary budget.The team is located in Copenhagen and Vilnius  you will be based in Vilnius and be part of a professional, Nordic environment with a significant focus on performance, academic insights and emphasis on delivering results.Depending on your experience and knowledge we may offer you a different seniority of the role.You will:• Be working with data analysis and development of probabilistic machine learning models for our financial crime solutions• Continuously improve and innovate new and existing models through Bayesian predictive modelling or generative modelling techniques• Be applying your theoretical insights and practical experience to solve real problems• Be working hands-on and will take part in all aspects of developing and maintaining supervised and unsupervised modelling of financial crime• Have close collaboration with experts across business and IT to bring the best solutions to life in your daily workAbout you:• Proven experience in handling large amounts of data and fluency in Python/R, SQL, PySpark, etc.• Ideally, hold a PhD degree within a quantitative field and have experience in data analysis, data cleaning, feature engineering and development of machine learning models (concepts like eigenvalues, inner joins, posterior distributions, and sigmoids should not be new to you)• Have a clear vision of future developments in predictive and generative modelling• Can combine solid business understanding and commercial awareness with experience within scripting languages and extraction of structured, semi-structured and unstructured data• Have an analytical mindset and a fact-based approach, and you understand the need for applying data as a competitive advantage in the banking environment• Result-oriented and with a positive mindset and a proactive attitude• As you will join an international environment, advanced English skills are key• Experience in financial services would be considered as a pro but not a requirement• Advanced English skillsWe offer:Monthly salary range from 2960 EUR to 4440 EUR gross (based on your competencies relevant for the job).Additionally, each Danske Bank employee receives employee benefits package which includes:• Growth opportunities: professional & supportive team, e-learnings, numerous development programs; (incl. professional certificates); 100+ professions for internal mobility opportunities.• Health & Well-being: a diverse, inclusive, work & life balance work environment; health insurance from the first day of employment; mental well-being practices; partial psychologist counselling compensation; silence and sleep zones at the office; game rooms.• Hybrid working conditions: home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.• Additional days of leave: for rest, health, volunteering, exams in higher education institutions, and other important activities. Moreover, for seniority with Danske Bank.• Monetary compensation package: accidents & critical diseases insurance; financial support in case of unfortunate events, travel insurance; IIIrd Pillar Pension Fund contribution"
"Data Scientist, Matching",2023-01-26,2023-01-30 12:28:46,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=wI7sMbjoW2IAAAAAAAAAAA%3D%3D&fpstate=tldetail,Vinted,Full-time,NA,"Vilnius, Vilnius city municipality, Lithuania","Vinted is Europes biggest pre-loved fashion marketplace, with 75+ million registered members in 18 countries. We want to make second-hand the first choice worldwide.A team of 1,200+ people from Vinteds offices in Vilnius, Berlin, Prague, and Amsterdam develop and support our platform. We share a unique work culture thats based on aiming high, taking ownership, co-creating, caring, and growth.Vinted is committed to building an inclusive workplace where people from all walks of life feel a sense of belonging. We welcome applications from all suitably qualified persons regardless of their race, colour, national origin, citizenship, sex, gender identity, sexual orientation, religion/beliefs, disability or age. We truly believe when we can be fully ourselves, we work better.Youll become a part of the Matching domain - a cross-functional product department responsible for search, personalization, discovery and categorization of listings for our users. This role is based in the... Ontologies subdomain - a team responsible for extracting and structuring the knowledge about the hundreds of millions of listings on the platform. As a data scientist, you will contribute to the existing computer vision projects and contribute to the discovery of new opportunities within the subdomain.You will report to the Team lead of Data Science and Analytics within the Ontologies subdomain and work closely with other data scientists in your team and other subdomains in Matching. You will also work closely with backend engineers in the area of model deployment.In this position, youll:• Contribute to the existing computer vision projects and own the discovery and implementation of new machine learning opportunities• Improve our data retrieval processes (e.g. explore active learning, training on noisy labels, semi-supervised learning), train and deploy models• Together with backend engineers, you will ensure high performance and scalability of our deployed models• Improve the monitoring of our models predictions• Write and own clean and understandable code, make sure it is re-usable where relevant• Mentor and support data scientists, share knowledge in the Science and Analytics Guild.• Contribute to a culture of curiosity and experimentation.About you:• A proven track record of machine learning project development and deployment in production• BSc or MSc in a quantitative discipline (statistics, econometrics, mathematics, empirical economics, physics, etc.) and 3+ years of experience in the industry• Strong interest in the current developments of machine learning applications in the industry, deep learning methods and online experimentation• Advanced knowledge of Python, extensive experience in PyTorch and/or Tensorflow.• Fluency with SQL and experience with dashboarding tools (e.g. Looker, Tableau, etc.)• Able to effortlessly communicate complex technical and statistical information to business stakeholders• Bonus: Experience with complex computer vision projects in productionWork perks:• Opportunity to join our share options programme• Learning budget (13.2 % from net yearly salary)• 25 working days of holiday• Workout classes• Mental- and emotional-health support from Mindletic• Private health insurance• A canteen that serves homemade food at friendly prices• Monthly team-building events• A personal budget for shopping on Vinted• Work anywhere in the EU for 90 days out of the year• Dog-friendly office• Home office support (IT workstation equipment provided + a personal budget of up to 540  for home workplace furniture)We want people to work from where theyre most comfortable, which is why were using a hybrid workplace model at Vinted for the foreseeable future.Hybrid means that we encourage working from the office on Tuesdays and Wednesdays and the remainder of your time from either home or the office, but its not required. Youre welcome to work from either location all or some of the time, depending on what you think is best and safest for you, and how the Covid-19 situation is developing where you are.The salary range for this position is 3,900 - 5,100  (gross) per month.If this sounds interesting  you may well be just who we need"
Senior Data Scientist,NA,2023-01-30 12:28:46,https://www.google.com/search?q=Machine+Learning+Jobs+Lithuania&ibp=htl;jobs&sa=X&ved=2ahUKEwjCp4PIg_D8AhVKPn0KHYaLCFgQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=201f_clMJsoAAAAAAAAAAA%3D%3D&fpstate=tldetail,TransferGo,Full-time,NA,"Vilnius, Vilnius city municipality, Lithuania","TransferGo is an international fintech brand, offering online money transfers across the world with high speed, low fees and no hassle. We're a multilingual bunch of people, working from offices in London, Vilnius, Kaunas, Berlin, Istanbul and Warsaw  and we're still growing!At the moment we're looking for a Senior Data Analyst to join our Data team. In this role, your mission will be to turn large amounts of data into valuable insights and get a deep understanding of how people use TransferGo to enable high-impact product decisions that take the business to the next level.You'll report to Audrius Galinskis, our Data Director."
