Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-30 12:29:21,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=VU_zg58U9pYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hilti Panama,Full-time,NA,"Petaling Jaya, Selangor, Malaysia","In the role of a Machine Learning Engineer, you will be part of our Analytics Solutions team and collaborate with our Data Scientists as well as our Data Engineers on building and deploying advanced statistical models. Hilti has a tremendous wealth of external and internal data. We are using it to bring our customer relationship to another level as well as develop advanced tools and services based on tool data. The Data Science team is highly technical and at the same time at the core of Hiltis digital business.In this role you deploy and operate machine learning models and build our analytics solutions. As a ML engineer you own the operations of our Data Science workbench and enable MLOps processes.You design and build artificial intelligence systems to automate machine learning models. You assess, analyze and organize large amounts of data, while also executing tests and optimizing machine learning models and algorithms. You create machine learning models and retrain systems... when needed. You also research ML algorithms and tools to maintain and extend our ML libraries and our ML toolbox. You select appropriate data sets and pick appropriate representation methods.You identify differences in data distribution that affects model performance and verify data quality. You transform and convert data science prototypes as well as run machine learning tests. You also use results to improve models and train and retrain systems when needed. You also build entire applications based on ML models.You provide on-going tracking and monitoring of performance of decision systems and statistical models. You lead the design and deployment of enhancements and fixes to systems as needed.• Bachelors in computer science, engineering or related field with CGPA 3.5 and above.• Relevant experience in building, deploying, and monitoring analytics solutions using state of the art tools.• Deep knowledge of statistical techniques and experience using machine learning algorithms.• Understanding with cloud platforms (e.g. AWS and Azure)• Strong programming skills in Python, C and Java.• Strong data engineering skills in SQL in order to partner up most efficiently with our data engineers and data scientists.• Advanced software engineering skills (software architecture, version control systems, continuous integration software)• Strong communication and interpersonal skills.Become a valuable member of our highly professional and international team of IT experts and tackle the challenges of a global multinational company using the latest technologies. You will have the freedom to act in the responsible area and will have career prospects in a dynamic environment with excellent opportunities to develop yourself to higher levels and wider range of knowledge. We have a clearly defined career development track for every individual employee and an excellent team who are duly rewarded by performance.What do we offerShow us what youre made of and well offer you opportunities to move around the business  to work abroad, experience different job functions and tackle different markets. Its a great way to find the right match for your ambitions and achieve the exciting career youre after.We have a very thorough people review process, unlike any we know of in any other business. We can pair talent with opportunities - developing our people in their current roles or challenging them to work in new ways or in new places. Its how we find the right fit, further our teams personally and professionally, get the best value for each employee and increase the job satisfaction. Additionally, we offer you a wide range of benefits"
"Senior Data Scientist (AI,ML,CI)",NA,2023-01-30 12:29:21,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=FaPPziffuvsAAAAAAAAAAA%3D%3D&fpstate=tldetail,"RBV, AirAsia Digital Sdn. Bhd.",Full-time,NA,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Job DescriptionAre you ready to take off and be part of the Allstar employee Whether youre applying for a developer, customer happiness or crew, at AirAsia we act as One AirAsia.If you are hungry to make a difference with one of the most well known low-cost airlines and to work in the dynamic technology hub, this is the job for you.Group Data comes under AirAsia Digital which is responsible for spearheading digital transformation across AirAsia. Group Data works on business and operations problems across all entities in the AirAsia Group. Key problems we solve include improving revenue and reducing costs through large-scale data federation, predictive and prescriptive analytics, state-of-the-art machine/deep learning, intelligent scheduling and optimization, and other advanced techniques. Group Data is also responsible for the data lakes across all our businesses, deriving insights and value from them and sharing them back with the businesses. In addition, Group Data also... actively participates in innovation and training in the Redbeat Academy as well as collaboration with strategic partners like Google, GE, Airbus, and academia.What You'll Do:• Develop, train, implement models that significantly impact the field of data science and data analytics in Customer Intelligence and other areas.• Design and develop data-related prototypes, POCs, programs, applications, reports, dashboards, etc., and deliver solutions that directly provide value to the business.• Improve models and algorithms to further optimize business outcomes, especially in the area of Customer Intelligence.• Collaborate and work across functional and multidisciplinary teams (including Data Scientists, Data Engineers, Software Developers, various stakeholders, etc.) in a dynamic environment to develop an understanding of evolving/agile business needs.• Formulate hypotheses, and design and develop corresponding necessary measures, systems, simulations, and experiments in order to validate the hypotheses.About You:• BS/MS/PhD in Computer Science, Data Science, IT, Statistics, AI, Machine Learning, Analytics, etc.• At least 5 years of relevant experience beyond the first degree.• Must have strong Data Science skills, knowledge and experience, and strong domain knowledge in Customer Intelligence, Business Intelligence in Consumer Experience, etc. Must have successfully completed projects in large-scale real-world Customer Intelligence.• Customer Profile, Segmentation, feature store, CLTV modelling, customer lifecycle optimization, CRM, etc.• High proficiency in SQL, and experience with NoSQL databases.• Good applied statistical knowledge with emphasis in business, finance and Customer Intelligence related statistical distributions, statistical testing, modeling, regression analysis, etc.• Understanding of machine learning algorithms such as k-NN, Naive Bayes, SVM, Decision tree, and different kinds of Machine Learning objectives such as supervised learning (classification, regression, etc.), unsupervised learning, semi-supervised learning and reinforcement learning.• Have completed successful large-scale projects using Python and its corresponding Data Science, Machine Learning and Deep Learning ecosystem of libraries or frameworks including Scikit-Learn, Pandas, TensorFlow, PyTorch, etc.• Experience with code versioning, code review and documentation.• Experience using cloud platform products and services.• Good working knowledge of productivity tools such as G Suite, Git, Jira, Confluence.Good to have:• Experience writing clean and well-engineered code for containerised applications to handover to other teams.• Experience using Google Cloud Platform products and services (such as BigQuery and App Engine, AI Platform, Cloud Big Table, Cloud Firestore, Cloud Run and Kubernetes Engine) and Google Data Studio.• Graph modelling and Graph Query Language. E.g. Neo4j and Cypher Query Language.• Product (front-facing) experimentation experience.We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be your best.We are committed to creating a diverse work environment and are proud to be an equal opportunity employer.Search Firm Representatives - AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place"
Senior Machine Learning Engineer,2023-01-20,2023-01-30 12:29:21,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=5S6aVSt93HsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Mindvalley,Full-time,US$131K–US$201K a year,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","About Mindvalley Mindvalley is the leading and most promising ed-tech company to date. We dominate the US market for Personal Growth Education. We are empowering athletes within every major US sports team and promoting successful learning strategies in major companies. We're currently building the most advanced learning system - a version inspired by Ironman's J.A.R.V.I.S. which utilizes AI and augmented reality to provide customized learning. Turning anyone into a superhero. We innovate tools that induce enlightenment within every aspect of human life. We are seeking the best engineers to build the best and most advanced education platform our species has seen. The goal to mark our success is: powering up to 100 countries, powering every Fortune 500 company, and progressing humanity towards a better future. About The Role As a Senior Machine Learning Engineer (MLOps), you will play an active part in bringing Mindvalley to the next level, understanding the educational experience... through data, and ensuring a personalized learning experience for our customers/students. In this role, you will be responsible for preparing data for ML models at scale, building appropriate inference interfaces for ML model consumption, enabling ML Ops for continuous delivery and automation of ML pipelines, and/or building and sustaining AI production platforms. This job is for you if you are a Machine Learning with at least 5 -10 years of experience, you are a natural team player, leader, a thinker, and have an open mind for constructive but supportive feedback. Responsibilities Assisting data scientists in deploying the ML models into the production environment. Developing highly scalable machine learning models, operationalised the ML models Oversee machine learning operations, model deployment, model performance tracking and implement optimized machine learning solutions to real-world, large-scale problems that have a direct impact on the business. Handle machine learning operations and collaboration with data engineers, DevOps engineers, product managers, and technical partner teams Builds trust through automated processes, testing, and validation that creates a repeatable process for managing machine learning in dynamic environments Optimization of machine learning products with professional software engineering skills Requirements Experience with RDBMS, SQL and noSQL databases Experience with cloud platforms (GCP), Docker and Kubernetes Experience in development and implementation of ready-to-use CI/CD pipelines Experience building and maintaining data pipelines using Google GCP services Experience with monitoring and orchestration of data pipelines using Apache Airflow and GCP Composer Experience with data cleaning and transformation using Pandas, Apache Beam and Google GCP DataFlow in Python Experience with Data Warehousing solutions preferably Google BigQuery Experience with message buses or real-time event processing platforms like Google Pub/Sub Proficiency in using query languages such as SQL Solid Experience with Python Familiar with Data Science library, such as sklearn, XGBoost and Tensorflow. Understand what is MLOps, familiar with MLOps tools such as Kubeflow and feature store. Deep skills in machine learning/data science, experience with deep learning Good to have knowledge in Recommendation Engine and Natural Language Processing You are excellent in communication, teamwork and also independent contributions You have a strong attention to detail and flexibility of adapting to fast changes You work well under pressure developing key features for high volume business critical systems Experience with machine learning is a plus"
Artificial Intelligence Consultant - Java / C++ / Python,2023-01-14,2023-01-30 12:29:22,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=RObuLswi5PcAAAAAAAAAAA%3D%3D&fpstate=tldetail,5G-STARLINK PTE. LTD.,Full-time,NA,"Malacca, Malaysia","job descriptionWe are hiring AI Consultant for Malaysia, Singapore and other locations for our clients across the globe.Responsibilities :- Understanding of business objectives and developing models that help to achieve metrics and to track progress.- Set up and manage AI development and production infrastructure.- Help AI product managers and business stakeholders to understand the potential and limitations of AI when planning new products.- Identify new learning opportunities and AI use cases.- Build AI models from scratch and help product managers and stakeholders to understand results.- Deploy AI models into production.- Create APIs and help business customers to put the results of your AI models into operations.- Keep current of the latest AI research relevant to our business domain.- Managing available resources such as hardware, data, and personnel so that deadlines are met- Analyzing the algorithms that could be used to solve a given problem and ranking... them by their success probability- Analyzing the errors of the model and designing strategies to overcome themSkills & Experience :- At least 5 years of hands-on programming experience working on enterprise products. 10 years- experience preferred.- Demonstrated proficiency in multiple programming languages such as Python, SQL, Java or C++.- Proficiency in Python and basic libraries for machine learning such as sci-kit-learn, numpy, scipy and pandas.- Experience building AI models in platforms such as Keras, TensorFlow, or PyTorch.- Proficiency with OpenCV.- Ability to select hardware to run an AI model with the required latency.- Demonstrated commitment to learning about AI through your own initiatives through courses, books, or side projects"
Machine Learning Engineer,NA,2023-01-30 12:29:22,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=j6eSSpcas6MAAAAAAAAAAA%3D%3D&fpstate=tldetail,Arvato Systems Malaysia,Full-time,NA,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia (+1 other)","Responsibilities:The ML Ops project acts as a center of expertise and pursues the goal to conceptualize and provide central services and tools for reliable and efficient deployment of data science models. The following functionalities are planned:• Deployment of models with automated processes• versioning and monitoring of data• continuous monitoring and updating of models• Scalability of developed models and processe• collaboration through the reuse of models and processesScope of service• conception and implementation of a model repository• conception and implementation of data access, preparation, modeling, versioning• conception, implementation and provision of services for continuous monitoring of models and their quality, especially with regard to changing data• evaluation and selection of existing solutions and technologies• support teams in designing, building and running P-environments for ML• develop helpers, utils, functionalities• roll out tools ... functionalities to teamsRequirements:• B.Sc., M.Sc. or Ph.D. in computer science or a related field• Excellent communication and teamwork skills• Familiar with workflow management platforms like Airflow or Argo Workflows (Preferable)• Familiar with best practices in the Software Engineering and MLOps community (Preferable)• You enjoy working in an agile team, like to get involved, think ""out of the box"" and are keen to tackle new topics• Good English skills complete your profileMust Have:• Expert level understanding and hands-on experience with building MLOps or DevOps infrastructure in CI/CD environments• Basic understanding of Machine Learning Models and Use Cases• Some level of experience with most or all of the Technologies/Tools/Platforms of our used stackTechnology Stack:• GCP• Kubernetes• Prometheus,• Helm,• GitLab,• Terraform,• Argo,• MLFlow,• PythonLife at Arvato Systems Malaysia:If you're looking to be creative and at the same time putting on the entrepreneurship hat while working on Technology related work, then you fit right into our culture.Top 10 Perks & Benefits on Why You Should Join Us:• Yearly Company Trip.• We promote flexi work arrangements having flexi benefits where employees could enjoy what they see fit.• Besides Annual Leaves & Sick Leaves, we have other unique paid time-offs such as Birthday Leave & Child Care/Parental Leave.• We got you covered in terms of insurance alongside with your immediate family members (Spouse & Children only).• Attractive Employee Referral Program.• Sponsored meals if you work at the office!• Unlimited coffee refills with state-of-the-art barista coffee machine where you can practice on your preferred choice of latte art.• Believes in learning and people development with plenty of trainings to upskill your personal growth.• Plenty of initiatives and interest groups to ensure that not only everyone in the team gels and bond closer together, we put an emphasis on CSR work as well.• Work is important, but your mental health should always take priority. At Arvato Systems Malaysia, we do everything we can to make sure you lead a healthy and happy life by walking the talk on work-life balance.Diversity & Inclusion:Arvato Systems Malaysia stands for Equal Employment Opportunity (EEO). We do not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need.Arvato Systems Malaysia focuses on Corporate IT. Their company has offices in Kuala Lumpur and Kuala Lumpur City Centre. They have a large team that's between 201-500 employees.You can view their website at https://arvato-systems.com/malaysia"
Machine Learning Engineer,NA,2023-01-30 12:29:23,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=MajYUdbc6v0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Intel Corporation,Full-time,NA,Malaysia,"Innovative thinkers who are highly interested in explorations, pathfinding, and piloting new capabilities using Predictive Modelling, Deep Learning, Computer Vision, Natural Language Processing, ML-based optimization/simulation and other techniques.• Must be able to explore and path-find solution to complex business problems, coordinate concept proving and pilot testing. Works closely with business stakeholder, observations to find patterns and relationships in data.• Must be able to Interacts with users to define requirements for breakthrough product/solutions. In either research environments or specific product environments, utilizes current programming methodologies to translate machine learning models and data processing methods into software.• Must be able to work well in teams, lead and provide end-to-end oversights to use cases and project progresses.• Responsible for providing project and management updates.• Be part of leadership team to enable MLOps for scaled/POR... integration, deployment, adoption and support.Qualifications• Candidate must have at least 5-6 years of working experience with project/program management experience.• Must have deep knowledge in machine learning algorithms and experience in applying to solve problems in various data science disciplines• Has strong understanding of manufacturing business segment stakeholders and possess strong written and communication skills.• Have expertise or passionate to learn and explore ELK, Kubernetes, KubeFlow, Scripting, Python, Tensorflow, SQL queries, and related software• Knowledgeable in ML Life Cycle with strong track record to lead use case exploration all the way to implementation and scale. Background in programming, testing, debugging, documentation and/or deployment of the solution/products will be an added advantage.• Proven leadership ability, strong in business engagement and good track record in project/program management.• Curiosity and endless desire to learn, along with passion for solving intricate business problems using data science• Has degree in Computer Science, Mathematics, Machine Learning, AI, Optimization, Operation Research, Statistics or equivalent.Inside this Business GroupIntel's Information Technology Group (IT) designs, deploys and supports the information technology architecture and hardware/software applications for Intel. This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. IT is also responsible for e-Commerce development, data hosting and delivery of Web content and services"
"Software Development Engineer, Machine Learning/AI",NA,2023-01-30 12:29:23,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=CPMkGN_y0FgAAAAAAAAAAA%3D%3D&fpstate=tldetail,AkiraKan Limited,Full-time,NA,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","If you are excited about cutting edge AI, robotics that affects the real world, and want to join a company where your skills can have a huge impact, you'll fit right in. Join us as part of the Autonomy Team, you will support the team by building robust AI systems to improve transit, land transportation and marine operation. You will be able to closely interact with others within the company who are experts in perception systems, Deep Learning, Machine learning, and robotics. There is an opportunity to make a strong impact on products, while having the freedom and bandwidth to tinker. Come join us to enjoy flexible working hours, attractive rewards and promising career outlook. What you will be doing: -Stay up to date with the latest research and innovations in deep learning. -Collaboration with other teams in the Mapping and Localization Group. -Training Deep Neural Networks for Perception Systems. -Build infrastructure, data and computation pipelines, data storage strategies, common... libraries and useful tools needed to optimize research and development of deep-learning models. -Integrating DL algorithms into production C++ code. -Defining the requirements for training dataset needs. -Working with a variety of sensors: cameras, LIDAR, radar, GPS, odometry. -Building training pipelines and real-time inference run-times (PyTorch, TensorFlow, TensorRT, Python, C++). -Performing in-vehicle tests and collecting data. Apply now at https://my.hiredly.com/jobs/jobs-malaysia-akirakan-limited-job-software-... -Bachelor's degree in Computer Science, Software Engineering, Applied Math, Robotics or a related technical discipline. -Solid coding proficiency in Python, C++, Scala/Java, Golang or Rust. -Ability to productionize deep learning models. -Familiar with at least one deep learning framework (TensorFlow, PyTorch, MXNet, JAX or other); -Any knowledge of the following would be a plus: CUDA programming, compilers like ONNX, TVM, XLA, TensorRT, Triton, TFRT, model quantization, model compression, etc.; -Good communication and analytical skills. Ability to work with multiple teams in a dynamic environment"
Head of Data and AI (Malaysia),2023-01-27,2023-01-30 12:29:23,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=t2qmUc_UsVAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Welovesupermom Pte Ltd,Full-time,NA,Malaysia,"Responsibilities• Drive the establishment and execution of the roadmap and vision for information delivery and management; including the enterprise data warehouse, big data, BI & analytics, AI and data governance• Lead data architects, data engineers and machine learning specialists to architect and deliver the solutions that fulfil the Business information needs and align with the information vision and strategy• Apply business strategy while driving technology strategy, balancing short term and long term needs• to ensure that the architecture can scale and evolve accordingly• Ensuring data and information security by integrating and upholding digital security systems• Create and support an environment of digital data-driven innovation and best practice, ensuring the• use of technologies for the benefit of stakeholders• Implement transformational change to enable the organisation to deliver data-driven products and• services which are efficient, effective and user-centric•... Identify and develop data-driven digital innovations to reduce operational inefficiencies and transform• work processes.• Facilitate organisations understanding of good data-driven digital experience and use data-driven• methods to enhance customer digital engagement.Key Performance Expectations• Grow, mentor and lead the AI, data analytics and data engineering team• Build on Supermom data & AI roadmap, lead the development of the AI and data vision, strategy and• capability plan• Develop Supermom data platform, and integrate the latest data models and data pipelines,• establishing a model management approach that is best in class for responsible data use and to• accelerate the processes of data analysis and decision-making• Create and embed a prioritization approach to develop a roadmap for data-driven innovation with• relevant processes, tools and metrics to support business objectives and new growth opportunities• Lead design of technology solutions pertaining to data quality and data security.• Derive KPIs, driving outcome and adoption for data-related digital transformation within the• organisation.Key Job Competencies• Experience of handling and preparing data, developing and training models and algorithms, and will understand how to implement model management/risk management• Expertise will include leveraging probabilistic computing techniques, machine learning and AI to generate insights from data, and understand the benefit and limitations of data.• Knowledge of the contemporary digital landscape of organisations and experience in designing, owning and evaluating organisational transformations to deliver scalable change that add value from data and information• Excellent communication skills to translate/frame complex problems using non-technical terms to help internal/external stakeholders translate their business objectives into digital strategies.• In-depth understanding of modern database and information technologies• Excellent problem-solving and analytical skills and strong facilitation skills to synergise digital• objectives across the organisation.• Good knowledge and understanding of data protection and privacy legislation, rights legislation and• frameworks, ethical frameworks for AI, policy and best practice• Excellent time management skills and the ability to work towards meeting multiple deadlines• simultaneously• Masters/Degree/Certifications in related disciplines in IT, Data Science or Data Analytics.• At least 5-7 years of hands-on experience in the areas of data warehouse, big data, BI & Analytics, data innovation, data collaboration, data governance and/or data change management.• Minimum 3-5 years recruiting & leading a team including data architects, engineers, quality assurance, and operations professionals• Proven experience of providing strategic and technical leadership to transforming organisations• Experience with modern data technologies in any of the following areas including; SQL Server, Oracle 11g, MySQL, SQL Data Warehouse Appliance, Oracle Exadata, Netezza, Greenplum, Vertica, Teradata, Aster Data, SAP HANA, Hadoop, SAS, SPSS, Spotfire, Tableau, Qlikview, R, Oracle Endeca, Oracle OBIEE, SAP Business Objects, SAS and other Analytics Vendors with BI component"
AI / Computer Vision Engineer,NA,2023-01-30 12:29:24,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=auokCbwlLBAAAAAAAAAAAA%3D%3D&fpstate=tldetail,poladrone solutions sdn bhd,Full-time,NA,Malaysia (+1 other),"JOB RESPONSIBILITIES• Research and develop existing computer vision algorithms and incorporate novel techniques or create new algorithms from ground up to solve desired use cases• Designs, trains, and optimizes deep learning model pipelines for customer applications using state of the art open source models and custom models from R&D team• Develop and adapt advanced computer vision and state-of-the-art deep learning techniques for object segmentation / detection / classification Prototype, benchmark and implement new algorithms in production-level code• Develop scalable machine learning and computer vision algorithms, leveraging deep learning• Deploy deep learning models into production• Assist business team to deliver product value• Assist in testing and evaluation on the developed solutions by unit test, stress test, etc.• Write professional documents for what you will developJOB REQUIREMENTS• Solid knowledge of machine learning and deep learning is a MUST.•... Experience with deep learning frameworks (Tensorflow, Caffe, Pytorch).• Demonstrated experience extracting / applying software from open source repos• Experience with applying machine learning algorithms in imaging domains.• Hands on experience in computer vision algorithms such as segmentation and object detection.• Proficiency in Python and strong willingness to learn.• Proficiency in object-oriented languages, such as C++ or Objective-C• Proficiency in OpenCV.• Self-learning ability, passionate, open-minded, team player, and good communication skills.• Ability to research, prototype, benchmark and implement new algorithms in production-level code.• Bachelors or Masters degree in computer science/ Information Technology/ Engineering or a related field.poladrone solutions sdn bhd focuses on General Aviation. Their company has offices in Selangor and Cyberjaya. They have a mid-size team that's between 51-200 employees.You can view their website at https://www.poladrone.com"
"Scientist 1, Data Science",2023-01-05,2023-01-30 12:29:24,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwj91ubZg_D8AhWFJX0KHfXBAdwQutcGKAF6BAgREAU#htivrt=jobs&htidocid=nCPkzMlMhK4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Western Digital,Full-time,"US$35,280–US$65,520 a year",Malaysia,"Company DescriptionThe future. Its on you. You & Western Digital.Weve been storing the worlds data for more than 50 years. Once, it was the most important thing we could do for data. Now were helping the world capture, preserve, access and transform data in a way only we can.The most game-changing companies, consumers, professionals, and governments come to us for the technologies and solutions they need to capture, preserve, access, and transform their data.But we cant do it alone. Todays exceptional data challenges require your exceptional skills. Its You & Us. Together, were the next big thing in data. Western Digital data-centric solutions are found under the G-Technology, HGST, SanDisk, Tegile, Upthere, and WD brands.Job DescriptionJob DescriptionAs a Data Scientist, you will be working on Digital Innovation projects leveraging 4IR technologies. You will be collaborating with Data Science Team to design and build Big Data tools/models/analytics to unlock business... value from data insights. You are required to constantly learn new front-tier technology and creatively apply/deliver solutions to manufacturing operations to meet goals.ESSENTIAL DUTIES AND RESPONSIBILITIES:Work with a global team of data scientists, data engineers, software engineers, process & product engineers, design engineers, etc collaboratively to develop new data science solutions that improve productivity and operations metrics.Leverage data mining techniques in mathematics, statistics, information technology, machine learning, deep learning, data engineering, visualization etc to discover insightful patterns.Work on projects and develop solutions that would be of high impact to various areas at all manufacturing.Develop/take an idea, access and prepare necessary data to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins.Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process, ERP/MES data etc to extract meaningful information for analytics.Design, model and prototype machine learning models and algorithms to solve specific Supply Chain, Manufacturing, Inventory Management & Distribution problems.Strong understanding of business strategy to develop a clear vision of data scienceThe ability to develop, tune, and deploy predictive models that explain or predict business outcomesPrepare and deliver presentations with data visualizations and business conclusionsDevelop and code, software programs, algorithms, typically on very large datasets, from multiple sources, including IoT devices/sensorsInterprets actionable insights from large data and metadata sources and communicates the findings to product, service, and business leaders for product improvement QualificationsQualificationsREQUIRED:Bachelor's Degree or Master's Degree in related fields and research projects related to Analytics/Data Science with relevant industry or academia experience.Experience with SQL, Relational databases, Big Data platforms, AWS, etc.Experience in applied statistics and statistical modeling. Practical experience in the application of ML and AI algorithms.Experience with Hadoop or other MapReduce paradigms, and associated languages such as Hive, Presto, etc.Experience working with structured, semi-structured, and unstructured data sourcesPREFERED: Full stack development experience is preferredKnowledge of web front-end development: HTML/CSS, JavaScript (JQuery or Angular preferred)Knowledge of Hadoop Environment, including Hive, Map Reduce, No/SQL, HBase, and SparkExcellent knowledge of at least one of the following programming languages / frameworks: Python, R, Java, Matlab, SQL, ScalaFamiliar with collaborative solutions, model & code versioning (Github), solution packaging (Docker)Practical experience of cloud-based solutions is a strong plus.Knowledge of Software Engineering standards and best practices is a strong plusKnowledge of the AI/ML Model Lifecycle Management and tools including EDA, Modelling, Integration/Deployment, Data/Model drift detection, Model retraining, etc.Up-to-date knowledge and skills in recent Machine Learning tools and techniques such as NN, NLP, Deep Learning, etcPassion for Innovation, collaboration with the eco-system, and creating value to the organizationAptitude to interact with functional or business stakeholders who are not familiar with ML Engineering considerations.Self-starterSKILLS:Strong communication, analytical and creative problem-solving skillsStrategically focused, impact-oriented, highly organized, and adaptable.Strong knowledge and experience with R, Python, or other statistical softwareFamiliarity with core techniques in statistical and machine learning e.g. regularized regression, time series analysis, decision trees, boosting algorithms, neural networks, frequentist and Bayesian inference, power calculation, and experimental design, clustering, collaborative filtering, NLP, cross-validation and bootstrapping, and data visualizationStrong interpersonal skills and maintain positive relationships with colleaguesProactive and collaborative effectively in a rapidly changing environmentSolid grasp of statistics and probabilityAbility to solve problems and provide complex solutions with limited directionAnalytical mind and business acumen. Application understanding of machine-learning and operations researchExperience with manipulating massive-scale structured and unstructured data.Excellent communications and presentation skills, with the ability to synthesize, simplify and explain complex problems to different types of audiences, including executives. A great team player.Results-oriented, with growth and imaginative mindset and strong dedication and passion to identify and implement improvement opportunities. Strong drive for results.Proven track record to perform in an environment characterized by volatility, uncertainty, complexity, and ambiguity (VUCA)Ability to execute requests with strong attention to detail and strong time-management skillsKnowledge in web crawling, natural language processing, visualization, and dashboard creationAbility to deploy data science solutions in cloud analytics infrastructure and AWSExcellent written and verbal English-language communication and presentation skillsAdditional InformationBecause Western Digital thrives on the power of diversity and is committed to an inclusive environment where every individual can thrive through a sense of belonging, respect, and contribution, we are committed to giving every qualified applicant and employee an equal opportunity. Western Digital does not discriminate against any applicant or employee based on their protected class status and complies with all federal and state laws against discrimination, harassment, and retaliation, as well as the laws and regulations set forth in the ""Equal Employment Opportunity is the Law"" poster"
