Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Data – Machine Learning Engineer,NA,2023-01-30 12:29:39,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=0JilbDkNun0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Betsson,Full-time,NA,"Ta' Xbiex, Malta","Product Development is the largest organisation at Betsson Group, with teams across Malta, Stockholm, Budapest, Tallinn and more.Within product development, we have different areas where teams focus on providing the best experience when it comes to the different journeys our customers take on our sites. Our teams are structured in end-to-end feature teams, to ensure as an organisation we are delivering the best quality as quickly as possible.Our Data team is looking for a Machine Learning Engineer, who will be joining a group of talented and fun people.In this role, you will be responsible to design, develop and maintain machine learning, deep learning models within the Data platform. This role will be involved in the full end to end cycle to produce such models, and to present results and findings from such projects.A taster of what you will be involved with:• Understand business challenges that can be tackled using Data Science models• Analyse and transform data• Research... and implement machine learning algorithms using languages like Scala, Python and R• Develop machine learning applications according to requirements• Follow good practices in engineering to ensure scalable and sustainable models• Train and re-train systems when necessary• Work within the Big Data team to ensure that solutions are pluggable in the existing framework of the Data Platform• Work closely with other teams across the organisation to ensure the best solutions according to requirements are developedYoure good at• Proven experience as a Machine Learning Engineer or similar role• Understanding of data structures, data modelling and software architecture• Deep knowledge of math, probability, statistics and algorithms• Ability to write robust code in Scala, Python, Java or R• Familiarity with machine learning frameworks and libraries• Excellent communication skills• Ability to work in a team• Outstanding analytical and problem-solving skills• BSc in Computer Science, Mathematics or similar field; Masters degree is a plusWhat we offerMuch like riding a rollercoaster, sometimes life at Betsson can be lightning fast with twists and turns but always FUN! Then again, what else would you expect from a business of 75% millennial, 10% GeX, 60+ nationalities, equal opportunity employer where 40% of our workforce are women and growing. More than 2000 strong professionals spread across 13 offices with up to 1000 of them based in our Malta HQ alone!As a super data-driven company, we know, that data can be the key differentiator on the very competitive market. The good news is, the technical systems that provide high level data are already in place here at Betsson Group but the biggest challenge now is to take these data systems to the next level and build a future-proof Data Platform.For this role you are based in our HQ  Malta Tech hub. Furthermore, we offer 10 days per year of remote work from any EU location.We offer a hybrid working model which gives our Betssonites the best of two worlds: 2 days working from the office to connect and collaborate in person and 3 days working from home to reflect our employee's preference.We recognise it may not be for the faint-hearted, but if youre a go-getter, initiator, and adrenaline junkie, always striving to push the boundaries and challenge yourself, then youll fit right in.We offer numerous challenges where your skills will be put to good use! We encourage innovation, independence and celebrate success where you will be part of multi-cultural and diverse company, with people from all over the world.Challenge acceptedBy submitting your application, you understand that your personal data will be processed as set out in our Privacy PolicyCheck out the Betsson Group blog to find out what are employees are taking about"
Machine Learning Engineer (remote),NA,2023-01-30 12:29:40,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=BIbEfHMA338AAAAAAAAAAA%3D%3D&fpstate=tldetail,CIRCL Technologies Ltd,Full-time,NA,"Valletta, Malta","Our remote team is growing and we are looking for new, friendly, faces to stare out at us from our screens.What are we building• An advanced supply and logistics platform designed to meet a variety of enterprise needs requiring the very best technical solutions and a user-centred design process.What can we provide• A team of humble but ambitious colleagues• A positive and supportive team spirit• A flexible fully-remote working environment• Interesting and challenging tasks• Flat hierarchy and the opportunity for you to impact decisionsWe are building a new Data Intelligence team to turn raw data into valuable intelligence - that our organisation and our customers need in order to grow and compete. We aim to build intelligent models and and an advanced platform to predict events, improve efficiency and deliver valuable insights for our customers. This team will interpret, model, and analyse data from multiple sources (platform data, location information, IoT information... etc.) to come up with imaginative solutions to problems and illuminate valuable insights about our customer's business operations.We are looking for creative and curious people to help us build this team and grow this capability within our organisation.Objectives of this Role• Design and develop robust and user friendly platform to give our customers intelligent insights into their business• Build predictive models and machine-learning algorithms to address business problems• Collaborate with cross-functional teams to define, design, and ship new featuresDaily and Monthly Responsibilities• Build predictive models and machine-learning algorithms• Running machine learning tests and experiments• Implement appropriate ML algorithms• Identify valuable data sources and automate collection processes• Undertake preprocessing of structured and unstructured data• Planning work and being involved in project management decisionsNOTE: ALL CANDIDATES MUST BE BASED WITHIN EUROPEAN TIME-ZONES AND ALREADY HAVE ALL THE NECESSARY WORK VISAS"
Data Scientist,2023-01-08,2023-01-30 12:29:40,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=Cq7DQ_88sUUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Betsson Group,Full-time,NA,Malta,"Excellent opportunity to join Betsson Group as our new Data Scientist.The WowAre you interested in Sports, Casino and keen toestablish which models should be used in the correct context Are you experienced indelivering complex data science and analytics projects within organisationsThen take this opportunity to join us as our new Data Scientist!At Betsson Group we work with a Hybrid Work From Home (WFH) model, giving you the flexibility of working 2 days in the office and 3 days at home.A Flavour Of What You'll Be Doing• Identify, analyse, define and understand business problems.• Prototype data science models.• Use exploratory analysis methodologies to identify patterns and trends to use with the right statistical methods (clustering, PCA, regression, significance testing).• Work with descriptive and predictive analytics (e.g. linear regression & propensity models, customer segmentation, data mining and trigger identification).• Work with the Machine Learning... Engineer, within the data function, to implement and productionise the models whilst monitoring the performance.Youre good at• Understanding of statistical methods.• Working knowledge of Python scientific packages, Pandas, Numpy, Sklearn and Matplotlib;• Someone with experience manipulating large datasets using SQL or similar.• You have a degree or MSc/PhD in a quantitative area such as Statistics, Maths or Economics.• Communicating with commercial stakeholders, explaining data concepts in a non-technical language.• Working in a dynamic environment with a very flexible approach.• Being a team player. Collaboration between teams will be essential in this role.Extra awesome• Someone with experience in machine learning techniques.• Someone who understands the programming language Scala.Whats in it for meWe take great pride in our culture, life at Betsson can be lightning fast with many twists and turns meaning we have to remain agile. We recognise it may not be for the faint-hearted, but if youre a go-getter, initiator always striving to push the boundaries and challenge yourself, then youve come to the right place.Challenge acceptedApply now!By submitting your application, you understand that your personal data will be processed as set out in ourPrivacy Policy"
Data Scientist,2023-01-23,2023-01-30 12:29:40,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=u9ZSH6JzQAIAAAAAAAAAAA%3D%3D&fpstate=tldetail,GRS Recruitment,Full-time,NA,Malta,"An international Big Data Tech company which affiliates to Gaming companies is searching for a Data Scientist to join their team in Malta (or remote). You will analyze large amounts of raw information to find patterns that will help improve the company and will be relied upon to build data products to extract valuable business insights. The ideal candidate will have experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop) and a mathematical mind, ideally gained within the Gaming sector. If you are looking for an exciting project, then we look forward to receiving your CV for this Malta (or remote) based Data Scientist role.MAIN DUTIES AND RESPONSIBILITIES• Ensure the integrity of all data through establishing validation processes• Identify potential external data sources of value and automate collection processes• Develop insightful reports for customers and to support the sales process• Design and carry out audits of our existing data... collection and processing• Undertake pre-processing of structured and unstructured data• Analyse large amounts of information to discover trends and patterns• Build predictive models and machine-learning algorithms• Combine models through ensemble modelling• Present information using data visualization techniques• Propose solutions and strategies to business challenges• Collaborate with engineering and product development teamsCANDIDATE PROFILE• I-gaming experience will be a definite plus.• You are based between GMT and GMT +11• Proven experience as a Data Scientist• Experience in data mining• Experience in iGaming will be of assistance• Understanding of machine-learning and operations research• Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset• Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)• Analytical mind and business acumen• Strong math skills (e.g. statistics, algebra)• Problem-solving aptitude• Excellent communication and presentation skills• BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred• Graduate degree in Data Science or other quantitative field is preferredCOMPANY BENEFITS• Great salary• Remote working• International companyDue to the high volume of applications we receive at GRS Recruitment, only shortlisted candidates will be responded to.To apply for this position, please email your CV to Laura Constantinou, lauragrsrecruitment.com quoting the above job reference or call +356 2778 0664 for further information"
Data Science Internship,2023-01-14,2023-01-30 12:29:41,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=tiqMS5fk2D8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Altada Technology Solutions,Full-time,€60K–€101K a year,"Kalkara, Malta","Altada is an Artificial Intelligence company that transforms data rich clients into data driven solutions. Altada's AI platform provides a complete view of clients' data supply chain using indexing, data remediation and inference.Altada enables clients to make better decisions and deliver augmented customer experiences by helping them put order on complex and potentially inaccurate data, improving regulatory compliance, data governance, process efficiency and profitability.Our employees are passionate about solving the most difficult AI problems, and get to work with others who collaborate and take their work seriously. We are looking for creative, bright, motivated change makers who share our passion for excellence and want to make an impact at a dynamic, expanding company. We celebrate our employees for their innovation, perseverance and hard work in a fun, rewarding, and quirky environment. If you enjoy the sense of accomplishment that comes from working together to create AI... solutions that solve tough problems in privacy for organizations around the world, contact us to see how you can become part of our team!The Internship:Your internship can be designed around you! Ideally, you will be available over the summer months. However, we are very open to longer term opportunities - if you are keen to explore a 6 month placement, please do apply.What will you learn:• Alongside learning about our products, our business and how we operate, you will participate in classroom (onsite/virtual) based training & development designed to ensure you leave your internship with skills that will last a lifetime!The Team:• You will work in a dynamic, multidisciplinary team of independent data scientists and software engineers who develop and integrate state-of-the-art algorithms and software to challenging customer use-cases.The Role:This position will involve you working for one of our leading customers thus bringing forth a high impact-based learning opportunity in a fast-paced environment. Your position will compliment our customer by providing vision, expertise, intelligence, and better decision-making skills for their business use cases, primarily in Fintech and Healthcare domains. It will involve working on all the facets of data science, machine learning and deep learning that includes building prototypes to assist our team in building complex data pipelines for ingesting large amounts of unstructured data, performing data extraction and analysis on highly sensitive client data and improving any of the existing ML models for productionizing at a large scale.Essential Functions:• Develop custom data models and algorithms to apply to data sets.• Demonstrate ability to interact with functional analysis, project managers, ETL developers and end users regarding data needs.• Exuberate technical and computational skills coupled with the ability to code, design, develop and deploy sophisticated applications using advanced unstructured and semi-structured data analysis techniques.• Devise advanced statistics and modern machine learning predictive techniques, including GLMs, decision trees, forest, boosted ensembles, neural networks, deep learning etc on unstructured data• Capture technical metadata through data modelling tools• Applying non-traditional approach to large-scale analysis of unstructured data in support of high-value use cases• Experimentation in various data science techniques, developing, executing, and maintaining scripts and prototypes to analyse, interpret, visualize and gain knowledge from client data set.• Execute some tasks on topic modelling and document clustering techniques that support the agile software development lifecycle.• Document all scripts used for extracting/ processing data.• Apply best practices and standard operating procedures• Perform any other duties, as assigned.Minimum Education and Work Experience Required:• Working towards a bachelors degree in Statistics, Machine Learning, Mathematics, Computer Science, Economics, or any other related quantitative field - a Masters would be great, but not required!• Proficiency writing code in Python but enjoy learning new technologies• You have a basic understanding of distributed systems and deployed services in AWS• Strong understanding of machine learning methods (unsupervised, supervised, semi-supervised)• Comfortable working with unstructured data, either text or images, solving challenging problems of automatically detecting problematic data in scanned files/documents.• Previous working knowledge in the Financial Domain is a plus• Knowledge of at least one of the frameworks like Tensorflow/ Keras / PyTorch is a must.• Some idea of the python web frameworks like Django / Flask• Familiarity with OCR technologies and information retrieval tasks from huge unstructured datasetsWhat You Can Expect• Working at Altada Technology isnt like a normal job. We believe in hiring only the best and then looking after our staff which is what they deserve.• On top of a great financial package, we do everything possible to make Altada Technology a great place to work.• We believe in paying a competitive salary: earn what you're worth, with regular performance reviews. Were committed to your long-term future at the company, and were passionate about helping you to improve and enhance your skills along the way.• We're invested in your health and happiness. We offer an Employee Assistance Program and Employee Health and Wellness to all our staff so you can rest assured that you will be well taken care of, no matter what happens.• If you are interested in working in a high energy, fast moving AI company with a passion for machine learning and data science please don't hesitate to apply!Disclaimer:The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified.Altada Technology Solutions is an equal opportunities employer. We are committed to the principle of equality of opportunity in employment and in the provision of services. No job applicant or member of staff receives less favorable treatment on the grounds of gender, civil status, family status, age, disability, race/ethnicity, sexual orientation, religious belief or membership of the traveller community. The organization will not unlawfully discriminate, either directly or indirectly, or victimize on any of the above grounds. It is committed to the provision of a harmonious working environment and the operation of fairness and equality at work, for those seeking work and in the services it provides.If you need assistance and/or a reasonable accommodation during the application or the recruiting process, please do let us know by emailing accommodationsaltada.com"
Part time role for Maltese Speakers | Personalized Internet Assessor,2023-01-10,2023-01-30 12:29:41,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=4i_p9ttaIFIAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,Malta,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.comWe are hiring Personalized Internet Assessors in Malta (Maltese Language)In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their relevance... to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.Who is suitable for this roleWe are currently seeking dynamic and creative people who have a strong interest in social media, specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use a smartphone  Android or iPhone  and have a familiarity with other forms of social media and Google products. You should also be flexible, reliable and have the ability to interpret and follow established guidelines.You will have the flexibility and freedom to work from your own home, working your own hours. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks.What are the main requirements for the role• You must have full professional proficiency in both written and verbal English & Maltese• You must be living in Malta for the last 5 consecutive years• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks• The majority of the task types will require both a desktop/laptop and a smartphone• Gmail must be your primary email• Active daily user of Gmail and other forms of social media• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Malta• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense• Experience in use of web browsers to navigate and interact with a variety of contentWorking on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.Why Join the TELUS International AI Community• Earn extra income• Access to our community wellbeing initiative• Remote work & Location Independence• Be your own boss• Flexible Hours to fit in with your lifestyle• Be a part of an online communityApply now to join our global AI team! Click the ""Apply"" button or access the link below:https://www.telusinternational.ai/cmp/contributor/jobs/available/94• *NOTE**: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status"
Data Scientist,NA,2023-01-30 12:29:41,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=46dp_W0XgS0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Betsson Group,Part-time,NA,Malta,"Excellent opportunity to join Betsson Group as our new Data ScientistTHE WOWAre you interested in Sports, Casino and keen toestablish which models should be used in the correct context Are you experienced indelivering complex data science and analytics projects within organisationsThen take this opportunity to join us as our new Data Scientist!At Betsson Group we work with a Hybrid Work From Home (WFH) model, giving you the flexibility of working 2 days in the office and 3 days at home."
Remote Opportunity for Maltese Speakers,NA,2023-01-30 12:29:42,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=v-MSmeuVlPMAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,Malta,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.comWe are hiring Personalized Internet Assessors in Malta (Maltese Language)In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their relevance... to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.Who is suitable for this roleWe are currently seeking dynamic and creative people who have a strong interest in social media, specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use a smartphone  Android or iPhone  and have a familiarity with other forms of social media and Google products. You should also be flexible, reliable and have the ability to interpret and follow established guidelines.You will have the flexibility and freedom to work from your own home, working your own hours. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks.What are the main requirements for the role• You must have full professional proficiency in both written and verbal English & Maltese• You must be living in Malta for the last 5 consecutive years• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks• The majority of the task types will require both a desktop/laptop and a smartphone• Gmail must be your primary email• Active daily user of Gmail and other forms of social media• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Malta• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense• Experience in use of web browsers to navigate and interact with a variety of contentWorking on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.Why Join the TELUS International AI Community• Earn extra income• Access to our community wellbeing initiative• Remote work & Location Independence• Be your own boss• Flexible Hours to fit in with your lifestyle• Be a part of an online communityWhats nextIf this sounds like a role youd be interested in taking on:Create an account using the ""Apply button/ link below"", click the ""Sign Up"" button and fill the required fields. An email confirmation will be sent to your email to set your password and account. Then select Malta as your country and Maltese (Malta) as your primary language. Then complete the registration process, do not forget to click the ""Apply"" button to start your application process for the project"
Senior Data Engineer – Data Office,2023-01-27,2023-01-30 12:29:42,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=oNYvOSdhFxsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Bank of Valletta plc,Full-time,NA,"Santa Venera, Malta","Bank of Valletta p.l.c. is seeking to recruit a Senior Data Engineer within its Data office.Bank of Valletta (BOV) launched a digital transformation programme that will transform the bank into a customer-centric organisation that is focused on delivering value to the customer. The bank will be using the latest technologies to support this transformation including the latest in cloud technologies enabling use of machine learning technologies at scale. This new programme will require scalable data engineering methods and good control over data quality.BOV set up a data office that complements the existing ITSD and business capabilities to generate more value from data. The data office reports into the finance function, but its scope is bank wide. The data office is building structures to control data quality and has already set up a core team and a bank-wide data network to build data governance, data management, and architecture capabilities. The data office will establish a data... engineering team to support data science and data analytics teams in the bank by creating data pipelines and help the business use data better. The data management and data engineering workstreams in the data office will promote trust in data, and will remove blockers by improving access to the data.The data office & ITSD are implementing cloud technologies to simplify business processes, serve the customer better, and improve regulatory reporting. The senior data engineer will be at a senior manager level leading a team of data engineers and junior data engineers, and will be leading all cloud-based data engineering activities, including management of the data lake, and all data pipelines to business users and applications.This will be a key position to enable the banks vision in becoming the best bank for its customers. Data will become our winning factor to identify customer needs at the right time and make the best decisions that will generate the best value for our customers. The agility gained from using cloud-based systems, and DevOps will create a continuous improvement system that can run at the banks overall pace.What will you be doing• Managing the data platform in a cloud-based environment to simplify business processes, and serve the customer better. This includes directly managing and mentoring a team of data engineers with different levels of seniority.• Help shape the data strategy to help the bank make the best use out of cloud-based resources.• Manage a work stack of use cases, and help the business get the most out of the cloud-based environment by shaping use cases to take advantage of cloud technologies. As a team focused on business value, you will be required to challenge requirements to ensure the most efficient solution can be derived.• Design and upkeep of the data architecture within the cloud-based data platform to be agreed with the data architect within the data office, and approved by the architecture review board.What should you have• Experience in managing cloud-based data platforms, including data transformations ideally in Azure.• Experience in using Databricks, and ideally delta lake, and/or other Azure tools like Azure data factory.• Ability to manage and prioritise business use cases, and allocate tasks to team members efficiently.• Experience with managing data as a product. The role will require management and upkeep of the data quality metrics (including the presentation layer).• Ability to work with ITSD through the concept of a landing zone in the cloud environment• Ability to work with FinOps concepts to control cloud costs• Ability to use DevOps, CI/CD pipelines and lead the team to work in AgilePreference will begiven to candidates with a minimum of 2 years experience in managing data engineering pipelines on cloud environmentsWhats in it for you• Joining our team comes with a lot of benefits! Heres what you, as an employee will enjoy.• An attractive remuneration package will be offered to the successful candidate• Bank Holidays and additional vacation leave days over and above the statutory entitlement• Health insurance covering the employee, spouse/partner and any dependents• Relocation assistance and packages for expats joining the bank• Accredited and MFHEA recognized training programs from our BOV Learning Academy• Study leave when employees decide to further their studies on part time basis• Staff home loan rates for your dream home and other credit facilities at reduced interest rates• Exemption from the yearly fees on credit cards, internet banking, etc• A newly launched Voluntary Occupation Pension Scheme (VOPS)• An Equal Opportunities Employer as certified by the NCPE• Remote working to achieve a work-life balance• A budget dedicated to your childrens summer school costsShortlisted candidates will be requested to attend an interview.Interested candidates are requested to send a detailed Curriculum Vitae (CV) on resourcing-financebov.com, including the vacancy title in the subject field.Applications are to be received by e-mail by not later than 08 February 2022. All applications will be acknowledged and treated in strictest confidence. Late applications, received by post or in any other manner, will not be considered.The Bank ensures a fair, transparent, consistent and non-discriminatory treatment of employees on the basis of gender, race, colour, ethnic, or social origin, genetic features, language, religion, or belief, political or any other opinion, membership of a national minority, property, birth, disability, age or sexual orientation.Following your application for employment, the Bank shall process information provided by you solely in order to process your application.If your application is unsuccessful, the Bank may keep your personal data on file for a period up to six months post the time when the post applied for was filled. Your information will only be used to identify any future employment opportunities within the Bank of Valletta Group for which you may be suited.You are free to withdraw your application and your consent to the retention of your personal data, at any time. For further information, please read our privacy notice which can be found on our website (https://www.bov.com/content/privacy"
AI Lecturer,2023-01-23,2023-01-30 12:29:43,https://www.google.com/search?q=Machine+Learning+Jobs+Malta&ibp=htl;jobs&sa=X&ved=2ahUKEwjLmsvig_D8AhXVBjQIHYlPBfEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=018na-03MkkAAAAAAAAAAA%3D%3D&fpstate=tldetail,BroadWing,Part-time,NA,"Floriana, Malta","Job DescriptionCompany Introduction Our company is an international company that offers a range of services from e-learning to training programs.Job Responsibilities and Duties• Prepare and deliver lectures, tutorials, workshops, and seminars;• Develop curricula and course material that can be used across a number of platforms;• Collaborate with other academics and lecturers to improve teaching methods and expand knowledge base;• Set and grade assignments, tests, and exams;• Conduct research, and write papers, proposals, journal articles, and books;• Attend and participate in meetings, conferences, and other events in and outside of the institution;• Participate in training opportunities and initiatives at the institution;• Provide support to students and other colleagues;• Stay current by reading widely and producing published work in the field. Experience• Hold a Ph.D.in one of the following disciplines:Artificial Intelligence, Cybersecurity, Machine Learning... Information Technology, or similar;• Previous experience in one of the following: Artificial Intelligence, Cybersecurity, Machine Learning, Information Technology, or similar;• Previous experience in Blockchain;• Previous teaching experience would be considered an asset;• Published work would be advantageous. Personal Skills• Ability to inspire students with your passion;• Flexibility, resilience, and willingness to work long hours;• Strong interpersonal, presentation, and written and verbal communication skills"
