Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Specialist,2023-01-12,2023-01-30 12:32:36,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=KD7lnEda6ZMAAAAAAAAAAA%3D%3D&fpstate=tldetail,InSOFTech,Part-time,NA,"Karachi, Pakistan","Do you love playing with data to find patterns Does Artificial Intelligence and applying deep neural networks to solve complex learning problems excite you Do you want to work on a product that solves real world problems with AI We are a fresh startup looking to hire a Software Engineer (Machine Learning). You'll be part of a highly skilled team of engineers, scientists and designers.Experience Requirements:• Strong in software development and building automation tools, with experience in Python and C++• SQL database or relational database skill• Proficient in communicating with Software Engineers and ML Researchers with widely varying level of technical expertise• Experience with GitHub and basic familiarity in working with cloud based infrastructures• Experience working with deep learning frameworks (TensorFlow, PyTorch and Keras) is a plus• 0-1 years of experience in deploying software systems in the industry•Only apply Final Year Student / recently graduate in Computer... Science or similar STEM field If you're the right fit for this position then please send us your CV. Thanks"
Lead Machine Learning Engineer,NA,2023-01-30 12:32:36,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=DuzWehrJQDsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Quixel,Full-time,NA,"Islamabad, Pakistan","We are looking for an experienced Machine Learning Engineer who is passionate about applying Machine Learning to solve problems in the field of 3D Computer Graphics and Machine Vision. You will be working as part of a team to design, build and maintain pipelines for data processing, model training and evaluation. You will be managing and mentoring junior ML engineers as well as designing and running experiments to evaluate ML models for image recognition, segmentation, retrieval, texture synthesis and 3D shape generation.In this role, you will• Lead and mentor a team of ML engineers• Manage the development and deployment processes• Use hands-on, technical expertise to drive solutions for a range of challenges• Design, review and implement automated pipelines for model training and evaluation• Design, review and run experiments to evaluate state of the art research in the context of our specific problems• Collaborate with a team to explore data driven solutions for problems in... our internal pipelines and product featuresWhat we're looking for• 5+ years of professional coding experience with strong programming experience with Python• 3+ years of professional experience working in the domains of Deep Learning and Computer Vision• Experience of leading an engineering team• Experience of building and maintaining data pipelines• Experience of working with ML libraries such as TensorFlow, PyTorch, MatCovNet, MXNet etc. (experience with PyTorch is preferred)Nice to have skills• Experience with ML Ops and AWS• Programming experience in C/C++• Familiarity with 3D Computer Graphics and popular CG tooling• Knowledge of PBR and real-time rendering techniquesRemaining knowledge, skills, and abilities needed• Ability to lead a team as well as work in a team• Strong contributor to the maintenance of a fantastic and transparent culture• Proactive and effective communication styleAbout QuixelQuixel is the creator of Megascans, Bridge, and Mixer: the worlds largest library of 3D scans and two groundbreaking art applications. Our products standardize and accelerate workflows within the entire 3D industry and empower all artists to take control of their creative passions.We work with industry leaders in 3D art and have been integral to some of todays biggest AAA games and blockbuster movies. We are also rapidly expanding into architectural visualization and product design spaces.We hire creative, passionate people, and give them the autonomy to do great work. We are building Quixel to be a remarkable place to work, learn, and grow. We are growing fast and would love to work with you!Quixel is proud to be an equal opportunity, non-discrimination and harassment free workplace. A diverse workforce with varied perspective and background strengthens us by creating and environment receptive to new ideas, alteration and innovation.Note to ApplicantsPlease continue to visit our jobs website for future job and internship opportunities.If you don't see a fitting job listed, submit your application under General Applications.Please note that we do not accept applications via email or phone calls.Note to Recruiters and Placement AgenciesQuixel does not accept unsolicited agency resumes or phone calls"
Machine Learning Engineer,NA,2023-01-30 12:32:36,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=u709soD3_woAAAAAAAAAAA%3D%3D&fpstate=tldetail,Plentys.pk,Full-time,NA,"Karachi, Pakistan","Machine Learning Engineer and Computer Vision specialistWe are looking for Machine Learning Engineer and Computer Vision specialist to join our team.JOB BRIEF:We are looking for a Machine Learning and Computer Vision specialist who will be responsible for the leading designing and development of innovative deep learning systems capable of image classification, object detection, and face recognition.To do this job successfully, you need exceptional skills in statistics, programming, and graphical systems. If you also have the knowledge and are willing to take on an interesting challenge to reimage the retail industry, wed like to meet you.Your ultimate goal will be to build efficient self-learning applications while leading a highly skilled and self-functional team.RESPONSIBILITIES:Some of our key responsibilities in this role will be:• Designing and developing machine learning and deep learning systems computer vision system• Leading the technical development of the... project• Delegating and managing a self-managed team• Design testing processes and help execute use cases• Firm understanding with machine learning frameworks such as Keras and PyTorch, and other libraries like OpenCV, Tensor Flow, Numpy, Pandas, yolo• Performing Tasks on Machine Learning on IDEs such as JupyterLab, Pycharm, Visual Code, Spyder• Implementing appropriate ML algorithms• Perform statistical analysis and fine-tuning using test results.• Ability to write robust code in Python, Java, and R• Excellent communication skills• Outstanding analytical and problem-solving skills.REQUIREMENTS:Education: BSc in Computer Science, Masters degree in computer vision is a plus.Experience: 5+ years of hands-on experience with software design and development processes 3+ years of experience working with computer vision systems"
Machine Learning Engineer (Remote),2023-01-11,2023-01-30 12:32:37,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=dQHhLHXhrZYAAAAAAAAAAA%3D%3D&fpstate=tldetail,MonetizeMore,Full-time,NA,"Lahore, Pakistan","MonetizeMore builds industry-leading ad technology that is seen by more than 300M+ people per month. The company has been running for 12 years achieving consistent double-digit growth each year with a team of 280+ team members spread across the globe.MonetizeMore offers location and schedule freedom to every one of its team members. That means that you would have the lifestyle autonomy to choose to work from anywhere in the world, during the time of day you prefer. This new-age work lifestyle would enable you to engineer your ideal lifestyle. Say goodbye to endless commutes, stuffy business attire, and the arbitrary 9 to 5 work-day. Take your life back into your hands by joining the MonetizeMore team!What youll do:• Build new algorithms and modeling techniques to advance the newest ideas in ad optimization.• Leverage the large scale amount of data we collect, to improve the efficiency of the multi-billion advertising impression market on the Internet.• Work will have a... positive impact for millions of people.Who you are:• Proven experience with production implementation. Building and maintaining the feedback loop between the ML model, collecting data, re-running the model, and re-deploying the model in production.• At least 3 years of hands-on software engineering experience building complex solutions to real-world problems at scale.• Strong practical experience on at least one Data Management Paradigm (Relational, Document or Graph)• Ability to perform exploratory data analysis on data to form hypothesis• Experience with automated testing and continuous integration.• Exposure to AWS or other cloud platforms.• Experience working on an Agile team.• Experience working on Docker and Kubernetes.• English language fluency• Good communication skills, self motivated.• Degree in Computer Science, mathematics or related field with a specialization on machine learning or equivalent experience.Nice to have:• Web development experience.• Experience developing advertising technology• High performance ratings on Kaggle or other public ML competitions.What we offer:• Competitive Salary: Our salary formula adjusts to your cost of living and experience.• Work remotely: Live and work wherever you like!• Flexible working hours: You have the autonomy to set your own schedule• Retreats: We meet in person for company get-togethers.• Career Growth and TrainingsIf you think you are a good fit. Please apply on this side bar and give specific reasons what sets you apart. We hire individuals, not robots so dont be afraid to show a little personality.We make hiring decisions based on your experience, skills and passion. Please note that interviews are conducted virtually"
Remote Lead Machine Learning Engineer Jobs,2023-01-23,2023-01-30 12:32:37,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=poOlgJEID9IAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Pakistan,"A fast-growing company that is developing a cutting-edge platform providing advanced and accurate data that helps customers to make property decisions, is looking for a Lead Machine Learning Engineer. The engineer will be taking ownership and ensuring that tasks are completed on time. The company is enabling customers to realize the full potential of property investments by using technology to understand the market. During their Series A round, the company managed to securely raise 3.2mn+ in funding.Job Responsibilities:• Define the product strategy, technical architecture, and craft core experiences• Communicate and prioritize technical requirements according to the companys goals• Develop innovative machine-learning models for various applications• Work with the team to ensure consistent performanceJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent experience)• At least 3+ years of relevant experience as a Machine Learning•... Prolific experience working with Python and Data Engineering• Solid understanding of Machine Learning and related technologies• Ability to communicate effectively and fluently• Fluent in conversational and written English"
Remote Machine Learning Engineer - Head of ML/Data Jobs,2023-01-21,2023-01-30 12:32:37,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=KGiNYDK6vVkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Pakistan,"A US-based startup committed to designing, building, and managing high-performing revenue operations for businesses is looking to hire a Machine Learning Engineer. The engineer will develop machine learning models to classify news/PR/industry articles based on category tags derived from a learning data of 5000+ data points. The company has assembled a dynamic group of sales, marketing, and technology experts with a track record of leading growth for some of the worlds largest and most successful companies. The selected candidate will create and leverage existing ML models for text summarization to enable rapid analyst understanding and context. This is an excellent opportunity for those who would like to join the team in pioneering the future of B2B growth.Job Responsibilities:• Understand the business objectives and develop models to achieve them, along with metrics for progress tracking• Design and develop scalable machine learning systems• Research and integrate appropriate... ML algorithms and tools• Manage and lead the team executing the bottoms up build of a sales insight engineJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent experience)• At least 3-5+ years of relevant Software, ML, or Data engineering experience• Baseline knowledge of full-stack development is desired• Nice to have some proficiency in Scala, Play-framework, HTML, Bootstrap, jQuery, JavaScript, and Python scripting• Have a keen interest in building from scratch rather than with frameworks• Competence in data science and algorithms to develop rules and scoring of quantitative information• Sound problem-solving aptitude• Familiarity with various machine learning frameworks and libraries• Ability to thrive in a fast-paced, collaborative environment"
Machine Learning Engineer,NA,2023-01-30 12:32:38,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=APrAAt4OwZ4AAAAAAAAAAA%3D%3D&fpstate=tldetail,SensViz,Full-time,NA,"Islamabad, Pakistan","We are looking for a creative and versatile engineer who has the expertise in developing and deploying a wide variety of machine learning and deep learning models to solve complex real-world problems. The emphasis of the work will be mostly on NLP and Computer Vision models.SensViz is a data-driven company that aims to bring digital transformation to businesses by providing state-of-the-art intelligent solutions. Join our team with the vision of creating a better automated world.Responsibilities and DutiesDesign, develop, validate and deploy state-of-art machine learning/deep learning architectures for Computer Vision and NLP.Perform optimization techniques to improve the accuracy of the model.Understand and implement research papers.Delivery of fast, scalable, robust, and human-centered AI solutions.Skills and RequirementsMust be an active contributor to the open source community. Showcase your GitHub account.Strong knowledge of object-oriented programming in... python.Strong command in using frameworks like TensorFlow, Pytorch, and Keras to build deep learning models.Knowledge of working with Scikit-Learn, Pandas, NumPy, Matplotlib, OpenCV, NLTK, and other Data Science libraries.Experience with transformers like GPT-3 and BERT.Familiarity with AWS architecture is a must.Knowledge of building GANs is preferable.Knowledge of Python web frameworks like Django or Flask.Familiarity with Big Data Frameworks.Familiarity with databases is a plus.Must exhibit good communication skills"
Sr. NLP (Natural language processing) Engineer (01 Position),NA,2023-01-30 12:32:38,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=lV0yHLrNwA0AAAAAAAAAAA%3D%3D&fpstate=tldetail,i2cinc,Full-time,NA,"Lahore, Pakistan","Job Description :• Research on creating state-of-the-art, scalable, and self-learning systems for our Business KPIs and their sub-components.• Design, train and tune a variety of Deep Neural Networks / Machine Learning Models.• Create models from varying levels of Data Quality and Quantity (Imbalanced, Multi-Domain and/or Multi-Class, Unlabeled) - here your ability to creatively apply Domain Knowledge will be important, such as driving existing model implementations from Supervised to Semi-Supervised Learning.• Help define and drive improvements related to Architectural Designs, Dialogue-Schemas, Data Acquisition, Feature Transformations and Model Evaluations.• Standardize and Automate Annotation Practices for efficient utilization for the acquired data.• Formulate general purpose solutions configurable to accommodate custom requirements for different clients.• Formulate general purpose solutions configurable to accommodate custom requirements for different clients.• Perform... Data and Error Analysis in order to Improve Models and Understand their Shortcomings.• Lead all NLP-based projects for AI involving NLP Engineers and Data Analysts.• Communicate and Work effectively with Team Members and Other Teams (on-site and/or remotely).We are looking for:• BS(CS) or MS(Computational Linguistics)• 5 years or moreSkills:• Expert knowledge with a scripting language (preference: Python), an object-oriented language (e.g. C++, Java) and a query language (preference: SQL).• Expert knowledge and Experience of building ML Pipeline Architectures and the general lifecycle of an NLP Project.• Experience and/or demonstrable knowledge of manual and/or automated data analysis and its techniques for extracting meaningful insights and be able to communicate them effectively.• Expert knowledge and Experience of working on conventional ML/DL problems like: Supervised Classification and Unsupervised Clustering, as well as some optional knowledge about RL (Reinforcement Learning).• Expert knowledge and Experience with classic NLP Feature-Extraction techniques such as: n-grams, part-of-speech tagging, semantic distance metrics, search indexing, and corpus analysis etc.• Expert knowledge and Experience of working on conventional Computational Linguistics problems such as: Syntactic Processing, Word Sense Disambiguation, Context-Free Grammars, Lexical Semantics, Quantification and Plurality, etc.• Expert knowledge and Experience of working in conventional NLP problems like: Informational Retrieval, Relevance Ranking and Search, Question-Answer Generation, Natural Language Inference, Topic Modeling etc.• Experience and/or demonstrable knowledge of working in Conversational AI: particularly in its classical NLP problems like: Automatic Speech Recognition (ASR), Machine Translation, Chatbot Response Generation, Frame-wise Spoken Dialogue-Intent Recognition, Dialogue-Act Classification and Slot-Labeling, Turn Allocation and Dialogue State Tracking, etc.• Optional experience working with both Audio and Text Datasets on spoken language problems.• Experience working with Deep learning and ML APIs such as Tensorflow, PyTorch, XGboost, CatBoost, etc as well as a firm grip over modern state-of-the-art and otherwise NLP architectures such as BERT, GPT3, Reformer, RNNs, CNNs, LSTMs etc and vector space models such as GloVe, Word2vec, USE etc.• Ability to communicate technical concepts and solutions at a level appropriate for technical/non-technical audiences.• Have a decisive personality and ability to utilize past experience to derive ETAs, timelines, resource consumption and realistic result expectations.• Ability to define and structure project lifecycles: conceptualization, architectural and database design, skeletal construction, task delegation to inter and intra team developers, milestone deliverables and possible improvement tracks.• Ability to explain and justify research and analysis done for a cause and deliver acquired results to the higher management.• Ability to point out fallacies / pitfalls in implemented model architectures, algorithms and data processing.• Ability to understand the goals of the project and the end user and set the right expectations with higher management after analyzing AI and business constraints.• Experience working with Numerical Computing Tools like: NumPy, SciPy  using the standard Pandas API.• Experience working with ML/DL frameworks like: Scikit-Learn, Tensorflow, Keras, PyTorch, etc.• Familiarity with utilizing hardware acceleration concepts and tools such as Numba, PyCuda, TFX Runtime, etc.• Familiarity with Model Serving APIs like: Tensorflow Serving, TorchServe, Django & Flask, etc.• Good to haves: Familiarity with Model Serving APIs like: Tensorflow Serving, TorchServe, Django & Flask and Familiarity with Utilizing hardware acceleration concepts and tools such as Numba, PyCuda, TFX Runtime, etc.Job Location:• Lahore"
Artificial Intelligence (AI) / Machine Learning Intern,2023-01-10,2023-01-30 12:32:39,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=tPQrSNSD_a4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Greenie Web,Full-time,NA,Pakistan,"Greenie Web is a ClimateTech startup that enables the the green transition through technology.The RoleYour Responsibilities Will Include• Creating predictive and prescriptive models that could have a positive impact on the business.• Driving data modelling activities ranging from conceptualization, visualization to operationalization.• Performing statistical analysis on historical data to validate models.• Working across stakeholders to identify and capitalize on opportunities to leverage data to drive business solutions.• Gathering and evaluating user feedback.• Providing code documentation and other inputs to technical documents.• Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.• Troubleshooting and debugging to optimize performance.Ideal ProfileSkills Required• You possess a minimally a bachelor's degree, ideally in Mathematics, Statistics, Computer Science or related field.• You... have at least 1 year experience, ideally within a Software Engineer or Data Scientist role.• Ability to write and execute complex queries in SQL or similar• You are highly goal driven and work well in fast paced environments• You are a self-starter and demonstrate a high level of resilience• You pay strong attention to detail and deliver work that is of a high standardWhat's on Offer• Opportunity to make a positive impact• Flexible working options• Leadership Role"
Junior Machine Learning / AI Engineer,2023-01-17,2023-01-30 12:32:39,https://www.google.com/search?q=Machine+Learning+Jobs+Pakistan&ibp=htl;jobs&sa=X&ved=2ahUKEwikzYS3hPD8AhU6HDQIHcR4Cx4QutcGKAF6BAgcEAU#htivrt=jobs&htidocid=pb9V4vIT9RsAAAAAAAAAAA%3D%3D&fpstate=tldetail,TekRevol,Full-time,NA,"Karachi, Pakistan","About Tekrevol:Tekrevol is a leading mobile app development company dedicated to providing businesses with reliable technological solutions. We have helped countless entrepreneurs achieve their goals and drive results by creating top rated mobile apps and websites.As a global company, our aim isnt just to create digital solutions but to help businesses achieve sustainable growth and scalability. Our teams and networks stretch across the United States, and have extended its reach to Ukraine & the Middle East.Job Description:• Strong analytical skills in research & development• Knowledge to maintenance of end-to-end machine learning pipelines• Familiar with the latest developments in AI & Machine Learning Libraries and their associated production environments (Tensorflow, Keras, PyTorch, scikit learn, SQL)• Knowledge in applying ML to Time Series data is a plus• Strong grip in SQL, Git, Databases, Big Data, goodRequirements:• BS in Computer Science / Software... Engineering• 0-6 months of experience with the interest of perusing career in AI  Machine Learning.• Good English Communication (Written)Shift Timings: Afternoon (12:00 p.m.  09:00 p.m"
