Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-30 12:33:29,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=oEQwMSRtAKgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Equinix,Full-time,NA,"Warsaw, Poland","Machine Learning EngineerMachine Learning Engineer  IT Data Science TeamLocationWarsaw, Poland (or remote in Poland willing to visit the office up to 2 times per month)Job DescriptionAs a key member of the Equinixs IT Data Science team you will be setting standards in designing, building, scaling and operating innovative machine learning solutions. You will work with other data scientists, machine learning engineers and data engineers to design, develop and be responsible to deploy various ML/AI solutions. You will drive research and proof of concepts for state-of-the-art MLOps tools, then incorporate them in our platform and drive adoption across all our projects. This role is hands on individual contributor role.Job Profile SummaryOur growing IT Analytics and Data Science team is spread in US, Poland, India and Singapore with a diverse set of skills and backgrounds. We work with our internal customer in departments like Sales, Marketing, Finance, Operations and more... to deliver machine learning solutions to critical data-driven problems directly connected to companys top-level goals.We have a variety of datasets generated by our internal systems, that includes tabular/panel data and text (and even videos) and datasets acquired from third-party providers. We have several ongoing projects related to revenue, retention, growth, risk mitigation and a vast green field to explore new ideas. To deliver such solutions we use multiple machine learning tools like classification, regression, clustering, time series, anomaly detection, NLP, graph models and constantly exploring new ones.We are building our ML platform considering MLOps best practices to increase productivity and reliability across several machine learning use cases. We use GCP (Google Cloud Platform) and its cloud components to architect our solutions, using mostly python, SQL and popular data science libraries for all our work while keeping flexibility to try new technologies along the way.Responsibilities• Deliver ML projects: Build and improve data science use cases in multidisciplinary teams, from idea to code in production. This role will be on the cutting edge of our Data / Machine Learning platform. As we push to solve more of our ML/AI challenges, you will be prototyping new features, tools and ideas. Innovate at a very fast pace to maintain our competitive edge• ML engineering and operations: Research, design and build a ML platform that will sustain all our models full life cycle. Interact with data engineering and architecture teams to execute and optimize the way we consume data and deploy models in production. Roadmap includes feature store, model monitoring and other MLOps concepts• Data expertise: Work with large volumes of data; extract and manipulate large datasets using tools such as Python and SQL. Leverage a state-of-the-art ML platform to train and deploy models. Drive scalability, reliability and efficiency across projects• Standardization: You will be fully involved in optimization of several processes, coming up with standardization for various approaches in solving use cases/problems and making sure that multiple projects are following the defined frameworks• Collaboration: Coordinate and work with cross functional teams, sometimes located at different locationsRequired skills• CS fundamentals: You have earned at least a B.S. (MS / PhD desired) in Computer Science or related degree, and you have a strong ethos of continuous learning• Software engineering: You have 3+ years of professional software development experience using Python and SQL using version control (GIT), with good analytical & debugging skills. You have used automatic code analysis and formatting tools. You are fluent in writing tests and documenting your code along the way.• Machine Learning: You have 3+ years of experience with machine learning modeling, creating prototypes and evolving them into full-fledged products that are served in production environments. Knowledge about methods such as classification, regression, time series, NLP, anomaly detection, clustering and other common ML tools.• Cloud and ML Environments: You have worked in at least one cloud environment like GCP (preferred), AWS or other cloud data platforms. Understanding of different cloud components to build ML solutions (Seldon.io, Kubeflow, Vertex AI or similar)• Machine learning operations (MLOps)  you have developed CI/CD workflows using GitHub Actions and/or ML workflows using ML lifecycle tracking and deployment frameworks (like MLFlow, Seldon.io, Kubeflow Pipelines, TFX).• Data manipulation: Deep interest in understanding the datasets related to the projects, spot and communicate data quality issues, knowledge of different feature engineering techniques to feed models with the best possible data. Experience in developing Spark scripts is a plus.• Project management: You demonstrate excellent project and time management skills, exposure to scrum or other agile practices in JIRA• Fluent in EnglishDesired skills• Machine learning operations (MLOps): Practical experience in MLOps use cases such as: Feature Store, Model monitoring, Data and model versioning• AutoML: Experience and interest to work with AutoML software (like H2O Driverless AI, GCP AutoML or others)• Graph databases: Experience in evaluating, designing and implementing scalable solutions that leverage graph DBs (Neo4j, TigerGraph or similar)Successful candidate will• Be a talent multiplier who gets the team around them to excel• Be persistent, creative and driven to get results relentlessly• Exhibit a strong backbone to challenge the status quo, when needed• Exhibit a high level of curiosity, keeping abreast of the latest trends & technologies• Show pride of ownership and strive for excellence in everything undertaken"
Machine Learning Engineer,NA,2023-01-30 12:33:29,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=P7X1sufh3X4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Accenture,Full-time,NA,"Warsaw, Poland","Accenture Applied IntelligenceYou've heard of Artificial Intelligence (AI), but what about Applied IntelligenceAI may be the talk of the town, but it's not a silver bullet. That's where Applied Intelligence comes in: It's our unique approach to combining AI with data, analytics and automation under a bold strategic vision to transform business in a very pragmatic way.AI Centre of excellence in Poland is part of a global team of more than 6,000 deep AI experts and 3,000 data scientists. We work with almost any technology partner including AWS, GCP, and Microsoft.We build resilient data approaches, make AI vision a reality and make it scalable. Our work makes an impact and help businesses prepare for tomorrow.What will you do:• Research, design, build, and implement new Machine Learning systems, and maintain, and improve existing ones.• Apply various techniques (regression, classification, computer vision, natural language processing and more) to speed up and automate... processes, support decisions based on data-driven insights, and bring savings in time and money to our clients.• Work with us at the forefront of the digital revolution contributing your creativity, innovativeness, critical thinking and technical skills to help us shape the global digital landscape and enable our clients to transform themselves into high-performance, competitive organizations.• Work in interdisciplinary teams that gather technical, business, cloud and data science competencies that deliver work in agile methodologies (at client location, remotely or mixed).•"
Machine Learning Engineer (Poland),NA,2023-01-30 12:33:30,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=-83a74dEP_4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Ex Parte,Full-time,NA,Poland,"In this job, you can expect to:Drive technical roadmap to extend risk monitoring across identified threat surfacesDevelop/experiment/ship state-of-the-artprediction modelsUse excellent data science practices to iteratively produce high performing modelsCreate immediate impact through sound and practical deliveries of risk monitorsWork with engineering colleagues to convey findings through data visualizationsMeasure, tune and refine existing algorithms to incrementally improve performanceAnalyze new and existing data after extracting. transforming and combining it in novel waysConvey needs to engineering and operations teams to ensure healthy feedback loopsAttract and onboard new talent while preserving and enhancing existing cultureBuild strong partnerships and collaborate with other teams across the enterpriseDemonstrate a sense of ownership and personal accountability for your team's workBasic Qualifications:5+ years applied data science experience... including 3 years of advanced analytics experience focused on enterprise-specific problem solving2+ years management, mentoring, or other closely related team or people leadership experienceExperience in machine learning (supervised, semi-supervised or unsupervised learning)Strong communication, delivery management, and leadership skillsPreferred QualificationsA bachelors degree, MSc or Ph.D. in Statistics, Data Science, Artificial Intelligence, or equivalent alternative education or experienceApplied experience with SQL, also Python or R or Scala, and modern data science tools/packages e.g. PyTorch, Transformers, TensorFlow, scikit-learnApplied experience with Databricks and/or Azure MLStrong coding abilities in one or more scripting languages like Python or SQLUnderstanding of compliance, security, and risk domains along with associated patterns and data elementsUnderstanding of product and services activation, use, and transaction models and dataUnderstanding of statistical analysis and machine learning tools and practicesUnderstanding of Cloud-centric data processing and visualization approaches including SQL and NoSQL databases with exposure to Azure SQL, Azure Cosmos DB, Data Factory, Synapse, Azure Data Lake, etcFamiliarity with Agile software delivery including application lifecycle mgmt (SAFe, Azure DevOps/VSTS, Git)Ex Parte focuses on Big Data Analytics, Legal Tech, and Artificial Intelligence / Machine Learning. Their company has offices in Washington DC. They have a small team that's between 11-50 employees.You can view their website at https://exparte.com"
Senior Machine Learning Engineer,NA,2023-01-30 12:33:30,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=jt-QKdbfIkgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Equinix,Full-time,NA,"Warsaw, Poland","Senior Machine Learning EngineerWe are looking for a smart, enthusiastic, and creative Senior Machine Learning engineer with a strong background in computer science and engineering. In this position, you will play a pivotal role in designing, building, scaling and operating innovative end to end machine learning solutions on our petabyte scale Data Center Infrastructure Monitoring (DCIM) IoT platform.The qualified candidate will have hands on experience on developing machine learning models, data pipelines and operationalizing them at scale. Besides, will have working knowledge of most common machine learning techniques and their application using large data sets.Responsibilities• Design & Build secure data pipelines for handling real-time data streams and integrating with machine learning models at scale.• Work on data exploration, data cleansing, ingestion, data wrangling and feature engineering.• Work with Data Scientist and Machine Learning Engineer to integrate with and... operationalize machine learning models at scale in production.• Understand and analyze large, complex data sets to identify anomalies and data quality issues.• Design and Build Data quality and anomaly detection framework for IoT timeseries data.• Build data pipeline with Apache Spark in Python.• Develop test cases and automation for data pipeline.• Work with cross functional stakeholders to assist with their data needs via optimal & reusable data pipelines.• Participate in design and code reviews.Qualifications• Masters with 5+ years of experience and Bachelor with 7+ years of experience in Computer Science, Data Science, or related fields.• Highly Proficient in Python programming language with Java programming skills as a huge plus.• 3+ years of hands on experience in building and optimizing big data pipelines using Apache Spark in Python and Java programming languages.• 3+ years of hands on experience of building & integrating data pipelines with machine learning models.• 3+ years pf experience with big data tools e.g Kafka, Cassandra, Hadoop, Storm and Spark.• 3+ years pf experience on data quality analysis and detection.• Excellent verbal and written communication.What we offer• Full-time job agreement• Competitive salary and benefits (including stock options plans, VIP medical coverage)• Pre-paid lunch cards• Employment in a stable company with an established position in the market;• International business travels for trainings• Training package to further master your hard as well as soft skills• Office in Warsaw city centre and in hybrid model/remote work available• Employment on contract of work or B2B"
Lead Machine Learning Engineer,2023-01-25,2023-01-30 12:33:31,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=9eC7u2ScyZwAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Poland,"EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.You can work remotely or join one of our offices, which are located in Warsaw, Krakow, Katowice, Wroclaw and Gdansk.The remote option applies only to the Candidates who will be working from any location in PolandDESCRIPTIONYou are curious, persistent, logical and with a growth mindset  a true techie at heart. You enjoy living by the code of your craft and developing elegant solutions for complex... problems. If this sounds like you, this could be the perfect opportunity to join EPAM as Lead Machine Learning Engineer.RESPONSIBILITIES• Deploy and monitor machine learning algorithms in production environment• Design, create, maintain, troubleshoot, and optimize the performance of complete end-to-end ML deployment lifecycle• Build frameworks for data scientists to accelerate the development of production-grade ML models• Establish and configure CI/CD/CT processes• Identify technical risks and gaps, devise mitigation strategies• Evaluate new tools and techniques• Promote and support MLOps practicesREQUIREMENTS• 5+ years production experience as ML Engineer or Data Engineer• Team management experience• Confirmed team or project leading experience• Several years of experience working with one of the major cloud providers (such as AWS, Azure, GCP)• Experience in Python development and the Python ML ecosystem• Good understanding of the ML fundamentals, data preparation and feature engineering• Experience with automated data pipeline and workflow management tools• Experience with basic software engineering tools, e.g., git, CI/CD environment, PyPi, Docker, Kubernetes• Experience with one of the infrastructures as a code (IoC) frameworks (e.g.: Terraform / CDK TF, Ansible, AWS CloudFormation / AWS CDK, etc.)• Agile development experience• Problem-solving skills and strong decision-making skills• Ability to foster new ideas and concepts• Ability to bring strong opinions and constraints to a generally agreed solution design• Ability to mentor and coach other team members• Clear, concise communication skills and good command of written and spoken EnglishNICE TO HAVE• Experience with at least one of the MLOps related platforms or technologies (such as AWS SageMaker, Azure ML, GCP Vertex AI / AI Platform, Databricks MLFlow, Kubeflow, Airflow, Argo Workflow, TensorFlow Extended (TFX), etc.)• Understanding of the Apache Spark ecosystem (Spark SQL, MLlib/Spark ML)• Software architecture and design experience• Able to conduct technical interviewsWE OFFER• Team & working conditions• Friendly team and enjoyable working environment• Engineering community of industrys professionals• Flexible schedule and opportunity to work remotely• Relocation within our offices• Corporate and social events• Benefits package (health insurance, multisport, shopping vouchers)• Stable income• Employment Contract or B2B• Regular assessments and salary reviews• Participation in the Employee Stock Purchase Plan• Referral bonuses• Career development• Innovative solutions delivery and engineering excellence• Outstanding career roadmap• Leadership development, career advising, soft skills and well-being programs• Certification (GCP, Azure, AWS)• Unlimited access to LinkedIn Learning, Get Abstract, OReilly, Cloud Guru• Language classes on English and Polish for foreigners• Please note that only selected candidates will be contactedWHY EPAM"
Machine Learning Engineer,NA,2023-01-30 12:33:31,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=8X03puajx2gAAAAAAAAAAA%3D%3D&fpstate=tldetail,Iron Mountain,Full-time,NA,"Reguły, Poland","At Iron Mountain we protect what our customers value most, from the everyday to the extraordinary. We build customer value around the world with a passion for preserving the physical, transforming the digital, and respecting the environmental. We pioneered the industry for global records and information management and have established some of the best customer relationships in the industry with 95% of the Fortune 1000 companies among our 225,000 loyal customers. Here, youll bring your expertise and creativity to a workplace that thrives on continuous improvement. Here, youll be part of a global workforce that embraces the differences among us. And here, well encourage you to Climb Higher for the benefit of our customers and each other. There is so much more, but enough about us. We cant wait to hear about YOU.Job Summary:Iron Mountain InSight is a cutting-edge AI enablement platform that applies industry leading Machine Learning (ML) technology to classify and extract entities... from unstructured content (Document Images, Audio and Video files, other data files and sources).The ML engineer works closely with multiple internal Iron Mountain teams to develop and deliver quality ML solutions, create/enhance ML tools for performance improvement.Essential Job Responsibilities:Design and development of ML models to perform classification and entity extraction of various forms of digital content (Images, Audio/video, and other digital file formats).Work with project managers, solution architects and other engineers to build and deploy ML solutions into Iron Mountain Insight Platform.Perform feasibility analysis and deliver PoC (Proof of Concept) for various customer requirements.Applying effective visualization tools to make analysis and results intuitive and informative to the team and customers.Participating in R & D to build Iron Mountain IP (Intellectual Property).Work closely with the business to identify issues and use data to propose solutions for effective decision-making.Functional Knowledge Skills & Competencies:Education: Master/Bachelor/PhD degree in Computer Engineering, Computer Science or related disciplineSkills:• Deep understanding on Machine Learning and AI techniques.• Professional experience in Python programming.• Deep understanding of Cloud Technologies and solutions - GCP Preferred.• Strong technical background and understanding of enterprise solutions• Proven internal/external written and verbal communication, interpersonal and analytical skills• Ability to multitask and prioritize issues in a complex environment.• ML-related publication preferred.• Experience working in an Agile environment• Good team player#LI-RemoteCategory: gjaInformation TechnologyIron Mountain Incorporated, founded in 1951, is the global leader for storage and information management services. Trusted by more than 225,000 organizations around the world in approximately 50 countries, Iron Mountain stores and protects billions of valued assets, including critical business information, highly sensitive data, and cultural and historical artifacts.Providing solutions that include information management, digital transformation, secure storage, secure destruction, as well as data centers, cloud services, and art storage and logistics, Iron Mountain helps customers lower cost and risk, comply with regulations, recover from disaster, and enable a digital way of working.Our Cores Values and Code of Ethics are our north star. They provide a solid base for how we do business and behave every day, so each one of us can experience exceptional.If you have a physical or mental disability that requires special accommodations, please let us know by sending an email to accommodationrequestironmountain.com . See the Supplement to learn more about Equal Employment Opportunity.Iron Mountain is committed to a policy of equal employment opportunity. We recruit and hire applicants without regard to race, color, religion, sex (including pregnancy), national origin, disability, age, sexual orientation, veteran status, genetic information, gender identity, gender expression, or any other factor prohibited by law.To view the Equal Employment Opportunity is the Law posters and the supplement, as well as the Pay Transparency Policy Statement, CLICK HERERequisition: J0053061"
Machine Learning Engineer / Product Data and Back Office,2023-01-10,2023-01-30 12:33:31,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=4iFfK0pKsaEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Evolution,Full-time,NA,"Warsaw, Poland","Company DescriptionEvolution is an award-winning company, founded in 2006. Across our 20+ sites, we have 10 000+ people working in the fields of Product Innovation, Software Development, Game Presenters & Hosts, IT-support, Facility & Studio build as well as support services. Evolution provides a dynamic and creative work environment with a unique opportunity for the right people to enhance their skills and drive their passion. Our culture is rooted in Evolutions core values ALIVE, do RIGHT and work TOGETHER and we operate guided by our vision to become the leading supplier of online casino in the world.Job DescriptionWe are searching for a passionate Machine Learning engineer/ software developer to join our Data Science team.QualificationsMain Duties & Responsibilities:• Design, build and maintain applications, pipelines and workflows for our data science use-cases;• Work closely with data scientists to bring prototype ML models to production;• Work with other teams to... provide data and build cloud infrastructure for our ML solutions;• Take part in ML model maintenance, retraining and quality monitoring;• Work with business and technical stakeholders to select and design data science solutions;• Continuous learning about state-of-the-art technologies and practices in the data science and engineering domain.Qualifications:• University degree in numerical field (Computer science, Machine Learning, Mathematics, Physics, Engineering, etc.);• Experience as software developer with at least one of the languages: Python, Scala, Java;• Experience with SQL and Big data processing frameworks such as Spark or Flink;• Experience with at least one ML framework and knowledge in at least one Machine Learning field such as regression, classification, clustering, optimisation, statistics.• Experience bringing a machine learning solution to production;• Experience with AWS or other cloud provider;• Highly proficient in spoken and written English;• Excellent communication skills and a pragmatic approach to problem-solving;• Willingness to learn and interest in the latest trends in programming and machine learning.Nice to Have:• Experience with MLOps;• Knowledge of Scala and interest in functional programming highly appreciated;• Experience with Kafka, Clickhouse, Postgres, Kubernetes, Docker.Additional InformationWe offer:• Challenging work with the award-winning products in a dynamic international team;• Health insurance;• Professional and personal development;• Opportunities to progress within the company.About UsEvolution is a market-leading developer and provider of products and services for online casino entertainment. Our excellence is driven by over 16,000 EVOlutioneers across 30 markets worldwide, working in product innovation, software development, IT solutions, game hosting and business support. Evolution's dynamic and creative environment creates a unique opportunity for personal and professional growth.Our integrated business-to-business solutions guarantee that our clients can always provide an unrivalled online entertainment experience to their players globally. We thrive on remaining an award-winning digital powerhouse of entertainment products and services with an ever-expanding line-up of product brands: Evolution Live, NetEnt, Red Tiger, Ezugi, Big Time Gaming, Nolimit City and DigiWheel.Evolution is a Swedish company founded in 2006 and listed on Nasdaq Nordic (EVO"
Machine Learning Operations Engineer,NA,2023-01-30 12:33:32,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=Ugrv30JQ3NgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Aptiv,Full-time,NA,"Kraków, Poland","The MLOps Engineer will be a key member of Aptiv Connected Services Data & Analytics team. The position will support product management, software developers, data architects, and data scientists and will ensure delivery and maintenance of optimally engineered models in an automated, cloud-based, and self-service environment.The project we are hiring for is an IoT connected edge platform with AI capabilities for the automotive telematics market which consists of an open cloud platform, web applications, mobile applications, edge embedded device hardware and software, over-the-air communication, advanced analytics of big data and more. The system can be always connected to the vehicle, it can troubleshoot data in offline and online mode, send relevant data onto the cloud where its processed further as well as aid problem root-cause or accident analysis remotely. Based on and on top of our hardware and software platform, we build an advanced analytics platform (in the cloud and at... the edge) with end-to-end models life-cycle management and serving capabilities.Your Role• Participate in requirements gathering, technical specification, design and development of automated, standardized, scalable and portable end-to-end machine learning pipelines• Build, test and optimize machine learning pipelines and models working in different clouds• Collaborate with data scientists, architects, software developers, data and DevOps engineers on anything related to the platform and its operations, from ideation, to prototyping, to implementation and post-production models maintenance• Interface with business and vehicle domain experts to ensure deployed models achieve technical and business performance objectives• Perform research and proof of concepts on MLOps-related technologies, tools, and approachesQualifications• University degree in computer science, information technology, mathematics, statistics, or related technical field (STEM)• Understanding of computing and networking fundamentals, such as CPU/memory usage, TCP/IP, and distributed systems• Hands-on experience in working with at least one of the cloud environments such as GCP, AWS, or Azure• Understanding of end-to-end machine learning process (MLOps) and tools, such as MLflow, Kubeflow Pipelines or TensorFlow Extended• Working knowledge of Python, SQL, Bash (or other command line toolkits), source code versioning tools, and best software development practices• Experience in data storage and data processing technologies e.g., relational/non-relational databases or cloud storage solutions• Familiarity with agile development and lean principles• Willingness to collaborate and share knowledge with teammatesBenefits• Hybrid work in Krakw or remotely anywhere in Poland• Smart Office, with interactive areas for mixed online and offline presence (touch screen TVs, etc.)• Startup essentials: high-quality coffee, tea and chocolate, playroom, chill-out areas, fruits, and snacks• Training budget for all employees, ability to attend and present in conferences• Possibility to travel to the US a few times a year to meet the extended team (post-COVID)• Competitive health benefits• Discount programs with various car manufacturers and retailers• Meaningful work that makes a difference in the world• Relocation assistance (if applicable)Get a list of benefits such as private health care, child fund, life insurance, Employee Pension Plan (+ 3,5% on each gross salary), trainings, sports activities Multisport card and hybrid type of work.#ACSSome see differences. We see perspectives that make us stronger.Diversity and Inclusion are sources of innovation and creativity, both of which are essential to Aptivs success. Everyday our diverse team comes together, drives innovation, pursues solutions, and meets challenges using their unique abilities, perspectives and talents, changing what tomorrow brings. When you join our team, youll get encouraged to think boldly, express your viewpoint and innovate as a matter of habit.Some See Technology. We See a Way to Make Connections.At Aptiv, we dont just see the world differently; we work to change reality. That means developing technology that rewrites the rules of whats possible in the pursuit of making transportation safer, greener and more connected. Today there are more than 180,000 of us globally, located in 46 countries, and united by one mission. Join the movement and together, lets change tomorrow.We are one of the largest vehicle technology suppliers and our customers include the 25 largest automotive original equipment manufacturers (OEMs) in the world. We operate 127 major manufacturing facilities and 12 major technical centers utilizing a regional service model that enables us to efficiently and effectively serve our global customers from best cost countries. We have a presence in 46 countries and have approximately 18,900 scientists, engineers and technicians focused on developing market relevant product solutions for our customersPrivacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidatesAptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law"
Machine Learning Engineer,NA,2023-01-30 12:33:32,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=yquUPjqfAF4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Quickchat AI,Full-time,NA,"Warsaw, Poland","Join our Technology team to build consumer products and business solutions on top of state of the art language models like OpenAIs GPT-3. From day one, you will take ownership and contribute to key parts of our technology.We live and breathe Machine Learning. We love Python, Linux and Git. We tolerate JavaScript, CSS, even React Native at times.Requirements:• 1+ years in Software Engineer or ML Engineer roles• deep understanding of Machine Learning theory and practice• technical fluency in English• great communication skillsBonus points for:• Kaggle competitions (walk me through your solution!)• interesting side projects (we will want to ask a lot of questions about them!)• deeply technical interests other than software / Machine Learning• currently live coding projects (we will want to have a look at them before your interview)• teaching us something we didnt know before about our product / industry• ever having written AWK scripts• experience with Django... single-page applications, Nginx, cloud computing, API design• experience deploying apps to the App Store or Google Play• deep understanding of and experience working with GPT-3 and other language models• experience training ML models for time-series data• experience training classification models for extremely imbalanced classes• reading machine learning papers in your spare time (share your favourites!)• telling us about something thats wrong with our product along with a concrete and detailed plan on how you would try to improve it• deep first-principles understanding of some computing process, e.g. what exactly happens when you type a URL and press enter, exactly how blockchain / a neural network / a chess-playing algorithm / Googles Ad bidding / Shazams song search works (we will definitely want you to tell us all about it!)• a story about your ML model that worked great on historical data and failed in production• a story about how you spent hours labelling data by hand for your ML model• a story about how you spent 3 days debugging something and finally found a solution• a story about how you had no idea how your users were using your product until you started measuring it• expertise in middle-out compression"
Machine Learning Engineer,NA,2023-01-30 12:33:33,https://www.google.com/search?q=Machine+Learning+Jobs+Poland&ibp=htl;jobs&sa=X&ved=2ahUKEwiOp7jQhPD8AhU5GTQIHUBmAdYQutcGKAF6BAgREAU#htivrt=jobs&htidocid=GhsPKPIRz44AAAAAAAAAAA%3D%3D&fpstate=tldetail,DLabs.AI,Full-time,NA,"Gdańsk, Poland","ABOUT USDLabs.AI specializes in developing services and products with a need for Data Science, Machine Learning, and AI. We build AI-based solutions as well as web and mobile applications. We focus on creating a clear, intuitive UI and put Data Science at their core. Our team provides advanced solutions for Sales, Marketing, Health, Physical fitness, Education, Nutrition, Psychological Research, and many more.At every point in time, we have a bunch of long-term and short-term projects. Some of them are for external clients, some of them are our internal experiments. The flagship product that we still develop is Suguard  a mobile app offering personalized medical advice to guide diabetes through their daily routine.Were no big corporation which means that every team member has real input in our company growth, the tools we use, and how we work. Your ideas are important to us, and our management is open to new solutions. We want people to work smart, not hard. Not only focused... on results but also the means of getting said results.ABOUT YOU• Degree in Computer Science, Mathematics, Physics or equivalent experience• 2+ years experience in building Machine Learning / Data Science solutions in Python• Strong programming proficiency in Python and ML stack of choice• Experience in using data visualization tools• Good communication skills in EnglishADDITIONAL POINTS FOR• Experience working with at least one of the cloud environments: Google Cloud, AWS, Azure• Experience in at least one deep learning framework: Pytorch, TensorFlow / Keras• MLOps• Research experience in the field of ML• Experience in technical mentoring of junior team members• Previous exposure to business - communicating with stakeholders, gathering requirements for the project, demonstrating project outcomes to clients, supporting decision-making processes in non-tech companies or similar activities.• Developing and deploying machine learning models with the use of cloud services and state-of-art technologies• Strong domain expertise - e.g. previous experience in pharma, fintech, retail, adtech, etc.RESPONSIBILITIES• Design and develop end-to-end, scalable ML solutions for our clients and internal projects• Work in challenging projects often with moderate and high complexity• Dive deep into the research phase if needed - reading publications and fast prototyping• Support and actively shape our technical craftsmanship best practices• Collaborate closely with technical and non-technical stakeholders to propose the best possible solutions in an iterative process• Collaborate with our clients with value first mindset• Help younger ML Engineers and Data Scientists to grow - pair programming, code review, technical sessions, technical presentations• Creating tests and technical documentation• Actively support DLabs.AI brand by creating marketing content and attending events related to AI and hackathonsWE OFFER• The satisfaction of solving real business problems for our clients• Rich experience with the opportunity to taste a variety of short- and mid-length projects• Small teams: 2-5 members• Remote work or in our office in Gdansk"
