Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Data Scientist,2023-01-27,2023-01-30 12:36:14,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=6TSi2x52nccAAAAAAAAAAA%3D%3D&fpstate=tldetail,Deutsche Telekom IT Solutions Slovakia,Full-time,US$129K–US$186K a year,"Košice, Slovakia","Company DescriptionOur brand Deutsche Telekom IT Solutions Slovakia entered the life of Koice region in 2006 under the name of T-Systems Slovakia and ever since has been inextricably linked with the region when became one of the founding members of Koice IT Valley. We have managed to grow from scratch to the second largest employer in the eastern part of the country with more than 3900 employees. Our goal is to proactively find new ways to improve and continuously transform into the type of company providing innovative information and communication technology services.Job DescriptionPurposeData scientist is conducting statistical analyses with support of machine learning techniques, and supports integration of results from analyses into existing solutions and business processes (determination of trends, patterns, prediction models). SummaryIndependently prepare analyses for the decisions regarding the fiber network planning with a view to the market and technology. Use of various... data platforms and sources in the company and application of data analysis methods for decision-making. Presenting the results to stakeholders. Key accountabilitiesAdvanced data analysis method: use of various databases, mastery of relevant query languages, especially SQLIndependent development of analysis models; programming skills in programming languages relevant to data analysis (Python, Pandas, R, Java, JavaScript, etc.)Creating visualizations/dashboards in Power-BI and MicroStrategy with regards to current data sets.Create and present decision templates based on analyzed data to managementKnowledge of agile and classic project management methods Important noticeDue to legal regulations a successful candidate must perform the work (even if remotely) from the area of Slovak Republic. QualificationsExperienceICT Data Analysis - 2 yearsIT Technical SkillsDesign of Data Models - AdvancedData Analytics - visualization - AdvancedLogical Data Modeling - AdvancedProgramming, scripting - AdvancedStatistical Analysis and Measurement - AdvancedSoft skillsAnalytical thinkingCross-functional CollaborationStrategic ThinkingAbility to InnovateLanguagesEnglish - Upper intermediate (B2)Additional InformationBenefitsWe believe in balance between work and personal life. An attractive and extensive work-life balance portfolio guarantees lasting motivation for employees and thus a better quality of life, promotes physical and mental well-being and contributes to a positive work environment. All this with the aim of providing more freedom in reconciling work, career growth, private life and individual lifestyle. Therefore we offer to our employees over 25 different benefits to improve their personal and professional life in these areas:Financial benefitsBenefits with focus on learning and developmentBenefits with focus on health and sportBenefits with focus on family and work  life balanceOther benefitsFor more information about our benefits click to BenefitsSalaryFinal salary is negotiable.We are offering base salary depending on seniority level and previous experience of candidate. In addition to base salary we provide variable part and other financial benefits. Base salary will not be lower than 2000  /brutto.Additional information* Please be informed that our remote working possibility is only available within Slovakia due to European taxation regulation"
Data Scientist,NA,2023-01-30 12:36:14,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=FhFg8QNBhZYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Deutsche Telekom IT Solutions Slovakia,Full-time,NA,"Košice, Slovakia","Company DescriptionOur brand Deutsche Telekom IT Solutions Slovakia entered the life of Koice region in 2006 under the name of T-Systems Slovakia and ever since has been inextricably linked with the region when became one of the founding members of Koice IT Valley. We have managed to grow from scratch to the second largest employer in the eastern part of the country with more than 3900 employees. Our goal is to proactively find new ways to improve and continuously transform into the type of company providing innovative information and communication technology services.Job DescriptionPurposeData scientist is conducting statistical analyses with support of machine learning techniques, and supports integration of results from analyses into existing solutions and business processes (determination of trends, patterns, prediction models).Key accountabilities• Analyses and evaluates company-wide, complex databases using advanced analytics methods on modern data platforms.• Data... modelling/structuring: specifications for provision and determination of data for logical data models and structures.• Conducts statistical analyses and uses machine learning techniques for integrating results from analyses into existing solutions and business processes (determination of trends, patterns, prediction models).• Creates cost cases, technological and economic evaluations.• Data transformation: handling of data enhancement, merging and expansion, filtering and consolidation.• Together with IT, development of evaluation and control tools for different data sources for provision of required records.• Prepares and presents decision templates and recommendations for action.QualificationsEducation• Information technologies  Masters degreeExperience• ICT Analysis, Architecture & Design - 4 yearsIT Technical Skills• Design of Data Models - Advanced• Data Analytics - visualization - Advanced• Logical Data Modeling - Advanced• Programming, scripting - Advanced• Statistical Analysis and Measurement - AdvancedSoft skills• Analytical thinking• Crossfunctional Collaboration• Strategic Thinking• Ability to InnovateLanguages• English - Upper intermediate (B2)Other skills• Intermediate python scripting skills, creating REST APIs, communicating with DBs, working in a linux environment• Intermediate skills with data manipulation, preprocessing and crawling using Pandas.• Experience creating ML models with TensorFlow (computer vision, NLP, etc.)• Basic knowledge about most common AWS services (EC2, S3)• Experience with basic DevOps tasks (building CI/CD pipelines for docker image building, deploying containers to AWS)• Experience using a version control system (GitLab)Additional InformationBenefitsWe believe in balance between work and personal life. An attractive and extensive work-life balance portfolio guarantees lasting motivation for employees and thus a better quality of life, promotes physical and mental well-being and contributes to a positive work environment. All this with the aim of providing more freedom in reconciling work, career growth, private life and individual lifestyle. Therefore we offer to our employees over 25 different benefits to improve their personal and professional life in these areas:• Financial benefits• Benefits with focus on learning and development• Benefits with focus on health and sport• Benefits with focus on family and work  life balance• Other benefitsFor more information about our benefits click to BenefitsSalaryFinal salary is negotiable.We are offering base salary depending on seniority level and previous experience of candidate. In addition to base salary we provide variable part and other financial benefits. Base salary will not be lower than 2000  /brutto"
Senior Data Engineer - Machine Learning,NA,2023-01-30 12:36:14,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=jmFnuP7s-RYAAAAAAAAAAA%3D%3D&fpstate=tldetail,IQVIA,Full-time,NA,"Bratislava, Slovakia","Senior Data EngineerWe are looking for an innovative, collaborative, intellectually curious and entrepreneurial Senior Data Scientist to join our Enterprise Data and Analytics team. This is an exciting opportunity to join a newly created fast-moving start-up style group within one of the world's leading human data science companies. The primary focus of the role is to develop advanced analytics on highly complex, large-scale internal company data to identify potential efficiencies and improvements.A typical day might include• Working with the team and client to develop reporting and analytical needs• Addressing those requirements by developing and applying appropriate processes and methodologies• Communicating technical concepts and analytical outputs to a diverse set of stakeholders• Proactively identifying opportunities for innovation and areas for improvement across the companyResponsibilities:• Gathering, cleaning, and processing data• Developing tools and processes to... monitor and analyse data accuracy• Collaborating with organizational leaders to identify informational needs• Analysing data sets to spot trends and patterns that can be translated into actionable insights• Presenting findings in an easy-to-understand way to inform data-driven decisions• Designing descriptive, diagnostic, predictive and prescriptive models, and machine learning algorithms to mine big data setsQualifications• Bachelor's Degree Computer Science or related discipline, or knowledge acquired through equivalent experience required• Advanced working knowledge of SQL required, Python requirement, Alteryx is advantage• Machine learning, data modelling experience• Advanced statistic, predictive analytics• Experience supporting and working with cross-functional teams in a dynamic environment• Strong written and verbal communication skillsWhy JoinThose who join us become part of a recognized global leader still willing to challenge the status quo to improve patient care. At IQVIA, you will have access to the most cutting-edge technology, the largest data sets, the best analytics tools and, in our opinion, some of the finest minds in the Healthcare industry.We thank all applicants for their interest; however, only those selected for an interview will be contactedIQVIA is a strong advocate of diversity and inclusion in the workplace. We believe that a work environment that embraces diversity will give us a competitive advantage in the global marketplace and enhance our success. We believe that an inclusive and respectful workplace culture fosters a sense of belonging among our employees, builds a stronger team, and allows individual employees the opportunity to maximize their personal potential.IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible  to help our customers create a healthier world. Learn more at https://jobs.iqvia.com"
DevOps Engineer for Machine Learning Platform,2023-01-19,2023-01-30 12:36:15,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=XeLm_4VRqmcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siemens,Full-time,NA,"Bratislava, Slovakia","The AI Service is a central service within Siemens Healthineers that provides a platform for data scientists for the implementation of machine learning related use cases.In the course of digitalization and automation, the need for the configuration of automation mechanisms emerges. By using Continuous Integration and Deployment (CI/CD), the AI Service wants to achieve an increase in homogeneity and security within its processes. The configuration and maintenance of digitalized processes and securing them via monitoring solutions will be main subject to your tasks.Your tasks and responsibilities:• You will implement Continuous Integration/Deployment pipelines in Azure DevOps• You will setup and configure infrastructural resources in Microsoft Azure• You will be responsible for setting up a monitoring system related to Virtual Machines, Azure DevOps and Azure Databricks• You will be working on daily operational topics related to the Machine Learning Platform• You will be... responsible for the continuous improvement of the Machine Learning Platform• You will support in and realize Machine Learning ProjectsYour qualifications and experience:• You are familiar with modern software development concepts (Continuous Integration and Deployment)• You have experience in usage and configuration of cloud technologies on application and infrastructural level• You are familiar with Azure DevOps or similar Code versioning management platforms (git)• You may have experience in one or more of the following areas:• The configuration or usage of Databricks• Data extraction from various data sources (like Snowflake, MS SQL, MySQL, M365)• Identity and access management (e.g., Role Based Access Control)• Working with Microsoft Power Platform tools like PowerApps or Power Automate• Data Visualization tools (e.g., Power BI or Qlik Sense)• Implementation in PythonYour attributes and skills:• Technical knowledge and communication skills• You work autonomously, reliably and liaise with our team members to understand the requirements and demands to be implemented• You have analytical capabilities for solving problems• You are confident in speaking fluent English• It is a plus to have first experiences with agile way of working (e.g., SCRUM)What do we offer:• Variable and Christmas bonus• Hybrid type of work  combination of telework and work from office• Flexible Working Hours• Bridge days  free extra paid leave 6 days per year• 3 sick days per year (no doctors permit needed)• In case of sickness 100% salary reimbursement 20 days/ year, this includes max. 10 days/ year for of family care• Additional pension plan• 300 EUR for regeneration of work force via cafeteria system• Wellbeing program  Psychological, Legal and Financial Councelling• Family care program (subsidy for newborns, maternity leave, kindergardens, summer camps)• Retention program (work anniversary, life anniversary, employee loans)• Training and development program (business and product trainings, e-learning, language courses, soft skills trainings,)• Adjustable standing desk as a standard• Participation on world famous IT conferences like Microsoft IGNITE for best employees• Wide project portfolio in healthcare domain and job rotation within company (Cybersecurity, Artificial Intelligence, Healthcare IT services, )Basic wage component (gross) and other rewards : starting from 3000EUR brutto /month + VAR*• We are required by law to disclose basic wage component 3000 EUR for the advertised positions. We carefully consider your professional qualifications and experience in our compensation package and/or when offering you other positions.Our goal is to pay our employee's fairly, with regard to the market situation and we are ready to welcome high-quality candidates in our team.Organization: Information TechnologyCompany: Siemens Healthcare s.r.o.Experience Level: Experienced ProfessionalFull / Part time: Full-time"
Data Engineer,NA,2023-01-30 12:36:15,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=qob6bwcGWI4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Deutsche Telekom IT Solutions Slovakia,Full-time,"US$45,391–US$112,000 a year",Slovakia,"Company DescriptionOur brand Deutsche Telekom IT Solutions Slovakia entered the life of Koice region in 2006 under the name of T-Systems Slovakia and ever since has been inextricably linked with the region when became one of the founding members of Koice IT Valley. We have managed to grow from scratch to the second largest employer in the eastern part of the country with more than 3900 employees. Our goal is to proactively find new ways to improve and continuously transform into the type of company providing innovative information and communication technology services.Job DescriptionPurposeThe data engineer develops, constructs, tests and maintains architectures, such as databases and large-scale processing systems, and ensures that architecture fully supports requirements of the business.Key accountabilitiesAnalyses complex data elements and systems, data flow, dependencies, and relationships in order to contribute to conceptual physical and logical data models.Designs, builds... implements and maintain of the database structures to support business needs including integration of vendor database solutions into data environment.Contributes to the development of the capacity planning function to properly identify needed hardware, software, database configuration / architecture to support application / business needs.Manages the life cycle of multiple database tools by enabling smooth upgrades and/or installation and support of new capabilities.Data munging, manipulation, cleansing and blending from multiple data sources and exposure to various data types and storage paradigms.Works with data to solve business problems and will build and maintain the infrastructure to answer questions with data.QualificationsEducationInformation technologies  Bachelors degreeExperienceICT Analysis, Architecture & Design - 3 yearsIT Technical SkillsCloud solutions (Azure, or AWS, GPC) in range of data processing - IntermediateData Analytics  visualization - IntermediateBig Data Solutions - AdvancedData processing methods (Kafka, Spark) - AdvancedData streaming, Data warehousing - AdvancedSQL and NoSQL Databases - IntermediateProgramming, scripting - IntermediateSoft skillsAnalytical ThinkingCrossfunctional CollaborationStrategic ThinkingAbility to InnovateLanguagesEnglish - Upper intermediate (B2)German advantage - Intermediate (B1)Possible specialisation (optional for recruitment reasons)Experience with usage of ML tools e.g. Tensorflow, PytorchKnowledge of programing languages used in the field of ML (e.g. Python, R)Knowledge of distributed filesystemsAdditional InformationBenefitsWe believe in balance between work and personal life. An attractive and extensive work-life balance portfolio guarantees lasting motivation for employees and thus a better quality of life, promotes physical and mental well-being and contributes to a positive work environment. All this with the aim of providing more freedom in reconciling work, career growth, private life and individual lifestyle. Therefore we offer to our employees over 25 different benefits to improve their personal and professional life in these areas:Financial benefitsBenefits with focus on learning and developmentBenefits with focus on health and sportBenefits with focus on family and work  life balanceOther benefitsFor more information about our benefits click to BenefitsSalaryFinal salary is negotiable.We are offering base salary depending on seniority level and previous experience of candidate. In addition to base salary we provide variable part and other financial benefits. Base salary will not be lower than 1 300  /brutto.Additional information* Please be informed that our remote working possibility is only available within Slovakia due to European taxation regulation"
Azure Machine Learning developer (Permanent Home Office Possible),2023-01-28,2023-01-30 12:36:16,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=FTMnOp2-QnkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Accenture na Slovensku,Full-time,NA,"Bratislava, Slovakia","If you are an AI enthusiast with experience and skills in working with Natural Language processing, speech or image recognition, and you want to extend your AI expertise in the Machine learning based on the Azure platform, we invite you to join the fast-growing Accenture Business Applications practice in Europe location to work as part of a worldwide team of experts.Technologies you might work with:• Python• PyTorch , Keras , Tensorflow, SciKit Learn• Microsoft Azure (Azure Cognitive Services , Azure Machine Learning, Microsoft Bot Framework),• ALM Azure DevOps tooling, Container technology tools (e.g.: Docker, Kubernetes)What You Will Do• Continuous development of our clients machine learning platform and products based on mainly Azure• Identifying, creating and preparing data required for machine learning algorithms• Building virtual assistants, recommendation engines and different tasks using computer vision based on client requirements• Deploying and maintaining... machine learning solutions in production• Using Agile/SCRUM methodology• Depending on your experience you might work on custom machine learning solution architecture, design, definition and implementation, with testing onWhat We Expect• Advanced experience with building applications in one of the major languages, preferably Python (alternative R)• Experience with Python scientific computing libraries• Real life experience in NLP (Natural Language processing) and Computer vision (object detection, classification)• Familiar with machine learning libraries like Tensorflow, Keras, PyTorch and similar• Advantage / Nice-to-have• Experience with Azure cloud technologies• Azure Machine Learning• MS Bot Framework• Experience with other machine learning algorithms• Familiar with DevOps approach and methodologyWhat We OfferAccenture offers a competitive compensation package. As required by the Slovak law we hereby state, that the legal monthly minimum gross base pay starting from 1 800  to 4 300  depending on your professional and personal qualifications in the required areas.Recognition:• Guaranteed paid overtime or overtime vacation• German language bonus up to 400 monthly/gross depending on language proficiency and level of seniority• Flexible Benefit System - budget to be spent on services of your choice• Competitive bonus structure• Refer-a-Friend  get a bonus in the employee referral program• Loyalty rewards Flexibility:• Flexible working arrangements (time & place of work) Future:• Wide range of trainings and expert lectures• Regular performance review and career growth possibilities• Ongoing career guidance and mentoring (Global Mentoring Program, Lean In)• Employee share purchase plan Family & Health:• 3 extra days off• Sick leave salary compensation (up to 100%)• Home-office equipment• Family oriented benefits (Wedding, Parental and Baby days-off and bonuses)• Employee assistance services (professional psychological, financial and legal help)• Multisport card"
Azure Machine Learning developer (Permanent Home Office Possible),NA,2023-01-30 12:36:16,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=3VM1QbEU2kMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Accenture,Full-time,NA,"Bratislava, Slovakia","If you are an AI enthusiast with experience and skills in working with Natural Language processing, speech or image recognition, and you want to extend your AI expertise in the Machine learning based on the Azure platform, we invite you to join the fast-growing Accenture Business Applications practice in Europe location to work as part of a worldwide team of experts.Technologies you might work with:• Python• PyTorch , Keras , Tensorflow, SciKit Learn• Microsoft Azure (Azure Cognitive Services , Azure Machine Learning, Microsoft Bot Framework),• ALM Azure DevOps tooling, Container technology tools (e.g.: Docker, Kubernetes)WHAT YOU WILL DO• Continuous development of our clients machine learning platform and products based on mainly Azure• Identifying, creating and preparing data required for machine learning algorithms• Building virtual assistants, recommendation engines and different tasks using computer vision based on client requirements• Deploying and maintaining... machine learning solutions in production• Using Agile/SCRUM methodology• Depending on your experience you might work on custom machine learning solution architecture, design, definition and implementation, with testing on"
"Senior ML/AI engineer (biometrics, computer vision)",2023-01-24,2023-01-30 12:36:16,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=cyTz6BJPsqgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Innovatrics,Full-time,NA,"Bratislava, Slovakia","Job DescriptionWere looking for a person with a track record of delivering ML models for our DOT ML team in Bratislava. Join Innovatrics experts in AI, machine learning and computer vision, whose algorithms power biometric solutions in 80 countries. The team members are enabling remote onboarding with their algorithms.If you are a lifelong learner, you enjoy constant challenges and like staying on the cutting edge of the current developments in computer vision, let us know! Your ideas will be applied to some of the most advanced biometric solutions used by the largest companies as well as governments.ResponsibilitiesResponsibilities:• Analyzing, selecting and combining of AI solutions (scientific papers / OS SWs) for target problem• Creating proof of concepts with selected ML algorithms / NNs to target problem• Training and tuning of selected ML/NN solver for target problem• Integrating models/algorithms into the product (SDK). Some models for use in embedded devices... require creation of inference model for them in C/C++• Creating and augmenting of image datasets• Designing and implementing of evaluation and ML workflowsCandidate requirements• University education in the field of computer science (information technology) is a big plus• Orientation and experience in the field of artificial intelligence and machine learning• Experience with computer vision is a big plus• Experience with designing algorithms and creating mathematical models• Ability to identify algorithms applicable in a technologically specific industry• Ability to quickly develop and evaluate a prototype solution• Experience with programming in Python and any ML framework (PyTorch, scikit-learn, Tensorflow, Caffe)• Familiarity with C/C++• Familiarity with Linux• Familiarity with profiling and memory usage debugging• Other tech stack which is a big plus: bash, Gitlab CI/CD, Conan C/C++, CMake, Agile, JIRAAbout DOTDigital Onboarding Toolkit (DOT) is a full technology stack for developing remote identity verification applications. Consisting of mobile and server components, DOT can authenticate and extract data from identity documents and verify identity of an individual using industry leading facial biometrics and liveness check. DOT helps organizations and their users create instant trust with each other.Are you interested in this positionSend us your CV. We are looking for the best of the best.I want to send a CVKnee-deep in somethingLet's touch base when you're free. Just leave us your contact details.Apply later"
Data Scientist,2023-01-28,2023-01-30 12:36:17,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=4EDrFfkyIL4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Zürich Versicherungs Aktiengesellschaft,Full-time,NA,"Bratislava, Slovakia","Our opportunityData Scientist (also for fresh graduates with at least 1 year of part-time experience)We have data.We have cutting-edge technology and analytics tools.We need an enthusiastic individual to deal with business challenges and make a difference.We need an extra pair of hands and creative mind in our young dynamic team.Interested Give it a try. We need youYour roleAs a Data Scientist, your main tasks will involve:• Understand business problems and apply analytical approaches to solve them• Generate proofs of concept from data that help deliver improved business results• Explore data sets (internal and external, structured as well as unstructured) needed to test hypotheses• Develop machine learning models and other analytical solutions leveraging NLP, or deep learning to identify patterns; and implement them• Monitor performance of models in production and help assess their business impact by developing monitoring appsYour Skills and ExperienceAs a... Data Scientist, your skills and experience will ideally include:• University education (Master's degree)• 1+ years of experience in Data Science or similar area• Experience with programming and data tools such as Python, SQL or Spark• Passion working with big data and developing insights for use in business decisions• Strong problem-solving skills and analytical thinking• Strong verbal and written communication skills, especially the ability to translate technical results for business audiences• English - B2 or betterWe offerApart from minimal monthly salary offer starting from 1800EUR/gross and a yearly bonus we offer benefits package which includes:Working time benefitsPersonal days off, Concentrated work week, Additional vacation, Home office, Extra days off at occasion of childbirth, Sabbatical leaveMonetary benefitsLife insurance from Zurich Austria, Compensation for salary loss during sick leave, 3rd pension pillar contribution, Risk Life Insurance, Meal contribution on top of the legally required minimum, Years of service bonus, Wedding bonus, Baby bonusOther benefitsEdenred electronic cafeteria, Public Transport contribution, Maternity leave benefits, Company and team events, Free parking at the office building, Massages in the officeLearning/DevelopmentProfessional Certifications, Online Education Portals, Extensive Onboarding program, Strengths based culture (GALLUP)• Location(s): Bratislava• Remote working: Yes, based on mutual agreement• Schedule: Full-timeAbout usAt our company, we recognize the importance of fostering an open-minded, safe and inclusive environment for everyone. We stand with diversity and respect different backgrounds and lifestyles. That's why we've implemented numerous initiatives to ensure our employees feel comfortable, accepted and respected at all times"
Data Scientist,2023-01-11,2023-01-30 12:36:17,https://www.google.com/search?q=Machine+Learning+Jobs+Slovakia&ibp=htl;jobs&sa=X&ved=2ahUKEwiT04OfhfD8AhVsIzQIHdcBCJcQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=Q_d4Ajn8rCMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Swiss Re,Full-time,NA,"Bratislava, Slovakia","About the TeamThe Data & Analytics team in iptiQ EMEA will ensure that data is treated as an asset across the entire insurance value chain. The team is responsible to manage, process, persist and analyse various business relevant data, offering it further to the other teams/departments. Your role would be focused on the analytical part.About the RoleYou will drive data analytics topic forward with few other colleagues, delivering various use cases in the area of Business Intelligence from requirement collection, development to maintenance of given solutions. On top of that, the team offers an opportunity to learn about ML models and pipelines relevant for pricing, customer retention and many more.Key topics where you can find your place:• Create and maintain reports and dashboards in Tableau on existing data storage solution based on business specifications and need• Work with business units and other members of the technology department to design data solutions that enable... to leverage data insights more efficiently and optimally• Independently analyse operational data in order to provide trends and actionable insights into customer acquisition, operational efficiency and other key business performance metrics• Possibly help to develop and maintain insurance machine learning models for various departments and different needs• Maintain close alignment with the Technology team across iptiQ departments as well as the Swiss Re group functionsAbout YouIn case you have genuine interest in analytics, data visualization and partially software engineering/data processing, with some experience with it, we already encourage you to apply. But in details, we are searching for someone who fulfil most of the following:• 1-3 years of relevant work experience as BI specialist, data analyst, data scientist or similar, but position is suitable for graduate in the given field as well• Degree in Economics/Insurance, Math, Physics, Software Engineering, or similar insurance related or quantitative field• Experience or strong interest in data visualization tools (e.g., Tableau, MS PowerBI, Shiny)• Programming in R and/or Python together with related technology stack s.t. SQL is a plus but not required• Real passion for and knowledge of technology, automation and digitalization• Strong analytical skills related to working with structured and unstructured data sets• Experience of manipulating, processing and extracting information from large disconnected datasets• Intellectual curiosity and aptitude to pick up new technical skills• Ability to engage with a diverse range of stakeholder thanks to your highly collaborative style• Communicate sophisticated concepts in a compelling, concise, and creative way• Highly organized, able to handle multiple tasks efficiently and prioritize work optimally• Proficiency in EnglishThis job offer is suitable for people who have been impacted by the invasion of Ukraine.The minimum gross monthly base salary for this role is 1500 EUR full time. Our final offer to you will be set up fairly, considering the skills and experience that you bring to the Swiss Re Group. You can look forward to extra rewards and benefits including an attractive performance-based bonus.We are an equal opportunity employer, and we value diversity at our company. Our aim is to live visible and invisible diversity  diversity of age, race, ethnicity, nationality, gender, gender identity, sexual orientation, religious beliefs, physical abilities, personalities and experiences  at all levels and in all functions and regions. We also collaborate in a flexible working environment, providing you with a compelling degree of autonomy to decide how, when and where to carry out your tasks.We provide feedback to all candidates via email. If you have not heard back from us, please check your spam folder.#LI-HybridAbout iptiQThis is a unique opportunity to join a new business unit of iptiQ within an established company of Swiss Re. iptiQ is established to deliver white-label life insurance solutions to be sold through partners, directly to consumers. We are a young, motivated and technology driven team, organised to provide creative solutions for life insurance distributors across Europe that engage with consumers in non-traditional ways.Through our strong operational infrastructure, innovative thinking, insurance know-how and ecommerce competences we want to drive the digitalization of the life insurance business in Europe.Keywords:Reference Code: 121981"
