Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-13,2023-01-15 11:02:04,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=LQLthVmKtHsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Derivco,Full-time,NA,"Cape Town, South Africa","Job Description SummaryAnalyse, design and produce quality machine learning solutions and documentation under minimal supervision as per agreed specification by adhering to and improving the defined team standards and best practices while actively engaging with the team."
Machine Learning Engineer,2023-01-15,2023-01-15 11:02:05,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=lIJL_4NWmcoAAAAAAAAAAA%3D%3D&fpstate=tldetail,InstaDeep,Full-time,NA,"Cape Town, South Africa","Founded in 2014, InstaDeep is today an EMEA leader in decision-making AI products for the Enterprise, with headquarters in London, and offices in Paris, Berlin, Tunis, Lagos, Dubai, Cape Town and the USA. InstaDeep has been named among the Top 100 global AI startups for three consecutive years by CB Insights, as well as one of the 100 most promising B2B companies in Europe, by Sifted. We have created an environment that ensures a challenge by working closely with a broad spectrum of high-quality clients, pushing you to thrive in an environment thats rarely tedious and always looking to push you to come up with outside-the-box solutions using cutting-edge technologies. In our mission to stay ahead of the curve, we are proud to partner with firms such as BioNTech SE, Google DeepMind, NVIDIA and Intel, and world-class universities such as MIT, Oxford, UCL, and Imperial College London. We are also an NVIDIA Elite Service Delivery Partner and Google Cloud Partner.Are you a Machine... Learning Engineer At InstaDeep, the focus of a Research Engineer (RE) is on implementing the most innovative AI or cognitive computing technologies in order to solve identified business problems and help in the execution of technologies for commercial deployment. The REs goal is to develop and implement state-of-the-art algorithms while building simple and sustainable software solutions. Among the tasks they are responsible for are: working on novel research ideas, developing prototype applications, providing software design and implementing software libraries. In this role at InstaDeep, you will report to a Senior Research Engineer.If so then keep reading.As a Machine Learning Engineer, youll be a part of the Engineering department,The Machine Learning Engineer must accomplish the following:• Develop novel algorithms and research ideas in machine learning.• Write software to connect the algorithms to the real world.• Investigate and analyse why a model makes the predictions that it does.• Collaborate with different teams and stakeholders, both internal and external to the company.• Report and present experimental results and research findings clearly and efficiently, both internally and externally, orally and in writing in English.Requirements:• B.S./M.S./Ph.D. degree in Computer Science, Operational Research, Machine Learning, or related field.• Experience in developing and debugging in C/C++ and/or Python or similar languages.• Experience using deep learning frameworks such as PyTorch, Tensorflow, Jax, and/or Keras.• Proficiency with Git workflow, and development with best coding practices.• Research and software engineering experience demonstrated via an internship, contributions to open source, work experience, or coding competitions.• By applying you confirm you can demonstrate that you have the right to work in South Africa.Nice to haves:• Experience in performing innovative research in applied machine learning and artificial intelligence.• Experience in Explainable AI (XAI).• Experience with Machine Learning tools for geospatial analysis.Our Diversity, Equity, and Inclusion commitmentsWe empower individuals to celebrate their uniqueness here at InstaDeep. Our team comes from all walks of life, and were proud to continue encouraging and supporting applicants from underrepresented groups across the globe. Our commitment to creating an authentic environment comes from our ability to learn and grow from our diversity, and how better to experience this by other than by joining our teamAt present we operate in a hybrid way allowing work from home or work from the office as per each individuals preferences. We are continuing to review the situation with the well-being of InstaDeepers at the forefront of our minds.Right to work: Please note you will require the legal right to work in the location you are applying for.Any further questions please do not hesitate to contact us at: talentinstadeep.com"
Machine Learning Advocate Engineer - Africa Remote,NA,2023-01-15 11:02:05,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=bB-3lTpsOZMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hugging Face,Full-time,NA,South Africa,"Here at Hugging Face, were on a journey to advance good Machine Learning and make it more accessible. Along the way, we contribute to the development of technology for the better.We have built the fastest-growing, open-source, library of pre-trained models in the world. With over 100M+ installs and 65K+ stars on GitHub, over 10 thousand companies are using HF technology in production, including leading AI organizations such as Google, Elastic, Salesforce, Algolia, and Grammarly.About the RoleAs a Machine Learning Advocate Engineer for Africa, you will have a key role in driving the adoption of the Hub platform and Open Source technologies by creating, fostering and growing communities, extending the use cases of the Hub, developing tools to improve the developer experience, and bringing feedback to the team. Youll collaborate extremely closely with both the Open Source, Science and Product teams.This is not a marketing position! Developer Advocacy at Hugging Face is deeply... technical and having a generalist mindset is essential. Our team contributes to libraries such as Transformers and Datasets, as well as external libraries, and being able to technically collaborate with the rest of the team is essential.We value that each team member works on impactful projects that are interesting to them. As such, youll have a key part in defining your role and day-to-day activities. Depending on your interests, you could work on developing tools to expand the Hub to new domains such as Reinforcement Learning or Computer Vision in a week and craft blog posts, videos, talks and demos the next one.About youYou'll love working here if you enjoy both developing your Machine Learning skills and amplifying your impact by engaging with the ecosystem. If you can spend Monday coding, Tuesday designing a workshop, Wednesday writing a blog post and Thursday crafting ML memes, this job opening is for you!We are growing a team with diverse backgrounds and skills, and hence being proficient in other human languages and having deep connections with your local ecosystem is a strong bonus. Having experience in Open Source development is a huge bonus. Existing engagement in different platforms (GitHub, LinkedIn, Twitter, TikTok, Reddit, etc) is also a bonus but not required.If you're interested in joining us, but don't tick every box above, we still encourage you to apply! We're building a diverse team whose skills, experiences, and backgrounds complement one another. We're happy to consider where you might be able to make the biggest impact.More about Hugging FaceWe are actively working to build a culture that values diversity, equity, and inclusivity. We are intentionally building a workplace where people feel respected and supportedregardless of who you are or where you come from. We believe this is foundational to building a great company and community. Hugging Face is an equal opportunity employer and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.We value development. You will work with some of the smartest people in our industry. We are an organization that has a bias for impact and is always challenging ourselves to continuously grow. We provide all employees with reimbursement for relevant conferences, training, and education.We care about your well-being. We offer flexible working hours and remote options. We offer health, dental, and vision benefits for employees and their dependents. We also offer parental leave and unlimited paid time off.We support our employees wherever they are. While we have office spaces in NYC and Paris, were very distributed and all remote employees have the opportunity to visit our offices. If needed, well also outfit your workstation to ensure you succeed.We want our teammates to be shareholders. All employees have company equity as part of their compensation package. If we succeed in becoming a category-defining platform in machine learning and artificial intelligence, everyone enjoys the upside.We support the community. We believe major scientific advancements are the result of collaboration across the field. Join a community supporting the ML/AI community"
Machine Learning Engineer,2022-12-31,2023-01-15 11:02:06,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=ufSUKZB35mMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Flash Group,Full-time,NA,"Cape Town, South Africa","Responsibilities:• Contribute to the Data Science and AI strategy, particularly the strategy for operationalizing machine learning models• Design and build automated, scalable and reliable Machine Learning CI/CD pipelines, including automatic re-training, re-testing and re-deploying• Manage and monitor productionized machine learning models• Enhance data collection procedures to include information that is relevant for building analytic systems• Assist in the integration and development of an external analytics system, which involves various data processing and data science technologies• Enable smarter processes and implement analytics for meaningful insights• Keep current with technical and industry developments• Communicate findings to all stakeholdersMinimum Requirements:• B. Sc or B. Com in Physics, Computer Science, Applied Mathematics, Statistics, Data Science, Software Engineering or similar• 5+ years of relevant professional experience, preferably in the fintech... industryKnowledge / Skills:• Strong analytical and problem-solving skills• Expert in Python and SQL• Experience with the modern software development best practices, e.g.• agile software development• code reviews• unit testing• version control, e.g. git• CI/CD• Experience with microservice architectures• Experience working in an agile team• Experience with ML frameworks and tools (e.g. pandas, numpy, scikit-learn, TensorFlow, Pytorch, Spark MLlib)• Experience with cloud-based services such as Azure, AWS, etc• Experience with modern ETL, compute and orchestration frameworks, e.g. Apache Spark, Apache Flink, Apache Kafka, etc.• Experience with container technologies, e.g. Docker, Kubernetes• Experience in building machine learning or AI systems• Experience deploying models to production• Experience working with ML platforms, e.g. MLflow, Kubeflow, etc.• Experience with cloud-based infrastructure, e.g. Azure, AWS, GCP; ideally AWS• Experience with robotic automation of processes within the Financial Services industryAttributes:• Self-motivated and assertive• Strong analytical ability• Strong verbal and written communication/ presentation skills;• Team player and ability to operate independently• Good interpersonal skills• Trustworthy• Ability to prioritise• Ability to work in a pressured environment• Deadline driven#ZB"
"Engineer, Machine Learning",2023-01-13,2023-01-15 11:02:07,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=4vW1lhPuW7YAAAAAAAAAAA%3D%3D&fpstate=tldetail,Standard Bank Of South Africa Limited,Full-time,NA,"Johannesburg, South Africa","Location:ZA, GP, Johannesburg, Simmonds Street 5 To work with business stakeholders to identify and deliver on new AI initiatives.To apply deep domain expertise to shape/influence the AI-thinking in the organisation through thought leadership; enabling the successful adoption and acceleration of AI and ML across Standard Bank Group (SBG), ensuring the needs of stakeholders are correctly understood and addressed.Utilise technical knowledge of, and experience in, the following to address AI and ML solution requirements - ML Concepts; Software Engineering Discipline (e.g. Source Control, CI/CD); major ML frameworks (Tensorflow, PyTorch, scikit-learn); Big Data Processing Libraries (e.g.Spark, Dask); structured and unstructured data; building end-to-end solutions on Cloud (AWS, Azure); working with and tuning pre-built AI Services in Cloud; Data Visualisation software (Qlik, Power BI, Tableau, etc.).Qualifications Experience5-7 years Experience in the Artificial Intelligence and... Machine Learning area"
Machine Learning Engineer,NA,2023-01-15 11:02:07,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=ZD_ycI0-sW0AAAAAAAAAAA%3D%3D&fpstate=tldetail,GoldmanTech (Stand-Out Staffing),Full-time,NA,"Cape Town, South Africa","Job DescriptionWe have an amazing opportunity for a Machine Learning Engineer in Cape Town!We Require a Candidate With Experience In• Retail• Credit Risk• Python• Sklearn• Tensorflow• Building AutoML and Feature Store pipelines• Recommender SystemsShould you meet the requirements for this position, please email your CV to it.careersgoldmantech.co.za. You can also contact Paige on 031 350 4019 or alternatively you can visit our website www.goldmantech.co.zaShould you not hear from us within 3 days, please consider your application unsuccessful."
Machine Learning Team Lead,NA,2023-01-15 11:02:08,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=9UHQhCl3FWQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Networkers,Full-time,ZAR 1–ZAR 2 a year,"Cape Town, South Africa","Machine Learning, AI, Big Data, Software Engineering Manager"
Data Scientist R1.per Annum,2023-01-13,2023-01-15 11:02:08,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=zP00rJRkTrkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Executive Placements,Full-time,NA,"Johannesburg, South Africa","Position: Data Scientist Up to R1.4m per AnnumJOB SUMMARY:Data Scientist  Johannesburg  Up to R1.4m per AnnumJOB DESCRIPTION:This leading financial institution is notorious for being the market leader in the Data Science space and is extremely active in adopting machine learning and AI to combat its business challenges. As they continue to innovate in the Data Science space, they are now in need of a new Data Scientist to aid them in their goal to create world-class data solutions for their business.If you are a highly skilled Data Scientist and you fit the skills and experience below, APPLY NOW! Got The Experience Data Science role (3-5 years)Experience with Machine Learning and algorithms Got The Skills SQLPythonBig Data toolsMachine learning tools The Reference tion is BRM56299 which is a Permanent position based in Johannesburg offering a cost-to-company salary of R1.4m negotiable on experience and ability."
Machine Learning Engineer - 6 Month FTC,2023-01-11,2023-01-15 11:02:09,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=OPALW4_vLnoAAAAAAAAAAA%3D%3D&fpstate=tldetail,De Beers Group,Full-time,NA,"Johannesburg, South Africa","Be part of our team. We are shaping the future of a global business with an innovative mindset and a fascinating product.We are the worlds leading diamond company  a unique luxury business that thrives on the creativity, passion, and knowledge of our people.To push our company forwards, we always need to think differently. We welcome diverse perspectives, people who spark fresh thinking and are not afraid to challenge assumptions.In return, we provide you with a stimulating and supportive professional environment to grow and achieve your ambitions.Job DescriptionThe purpose of the Machine Learning Engineer is to develop algorithms and software for computer vision-based diamond identification and classification equipment.Key responsibilities include:• Develop machine learning, computer vision and image processing algorithms for scientific instruments and diamond sorting machines.• System integration and software development of machine learning related software into... scientific instruments, diamond identification and diamond classification equipment.• A key area will include object identification, feature detection and classification from multi-modality 2D imagery.• Develop machine learning, neural networks, classification and pattern matching algorithms and techniques for computer vision-based products.• Work as part of a product development team to ensure relevant product and project requirements are met in accordance with the Ignite Product Development approach and methodology.• Ensure own working environment and practices complies with all legal and De Beers Group policy guidelines in relation to Health, Safety and the environment.Qualifications• Bachelors or Master's degree in Engineering, Science or Mathematics.Role-specific knowledge and experience:• Track record of delivering computer vision projects in a commercial machine learning environment.• Complete life cycle experience from initial specification through research and concept development, design, development, test, integration, system test, commissioning, and production within an agile framework.• Expertise in machine learning development tools and libraries, MATLAB, OpenCV.• Experience implementing algorithms in MatLab, Python or C++.• Experience in imaging detectors such as CCD or CMOS sensors or other related scientific imaging devices.• Experienced at working in an Agile multi-disciplined team- based R&D environment.• Familiar with peer review and presentation of technical work.Who we are:Established in 1888, De Beers Group is the worlds leading diamond company with unrivalled expertise in the exploration, mining, sorting, valuing, selling and marketing of diamonds. Together with our joint venture partners, we operate in more than 20 countries across six continents.We want our diamonds, and our business, to make life brilliant  for our people, our customers and the world around us.We build partnerships and connect with our people and their communities to make a positive contribution to the wider world. Were constantly developing new ways to make an impact and build a beneficial legacy. We call it Building Forever - its fundamental to our pioneering spirit and the purposeful way we do business.SafetySafety first is a way of life for us. We are unconditional about the safety, health, and well-being of our colleagues, at work and at home, and about that of the communities where we work. We aim to lead the industry by investing in innovation to protect people who are at the heart of our business. Our high performing teams take accountability for their own and others' actions, work collaboratively, and always show care and respect.Inclusion & DiversityWe are committed to promoting an inclusive and diverse workplace where we value and respect every colleague for who they are. We provide equality of opportunity to enable everyone to fulfil their potential.Closing date: 15 January 2023"
Machine Learning Engineer,2022-12-30,2023-01-15 11:02:10,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwik4tSalMr8AhVlIzQIHfw7B_kQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=F--OpZQxuNwAAAAAAAAAAA%3D%3D&fpstate=tldetail,ShopriteX,Full-time,NA,South Africa,"Role PurposeThe Machine Learning Engineer I is an emerging specialist professional who will kick start their careers by supporting the ML team to apply computer science (including data structures, algorithms, computability and complexity) statistical modeling, and software engineering in machine learning operations (MLOps) to build cutting edge, end-to-end ML data models. The role supports the development of solutions and design of self-running and automated software and predictive models to enable the Group increase efficiencies, reduce costs, identify opportunities that generate value and drive data as a competitive advantage.Role Description• Participate in stakeholder meetings and work with senior colleagues to analyze business problems, clarify requirements and define the scope of the resolution needed.• Collaborate within a cross-functional team of Data Scientists, Engineers and Analysts in order to understand project goals, and build, implement and scale-up algorithms for... measurable impact.• Display basic understanding of ANN's, CNN's, RNN's, autoencoders, fundamental data science concepts (linear and logistic regression, SVM's, dimensionality reduction), decision trees, gradient boosting, ensemble models, etc. to develop machine learning models.• Work with above architectures within deep learning frameworks such as Keras and TensorFlow.• Demonstrate foundational understanding of relevant applications and/or systems (including, but not limited to, the machine learning algorithms) being created.• Build basic algorithms based on statistical modelling procedures and build and maintain machine learning solutions in production.• Use data modelling and evaluation strategy to find patterns and predict unseen instances.• Train models on large-scale data and fine tune hyper-parameters.• Research appropriate machine learning algorithms and tools and work with senior colleagues to select the correct libraries, programming languages and frameworks for each task.• Apply understanding of theoretical frameworks in computer science fundamentals, including data structures, algorithms, computability, complexity and computer architecture.• Keep abreast of technological developments in the field, and integrate the latest data technologies into existing requirements.• Follow best practices and standards of machine learning operations (MLOps) workflows for data preparation, deployment, monitoring and retraining to enable agile application methods to projects, and support machine learning models and data sets within a CI/CD process.Qualifications And Experience• Bachelor's Degree in Data Science, Computer Science, Mathematics, Statistics, Information Technology, Information Systems or a related field  (essential).• +1 years' experience working with machine learning frameworks, models or systems with strong mathematical and statistical experience skills - (beneficial).• Exposure to common machine learning, data, math and visualization libraries (i.e. Pandas, pyTorch, SciPy, NumPy, Scikit-Learn etc.) - (essential).• Exposure to developing Machine Learning & NLP solutions over opensource platforms such as (TensorFlow, SparkML, OpenCV, pyTorch, etc.) - (essential).• Exposure to different coding environments (local, notebooks, containers) and software engineering workflows (testing, code management/Git) - (essential).• Proficiency in MS Office 365 with well-developed Excel skills  (essential).• Understanding of relational databases as SQL, MySQL, etc. - (essential).• Familiarity with a cloud environment (AWS, Azure, GCP) and containerized environment (Mesos, Kubernetes, Docker) and CI/CD (Jenkins, AWS Code Pipelines) - (desirable).• Experience in a retail, commercial or IT environment  (desirable).Key competencies and work ethic• An emerging programmer with a passion for developing machines and systems and who can learn and apply knowledge with minimal direction.• Analytical thinking skills and highly numerate  Able to collect, organise and assimilate disparate, multiple and complex pieces of data to draw sound conclusions and arrive at optimal solutions.• Technical aptitude with a passion and excitement for data, new technologies and solutions and its range of possibilities, applications and value forthebusiness.• High level of self-motivation and drive to meet and exceed on goals and expectations. Able to work independently and use own initiative to deal with challenges across a range of problem-solving challenges as and when they arise.• Detailed, organised and quality focused  Has an affinity for detail, structure and efficiency, balancing planning and execution. Is diligent and vigilantly watches over work processes,tasksand outputs to ensure accuracy while independently actioning and correcting any quality concerns.• Good communication and presentation skills  Ability to communicate effectively both verbally and in writing. Able to explain and simply complex technical concepts and confidently convey information to a variety of stakeholders.• Team player and collaborative partner- Works effectively across functions and as part of a multi-disciplinary team. Is collaborative and able to build sound, professional relationships with internal and external stakeholders.• Ability to work under pressure and under tight time constraints, efficiently prioritising workloads, balancing multiple and competing priorities and managing time effectively in a high-volume, fast-moving environment.• Is curious and open to learning with a strong interest in data, discovery and trying new ideas. Curious about exploring and answering business analytics questions"
