Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-30 12:38:01,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=PgQ5OMKn31oAAAAAAAAAAA%3D%3D&fpstate=tldetail,Viaplay Group,Full-time,NA,"Stockholm, Sweden","At Viaplay Group, we entertain millions of people every day through our streaming services, radio networks, TV channels and production studios. We believe in the power of content not just as a way of telling stories and touching lives, but also expanding worlds.We may have started in the Nordics, but we have a global mindset and consider ourselves to be the international entertainment provider. This means were constantly launching our Viaplay streaming service in new markets and on the lookout for talented, curious, driven professionals to join us on our journey.Right now, were searching for a Machine Learning Engineer to the Applied Machine Learning team in our Stockholm office.The roleAs a ML Engineer you will bring to life recommender systems and other intelligent services that personalize and enhance the experience on our video on demand (VOD) streaming service Viaplay.You will work in an empathic and supportive team with other Data Scientists and Machine Learning... Engineers who share knowledge and experience in researching and developing data products. You love seeing things go into production and love the idea of seeing on-point recommendations produced by algorithms. You enjoy prototyping new data applications and work with teammates to bring projects onto all parts of our streaming service. You believe that maintaining models is a must in the data product development lifecycle.You will be able to use and develop your machine learning and engineering competence on massive amounts of data from Viaplays Data Lake, containing everything from customer and viewing behavior to every detail about our movie, television, and sports content. As a ML Engineer you will play a key role to move data products to production, making it easier for customers to find the content they love and make the streaming service more intelligent. You will also help maintain ML systems so that the personalized experience continues to be personalized.Our technology stack offers great opportunities to showcase and develop your data science skills. You will work on AWS for computation and storage, using Python and Spark to breathe life to cloud-based data products.What were looking forWe understand you may feel confident ticking certain boxes more than others and thats why we always keep an open mind in our recruitment process. But, in order to thrive in this role, we do believe youll have at least some experience in the following:• Strong communicator and listener.• Affinity towards teaming up with other curious minds to tackle mathematical and engineering challenges.• Academic degree in Statistics, Mathematics, Computer Science or equivalent.• Have 2+ years working experience creating production-grade machine learning solutions for product problems.• Solid understanding of various machine learning techniques, both theoretical and practical.• High Competence in Python and SQL, transforming data with Spark is a plus.• Knowledge of containerizing ML models in a cloud environment such as AWS.Our offering• Weve got the basics covered! 30 days of paid vacation every year, flexible work arrangements and extra compensation on top of a parental pay lift.• Your wellbeing matters. We have an attractive pension and insurance scheme with full health care coverage should you need it.• A safe space to grow and up-skill with the freedom to try new things in autonomous teams. Our learning culture puts you in the drivers seat of your own development, while always making sure you feel supported with regular knowledge-sharing sessions, technical training, mentorship opportunities and peer-to-peer networks.• An innovative environment with Hack Days, not once, but twice a year. This week-long initiative allows you to think outside the box and deliver creative, technical solutions that (more often than not) go on to be implemented, either in our product or our ways of working.• A genuinely international and diverse group of colleagues to connect with. Were striving towards a 50:50 gender balance & were not far off plus last time we checked, we have more than 60 different nationalities across our nine offices!• Entertainment is what we love, and entertainment is what we do. So, unlimited access to Viaplay seems only fair for you to get to know the product including live sports & pay per view events, new release movie rentals, linear channels and more.Hit play todayIf this feels like your kind of challenge, make sure you apply by attaching your CV here you may also want to add your LinkedIn profile. Please dont send us your application via email because we wont be able to accept it. We do, however, welcome any questions you may have about this particular position.Want to learn more about who we are and what we do Check out our careers page or follow us on Instagram! Were only ever a few clicks away"
Deep Learning Engineer,NA,2023-01-30 12:38:01,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=-6qz67fLjDwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Teledyne Technologies,Full-time,NA,"Täby, Sweden","Be visionaryAt Teledyne FLIR, we have a simple but ambitious mission: to develop market-leading thermal and sensing technologies which enhance everyday life. From saving energy, to saving lives Teledyne FLIR is making a real difference in our world.Our products are used in a wide array of situations to rescue people in danger, detect criminals, conserve energy, navigate safely, provide security around the globe, and protect our environment.We are looking for individuals who thrive on making an impact and want the excitement of being on a team that wins.Job DescriptionBe VisionaryAt FLIR, we have a simple but ambitious mission: to develop market-leading thermal and sensing technologies that enhance everyday life. From saving energy to saving lives, FLIR is making a real difference in our world.Our products are used in a wide array of situations to rescue people in danger, detect criminals, conserve energy, navigate safely, provide security around the globe, and protect... our environment.We are looking for individuals who thrive on making an impact and want the excitement of being on a team that wins.Job DescriptionFor our I ntelligent T ransportation S ystems (ITS) R&D team in Kortrijk (Belgium) (or Tby  Sweden) we are looking for a creative, passionate and hands-on Senior Machine Learning Engineer with a solid background in AI for object detection & classification solution on the edge. You will be part of a team that is responsible to design and learn convolutional neural networks for visual and infrared sensors for different businesses.Responsibility• Create more efficient object detection and classification models for different businesses• In collaboration with other colleagues, develop and implement advanced algorithms on embedded cameras• Responsible to evaluate the performance of implemented algorithms• Following the state of the art in the field of computer vision• Documenting and share the knowledge along the international AI teamCandidate Profile• You are passionate about Computer Vision, Image Processing , Artificial Intelligence and Machine Learning.• You have a degree (master or PhD) in Computer Science, Applied Mathematics or other related field and/or specific training• Experience with programming in C++ / python is a plus• Experience with object-oriented design methodology and concepts is a plus• Must be a results-oriented professional with solid organizational and time management skillsWhat FLIR offers you• To be a part of a market leader company with a 50 years track record• At FLIR, you get a unique opportunity to experience how cutting edge R&D, software- and hardware development come together under one roof. We do our own research, our own development, and our own manufacturing• Permanent employment• Friendly culture with a focus on collaboration, problem-solving and creativity• Fair compensation structure and benefitsInterestedIf you liked what you just read, and believe you are the person that will make us better, do not hesitate to apply.The selection process is ongoing, so don't wait. When applying, make it easy for yourself. Add a resume and fill out the required fields, no need to add anything else at this point. We accept applications in English.Teledyne FLIR and all of our employees are committed to conducting business with the highest ethical standards. We require all employees to comply with all applicable laws, regulations, rules and regulatory orders. Our reputation for honesty, integrity and high ethics is as important to us as our reputation for making innovative sensing solutions.Teledyne FLIR is an equal opportunity employer.You may not realize it, but Teledyne enables many of the products and services you use every day .Teledyne provides enabling technologies to sense, transmit and analyze information for industrial growth markets, including aerospace and defense, factory automation, air and water quality environmental monitoring, electronics design and development, oceanographic research, energy, medical imaging and pharmaceutical research"
Machine Learning Specialist,NA,2023-01-30 12:38:02,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=Tw_n9KrKPv0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Eviture,Full-time,NA,"Stockholm, Sweden","We are seeking an experienced Machine Learning Specialist with experience of mathematics analysis for our client in Stockholm.Key experience and qualifications required• Strong communicator and listener• Academic degree in Statistics, Mathematics, Computer Science or equivalent• Working experience in creating production-grade machine learning solutions for product problems• Solid understanding of various machine learning techniques, both theoretical and practical• High Competence in Python and SQL, transforming data with Spark is a plus• Knowledge of containerizing ML models in a cloud environment such as AWSLanguageFluent English. Swedish is valuable but not compulsory.Working arrangementsStart ASAP.You must have an existing right to work in Sweden without sponsorship in order to apply."
R&D Data Sciences & AI Graduate Programme - Sweden,NA,2023-01-30 12:38:02,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=s48ox0pL214AAAAAAAAAAA%3D%3D&fpstate=tldetail,50056739 - Scientist,Full-time,NA,"Mölndal, Sweden","R&D Data Sciences & AI Graduate Programme  SwedenLocations: Gothenburg (Sweden)Fuel your curiosity, feel valued and follow the scienceIf you have a quantitative science focused bachelors or masters degree and a desire to explore and develop your skills in data science and artificial intelligence within a global biopharmaceutical organisation, our R&D Data Science & AI Graduate Programme could be the perfect start to your career. Youll gain invaluable insight, exposure and opportunities across our diverse, Research and Development organisation. Well accelerate your learning and help you achieve your potential.About AstraZenecaAstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development and commercialisation of prescription medicines for some of the worlds most serious diseases.Embrace the novel opportunity to work at a business that puts patients first. Working with data and an agile mindset in our... constantly changing business, we help uncover solutions that power the business to better harness the science and get it to market. It means we play our part in reaching patients in need and influencing outcomes.What does the programme involveStarting in September 2023, the programme lasts two years, consisting of three individual eight month placements. Each placement will provide you with fantastic insights and experience in our use of machine learning, AI and data science to advance drug discovery and development.The programmes variety and flexibility provides you with opportunities to apply machine learning, AI, and data science techniques to help push our scientists push the boundaries of science to develop life changing medicines for patients worldwide. You could be contributing to detecting safety risks, designing novel molecules, optimising clinical trial design and processes, or developing new models for use in high profile drug discovery and development projects. As well as helping you broaden your industry and technical knowledge, well help you develop professional skills required to fulfill your career potential.You will gain an invaluable blend of on-the-job experience and training. Youll enjoy guidance and advice from a huge support network, including a mentor and dedicated programme management team. Well also encourage you to identify and build collaborative relationships with specialists and leaders across our organisation, and our external networks including leading academic and biotech research institutions.Together, well help accelerate your development and knowledge!Essential requirements• Highly numerate with a strong quantitative science (e.g. Maths, Physics, Statistics or Computer Science) focused Bachelors or Masters level qualification gained in 2022 or due to be completed by September 2023• Hands-on experience in Data Science, Artificial Intelligence, Machine Learning, Statistics, Computational Biology, Computational Chemistry, Bioinformatics or Cheminformatics• Deep understanding of a few key machine learning or statistical models• Considerable experience in Python or experience with multiple data-centric programming languages enabling Big data analysis• Innovative thinking, with enthusiasm, energy and drive• Open-minded, and ready to embrace new ideas and different perspectives• Strong critical thinking, planning, organisational and time management skills• Ability to work as part of a collaborative team• Able to start employment in September 2023Together, we push the boundaries of science to deliver life-changing medicines to patients around the world!Where can I find out moreEarly careers at AstraZenecaOur Social MediaFollow AstraZeneca on LinkedIn https://www.linkedin.com/company/1603/Follow AstraZeneca on Facebook https://www.facebook.com/astrazenecacareers/Follow AstraZeneca on Instagram https://www.instagram.com/astrazenecacareers/hlenWhat nextAfter you submit your application, you will be asked to complete an online assessment (SHL). If shortlisted, you will then be invited to a full day virtual assessment day.Our virtual assessment days will be held week commencing 17th April 2023Advert Opens 06 December 2022Advert closes 19 February 2023"
Lead Machine Learning Engineer,NA,2023-01-30 12:38:03,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=EUgUEqecXRoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Pagos,Full-time,NA,Sweden,"About UsAt Pagos, were passionate about empowering businesses to take control of their payments stack and solve the puzzles standing between them and optimized growth. Our global platform provides developers, product teams, and payments leaders with both a deeper understanding of their payments data and access to new payments technology through user-friendly tools that are easy to implement. To succeed in this, we need creative thinkers who are willing to roll up their sleeves and start building alongside us.About the RoleIn this role, youll play a key part in building out the core foundation of machine learning at Pagos. We're looking for someone dedicated to continuously learning and staying aligned with developments in machine learning engineering and best practices. You'll have the opportunity to apply emerging innovations and solutions to provide best-in-class solutions to our clients.As the Lead Machine Learning Engineer, you will:• Design, build, and deploy models... that solve complex business problems• Partner with engineers and product leaders across Pagos to build products that delight our customers• Create ML models for real time solutions that allow companies to incorporate data-driven decisions into the payment stack to save money and grow revenue - including anomaly detection, recommendation, and prediction use casesWhat Were Looking ForWere looking for someone with:• 7+ years of professional experience as a Machine Learning Engineer and/or Data Scientist• Strong experience with data analysis, feature exploration, ETL, and visualization• Highly proficient with SQL, and has the ability to independently source data for projects and analysis• Strong programming skills in Python, including exposure to the python ML ecosystem (Numpy, pandas, statsmodels, sklearn, TensorFlow/PyTorch, etc.)• Experience with model versioning and lifecycle management (mlflow), version control (Git), job orchestration (e.g. Airflow), and artifact management such as PyPi (nice to have)• Experience in deploying machine-learning models as scalable services• Familiarity with parallel processing databases (Snowflake or Redshift, etc) and large-scale data processing and distributed systems (Spark or Dask, etc.)• Proven experience shipping high quality, well-documented codeNice to haves:• Experience with data visualization tools, such as D3.js, GGplot, etc.• Prior leadership experience, ownership of projects/products, and working collaboratively to carry those projects/products to production• Prior experience with fintech, trading, transaction or payments data for optimization, fraud, recommendation, routing or tracking"
Systems Engineer to AI Sweden’s Data Factory,NA,2023-01-30 12:38:03,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=FwsFeCQfajMAAAAAAAAAAA%3D%3D&fpstate=tldetail,AI Sweden,Full-time,NA,"Gothenburg, Sweden","Artificial intelligence is transforming society. AI Sweden is the national center for applied artificial intelligence, jointly funded by the Swedish government and our partners, both public and private. Our mission is to accelerate the use of AI for the benefit of our society, our competitiveness, and everyone living in Sweden.We are now looking for a Systems Engineer for our Data Factory.About the Data FactoryAI Swedens Data Factory is a national resource that includes standard storage and compute facilities as well as world-leading test and experimentation facilities. These are intended as test beds to develop next generation training infrastructure for high-integrity, cost efficient development of AI models. Read more at ai.se/en/data-factory.Currently, AI Sweden and its partners are expanding the capacity in all areas of the Data Factory to further speed up the ability to enable partners to train AI models, and to experiment, learn and develop solutions and... knowledge.About the positionAs a systems engineer you will participate in the implementation, operation, and maintenance of the Data Factory and its Test and Experimentation facilities.Additionally, you will support AI Swedens partners and help them succeed with their experiments.As your physical presence is often needed, youll be based in Gothenburg. If youre moving to Sweden from another country, we will of course offer relocation assistance. Check out movetogothenburg.com to learn more about Gothenburg.We believe that as a person you are• a keen learner, curious, and able to suggest innovative ideas• very comfortable with ever-evolving requirements and requests for novel arrangements that have never been done before• keen to work in a dynamic environment and a rapidly growing organization• excited to work with our partners and to help them succeed with their AI-related efforts• comfortable with diverse teams that comprise people of many cultural and language backgroundsProfessionally you are• interested in working in experimentation facilities and infrastructure with flexible multi-tenant and multi-purpose platforms.• proficient with Linux and Ansible.• a good communicator, both verbally and in writing. (English)• knowledgeable about how Machine Learning models are trained and understand what this entails.• and most likely you have a M.Sc. in Computer Science/Networks/Machine Learning (or similar) and 2-3 years working experience. Also, its an advantage to have experience from multi-tenant administration, network switch configuration, embedded environments and IoT devices, Virtual Machine Environments, and Core & Cloud management.Why work for AI SwedenAt AI Sweden, youll be part of a diverse and highly skilled team with inspiring colleagues all working with a higher purpose in mind than just tech. You'll be working alongside journalists, linguists, policy professionals, leading AI scientists, historians, entrepreneurs, change leaders, and many more.As an organization, we're uniquely positioned at the sweet spot of governmental oomph and startup nimbleness. Small enough to stay adaptive and have fun but backed by and in close contact with both state and industry, both private and public.And, we can most certainly be a platform helping you realize your ideas. Bring a good one, big or small, and we most likely will support and co-create with you.In short, we like to believe we offer our staff a place to grow, an environment for personal development.Listen to Johanna, Vinutha, and Martin to hear what they say about working at AI Sweden.An equal and fair working environmentWe strongly believe in diversity and inclusion and are acutely aware of the skewed gender balance in our industry. We actively strive to put together a diverse team in terms of age, gender, and background.Naturally, were under a collective agreement (kollektivavtal) and offer everything that comes with it in terms of annual leave, pensions, wellness allowance (friskvrdsbidrag), and such.AI Sweden does not accept unsolicited support and kindly ask not to be contacted by any advertisement agents, recruitment agencies or manning companies"
Machine Learning & AI Intern,NA,2023-01-30 12:38:03,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=ItPjNAQ03MYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Sinch,Full-time,NA,"Malmö, Sweden","Are you looking for an exciting intern project in machine learning Do you want to try out the experiments weve always been wanting to do but never have time forWe are Sinch. With presence in more than 50 countries, were a growing global organization that helps amazing companies engage with customers on their mobile phones. And whether you know us or not, youve definitely used our tech. We reach every phone on earth, with over 147 billion conversations every year.Its not easy to reach every person, on every phone, on every channel, everywhere. Create the software that makes it happen. Join our team as a Machine Learning Intern in our AI&ML engineering team.The essence of the roleWe are growing rapidly and are constantly looking for skilledengineers. Doing an internship project at Sinch can be a first step towardsbecoming a fulltime ""Sincher"" or it can be a steppingstone for your career.We have a number of different ideas on projects! Let us know which one(s) you are... interested in. We are happy to discuss our ideas further and are always open to iterate and improve them.To support you in your project you will have a supervisor from Sinch side who is chosen depending on the area of the project.Sounds interesting Join our Kaggle competition to build an intent classifier in order to apply.In order to compete:• Apply for the role and answer the questions in the application form• Go to the Kaggle competition, sign up and send in a submission with a great performanceSome of our project ideas are:• Make Question Answering model less sensitive to grammatical errors and phrasing differences• Develop conversational capabilities to Language Agnostic Question Answering model• Investigate real-time text-to-speech possibilities• Data augmentation for multilabel text classification• Create light ML models using sparsification• Image search based on the image content using textual search queriesWho are you• We are looking for final year Master students in Computer Science, Machine Learning, Artificial intelligence or people with equivalent practical experience.• The project needs to be around 4-6 months, but the minimum is 3 months.• Do you have a fellow student in mind as a project partner Thats great, Its not a requirement but its a bonus if you have each other (please send one application and dont forget to answer the questions in the application form)• Location: Preferably Sweden, since most of us is in the CET time zone and many fellow colleagues are based in Sweden. But if you at least have 3 hours overlapping with the CET time zone you can also work remotely.We believe you are an ambitious student with a great interest and curiosity in the AI and ML field. We expect you to plan and drive your work yourselves but will offer you the support you need from people within Sinch.Are you ready Be partof our journey and join our machine learning competition!As a first step, and for you to get an idea of what you are in for, we have created a Kaggle competition to build an intent classifier.In order to compete:• Apply for the role and answer the questions in the application form• Go to the Kaggle competition, sign up and send in your best ML model.About the recruitment process:To help us place the right people in the right role, we believe in science-based and fair assessment methods. We follow a competence-based, structured interview process where your skills, experience and attributes relevant to the role and Sinch will be assessed. As part of our recruitment process, pre-employment testing is used to help us increase our hiring success by identifying the candidates that are most likely to thrive and be successful in the role. We acknowledge that there are two parties making a decision in this process and welcome you to ask any questions you may have at any stage of the process"
Machine Learning Lead,NA,2023-01-30 12:38:04,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=2aeGNJPR0RgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Ark Kapital,Full-time,NA,"Stockholm, Sweden","Who is ArKThere are many consumer facing fintech products, but finance as a whole is virtually untouched by technology. Investment decisions are still being made out of pdfs and shark tank-like processes rather than utilising the forecasting methods found at companies like Spotify or Google. This makes capital allocation riddled with bias and very ripe for disruption.At ArK were convinced that by putting data and tech at the heart of finance we can impact how money flows and, in turn, create a more democratised and unbiased economy.Today we offer founders access to our machine learning platform AIM. Through connecting their raw data we can fully understand what theyve built without any bias; connecting what has been achieved historically into a simulated 5-year future. This prediction is the foundation for the transformational loans that we are able to issue, and a tool that founders get to keep for business optimisation.AiM is using big data and machine learning to... analyse and predict companies current and future performance, to be used as a foundation for our frontier credit decision making. All in all, we thrive in the win-win data modelling where insights are valuable both for ArK as a lender, but also for our customer as a growth company. We build AiM to push beyond credit scoring, and to become the unrivalled place to plug in your company data, and get back valuable insights for optimising company growth  when our customers grow efficiently, everybody wins.Being an ML leader at ArKArK has one of the most diverse sets of company data in the world, and it is growing at an incredible pace. The diversity and richness of data we want you to work with is essentially unheard of as we get raw data directly from our customers IT systems, and we want your help to make sense of it, both for us, and for our customers. The challenges here are unlike anywhere else as were striving to build generalizable modelling solutions that can be applied across an incredibly broad range of company data and business models.Some of the problems that we help our customers solve are figuring out really detailed customer lifetime values (e.g. placing a value on our customers customers) and projecting their future revenue and cost growth  which conveniently enough is excellent data to base lending decisions on and tailor financing solutions to.Were also exploring advanced user churn modelling, credit scoring, customer business clustering and performance benchmarking and various clustering techniques to better understand businesses and their customers. As a leader at ArK we want you to help us define whats possible and work on whats valuable.At ArK you will be a part of our tech and analytics teams and work with data engineers, data scientists, UX designers, data analysts and other ML professionals  bringing your unique skills to the table.You are •  Someone who wants to lead and run Machine Learning projects from data crunching and prototyping  to quality assured models that run in a production environment.•  Knowledgeable in the inner workings of the models you apply, and how to construct and optimise for suitable loss functions  and other similar concepts•  Driven by impact and can deliver business value from projects fast, and then iterate over time to increase that value further•  Interested both in the modelling and the engineering aspects of building good ML that works reliably•  A future or current leader in the space who stays up to date and are not afraid to deploy modern techniques, and mentor and knowledge share with colleaguesNice-to-have• Experience from a product centric company• Product and/or people leadership/management experience• Experience writing blogs or articles, we really want to give back to the community and share our work and findingsMore about who we are at ArKArK was founded in 2021 by a six-time entrepreneur, a world-class AI technology developer and a veteran banker. Since then weve carefully grown our team to 30 - all pitching in with their experience to build something that none of us has seen before.We believe that the key to a great team culture is great people having a great time together. Our team is one to be part of for the long run, because you wont want to leave. Our unique combination of startup mentality, experienced team and ambitious vision make ample room for possibilities to grow.ArK is headquartered in Stockholm but we balance our time between being at the office and working remotely"
Developer for a Deep learning training environment,NA,2023-01-30 12:38:04,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=iVUJm4bYg5QAAAAAAAAAAA%3D%3D&fpstate=tldetail,Zenseact Sweden,Full-time,NA,"Gothenburg, Sweden","Insights from the teamZIIT is part of Product Enablers in Zenseact, we support the product development areas with the tools they need, and the data needed to develop our main product; driver assist and autonomous drive software. We are responsible for the compute cluster that Zenseact uses to train deep learning models. We are also tasked with simplifying the way deep learning developers interact with this cluster by developing tools that can simplify model training and usage of the cluster.To summarise the responsibilities:• Develop a software framework that can be used to manage the training of deep learning models simply and efficiently. You will support and collaborate with deep learning and data management teams.• Explore frontiers of infrastructure for deep learning, to support Zenseacts deep learning teams with a highly automated training environment.Your mission and day-to-day tasksYou are expected to collaborate with the deep learning teams, understand their needs... and evolve the training infrastructure. You will be working in a modern development environment that makes use of python, git and other tools, implementing software that makes this cluster easy to use when training neural networks. You should also be comfortable with maintaining the deep learning cluster, keeping Linux and other base software packages up to date.We are a small team with responsibilities that span a large area, from high level training framework development to server maintenance.Your profile• Experienced in developing data management, data distribution and training infrastructure for production deep learning networks.• Experienced in deep learning frameworks available today, e.g., PyTorch, TensorFlow• A strong professional experience in software development, especially using Python. Other languages such as JavaScript are meriting.It is not a requirement but nice if you have:• Experience from IT automation tools like Ansible and IaC design and implementation.How do we workFlexible-remote way of working: Zenseact has a flexible and modern approach, thus is happy to offer to its employees the possibility for a combination of work at the office and from home. This doesn't include fully remote work from outside Sweden/China.More about ZenseactZenseacts purpose is to make safe and intelligent mobility real, for everyone, everywhere. We develop the complete software stack for ADAS and AD, from sensing to actuation. Our focus is to build a single cutting-edge software platform in order to serve various levels of autonomy and offer unequaled scalability at the same time. We operate out of Gothenburg, Sweden and Shanghai, China. Zenseacts first self-driving deployment will be launched on the next-generation vehicle platform from Volvo Cars.Self-driving cars, when real, is estimated to reduce fatal car accidents with more than 85%, saving more than 50,000 persons from dying in car accidents caused by human errors each year. We feel that is a goal worth pursuingBut technology, software, tools and datasets would not mean much without the best people behind the wheel to drive them. At Zenseact, some five hundred of the best engineering minds globally, stationed across two continents, are collaborating with the same passion: to bring autonomous driving to the streets for real and create a safer journey for everyone. This is part of our culture and how we work, develop and grow together.Zenseact works proactively to create a culture of diversity and inclusion, where individual differences are appreciated and respected. To drive innovation we see diversity as an asset, which means we value and respect differences in gender, race, ethnicity, religion or other belief, disability, sexual orientation or age etc.Interviews are held on a continuous basis, so we highly recommend that you submit your application at your earliest convenience"
Senior Data Scientist,NA,2023-01-30 12:38:04,https://www.google.com/search?q=Machine+Learning+Jobs+Sweden&ibp=htl;jobs&sa=X&ved=2ahUKEwipr_3RhfD8AhUrIDQIHYtqBfQQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=ZVauQEy2TusAAAAAAAAAAA%3D%3D&fpstate=tldetail,Wolt,Full-time,"US$68,428–US$135,000 a year","Stockholm, Sweden","Company DescriptionWolt is a technology company that makes it incredibly easy to discover and get the best restaurants, grocery stores and other local shops delivered to your home or office. Wolt is not just a delivery app  were a technology company building a global logistics platform to seamlessly connect our millions of customers with thousands of merchant and courier partners, in real-time across 23 countries and 250+ cities. Our apps (iOS and Android) have the industrys highest ratings, largely thanks to our customer-first-mindset, which shows in how we build products and run operations. In November 2021 Wolt and DoorDash announced were joining forces, and the transaction is expected to close in H1 2022.Working in Product Development at WoltAt Wolt, were about getting things done. Youll probably enjoy it here if you like taking ownership, developing yourself and being around friendly, humble and ambitious people. The behind the scenes of Wolt is run by an awesome bunch of... over 400+ planners, builders, designers and data crunchers. We call ourselves Product+, as were the very core of Wolts products, tools and platforms. To build our products, we work in over 37 cross-functional, independent and autonomous teams. Teams are made up of a mix of talented individuals: engineers, designers, data scientists, analysts, and product leads. Each team takes ownership for solving customer problems in the best possible way.Our Commitment to Diversity, Equity & InclusionWe want to have all sorts of people in our team  people like you and me, and people different from you and me. To be able to work with diverse teammates  when it comes to gender, age, ethnicity, life background, sexual orientation, political views, religion, or any other personal trait  we consciously aim to offer equal opportunity for everyone to work with us. This is because we believe diverse teams make the most thought-through decisions and build things in the most inclusive way.Join us today to build Wolt together! #LI-MARCOJob DescriptionData Scientists at Wolt are working with machine learning for the most important processes and parts of Wolts online delivery platform and business operations that affect all the 23 countries we operate in. The work consists of owning machine learning use cases as part of a product or business team; starting from identifying opportunities, to developing and prototyping a solution, all the way to deploying, maintaining, and improving a production-ready solution inside of the embedded product team. We use a variety of technologies and tools including Python, SQL, Spark, Docker and K8s, Snowflake, AWS, Flyte, Seldon Core, Airflow, MLflow, Kafka, Jenkins, and Looker to get the job done, and constantly looking for ways to improve how our data scientists work. As a Data Scientist, youll be embedded in one of our product/ business teams and focus on and own that specific area together with a cross-functional product team. Youll closely collaborate with Product Leads, Engineers, Designers, and fellow Data Scientists and Product Data Analysts. Some examples of areas with coming openings are forecasting & optimization, recommendations & personalization, pricing, operations & logistics. These teams for example develop:different time estimate models used throughout the delivery process, such as ETAsapproaches to forecast and influence supply (courier availability) and demand (orders)approaches to personalise and improve how customers engage with and find our content (e.g. restaurants, stores and retail items)models and solutions needed to personalise the search experiencemachine learning models for managing advertisements, e.g. conversion prediction for contentAlso, be sure to check out Machine learning at Wolt - our journey towards MLOps, our Wolt Algorithmic Transparency Report, and Wolt Tech Talks to learn more.  QualificationsYou have plenty of hands-on experience with production-level data science projects  from prototyping to deploying and maintaining and improving production-ready solutions (i.e. ability and interest to handle a use case end to end).You have a deep understanding and experience with machine learning and solid understanding of statistics. Depending on the team and role, well value experience with computer vision, deep learning, reinforcement learning, NLP, Bayesian methods, and other approaches relevant to the problem domain.Youve got knowledge of experimental design and analysis, as well as A/B testingYoull have fluent programming skills in Python, which is our main language for data science projects, and experience with databases (SQL)Youre comfortable with a long enough list of buzzw tools and technologies to be effective in your role. Some of the technologies we work with are mentioned in the beginning of this ad.Ideally, youll also have a degree in a field relevant to data scienceYoure analytical and curious, were looking for a self-starter with a drive to get things done. Also as well a good communicator, willing to collaborate with people in- and outside of the teamOur offering to you Small yet growing data science team around you so there will be plenty of opportunities for you to grow as a Data Scientist.You can choose the location from our tech hubs Helsinki or Berlin, or you can work entirely remotely anywhere in Finland, Sweden and Estonia. You have the chance to decide the ways of working  a hybrid, at the office, or remote within the location above.  Read more about our remote setup. In addition to our country-specific benefits, our compensation package includes a monthly salary based on your expertise and stock options. . At Wolt, youll get to work in a company culture where we take ownership beyond the obvious, do common things uncommonly well, we think big but stay humble, do right by people, we treat others kindly and justly, recognise that if we dont learn, we wont stay still but fall behind and keep in mind that Luke was Yodas greatest achievement. Read more about how we work. Additional InformationThe position will be filled as soon as we find the right person, so make sure to apply as soon as you realise you really, really want to join us!If you want to check up on your application or have any further questions about the position, you can turn to our Talent Acquisition Partner / Analytics, Marco Ohde at any given time"
