Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer With Data Science Experience,NA,2023-01-30 12:40:00,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=V_HhM3TA2hAAAAAAAAAAAA%3D%3D&fpstate=tldetail,P.I. Works Inc,Full-time,NA,"İstanbul, Türkiye","P.I. Works is the first company in the world to automate the management of a commercial 5G network.Our automated network management products and services empower mobile operators to accelerate network transformation and to drive network quality and efficiency on the path to 5G. These solutions have been deployed across more than 67 mobile operators in 47 countries around the world.Come and join us to work with the leading telecom operators around the world and redefine the mobile experience worldwide leveraged by contemporary, pioneer use-cases based on wide variety of Artificial Intelligence methods such as Statistical Machine Learning, Deep Learning, Big Data Complex Event Processing and Pattern Recognition to be applied in the Telecommunication industry etc.What You Will Do:• Developing machine learning models to achieve business objectives, along with metrics to track their progress• Develop Proofs-of-Concept (POC) by using state-of-the-art ML technologies and Lead the POC... process• Work closely with subject-matter-experts from different domains to define problems metrics and ensure model outputs to meet the expectation• Document and explain cutting-edge techniques to other team members• Join brainstorming sessions to leverage provided solutions and learn from othersWhat You Need To Be Successful:• Hands-on applied machine learning experience from 3 to 5 years with proven record of statistics, ML model development, data analysis and visualization know-how and experience• Proficiency with Python and related ML-Data Analysis libraries used for problems in the scope of time series, forecasting and anomaly detection,etc.• Project completion with deep learning frameworks (like Tensorflow, Keras) especially for RNN for time-series forecasting• Excellent skills at distilling complex, ambiguous scenarios into tractable model• Expertise in visualizing and manipulating big datasets• Familiarity with SQL and experience working with various database types• Able to support technical meetings worldwide with a fluent command of English• Familiarity with version control systems, and source code versioning systems such as git/mercurial, issue and know-how tracking solutions like Jira and Confluence, productivity tools for data science such as Jupyter or Azure notebooksWhat Makes You A Great Fit (is a plus):• BSc in Computer Science, Mathematics or similar field; Masters degree• Experience on working with sequential big data like time series forecasting and anomaly detection, root cause analysis or geolocation analytics• High-performance computing, data modeling and query optimization experience• SW Development techniques, big data technologies and Linux• Telecommunication domain know-how and working experience• Executive-level reporting and presentations, data story-telling skills• Eligible for working in TurkeyWhat We Can Provide:• Career development opportunities in a multinational working environment• Develop your 5G and AI knowledge in a market-leading company with subject matter experts• International career opportunities (Americas, Europe, MEA, APAC regions)• Private health insurance• Flexible working hours and vacation policy• Transportation allowance• Meal allowance, complimentary breakfast and soft drinks• Pop-up events and gifts• Sports activities"
Data Scientist (Hybrid),2023-01-27,2023-01-30 12:40:01,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=Rcze095dpyoAAAAAAAAAAA%3D%3D&fpstate=tldetail,"PaneraTech, Inc.",Full-time,"US$56,256–US$120,000 a year","Ankara, Türkiye","We are looking for a highly motivated Data Scientist. The Data Scientist will assist in the development of industrial AI systems for prediction and data analytics (using operational data) performances. The successful candidate will propose robust solutions which are in turn employed in predictive/preventive maintenance AI architecture to optimize glass and steel manufacturing processes. Do you want to join us in revolutionizing the manufacturing industry! Who We Are PaneraTech, Inc. is headquartered in the United States with an international team that includes employees in Brazil, Germany, Italy, Turkey, India and Japan. We are globally recognized for pioneering solutions for heavy manufacturing industries such as glass and steel by enabling a safer and longer operation of critical assets in these industries. At PaneraTech, you will become a part of an innovative team to build solutions that inspire and transform the Industry 4.0 revolution. Our company is known for its collaborative... culture that is fostered by a creative and intellectually stimulating work environment. PaneraTech has a global footprint of customer success across 40 countries and over 250 plants within the last five years. PaneraTech encourages employee development and growth. We expect our company workforce to grow to more than two times in the next year! Our company believes in enabling team members with the greatest amount of autonomy to encourage employees to take initiative and be creative. We want to ensure all our employees feel respected and supported. At PaneraTech, compensation, recognition and advancement are based on an employee's achievement of excellence in team and individual performance. Key Responsibilities Data Scientist will help the team develop predictive/preventive maintenance AI algorithms to optimize manufacturing processes. Your duties will include: Establish best practices for data collection and analysis. Evaluate data quality to develop procedures that will ensure high quality of data. Work closely with technical leaders to understand business side of data (industrial AI). Develop scalable data processing pipelines. Develop data analytics tools to extract insights on manufacturing processes. Build machine learning models for prediction and data insights. Developing predictive/preventive maintenance AI algorithms to enhance manufacturing process. Collaborate with other engineers and scientists to find effective solutions to technical challenges. Requirements Bachelors Degree in Electrical Engineering, Computer Science, or a related field. 3+ years of experience on AI. 3+ years of experience building predictive models, preferably in a business or industrial setting. Solid understanding of object-oriented programming. Command of the English language, both written and verbal. Demonstrate natural and strong curiosity with strong analytical and problem-solving skills. Excited and motivated by technical challenges. MS/PHD Degree in machine learning is preferred. Experience on machine learning tools such as SageMaker, AutoML is preferred. Reliability and discretion.Benefits Private Health Care Plan Home office technology support package, up to $500 Being eligible to own the laptop used at the end of the 3rd year. 18 days Paid Time Off per annum"
AI (Machine Learning and Deep Learning) Engineer,NA,2023-01-30 12:40:01,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=PnjfQvgv2xEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Huawei Telekomünikasyon Dış Ticaret Ltd,Full-time,NA,Türkiye,"As Huawei Turkey R&D Center, we are now looking for AI (Machine Learning and Deep Learning) Engineers to join our ranks.• If you have experience with Machine Learning, Deep Learning, Computer Vision or Data Science, this could be a fantastic next step in your career in a company set to completely revolutionize the telecommunications industry.• This is a great chance for you and your career to be a part of an innovation leader company. You will have opportunity to improve process efficiency and software quality of projects developed by thousands of Huawei Engineers using ML/DL models designed by yourself.• We expect from candidates to have a strong understanding in Machine learning and Deep Learning. Also, strong Python coding skill is required. Knowledge on Linux command line and shell scripting is a plus.Brief Job Description:• Researching and developing AI/ML/DL models from scratch and take ownership of them• Analyze massive amounts of data, optimize and improve the model... with given requirements to reach optimum business solution for real world problems.• Developing AI/ML/DL based services and applications• Comprehensive AI based Proof of Concept (PoCs) development for launching innovative solutions• Actively participate in development for applying the modelEssential Skills Required:• Bachelor degree in Computer Science/Electrical&Electronics Engineering/Software Engineering or a related field of study; a MSc/PhD degree in Data Science, Machine Learning or other field with relevant research is a big plus.• Minimum 3 years of working experience at least one of these areas : Machine Learning Algorithms, Deep Learning, Computer Vision, Natural Language Processing, Speech Research or Data Science.• Strong programming skills in Python with model training, data analysis and visualization for massive amounts of data, including experience with various libraries, packages, and frameworks such as pandas, scikit-learn, SciPy, NumPy, OpenCv, Jupyter, TensorFlow, Keras, PyTorch etc.• Familiarity with deep learning approaches (CNNs, RNNs, LSTM, GRU, GAN, Reinforcement Learning, etc.) as well as machine learning methods (SVM, Bayesian learning, decision trees, logistic regression, etc.).• Knowledge in version control systems (Git), SQL, and relational databases.• Practice on Cloud Platform's machine learning Solutions (AWS Sagemaker, Google Cloud AI) will be better.• Experience on Kaggle contest is a plus.• Experience on other software languages such as Java, C++, JavaScript is a plus.• Knowledge on Linux command line (Ubuntu, etc.), shell scripting, CUDA/CuDNN is a plus.Personal Skills Required:• Excellent written and verbal skills with strong grasp of English is a must.• Agile oriented; focused on delivery and customer first.• Excellent problem solving; analytical thinking skills.• Adaptive; responsive for on-demand changes.• Dedicated; working hard to finish tasks on-time with high quality.• Communicative; calling before sending e-mail.• Team Player: Working with team members and other members to achieve a shared goal or outcome in an effective way; taking initiative to support others.• Open; collecting feedbacks and defining actions for self-improve.• Willing to search, learn and adapt new technologies to projects.• Competitive salary• Home office pack to create your own home working space;• Discount at MSc/PhD programs from several top universities;• Employee Gift Packs for special events;• Online training platforms (Udemy, OReilly, Raywenderlich, Packt);• External certification support;• A culture of continuous development: conferences, in-house events & Tech Talks to stay up-to-date on current research and technology"
"Early Impact AI Academy (New Grad) in
            
              null,
     ...",2023-01-06,2023-01-30 12:40:01,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=peVincJgtbAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Codeway,Full-time,NA,"Şişli/İstanbul, Türkiye","ad1CODEWAY EARLY IMPACT AI ACADEMYBring your passion for AI, take Codeway as your play-ground, get all the support to improve your skills, and help us build the best AI products that the mobile industry has ever seen.If you are a recent graduate or a senior student thinking of pursuing a career in the field of AI, this is an opportunity to kick-start your career in the best possible way!By joining Early Impact AI academy, youll deep dive into cutting-edge technologies, work with the best researchers in the field, and help us build better products.If youre ready to create real impact by taking real responsibilities from day one, we invite you to take part in one of the most exciting and dynamic fields of our time: mobile apps!CODEWAY: THE ROCKETSHIP KEEPS RISINGCodeway was founded in January 2020. Within 2 years, our team has grown to 70 amazing people. We are a young and passionate team, and together, were defining the next generation of building things, or, the... way we like to call it: the code way of doing things.ZERO BULLSHIT, REAL IMPACT: NOT YOUR TYPICAL NEW-GRAD PROGRAMLast year, we welcomed a lot of New Grads and senior students from different backgrounds. Their impact carried us further. Once again, they made us believe that potential is as important as experience, if not more.Early Impact is not your typical new-grad program. Here, no one tells you what to do. Instead, you decide on your own responsibilities and we will always be here to provide what you need.WHY EARLY IMPACTWe know its hard to decide which field you want to focus on as a recent graduate. You may be an excellent iOS developer today, but tomorrow you might be interested in having a deep dive into different fields of AI.Being flexible and having a 360 understanding of your domain is what this program can provide you. At Codeway, your job title wont stop you from doing what you want to do. As long as your AI skills can provide a business value, youre welcomed to follow your passion!We believe that the best method to learn something is to practice it. Youll gain hands-on experience on AI and learn from the best ones while working on real projects.WHAT AI MEANS FOR CODEWAYAI helps us build unique mobile apps loved by millions of people.While we keep scientific focus in discovering new deep learning models, we develop remarkably entertaining mobile apps.In a short amount of time, our new generation of AI-powered products FaceDance and Pixelup have turned into global success stories. This showed us the true potential of AI-powered mobile apps, and improved our appetite for discovering more in this field.FaceDances AI brings joy and laughter to millions of people around the world. Pixelups AI helps millions of people bring back old memories and share a unique moment with their loved ones.As we keep exploring the potential of AI, weve already started working on new exciting projects.Join us and lets discover the wonders we can do with AI!WHAT YOULL EXPERIENCEBesides boosting your skills in AI, Early Impact promises you a lot of things.• Zero Bullshit, Real Impact. Youll be working on mobile apps & games used by millions of people around the world. The work you do will make a real impact.• Endless learning. We believe the best method to learn something is to practice it. Within a short period of time, youll gain hands-on experience on AI and deep learning.• Dream Team. Average Codeway member is young, talented, and passionate  which makes our working environment extremely dynamic. Need proof Take a look at our Instagram.• Your own way. You wont wait for someone to tell you what to do. Youll proactively take ownership of the products you work on.• A Competitive Compensation Package. Long story short, we take care of you.• Quarterly Compensation Adjustment Program. Codeway operates globally. So, it is our responsibility to make sure that your global purchasing power stays the same, or only goes up.• Remote working, flexible schedule, and unlimited vacations. This isnt a clock in, clock out company. We care about your productivity, not tracking every minute youre on site. Its up to you to always be responsible with your work, no matter where you are or what schedule youre keeping.• Cool tech stack. A brand new Macbook, iPhone 12, magic mouse, magic keyboard; an adjustable desk with a 4K screen.WHAT YOULL BRING• Passion. Passion for AI and deep learning. Simple enough.• Know-how. You have a technical background or experience in fields relevant to AI and deep learning.• Analytical approach. Youre a fast learner who can independently explore and grasp new concepts. You can solve unexpected problems with your endless creativity. You can do all of these individually.• Scientific approach. You follow and understand scientific research papers and develop state-of-the-art algorithms.• Good communication. Crystal clear communication skills.• Proficiency in English. You read, write, and speak without any trouble in English.• Cool vibe. Youre open to constructive criticism and feedback. Youre ready to improve yourself accordingly.• Take the wheel. Youre ready to get your hands dirty. Youre hard-working, you refuse to give up until achieving what you want to get. Youre result-driven and always aim for excellence in the work you do.• Ownership. We want you to be ready to own every aspect of your project. You wont be a newcomer here, youll own your thing.WHAT YOULL BE DOING• Analyzing our business models, processes, products, and goals to find better strategies for improving our agility and productivity• Play an active role in suggesting, collecting, and preprocessing the data necessary to train deep learning models and evaluate the performance• Design and build scalable deep learning models that power our products• Work with the other teams to determine the requirements and formalize the possible AI research directions• Foster a fantastic atmosphere within your team, creating an environment that boosts flexibility, innovation and cooperationYOULL BOOST YOUR SKILLS IN THESE AREAS• Deep learning• Computer vision• Pytorch/Tensorflow• Python• Product ManagementApply NowTo help us track our recruitment effort, please indicate in your cover/motivation letter where (vacanciesinturkey.com) you saw this job posting"
Software Engineer in Machine Learning,NA,2023-01-30 12:40:02,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=k5tYwOlRKwsAAAAAAAAAAA%3D%3D&fpstate=tldetail,AFINITI,Full-time,NA,Türkiye,"WHO ARE WEAfiniti is the worlds leading applied artificial intelligence and advanced analytics provider. Afiniti Enterprise Behavioral Pairing uses artificial intelligence to identify subtle and valuable patterns of human interaction in order to pair individuals on the basis of behavior, leading to more successful interactions and measurable increases in enterprise profitability. Afiniti operates throughout the world and has measurably driven billions of dollars in incremental value for our clients.Key Responsibilities:• Design multi-component service and backend architectures that can process high volume/high speed data, apply business & analytics logic, and serve to client or UI interfaces.• Work with a multidisciplinary team of domain experts, systems architects, data scientists and engineers in order to customize products according to external client and internal power user needs.• Lead delivery of software projects and product development of significant impact and... scale.• Design and complete a medium to large medium sized task independently.Pluses:• Ph.D. degree in Computer Science or other field with relevant research.• Experience with Agile Development tools and processes.• Strong experience in Python.• Experience with state-of-the-art NLP techniques.• In-depth knowledge of machine learning, statistics, or linear programming.• Linux system administration and shell scripting.Requirements:• M.Sc. degree in Computer Science or related field.• Fundamentals in problem solving, computer science, algorithm design, complexity analysis.• Experience in machine learning/artificial intelligence, data science, statistics or information research.• Experience with deep learning frameworks, preferably designed for text data.• Practical experience in building and evaluating models using major libraries such as Scikit-Learn, Pytorch, Tensorflow.• 2+ years professional experience in software design and development, especially with machine learning and artificial intelligence applications.• Proven software engineering experience in at least one Object Oriented language, e.g. C++, Python, Java.• Experience with parallelization frameworks like MPI or OpenMP, GPU programming.• Familiarity with basic concepts of AI Ops or continuous deployment/integration.• Passion for writing beautiful code and tuning performance.• Solid written and verbal communication skills to document and explain complex systems.• Demonstrated ability to manage time independently and take projects to completion.• Willingness to both teach others and learn new techniques.• Comfort working in a collaborative environment with cross-team communication to bring projects into production"
Data Scientist,NA,2023-01-30 12:40:02,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=bV5t3qKZad0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Good Job Games,Full-time,NA,"İstanbul, Türkiye","About usWe were founded in 2017 with the motivation to reach people globally by giving them unique and unforgettable experiences with disruptive products. Our games have reached over 2.5 billion people. This could only be done by gathering exceptional talent and creating a culture to enhance team spirit and creativity. We continue this journey which we have started with Hyper Casual games by adding Casual games to our portfolio. We are looking for passionate teammates to join our team!What youll be doing• You will work closely with different teams, to design, test, verify, and implement machine learning models to improve players journey and game metrics• Predictive and causal modeling for a variety of games within a modern tech stack• Optimization under uncertainty with risk management• You will be expected to get statistical modelling by using Bayesian inference, deep learning methods to understand user behaviors on the individual level through large datasets.Desired... skills and experiences• Bachelor's degree from one of the prestigious universities preferably in Computer Science, Math, Statistics, Econometrics, or other quantitative fields; Masters or Ph.D. would be a plus• 2+ years of experience of doing complex quantitative analysis to help guide decisions, preferably in a consumer products-oriented industry (e.g. gaming, entertainment, e-commerce, mobile apps)• Fluent in Python or R, and SQL• Understanding of machine learning concepts and statistical method• High oral and written communication skills• Familiarity with MLOps concepts,and probabilistic programming packages/languages such as Stan, PyMC, Pyro are nice to haveWhat makes our team so unique• Feedback and transparency are at the heart of everything we do• Exceptional and passionate people/team members• Every idea counts• Never-ending learning• We never stop asking the questions why and how.Our Perks• Stock-option• Team events and trips• Flexible working schedule• Great food• On-site gym• Pets allowed• Full health benefits• Compensation for paid military service• Rent incentive to help you not waste time in the traffic jam• Good Job Games Coin Program that lets you have unforgettable experiences (e.g. Going on a cruise trip to Norway or seeing the Northern Lights"
Senior Data Scientist / Machine Learning Engineer,2023-01-10,2023-01-30 12:40:02,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=7rvvNvAcf5sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Prometeia,Full-time,NA,"İstanbul, Türkiye","Are you curious, do you want to get involved, become part of a dynamic company and have the opportunity to innovate with your work and skillsPrometeia S.p.A, a leading provider of software solutions and consulting services for Risk Management, Financial Analysis, and Planning for financial institutions, is extending its capabilities with a growing data science team in Turkey region and is looking for a Senior candidate within the areas of Data Science and ML Engineering.Candidate will be placed in the team of Data Science and Artificial Intelligence (AI) with an entrepreneurship soul and a focus on not only financial institutions' digitalization processes but also cross-sectoral real-world applications of AI. The ideal candidate will have strong software engineering and leadership skills.RESPONSIBILITIES: Leading development of PoCs and/or AI products in technical areas of AI like Turkish NLP and/or Machine Learning (ML), Deep Learning (DL) on big tabular dataCollaborate with both... local and global data science business translators and clients from divergent industriesEager to follow literature, research, prototype, implement and evaluate applications of state-of-the-art ML/DL algorithms in real-world data science problemsLead analytical tasks like algorithm design, implementation, validation and testingLead integration of the resulting system/software into existing production environmentWillingness to multi-task, learn new technologies in a lean development environmentContribute to research papers and/or patent submissions REQUIREMENTS: 3 - 5+ years of strong academic and/or industry experience in one or more of the following areas: Machine Learning and/or Deep Learning on Big Tabular Data (experience in one of the areas is enough)Experience in working with financial time-series data is a strong plus.Proficiency and hands-on experience in coding with PythonHands-on academic and/or industry experience on one or more of the frameworks and libraries: tensorflow, keras, pytorch, nltk, gensim, pandas, numpy, scikit-learnKnow-how on container platforms and on-cloud deployment (Docker, Kubernetes)Experience in relational SQL and NoSQL (Redis, Mongo DB, Cassandra) databasesStrong understanding of object-oriented programming languagesComputer science fundamentals in data structures, algorithms, run-time analysis, object-oriented design patternsExperience in Linux/Unix operating system EDUCATION & EXPERIENCE: Having a Bsc., Msc. or having/pursing PhD. degree in Machine Learning, Deep Learning, Natural Language Processing or related fields of Computer Science and Data Science SOFT SKILLS: Skill to prepare and present business focused and/or technical presentationsSkill to effectively describe and report on complex ideas and projectsGood communication and team-leading attitude WHAT WE OFFER: Selected candidates will be offered a full-time position to work in a stimulating and dynamic environment, strongly oriented towards the enhancement of human resources according to the results achieved. LOCATION: Turkey, Istanbul Prometeia is committed to employing a diverse workforce. Our company promotes and respects equal opportunities.WHAT WE OFFER:COMPENSATION, WELFARE & BENEFIT Our history, as well as the future, is based on the value of our people. The biggest investment at Prometeia is in our people, and it concerns every aspect of professional life. We call it 'Total Compensation' and is made up of Compensation - consisting of a fixed and a variable component -, an important Welfare Plan, active since 2015  we have been among the first to introduce it in Italy - and Benefits, which include all the initiatives undertaken for the well-being of our people.SMART WORKING Flexibility is an intrinsic value of the way we work. At Prometeia, smart working is an organizational method based on trust, which results in benefits in terms of work/life balance, impact on the environment and optimization of company results, through autonomy and empowerment of people.PEOPLE PROGRAMOur evaluation system is based on the full enhancement of people and their continuous dialogue as a stimulus for regular, mutual professional and personal growth. Transparent discussions between managers and team members are set up within the projects, where reciprocal and timely feedback is exchanged. The process is fully digitalized and aimed at continuously improving the development trajectory of the individual and the company.TRAINING Prometeia means ongoing training. We provide an average of 11 days of training per year to our people, in-person and online. Particular attention is paid to younger colleagues, who are the protagonists of dedicated growth programs, and to the continuous sharing and internal transfer of know-how and skills. On-the-job training is also important, through immediate and direct confrontation with the market.WIN/WIN POLICY If you are one of our employees, and you recommend a person who is later recruited, you are entitled to a financial bonus! This is an important opportunity to contribute to the growth of Prometeia as a whole, by attracting acknowledged market professionals and new tech talents.GESTIONE PHYGITAL Through the dedicated app Pr(Home)teia, we have completely digitalized and integrated the management of our physical and virtual environments. Access to the office, smart working, workstations, meeting rooms, carpooling... everything is just a click away"
Data Engineer,NA,2023-01-30 12:40:03,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=8RNe8JgAzoUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siemens,Full-time,NA,"İstanbul, Türkiye","We are looking for Data Engineer to be located in a hybrid environment (Kartal and remotely time to time) who will be responsible for building data models and developing designs and analysis by using digital solutions.What part will you play• Software development activities in the domain, including analysis, design, implementation, documentation and testing• Implementation of innovative platform / application by utilizing new technologies• Producing high quality project deliverables within planned time and effort• Conforming to Siemens processes, quality standards and guidelinesWhat you need to make real what matters.• BSc., MSc. or PhD. in computer science or a related areas• Proven 3+ years of experience in software development• Very good command of English (German is a plus)• Strong problem solving and analytical skills• Experience in Data Analytics and Machine Learning is must• Experience in Scala, Java, Python or C# is a strong plus• Experience in frontend... development is a strong plus• Experience in developing software applications for Cloud and IoT Platforms is a plus• Experience in Data Warehousing (of Snowflake, Teradata, MSSQL etc.)• Experience in Agile Development is a plus• Design, develop, implement, test, document, and operate large-scale, high-volume, high-performance data structures for business intelligence analytics.• Participating in the full development life cycle, end-to-end, from design, implementation and testing, to documentation, delivery, support, and maintenance to produce comprehensive, usable dataset documentation and metadata.What we offer• Speak up Culture• Respectful Workplace• Being part of a global work environment• Remote working and remote living flexibility• Attractive remuneration package• Excellent recognition tools providing spot awards• Learning & Developmentopportunities for both personal and professional growth• Leave days for parents and avariety of flexible working models that allow time off for yourself andyour family• Creche allowance for mothers• Share matching programs to become a shareholderof Siemens AG• Find more benefits hereIndividual benefits are adapted to meetlocal legal regulations, the requirements of different job profiles, locations,and individual preferences.At Siemens we are always challenging ourselves to build a better future.We need the most innovative and diverse Digital Minds to develop tomorrowsreality. Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalmindsAs Siemens, we believe physical barriers are not related to potential.Only the potential matters to us. Therefore, we look forward to receiveapplications of candidates with physical barriers and chronic illnesses. Wesupport healthy relationships between candidates with barriers and theircolleagues because we believe we can create differences together.Siemens is dedicated to quality, equality, and valuating diversity, andwe welcome applications that reflect the diversity of the communities withinwhich we work.We are looking forward to receiving your online application. Pleaseensure you complete all areas of the application form to the best of youability as we will use the data to review your suitability to the role.Please find more information from our web site:https://new.siemens.com/tr/tr.htmlContactIf you need more information please don't hesitate to contact us.+90 216 459 20 00https://new.siemens.com/tr/tr/genel/iletisim.htmlinsanorganizasyon.trsiemens.comwww.instagram.com/siemensturkiyehttps://m.youtube.com/user/Siemenshttp://www.twitter.com/siemensturkiyehttp://www.facebook.com/siemensturkiyeOrganization: Global Business ServicesCompany: Siemens Sanayi ve Ticaret Anonim SirketiExperience Level: Experienced ProfessionalFull / Part time: Full-time"
Senior Lead AI/ML Engineer,NA,2023-01-30 12:40:03,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=ESCFJrNbqrsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Base64.ai,Full-time,NA,Türkiye,"About the jobBase64.ai is an artificial intelligence startup in New York. We are building SAAS solutions for automated document processing, facial recognition, and voice identification. We are looking to expand our engineering team. Join us to work on cutting-edge engineering projects at a multinational company. Perks include a very competitive salary, employee stock program, remote work, and flexible hours.An ideal candidate can lead a team of AI/ML engineers and drive projects from start to end, including data preprocessing, model training, model deployment, and performance monitoring. We are looking for distinguished machine learning engineers that are eager to lead, mentor, and guide fellow ML engineers.Responsibilities• Lead, design and apply recent CV / NLP techniques, make key improvements to our ML architecture• Build end-to-end machine learning projects from idea to production• Work closely with the engineering team for deploying deep learning models• Research the... state-of-the-art scientific literature in information extraction for better understanding all types of complex documents• Prototype and develop algorithms using advanced deep learning techniques for document understandingRequirements• Excellent communication, people-management, and mentoring skills• 5+ years of hands-on professional experience in designing and building production-grade solutions in one or more of the following areas: Optical character recognition, named entity recognition, document classification, key information extraction, document layout analysis, document question answering, table detection• 5+ years of hands-on experience in deep learning frameworks (e.g., PyTorch, Tensorflow, etc.)• Experience in building state-of-the-art products in neural networks using CNN, LSTM-RNN, Transformer, or similar• Meticulous work ethics, planner, problem-solver, self-motivated, and team-player• Proficient in Python• English proficiencyBonus points• 3+ years of experience with NLP models and libraries such as Huggingface, BERT, GPT, etc. is a plus• 5+ years of experience on computer vision is a plus• Experience in cloud environments (AWS, Google, Azure) is a plus• Relevant PhD or masters degree is a plusTips for a successful application• Please add links to your GitHub and recent projects that you want to share.• Do not share any confidential or private information with us, including about your current job or project.• If your LinkedIn is not up2date, please attach a PDF of your resumeBase64.ai focuses on SaaS, Machine Learning, and Document Management. Their company has offices in New York City, Atlanta, New Jersey, Ontario, and Munich. They have a small team that's between 11-50 employees. To date, Base64.ai has raised $1.81M of funding; their latest round was closed on February 2022 at a valuation of $15M.You can view their website at https://base64.ai or find them on Twitter, Facebook, LinkedIn, and Product Hunt"
Deep Learning Researcher,2023-01-19,2023-01-30 12:40:04,https://www.google.com/search?q=Machine+Learning+Jobs+Turkey&ibp=htl;jobs&sa=X&ved=2ahUKEwit1v2KhvD8AhVWMDQIHQJPALoQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=iIuIR9aa5MkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Blockville,Contractor,NA,Türkiye,"Company DescriptionBlockville is one of the industry leaders which creates the bridge between the gaming industry and NFT world where NFT collectors, investors, tech enthusiasts, and gamers meet. Our aim is to revolutionize the gaming industry by integrating cutting-edge technologies together to enrich the gaming experience while getting the most from blockchain technologies.Job DescriptionBlockville is looking for a creative individual to join our team as a Deep Learning Researcher. The responsibilities of the Deep Learning Researcher include researching information about current and future software development tools and techniques for machine learning and AI. Develop novel methods to improve on-device system performance, model size, and accuracy. Develop and deploy state-of-the-art solutions for real-world large-scale AI problems with commercialization goals on devices.Responsibilities• Perform research on modeling real-world problems• Develop end-to-end machine learning... solutions from gathering data to deploying the models in a live environment• Research and document AI solution scenarios• Participating in AI product architecture studies• Taking part in machine learning model development and validation processes• Participating in AI product architecture studies• Participating in testing and documentation studies• Hands-on software development in AI projectQualifications• Bachelors degree in Computer Science / Engineering or related fields,• Very strong programming skills• Very strong written and verbal communication in English.• Experience in applying ML• Hands-on experience in Python/MATLAB• Well-versed in modeling techniques (regression, classification etc.)• Experience with Deep Learning• Experience with CV, NLP• Knowledge of ML lifecycle and MLOps• Having a previous experience in generative adversarial networks (GAN) is a plus• Experience with cloud technologies and as-a-service cloud solutions• Having published a journal paper is a plusAdditional InformationBlockville is a blockchain platform that comprehensively finances and creates the NFTs and gaming industry. The platform serves investors, blockchain-based play-to-earn gamers and new ideas in this field. Blockville strives to be the largest NFT based Play-To-Earn Game creator where people can play quality games and earn at the same time! We are currently creating the first play-to-earn open world game where multiple NFT Projects can participate and earn.We offer you;• Global start-up environment with creative, dynamic teammates and collaborative culture.• An elegant and comfortable office at Zorlu Center  the center of Istanbuls transportation hub.• Fresh snacks, happy hours and team motivational events.• Competitive salary package with meal allowance, transportation fee, private health insurance, etc.• Continuous learning with mentorship, coaching"
