Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-30,2023-01-30 12:41:07,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=lHcLio7JZx8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Robert Walters,Full-time,NA,"London, UK","Drug Discovery Machine Learning Engineer London, UK (Hybrid Working Model: 3 Days in Office)A rapidly growing start up in the pharmaceutical industry is seeking a talented and motivated Machine Learning Engineer to join their team in London. As a Machine Learning Engineer, you will play a crucial role in revolutionising the drug discovery process by developing and implementing cutting-edge ML models and algorithms.This position focuses strongly on drug discoveries to defend against protein manipulation that fundamentally changes human DNA. Previous knowledge of this is essential to be successful within this role.Responsibilities• Design and develop ML models for drug discovery and analysis• Collaborate with cross-functional teams (e.g. biology, chemistry, informatics) to solve complex problems• Utilize data and knowledge of machine learning to inform drug discovery and development• Stay up-to-date with the latest ML techniques and trends, and bring new ideas and approaches... to the team• Implement and evaluate ML models, algorithms and data processing pipelines• CollaborateRequirements• PhD in Computer Science, Mathematics, Physics or related field (or 5+ years comerical experience)• Strong experience with Python and common ML libraries (e.g. TensorFlow, PyTorch, scikit-learn)• Experience with cloud computing platforms (e.g. AWS, GCP)• Excellent communication and collaboration skills• Passion for drug discovery and making a positive impact in healthcareWe OfferCompetitive salary of up to 70,000 per annum and an extensive benefits packageExciting opportunity to make a real impact in the pharmaceutical industryCollaborative and dynamic working environmentOpportunity for professional growth and developmentRobert Walters Operations Limited is an employment business and employment agency and welcomes applications from all candidates"
Senior Machine Learning Engineer,NA,2023-01-30 12:41:07,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=zFvz5MFJfy4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Hawk-Eye Innovations,Full-time,NA,"London, UK","Senior Machine Learning EngineerDepartment: Software Engineering - Machine LearningEmployment Type: Full TimeLocation: London, UKDescriptionMachine Learning Engineer - SeniorThe Machine Learning team sits within our Computer Vision Engineering Department, who are responsible for delivering real-time, end-to-end solutions for tracking balls, players and other relevant sports objects, for the purposes of sports officiating and data analytics.One example of our tracking products is SkeleTRACK - a real-time ball and skeletal tracking currently deployed to major US sports leagues and European football leagues. Our Computer Vision and Machine Learning team are almost entirely responsible for building this technology. We are now looking at how we improve and extend this into more sports and services - more than likely solving more complex and challenging problems!A day in the life of a Machine Learning EngineerAs a Machine Learning engineer at Hawk-Eye Innovations, you will... be part of an agile team that is responsible for the end to end pipeline for our Machine Learning models. This involves tasks such as working with our annotation teams to get the best annotated data and providing them with the best tools on our annotations platform; keeping track of live model performance and detect common failure cases; integrating models and features into our SkeleTRACK products; keeping up to date with the latest research; and designing new ML models, whether real-time or otherwise.You will partner closely with our product team to establish requirements and develop innovative solutions to the most complex challenges within sports technology. You can expect to solve significant problems whilst leading and coaching more junior members of the team as we brainstorm solutions, conduct research and find the best approach. You will be working in a weekly Kanban cycle to deliver game-changing technology and will support the configuration and deployment of our products that are delivered on a global scale.Key ResponsibilitiesWe innovate to build incredible ball and player tracking solutions, applying that to sports officiating but also broadcast video, coaching and fan engagement. Computer Vision and Machine Learning is pivotal to all of this and is the core competency of the Hawk-Eye Engineering team.You will be working with a highly skilled set of engineers. As the business and team have grown rapidly, so has the emphasis on creating a team and structure that can enable us to continue to create innovative solutions and products.As a Senior Engineer, you will be one of the senior members of the team. Technically, you will be a developing domain expert and expected to help influence the direction of our development. Your responsibilities will include:• Being a technical mentor to the development team, influencing decisions within the team;• Building strong relationships within the machine learning team and communicating effectively both the engineering and product teams;;• Maintaining modern architecture and design practices;• Understanding requirements and delivering solutions with little direction;• Being a thorough and excellent software engineer, writing code with minimal guidance;• Leading R&D initiatives, keeping up to date with industry trends;• Attending CV/ML conferences;• Being a pragmatic problem solver.Skills Knowledge and ExpertiseMust have a good understanding of:• Python• Relevant libraries (Pytorch, Pytorch-ignite, Numpy, Jupyter, Pandas)• Linux & Windows 10• TensorRT• GITNice to haves• Modern C++ (C++17/20)• CUDA• ClearML• CMake & Visual Studio• OpenCV• Typescript & Semantic UI React• SSHBonus Skills• QT• TeamCity• JIRA & Kanban• ConfluenceAt Hawk-Eye Innovations, we continue to push the boundaries of innovation within global sport. As part of our team, you will work closely with exceptional people and the most cutting edge technologies.You can expect to work with:• Pytorch• Python• modern C++ (17/20)• Production software targets Windows 10 (plus some Linux software, e.g. for ML training)• Tools: Git, cmake, Visual C++, TeamCity, JIRA, Confluence, Slack.• Libraries: OpenCV, Ceres, Qt (and quite a few more smaller ones)Our Development team at Hawk-Eye Innovations is multi-faceted. It is responsible for building technology that unpins all of the services delivered by the wider operational business. We have expertise in a variety of engineering disciplines, including:• Computer Vision• Machine Learning• Video content management and streaming• Cloud data platforms• Web technologies• Computer Graphics• Data ScienceEach of the above teams collaborates closely to deliver technologies across a number of sports, products, and services. One of our core services is ball and player tracking in sports such as tennis, cricket, football, and US sports like major league baseball. We build end-to-end solutions - real-time tracking, data warehousing, low latency data streaming, and broadcast enhancements, including automated officiating (e.g. Hawk-Eye Live, Tennis).Our VAR system is used to help officiate in the biggest football competitions in the world, including the top leagues in England, Germany, Spain, Italy, France, and the USA, the UEFA Champions League, and the FIFA World Cup. Outside of football, our products are used in almost every major sport in the world, including the Olympics, American football, baseball, basketball, ice hockey, cricket, tennis, and golf.In addition to officiating, we are also used as a broadcast tool, providing the ability to add replays and graphics to TV productions. This ranges from working with massive productions like the Masters golf tournament (where we won a Sports Emmy for our product that allowed viewers at home to view every shot of the tournament at the click of a button) to smaller events on the tennis tour where we provide the entire production, including cameras which we remotely control to follow the play.Ultimately, we are flexible in our approach to software development. We do all of this with the support of the Product team, who facilitate projects and product development while delivering the technology into the hands of our operational teams.We actively balance the focus of product development and innovation, appreciating that both are extremely important to the success of our business. While we adopt a robust approach to software development we are aggressive with our innovation - this includes regular Hack-Days, creating opportunities to experiment, initiating creative ideas, and embracing failures (but failing fast).As part of our Development Team, you will be part of creating software that is integral to some of the biggest sporting tournaments, leagues, and federations in the world. Youll be able to see the results of your work on live TV, along with billions of sports fans around the world whose experience will be augmented by our software.Our Development team at Hawk-Eye is built on a culture shaped by openness and honesty, along with a desire to push the boundaries of technology and innovation. We are constantly learning so that we can keep up to date with modern ways of doing things, and we use our code review process to challenge each other to improve and work in the best way possible, regardless of seniority in the team. We have areas that specific individuals are responsible for, but we always work collaboratively so that everyone can gain knowledge across our codebase, and areas of responsibility change over time as team members progress. We are agile and strive for the highest quality in everything we produce, whilst always ensuring that the code we write is clear and maintainable.BenefitsIn addition to being a part of a great team, working in a fun and creative environment and learning from the best technical minds in the sports industry, we offer:• 25 days annual leave in addition to 8 public holidays;• Enhanced pension scheme (with 5% matching);• Flexible working• Complimentary Unmind app• Access to sporting events and tickets• Onsite Gym (Basingstoke)• Sony Group Company Discounts"
Machine Learning Integrations Engineer - MLOps,2023-01-30,2023-01-30 12:41:08,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=2VsydNVY6JoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Logikk,Full-time,NA,"London, UK","Lead Deep Learning Research Engineer - Documents AILondon (Remote or hybrid depending on your preference and base location)100,000+ depending on experienceThis organisation is on a mission to use AI & Deep Learning for the common good.The team already has several successful products that are making an impact on the lives of those using them and now have a defined product roadmap that will allow their customers to utilise the full power of bleeding-edge Vision technology.As Lead Deep Learning Research Engineer - within the Documents AI team, your role will focus on automating the understanding of paper documents at scale and you will be tasked with the creation of a new document processing feature for the existing platform by using the latest breakthroughs in Deep Learning/Computer Vision.You will get to learn new tech and further develop your skills however in order to be successful in this role you will need the following:• MSc/Ph.D. in Computer Science, Machine... Learning, Computer Vision, or similar.• Experience developing and building a document processing platform & experience with the latest generation of document processing techniques such as LayoutLMv3 or Visual Question Answering using joint language and vision models.• Ability to understand complex research and the underlying math• Experience with automated image segmentation and annotation• Ideally knowledge of Computer Vision libraries such as OpenCV, Scikit-image, etc...• Knowledge of Deep Learning algorithms such as CNN, RNN & Mask-Rcnn.• Programming languages  PythonBonus points for:• Experience in a web-based platform or SaaS productSome of their fantastic benefits are: Unlimited vacation Stock options. Work from anywhere. 7-day company retreats in stunning locations. New Apple hardware. London office with standing desks and 4K monitors.If youre looking for a new, exciting challenge and are interested in using your knowledge and creativity to make a meaningful impact, reach out to me at beckylogikk.com"
Machine Learning Researcher 3D,2023-01-30,2023-01-30 12:41:08,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=nNR5OjYR0NQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Client Server,Full-time,NA,"London, UK","Machine Learning Researcher London to 85kAre you a skilled Machine Learning Researcher with an interest in 3D modellingYou could be progressing your career at a fast growing tech start-up; the product enables the accurate and automatic conversion of real-world materials into a proprietary 3D format and has uses across a range of industries - you'll be working on really cool cutting edge technology.Your role:As a Machine Learning Researcher you'll have the opportunity to tackle some of the biggest unsolved problems in the 3D space, collaborating with the lead and wider team to help find solutions from initial research through to product feature engineering pipelines.Breaking down complex technical problems into their core components you'll brainstorm ideas, analyse the data, develop possible solutions and experiment to find the right one, analysing the performance of your models and working to improve predictions.There's a collaborative team environment so whilst you'll... be able to work with a great deal of autonomy you'll be supported and help to support others in the team. Contributing to brain-storming and debugging sessions to share subject matter expertise.You'll join the team in East London offices so you have access to the hardware; and will be supported to take ownership of your work, your ideas and recommendations will be heard within a close, collaborative working environment (with core hours of 1000-1600).Requirements:• You have commercial experience in a similar Machine Learning Researcher role• You're PhD educated, relevant fields of Machine Learning or Computer Vision and have a genuine interest in 3D modelling• You have strong Python skills combined with TensorFlow or PySpark; you're able to write production ready code• You have a strong foundation in mathematics and statistics• You're able to work independently and take ownership yet enjoy collaborative problem solvingSalary & benefits:As a Machine Learning Researcher you will earn a competitive salary (to 85k) plus equity shares.Apply now or call to find out more about this Machine Learning Researcher opportunity.At Client Server we believe in a diverse workplace that allows people to play to their strengths and continually learn. We're an equal opportunities employer whose people come from all walks of life and will never discriminate based on race, colour, religion, sex, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. The clients we work with share our values"
Machine Learning Engineer,2023-01-13,2023-01-30 12:41:08,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=J1UQCral1k4AAAAAAAAAAA%3D%3D&fpstate=tldetail,83DATA,Full-time,£40K–£50K a year,United Kingdom,"Machine Learning EngineerSalary: Up to 50,000 Per AnnumLocation: London (Remote)AboutThis is an amazing opportunity to work with an established team responsible for the development and evaluation of real-time video and analytics products. They are looking for an individual with the ability to design and deliver machine learning based algorithms and models into existing products to solve complex real-world problems. The importance of work-life balance, flexibility and equal opportunity is key to the company as well as competitive salary, they also have a wide range of benefits they offer.Main responsibilities:• Design, evaluation and implementation of ML algorithms and models for real-time video and analytics applications.• Supervision, creation and maintenance of data pipelines and supporting tools.• Extract insights from model and algorithm results• Communication with stakeholders to analyse business problems and clarify requirements• Providing structured updates and... demos to the wider team• Staying current with deep learning research and new technologiesEssential skills and experience:• Commercial experience of common deep learning frameworks (such as PyTorch, TensorFlow/Keras)• Coding in Python (2 years minimum)• Practical experience of training and evaluating deep learning models, including concepts such as transfer learning and fine tuning• Demonstrable experience in structured evaluation metrics and data representation techniques• Excellent mathematical skills• Understanding of data structures, data modelling and architecture and experience in building scalable applications• Working experience of Linux• Essentials of working in a team development environment (version control etc)• Understanding of MLOps principles and best practices• Agile development practicesTo find out more about this opportunity then please apply with your up to date CV to Kiera Rance.83DATA Limited is a boutique consultancy specialising in Data Science ML, AI, Big Data  Agile Software Development  Project Management within the UK. We provide high quality interim and permanent senior DATA and Tech professionals"
Senior Machine Learning Engineer,2023-01-30,2023-01-30 12:41:09,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=xs24GXku7YoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Robin AI,Full-time,NA,United Kingdom,"Who are Robin AIRobin AI is an exciting, venture-backed technology startup whose mission is to dramatically reduce the cost and complexity of legal advice. Backed by top London based VCs, Forward Partners and Episode 1, Robin uses a combination of human and artificial intelligence to review and edit contracts and is building software to fundamentally change the legal industry forever.Robin was established in March 2019 by CEO Richard Robinson (a former City lawyer) and CTO James Clough (a theoretical physicist who works in Machine Learning). They have since assembled a talented and diverse team of legal, software and machine learning engineers to build the next generation of contracting tools.Why is this role important to Robin AIOur tagline is make contracts simple. Machine Learning is the key technology that will enable us to make that goal a reality.We want to build a new, structured way for businesses to negotiate and manage contracts by replacing the outdated... Microsoft Word workflow with a browser-based, visual contract building application that will empower anyone to create a world class contract without a lawyer. Just like Figma has democratised design tools, and WebFlow has democratised website development, we want to give business owners, HR teams, procurement teams and in-house lawyers all over the world the ability to create, negotiate and query any business contract using our solution.Weve already made progress towards this product vision, but you will play a pivotal role in taking it to the next level.RequirementsOur Tech Stack• We train a mix of deep learning models (PyTorch, HuggingFace) and classic ML models (scikit-learn, XGBoost).• We use AWS services such as Sagemaker, ECS and Lambda to make these models available for use in our products (which are also hosted on AWS).• We use CircleCI to build and deploy, and all of our infrastructure is managed using Terraform.Sounds great! What are my responsibilities• Identify ways of improving the capabilities of our models, whether that means adopting new algorithms, using our datasets in a new way or acquiring different data.• Write high quality, well tested code that solves challenging problems.• Identify ways of streamlining our pipelines and help define best practices with a medium to long-term view.• Mentor and coach junior engineers, ensuring best practices are being followed.• Assist Product Owner with prioritising tasks, taking into account company objectives and goals.• Take ownership of projects, ensuring any risks or uncertainty are identified and communicated to appropriate stakeholders.What about my skills• You are comfortable contributing in all areas of the ML lifecycle, from initial data exploration all the way to deploying to production and monitoring.• You have an in-depth understanding of all aspects of Machine Learning, including feature engineering, model architectures, training algorithms, evaluation metrics etc.• You have shipped to and operated production systems.• You have worked in a start-up or similar size organisation and are passionate about building high quality products.• You have at least two years experience working in an engineering team.• You can manage your own schedule effectively while achieving measurable results.DEI  Robin AIWe want to break diversity, inclusion and equality barriers within the tech industry. In building our team, we welcome the unique contributions that you can bring, and welcome applications regardless of ethnicity, religion, sexual orientation, gender identity and expression, disability, education, opinions, nation of origin, languages spoken, age, pregnancy and maternity, or veterans statusBenefits• Competitive salary (between 80K and 100K, depending on experience)• Meaningful equity in the business• Flexible working, mix working from home & in our London office• Focus on continual learning and development• 25 days PTO, excluding bank holidays, cultural leave, and birthday leave• Unlimited, trust-based sick leave and enhanced gender-neutral parental leave• Technology to enable you to work seamlessly from the office or home• Free healthy breakfast on Tuesdays, cinnamon rolls on Thursdays, and a fridge of beverages ordered to request!We are deliberate about the culture we are building, and are committed to creating an inclusive environment that attracts the best talent from diverse backgrounds. Whether its helping curate the Robin Spotify playlist, discussing gender equality in tech, or taking a meditation break with our holistic health plan, we want you to find your space within the Robin community.From our offices in Devonshire Square, youll have access to all of the WeWork amenities including co-working space, bike lockers, pool tables, table tennis, free barista-made coffee and free beer in the evenings"
Machine Learning Product Manager,2023-01-30,2023-01-30 12:41:09,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=O2GBduxpg7AAAAAAAAAAAA%3D%3D&fpstate=tldetail,Spinks,Full-time,£80K–£100K a year,"London, UK","Machine Learning Product ManagerLondonHybridIm working with an amazing tech start up who are looking to scale up their team by hiring a Machine Learning Product Manager.Requirements:• 5 years+ experience in Product Management Roles• Experience working on Machine Learning products• Experience working with Jira and Metabase (or other similar systems and analytical tools)• KanbanWhat you'll be doing day to day:• Owning the product lifecycle• Creating and managing the roadmap that can be utilised by all members of the business• Utilise technology to improve the quality and quantity of deliverables• Successfully leading the team in all day to day activitiesIf this role sounds like something youd be interested in, please apply directly to this advert for immediate consideration!"
Machine Learning Lead,2023-01-30,2023-01-30 12:41:09,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=EF17WvOn5ooAAAAAAAAAAA%3D%3D&fpstate=tldetail,microTECH Global LTD,Full-time,NA,"London, UK","Job AdThe AI team is looking for an exceptional machine learning engineer in a leadership role to join the growing team. The ideal candidate will have industry experience working on a range of deep learning solution involving CNN, RNN etc. The position will involve taking these skills and applying them to some of the exciting problems in speech, audio and computer vision in an embedded platform.The team undertakes projects involving the application of cutting-edge research into proof-of-concept and commercial products for Samsung devices and services. The prospective candidate will have the opportunity to be part of building next generation mobile devices. The candidate will contribute to software development and research of new functionalities or enhancing current pipelines on flagship mobile devices. This position will require you to work closely with researchers, engineers and other leaders to enable and accelerate new research efforts for the AI department.Role and... ResponsibilitiesAs a Machine Learning Leader, You WillSupport and coach high performing machine learning researcher through regular 1:1s.Lead software engineering and development activities including requirements analysis, design, implementation, testing, deployment, and code maintenance.Understand and address software engineering questions that arise in research planning.Maintain knowledge of current and future software development tools and techniques for machine learning and AI research.Develop novel methods to improve on-device system performance, model size and accuracy.Develop and deploy state-of-the-art solutions for real-world large-scale AI problems with commercialization goals on devices.Have technical responsibility for one or more significant sections of the assigned research project.Translate complex functional and technical requirements into detailed design.Required SkillsMSc/PhD degree in Artificial Intelligence, Computer Science/Engineering, Electronics, Mathematics, or related disciplines (an equivalent period of industrial experience may be substituted).Demonstrated SuccessProfessional software development experience with C++/ Python is required.Consistently using conventional and readable coding style.Performing test-driven development.Creating comprehensive and well-written documentation.Participating in regular code reviews.Developing and maintaining reproducible build systems.Familiarity with software engineering practices and tools such as Git, CI, Agile, etc.Excellent knowledge of fundamentals of machine learning and deep-learning concepts such as deep neural networks and personalisation is required.A proven track record in AI model development and deployment (on embedded devices is a plus).Experience with programming using machine learning frameworks (strong experience in Tensorflow is a plus).Good familiarity with relevant python libraries (such as NumPy) and tools (such as TensorBoard).Excellent communication, team work and a results-oriented attitude.Proficiency in problem solving and debugging.Desirable SkillsResearch and development expertise of speech processing, and language modelling (e.g. speech recognition, NLP/NLU etc.) Project leadership and/or line management experience Expertise in deploying AI on Android.Publications in top ML/AI conferences (e.g. ICML, NeurIPS, Interspeech, SysML or similar).Contribution to open source ML frameworks such as -TensorFlow, TensorFlow Lite, etc"
Senior Machine Learning Engineer,2023-01-30,2023-01-30 12:41:10,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=uxVKqkps-EQAAAAAAAAAAA%3D%3D&fpstate=tldetail,FinTrU,Full-time,NA,"London, UK","This is an exciting opportunity for a Senior Machine Learning Engineer to join the FinTrU Data Science team to work in partnership with Product Management and Engineering to support and deliver on our Product Strategy and Vision.This role can be based at/near any of our offices in London, Belfast, Derry, Letterkenny or Porto.The role would be hybrid working, there would be an occasional need to attend an office in London, Belfast or Porto for collaboration.You should apply if you have:• 5+ years of Experience and working knowledge of ML frameworks for modelling and serving• Experience in Python programming, with exposure to C/C++ beneficial• Experience building and maintaining ML Ops pipelines in production settings, ideally using both open source and vendors toolsThis is an opportunity to work on:• Exciting greenfield products / Establishing and developing ML Ops framework for robust and fast embedding of ML models within the product• Defining priorities and roadmap ... deciding what we need first, and what to buy VS what to build, in partnership with other teams• Coach and mentor junior members of the team, demonstrating excellent technical expertise and leadershipFinTrU is an award winning technologically enabled Regulatory Solutions company. Employing over 1,000 people across the globe, we design technology enabled solutions to help FinTrU clients meet their regulatory obligations.Based in London, Belfast, Derry, Letterkenny and Porto, we want you to join us for the next phase of your career.Why FinTrUIn addition to your salary, pension, performance related award well provide you with a healthy benefits package, but what sets us apart is our:• Award winning office culture  as part of the FinTrU family, you can be part of our many Yammer Groups, from hiking to chess, 5-a-side to wild swimming, tag rugby to yoga theres something for everyone• Teamwork  we have our TRUcolours, women in finance and diverse committees promoting our different cultures across FinTrU• Wellness  To help raise awareness on maintaining good mental and physical health as well as helping our employees have a work/life balance. Browse through our social media pages for our Health & Wellness week, Spinathon for our charity partner, and much more.• Award winning L&D  our team is a support function dedicated to aiding all employees with their learning, throughout their FinTrU careerSocial Responsibility  we endeavour to create a sustainable, environmentally friendly workplace and to minimise our carbon footprintWhats FinTrUs EthosWe are first and foremost passionate about our people, and we recognise that the company progresses with the support of our employees who live the company values and demonstrate aspiration in abundance coupled with humility.Click on apply to complete an application via our company portal.You can also download a full Job Description on the portal"
Machine Learning Engineer,2023-01-30,2023-01-30 12:41:10,https://www.google.com/search?q=Machine+Learning+Jobs+United+Kingdom&ibp=htl;jobs&sa=X&ved=2ahUKEwjGl_aqhvD8AhVPMTQIHZLEBCYQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=W-DzLI8l53YAAAAAAAAAAA%3D%3D&fpstate=tldetail,Coalesce Management Consulting,Contractor,NA,"London, UK","Coalesce Management Consultancy (CMC) have an consulting assignment available for a Machine Learning Engineer to work on a project we have based in London.CMC provide expert engineering solutions on an international capacity for Software and other Advanced Engineering projects. Established in 2016, we set out our mission to be the best service-driven consulting business in global STEM markets, and after rapid growth in just a few years, we're already delivering true expertise to major technology brands and leading companies around the world.As we expand our reach and take on new projects, we have assignments available for experienced embedded technology to join our consultancy and deliver the expert solutions and high level of service we're known for across multiple ventures.By partnering with CMC you get the chance to work with some of the world's leading technology specialists. From our global offices we support you with each new project, providing a complete scope of work... definition ahead of any engagement so you know exactly what's required by the assignment, before you land on-site. As the project is completed we can continue to work with you by setting up your next project from our global network of leading technology companies.Join our latest projectCurrently we're looking for a Machine Learning Engineer to help us provide engineering support on a project based in London.In order to suit the project requirements you must have:- Machine Learning Experience- Experience with cloud platform solutions - Such as AWS/Azure- Understanding and validating AI models- Software ArchitectureIf you have the relevant capability and are interested in pursuing this assignment, talk to our sales consultants today:Get in touchNo terminology in this advert is intended to discriminate on the grounds of age or experience, and we confirm that we are happy to accept applications from persons of any age or experience for this role"
