Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Software Engineer - Machine Learning Infrastructure,2023-01-10,2023-01-30 12:43:49,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=BKe9-tnhbuUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Plume Design,Full-time,NA,Vietnam (+1 other),"Plumes Data Services team is looking for bright and ambitious ML Infrastructure Engineers to continue delivering industry-leading innovation at a rapid pace. Due to the massive scale requirements of our platform, you will be solving challenging problems on a daily basis using cutting edge technologies and advanced architectural patterns involving distributed systems and stateful services. This is a high impact role with immense growth opportunities and will truly put your software and machine learning engineering skills to the test.What Youll Do• Create a vision and construct a roadmap to build the fundamental machine learning infrastructure for the Data Science team.• Develop and deploy scalable tools and services to handle machine learning training and inference• Design data pipelines and engineering infrastructure to support our Plumes machine learning systems at scale• Apply software engineering rigor and best practices to machine learning, including CI/CD, automation... etc.• Empower team members to follow the machine learning and software engineering best practices.• Identify and evaluate new technologies to improve performance, maintainability, and reliability.• Support model development, with an emphasis on auditability, versioning, and data securityWhat Youll Bring• Education Requirements: BS/MS/PhD in Computer Science, Electrical Engineering or related technical field• 2+ years of industry experience in developing ML systems, with emphasis on MLOps• High proficiency in writing idiomatic code in Python and/or Scala• Exposure to machine learning and software engineering methodologies and best practices• Experience working with cloud computing and database systems, and machine learning technologies, such as AWS RDS, Sagemaker, Lambda, Spark (Databricks), MLFlow, Airflow• Experience and demonstrated capability to handle challenges with vague or abstract problem definition• Can work asynchronously with teams from different time zonesPlume Design focuses on Internet Service Providers and Cloud Data Services. Their company has offices in Palo Alto. They have a mid-size team that's between 51-200 employees. To date, Plume Design has raised $37.5M of funding; their latest round was closed on June 2017.You can view their website at https://platform.plume.com or find them on Twitter, Facebook, and LinkedIn"
Lead Data Scientist (Machine Learning),NA,2023-01-30 12:43:49,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=7Nv7UhNMQCcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Employment Hero,Full-time,NA,Vietnam,"Employment Hero is an Australian tech unicorn - valued at over $1.25 billion.Our world-class software is the easiest way for small and medium-sized businesses to manage HR, payroll, employee engagement, and benefits. Weve grown 100% year-on-year since our inception in 2014, and now service over 90,000 businesses and 850,000+ active users globally. We have exciting growth plans for 2023 and beyond, powered by our mission of making employment easier and more valuable for everyone.We take a Remote First approach with our team. Employment Hero can hire across the world, so long as candidates have eligible working rights and are in a suitable timezone to their colleagues. If youve got the skills for the role and the passion for our mission then we want to hear from you!About the Lead Data Scientist jobEmployment Hero is continuing to innovate and grow, and have now opened a new opportunity for a Lead Data Scientist who can join us and be foundational in establishing a Data Science... function.As our Lead Data Scientist, you will leverage our wealth of data gained through our broad Human Resources and Employee Experience products, developing new Machine Learning (ML) models, building advanced analytics and insights, whilst growing and developing a team of data professionals.Youll have an impressive challenge ahead of you, where youll provide sophisticated insights and intelligence, including for commercial use cases to our sales, marketing and product teams on customer trends and opportunities, and also to inform and build products for our clients where we can continue to make employment easier for small and medium sized businesses around the world.Were moving fast, and often build the plane while flying, were looking for someone who isnt afraid to start running from day 1.Some of your responsibilities will include:• Design, develop, maintain and manage our data warehouses /data lake• Build advanced Machine Learning / Analytics models• Work with our product and engineering teams to use your ML initiatives, including developing products• Be our data steward - own our governance, be a data security evangelist• Coach, mentor and develop a small team of Data Analysts in Data Science• Provide advice and work directly with our Chief Product and Technology Officer (CPTO) to scale the data function into the futureAbout your experience, skills and abilities:• Experienced as a Lead or Senior Data Scientist within a product lead technology business, including experience in ML for revenue generation• Deep hands-on experience with creating Machine Learning models from scratch and getting them into production• A passion for and confidence in Data Governance and stewardship• An experience or desire to manage and develop a team• Solid ability to code in Python, SQL, RNice to haves but not essential:• Masters or PhD in a relevant field• Experience with ETL or systems integration projectsSome of our benefits:• This is a fully remote position for anyone within Vietnam, we provide your laptop and other equipment to get you set up, plus an allowance for other items to get your desk ready• We have flexible working time - as most of our developers are based in Vietnam youll be working local business hours, Monday to Friday• Fully compliant with the Vietnam Labor Code, with Social Security based on full salary• 20 days vacation leave, plus 1 Leisure Rules day a year• Private healthcare package for you (plus spouse + children)• Budgets towards continuing your learning and other generous allowances• International annual company conference (Last conference we went to Phuket, Thailand!)• Refer friends to open jobs and receive a cash bonus for every successful referral you make• Participate in our Employee Share Options Program - youll be a part owner of Employment HeroWe celebrate diverse perspectives and experiences, and we celebrate and invite people of all backgrounds and identities to apply for this position.Why join Employment Hero• Raised $181M achieving unicorn status in February 2022• LinkedIn Top 25 Startups 2021, ranked #2 in Australia• The Australian Top 100 Innovators List 2021• Raised $140M Series E round led by Insight Partners July 2021• Raised $45M Series D round led by Seek 2021• Deloitte Technology Fast 50 2020, ranked #42 in Australia• LinkedIn Top 10 Startups 2020• Raised $22M Series C Round led by Seek July 2019• Raised $8 mill series B round led by Seek and OneVentures• Deloitte Technology Fast 50 2019, ranked #20 in Australia• GetApp Category Leader Q1 2019• Deloitte Technology Fast 50 2018, ranked #12 in Australia• HRD Gold Medalist - Human Capital Management Systems 2018• HRD Gold Medalist - Rewards and Recognition Service Provider 2018• HRD Rewards and Recognition Employer of Choice 2018• LinkedIn Top 25 Startups 2018• EY Entrepreneur of the Year National Finalist 2018#southeastasia#LI-HM1"
Remote Machine Learning Engineer Jobs,2023-01-21,2023-01-30 12:43:49,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=0Hih0--CvkkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Vietnam,"A US-based banking platform that enables businesses to provide financial services and solutions to customers, is looking for a Machine Learning Engineer. The engineer will be required to don multiple hats and contribute to cross-functional tasks like reviewing the existing architecture and proposing changes as necessary. The company's cutting-edge technology enables developers to build and launch market-ready credit, deposit, and crypto products in a matter of weeks. During their Series B round of funding, the company raised over $50 mn. This will be a long-term, full-time role requiring some overlap with the PST time zone.Job Responsibilities:• Build effective and scalable data pipeline• Help build and maintain ML models• Perform code reviews and architect new systems• Mentor other team members and guide them on implementing industry best practicesJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent experience)• At least 3+ years of... relevant experience as a machine learning engineer• Prolific skills with Python, Pytorch, and Tensorflow• Extensive experience working with MongoDB, Redis, ElasticCache, and AWS• Nice to have some experience with fintech, risk, credit, and crypto products• Fluent in written and spoken English"
BSV3-EA  AI Engineer (Artificial Intelligence),2023-01-09,2023-01-30 12:43:50,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=BearQXNQ2u8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Bosch Group,Full-time,"US$35,280–US$65,520 a year",Vietnam,"Company DescriptionThe Bosch Group is a leading global supplier of technology and services. It employs roughly 394,500 associates worldwide (as of December 31, 2020). According to preliminary figures, the company generated sales of 71.6 billion euros in 2020. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology.The Bosch Group comprises Robert Bosch GmbH and its roughly 440 subsidiaries and regional companies in some 60 countries. If its sales and service partners are included, then Bosch is represented in roughly 126 locations. This worldwide development, manufacturing, and sales network is the foundation for further growth.RBVH - Robert Bosch Engineering and Business Solutions Vietnam Company Limited is 100% owned subsidiary of Robert Bosch GmbH. RBVH has started its operations from 19th October, 2010 at E-Town2 in HCMC. This engineering development center will be engaged in developing... embedded systems and software, mechanical design and simulation, and will provide IT (SAP Consulting, JAVA Development.) and Business Services (Finance and accounting, Economics, Purchasing, Logistics, Translations Japanese-English-Japanese, Information Security ) solutions to the Bosch group of companies globally. Job DescriptionWork closely with the technical team in development of various Artificial Intelligence (AI) algorithmsDesign, implement and validate proposed AI algorithms;Direct communication, provide solution to global customersQualificationsBachelor's degree in Computer Science, Engineering, Information Systems, Computer Engineering, Mathematics, StatisticsExperience in one or more areas of AI, such as: Machine Learning, Computer Vision, Image Processing, Natural Language ProcessingGood understanding of the latest research and technologies in Artificial Intelligence;Experience in programming languages such as: Python, R, Matlab, C++, JavaHands-on experience with one or more deep learning frameworks (TensorFlow, Caffe, Theano, PyTorch)Technical hands-on experience in system integrationCommunicate technical concepts effectively to non-technical audienceStrong English communication and documentation skills, adaptable and a team player.Additional InformationWhy BOSCHBecause we don't just follow trends, we create them.Because together we turn ideas into reality, working every day to make the world of tomorrow a better place. Do you have high standards when it comes to your job So do we. At Bosch, you will discover more than just work.Benefits and Career OpportunitiesWorking in one of the Best Places to Work in VietnamJoin a dynamic and fast growing global company (English-speaking environment)13th-month salary bonus + attractive performance bonus (you'll love it!) + annual performance appraisal100% monthly basic salary and mandatory social insurances in 2-month probationOnsite opportunities: short-term and long-term assignments15++ days of annual leave + 1 day of birthday leavePremium health insurance for employee and 02 family membersFlexible working timeLunch and parking allowanceVarious training on hot-trend technologies/ foreign language (English/Chinese/Japanese) and soft-skillsFitness & sport activities: football, badminton, yoga, AerobicFree in-house entertainment facilities and snackJoin in various team building, company trip, year-end party, tech talks and a lot of charity events"
Remote Machine Learning Engineer - Head of ML/Data Jobs,2023-01-21,2023-01-30 12:43:50,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=EmOdfvtKHQsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Vietnam,"A US-based startup committed to designing, building, and managing high-performing revenue operations for businesses is looking to hire a Machine Learning Engineer. The engineer will develop machine learning models to classify news/PR/industry articles based on category tags derived from a learning data of 5000+ data points. The company has assembled a dynamic group of sales, marketing, and technology experts with a track record of leading growth for some of the worlds largest and most successful companies. The selected candidate will create and leverage existing ML models for text summarization to enable rapid analyst understanding and context. This is an excellent opportunity for those who would like to join the team in pioneering the future of B2B growth.Job Responsibilities:• Understand the business objectives and develop models to achieve them, along with metrics for progress tracking• Design and develop scalable machine learning systems• Research and integrate appropriate... ML algorithms and tools• Manage and lead the team executing the bottoms up build of a sales insight engineJob Requirements:• Bachelors/Masters degree in Engineering, Computer Science (or equivalent experience)• At least 3-5+ years of relevant Software, ML, or Data engineering experience• Baseline knowledge of full-stack development is desired• Nice to have some proficiency in Scala, Play-framework, HTML, Bootstrap, jQuery, JavaScript, and Python scripting• Have a keen interest in building from scratch rather than with frameworks• Competence in data science and algorithms to develop rules and scoring of quantitative information• Sound problem-solving aptitude• Familiarity with various machine learning frameworks and libraries• Ability to thrive in a fast-paced, collaborative environment"
Head of Data and AI (Vietnam),2023-01-27,2023-01-30 12:43:51,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=84H9OOt8OKMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Welovesupermom Pte Ltd,Full-time,NA,Vietnam,"Responsibilities• Drive the establishment and execution of the roadmap and vision for information delivery and management; including the enterprise data warehouse, big data, BI & analytics, AI and data governance• Lead data architects, data engineers and machine learning specialists to architect and deliver the solutions that fulfil the Business information needs and align with the information vision and strategy• Apply business strategy while driving technology strategy, balancing short term and long term needs• to ensure that the architecture can scale and evolve accordingly• Ensuring data and information security by integrating and upholding digital security systems• Create and support an environment of digital data-driven innovation and best practice, ensuring the• use of technologies for the benefit of stakeholders• Implement transformational change to enable the organisation to deliver data-driven products and• services which are efficient, effective and user-centric•... Identify and develop data-driven digital innovations to reduce operational inefficiencies and transform• work processes.• Facilitate organisations understanding of good data-driven digital experience and use data-driven• methods to enhance customer digital engagement.Key Performance Expectations• Grow, mentor and lead the AI, data analytics and data engineering team• Build on Supermom data & AI roadmap, lead the development of the AI and data vision, strategy and• capability plan• Develop Supermom data platform, and integrate the latest data models and data pipelines,• establishing a model management approach that is best in class for responsible data use and to• accelerate the processes of data analysis and decision-making• Create and embed a prioritization approach to develop a roadmap for data-driven innovation with• relevant processes, tools and metrics to support business objectives and new growth opportunities• Lead design of technology solutions pertaining to data quality and data security.• Derive KPIs, driving outcome and adoption for data-related digital transformation within the• organisation.Key Job Competencies• Experience of handling and preparing data, developing and training models and algorithms, and will understand how to implement model management/risk management• Expertise will include leveraging probabilistic computing techniques, machine learning and AI to generate insights from data, and understand the benefit and limitations of data.• Knowledge of the contemporary digital landscape of organisations and experience in designing, owning and evaluating organisational transformations to deliver scalable change that add value from data and information• Excellent communication skills to translate/frame complex problems using non-technical terms to help internal/external stakeholders translate their business objectives into digital strategies.• In-depth understanding of modern database and information technologies• Excellent problem-solving and analytical skills and strong facilitation skills to synergise digital• objectives across the organisation.• Good knowledge and understanding of data protection and privacy legislation, rights legislation and• frameworks, ethical frameworks for AI, policy and best practice• Excellent time management skills and the ability to work towards meeting multiple deadlines• simultaneously• Masters/Degree/Certifications in related disciplines in IT, Data Science or Data Analytics.• At least 5-7 years of hands-on experience in the areas of data warehouse, big data, BI & Analytics, data innovation, data collaboration, data governance and/or data change management.• Minimum 3-5 years recruiting & leading a team including data architects, engineers, quality assurance, and operations professionals• Proven experience of providing strategic and technical leadership to transforming organisations• Experience with modern data technologies in any of the following areas including; SQL Server, Oracle 11g, MySQL, SQL Data Warehouse Appliance, Oracle Exadata, Netezza, Greenplum, Vertica, Teradata, Aster Data, SAP HANA, Hadoop, SAS, SPSS, Spotfire, Tableau, Qlikview, R, Oracle Endeca, Oracle OBIEE, SAP Business Objects, SAS and other Analytics Vendors with BI component"
Machine Learning Internship - Remote and Long-term,2023-01-26,2023-01-30 12:43:51,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=F0KD4cq59hcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Workfully,Internship,NA,"Mỹ Tho, Tien Giang, Vietnam","Workfully is the decentralized hiring & upskilling marketplace. The world's fastest-growing and most innovative companies use Workfully to hire & develop talent globally.The CompanyOur client is a leading SaaS provider that develops, operates, and provides clients with AI services specialized in solving challenges in the accountingdomain.The RoleYou will join our research and development team for an AI engine that is a fundamental part of our accounting-area-focused AI service. We are looking for candidates who would like to work with us to incorporate cutting-edge technology and academia on machine learning into business.You will be involved in the development of AI technology, a key Ph.D. in the area of computer science element of business growth, together with the R&D team under thedirect supervision of the CTO. Examples of backgrounds of team members to workwith:- Ph.D. in the area of computer science- Research presenters at top conferences- Research experience in... the area of computer scienceWork Examples:- Model compression, speeding up inference speed- Research and development of OCR post-reading errorcorrection accuracyDepending on your ability and request, research work forpublication may also be an option.You must have- Laboratory research experience or equivalent knowledge in the areas of natural language processing, computer vision, and mathematical optimization- Programming experience in Python- Ability to use GitHub- Japanese language skills to analyze Japanese textsDesirable- Experience in writing research publications on machine learning- Work or internship experience at a company in a related industryBenefits- full remote- long-term internship"
MLOps Engineer,NA,2023-01-30 12:43:52,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=0cIPqMmPAscAAAAAAAAAAA%3D%3D&fpstate=tldetail,KNOREX,Full-time,NA,"Ho Chi Minh City, Vietnam","the About KnorexFounded in 2009, Knorex (https://knorex.com) is a technology company that provides programmatic advertising products and solutions to marketers to connect in real-time to their desired audience worldwide. Through its flagship universal marketing platform, Knorex XPO unifies the connectivity to each of the major marketing channels including social media, search, connected TVs/OTTs, video, audio, display/native, and email, in one place, while simplifying execution and optimization across these channels through AI automation. Knorex operates across the US and APAC.Why KnorexWe are constantly on the lookout to recruit the best and the brightest - from engineering to sales to account management to operations and HR.Knorex offers you many different opportunities to scale your ambition and creativity far and beyond. We embrace a dynamic and pragmatic way of doing things, setting ourselves up for long-term achievement yet relentlessly focused on delivering the... short-term goals. If you love the joy of building stuff and seeing them grow, growing yourself and others in the process, and challenging yourself to do stuff that you once thought impossible, we invite you to explore a career with us.Job DescriptionKnorex develops a cloud-based, highly scalable, all-in-one advertising and marketing platform called Knorex XPO (https://xpo.knorex.com/) where Advertisers, Agencies and Publishers can easily create, optimize & publish Dynamic Ads worldwide with speed and ease. As part of the platform offering, anyone can traffic their Dynamic Ads programmatically via automated buying through our in-house real-time bidder and optimizer.Real-time bidding (RTB) is a means by which advertising inventory is bought and sold on a per-impression basis, via programmatic instantaneous auction, similar to financial markets. The entire process generally takes place in less than 100 ms. Owing to the large and real-time stream of data, coming up with efficient and pragmatic solutions and algorithms to challenging problems will become imperative. At Knorex R&D, we apply large-scale machine learning (ML) models to optimize the return-on-investment of our advertisers budget. Tasks we work on include user interaction prediction, bidding optimization, contextual targeting, etc.We are seeking MLOps Engineers with the zest and passion to work on our in-house machine learning platform, which covers the whole life-cycle of machine learning, from data collection and augmentation pipeline, to model training and serving, to monitoring and analysis. You will be joining our R&D team working closely with Data Scientists, Research Scientists, and Software Engineers to build a highly scalable system that can handle billions of requests per day, all delivered in milliseconds.In this role, you will work on large-scale and low-latency ML systems. You need to acquire a deep technical understanding of the platform, work with our cross-country team located regionally to learn about the business and technical analytics requirements, and translate them into production system.Key Responsibilities• Plan, design and develop components in the data pipeline to enable various machine learning models in production.• Work closely with Data Scientists and Research Scientists to translate the state-of-the-art to production systems.• Develop metrics to measure the outcome/impact of your introduced solutions.• Investigate the existing pipeline, identify bottlenecks and optimize the throughput and latency of ML components.• Document and improve the solutions over time.• Evaluate and identify new technologies for implementation.• Communicate with our business and technical teams to understand the analytics requirements.• Respond and follow up to incorporate feedback and draw new insights.• Prioritize tasks to meet multiple deadlines.Requirements• Strong knowledge of Java is a must;• Strong knowledge of Python is a must;• Strong knowledge of algorithms and data structures;• Strong in analytics and problem solving technique;• At least 2-year working experience as ML/Data/Software Engineer or equivalent;• Prior experience with Elastic Search is a strong plus;• Prior experience with machine learning and NLP is a strong plus;• Understanding of online advertising technology and RTB is a strong plus;• Possess at least a Degree or Diploma in computer science / IT related;• Willingness to learn and able to pick up new technology or new concepts fast;• Able to work independently as well as in collaborative mode with minimum supervision;• Work productively even under pressure;• Possess good work ethic, attitude with good follow-through;• Reasonable communication in written and spoken English.Benefits• Competitive remuneration package including quarterly bonus payout.• SHUI as law stipulated, 14 days AL• MacBook provided• Comprehensive benefits scheme such as W3F (Work, Wellbeing, Welfare) Fund for courses, materials, personal health and wellbeing.• Work from home benefit.• Quarterly recognition program and long service reward.• Career growth and personal development scheme.• You will have the advance to influence and drive the changes, at Knorex we welcome good ideas and accept any possibility to make our company great.• We offer great learning opportunities, you will have exposure in cutting edge performance marketing and advertising technology.• Opportunity to work cross-country and with variety of projects of a different nature"
Senior Data Scientist,2023-01-30,2023-01-30 12:43:53,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=oxEs2rATbKMAAAAAAAAAAA%3D%3D&fpstate=tldetail,HackerTrail,Full-time,NA,Vietnam,"This posting is on behalf of client of HackerTrail--We are looking for a smart, enthusiastic, and creative Data Scientist with a strong background in Data Science.The qualified candidate will have an in-depth knowledge and working experience of most common machine learning techniques and their application using large data sets to derive key insights and recommendations.They must have a proven ability to drive business results with data-based insights. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.• Work with Product and Operations stakeholders, across geolocations, to curate model scenarios and identify objectives for machine learning.• Work on end to end ML initiatives from discovery, exploration, design, development to operational in production.• Work on data exploration, data cleansing, ingestion, data wrangling and feature engineering.• Develop supervised and... unsupervised machine learning algorithms and models.• Work with Machine Learning Engineer to operational and operate machine learning models at scale.• Partner with Global Operations Engineering team to measure and optimize model performance pre-production and post-production.• Engage and communicate model results & insights with stakeholders.• Explore new technology shifts, evaluate and recommend best practices related to AI and machine learning.What we look for :• Minimum 4-8 experience of relevant as data scientist working on various data science projects.• Experienced in developing machine learning models for real-world problems using R, python or other languages• Experience in Deep Learning and AI related project a huge plus• Familiar with big data technologies like Hadoop, Hive, Pig and Spark• Able to conceptualize prototypes and evolve them to full fledged solutions• Able to articulate the findings and work in a team environment• Strong experience on Google Cloud or GCP.NOTE: When we receive your job application for any of our clients at HackerTrail we create an account for you on HackerTrail.com so we can keep track of your application, and progress your candidature. You can choose to have your HackerTrail account deleted at any time by sending an email to supporthackertrail.com from the email address listed on your resume"
Machine Learning Expert,NA,2023-01-30 12:43:53,https://www.google.com/search?q=Machine+Learning+Jobs+Vietnam&ibp=htl;jobs&sa=X&ved=2ahUKEwjEzNz3hvD8AhXxHDQIHfeRBOIQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=bkhoBfKYYLcAAAAAAAAAAA%3D%3D&fpstate=tldetail,NIC Global,Full-time,NA,"Hanoi, Vietnam","Job Responsibilities (include, but not limited to the following):- We are seeking PhDs or experienced researchers in Machine Learning, Expert Systems, or Artificial- Intelligence to apply such technologies toward the development of an expert system that can help research worldwide financial markets. Candidates need not have prior knowledge of financial markets, as the new hire will work closely with our highly accomplished quantitative researchers in the financial marketsWe offer outstanding career opportunities, which include:- Competitive financial rewards, relative to performance and position- Friendly and collegial working environment- Opportunity for promotion and career advancement- Opportunity to work with a team of highly accomplished experts in the financial markets to develop a industry frontier machine learning system.Job Qualifications:- Ph.D. or M.S. degree from a top university in Machine Learning, Expert Systems, or Artificial Intelligence- Machine learning... related working experience at top tier companies.- Have on-hand machine learning experience in resolving realistic large scale machine learning projects.- Industrial experiences in expert system, game theory, MCTS, deep learning related projects are a big plus.- Proficient in C++ or Python programming; Knowledge of database is plus; Knowledge of parallel computation is plus.- Experience with time-series data analysis is a plus.- Have a research scientist mind-set, i.e., be a deep thinker, creative, persevering, smart, a self-starter, etc.- Possess good English language skills- Have a strong interest in learning about worldwide financial markets- Have a strong work ethicPosition based in Hanoi, Vietnam"
