Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-10,2023-01-15 10:58:19,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=If35Kdg0TBsAAAAAAAAAAA%3D%3D&fpstate=tldetail,The Onset,Full-time,NA,"Sydney NSW, Australia","Job Description

Build software, save the world!

Seriously though, if there was a company capable of world-saving activity it’s this tech start-up whose cutting-edge technology is designed to solve practical problems at scale on land, in the air, in the ocean’s depths, and in space!

They’re looking for a Machine Learning Software Engineer to join their hybrid Sydney office to help the Machine Learning team build intelligence to drive all unmanned systems moving forward.

They have offices abroad too so if you’re keen for some international travel, get your passport ready because this company is a serious advocate of having its employees take advantage of global office-hopping.

The role of a lifetime…

You will be instrumental in designing, developing, implementing, and maintaining software that supports the computer vision technologies their clients use to monitor their infrastructure assets.

Coming in with 3+ years of software experience, Python, SDLC experience and a knack for... problem-solving thanks to strong analytical and mathematical skills, you likely come with a piece of paper ascertaining your talent for Computer Science, Maths or Statistics.

Desirables…
• Experienced Machine Learning or Computer Vision
• Background in Computer Science, Mathematics or Statistics
• Experienced working in the cloud

Throw in some awesome company benefits (including a profit share scheme), PTO, and money in the bank (the salary is super competitive)… and why not give Jake a call on 0488 250 441 or email jake@theonset.com.au.
• Sponsorship and remote working unavailable"
Machine Learning Engineer,NA,2023-01-15 10:58:20,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=P1u9ghqWlcAAAAAAAAAAAA%3D%3D&fpstate=tldetail,GumGum,Full-time,NA,"Sydney NSW, Australia","ML Engineer

Australia

Who we are…

PLAYGROUND XYZ is an advertising technology business headquartered in Sydney with operations in Australia, New Zealand, Singapore, London, Los Angeles and New York.

Our mission is to master the art and science of measuring and maximizing attention. To do this, we’ve built the world’s first ML system that can measure how long an ad was looked at (a metric we call Attention Time). Fuelled and verified by real eye tracking data, but able to throw off the shackles of panels and instead scale infinitely across the world wide web, our system is set to revolutionize the way that digital media is measured, bought and sold.

We are an enthusiastic global team and a fast-growing business with every major agency group and a great list of top tier publishers using our technology. We’re a team of adtech experts with an unrelenting focus on quality products and technology. Our tech is being used by top 100 brands across the globe. We’ve won coveted ‘Marketing... Technology Company of the Year’ awards from both B&T and Mumbrella and featured twice as a Rising Star in the Deloitte Fast 50 Technology Awards.

The opportunity…

To support our next phase of product development we’re looking for an ML and Data Science focused engineer to join our Attention Science product team and report into our Chief Scientist. The Attention Intelligence Platform (AIP) is the world’s first machine learning powered ad stack built to measure and maximize Attention Time on ads. AIP depends on high quality eye tracking panel data collected in ad recall studies. It’s an award-winning solution for brands that want to succeed in the attention economy and secure the best possible results from their ad spend.

In this role you’ll be developing machine learning models and integrating them into our mobile application data processing stack. These apps help us identify ads as they appear in native environments, and correlate with our eye tracking technology to measure attention time on ads. Key skills include: Experience with object detection systems in pyTorch or TensorFlow. Experience in optimizing ML systems for latency and model size. Experience with building cloud based ML Solutions using technologies preferably in GCP.

What you’ll be doing…
• Building and evaluating CV object detection models for mobile apps screens
• Integrating models into a GCP scoring pipeline
• Developing post-processing algorithms that integrate multiple detections
• Optimizing pipelines that balance performance tradeoffs (accuracy vs speed)
• Working with pipeline engineers to optimize performance in cloud
• Reducing model size or methodology where appropriate
• Working with our data labeling team for new object detection projects

Who you are…
• 5 to 8 years as a Software Engineer
• You have 3+ years experience in a machine learning development role
• Strong programming skills with Python and Unix
• Experience with Object Detection methods and packages (e.g. YOLO)
• Experience in setting up model training pipelines in the cloud (preferably GCP)
• You focus on practical outcomes rather than the latest algorithms.
• Open and collaborative nature:
• * You provide detailed documentation on your experiments
• You are open to discuss your experiments and work through problems.

The perks…
• The opportunity to ride a rocket ship. You’ll play a pivotal part in our business during its 'scale up' phase by supporting the delivery of game-changing new products.
• An amazing company culture, driven by passionate people who love their work, but also love to have FUN!
• The opportunity to work with some cutting edge technologies as well as the freedom to continue to push the boundaries of what we do.
• Career progression galore. The company is growing at a crazy rate and you will be too!
• A progressive work from home policy.
• A competitive salary package"
Machine Learning Engineer,NA,2023-01-15 10:58:21,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=pEQDNxdu8AcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Rokt,Full-time,NA,"Sydney NSW, Australia","About Rokt

Rokt is the global leader in eCommerce technology, helping companies seize the full potential of every transaction moment to grow revenue and acquire new customers at scale. Live Nation, Groupon, Staples, Lands' End, Fanatics, UrbanStems, GoDaddy, Vistaprint and HelloFresh are among the more than 2,500 leading global businesses and advertisers that are using Rokt's solutions to drive more value through every transaction by offering highly relevant messages to their customers at the moment they are most likely to convert.

With our December 2021 Series E raise of USD$325M, Rokt is expanding rapidly and globally – operating in 14 countries across North America, Europe and the Asia-Pacific region with the largest office in NYC and a major R&D hub in Sydney. With more than 50% year-on-year revenue growth and vibrant company culture, Rokt has been listed in ‘Great Places to Work’ in the US and Australia. Our award-winning culture is guided by our eight core values: Smart with... Humility, Conquer New Frontiers, Own the Outcomes, Enjoy the Ride, Force for Good, Raise the Bar, Communicate with Impact, and Disagree then Commit. These values help us attract, engage, and develop the right talent around the globe and ensure we have the right conditions to do our best work. Keen to join a fast-growing company and a vibrant culture? Learn more at rokt.com.

The Rokt engineering team builds best-in-class eCommerce technology that provides personalised and relevant experiences for customers globally and empowers marketers with sophisticated, AI-driven tooling to better understand consumers. Our bespoke platform handles millions of transactions per day and considers billions of data points which gives engineers the opportunity to build technology at scale, collaborate across teams and gain exposure to a wide range of technology. We are expanding rapidly in our major R&D centres in NYC and Sydney. We are passionate about using intelligent systems to improve the transaction moment for retailers everywhere. Come join us and build the future!

About the role

As a Senior Machine Learning Engineer, you are someone who has significant expertise in both machine learning and software engineering. You will be working with our engineering and product teams to design, build and productionise proprietary machine learning models to solve different business challenges including smart bidding, lookalike modelling, forecasting, etc.

Responsibilities
• Collaborate closely with product managers and other engineers to understand business priorities, frame machine learning problems, and architect machine learning solutions.
• Build and productionise machine learning models including data preparation/processing pipelines, machine learning orchestrations, improvements of services performance and reliability and etc.
• Contribute and maintain the high quality of the code base with tests that provide a high level of functional coverage as well as non-functional aspects with load testing, unit testing, integration testing, etc.
• Keep track of emerging tech and trends, research the state-of-art deep learning models, prototype new modelling ideas, and conduct offline and online experiments.
• Share your knowledge by giving brown bags, tech talks, and evangelising appropriate tech and engineering best practices.
• Mentor other team members, facilitate within/across team workshops and lead the agile development.
• Bachelor’s degree in Computer Science, a similar technical field of study or equivalent practical experience.
• 3+ years of industry experience in building production-grade machine learning systems with all aspects of model training, tuning, deploying, serving and monitoring.
• 5+ years of industry experience in software engineering roles and development experience in Python, SQL, Go, and/or other programming languages.
• Strong understanding of software engineering, system design, data engineering and/or cloud architecture.
• Knowledge in at least one of the following areas - Bayesian methods, Econometrics, Reinforcement learning, Gradient boosting machine, Natural language processing, Computer vision, etc.
• Be motivated, and self-driven in a fast (we truly mean fast) paced environment with a proven track record demonstrating impact across several teams and/or organisations.
• Ability to communicate and collaborate effectively with business stakeholders and manage tasks in a timely manner.
• At Rokt we encourage autonomy; teams have complete ownership of their systems including building, running and monitoring. As such, you may be required to be on-call and respond to systems alerts should they arise.
• Ideas, opinions, and the ability to share them through respectful proposals, presentations, and team-wide discussions, An eagerness to work and learn in the open and share your learnings with your teammates.
• Experience in DevOps, MLOps and SRE is a massive plus.
• Experience with Kubernetes, Kubeflow, TFX and Feature Store in a production environment is a massive plus.
• Work with the greatest talent in town. Our recruiting process is tough. We hold a high bar because we have a high-performing, high-velocity culture - we only want the brightest and the best.
• Join a community. We believe the best things happen when we come together to solve complex problems and make meaningful connections with each other through interest groups, sports clubs, and social events.
• Accelerate your career. Develop through our global training events, ‘Level Up’ investment, online training courses, and our fantastic people leaders. Take your career to Rokt’speed - Grow your career in our rapidly growing company.
• Take a break. When you work hard, we know you also need to rest. We offer generous time off and parental leave policies, as well as mental health and wellness days for all employees. We also believe taking time off in sync with one another is important. As such, we shut down our offices every year in late December/early January for two weeks, partially sponsored by the company. We also offer a paid Rokt’star Sabbatical for employees who have been with us for 3 years or more.
• Stay happy and healthy. Enjoy catered lunch every day and healthy snacks in the office. Plus join the gym on us! Rokt offers a monthly allowance to use on a gym membership or online fitness classes. We also provide all Rokt'stars access to free 1:1 coaching, therapy and digital mental wellness resources.
• Become a shareholder. All Rokt’stars have stock options. If we succeed, everyone enjoys the upside.
• See the world! Along with our global all-staff events in amazing locations (Phuket, Thailand in January 2020, Hawaii in May 2022), we also offer generous relocation packages for those interested in moving to another Rokt office. We have cool offices in great cities - New York, Sydney, London, Singapore, and Tokyo.
• We believe we are better together. We spend most of our time in the office (most teams are 4 days a week). One week per quarter, you also have the flexibility to work from anywhere.
• We believe in equality. Rokt is an Equal Opportunity Employer and recognises that a diverse workforce is crucial to our success as a business. We would love you to apply for one of our open roles - irrespective of socio-economic status or background, age, gender identity, race, religion, sexual orientation, colour, pregnancy, carer/family responsibilities, national and social origin, political opinion, marital, veteran, or disability status.

Salary Range - $185,000 - $287,500 AUD per year plus equity

#LI-Hybrid"
Python Developer (Machine Learning),2023-01-12,2023-01-15 10:58:21,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=-MzAsmOOfEQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Relevance AI,Full-time,NA,"Sydney NSW, Australia","🔥 We're building 2.0 of the modern data stack going from E-T-L to E-AI T-L by bringing the magic of SQL transformations to all data including text, images, audio and video. Our product is built for no-code users to get started with AI to accelerate their workflows and for data teams to productionise ML pipelines for unstructured data.

👁️ Our vision is to be the backbone for AI workflows of teams and companies globally and democratize access of AI to people without coding backgrounds.

⚔️ We're looking for a Python developer with data science knowledge who is obsessed with building product to join our amazing workflows team. You'll get to work on interesting machine learning problems, ship product, learn every day and change the future of data. As a product data scientist, you will be able to work with cutting-edge technologies due to the flexibility of our internal platform. One day you may be researching and building a new way to provide OCR capabilities to our clients, the next... you may be researching cutting-edge natural language processing techniques to help build. This is a cross-functional role so you’ll be working with the best infrastructure engineers, frontend engineers, sales and customers.

🎙️ If you are interested, please send me a LinkedIn message of several things you have built in the past (Github repositories, Python packages, websites"
Machine Learning Engineer,2023-01-04,2023-01-15 10:58:22,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=6d8Z2vZgKasAAAAAAAAAAA%3D%3D&fpstate=tldetail,Anduril Industries,Full-time,NA,"Sydney NSW, Australia","Anduril is a defence technology company, bringing Silicon Valley talent and funding to the defence sector. Our technology helps our customers solve their toughest challenges by enabling them to make better, more informed decisions in life-and-death situations. We’ve assembled a diverse team of experts in artificial intelligence, computer vision, sensor fusion, optics, and data analysis that are creating software and hardware solutions to radically evolve the capabilities of the Australia and our allies. If you are passionate about solving problems that have real impact, come join Anduril and build the future of defence.

WHAT YOU’LL DO:
• Develop software to manage and automate the machine learning lifecycle
• Build Data pipelining
• Create Data annotation tooling
• Automation of Model Training
• Model Evaluation and Regression Testing
• Model Validation
• Model Deployment

REQUIRED QUALIFICATIONS:
• B.S. or M.S. in Computer Science or related field
• 3+ years experience developing... production grade software
• Passion for automating machine learning workflows
• Interest in working on challenging engineering problems related to machine learning, computer vision, image and video processing
• Proficiency in Python, Docker, CircleCI and Linux
• Experience or familiarity working with microservices architecture
• Experience with C++
• Ability to obtain an NV2 security clearance

PREFERRED QUALIFICATIONS:
• Automating various aspects of the machine learning lifecycle
• Deploying quality machine learning models in production
• Workflow management tools such as airflow, kubeflow, etc.
• PyTorch, or other deep learning frameworks
• Image processing libraries such as OpenCV
• C++ for edge ML applications
• C++ inference engines such as TensorRT
• Go programming language
• Front-end UI / Javascript
• developing and working with gRPC services
• Multithreading and multiprocessing
• Knowledge of and experience with NixOS (http://nixos.org)

Anduril is an equal-opportunity employer, and we encourage candidates from all backgrounds to apply. If you are someone passionate to work on problems that matter, we’d love to hear from you"
Senior Machine Learning Engineer,NA,2023-01-15 10:58:22,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=AC5fZkGBI1EAAAAAAAAAAA%3D%3D&fpstate=tldetail,Neara,Full-time,NA,"Sydney NSW, Australia","WHAT YOU WILL DO

As our Senior Machine Learning Engineer, you will build and optimise machine learning models and algorithms that will be applied to millions of critical infrastructure assets.

As part of this, you will:
• Develop approaches to generate accurate models from imperfect data using deep learning and classical algorithms
• Develop approaches for intelligent network scale insights
• Develop and optimize training pipelines
• Develop data structures that can perform in real-time with user interaction on large underlying data sets
• Work with a variety of data sources, including LiDAR, aerial photography & photogrammetry, and structured data.
• Put your software engineering skills to the test in organizing functionality for many use cases in a complex domain (this is not an ""on click button, send RPC"" kind of application)
• Mentor other engineers in best practices

WHO YOU ARE

You're an experienced Senior Machine Learning Engineer with a strong background in software... development and machine learning. You have a Bachelor's Degree in Computer Science (or equivalent) and you're passionate about building complex deep-learning and neural networks. You have a superb working knowledge of Python and C++ and you've worked on complex enterprise software solutions throughout your career. Most of all, you’re highly motivated to build best-in-class solutions and solve complex, meaningful problems.

We're ideally looking for someone who is based in Sydney and can work from the office from time to time, but we'll definitely consider exceptional candidates from other parts of Australia.

WHO WE ARE

Neara is a high-growth utility software company headquartered in Sydney, Australia. We have secured our Series B funding and are backed by some of the best investors in Australia, including Square Peg Capital and Skip Capital.

Our mission is to empower organizations by bringing them closer to their assets, environment, and business through intelligent software solutions. As a result, we are tackling the toughest challenges in the rapidly evolving energy and infrastructure sector.

Our proprietary software platform generates three-dimensional digital models of infrastructure assets, enabling complex, engineering-grade analysis to be performed at scale. We enable utilities and infrastructure asset owners to enhance the operation and performance of their assets by optimizing capital spending, reducing operational costs, and improving safety and risk management.

We’re growing globally and we are passionate about the role that Neara is playing in reshaping and evolving the industry at a critical time in its history.

WHAT WE ARE OFFERING YOU
• Competitive salary + ESOP
• Career development and growth opportunities
• Flexible hours and working arrangements
• Awesome work culture
• Complex, meaningful products & real world problems"
Machine Learning Data Scientist,NA,2023-01-15 10:58:23,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=hs18PxMDtn4AAAAAAAAAAA%3D%3D&fpstate=tldetail,"Susquehanna International Group, LLP (SIG)",Full-time,NA,"Sydney NSW, Australia","Overview

Once in the team you will bring your machine learning expertise to bear on all aspects of the trade pipeline. You must have the ability to build models for high-frequency asset price prediction, to analyse the resulting trades, and to build models for better understanding of latency implications, etc. You must be able to explain clearly your ideas and results to the rest of the team.

In the role you will:
• Contribute techniques from machine learning towards improved automated trading systems.
• Work with traders, quants, software developers in a highly focused team building, deploying and improving automated trading systems.
• Research, implement, test, deploy and monitor proprietary systems trading across multiple markets and financial products. We work at all levels of the problem domain from market data handlers through trade monitoring.
• Work with python systems to extract the data you will require; (Preferable C++ but not a must)

What we're looking for
• Ph.D. in... Computer Science/ Quantitative subject (statistics, math, engineering, physics).
• Comfortable programming python in a Linux environment.
• You have developed real-world ML applications and have a strong interest in finance and trading.
• Strong interpersonal skills with the ability to liaise with senior/executive trading staff.
• Ability to work autonomously and as a member of inter-departmental teams.

We don’t post salary ranges externally so any salary estimate you see listed on a third party website was not provided by SIG and may not be accurate.

SIG is not accepting unsolicited resumes from search firms. All resumes submitted by search firms to any employee at SIG via-email, the Internet or directly without a valid written search agreement will be deemed the sole property of SIG, and no fee will be paid in the event the candidate is hired by SIG.

#efc-multi"
Data Engineer Machine Learning,2023-01-11,2023-01-15 10:58:24,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=i1NgyxOF8ZEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Charterhouse,Full-time,NA,"Sydney NSW, Australia","Engineering - Software (Information & Communication Technology)

Data Engineer (Machine Learning)
Salary: $180k Package
Location: Sydney, CBD (Hybrid)
About The Company
Global leader in ecommerce technology, helping companies seize the full potential of every transaction moment to grow revenue and acquire new customers at scale. Live Nation, Groupon, Staples, Lands' End, Fanatics, UrbanStems, GoDaddy, Vistaprint and HelloFresh are among the more than 2,500 leading global businesses and advertisers that are using their solutions to drive more value through every transaction by offering highly relevant messages to their customers at the moment they are most likely to convert.
Responsibilities
● Collaborate closely with product managers and other engineers to understand business priorities, frame machine learning problems, architect machine learning solutions.
● Build and productionize machine learning models including data preparation/processing pipelines, machine learning... orchestrations, improvements of services performance and reliability, etc.
● Contribute and maintain the high quality of code base with tests that provide a high level of functional coverage as well as non-functional aspects with load testing, unit testing, integration testing, etc.
Requirements
● Bachelor’s degree in Computer Science, a similar technical field of study or equivalent practical experience.
● 5+ years of industry experience in building production-grade machine learning systems with all aspects of model training, tuning, deploying, serving and monitoring.
● 2+ years of industry experience in software engineering roles and development experience in Python, SQL, and/or other programming languages.
● Strong understanding in software engineering best practices
● Knowledge in at least one of the following areas - Bayesian methods, Econometrics, Reinforcement learning, Gradient boosting machine, Natural language processing, Computer vision, etc.
How to Apply
Click APPLY or contact Jack on {removed}.au for a confidential discussion.
{removed}.au

Don’t provide your bank or credit card details when applying for jobs.
Reviews from people working in the industry"
Machine Learning Engineer,2022-12-22,2023-01-15 10:58:24,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=tJMsr3vQlj4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Maltem Australia,Full-time,NA,"Sydney NSW, Australia","Who we are

Maltem Group is a community of 1,200+ passionate individuals dedicated to innovation, new technologies, data, and digital transformation projects.

Founded in 2001 and located in 13 different countries, our footprint covers France, Singapore, Hong Kong, Vietnam, Philippines, Luxembourg, Belgium, Madagascar, Mauritius Island, Morocco, US, Canada and Australia. Our expertise consists of 20+ years of market knowledge in the business organization, digital practices, agile, data management and innovation.

Maltem APAC is composed of highly experienced practitioners. We work closely with clients to understand, connect, improve organizational effectiveness, and deliver value faster.

Our aim is to support our partners in building a sustainable competitive advantage in their industry and be at the forefront of innovation and customer experience.

Join our Data and Analytics team as we continue our journey to build innovative cloud-based data solutions. Our engineers operate in a... collaborative and autonomous environment where they are empowered and continuously learn, becoming masters in their craft.

This is a fantastic opportunity for someone who is passionate about big data technologies, enjoys solving problems and takes pride in delivering high quality solutions. You will work in a multi-talented, diverse team across multiple geographical locations and implement solutions in a fast-paced environment.

Skills and Experience:
• Minimum 2-3 years of experience in Machine Learning Engineering (AWS Sagemaker preferred)
• Strong background in Linux and shell/bash scripting
• Basic understanding of end-to-end Machine Learning pipelines (including the ML algorithms involved)
• Experience in deploying Machine Learning models (Batch or Real time)
• Experience troubleshooting and monitoring AWS environment and services
• Understanding of data engineering tools and languages including SQL, Python, Red Shift & Glue will be added advantage
• AWS certification will be added advantage
• Great communication and collaboration skills.

Internal life @Maltem
• A community of practitioners that you can contact anytime
• Regular lunch and coffee catch-ups with our wider community
• Team Building activities
• Sports activities that can happen after work or during the weekend (voluntary-basis)
• Work at our new offices where we have open space, free drinks, and plenty of other advantages
• Possibility to work overseas for Maltem Group
• Possibility to be part of advisory and greenfield projects
• Possibility to be mentored or mentor someone during your journey with Maltem
• We take care of each other, and our employees are at the heart of everything we do.

We take care of each other, and our employees are at the heart of everything we do. We are community driven. By joining us, you will have access to a pool of passionate experts across data engineering, analytics, data science Change and Project Management.

So, are you ready to join us"
Sr. Data Scientist,2022-12-16,2023-01-15 10:58:25,https://www.google.com/search?q=Machine+Learning+Jobs+Australia+Sydney&ibp=htl;jobs&sa=X&ved=2ahUKEwjSkMGvk8r8AhXFAjQIHTi8AMQQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=j8hB3sEaRXYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Visa,Full-time,"US$68,428–US$135,000 a year","Sydney NSW, Australia","Company DescriptionVisa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.Join Visa: A Network Working for Everyone.Job DescriptionWhat a Senior Data Scientist, Visa Consulting & Analytics does at Visa: In this role, you will be reporting to the Delivery... Lead for Data Services, Australia. You are expected to have excellent problem-solving skills with the use of advanced analytics, machine learning, AI and a sharp focus on execution. You will be working with colleagues across the organization to help shape Visa and partner’s business strategies by mining and interpreting data and generating relevant and meaningful insights that informs the strategy.You are expected to be hands on and have the required knowhow to work with big data using cutting edge machine learning, AI solutions. The role will involve close collaboration with data science analysts, members of the broader team in Visa Consulting and Analytics and other business stakeholders.The role would be focused on the broader Australia and New Zealand market and will be based in Sydney.Key ResponsibilitiesWork with large, complex data to measure results, build and develop predictive models, non-routine analysis problems, applying advanced analytical methods as needed. Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.Lead development and application of new methodologies and analytic techniques, promoting best practices in the field.Build well-managed data solutions, tools and capabilities to enable self-service frameworks for internal or external stakeholdersCollaborating with the internal teams to fully understand business requirements and desired business outcomesProviding thought leadership in both using data to solve business problems and in arriving at innovative statistical solutionsEnsuring all project documentation is up to date and maintain the highest levels of quality in deliverablesEnsuring project delivery within timelines and budget requirementsContribute to the development of the team’s analytical skills and expertise.Cultivates open and clear communications across team members and stakeholdersThis is a hybrid position. Hybrid employees can alternate time between both remote and office. Employees in hybrid roles are expected to work from the office two days a week, Tuesdays and Wednesdays with a general guidepost of being in the office 50% of the time based on business needs.QualificationsProfessional• 8 plus years of hands-on analytical experience in relevel field• Subject matter expert in analytics especially in areas of analytical methodologies • Able to connect data visualisation insights with business problem• Superior analytical and problem-solving skills, with demonstrated intellectual and analytical rigor• Team oriented, collaborative, diplomatic, and flexible, with excellent presentation skills, including strong oral and writing capabilities• Experienced in working across a matrixed organization• Excellent communicator, should have the capability to translate numbers to business insights• Strong interpersonal and leadership skills with effective written and verbal communication skills and the ability to present complex ideas in a clear and concise way, a team player with good work ethics• Experienced in working across a matrixed organization• Previous exposure to financial services, credit cards or merchant analytics is a plus, but not essentialTechnical• Proficiency in coding skills using Hive, Python, and Pyspark on large datasets• Competency in data visualization software such as Tableau, Power BI etc. • Competent understanding of the recommender system, classification techniques, time series and regression models are recommended• Proficiency with Microsoft Excel and Powerpoint• Proficiency with collaboration tools within Microsoft Office 365 is required• Experience and in-depth knowledge of the cards and payments business are preferredBusiness• Excellent relationship and stakeholder management skills• Expert in presenting ideas and analysis to stakeholders• Very detailed oriented, is expected to ensure highest level of quality and rigor in reports and data analysis• Global mindset, desire and demonstrated ability to work cross culturally and in a matrixed organization• Ability to execute and solve problems independently• Proven skills in translating analytics output to actionable insights and recommendationsAdditional InformationVisa has adopted a COVID-19 vaccination policy. As a condition of employment, all employees based in the country where this job is located are required to be fully vaccinated for COVID-19, unless a reasonable accommodation is approved or as otherwise required by law"
