Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-30 12:12:15,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=BX7UTedT6yQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Radix.AI,Full-time,NA,"Brussels, Belgium","Are you ready to become your best self and deliver impact with AI?

“At Radix, we deliver AI solutions that have a positive impact on the world. We are driven, go the extra mile and we have lots of fun! We foster an open culture of collaboration and knowledge sharing where everyone has a voice. We want to improve as many people’s lives as possible and we look for people who share the same commitment. Let’s create a better future. Together.”

How will you make the difference?

With your talent, passion, and expertise, you’ll become part of an amazing team that makes the impossible possible! In this role, you’ll have the opportunity to work and learn, on impactful & rewarding challenges, including:
• Designing and implementing Machine Learning solutions using for example Transformer models, Convolutional Neural Networks, Unsupervised Learning, etc.
• Building and deploying reproducible and scalable solutions on cloud infrastructure.
• Distributing training across GPUs with data and... model parallelism.
• Scaling Machine Learning models to thousands of users.

Which clients will you be working for?

All our clients are chosen with respect to our values and beliefs at Radix. Therefore, we offer you the opportunity to join one of the leading AI solution providers and work together with a breadth of industries and like-minded organizations, including GSK, Brussels Airport, Atlas Copco, Flanders Investment and Trade, VDAB, Belga, Macadam, House of HR and many more. Visit our website https://radix.ai/ for client testimonials and case studies.

What will be the recruitment process?

We love to be transparent to you about the hiring process. Then you’ll know exactly what to expect!
• Step 1 - Interview
• We will go over your motivation, cultural fit, values, and any questions you have for us.
• Step 2 - Technical challenge:
• This challenge will be planned on workdays so we can kick off the challenge together.
• Step 3 - Face to face interviews with your future colleagues: :
• Technical interview: It allows you to learn more about the content of the job.
• Business case: We will show you what it's like to work at Radix. Based on a real-life business case we would like to get to know your practical approach and how you would interact with clients. If the feedback is positive, we make you an offer to join us at Radix! :)

What will we offer you?

At Radix, you’ll be part of a passionate & experienced team. Next to that, we organize frequent happy hours and team events to never forget! Your energy, drive, and commitment will be much appreciated by means of a competitive salary with a great package of extra benefits:
• A flexible work from home policy to choose where, how, and when you want to work.
• A cool, easily reachable office in Brussels (right above the central station).
• Your own MacBook Pro, phone subscription, monitor, etc.
• Monthly fixed cost, internet allowances.
• A hospitalization & dental insurance with DKV for you and your family members.
• Group insurance.
• Meal and eco vouchers.
• Full coverage of transportation costs.
• Additional Radix holidays.

Still not convinced? Visit our website to discover why Radix will be your dream workplace: https://radix.ai/blog/2021/3/nine-reasons-why-radix-is-your-dream-workplace/

We are already looking forward to getting in touch with you!

What type of person are we looking for?

For this role, we are looking for a passionate engineer who is deeply interested in Artificial Intelligence. You are a go-getter and get motivated by working in a vibrant team on diverse projects and are determined to deliver real impact solutions:
• You have a master’s or Ph.D. in Computer Science, Mathematics or a similar field.
• You are confident in your Software Engineering skills.
• You have mastered the SciPy stack (Python, pandas, numpy, scikit-learn, …).
• You know your way around source control and reproducibility tooling (git, conda, pip, docker).
• You have experience with Deep Learning frameworks (TensorFlow, PyTorch)
• Experience with parallel computing libraries (dask, numba) is a plus.
• You have excellent communication skills in English"
🤖 Experienced Machine Learning Engineer,NA,2023-01-30 12:12:15,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=IpBhUz7TS5kAAAAAAAAAAA%3D%3D&fpstate=tldetail,dataroots,Full-time,NA,"Brussels, Belgium (+1 other)","🤖 The Job

Dataroots researches, designs and codes robust AI-solutions & platforms for various sectors, with a strong focus on DataOps and MLOps. As Machine Learning Engineer you're part of our dedicated in-house team of AI-specialists. You excel in building machine learning models which result in our robust and production-ready solutions to optimise company processes.

You love data and turning data inside out to reveal all its secrets. You are an expert in developing and implementing various statistical and machine learning models and you are in charge of controlling the performances of your models output. You love to experiment with different approaches to ensure your client the best-in-class solution. To achieve this, you collaborate closely with our data engineers and/or cloud architects on projects for various sectors, always with a quality focused, end-to-end approach. The result? Our teams provide clients a reliable foundation to make data-driven decisions.

As a senior you... will also build and share knowledge with your colleagues. With initiatives like our rootsacademy or rootlabs, you have various chances to share your knowledge and keep up to date with the latest developments in the field.

🎉 What you can expect at dataroots

Ready to roll into your next adventure? Let’s meet! At dataroots we combine 100% focus with fresh and fun ideas. Our offices are the ideal workplace for people with a knack for innovation. Our languages? Python, Scala, R and HCL. What we speak when we're not coding? English, because with colleagues from Brazil or Serbia you'll enter an inspiring and internationally focussed team.

💪 The Skills
• You have a knack for Machine Learning and have attained a Masters or Doctorate in a quantitative field.
• You have a strong background and are opinionated on software design principles.
• You have at least 3 years experience in a field related to machine learning and big data.
• You have a strong theoretical basis and experience in general machine learning & deep learning.
• You are excellent in Python, knowledge of R or Scala is a bonus.
• You get excited by large amounts of data.
• You approach problems with a pragmatic mindset.
• You have strong communication skills and can translate complex solutions into clear and understandable explanations.
• You have a good overview over the (big-)data ecosystem.
• You speak English fluently, a word of Dutch or French is a plus.

Was this list a bit much? Don't worry, we don't expect you to tick every box from the beginning. Most of all we are looking for colleagues with the same passion for personal and team development as the rest of us.

💰 The Offer
• An attractive salary package with extralegal benefits such as a company car, fuel card, hospitalisation insurance, group insurance, a high-end laptop and smartphone
• A personal & team training budget to further your professional career
• Trainings and seminars with your team and external experts to further sharpen your technical knife
• Sports and/or sushidates … We let of steam during our (virtual) drinks and monthly day@dataroots events #workhardplayhard
• Your own innovation budget to work on cool, education, challenging and/or opensource projects within your guild.

🇧🇪 Our main office is located in Leuven & Ghent, with a co-working place in Brussels. These locations are always available for brainstorm sessions or team events. As a dataroots consultant, you will occasionally be doing on-site visits at our clients. However, most of our work is done remotely. At dataroots, we are actively adapting to this new way of working. ✌️

Ready for a new chapter as a Machine Learning Engineer at dataroots? Super! Apply now! 🎉

dataroots focuses on Analytics, Machine Learning, Big Data, Optimization, and Data Mining. Their company has offices in Europe, Belgium, Brussels, Leuven, and Ghent. They have a mid-size team that's between 51-200 employees.

You can view their website at http://dataroots.io or find them on Facebook and LinkedIn"
Machine Learning Specialist,2023-01-30,2023-01-30 12:12:16,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=LAvBurneY0MAAAAAAAAAAA%3D%3D&fpstate=tldetail,HUK-COBURG Versicherungsgruppe,Full-time,NA,"Brussels, Belgium","Cloud Computing, Künstliche Intelligenz, Datenanalytik, PyTorch, Infrastructure as a Service, Kubernetes, Machine Learning, Amazon Web Services, Python, Softwareentwicklung, Tensor Flow, Docker, Objektorientierte Programmierung, Deployment, Hadoop, Microsoft Azure, open Shift, Dev Ops, Datenbanken, Platform as a Service, Data Engineering, Clustering, Data Science, Design Patterns Machine Learning Operations (MLOps) Engineer (f/m/d).
Full-time, starting immediately in Coburg, unlimited duration.
The intelligent use of data allows us to generate real added value for our customers - we at HUK-COBURG are firmly convinced of this. The targeted expansion of our data analytics activities is therefore a central, strategic goal of our company. Become part of our newly created, group-wide Data Analytics program and feel the special team spirit that defines our corporate culture.
As Germany's largest motor insurance company, we are a data company at heart with a strong customer focus and strong... values. With the strength of our tradition and the power of implementation of the people in our company, we are moving together towards a digital future. Our agile data analytics teams use data-driven models to intelligently manage processes, calculate fair prices, optimize and digitally manage claims, create custom-fit quotes and develop new types of insurance products, among other things.
As a MLOps Engineer (f/m/d) in our central Data Analytics department, you will have the opportunity to enrich these various Analytics teams with your expertise and actively help shape the company's Data Analytics strategy.
This is what you can look forward to Support the Data Science teams in all phases of new use case development, especially further development and maintenance of a modern MLOps infrastructure.
MLOps: design, build and further develop Dev Ops pipelines for Data Science teams (Open Shift or Cloud deployment).
Software engineering: conception, system design as well as iterative solution development of modular software packages according to object-oriented design patterns for sustainable use in the Analytics program.
Data Engineering:
Integration of data sources and models in the HUK software landscape, building an operational concept and preparation of post-training.
Containerization: building Docker environments for our Data Scientists (f/m/d) with the goal of deploying in an Open Shift cluster or in the cloud.
Close coordination to take into account the requirements of colleagues in the roles of Product Owner (f/m/d), Data Scientists (f/m/d) as well as Subject Matter Expert:s.
What you bring with you Very good degree in a STEM subject with practical relevance to Data Science, Machine Learning or Artificial Intelligence.
Several years of professional experience in Machine Learning Engineering, MLOps or DevOPs with a focus on Python applications.
Solid experience in programming (preferably Python), software development, and common database technologies.
Solid experience in processing large datasets on a cluster (spark, hadoop) and using common data science frameworks (pytorch, tensorflow, sklearn, pandas).
Relevant experience in creating and using virtual environments (K8s, Docker, Conda).

Experience with deploying ML applications in the cloud (AWS, Azure) using IaaS or PaaS.
What we offer you Flexible working:
As part of our hybrid work concept, you can work from home, on the road or at our headquarters in Coburg.
Competence:
We promote your consistent professional development in the form of training, conferences and everything that brings you further.
Creative freedom:
We trust your abilities and give you the space to drive your own ideas and solutions.
Performance-based compensation:
We see and appreciate your contribution to the success of the company and let you share in it.
Security: with the strength of our tradition, we focus on success and offer you security.
Have we aroused your interest?
Then apply now!
If you have any questions, please do not hesitate to contact Malina Gorny under the e-mail address at your disposal"
Machine Learning Engineer,NA,2023-01-30 12:12:16,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=2c4AYwqCoEkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Sia Partners,Full-time,US$30K–US$125K a year,"Antwerp, Belgium","Company DescriptionSia Partners is a specialist Management Consulting firm in 1999 and has grown into a global firm with approximately 2200 employees and annual revenue exceeding $400m. Our culture is strongly orientated towards high-quality expertise and delivering excellent results and outcomes for our clients, which include a wide range of multinational companies. Our global presence and our expertise in more than 30 sectors and services allows us to accompany clients worldwide. Using innovative technologies such as our own in-house apps, social networks, and digital tools, we provide a truly integrated global service.Through Consulting for Good, we put our expertise at the service of our clients' climate objectives and make sustainable development a performance lever for our clients. Our portfolio of offerings is cross-sectors, +60 wide consulting offers and generate 15% of revenues.Job DescriptionWhat you will doAs an expert in the field of Machine Learning Engineering you will... be responsible for the growth of our Data team, both professionally as well as in size. You will be in charge of shaping and executing the future of your expertise within Sia Partners. You will work on client projects as well as on building our own Sia AI solutions, together with our Dutch team of Data Scientists, our French Data Engineering team, and other business units of Sia Partners Global.Your responsibilities include:Leading an internal team towards the development of AI products;Working in a multidisciplinary team on client projects as an expert on your subject;Making architectural and design decisions for cloud environments;Building production level ML/AI solutions with solid software engineering;Guiding Data Scientists to scale up their models into production (parallelizing, optimizing, tuning, testing, and wrapping);Giving trainings, leading internal meetings and organizing external events;Participating in team meetings and workshops with clients;Writing blog articles, presenting at conferences and sending out press releases on the subject that you lead.Who you will work withThe Data Science team is young, diverse and growing (10+). You will join a team that will challenge you and invest in your professional development. We have a flat structure and rely on the entrepreneurial spirit of our members: initiative is highly encouraged. We are striving for well-being, diversity and knowledge-sharing inside the team, so that we can grow together.Who you areYou are an established technical professional that wants to make the next step in their career, taking on more leadership responsibilities.You have first-rate project management and time management skills.You are a true problem solver, you turn complex issues into simple and impactful business solutions.You are enthusiastic for applying Data Science/Engineering solutions to business problems.You have excellent communication skills and can present complicated concepts in a synthetic way.You have the ability to adapt rapidly and work on a range of different business areas within a challenging environment.You have the ability to work collaboratively in a team environment.In return, you can expect:An international company that gives importance to diversity, inclusion, employee well-being and corporate social responsibilities actions.A great working atmosphere with friendly and professional colleagues where innovation and entrepreneurship are encouraged A personal development plan with a regular follow-up as well training opportunities to develop yourselfA competitive salary with great advantages, like mobility budget, hospital insurance, performance -related bonus,...Qualifications MSc level education in Computer Science, Applied Mathematics, Artificial Intelligence, Embedded Systems or related field of study.2-4 years of experience in building production-quality ML/Deep Learning pipelines and models.Good understanding of Machine Learning fundamentals and strong knowledge in a specific domain (e.g., Computer Vision, Deep Learning, NLP).Expert coding skills in Python and at least one of these languages: Scala, C++, Java.Hands-on experience with database management languages (e.g., SQL, PostgreSQL).Hands-on experience in cloud-based infrastructures (AWS/GCP/Azure).Hands-on experience with Unix-based command line and DevOps tools (Git, Docker, Kubernetes).Hands-on experience with big data technologies (e.g. Spark, Hadoop, Databricks).Experience with coaching/mentoring other engineers.Prior experience in Management Consulting is a strong plus.Willingness to travel and work at local and international clients.Fluency in spoken and written English is required.Ability or strong willingness to be professionally proficient in the Dutch language.Additional InformationWe are unable to provide a work permit for this positionSia Partners is an equal opportunity employer. All aspects of employment, including hiring, promotion, remuneration, or discipline, are based solely on performance, competence, conduct, or business needs"
Senior Machine Learning Engineer,2023-01-18,2023-01-30 12:12:16,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=xXGQ0pVa4VgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Korrogo,Full-time,NA,"Bruges, Belgium","About the job Senior Machine Learning Engineer

You are an expert in the deployment and industrialization of analytics and AI models and will also be responsible for the effective packaging, deployment, and monitoring of analytical & AI models, through the use of continuous integration tools (CI/CD). You have the ability to address diversified problems like anomaly, threat, risk, fraud detection, classification, relation extraction, pattern recognition, optimization, automated recommendations, and more. As Senior ML Engineer you will functionally lead teams of other MLEngineers, Data Scientists, and UX designers if necessary. Looking for knowledge, such as:

Backgrounds with substantial knowledge of analytics and IT development

Proficient in the programming languages that are used in Data Analytics, such as Python, both in a single server setup as well as in a distributed setup (e.g. with Spark). You can also manage python kernels/libraries/repositories and are an experienced user of... source management tools (GIT)

Master the tools involved in the integration process, such as Jenkins, Docker, Sonar, Nexus, etc. Familiarity with Log management tools and Kubernetes/Yarn

Linux experience (sysadmin) and knowledge of web standards are considered a (strong) plus"
Machine Learning Engineer,NA,2023-01-30 12:12:17,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=HP1GGLFRc2sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Smartendr,Full-time,NA,Belgium,"In order to support our growth, we’re looking for an ambitious Machine Learning Engineer. With your driven personality you’ll be developing our recommendation system, identify the ideal marketing opportunities and create machine learning algorithms and systems. You’ll become part of a small team with the opportunity to have a big influence on our product. Sounds like something for you? Then continue reading!
• What will you be doing? *
• Develop our recommendation system for dishes, items and users
• Create machine learning algorithms to increase our sales upselling and cross-selling
• Identify marketing opportunities with the use of AI (which time is best to launch campaigns, how successful are our campaigns, …)
• Create predictions systems (predict the amount of visitors on a day, what’s the revenue, …)

Who are you?
• You have a great knowledge of Python
• You are fluent in Dutch and English
• You hold a bachelor or masters degree in computer science or IT (or equivalent by... experience)
• You like to take initiative and work independently
• Who are we? *

Smartendr is a fast-growing tech start-up located in Lokeren. We help to increase efficiency within the hospitality sector. We deliver relevant customer data insight through a smart QR-based order application.
• What can you expect from us? *
• A Challenging job where you’ll be able to shape our product with us
• The opportunity to grow with the company, the sky is the limit!
• The start-up atmosphere: a flat structure with open communication and most of all lots of fun! (Team activities, Apero Friday, sports and so on!)
• And of course, money! 😊 Added with extra-legal benefits like a laptop, company car with fuel card, … Besides, we’re always happy to listen to your needs

Smartendr focuses on Hospitality. Their company has offices in Belgium. They have a small team that's between 1-10 employees.

You can view their website at https://www.smartendr.com"
Machine Learning Engineer F/M/X,NA,2023-01-30 12:12:17,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=QFShc-MxzGgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Amaris Consulting,Full-time,NA,"Brussels, Belgium","Who are we?

Amaris Consulting is an independent technology consulting firm providing guidance and solutions to businesses. With more than 1000 clients across the globe, we have been rolling out solutions in major projects for over a decade – this is made possible by an international team of 6000 people spread across 5 continents and more than 60 countries. Our solutions focus on four different Business Lines: Information System & Digital, Telecom, Life Sciences and Engineering. We’re focused on building and nurturing a top talent community where all our team members can achieve their full potential. Amaris is your steppingstone to cross rivers of change, meet challenges and achieve all your projects with success.

At Amaris, we strive to provide our candidates with the best possible recruitment experience. We like to get to know our candidates, challenge them, and be able to give them proper feedback as quickly as possible. Here's what our recruitment process looks like:

Brief Call... Our process typically begins with a brief virtual/phone conversation to get to know you! The objective? Learn about you, understand your motivations, and make sure we have the right job for you!

Interviews (the average number of interviews is 3 - the number may vary depending on the level of seniority required for the position). During the interviews, you will meet people from our team: your line manager of course, but also other people related to your future role. We will talk in depth about you, your experience, and skills, but also about the position and what will be expected of you. Of course, you will also get to know Amaris: our culture, our roots, our teams, and your career opportunities!

Case study: Depending on the position, we may ask you to take a test. This could be a role play, a technical assessment, a problem-solving scenario, etc.

As you know, every person is different and so is every role in a company. That is why we have to adapt accordingly, and the process may differ slightly at times. However, please know that we always put ourselves in the candidate's shoes to ensure they have the best possible experience.

We look forward to meeting you!

Job Description

Together with a team of driven, passionate engineers, you will work closely with the client to design, implement, deploy, and maintain state-of-the-art Artificial Intelligence solutions.

In this role, you’ll have the opportunity to work on:
• Design complex analytics solutions with large data sets on distributed systems including the design of data lakes and data ingestion pipelines.
• Building technical solutions for real-time data processing solutions that consist of data models, data integration, storage and cloud-based data pipelines of major projects in agile mode
• Implementing Machine Learning solutions using for example: Reinforcement Learning, Convolutional Neural Networks, Unsupervised Machine Learning, etc.
• Building and deploying reproducible and scalable AI solutions on cloud infrastructure or on premises
• Scaling Machine Learning models to thousands of users
• Monitoring, expanding and optimizing the data infrastructure

Your profile:
• You have Master's degree in Computer Science or a related field.
• You have at least 3 of experience in Big Data projects and/or Artificial Intelligence Solutions in Production
• You are experienced in Data Lake technologies (Hadoop, Spark, Kafka, .., ...). An experience with public cloud technologies is a plus (AWS, Azure, IBM Cloud).
• You have experience with Deep Learning frameworks
• You are autonomous and assertive. You can speak your mind & accept to be challenged
• You are creative and thinking out of the box and are a problem solver
• French & Dutch speaking is a plus. English is mandatory.

Amaris Consulting is proud to be an equal opportunity workplace. We are committed to promoting diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability or other characteristics"
Machine Learning Software Engineer,2023-01-26,2023-01-30 12:12:17,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=eU9iCocXM_YAAAAAAAAAAA%3D%3D&fpstate=tldetail,StepStone,Full-time,NA,"Brussels, Belgium","Want to help change the world of recruitment today? At Step Stone we take great strides forward to stay the leading online recruitment marketplace. The answer lies in a combination of two important factors: market leading products and truly exceptional, driven and highly talented people. Do you want to be part of a company you can be proud of and help it growing?

Then keep reading! Where you will work... With over 260,000 jobs, 8.1 million CVs, 13.6 million active subscribers and 25.4 million monthly visits the data is big, and the challenge is even bigger. We need an experienced and analytical professional to help develop advanced technical solutions for our search and recommender engines and to contribute to an entirely new vision of autonomously matching talents with vacancies.

The Data & AI team is split across offices in Brussels, Berlin, Munich, Warsaw, and London, so you will work in an international environment with a team of experienced and like-minded colleagues. The... position can be based in Brussels or Berlin. Apply your expert knowledge of software development and NLP to make our search engines smarter and more versatile Turn business requirements into working products - brainstorm, design, map, code, and refine your solutions Program in Java to integrate modern NLP solutions into a range of job matching products used by millions Code in Python to train machine learning models that help capture the relationship between companies and job seekers Help improve existing products, analyze and optimize performance, and spot bugs and weaknesses Deploy and maintain your services and machine learning models Work in sync with other team members in Berlin and Brussels Coordinate work with other teams across the company to make things happen Self-driven, proactive, and fast learner Willing to take full responsibility for your product Motivated to take on a hybrid role that involves both advanced software development, and machine learning engineering Strong object-oriented programming knowledge, and significant experience in Java or Python Practical experience with machine learning, and NLP specifically Very good command of English required Step Stone is a company with clear goals and visions.

We focus on growth through innovative solutions, service quality and qualified employees. From the very first day at Step Stone you will be welcomed and supported by a cooperative team. As part of our training concept, you will receive basic training for your work and the recruiting market during your first weeks with us. In addition, we offer an attractive, performance-led remuneration package and the opportunity to tackle the task with above-average development opportunities and long-term perspectives in a...

Originele vacature is te vinden op – Maak nu een Jobagent aan op Step Stone en vind je droombaan! (Use the ""Apply for this Job"" box below). Vind gelijkaardige jobs, informatie over werkgevers en carrièretips op "
Senior Machine Learning Engineer,NA,2023-01-30 12:12:18,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=jTXsHmWkgOwAAAAAAAAAAA%3D%3D&fpstate=tldetail,BNP Paribas Fortis,Full-time,NA,"Brussels, Belgium","Senior Machine Learning Engineer

Want to help shape the bank of tomorrow today?

At the bank for a changing world, our employees make change their greatest asset, turning challenges into opportunities. They think ahead to offer our customers creative solutions which are perfectly suited to their needs. At BNP Paribas Fortis, the country’s number one bank, employees enjoy ongoing career growth in a meaningful, rewarding and flexible working environment.

The Centre of Expertise on Analytics & AI has the objective of transforming data into value for the bank, create savings by improving our processes and to increase our customer satisfaction. We are looking for someone with a strong understanding of the challenges related to this field to join our team.

Your future job!

The CoE in A&AI is looking for a Senior Machine Learning Engineer with a proven track record in the field of Data Analytics and/or IT Innovation. You should be specialized in the deployment and industrialisation of... analytics models. In this role, you will:
• deploy the analytics models on the A&AI infrastructure of the Bank (Internal Python Stack, Domino Data Labs, IBM Cloud,…) and collaborate intensively with the Data Hub Tribe or other IT Tribes.
• coordinate with other tribes to ensure that updates to the A&AI infrastructure, both to the physical infrastructure and to software stack, are transparent to our users and that their impact is limited.
• as Senior ML Engineer you will functionally lead teams of other MLEngineers and UX designers. You will manage a portfolio a different analytics projects, and will be responsible for handling both the change and run of these projects.
• work with the data scientist to ensure that all code and its dependencies respect the secure development lifecycle (SDLC) rules of the bank.
• as member of a team of Machine Learning Engineers, will be responsible to the effective packaging, deployment and monitoring of analytical models, through the use of continuous integration tools (CI/CD).
• Communicate the fruits of your work directly to the stakeholder in other Tribes, Strategy Teams and CoEs in the agile impulse construct
• address diversified business problems like credit card fraud detection, targeted marketing, trending news detection, email classification, money-laundering detection, price optimisation and more, all across different business lines such as Fraud, Retail, Private and Corporate Banking, Risk, Human Resources Management and Operations.
• evolve in an environment where innovation and lean processes are praised, straight-forward communication is encouraged, and peers understand the meaning of team up.
• work with a team of data science and IT experts who are motivated, ready to collaborate, and to share their experience.

Highlight your strengths!

You take pride in the following knowledge and experience that you have already acquired, which are indispensable for this role. Requirements for this function:
• You have at least a Master’s degree in engineering or science, such as mathematics, physics, IT, or civil/commercial engineering. Candidates with other academic backgrounds with substantial knowledge of analytics and IT development are also encouraged to apply.
• You have aspirations (or experience) in managing a small team of experts and support your team as people manager, project manager and career manager.
• You have at least 10 years of relevant experience in Data Analytics or IT Software Development/Operation, ideally, but not necessarily, in the financial sector (less experience will be accepted if your academic credentials compensate for lack of professional experience).
• You have fluent knowledge of English and a good level of French and/or Dutch.
• You are proficient in the programming languages that are used in Data Analytics, such as Python, both in a single server setup as well as in a distributed setup (e.g. with Spark). You can also manage python kernels/libraries/repositories and are an experienced user of source management tools (GIT).
• You master the tools involved in the integration process, such as Jenkins, Docker, Sonar, Nexus, etc. Familiarity with Log management tools and Kubernetes/Yarn is a plus.
• Linux experience (sysadmin) is considered a (strong) plus.
• Knowledge of web standards is a plus. A proven track record, such as past experience or achievements, is appreciated.

Your future workplace

In a changing world, diversity and inclusion are core values. At BNP Paribas Fortis, we want to attract and retain women and men of all ages, from all backgrounds, each with her or his own experience. We truly believe that diversity increases performance and creativity. All our offers for full-time positions are also available for 90% or 80% full-time equivalent.

By choosing us, you get
• Excellent opportunities to develop, personally and professionally, and spread your wings.
• A permanent contract and an attractive pay package.
• A position in a responsible, socially engaged organisation where diversity and inclusion are the standard.

Choose BNP Paribas Fortis now and apply here.

We will make our first selections on the basis of your CV and letter of motivation. Are you the candidate we’re looking for? Then you’re sure to hear from us. Good luck"
"Bell Labs Internship - Machine/Deep Learning, Autonomous Network Operation",NA,2023-01-30 12:12:18,https://www.google.com/search?q=Machine+Learning+Jobs+Belgium&ibp=htl;jobs&sa=X&ved=2ahUKEwjr2P3w_-_8AhVHATQIHVMpCysQutcGKAF6BAgVEAU#htivrt=jobs&htidocid=ASXoZ-EFzj8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Nokia,Full-time,NA,"Antwerp, Belgium","Come create the technology that helps the world act together

Nokia is committed to innovation and technology leadership across mobile, fixed and cloud networks. Your career here will have a positive impact on people’s lives and will help us build the capabilities needed for a more productive, sustainable, and inclusive world.

We challenge ourselves to create an inclusive way of working where we are open to new ideas, empowered to take risks and fearless to bring our authentic selves to work.

The team you'll be part of

Nokia Bell Labs is the world-renowned research arm of Nokia, having invented many of the foundational technologies that underpin information and communications networks and all digital devices and systems. This research has produced nine Nobel Prizes, five Turing Awards and numerous other awards.

Within the Autonomous Network team, our Artificial Intelligence experts perform research and develop a software system able to autonomously manage, provision, optimize and... troubleshoot the network’s broadband services, in real-time. This leverages state-of-the-art machine/deep learning techniques and large-scale amount of data.

What You Will Learn And Contribute To

Are you passionate about solving problems?

As part of our team, you will:
• Perform a 10-weeks internship with our Bell Labs’ AI/ML experts,
• Design & implement a research applying Deep Learning for Network Operation,
• Validate the implementation and compare the proposed solutions,
• Deal with realistic large-scale data sets and parallelized computing,
• Explore and get familiar with various open-source software libraries.

Your Skills And Experience

You have:
• Enrolled student in Master of Electrical Engineering, Data Science, Computer Science or relevant related area
• Good knowledge regarding the machine learning concepts. Having knowledge on convolutional neural networks is an asset.
• Being autonomous with open source libraries (TensorFlow/Keras, PyTorch,…) and being fluent in Python are pre-requisite.
• Some bases in telecommunication and signal processing are a plus.
• Large autonomy in the work, ability to ask for support, good communication, strong attention to details, … are essential skills for this type of internship.

What We Offer

Nokia offers flexible and hybrid working schemes, continuous learning opportunities, well-being programs to support you mentally and physically, opportunities to join and get supported by employee resource groups, mentoring programs and highly diverse teams with an inclusive culture where people thrive and are empowered.

Added value for the candidate:
• Make contact in the innovation center, Nokia Bell Labs.
• Familiarize yourself with the process to develop innovative new products intended to reach the public in 5-10 years from now.
• Get the opportunity for in-depth understanding of state-of-the-art machine learning systems.
• Have the opportunity to put in practice the theoretical knowledge in collaboration with world-class Nokia Bell Labs researchers and Data Scientists.

Nokia is committed to inclusion and is an equal opportunity employer

Nokia has received the following recognitions for its commitment to inclusion & equality:
• One of the World’s Most Ethical Companies by Ethisphere
• Gender-Equality Index by Bloomberg
• Workplace Pride Global Benchmark
• LGBT+ equality & best place to work by HRC Foundation

At Nokia, we act inclusively and respect the uniqueness of people.

Nokia’s employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law.

We are committed to a culture of inclusion built upon our core value of respect.

Join us and be part of a company where you will feel included and empowered to succeed.

Job

Research & Innovation - Research Scientist

Primary Location

Europe South-Belgium-Belgium-Antwerp

Schedule

Full-time"
