Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Remote Fellowship-Asia China Standard Time(fellowship.ai/apply),NA,2023-01-30 12:15:19,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=CHiZmUVEIl4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Fellowship.AI,Internship,NA,China,"If you want to jump-start your data science career by:
• building scalable machine learning models with agile software development methodology
• applying latest research in deep learning, ensemble learners, optimization techniques, etc.
• working fully remotely with other fellows and professional mentors for 3 months
• Accessing exclusive Machine Learning Bootcamp designed for fellows https://www.fellowship.ai/bootcamp-3
• interfacing directly with commercial customers
• working on enhancement to the solution portfolio https://lnkd.in/ewPKXyJZ

This opportunity is for you!

If you are interested, and want to be a part of our leading team, please apply at www.fellowship.ai/apply

The number one qualification employers look for when hiring a data science candidate is previous experience. Fellows from previous cohorts are now in data science roles at Uber Advanced Technologies Center, Google Brain, Sentient Technologies, Yelp, Orange, etc.

Check out https://platform.ai/blog which... showcases the work done by some of our fellows.
• *Note: Fellowship is not a paid commitment.*

Fellowship.AI focuses on Education and Machine Learning. Their company has offices in San Francisco and London. They have a small team that's between 1-10 employees.

You can view their website at https://fellowship.ai or find them on Twitter and LinkedIn"
Machine Learning Engineer,NA,2023-01-30 12:15:19,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=izdL4ArxJbwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Vitesco Technologies,Full-time,NA,"Wuhu, Anhui, China","Machine Learning Engineer

Job ID: 782

Location:

Changchun, CNWuhu, CNTianjin, CN

Job Description

Collaborating with data engineers and data scientists to establish a full data science workflow respecting production constraints (real time, big data environment, ML decision validation and interpretability, etc.)

Collaborating with international AI teams and experts using agile methods

Sharing ideas and participate on AI project decision making process

Documenting your work (structuring your projects, commenting your code, etc.) and write technical and business reports

Presenting results in a simple and clear manner for non-AI experts (using visualization tools: R.Shiny, MicroStrategy, D3.js, etc.)

Interacting through or using tools such as Git, Jupyter Notebook, JIRA...

Qualifications

Fluency in programming languages such as Python (using packages such as numpy/scikitlearn/TensorFlow/PyTorch), R, Knime, Java, C+> Demonstrated Experience with BigData ecosystems and tools... (cloudera, hortonworks, hadoop, spark, etc)

Ability to create, develop and evaluate learning models using big historical data from various sources (numerical, logs, pictures, textual, etc)

Demonstrated experience in designing and implementing best practices and setups for ML solution in production using the appropriate technologies (AWS cloud or edge computing) and capacity to dialog with IT teams on such topics

Ability to work under pressure in team guided to get results

Excellent English language skills

Working Time: Full time

Your Contact Partner: Fang Guo

Vitesco Technologies is a leading international developer and manufacturer of state-of-the-art powertrain technologies for sustainable mobility. With smart system solutions and components for electric, hybrid and internal combustion drivetrains, Vitesco Technologies makes mobility clean, efficient, and affordable. The product range includes electrified drivetrain systems, electronic control units, sensors and actuators, and exhaust -gas aftertreatment solutions. In 2021, Vitesco Technologies recorded sales of €8.3 billion and employs around 37,000 employees at about 50 locations worldwide. Vitesco Technologies is headquartered in Regensburg, Germany"
Machine Learning Engineer,NA,2023-01-30 12:15:19,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=35oJZTPkJykAAAAAAAAAAA%3D%3D&fpstate=tldetail,Apple in China,Full-time,NA,"Pudong, Shanghai, China","Key Qualifications

Key Qualifications
• 3+ years of related professional experience;
• Deep knowledge and hands on experience on image processing and computer vision, including spatial/frequency domain analysis, geometric transform, feature detection, registration, segmentation, object detection and classification, etc;
• Experience of supervised and unsupervised machine learning, such as SVM, CNN, GAN, for image segmentation/classification;
• Proficient in one or more of the following: C++/Python/Matlab/OpenCV/CUDA;
• Proficient in at least one machine learning framework: Keras/ Pytorch/TensorFlow, etc;
• A positive outlook towards stepping into uncharted technology space and working hard to deliver solutions in a timely fashion;
• Excellent written and interpersonal skills; clear communication with diverse teams.

Click here to read more."
machine learning algorithm intern machine learning intern,NA,2023-01-30 12:15:20,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=1vWJpjzlpFwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Byte Dance,Full-time,NA,"Beijing, China","Responsibilities 1. Use machine learning technology to improve and optimize business risk control products 2. Participate in end-to-end model development and explore the implementation of risk control algorithms in related business fields 3. Track large-scale risk control systems and explore the latest frontier research Achievements and competition dynamics, quickly realize and apply them to practical tasks, and propose innovative solutions 4. The duration of the internship is 4 to 6 months, and at least 4 days a week if you perform well during the work period, you will have higher rewards Opportunity to turn positive. Qualifications 1. Bachelor degree or above, major in computer, love computer science and Internet technology, and have strong interest in artificial intelligence products Obtain a bachelor's/master's/doctoral degree in or after 2023 2. Have a solid code foundation and be familiar with at least one mainstream OOP programming language such as Python, Java, C++, Go, etc... 3. Familiar with common machine learning classification and clustering Algorithms such as GBDT, XGBOOST, KMEANS, etc. 4. Familiar with at least one common machine learning or deep learning development framework such as scikit-learn, tensorflow, pytorch 5. Familiar with time series forecasting algorithms or anomaly recognition algorithms is preferred 6. Yes Winners in relevant competitions, those who publish papers are preferred those who are very interested in risk control algorithms are preferred"
2022 IRO - Machine Learning/AI Engineer CE,NA,2023-01-30 12:15:20,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=9CVfd0ofWNYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Qualcomm,Full-time,NA,"Xi'An, Shaanxi, China","Company:

Qualcomm China

Job Area:

Engineering Group, Engineering Group > Software Applications Engineering

General Summary:

Provides technical expertise of software systems through sales presentations, product demonstrations, installation, and maintenance of company products. Assists the sales staff in assessing potential application of company products to meet customer needs and preparing detailed product specifications for the development and implementation of customer applications/solutions. Ensures that the application/solution is functioning according to specifications. May provide software development and consultation to prospective users and/or product capability assessment and validation. Assists customers with any questions, issues, debugging, or troubleshooting regarding software systems and applications.

Minimum Qualifications:

• Bachelor's degree in Engineering, Information Systems, Computer Science, or related field.

Preferred Qualifications:

• 1+ year of... experience with debugging techniques.

• 1+ year of experience with Programming Language such as C, C++, Java, Python, etc.

Principal Duties and Responsibilities:

• Provides timely and accurate answers to customer inquiries under the guidance of experienced peers.

• Identifies customer problems and brings them to attention of manager and/or project leads.

• Shares customer input with others on team regarding modifications to Qualcomm solutions.

• Supports root cause analyses on basic customer problems to identify underlying issue.

• Assists customers with integrating Qualcomm software solutions.

• Assists the development team with customizing Qualcomm software to meet customer requirements.

• Supports the debugging of basic issues in customer software systems.

• Attends internal project meetings.

• Demonstrates fundamental knowledge of debugging techniques for a specific work area (e.g., Wi-Fi, Bluetooth).

• Assists on a software module and recommends appropriate modifications and enhancements in light of customer needs under some guidance.

• Assists in publishing (e.g., writing, reviewing, and editing) product technical documentation.

• Demonstrates Qualcomm products and offerings to customers as instructed by tech leads.

Level of Responsibility:

• Working under close supervision.

• Taking responsibility for own work and making decisions with limited impact; Impact of decisions is readily apparent; errors made typically only impact timeline (i.e., require additional time to correct).

• Using verbal and written communication skills to convey basic, routine factual information about day-to-day activities to others who are fully knowledgeable in the subject area.

• Completing most tasks with multiple steps which can be performed in various orders; some planning and prioritization must occur to complete the tasks effectively; mistakes may result in some rework.

• Exercising some creativity to troubleshoot technical problems or deal with novel circumstances.

• Using deductive problem solving to solve moderately complex problems; most problems have defined processes of diagnosis/detection; some limited data analysis may be required.

The responsibilities of this role do not include:

• Financial accountability (e.g., does not involve budgeting responsibility).

• Influence over key organizational decisions.

• Role in strategic planning.

All Qualcomm employees are expected to actively support diversity on their teams, and in the Company.

Although this role has some expected minor physical activity, this should not deter otherwise qualified applicants from applying. If you are an individual with a physical or mental disability and need an accommodation during the application/hiring process, please call Qualcomm’s toll-free number found here (https://qualcomm.service-now.com/hrpublic?id=hr_public_article_view&sysparm_article=KB0039028) for assistance. Qualcomm will provide reasonable accommodations, upon request, to support individuals with disabilities as part of our ongoing efforts to create an accessible workplace.

Qualcomm is an equal opportunity employer and supports workforce diversity.

To all Staffing and Recruiting Agencies : Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.

If you would like more information about this role, please contact Qualcomm Careers (http://www.qualcomm.com/contact/corporate) .

EEO Employer: Qualcomm is an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or any other protected classification.

Equal Employment Opportunity: https://www.eeoc.gov/sites/default/files/migrated_files/employers/poster_screen_reader_optimized.pdf

""EEO is the Law"" Poster Supplement : https://www.dol.gov/sites/dolgov/files/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf

Pay Transparency NonDiscrimination Provision: https://www.dol.gov/sites/dolgov/files/ofccp/pdf/pay-transp_%20English_formattedESQA508c.pdf

Employee Polygraph Protection Act: https://www.dol.gov/sites/dolgov/files/WHD/legacy/files/eppac.pdf

Family Medical Leave Act: https://www.dol.gov/sites/dolgov/files/WHD/legacy/files/fmlaen.pdf

Rights of Pregnant Employees: https://www.dfeh.ca.gov/wp-content/uploads/sites/32/2020/12/Your-Rights-and-Obligations-as-a-Pregnant-Employee_ENG.pdf

Discrimination and Harassment: https://www.dfeh.ca.gov/wp-content/uploads/sites/32/2020/10/Workplace-Discrimination-Poster_ENG.pdf

California Family Rights Act: https://www.dfeh.ca.gov/wp-content/uploads/sites/32/2020/12/CFRA-and-Pregnancy-Leave_ENG.pdf"
Machine Learning Engineer,2023-01-24,2023-01-30 12:15:21,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=bpVg3WBucOcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Wish,Full-time,NA,"Shanghai, China","Company Description

Wish is a mobile e-commerce platform that flips traditional shopping on its head. We connect millions of people with the widest selection of delightful, surprising, and affordable products delivered directly to their doors. Each day on Wish, millions of customers in more than 100 countries around the world discover new products. For our over 550,000 merchant partners, anyone with a good idea and a mobile phone can instantly tap into a global market.

We're fueled by creating unique products and experiences that give people access to a new type of commerce, where all are welcome. If you’ve been searching for a supportive environment to chase your curiosity and use data to investigate the questions that matter most to you, this is the place.

Job Description

Please apply via this link to be considered

The Knowledge Engineering organization is responsible for data understanding, search and discovery end-to-end at Wish. We build core AI systems, microservices, and... infrastructures by leveraging cutting-edge technologies to impact millions of users with personalized shopping experiences everyday.

We are looking for an outstanding machine learning engineer with a solid Natural Language Processing (NLP) or Computer Vision (CV) background to join our team! The role will provide an opportunity to work on research and develop large-scale deep learning models and systems to deeply understand our product listings, users, and search queries at Wish.

What you’ll be doing:
• Design, research and develop state-of-the-art Natural Language Processing (NLP) or Computer Vision (CV) models and algorithms to deeply understand our product product listings, users, and search queries.
• Build highly scalable and available machine learning systems to improve different systems across the company, including content understanding, structured data, search, recommendation, ads, merchant, logistics, etc.
• Work and collaborate with different cross-functional teams end-to-end.

Qualifications

Basic Qualifications:
• Bachelor or Master’s degree in computer science or related field.
• 3+ years of industry experience in software engineering and applied machine learning related domain.
• Solid programming skills with proven experience designing, developing and delivering advanced machine learning models and large-scale engineering systems.
• Passionate, great communication skills, strong ownership, self-motivated, and inventive.

Preferred Qualifications:
• PhD degree in artificial intelligence, machine learning, natural language processing, computer vision, etc.
• Publications in top tier conferences, such as ACL, EMNLP, CVPR, ICCV, ICLR, NeurIPS, KDD, AAAI, etc.
• Experience with natural language processing, computer vision, search engine, recommender system, computational advertising, knowledge graph, etc.
• Experience with big data platforms and large-scale distributed systems.
• Awards in national or international machine learning competitions.

Additional Information

Wish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally-protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.

Individuals applying for positions at Wish, including California residents, can see our privacy policy here"
AIML Resident - Global Siri (China),2023-01-02,2023-01-30 12:15:21,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=2bwr_IiiyKMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Apple,Full-time,NA,"Beijing, China","Summary
Posted: Jan 3, 2023
Weekly Hours: 40
Role Number:200446589

Imagine what you could do here! At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. Combining groundbreaking machine learning research with next-generation hardware, our teams take user experiences to the next level.

Apple’s AIML residency is a year-long program inviting experts in various fields to apply their own domain expertise to innovate and build revolutionary machine learning and AI-based products and experiences. As AI-based solutions spread across disciplines, the need for domain experts to understand machine learning and apply their expertise in ML setting grows.

Residents will have the opportunity to attend machine learning and AI courses, learn from an Apple mentor closely involved in their program, collaborate with fellow residents, gain hands-on experience working on high-impact projects, publish in premier academic conferences, and partner... with Apple teams across hardware, software, and services.

Key Qualifications

Key Qualifications
• Proficiency in a programming language such as Python, Objective-C, C++, Swift, and/or R. Candidates should have experience completing a moderate-sized software project
• Demonstrated ability to connect and collaborate with others.
• Ideal candidates will also have academic, research, or industry experience in one of the following natural language processing, speech or data mining. Thesis, dissertation, capstone project, internship, co-op, and/or industry experience in these fields all qualify

Description

Description
The goal of Global Siri is to drive Siri’s efforts to measure, improve and expand all features in all languages on all platforms. Residents will have the opportunity to explore and investigate on how to bring up and improve low resource languages or dialects for Siri.

Education & Experience

Education & Experience
Graduate degree in a STEM field or equivalent industry experience in software engineering

Additional Requirements

Additional Requirements
• - We encourage you to submit a cover letter as part of your application explaining: What are your research interests? How do they apply to the specific Residency position you applied to? Why you would like to join the AIML residency program broadly?
• - Apple’s AIML residency is a one-year program starting in July 2023. Residents must be available to work full-time (40 hours/week) July 17, 2023 - July 12, 2024
• APPLICATION DEADLINE: JANUARY 11, 2023"
Data Scientist - QuantumBlack,NA,2023-01-30 12:15:21,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=uNy9XZbw0EkAAAAAAAAAAA%3D%3D&fpstate=tldetail,McKinsey & Company,Full-time,NA,"Beijing, China (+4 others)","Who You'll Work With As a data scientist at QuantumBlack in our Greater China region you can expect:

Your colleagues

Work with other data scientists, data engineers, machine learning engineers, digital consultants, designers, project managers and McKinsey experts on interdisciplinary projects, using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.

Who you are

You are a highly collaborative individual who is capable of laying aside your own agenda, listening to and learning from colleagues, challenging thoughtfully and prioritising impact. You search for ways to improve things and work collaboratively with colleagues. You believe in iterative change, experimenting with new approaches, learning and improving to move forward quickly.

Our Tech Stack

While we advocate for using the right tech for the right task, we often leverage the following technologies: Python, PySpark, TensorFlow, PyTorch, SQL, Airflow... Databricks, our own OSS called Kedro (check out a Kedro tutorial video here), container technologies such as Docker and Kubernetes, cloud solutions such as AWS, GCP or Azure, and more!

What You'll DoAs a Data Scientist at QuantumBlack you can expect...

Your responsibility
• You will partner with our clients, from data owners and users to C-level executives, to understand their needs and build impactful analytics solutions.
• You will be flexible to travel to our clients’ offices to deliver presentations, gather information or share knowledge.
• You will contribute to cross-functional problem-solving sessions with your team and deliver presentations to colleagues and client.
• You will translate business problems into analytical problems and develop models aimed at solving our clients and users problems and ensure they are evaluated with the relevant metrics.
• You will write highly optimized code to advance our internal Data Science Toolbox.
• You will add real-world impact to your academic expertise, as you are encouraged to write papers and present at meetings and conferences should you wish.
• You will take part in R&D projects (video: R&D at QuantumBlack); attend conferences such as NIPS and ICML as well as data science retrospectives where you will have the opportunity to share and learn from your co-workers.
• Work in one of the most advanced data science teams globally.

What you'll benefit from
• Real-World Impact – No project is ever the same, we work with top-tier clients across multiple sectors, providing unique learning and development opportunities internationally.
• Fusing Tech & Leadership – We work with the latest technologies and methodologies and offer first class learning programmes at all levels.
• Multidisciplinary Teamwork - Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance.
• Innovative Work Culture – Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions.
• Striving for Diversity – With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.
• Continuous development and progression – We offer an extensive choice of training sessions, ranging from workshops to international conference, tailored to your needs as well as a personal mentorship system.We have multiple career paths and geographic locations to evolve within the Firm.
• Global community – you'll learn from colleagues around the world by connecting both internally and externally through our various hosted meet-ups.

Qualifications
• MSc or PhD degree in a discipline such as computer science, machine learning, applied statistics, mathematics or engineering; BSc in AI or machine learning will be considered
• 3+ years of data analytics related work experience in a leading company in the industry
• Data science experience focused on a specific industry e.g., financial service, retail, internet etc., preferred
• Comprehensive computer skills with understanding of basic coding
• Experience and knowledge of database and statistical software (Such as SAS, R, Python) and can work with large data sets
• Deep knowledge about statistics and machine learning
• Domain expertise preferred: attribution, segmentation, response modeling, churn, propensity, customer LTV, supply chain / logistics, geospatial inference, recommender systems, causal inference, forecasting, pricing, NLP or image processing
• Strong analytical and problem-solving skills paired with the ability to develop creative and efficient solutions, with tolerance to deal with bad quality data
• Ability to translate scientific insights into product decisions and work streams
• Good people skills, team orientation, quality-oriented, highly committed and professional
• Excellent communication skills in English and Mandarin Chinese (both oral and written"
Machine Learning/AI Engineering & Research Internship,NA,2023-01-30 12:15:22,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=-ra-16LevpAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Apple in China,Internship,NA,"Xicheng District, Beijing, China","Key Qualifications

Key Qualifications
• In-depth knowledge in deep learning and machine learning
• Expertise in one or more areas: Neural Architecture Search, Model Compression and Acceleration, Few-shot Learning, Weakly-supervised & Semi-supervised Learning, Optimization, Reinforcement Learning, Imitation Learning, 3D Reconstruction.
• Excellent programming skills in Python, C/C++, CUDA, or other GPGPU is a plus
• Familiar with Tensorflow or Pytorch
• Strong publication record demonstrating innovative research
• Good presentation skills
• Passionate about building extraordinary products
• Encouraged to perform well in a fast-paced environment, complete the tasks assigned, meet the production requirements, and at the same time, explore independently new innovative ideas that can improve and transform the product experience of Apple customers
• Creative, collaborative, and product focused

Click here to read more."
China Program Manager,2023-01-27,2023-01-30 12:15:22,https://www.google.com/search?q=Machine+Learning+Jobs+China&ibp=htl;jobs&sa=X&ved=2ahUKEwiLgdbIgPD8AhW0On0KHWeYAJ8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=jk23v8Qrq04AAAAAAAAAAA%3D%3D&fpstate=tldetail,MOLOCO,Full-time,NA,"Beijing, China","About MOLOCO

Moloco’s goal is to make the digital economy more equitable and profitable by delivering advanced machine learning to companies of all sizes. With Moloco’s machine learning platform for growth and performance, every app publisher and online retailer can now unlock the value of their unique, first-party data for user acquisition, retention, and monetization campaigns.

Founded in 2013, our advanced machine learning engine powers our product portfolio. Moloco Cloud DSP enables performance marketers to quickly scale user acquisition and achieve greater lifetime value through battle-tested prediction models. Moloco Retail Media Platform enables online retailers and marketplaces to establish their own performance ads business.

Our technology is best in class; we received the SMARTIES X silver award for Machine Learning and AI, and Moloco was named the Cross-Industry Winner for Google Cloud Customer Awards.

The company is in hyper-growth mode and we ranked #95 in the Inc... 5000 fastest-growing private companies for 2022. We ranked #91 among Deloitte’s 2021 Fast 500 and have been certified by 91% of the company via Great Places to Work.

It’s a great time to join this innovative team. Moloco is headquartered in Silicon Valley, with offices in San Francisco, New York, Seattle, London, Seoul, Singapore, Beijing, and Tokyo. For more information, visit www.moloco.com
The Impact You'll Be Contributing to Moloco:

We are looking for a GTM Sr. Strategy Ops manager to drive China business. As a trusted partner of regional leaders, this role is instrumental in steering the commercial strategy and operations for Moloco’s fast growing business in China, to drive many-times topline growth in the short term. Success for this leader will come in four core areas:

• Partnered with regional leadership, prioritize important strategic initiatives and drive commercial organization to execute and achieve the goal as a program manager
• Provide guidance and lead commercial leadership team to make sure the organization’s business operations are properly run at regional level
• Collaborate with global GTM team (GTM design, Sales Ops, BI/Analytics, Sales Enablement) and support to drive the design and execution of multiple initiatives and programs
• Build a growth strategy with strategic initiatives based on market insights by understanding regional market landscape, competition and customer behaviors.

Here’s what you’ll be working on:

The best candidate is a strong leader who is a top-class program manager, a strong executor, and a passionate strategist who knows how to zoom out, harmonize different perspectives, and move forward once decisions are made. You act as the COO of the regional commercial leadership team who drive global and regional initiatives, ultimately leading top line growth of Moloco business. You have a growth mindset and love to work with cross-functional teams to create real value. You understand the regional market and customers, and know how to win and scale in the market as a strategist.

Responsibilities:

• Manage and drive the execution of various global and regional level strategic initiatives and programs with leadership team
• Support leadership team’s decision-making on business challenges with strategic and problem-solving capabilities
• Engage with different business operations by supporting regional leaders to align with global GTM policy and processes
• Support business cadence between global and regional, and within regional team
• Closely interact with regional commercial team to identify operational challenges, define improvement initiatives, and work with global GTM teams to solve those challenges
• Develop market insights and winning strategy with regional leadership team, and mobilize initiatives

Here is what you need to succeed

Qualifications

• 8+ years of Strategy Consulting, Sales Operations, or Sales Leadership experience
• Keen understanding of B2B Sales motions, from top funnel lead gen to long term value sustainability, combining strong analytical chops with a deep understanding of real-life seller and customer dynamics
• Proven track record of driving top line growth via strategic initiatives in a global, fast paced B2B sales setting
• Ability to challenge and persuade cross-functional audiences to act - from peers around the org to senior executives
• Bonus points: experience in the adtech, performance marketing, retail media, or machine learning space
• Bonus points: past work in a fast-paced startup environment

Some of the total rewards we offer…

• Physical Health & Wellness benefits, to support our Moloco employees in making their health and wellness a priority.
• Flexible PTO, so long as you promise to come back!
• Learning & Development - All regular full-time and part-time employees receive an annual learning and development stipend of $2,500 per calendar year.
• Commuter Benefit - All full-time employees are eligible to participate in country-specific transportation benefits.
• WFH - We provide an allowance of $1,000 (based on local currency) to outfit your home office regardless of hybrid or permanently remote employees.
• Communications reimbursements for phone and internet.
• Got Lunch? We provide country specific lunch stipend benefits
• Virtual initiatives and events to keep you connected with your colleagues.
• Generous Employee Referral Bonus program.
• And much more. Ask your recruiter for a full list of total rewards and benefits specific to your region!

Moloco is a truly rewarding place to work and in an exciting period of growth, which you could be a part of. Join us today and apply now"
