Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Data Scientist (3848),NA,2023-01-30 12:16:02,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=tK6rJAMjub8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Publicis Groupe,Full-time,NA,"Bogotá, Bogota, Colombia","Company Description

At Publicis Groupe, we are looking for a Data Scientist Fluent in English to join our Data Science Hub at Publicis Global Delivery, our talent powerhouse, the global interconnected network that provide offshore & nearshore solutions for our partners - sister companies´ business worldwide. 🌍

We currently have Hubs in Argentina, Colombia and Costa Rica and we are offering the amazing opportunity to take part of a globally distributed team that has a knack for understanding data and telling the story of why it matters. By joining our team, you´ll be working to uncover deep analytical insights to drive high-impact results to our international clients, having the unique opportunity to be part of a great variety of projects in a flexible, fast-paced and multicultural environment that is always growing and mutating.

Job Description

What you’ll do:

You will be creating predictive models, using machine learning algorithms and artificial intelligence approaches, to... process, integrate and manipulate big data from distributed systems, synthesizing the results and translating the findings into compelling stories that resonate with clients!

Qualifications

We’re looking for strong, impactful work experience, which typically includes:
• +2 years of relevant data science and analytics experience
• Knowledge in Website/mobile (Adobe/Google Analytics)
• Knowledge in Adobe Test & Target
• Knowledge in Data Mining / Profiling
• Knowledge in Data Visualization: advanced Excel, Tableau, Power BI

Preferred Skills:
• Knowledge in CRM channels (email, Push Notifications)
• Knowledge in SQL
• Knowledge in R, Python
• Knowledge in Data Modelling/ML
• Knowledge in DMP/Digital Media
• Knowledge in Marketing Automation

Additional Information

Benefits
• Access to a high quality Prepaid Medical Plan.
• 100% Remote work.
• Flexible schedule.
• Technical trainings & soft skills development.
• Certification programs.
• Access to E-Learning platforms.
• English Lessons.
• Level up program.
• Engagement activities and events.
• A mentor who´ll do a coaching process with you to develop your professional career!

All your information will be kept confidential"
Machine Learning Engineer,NA,2023-01-30 12:16:02,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=Zz3-YwkbmDIAAAAAAAAAAA%3D%3D&fpstate=tldetail,La Haus,Full-time,US$20K–US$50K a year,"Medellín, Medellin, Antioquia, Colombia","At La Haus, our goal is to overhaul the entire home search and purchase process, by finding the best alternatives and providing top quality service. We launched in 2017 and had excellent traction. We have been backed by the top Real Estate Tech investors in the United States and Latam.

One of our goals is building an elite engineering team that can leverage the latest technological solutions with proprietary code. We are looking for technical and creative people who have experience in solving technical issues and wish to impact the real estate market strongly.

Required Qualifications

- At least 3-years experience developing data applications on a production environment.

- Experience with Python developing machine learning and statistical models

- Experience with Relational/nonrelational databases. MySQL, Redis, and PostgreSQL are in our stack.

Additional Qualifications

- Experience with deep learning applications using AWS sage marker, Tensorflow or other cloud-based... environments.

- Studies in statistics or math areas would be impressive.

Responsibilities

- Designing and building the most agile and most engaged platform for real estate negotiation.

- Adding or contributing new technology services and tools to our platform. Don´t be afraid of choosing new technologies and implementing them.

- Leadership skills. You don't only do what is needed. Proposing ideas and designing high-quality data products is expected.

- Researching, enhancing and improving our machine learning platform.

- Manage individual project priorities, deadlines, and deliverables.

Culture and work environment

- We want to incentivize a culture of hard work and responsibility. You can help us make our culture even better.

- As we are in an early stage of development office hours are necessary for creating and sharing ideas. However, remote work is allowed.

- We incentivize: agile development, ship fast, iterate, A/B testing, execute without authorization.

- Free beer, flexible time, weekly events provided by the coworking space (we work), free courses, confs, and some more perks. We still believe the best we can offer is the culture we have built and professional growth.

La Haus focuses on Startups, Real Estate Technology, Residential Real Estate, Mexico, and Colombia . Their company has offices in Medellín. They have a mid-size team that's between 51-200 employees. To date, La Haus has raised $10M of funding; their latest round was closed on June 2020.

You can view their website at https://www.lahaus.com or find them on Facebook and LinkedIn"
Machine Learning Engineer,2023-01-30,2023-01-30 12:16:03,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=ZvifjG7hwnQAAAAAAAAAAA%3D%3D&fpstate=tldetail,AI Fund,Full-time,NA,"Medellín, Medellin, Antioquia, Colombia","Leonisa is the # 1 brand in sales and the most recognized in Latin America, with exponential growth in the United States and Europe. A Colombian company with more than 60 years of experience in manufacturing, marketing and retailing, specialized in the production and commercialization of intimate apparel.

We are now looking for a Machine Learning Engineer to join the team and support our data-driven strategy.
What you will do:
• Lead development of our machine learning workflow and processes to enable rapid development of high performance machine learning models into production.
• Work with business and product teams to ensure machine learning solutions are addressing the correct customer needs.
• Collect data, perform data preprocessing, define performance measures based on development and test suites.
• Work interactively with our partners to build deep learning models and optimize / customize them for new applications.
• Develop production-ready software with fast and efficient... algorithms.
• Develop code to train, debug, and run deep learning models. Debugging models might include writing code to display the model itself or the results of the model. Running models means using the model to make inferences, using deep learning techniques to help improve the performance of the model.
• Develop traditional artificial vision techniques, understanding concepts such as linear / logistic regression, decision trees, support vector machines, clustering, etc.
• Quickly identify the most important areas of a machine learning project to focus on what will result in the greatest improvement: Trade Bias variation compensation, or overfitting and underfitting.
• Improve and evaluate the performance of Machine Learning models with small amounts of data.
• Apply coding best practices.
• Understand software design concepts such as functional object-oriented programming, the importance of modularity, information hiding, immutability, etc.
• Teamwork. You should be able to come up with ideas and have a healthy discussion about them, but in the end, spend your time making the final team decision.
• Take ownership of the continuous improvement process by giving ideas and translating those into actions.
What you will bring
• Strong background in training and/or implementing Machine Learning algorithms. At least 3 years of industry experience.
• Experience taking machine learning projects to production and maintaining these machine learning systems in production at scale.
• Knowledge implementing AI models
• Experience with Python or C/C++ by implementing multiple medium to large scale projects.
• Great communication skills. Ability to convey complicated technical topics to non-technical audiences.
• BS or MS in Computer Science, Engineering, or a related technical discipline or equivalent experience.
• Knowledge in software version control like Github, Gitlab or similar.
• (Bonus) Experience or knowledge in the retail industry.
• (Bonus) Familiarity with machine learning frameworks and libraries (e.g., scikit-learn, TensorFlow, PyTorch)
• (Bonus) Contributions to open source ML projects
• (Bonus) Experience with AWS and containerization technologies"
Exciting Anti-Money-Laundering AI Platform - Data Engineer / Data Scientist,NA,2023-01-30 12:16:03,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=aE9uqjHEgcsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Source Meridian,Full-time,NA,"Medellín, Medellin, Antioquia, Colombia","Company Description
• YOU NEED TO HAVE VERY GOOD ENGLISH SPEAKING SKILLS TO APPLY TO THIS POSITION.
• YOU NEED TO INSERT YOUR ENGLISH RESUME TO THIS POSITION AND ALSO ADD YOUR SALARY RANGE IN PESOS IF YOU APPLY
• Please only apply to this position if you are a Mid-Level to Senior Data Engineer / Data Scientist with a minimum of 5+ years of experience and technology experience listed below.
• You have to have the ability to work full-time for Source Meridian in Munich, Alemania or Medellin, Colombia, South America.
• We offer a generous compensation, relocation package and benefits for great engineers and developers living within South America and surrounding regions.

---------------------------------------

SOURCE MERIDIAN OVERVIEW

""YOUR COMPETITIVE ADVANTAGE""

Source Meridian is one of the fastest growing companies in the Colombia region and is an engineering and development focused services organization providing customers with early access to cutting edge technology, and helping... them to create and maintain their competitive advantage in the marketplace. Most of our clients are in the United States, but we also have clients in Europe and throughout the world. We have two offices in the United States and three offices in Latin America. Our offices are located in Philadelphia (US), Fort Myers (US), Medellín (CO), Rionegro (CO) and Cali (CO).

Our staff of international software engineers and data scientists work with clients to analyze their content models and business processes. We analyze and question existing business models, leveraging state-of-the-art technology that result in new products and new streams of revenue, while keeping our clients at the forefront of the industry. Our goal is to build products for our customers that use the technology of tomorrow rather than the technology of today.

Source Meridian is laser focused on specific technologies for the HealthTech, Software, Healthcare, Life Sciences and Publishing industries that include:
• Custom Web and Mobile App Development and Integration
• Big Data, Reporting and Analytics,
• Artificial Intelligence (AI), Machine Learning
• Blockchain Development

DESCRIPTION OF SOURCE MERIDIAN'S CLIENT THAT YOU WOULD BE WORKING WITH:

Industry Leading Anti-Money-Laundering AI Platform

Overview of the Problem
• The system to fight money laundering is fundamentally broken.
• Money Laundering is one of the most pressing burdens to global society and cost us 2.7% of global GDP annually.
• Financial institutions spend over USD $200B annually to comply with AML regulations.
• The outcome is a success rate of less than 1%.
• Financial institutions are not offered any appropriate solutions to ease the compliance burden and the risk of being fined.

Overview of the Solution you will be Building for our Client
• The software is supervised learning from operator behavior with decision trees/random forest and gradient boosting.
• Source Meridian's client has built the world’s most powerful central money laundering detection platform that assists financial intuitions with their financial crime compliance process end-to-end (transaction monitoring, investigation, filing and audit trails) for financial institutions.
• The platform offers ""Next-generation Detection"" and is an Anti-Money-Laundering (AML) solution of the future, combining simplicity in design with state of the art AI technology and cloud scalability.
• They drive efficiency drastically reducing the required monitoring and investigation time per case while increasing overall money laundering detection rate.

Job Description
• Data Science and Artificial Intelligence (AI) are at the heart of our client's product. We are looking for an ambitious and curious data scientist with data engineering skills who can actively drive improvements within our client's analytics pipeline.
• You will be responsible for data wrangling, feature generation, model building and predictions in production while also actively defining the product.
• You will help to set up the data science infrastructure for real-time money laundering detection.
• You will play a key role for the data engineering pipeline feeding the machine learning engine.
• You will be responsible for building and integrating predictive models for money laundering.
• You will help to communicate results in a way that will easily convince clients about the solution.
• You will help to design intuitive visualizations for the user interface of the platform.

Qualifications
• YOU NEED TO HAVE VERY GOOD TO FLUENT ENGLISH SPEAKING SKILLS TO APPLY TO THIS POSITION.
• YOU NEED TO INSERT YOUR ENGLISH RESUME TO THIS POSITION AND ALSO ADD YOUR SALARY RANGE IN PESOS IF YOU APPLY.
• Machine Learning/AI is your passion: You have a distinctive degree in data/computer science, mathematics, physics or statistics, an excellent understanding of applying machine learning techniques in a business context from 2-3 years of significant work experience Big Data does not scare you.
• You have experience with Big Data platforms such as Hadoop, Spark, Flink etc. and you are familiar with NoSQL databases, such as MongoDB, Cassandra, HBase etc.
• Data Engineering is not new to you: You have deep experience with feature engineering and data pipelines (e.g. using Spark or Kafka).
• Data Visualization is your kind of artwork: You are familiar with state-of-the-art visualization libraries such as D3.js, ggplot2 or matplotlib.
• The Cloud is your second home: You have worked with cloud platforms such as AWS, Google Cloud Platform, Microsoft Azure.

Additional Information

Interview Process:
• Screen by Chief Recruiting Officer
• Code Test
• Interview with Founder
• Decision"
Data Scientist,2023-01-24,2023-01-30 12:16:04,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=mZd9A74mXY0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Genius Sports,Full-time,NA,"Medellín, Medellin, Antioquia, Colombia","A Bit About Us

Genius Sports is the official data, technology and commercial partner that powers the global ecosystem connecting sports, betting and media.

Our mission is to champion a more sustainable sports data ecosystem that benefits all parties - from the rights holder all the way through to the fan.

We are the trusted partner to over 500 sports organizations globally, capturing the highest quality data for many of the world’s largest leagues and federations such as the NFL, NBA, MLB, English Premier League, Serie A, FIBA and the NCAA.

From enabling leagues to take control of their official data, to creating immersive fan experiences for sports, betting and media organizations, we are driven to the deliver the difference for our partners.

What We Do
• Sportstech

Data capture, management and analysis tools that help leagues run their sport, unlock new revenue streams, and protect the integrity of their competitions.
• Video

Fully automated streaming technology, production... and distribution services that help showcase sports to the world.
• Sportsbook

Everything a sportsbook operator needs to manage their operation and grow profits – all powered by the finest live sports data available.
• Media & Engagement

We help brands and publishers engage and monetize sports fans with personalized campaigns and content they will love.
• The Role

Data Scientist: Are you interested in being a member of a command-style team, without hierarchies, where you are permanently listened to, teach and learn, apply cutting-edge machine learning techniques that have to respond in real-time at massive scales (1,000,000 req / s)? Are you a team player (not a free electron or a dictator)? Do you want to become (or already are) a polyglot in programming languages, algorithms and data structures, distributed systems, and DevOps? If you identify with this model and work area, then we invite you to apply.

Main Responsibilities
• Design, prototype, implement, evaluate and optimize machine learning algorithms to predict/estimate the outcome probabilities of sport events
• Maintain best practices for software development, including deployment process, documentation and coding standards
• Contribute to technical and product discussions, and share knowledge and ideas with colleagues across the company

Required Skills
• Bachelor’s, MS or PhD in Computer Science, Mathematics, Computational Statistics, Machine Learning or related STEM fields
• Mid CS fundamentals (data structures and algorithms )
• Solid probability and statistics fundamentals
• Proficiency with Python, or other scripting languages (R, Matlab, etc)
• Experience with common machine learning algorithms (logistic regression, random forest, XGBoost, etc.)

Desirable Skills
• Passion for sports and knowledge of the rules
• Proficiency with Golang or/and C++
• Strong industry experience in model development, covering the full life-cycle from creation to deployment (Gitlab, AWS, Docker)
• Experience with real-time systems and/or high-performance computing

We Offer

As well as a competitive salary and annual leave allowance, our benefits include health insurance, skills training and much more, depending on location. We also offer a host of softer benefits, including many social events throughout the year such as summer and winter holiday parties, monthly team building events, sports tournaments, charity days and wellbeing activities.

Genius Sports Group is proud to be an equal opportunities employer. We recognize and celebrate the benefits that a diverse and inclusive workforce bring to our business, our customers and our staff. We welcome and will consider all applications regardless of age, disability, gender re-assignment, marriage, pregnancy, maternity, race or nationality, religion or belief, sex and sexual orientation (and any other status protected by applicable law"
Senior Machine Learning Engineer,NA,2023-01-30 12:16:04,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=GqbTphg2HkQAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Colombia,"EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.

DESCRIPTION
We are looking for a Senior Machine Learning Engineer who can design and implement standardized processes and technology capabilities for building, deploying and operating ML systems rapidly and reliably. To provide leadership in defining and implementing strategies and tools, working with internal and external stakeholders.

Half of the time is dedicated to the hands-on analysis of data... science initiatives, plans, and ML-powered products. In contrast, the other half is spent building data and modelling pipelines, tools, and applications to automate that process.

OUR VALUE, OUR PEOPLE
We aim to deliver truly transformative solutions around the world, with top-notch technologies, in high-performance professional teams. But none of these would be possible without our people, and that's where you come in.

As an EPAMer you will always be expanding your knowledge, facing and addressing the biggest challenges, and becoming the best version of yourself, both personally and professionally. We care about your development, and to support your growth in the company, there are many career paths you can follow within our Engineering & Advanced Engineering tracks. Plus, you'll be constantly working in multicultural teams with people from North America & Europe that will bring out the best of you.

Req.#306923195

#REF_HOU_CO
What You'll Do
• Own and contribute to ML pipeline design, development, and operating lifecycle based on best practices
• Design, create, maintain, troubleshoot, and optimize ML pipeline steps
• Own and contribute to the ML prediction endpoints design and Implementation
• Cooperate with Data System Engineers to configure ML lifecycle management environment
• Write specifications, documentation and user guides for developed applications
• Materialize ML pipelines created by data scientists
• Cooperate with data scientists on the design and implementation of predictive models
• Collaborate with data scientists and engineering teams to optimize ML pipeline performance
• Support improvement of coding practices and repository organization in the data science work cycle
• Contribute to the exploration and understanding of new tools and techniques and propose improvements
• Establish and configure CI/CD pipelines for Data projects
• Define ML Engineering best practices within data science and product teams
• Continuously identify technical risks and gaps, devise mitigation strategies
• Identify and cover hidden technical debt in ML systems
What You Have
• Experience working as a ML Engineer
• Experience working with one of the following MLOps related technologies:
• AWS SageMaker
• Azure ML
• GCP Vertex AI/AI Platform
• Experience working with one of the following technologies:
• Databricks
• MLFlow
• Kubeflow
• TensorFlow Extended (TFX)
• Spark ML
• Airflow
• Argo Workflow
• Expert level in Python, Java, or Scala
• Strong sense of leadership and growth mindset
• Fluent English (B1+)
Nice to have
• Experience with different types of databases: Relational, NoSQL, Graph, Document, Columnar, Time Series
• Experience in CI/CD
• Experience with IaC tools such as: Ansible or Terraform
• Experience with Docker & Kubernetes
• Experience with R Studio and R Language
We offer
• We trust our people. We believe in team distribution and that you know what you are doing, which is why you will be able to work remotely and have a flexible schedule
• We are both proud of working within a diverse and inclusive environment and acting in our role as an equal opportunities' employer. You are welcome at EPAM for who you are.
• You will be challenged while working side-by side with the best talent globally. We work with top-notch technologies, constantly seeking out new industry trends and best practices
• We are a global design community eager to share knowledge, experiences, and mentoring. You will learn, contribute, and grow with us.
• How does it sound to know you can have a 20+year career with us constantly growing and without the need to look elsewhere? We offer access to learning platforms, classes, and workshops to support your development. You will be set up for success with our clear career paths and support in helping you achieve the goals you set for yourself, both personal and professional
• We seek improvement in a proactive manner. You have the freedom to make recommendations, suggestions or simply comment on things without the pressure of adhering to hierarchy or strict processes
• We work with a broad range of clients: Media, Entertainment, Life Sciences, Automotive, Finance, Technology, and Travel. You will play a key role in growing their business and potentially work in multiple new industries
Apply"
Machine Learning Engineer,2023-01-13,2023-01-30 12:16:04,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=AlHb2Nh-Z1AAAAAAAAAAAA%3D%3D&fpstate=tldetail,Ipg Mediabrands,Full-time,NA,"Bogotá, Bogota, Colombia","Machine Learning Engineer within the Data and Identity Applied Science and Machine Learning team leverages Acxiom and third-party software to create solutions to business problems defined by specific business requirements. In this position, you will draw upon technical, ML engineering, Data and MLOps experience to solve complex marketing analytics problems on very large volumes of data.
As a Machine Learning (ML) Engineer You will build and operationalize machine learning pipelines involving terabytes of data.
Key Responsibilities

You will have the responsibility to help define requirements, create software designs, implement code to these specifications.
Work with Applied Scientists, Data Scientists, Product owners, ML Engineers, and Software Engineers to design and deliver ML solutions in production at scale.
Develop ML workflows and end-to-end pipelines for data preparation, training, deployment, monitoring, etc., and ensure the quality of architecture and design of our ML systems... and data infrastructure.

Desired Skills & Experience Required Experience • Bachelor’s Degree in Computer Science or equivalent experience to a Bachelor's degree • 2+ years professional experience in software development • Computer Science fundamentals in object-oriented design • Computer Science fundamentals in data structures • Computer Science fundamentals in algorithm design, problem solving, and complexity analysis • Knowledge of, at least, one modern programming language such as Java, C++, C, or Perl • Good communication skills: communicate ideas clearly and effectively to other members of the analytics team and to the client at multiple levels (both technical and business) • Proficient English Speaking and Writing Preferred Experience • 3+ years of experience building scalable ML infrastructure and big data systems. • Experience successfully mentoring junior ML Engineers. • High attention to detail and proven ability to manage multiple, competing priorities simultaneously. • Experience MLOps and orchestration tools such as Airflow, Kubeflow, Optuna, BentoML or similar tools. • Proficiency with Apache Spark, EMR/DataProc and Cloud based tools (Snowflake, Redshift, EMR, Glue, Step Functions, Lambda, Step functions, AWS Batch, or similar etc.). • Experience with ML libraries and deep learning frameworks (PyTorch, TensorFlow, etc.). • Experience with end-to-end software development and life cycle of ML solutions. • Analytic problem-solving skills with the ability to think outside-the-box • Analytical thinker that excels at analyzing and understanding data to answer questions • Excellent understanding of data concepts, data architecture, data manipulation/engineering, and data engineering design • Passion for considering how projects fit into the wider business picture • An understanding in multiple types of programming languages in order to be adaptable (statically typed vs. dynamically typed and object-oriented vs. procedural) • Self-Starter – Able to work independently with little guidance • Adaptable - Able to adapt to diverse technical challenges and systems • Ability to formulate and present insights with gathered data to both technical and non-technical peers, leaders, and clients What will set you apart • Experience in CI/CD/DevOps, Deployment and Automation Tool – CI/CD, Jenkins, Terraform, Cloud Formation Template or similar
About Us

At Kinesso, we believe in the power of connection – connected data, connected identity, and connected ecosystems. In a marketing and advertising world held back by disconnections, we build open and flexible solutions that play well with others and solve real marketing problems for brands and agencies. We do it with our market-leading identity and patented technologies, creating solutions that are responsible to people and that perform for brands. Matterkind is the company within Kinesso focused on activating addressable marketing. Matterkind’s approach is to put the audience at the forefront of everything we do, creating marketing that is relevant for people while still delivering results for brands. This is something Matterkind calls conscious marketing, and we believe it should be the only kind of marketing. We also believe you can be conscious and kind while delivering outcomes, which is why we create intentional, high-performance marketing that delivers guaranteed outcomes and results without risk"
Lead Data Scientist (Python - Machine Learning),NA,2023-01-30 12:16:05,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=U6af8OBze2UAAAAAAAAAAA%3D%3D&fpstate=tldetail,Publicis Groupe,Full-time,NA,"Bogotá, Bogota, Colombia","Company Description

At Publicis Groupe, we are looking for a Lead Data Scientist Fluent in English to join our Data Science Hub at Publicis Global Delivery, our talent powerhouse, the global interconnected network that provide offshore & nearshore solutions for our partners - sister companies´ business worldwide. 🌍

We currently have Hubs in Argentina, Colombia and Costa Rica and we are offering the amazing opportunity to take part of a globally distributed team that has a knack for understanding data and telling the story of why it matters. By joining our team, you´ll be working to uncover deep analytical insights to drive high-impact results to our international clients, having the unique opportunity to be part of a great variety of projects in a flexible, fast-paced and multicultural environment that is always growing and mutating.

Job Description

Day-to-day, your role includes:

You will be providing expertise on Advanced Analytics/Modeling techniques to drive marketing... performance, isolate key KPI trends and performance pacing, optimize consumer online/offline experiences, predict consumer behaviors, maximize sales conversion, drive optimizations and forecast critical business outcomes,

Qualifications

We’re looking for strong, impactful work experience, which typically includes:

· +5 years of relevant data science and analytics experience

· Advanced knowledge of Python/R and SQL

· ""Website/mobile (Adobe/Google Analytics)

· •Adobe Test & Target

· •Data Mining / Profiling

· •Data Visualization: advanced Excel, Tableau, Power BIPreferred Skills:

· •CRM channels (email, Push Notifications)

· •SQL

· •R, Python

· •Data Modelling/ML

· •Adobe Test & Target

· •DMP/Digital Media

· •Social

· •Marketing Automation

· •Other packages / platforms / skills""

Additional Information

Benefits
• Access to Prepaid Medical Plan
• Flexible schedule
• 100% Remote work
• 14 business days of vacation
• English lessons
• Discounts on courses, trainings and universities
• Access to E-Learning platforms
• Technical trainings & soft skills development
• Certification programs
• Level up program
• Engagement activities and events
• A mentor who´ll do a coaching process with you to develop your professional career"
Machine Learning Engineer,2023-01-26,2023-01-30 12:16:05,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=iJZfTFDT15QAAAAAAAAAAA%3D%3D&fpstate=tldetail,AI Fund,Full-time,NA,"Medellín, Medellin, Antioquia, Colombia","Bearing is at the forefront of bringing AI to the maritime shipping industry. This is a trillion dollar industry that moves 90% of the goods we interact with on a daily basis, but has traditionally lagged far behind other industries in adopting new technologies. At Bearing, we're changing that. We're building an AI-driven platform that helps shipping companies dramatically streamline their operations and tackle their single biggest pain point. We've already built our first product and have some of the world's biggest shippers as our partners. Our team is made up of highly experienced AI engineers and tech industry veterans and we're backed by the AI Fund and shipping industry investors.

We are currently looking for an exceptionally talented Machine Learning Engineers to join our small team. You will be responsible for end-to-end ownership of scalable Machine Learning systems — from data pipelines, to training, to analyzing performance in a production environment. Since you'll be... joining an early-stage startup at the ground level, you'll need to be able to wear multiple hats and thrive while working in a dynamic environment.

Design and train new production-ready machine learning models. You will lead the development of new machine learning models focused on converting a wide variety of data sets (e.g., ship sensors, weather, market rates) into actionable insights. You will apply fundamental machine learning concepts to quickly iterate and debug model related issues and develop new techniques to handle unique cases with each customer.

Collect, process and analyze data. A big part of our machine learning projects is understanding and analyzing the data. You must build pipelines and processes for cleaning and organizing data as well as build tools to help analyze data. You must also understand what types of data models are struggling with and use this analysis to propose solutions.

Analyze and improve existing models. You will also be responsible for analyzing performance of our existing models and work to improve their accuracy by applying the latest published research, feature engineering and tuning of hyperparameters.
What You Must Bring:
• 3+ years professional experience designing, training and deploying machine learning models
• Strong computer science foundation including data structures, algorithms and design patterns
• Expertise in Python demonstrated by implementing multiple medium to large scale projects
• Proven ability to implement and debug machine learning models
• Excellent communication skills and the ability to have in-depth technical discussions with both the engineering team and business people
• Familiarity with machine learning frameworks and libraries (e.g., scikit-learn, Keras, TensorFlow, PyTorch)
• Industry experience with relational databases and SQL-based tools
• BSc in Computer Science, Mathematics or similar field; Master's or PhD degree is a plus
• Self-starter and comfort working in an early-stage environment
Nice to Haves:
• Experience with big data pipeline technologies such as MapReduce, Spark, Kafka
• Research experience in machine learning or artificial intelligence related field
• Contributions to open source ML projects
• Experience working on logistics or shipping-related products
• Experience with Agile development

At AI Fund, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. AI Fund believes that diversity and inclusion among our employees is critical to our success as a company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool. Selection for employment is decided on the basis of qualifications, merit, and business need"
Senior Data Scientist,NA,2023-01-30 12:16:05,https://www.google.com/search?q=Machine+Learning+Jobs+Colombia&ibp=htl;jobs&sa=X&ved=2ahUKEwi4qOfcgPD8AhXwMzQIHWSCBbsQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=_Yjsc_OVbvIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Publicis Groupe,Full-time,NA,"Bogotá, Bogota, Colombia","Company Description

At Publicis Groupe, we are looking for a Data Scientist fluent in English to join our Data Science Hub at Publicis Global Delivery, our talent powerhouse, the global interconnected network that provide offshore & nearshore solutions for our partners - sister companies´ business worldwide. 🌍

We currently have Hubs in Argentina, Colombia and Costa Rica and we are offering the amazing opportunity to take part of a globally distributed team that has a knack for understanding data and telling the story of why it matters. By joining our team, you´ll be working to uncover deep analytical insights to drive high-impact results to our international clients, having the unique opportunity to be part of a great variety of projects in a flexible, fast-paced and multicultural environment that is always growing and mutating.

Job Description

What you’ll do:

You´ll be creating predictive models, using machine learning algorithms and artificial intelligence approaches, to... process, integrate and manipulate big data from distributed systems, synthesizing the results and translating the findings into compelling stories that resonate with clients!

Qualifications

We’re looking for strong, impactful work experience, which typically includes:
• At least a 4 year degree in mathematics / statistics / programming / data science etc., or equivalent hands on coding and deep analysis
• Strong programming skills in Python/R and SQL
• Knowledge of the following statistical techniques: Markov-Chain, Probability distribution, regressions, principal components, ANCOVA, gain charts, decay models, MVT design, bias removal / addressing, significance testing etc.
• Descriptive and inferential statistics background.
• Need to have personally written code to pull, collate, stitch, and analyze data (ideally with sources such as DCM log files, DMPs, variables and descriptors in GA / AA, CRM files, cookie-based data, derived / disconnected fields in data etc.)
• Scripting solutions for budgeting, forecasting, anomaly detection, cost reconciliation, data refreshes, mapping etc

Additional Information

Benefits
• Access to Prepaid Medical Plan
• Flexible schedule
• 100% Remote work
• 14 business days of vacation
• English lessons
• Discounts on courses, trainings and universities
• Access to E-Learning platforms
• Technical trainings & soft skills development
• Certification programs
• Level up program
• Engagement activities and events
• A mentor who´ll do a coaching process with you to develop your professional career"
