Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-24,2023-01-30 12:16:45,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=G8EPsLHQ6x4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Wargaming Global,Full-time,NA,"Nicosia, Cyprus","Job OverviewAs a part of Creative Research team, you will work in the intersection of game development and data science areas. Your role will be to deliver state-of-the-art Machine Learning solutions for our game development processes. The ideal candidate won’t just help us to solve tasks, you will bring a new knowledge and experience to the team. As a subject matter expert, you will be combining your professional experience and an intrinsic desire for problem solving, with your passion of games in order to explore a new frontier within the realm of game development with our data scientists and academic research partners.

We are looking for a new team member with strong interpersonal skills and a combination of analytical skills, intellectual curiosity and accountability. The ideal candidate is intelligent, sharp, detail-oriented, and highly quantitative individual with a passion for gaming, data modeling, analysis, and working with cross-functional teams.

What will you do?• Analyze... data and apply researching, designing, prototyping and productization of machine learning solutions to challenge various business issues in game development
• Prepare documentation in a simple, understandable way for a business or technical audience
• Develop specifications for created models for further automation
• Design, prototype, and implement advanced machine learning algorithms to help improve player experiences. Work with data science and engineering team to implement robust processes in real time
• Review relevant academic and industry research to identify useful algorithms, techniques, libraries, etc. Monitor latest Machine Learning / Artificial Intelligence trends and cutting-edge technics to leverage them on our projects
• Frame and conduct intricate analyses and experiments using extremely large, complex (not always well-structured, highly variable) data sets, analyze large amounts of information to discover trends and patterns
• Create statistical models and machine learning algorithms that provide insights and direction for overall game feature design and level design
• Research, implement and improve Machine Learning solutions to improve our game production processes or players experience
• Modify game code to allow effective implementation of ML algorithms
• Develop tools and processes that will help team members and stakeholders analyze experiment results
• Collaborate with other ML and game teams to industrialize Machine Learning solutions into innovative products and business processes

What are we looking for?• Bachelor’s degree in a relevant field (computer science, applied mathematics, statistics, data mining, etc)
• Proven solid commercial programming experience with developing machine learning systems in a professional environment
• Understanding of the mathematical foundations of machine learning algorithms,knowledge of probability theory and mathematical statistics
• Proficiency in Python and multiple libraries (NumPy, OpenCV, XGBoost, Scikit-Learn, Pandas, etc.), in data models and architectures
• Experience using machine learning frameworks (Pytorch, Tensorflow, MxNet, Caffe, etc.)
• Teamwork experience, ability to work independently as well as in small teams with minimal supervision
• Excellent interpersonal skills, ability to communicate effectively to both technical and non-technical team members
• Intermediate or higher level of English

What additional skills will help you stand out?• Experience in game development industry
• Experience with Reinforcement Learning, Generative Adversarial Network, NLP and other state of the art techniques
• Experience with other programming languages (C++, C#, R, etc.)
• Familiarity with data extraction across different database architectures (structured and non-structured)
• Experience with CUDA, cuDNN
• Experience with cloud data/data processing services
• Advanced data visualization skills
• Experience in creating analytical reports in English and Russian

About Wargaming Wargaming is an award-winning online game developer and publisher headquartered in Nicosia, Cyprus. Operating since 1998, Wargaming has become one of the leaders in the gaming industry with 15 offices worldwide, including studios in Chicago, Prague, Shanghai, Tokyo, and Vilnius. Our diverse and multicultural team works together to deliver a top-class experience to millions of players who enjoy Wargaming's titles across all major gaming platforms. Our flagship products include free-to-play hits World of Tanks, World of Warships and World of Tanks Blitz.

Please see Wargaming Candidate Privacy Policy for details on how Wargaming uses your personal data"
Machine Learning Engineer,2023-01-25,2023-01-30 12:16:45,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=GyZV-sVNK-kAAAAAAAAAAA%3D%3D&fpstate=tldetail,Soula,Full-time,NA,"Limassol, Cyprus","We are an early-stage startup SOULA, working on a personalized educational and emotional support App for mothers during and after pregnancy.

We want to create a Virtual Assistant, providing women with information, support, and useful practices to prepare for birth and postpartum, with a special emphasis on mental and emotional well-being.

Soula_Demo https://youtu.be/9YH8G4mCe2A

We are looking for an experienced and autonomous ML engineer to work on specializing in a Large Language Model (e.g., GPT-3) for a mobile App - a Virtual Assistant for pregnant women.

We are building a productive team focused on creating an exceptional product.

Responsibilities:
• Develop a prod workflow to specialize Large Language Models (e.g., GPT-3) to meet prod quality bar, develop workflow for continuous model finetuning to improve quality and mitigate low-quality, off-topic answers and/or hallucinations.
• Work closely with content and domain experts to create eval and finetuning data set
• Analyze... business problems and look at current and possible tools to speed up the path to production
• Lead the end-to-end ML product lifecycle
• Optimization of cloud costs, e.g., enable caching mechanisms, reduce number of API calls, optimize model size, etc.
• Work in SCRUM team, active participation in all Agile processes

We expect:
• Hands on experience with developing state-of-the-art models for NLP tasks
• MSc (preferably PhD) in ML, Computer Science, Mathematics, or related fields
• 3+ years of work experience in developing and productionizing state-of-the-art NLP models
• Experience with LLM fine-tuning (e.g., GPT-3, T5 or similar large scale generative models)
• Having peer-reviewed publications in NLP or related ML fields is a big plus
• Experience with cloud deployments, focused on automation, scale, performance and reliability
• Having a history of participating in Kaggle competitions is a big plus
• Experience in Python and preferably in C++ or Java or Nodejs
• Excellent communication skills
• Experience with decomposing technical tasks into subtasks and ability to solve them independently
• Ability to work autonomously and complete tasks. We are looking for an independent and proactive team member who would help to build a healthy software engineering culture to provide the basis for future company growth.

We offer:

In SOULA, we focus on an individual approach to our users and employees. And we are ready to discuss the benefits and conditions essential for you to achieve a win-win cooperation format. Welcome aboard!

Contact information:

ceo@soula.care

+35799188876 tel/what’s up

Natallia Miranchuk"
Machine Learning (ML) Engineer,NA,2023-01-30 12:16:46,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=ehLvODn0eFQAAAAAAAAAAA%3D%3D&fpstate=tldetail,HR INNOVATE,Full-time,NA,Cyprus,"A global tech firm specializing in banking systems utilizing AI is joining us in Cyprus with an additional team and office, we are looking for Machine Learning Engineers to join this new venture. }}"
Software Developer – Machine Learning,2023-01-26,2023-01-30 12:16:46,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=Td9eCHHJ2B8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Albourne,Full-time,NA,"Nicosia, Cyprus","Who We Are

Albourne is a global financial services group of companies. Our objective is to advise our clients to be the best investors they can be. The company’s main areas of focus are fund research, portfolio and risk advice, FinTech and implementation. Albourne’s company in Nicosia opened in 1998 and it provides back office and IT services to the regulated companies of the Albourne group; it currently has over 200 dynamic employees and we are looking to have more to join our teams across various functions.

Role in Brief

The purpose of this role is to utilize Albourne's database to research and train Machine Learning models that will improve the efficiency of end-users. As a Machine Learning developer, you will be involved in researching new technologies, that can be utilized to solve business specific problems, work with existing data structures to create datasets that can be used for training and assist in the training and testing of new models.

Insights to the Role
• Creation... of datasets to assist in model training
• Research and develop ML models to solve specific tasks
• Write and monitor machine learning tests
• Assist in expanding the Machine Learning pipelines currently in place
• Research how new state-of-the-art models can solve Company problems
• Evaluating performance of machine learning models
• Training or re-training new and existing models
• Investigate new technologies
• Estimate time required to complete given tasks
• Communicate with business users for development needs
• Adhoc projects upon request
• Pro-actively seek ways to improve maintanability and resilience of systems
• Pro-actively seek ways to improve user experience

Who You Are
• Graduate degree or equivalent in Computer Science, Data science, Mathematics or equivalent
• Understanding of ML frameworks (NLP to be considered an advantage)
• Experience with deep learning frameworks an advantage
• Strong organizational and time management skills
• Strong ability to multi-task and set priorities
• Strong programming skills (Java, Python)
• Comply with terms of Albourne Compliance Manuals
• Attend company events upon request

What We Offer
• Career growth and tools for ongoing learning and development
• Medical insurance for you and your dependents
• Provident fund
• Yearly bonus dependent upon performance and company growth
• Opportunity for international travel (i.e., short periods of secondment to other Albourne offices)
• 5 additional service recognition holidays in surplus to standard annual leave
• Albourne Training Days (minimum of 40 hours per year)
• Free office parking

What You’ll Enjoy
• A supportive, multi-cultural work environment
• Freedom to work independently, problem-solve and come up with creative solutions to complete tasks within required deadlines
• Explore different roles within Albourne after you master your current role. There are excellent opportunities for horizontal and vertical career progression
• Open plan office equipped with kitchen facilities and communal entertainment area
• Fun social activities
• Charity Day – a day in the year to work on a cause you are passionate about
• We are supportive of fitness, mental health and wellness; implementing company-wide sessions for people to partake in activities related to these areas

Albourne embraces diversity and equal opportunity for all its employees.

We are committed to building teams that represent a variety of cultural backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be.

Successful candidates would be required to comply with the terms of Albourne’s compliance manuals and procedures.

We thank all applicants for their interest, however only those candidates selected for interviews will be contacted"
Postdoctoral Research Fellow in Machine Learning and Data Science for...,2023-01-23,2023-01-30 12:16:46,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=IfYoF7twzLMAAAAAAAAAAA%3D%3D&fpstate=tldetail,The Cyprus Institute,Full-time,NA,"Aglantzia, Cyprus","The Cyprus Institute (CyI) is a European Non-profit Science and Technology oriented Educational and Research Institution based in Cyprus and led by an acclaimed Board of Trustees. The research agenda of the CyI is pursued at its four Research Centres: The Computation-based Science and Technology Research Centre (CaSToRC), the Science and Technology in Archaeology and Culture Research Centre (STARC), the Energy Environment Water Research Centre (EEWRC) and the Climate and Atmosphere Research Centre (CARE-C). Considerable cross-centre interaction is a characteristic of the Institute’s culture.

The Cyprus Institute invites applications for a highly qualified and motivated individual to join the Institute as a Postdoctoral Research Fellow in Machine Learning and Data Science for Climate Science in CaSToRC. The successful candidate will apply Machine Learning for investigating key processes of the Earth System, including (but not limited to) the following:
• Extreme event (weather... temperature, precipitation, etc.) risk detection
• Data-driven and hybrid modeling of the Earth system
• Using machine learning to develop new parameterizations for climate models
• Causal inference in the context of climate change
• Machine learning in support to air quality modelling for exposure mapping, super-resolution, short-term forecasts and long-term projections

The candidate will be working primarily with Prof. Constantine Dovrolis (recently moved to CyI from Georgia Tech -- see http://www.cc.gatech.edu/~dovrolis/) as well as with Prof. Theo Christoudias (http://christoudias.cyi.ac.cy/) and Prof. Johannes Lelieveld.

(https://www.cyi.ac.cy/index.php/care-c/about-the-center/care-c-our-people/itemlist/user/67-jos-lelieveld.html) from CARE-C.

This position offers a unique opportunity for fundamental research and its exact focus will be determined also based the interests and skills of the successful candidate. The successful candidate will also work closely with the PIs in writing relevant grant proposals.

The appointment is for a period of 2 years, with the possibility of renewal subject to performance and the availability of funds. An internationally competitive remuneration package will be offered, which is commensurate with the level of experience of the successful candidate.

Responsibilities/activities to be involved in:
• Development of novel Machine Learning/AI models for the analysis of climate phenomena
• Collection and statistical analysis of observational and model data relevant to atmospheric and climate change, with a special focus on the Eastern Mediterranean and the Middle East (EMME)
• Writing Research Papers in collaboration with the PIs -- aiming to publish at top-tier conferences and journals
• Presentation of results in conferences and meetings and participation in journal publications
• Contribution to research proposal preparation, project (scientific) reporting & project management
• Supervision and guidance of Research Assistants and Students

Required Qualifications
• PhD in computer science, geosciences, physics or a related field (such as computational science, applied math or climate science) at the time of the appointment (The candidate must hold a PhD degree of a recognized higher education institution before the deadline of the opening. Candidates who have successfully defended their doctoral thesis but who have not yet formally been awarded the doctoral degree will also be considered eligible to apply provided that they can document their successful defense of the thesis)
• Publications in the areas of Artificial Intelligence and/or Machine Learning (either developing new methods in these areas -- or applying existing methods in climate science)
• 3 year-experience (including PhD research)
• Understanding of fundamental concepts in climate science
• Proficient programming skills (preferably in Python) and experience with deep learning frameworks such as PyTorch
• Ability to work as part of an interdisciplinary team while showing initiative and independence
• Excellent knowledge of the English language (written and verbal)

Preferred Qualifications
• Experience with statistical methods for climate datasets
• Background in atmospheric dynamics, climate modeling

Application

For full consideration, interested applicants should process their application at The Cyprus Institute Exelsys Platform, by clicking the ‘Apply’ button and based on the instructions given.

Applicants should submit a curriculum vitae including a short letter of interest, list of publications and a list of three (3) referees (including contact information) (all documentation should be in English and in PDF Format).

For further information, please contact Prof Constantine Dovrolis (c.dovrolis@cyi.ac.cy).

Please note that applications which do not fulfill the required qualifications and do not follow the announcement’s guidelines will not be considered.

Recruitment will continue until the position is filled.

The Cyprus Institute is an Equal Opportunities Employer certified from the Cypriot Ministry of Labor and also an HRS4R accredited Institution that adheres to the European Commission’s “Charter & Code” principles for recruitment and selection.

Contact person: Prof C. Dovrolis

Reference number: CaSToRC_PDF_22_15"
Artificial Intelligence Engineer,2023-01-30,2023-01-30 12:16:47,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=ZAO7hoSLcfAAAAAAAAAAAA%3D%3D&fpstate=tldetail,eBOS,Full-time,NA,"Nicosia, Cyprus","eBOS Technologies Ltd is an innovative and client-focused Information Technology company headquartered in Nicosia, Cyprus, providing advanced e-business software solutions to enterprise customers on a worldwide basis. We seek to hire an outstanding Senior AI & ML Software Engineer to lead our team of AI/ML experts.

Responsibilities

The Senior AI & ML Software Engineer will lead our team of AI/ML experts and undertake/supervise/coordinate the design, development, testing, validation of AI & ML algorithms and their integration in the company’s Enterprise Resource Planning portfolio of services (WiseBOS Suite), as well as in EU-funded R&D projects in which the company participates. In particular, to:
• Supervise and manage the team of AI/ML experts and closely collaborate with our Software Development team.
• Undertake feasibility studies to integrate AI/ML functionalities into software systems;
• Research novel AI/ML techniques to design and develop tailored AI/ML algorithms;
•... Develop datasets to methodologically test the novel AI/ML algorithms;
• Successfully integrate the new AI/ML algorithms and techniques into software systems;
• Take part in related R&D activities of the company, including training, project meetings, contribution to funded R&D projects, etc., as required.

Qualifications, skills and expertise
• MSc in Computer Science or related area (e.g. Maths, Physics, Electrical/Electronics Engineering);
• Preference will be given to PhD degree candidates in above areas, preferably specialised in Artificial Intelligence and Machine Learning/Deep Learning/Data mining;
• Strong research skills with prior experience in supervised and unsupervised model building and optimisation;
• Research track record in related areas with preference for industrial and/or Horizon 2020 projects;
• Excellent knowledge of Microsoft SQL Server 2016 and above;
• Excellent communication and team management skills;
• Fluency in verbal and written English language;
• At least 4 years of prior industry experience in AI / ML Development

Benefits
• Very attractive salary, based on qualifications and experience;
• Provident fund and national health insurance scheme;
• Access to proprietary knowledge and tailored training;
• Excellent long-term prospects for career & skills development.

Interested applicants should forward their Curriculum Vitae in confidence to the Human Resources Manager

Email: hrmanager@ebos.com.cy"
Data Engineer,2023-01-27,2023-01-30 12:16:47,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=oLFBCPT-lWwAAAAAAAAAAA%3D%3D&fpstate=tldetail,MUFG Investor Services,Full-time,US$95K–US$171K a year,"Limassol, Cyprus","Company DescriptionMUFG Investor Services is a member of the Mitsubishi UFJ Financial Group, a leading global financial services group, aiming to deliver unparalleled experience to the Group’s customers by successfully meeting their continuous needs. Imagine your future at MUFG Investor Services where you can grow professionally, in a diverse and inclusive workplace that rewards your contribution.Job DescriptionThe successful candidate will be part of a team which will be responsible for the correct, timely and efficient flow of data from various source systems to various end points.Key Responsibilities:Develop data flows based on the requirement by executing the necessary steps of data transformation, data validation and mapping using nifi, SQL and Python.Develop necessary components to establish connection with various sources of data and destinations via API, SQL, S3, SFTP and any other communication protocol.Maintain and apply changes on existing flows running on nifi ETL... tool.Perform thorough testing and validation to support the accuracy of data transformations, data verification and delivery.Develop unitest and regression tests.Prepare release plans and coordinate with the stakeholders and release engineers to ensure the proper execution.Provide post-implementation support and troubleshoot any potential issues.Provide 2nd and 3rd level support to operation teams and resolve issues in a timely manner.Prepare documentation of existing and new data flows as well as clients’ procedures.QualificationsBachelor’s degree in Computer Science or a related technical field or equivalent experience.3 - 5 years of commercial experience ETL tools (experience with Apache NiFi will be considered an advantage).Experience with programming languages such as Python will be considered as advantage.Experience in data-related process controls.Experience working with a team of developers using agile methodologies to achieve planned process deliverables.High level of accuracy and attention to detail.Demonstrate commitment to providing customer-focused quality service.Excellent verbal and written communication in English.Good teamwork and collaboration skills.Additional InformationCompensationMUFG Investor Services provides all of its employees with a competitive and attractive compensation package.Starting salary will be dependent on experience and skills.BenefitsCompetitive remuneration packageHybrid- & Flexible- Work modelMedical insuranceProvident FundLife Insurance, Permanent Total Disability, Dread and Disease InsuranceFitness Activity ReimbursementReimbursement of Professional FeesWe thank all candidates for applying; however, only those proceeding to the interview stage will be contacted.If you are contacted for a job opportunity, please advise us of any accommodations needed to ensure fair and equitable access throughout the recruitment and selection process. All accommodation information provided will be treated as confidential and used only for the purpose of providing an accessible candidate experience.MUFG is an equal opportunity employer"
Senior Machine Learning Engineer (Generative AI),2023-01-20,2023-01-30 12:16:48,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=GPCELFr13e4AAAAAAAAAAA%3D%3D&fpstate=tldetail,AIBY,Full-time,NA,Cyprus,"With over 50 products and 1 billion installs worldwide, AIBY is at the forefront of AI development. Creativity and team spirit are the backbone of our company, and thanks to them, we boast such titles as NatureID, HitMeal, Fonts Art, InPulse, and CountThis. Here, you can do the work you enjoy while helping millions of people.

To further expand our horizons and achieve even bigger results in a number of fields, we’re looking for a Machine Learning Engineer to join our team.

What tasks need to be performed:
• The optimization of deep neural networks for fast inference (distillation, quantization, research into new architectures, etc.).
• Training and fine-tuning of multi-modal diffusion models using custom datasets.
• The deployment of generative models using various inference engines like TensorRT, AITemplates, and CoreML.
• Cooperation with the Engineering Team and the visualization and reporting of the results of your research to the Product Team.

Tech stack:

Inference engines ... deployment:
• TensorRT + NVIDIA Triton Server + FastAPI;
• AITemplates + Lightning (FastAPI) + RabbitMQ;
• CoreML - will be a plus.

ML frameworks:
• PyTorch + JAX;
• HuggingFace: diffusers, transformers, tokenizers;

ML/DL approaches:
• Distillation, quantization;
• Diffusion Models;
• Super Resolution;
• Generative Adversarial Networks (adversarial training, perceptual loss);
• Traditional Computer Vision: object detection, classification, semantic segmentation ( will be a plus).

You are a good fit for this role if you:
• Have at least 5 years of experience with Python and 3 years of experience with Pytorch ;
• Demonstrate on-hands experience with the development process in DL and ML (Docker, git, TensorBoard, DVC, Weights & Biases);
• Have experience with a similar stack;
• Prove English proficiency of at least B1

Will be a plus:
• Public activity on Kaggle, GitHub, Leetcode or Social media.
• Software development background.
• At least B1 level of Belarussian/Ukrainian/Russian

What we offer:
• A variety of unique projects;
• Independent decision-making and no meaningless paperwork;
• A chance to influence the development of our products directly;
• English courses;
• Sports reimbursement program;
• Compensation of psychological counseling;
• Reimbursement of expenses for professional courses and trainings;
• A variety of corporate events and team-building activities;
• Medical insurance and assistance (depends on the location);
• 25 calendar days of paid vacation;
• 5 sick days and other benefits"
Junior Data Scientist,NA,2023-01-30 12:16:48,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=ThHIhTyETpoAAAAAAAAAAA%3D%3D&fpstate=tldetail,HR INNOVATE,Full-time,NA,Cyprus,As a Junior Data Scientist are you interested in working within an in-house Artificial Intelligence Team? Are you ready to undertake a challenging role and push the limits of Artificial Intelligence through innovative products }}
Machine Learning / AI,2023-01-26,2023-01-30 12:16:48,https://www.google.com/search?q=Machine+Learning+Jobs+Cyprus&ibp=htl;jobs&sa=X&ved=2ahUKEwjQ48bxgPD8AhWtLTQIHRr0DxEQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=_6tZbKKmADMAAAAAAAAAAA%3D%3D&fpstate=tldetail,HRUs Partners,Full-time,NA,"Nicosia, Cyprus","HRus Partners, on behalf of our client, a well-established IT services company, is looking for a Machine Learning / AI to join their team.

Responsibilities:
• Experience building end-to-end systems as a Platform Engineer, ML DevOps Engineer, or Data -- Engineer (or equivalent)
• Strong software engineering skills in complex, multi-language systems
• Fluency in Python
• Comfort with Linux administration
• Experience working with cloud computing and database systems
• Experience building custom integrations between cloud-based systems using APIs
• Experience developing and maintaining ML systems built with open-source tools
• Experience developing with containers and Kubernetes in cloud computing environments
• Familiarity with one or more data-oriented workflow orchestration frameworks (Kubeflow, Airflow, Argo, etc.)
• Exposure to machine learning methodology and best practices
• Exposure to deep learning approaches and modeling frameworks (PyTorch, TensorFlow, Keras, etc.)
•... Qualifications:
• 2–5 years’ experience building production-quality software.
• Bachelors or Master’s degree and/or equivalent professional experience

If you think that you can be a good fit for this position, please send us your CV to careers@hruspartners.com"
