Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-24,2023-01-30 12:18:21,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=4sxK_xSGlBcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Prophetics,Contractor,NA,Estonia,"We are growing Prophetics, a technology company focusing on natural language processing for business insight and predictive intelligence.

Prophetics looks for ML talents, we will love to hear about your experience and skills. Strong profiles of different nature are welcome to apply, strong graduates with solids mathematics and computer science fundaments as well as experienced machine learning engineers with a rich industrial exposure. We have great products in mind and we are building a community of engineers to embark on our journey.

You will work with us either under contract or as a freelancer, which means that you can join our community even if you are currently employed or doing other things.

Responsibilities

Future work responsibilities might include, depending on your skills and the projects at hands:
• Work on architecting and prototyping machine learning algorithms, and developing technologies/architectures that make machine learning algorithms better suited for low... power resource constraint implementations.
• Work in a team that is focused on innovation and pushing the boundaries of what is possible with resource constrained systems, by managing iterations of innovating, building, and testing ideas.
• Apply advanced statistical / ML methods and work with large, complex data sets, etc.

Qualifications
• BSc/MSc/PhD in Machine Learning, Computer Science or a related quantitative field
• Experience as a ML Engineer, delivering and running ML models in production. Experience with machine Learning Frameworks (PyTorch, MXNet, Tensorflow, etc.)
• Very strong coding ability, experience in development in at least one mainstream programming language (Python, Java, C++ etc.)
• Excellent knowledge of natural language processing techniques and applications
• Creative thinking, passion, drive, ability to learn quickly
• Outstanding communication skills

(Preferred)
• BSc/MSc/PhD from a top institution, Oxford, Cambridge, Ecole Polytechnique, Stanford, MIT., ETHZ, etc.
• Significant research and publication experience
• Experience in developing custom neural network architectures and/or loss functions.
• Experience building large-scale production ML models and systems with a track record of innovation and having taken large machine learning-based products, and features, from conception to successfully delivering value to customers in production.
• Experience with Kubernetes, CI/CD, Docker, code optimization, parallel programming, etc.

✈ First, you go through two interviews assessing both personality fit and technical skills; this is a selective process.

👍 Second, if we decide to move forward, you'll become part of the Prophetics community, our selective talent pool; you can advertise your belonging to the network on LinkedIn or your resume. 💪

🤓 As we develop our activities, we call you when there is a need. If you are available and interested, we propose you a contract to work with us and our customers. 👏

Please include your CV as a pdf file named "" "", e.g., ""Pablo Picasso.pdf"
Data Scientist,NA,2023-01-30 12:18:21,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=TX5yynZ0eb8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Bolt,Full-time,NA,Estonia (+1 other),"We are building a top European data science team focused on urban mobility and are looking for exceptional people to join our team. You will enjoy an opportunity to use your creativity in algorithm design and apply cutting-edge technologies to develop models, automate and optimize data-driven decisions and enable the entire organization to tap into the value of ML technologies. We partner with people from strong technology companies and computer science institutes.Some examples of real life projects we work on:
• Balancing demand and supply through algorithmic pricing
• Optimising the potential investment portfolio over markets and product lines
• Processing documents at scale through computer vision and OCR
• Using recent traffic patterns for predicting accurate ETAs
• Inferring missing map elements using the GPS traces of our drivers
• A/B experimentation platform and agent-based simulation of cities
• User behavior pattern analysis and prediction

Your daily adventures will... include:
• Working with a technical stack consisting of Python, Docker, SageMaker, Airflow, Spark, Redshift
• Solving real world problems using gradient boosted trees, uplift modelling, mathematical optimisation, time series forecasting, recommender systems, deep learning and more
• Translating business problems to technical specifications
• Handling the entire lifecycle from exploratory queries and notebook prototypes to a working machine learning model or other automation that might be serving thousands of calls per second in production
• Leveraging our in-house data and model platform that allow you to launch new projects in a matter of days
• Working in product feature teams together with data analysts, product managers and software engineers
• Discussing the problems and technical innovations within the broader data science team that provides a pool of peers and mentors
• Deploy and validate solutions for millions of users, enabling fast feedback and measurable added value to customers

We are looking for:
• ***
• Industry experience in data science and machine learning (3+ years recommended)
• Awareness of both business and technical aspects of data science
• Experience in Python programming, including libraries like Pandas/Numpy/sklearn/OR-tools
• Experience writing complex SQL queries
• Understanding and practical experience with statistical hypothesis testing
• Proactive mindset, willingness to take initiative and work with little supervision
• Enthusiasm to collaborate with different roles in product, analytics and engineering to identify problems, explore trends and untap growth opportunities
• Strong verbal and written communication skills in English
• Track record of deploying models to production and measuring the impact

You will get extra credits for:
• Product development experience in a technology company
• Experience with experimentation or simulation
• Experience with causal inference from observational data
• Familiarity with any cloud systems (AWS, Azure, Google app engine)
• PhD, MSc or BSc in a quantitative field

Bolt focuses on Transportation, Technology, Urban Mobility, Food Tech, and Ride Sharing. Their company has offices in Europe, Africa, and Tallinn. They have a very large team that's between 1001-5000 employees. To date, Bolt has raised $2.013B of funding; their latest round was closed on January 2022 at a valuation of $8.4B.

You can view their website at http://www.bolt.eu or find them on Twitter, Facebook, and LinkedIn"
Data Scientist,2023-01-30,2023-01-30 12:18:21,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=6SWSDqkQbHQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Jobbatical,Full-time,NA,"Tallinn, Estonia","Company Description

Moving to a new country is as easy as booking a flight!

Jobbatical.com helps the world work together by making international hiring easier than hiring locally.

Our team is on a mission to increase net talent mobility in the world and the best way of doing that is by making the hardest part of relocating to another country – immigration – ridiculously easy. We have ambitious plans for the future that start with helping hyper-growth startups and global companies scale by taking over employee relocation off their plate, both through our services and now also with our technology platform. And,we live by our motto

On time. Every time. No drama

Job Description

We are looking to hire a highly creative data scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges, and communicate with interested parties.

To succeed in this position; you... need to be curious, creative, and tech-savvy. You need to stay up to date with data programming software and apps, have an outstanding understanding of statistics and mathematics, and be proficient in writing algorithms. Top candidates will be persistent and have excellent analytical and problem-solving skills.

Responsibilities:
• Communicate with product managers and other team members to understand the business needs, and requirements.
• Determine necessary models and algorithms that meet solution requirements.
• Gather, understand, clean, and process data for modeling purposes.
• Write SQL, Python, or Node Js scripts that can be used to automate the data preparation process.
• Researching solutions to overcome data analytics challenges.
• Build and deploy models using open-source and proprietary tools.
• Test and validate model results for robustness and accuracy.
• Create effective and quality visualization dashboards for presenting the results.
• Build data API to automate and integrate with different systems in a scalable way.
• Providing technical expertise in data storage structures, data mining, and data cleansing.
• Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders.
Qualifications
• At least 2 - 3 years of industry experience in analyzing large data, building visualizations, and building and deploying machine learning models.
• Experience in building clustering, classification, regression, time-series forecasting, and other predictive analytics and machine learning models using Python or other programming languages.
• Experience in building user-focused visualizations using tools like Metabase, PowerBI, Looker, Google spreadsheets, etc.
• Experience in data wrangling using SQL or similar tools.
• Strong math/statistics/probability/data modeling background.
• Ability to analyze existing tools and databases and provide software solution recommendations.
• Prior experience in NLP is preferred. Willingness to learn and work on NLP is a must.
• Experience in image processing is a plus.
• Knowledge of Google cloud platform data science tools and open-source ML tooling is preferred.
• Knowledge about cost-effective data science processes and automation is a plus.

Who You Are:
• You take time to ask questions and define the problem before considering a solution.
• Demonstrated ability to exchange ideas and convey complex information clearly and concisely, both verbally and in writing.
• Comfortable in explaining a technical topic to technical and non-technical audiences.
• Has a value-driven perspective with regard to the understanding of work context and impact.
• While you are strong individually, you know that we succeed or fail together as a team.

Additional Information

Our Engineering team is made up of awesome people;

We are a remote working company, and it is important to reach your goals from wherever your location is.

We are happy to offer you:
• Great compensation and (if you need it) a solid relocation package.
• Company options.
• Possibility to work with passionate professionals.
• International challenges that grow your knowledge and skills.
• 28 working days of paid vacation, 3 YOLO days annually.
• Our perks include wellness support, books, courses, a teambuilding budget, etc.
• Any hardware necessary: Mac, headphones, etc.
• Flexible Work.
• Annual offsite. Karaoke included.

Learn more about the company and the team here: https://jobbatical.com/about"
Senior Machine Learning Engineer,2023-01-14,2023-01-30 12:18:22,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=2eXU_qq-HGMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siena AI,Full-time,NA,"Tallinn, Estonia","At Siena, we are pioneering the development of world's first autonomous customer service platform, leveraging artificial intelligence to enable machines to engage in useful and complex conversations. Our platform is the first of its kind, designed to work out-of-the-box to effectively solve customer problems across all digital channels.

Our self-service, autonomous CX platform, Siena, uses advanced natural language processing techniques to communicate with customers in a natural tone and promptly answer questions, while also utilizing conversation redirecting algorithms to develop a human + AI operating model. As a result, ecommerce companies see a significant reduction in ticket backlogs, a marked improvement in customer experience, improved ability to manage unpredictable conversation volumes, and an increase in agent capacity to handle high empathy cases.

If you're excited about artificial intelligence and the intersection of human-to-machine communications, and want to be part... of a remote team who is driving innovation and making a real impact, then come join us in pushing the boundaries of AI and CX performance.

As a part of our team, you will design, develop, and deploy large-scale machine learning training infrastructure and processes to simultaneously train and update multiple of cutting-edge models at the same time. You’ll work closely with fellow engineers to build systems capable of training machine learning models at a scale and quality required to serve our clients, the world’s fastest growing ecommerce companies. You’ll be faced with new technical challenges and things to learn about ML and software engineering on a daily basis.

What you'll do
• Design, build, and maintain model training systems that leverage and enable cutting-edge developments in training machine learning models at scale
• Actively work on creating and improving tools to parallelize model training, unifying dataset creation and accuracy measurements across experiments
• Collaborate with and mentor fellow engineers to help them maximize the speed and efficiency in model research and training
• Actively follow advancements in AI and ML, and participate in discussions about them with the ML and research teams

What you'll need
• 3+ years of production experience with Machine Learning and/or Natural Language Processing
• 5+ years of experience working with Python
• Proficiency in deep learning frameworks such as TensorFlow and PyTorch
• Experience building applications at scale and working on distributed computing projects
• Great communication skills both written and oral
• Desire to learn new things, work closely with peers from different teams, and help others

What we'd like to see
• Experience in big-data, ETL, or large-scale data science
• Production experience with modern cloud computing management (AWS, Kubernetes, Docker, etc.)
• Knowledge of additional languages such as Python, Javascript, or Typescript are not necessary but will help you work in cross-functional teams
• Be passionate about something we don’t already have expertise in

🏠 The flexibility to work from anywhere, even if it's just from the comfort of your own bed (because let's face it, who doesn't love a good WFH situation?)

🌞 Flexible working hours, because who said you can't design your day on your terms?

💸 Competitive salaries, smaller egos. We offer highly competitive salaries and equity, because we're building this together.

🌴 Time off? More like time on. With unlimited paid time off and a minimum of 15 days off per year, you'll have plenty of time to explore the world (or just your couch).

📖 ""Edu-tainment"" budget - an annual budget to continue learning and expanding your horizons. It's like getting a raise without having to ask for it. We invest in you, so you can continue to invest in yourself.

And we're sure there's more, but we're too busy building to keep track"
Remote work as Estonia Speaker,2023-01-26,2023-01-30 12:18:22,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=bBUYFvAsvIAAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Full-time,NA,Estonia,"Our Company

TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com

Who is suitable for this work?

We are looking for dynamic people who have strong communication skills and use the Internet daily. This is a freelance, independent contractor position. You will have the flexibility and freedom to work from your own home, working your own hours.

What does the work... involve?

In this job you will be reviewing online advertisements in order to improve their content, quality and layout. You will be required to provide feedback and analysis on advertisements found in search engine results and provide ratings on their relevance to the search terms used. Another aspect of this opportunity will involve reviewing the language used in advertisements by examining grammar, tone and cultural relevance.

As a Personalized Internet Ads Assessor your ultimate goal will be to contribute towards making internet search and online advertising more relevant and interesting for all Estonian speakers in Estonia

Requirements
• You must be living in Estonia for the last 3 consecutive years
• Suitable candidates must have full professional proficiency in English and Estonian
• Access to and use of a broadband internet connection and associated computer and antivirus software to perform the work, all provided at your own expense
• Experience in use of web browsers to navigate and interact with a variety of content
• Access to and use of an Android (version 4.1 or higher) or IOS Smartphone (version 8 or higher) to complete tasks
• A Barcode Scanner application must be installed on your smartphone to complete certain tasks
• Active daily user of Gmail and other forms of Social Media

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a part time project and your work will be subject to our standard quality assurance checks during the term of this agreement.

Why join the TELUS International AI Community?
• Earn extra income
• Access to our community wellbeing initiative
• Remote work & Location Independence
• Flexible Hours to work around home life
• Better Work-Life Balance
• Be a part of an amazing online community"
Estonian Speaker in Estonia,2023-01-22,2023-01-30 12:18:23,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=GFLaR1yoVDwAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,Estonia,"TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com

We are hiring Personalized Internet Assessors in Estonia (Estonian Language)

In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their... relevance to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.

Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.

Who is suitable for this role?

We are currently seeking dynamic and creative people who have a strong interest in social media, specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use a smartphone – Android or iPhone – and have a familiarity with other forms of social media and Google products. You should also be flexible, reliable and have the ability to interpret and follow established guidelines.

You will have the flexibility and freedom to work from your own home, working your own hours. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks.

What are the main requirements for the role?
• You must have full professional proficiency in both written and verbal English & Estonian
• You must be living in Estonia for the last 5 consecutive years
• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks
• The majority of the task types will require both a desktop/laptop and a smartphone
• Gmail must be your primary email
• Active daily user of Gmail and other forms of social media
• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Estonia
• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense
• Experience in use of web browsers to navigate and interact with a variety of content

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?
• Earn extra income
• Access to our community wellbeing initiative
• Remote work & Location Independence
• Be your own boss
• Flexible Hours to fit in with your lifestyle
• Be a part of an online community

What’s next?
• If this sounds like a role you’d be interested in taking on, please apply below"
"Product Engineer (Python, React)",NA,2023-01-30 12:18:23,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=Ray2ndN7tzEAAAAAAAAAAA%3D%3D&fpstate=tldetail,MindTitan,Full-time,NA,Estonia,"WE'RE LOOKING FOR A TALENTED PRODUCT ENGINEER TO JOIN OUR TEAM

We're offering you an opportunity to get a glimpse into the AI and machine learning industry while working on fascinating projects.

WHAT YOU'LL BE DOING

Your job will revolve around building the software surrounding various machine learning solutions.

For example:

Full-stack development for human-in-the-loop AI systems

Building scalable APIs around ML models

Working on distributed systems

Working with latest cloud and data processing technologies

You will be expected to research the unknowns, implement and iterate

WHAT SKILLS WE'RE LOOKING FOR:

You understand scalability challenges and the performance of server-side code. You can design and develop horizontally-scalable, resilient and performing-under-load systems. You have know-how with different storage technologies and can reason about how to choose the suitable storage technology for a given purpose.

For example:

5+ years of Full Stack software development... experience that includes experience in Python and ReactJS

Understanding React ecosystem (React hooks/Redux)

Understanding of REST Web Services, architecture principles, and design patterns

Microservices architecture understanding

Good written and verbal English communication skills

WHAT WE OFFER:

You’ll be immersed in the world of applied AI and data science, where you can develop your craft at the speed of light.

We’ll motivate you with:

A lot of freedom to choose the tools and methods to get the job done

Highly varying projects – you won’t be stuck on a single project for 3-5 years

Startup-style fun working environment in Telliskivi Creative City

Team retreats once a year

Full remote work option as long as you’re reachable

Competitive salary that makes you happy

28 paid vacation days every year

Sports compensation

HOW TO APPLY?

To apply for the job, please send your CV and a brief introduction to team@mindtitan.com or fill out the form on our website: https://www.mindtitan.com/careers/product-engineer-python-react/

MindTitan focuses on Telecommunications, Machine Learning, Artificial Intelligence, Speech Recognition, and Image Recognition. Their company has offices in Estonia. They have a small team that's between 11-50 employees.

You can view their website at https://www.mindtitan.com/ or find them on Twitter, Facebook, and LinkedIn"
Work From Home in Estonia as Personalized Internet Ads Assessor,2023-01-03,2023-01-30 12:18:23,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=2RrjSpuG0IgAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Pärnu, Pärnu County, Estonia","TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com

We are hiring freelance English and German speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local... geography.

This is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements
• Full Professional Proficiency in English and German
• You must be living in Switzerland for the last 2 consecutive years
• Ability to follow guidelines and do research online using search engines, online maps and website information
• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Switzerland
• Being open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)
• Applicants must be 18 years or over. ID verification must be attached when submitting your application.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?
• Earn extra income
• Access to our community wellbeing initiative
• Remote work & Location Independence
• Be your own boss

What's next?

Create an account using the ""Apply button/ link below"", click the ""Sign Up"" button and fill the required fields. An email confirmation will be sent to your email to set your password and account. Then select Switzerland as your country and German(Switzerland) as your primary language. Then complete the registration process, do not forget to click the ""Apply"" button to start your application process for the project. -

Apply Using this link: https://jobs.telusinternational.com/en_US/careers/PipelineDetail/Online-Maps-Quality-Analyst-Switzerland-German-Language/21420

Important - To access the link, you must check the location/IP address on your device must be registered in Switzerland"
Lead Frontend Engineer,NA,2023-01-30 12:18:24,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=m3jjV8AyTuEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Clarifai,Full-time,NA,"Tallinn, Estonia","About The Company

Clarifai is a leading, full-lifecycle deep learning AI platform for computer vision, natural language processing, and audio recognition. We help organizations transform unstructured images, video, text, and audio data into structured data at a significantly faster and more accurate rate than humans would be able to do on their own. Founded in 2013 by Matt Zeiler, Ph.D. Clarifai has been a market leader in AI since winning the top five places in image classification at the 2013 ImageNet Challenge. Clarifai continues to grow with employees remotely based throughout the United States and in Tallinn, Estonia.

We have raised $100M in funding to date, with $60M coming from our most recent Series C, and are backed by industry leaders like Menlo Ventures, Union Square Ventures, Lux Capital, New Enterprise Associates, LDV Capital, Corazon Capital, Google Ventures, NVIDIA, Qualcomm and Osage.

Clarifai is proud to be an equal opportunity workplace dedicated to pursuing... hiring, and retaining a

Your Impact

Your products will be used to build the world's AI. You will build experiences that make AI a core skill set for engineers, data scientists and no-code operators everywhere. You will help with the design, development and implementation of commercial-grade applications with a lot of exposure to AI technologies.

Your Opportunity
• Help design and build the user experience for a AI oriented web applications
• Design and implementation of the modern web applications using React and/or any other modern technologies
• Create and implement guidelines for increasing the code testability and enforce the quality in our code
• Solid understanding of the backend and AI capabilities
• Coordinate with the rest of leadership team on the priorities and new features. - Create analytics data for the product.

Requirements
• 5+ years of Frontend Development experience
• 2+ years of being a technical or team lead
• React, TypeScript, and Javascript
• Solid experience with one of the test frameworks (Cypress, Selenium)
• Experience in using CI/CD pipelines for Web based applications
• Project and release management

Great to Have
• Experience with AI and/or CV solutions
• Experience as Full Stack engineer (golang, datadog, postgres)
• Experience leading engineering teams"
Computer Vision Engineer,2023-01-18,2023-01-30 12:18:24,https://www.google.com/search?q=Machine+Learning+Jobs+Estonia&ibp=htl;jobs&sa=X&ved=2ahUKEwimjeaegfD8AhWKGDQIHYIwD2wQutcGKAF6BAgXEAU#htivrt=jobs&htidocid=LGv9tJlOHtwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Reedest,Full-time,NA,"Tallinn, Estonia","Here's your chance to join Reedest team during an exciting final stage as we aspire to make the world a cleaner place with high-tech.

Reedest is a manufacturing company whose goal is to create the first-ever fully automated reed straw machinery.
If you want to be a part of this opportunity and make something nobody has done before, look no further.

About the job
As a Computer Vision Software Engineer at Reedest you will be responsible for developing software with an emphasis on the domain of computer vision.

Use your expertise and know-how for solving challenges in the manufacturing industry within a highly motivated team.

We are looking for someone who will:
- Design, develop and implement specific Computer Vision algorithms
- Build and refine input models for photo-recognition
- Work with the team defining technical concepts & requirements, effort estimates & validating the feasibility of a computer vision problem
- Follow best engineering practices
- Communicate the work to... internal stakeholders
- Have a desire to learn new things, work closely with peers from different teams, and help others

You are likely to succeed if you have:
- Bachelor’s or Master’s degree with Engineering context preferably Computer Science or similar
- Proficiency in Python
- Proficiency in deep learning frameworks such as TensorFlow and PyTorch
- Experience with OpenCV, NumPy, Linux
- Practical work experience with developing and optimizing Computer Vision applications
- Strong hands-on mentality
- Great communication skills both written and oral

You will work with us either contractually or as a freelancer, which means that you can join our team even if you are currently employed or involved in other things"
