Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
AI Scientist - Machine Learning,NA,2023-01-30 12:18:40,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=OUh6l4Epn0sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Silo AI,Full-time,NA,"Helsinki, Finland","Silo AI is the leading AI service company in the Nordics. We've grown fast and are currently a team of 230+ tech and business professionals globally. We work together with our clients to create the next step of AI for their needs. At Silo AI engineers and scientists collaborate closely to tackle challenging real-world problems. The core competence of Silo AI relies on deep academic expertise in various fields of AI, covering machine learning, natural-language processing, computer vision among others. AI Scientists are expected to build innovative AI solutions that together with engineers and system developers can be deployed as real-time solutions to provide customer value.

What Will You Be Doing

As an AI Scientist in Machine Learning, you'll work in a top tier team of AI experts, solving real-life cases using the latest Machine Learning techniques. You'll closely collaborate with an engineering team to bring models into toolkits, and business developers to impress the client. You... may choose to work from our offices, whichever suits you best.

Get to know your future colleagues AI Scientist Emil & AI Scientist Luiza.

AI Scientists are expected to have strong publications or projects showing clear evidence of high-quality research and innovation in fields directly related to AI and proven experience and ability to implement high-performance AI solutions:
• Analyze data to discover patterns, find opportunities, and develop and apply innovative algorithms.
• Validate new or improved models via statistically relevant experiments.
• Work closely with AI engineers to build scalable prototypes for testing, and integrate successful models and algorithms in production systems.
• Support in identifying opportunities in creating customer value with AI.
• Advance exploratory research projects in machine learning and related fields to create highly innovative customer experiences.

Read more about our projects with Finnair in flight delay prediction, with Ramboll in water quality predictions and with Awake.AI in developing smart ports and smart vessels.

Our culture

What we believe in at Silo
• Build Bonds - Trust is our bond. We connect with customers and always seek to understand how we can best help them, and make sure that we keep what we promise. We encourage a culture where successes are celebrated, learnings shared and support provided for our team members to succeed.
• Keep Learning - Grow to excel. We aim for excellence by learning from the market, sharing our competence, and attracting talent with a growth mindset. We believe that expertise is not an achievement - it's a lifestyle of curiosity, learning, sharing and working with people who share the same hunger.
• Ask Why - Know your why. We have the courage and agility to keep challenging what we're doing to assure value creation for customers. We encourage open dialogue and debate and strive for diversity in opinions to improve decision making.
• Be Good - Positive impact. We always strive to be transparent and open in our communications, take ownership and aim for positive impact and results in all we do. We take pride in creating an equal and supportive workplace for talented and ambitious professionals from all nationalities, genders, orientations and backgrounds"
Machine Learning Engineer,NA,2023-01-30 12:18:40,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=m0i5pe0lpcoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Nigel Frank International,Full-time,NA,Finland,"Job Description

As an Azure ML Engineer, you will design and implement technical solutions in varying cloud projects using the latest technologies in the industry. You will utilise your expertise in statistics, machine learning and data integrations to develop the customer's business. You will also get to work alongside some of the best professionals in the industry.

Experience required in the following areas:
• Statistical analysis
• Python
• Languages: English, Finnish (at least basic)

In addition, our client values expertise in the following areas:
• Solving business challenges with artificial intelligence
• MLOps
• Cloud platforms (Azure, AWS, GCP)
• IT Development Practices (Version Control, CICD/Release Automation)
• IT consulting
• Azure AI/ML Services
• Azure Data Services (eg. Databricks, Synapse)

In this role you get to carry out varied and challenging projects together with the toughest experts in the field. We encourage you to continuously develop your skills and... always provide you with the latest Azure technologies.

The office is very modern and located in the heart of Helsinki. Our client offers competitive benefits and an individual bonus model, and every year they make a remote trip abroad.

Salary: 5000-8000EUR including bonus and depending on experience"
lecturers in Artificial Intelligence,2023-01-21,2023-01-30 12:18:40,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=8kIQ0f-RqTcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Satakunta University of Applied Sciences,Full-time,NA,"Pori, Finland","Job Summary

We are looking for two lecturers in Artificial Intelligence (AI) for a permanent teaching contract. The primary location is SAMK campus Pori, Finland.

Artificial Intelligence (AI) is shaking the field of technology as we speak. In addition to its impact on science, it has already changed the way we develop new products, games and services. Students of the degree programme will get hands on experience on applying industry-standard AI-tools in cooperation with the vivid ecosystem of companies in the field of Artificial Intelligence, Machine Learning and Robotics located in Satakunta.

We value professionals with good communication skills, organizing skills, team working skills and ability to build professional networks. All the work is student-centered. Competence in R&D activities and interest in national and international co-operation is considered as an advantage, as well as experience about different pedagogical approaches in higher education.

We are looking for... specialists to teach the topics of the professional study modules (e.g. Programming skills, Data skills and Artificial Intelligence skills). Student counselling and continuous development of study environments are integral part of the job.

Eligibility requirements are according to the Universities of Applied Sciences Decree. Finnish Education Employers (FEE) General Collective Agreement states the terms and salary details of the work contract. Minimum a Master’s degree is a requirement, and the selected lecturer commits to gain the degree of professional teacher education within three years if not gained before starting in the position. (Professional teacher education studies are meant for teachers who are working at vocational institutions or at universities of applied sciences. Studies in the Professional Teacher Education Programme consist of 60 ECTS credits and provide teacher qualifications in the professional field"
Machine Learning Engineer - Helsinki,NA,2023-01-30 12:18:41,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=mYnErGUBeUsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Nigel Frank,Full-time,NA,"Helsinki, Finland","This Client is one of the most reputable consultancy firms in Finland when it comes to Integrations and data solutions. They are passionate about developing their customers by providing them a competitive advantage through smart based cloud solutions using Azure.

Your role as a Machine Learning Engineer will be to design and implement technical solutions using the latest technologies in the industry.

Requirements:
• 2+ years of experience as an ML Engineer
• Statistical Analysis
• Python
• Cloud experience (Azure, AWS or GCP)
• Fluency in English

Nice to have:
• Azure Data Bricks, Azure Synapse
• IT Consulting experience

Benefits:
• A highly experienced and supportive community, expect no bureaucracy whatsoever (This company is around 60 people big)
• High earning potential due to the attractive bonus schemes this company has
• A beautiful office in the heart of Helsinki, very accessible via public transport
• The opportunity to work on the best cloud based private sector projects... that the Finnish market has to offer
• Strong benefits package
• Career progression opportunities and plenty of support within self-development

Those interested in this position should apply to this advert or send their contact details to the address below:

Contact Name: Barney Green

Email Address: b.green@frankgroup.com

Telephone Number: +358 9 42451427"
Embedded Machine Learning Engineer (C++),2023-01-21,2023-01-30 12:18:41,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=CqO_hCxRveYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Scandit,Full-time,NA,Finland,"*Please note as much as this is a remote position, we are only able to consider candidates based in (or willing to relocate to) Switzerland, Finland, Poland, France, Italy, Spain, Germany, and the UK.*

At Scandit, we develop real-time computer vision solutions for smartphones, wearables and robots that combine modern machine learning approaches with computer vision. To expand our engineering team, we are looking for an engineer with strong C++ programming experience and a keen interest in machine learning, to work on on-device deep learning for our computer vision pipelines.

About The Role

You will be working with image processing and computer vision specialists to develop algorithms for real-time barcode decoding, text recognition and object detection for robust real-world performance.

You’ll have a strong C++ programming background, along with some exposure to machine learning, with a passion to improve this knowledge.

Other responsibilities could include:
• Implement deep... learning algorithms for mobile devices that run in real-time, in high resolution and in challenging real life variations of scale and lighting
• Help design and maintain a C++ framework involving complex computer vision and machine learning pipelines
• Collaborate with a large group of engineers on a C++ codebase that is cross-compiled and delivered to hundreds of millions devices.
• Train ML models in Python, and contribute to their design
• Be a shining example of code quality, strive for excellence in test coverage, modularity and scalability of our solutions

Who You Are
• Proven industrial experience in C++ (> 3 years)
• MSc in Computer Vision or related fields
• Knowledge of machine learning, and a strong interest in improving within the domain
• Passionate about sustainable code development: modularity, clean architectures, test driven development, good software documentation
• Good communicator, team player
• Strong analytical mindset and attention to detail
• You are willing to go beyond your role, your team and (sometimes) your comfort zone to make a cross-functional impact on the business

What We Offer

Here are just some of the reasons why people choose to build their career at Scandit:
• A highly skilled team and a fun environment where you can put your enthusiasm for cutting-edge technologies to use
• Excellent office infrastructure, optimized for hybrid working in Zurich, Warsaw, Tampere, and London.
• Excellent support for remote work across the UK, France, Italy, Spain, and Germany
• Innovation hackathons
• People-first culture
• Global team outings
• Festive/end of year all company celebrations
• Your birthday off
• An attractive individual equity plan in a high growth company
• Do good and give back with 2 impact days where you are able to give time to one of our trusted nonprofit partners
• Specific benefits related to the location you are joining

Who We Are

Scandit enables enterprises and consumers to change the way they interact with everyday objects and augment the physical world with real-time data captured by scanning barcodes and recognizing text, objects, and other visual identifiers using smartphones, tablets, wearables, drones and robots.

Scandit’s mobile data capture platform is built on proprietary computer vision, augmented reality, and machine learning technologies. Companies in industries such as retail, transportation & logistics, manufacturing, and healthcare can use Scandit’s technology to create and power mobile apps for crucial enterprise workflows like mobile point of sale, mobile shopping, self-checkout, inventory management, and proof of delivery.

Many of the world’s most innovative and successful companies are benefiting from Scandit’s enterprise-grade mobile data capture platform, including Sephora, Nissan, DHL, and Levi Strauss & Co.

Scandit was founded by a group of researchers from ETH Zurich and MIT. The company is headquartered in Zurich and is also represented in Boston, London, Warsaw, Tokyo and Tampere. Over the years, our company has evolved into a world-class team of mobile image processing, cloud-computing and “Internet of Things” experts from around the globe.

“Everybody is welcome here” - Is a celebrated component of our DNA.

At Scandit we strive to create an inclusive environment that empowers our employees. We believe that our products and services benefit from our diverse backgrounds and experiences and are proud to be a safe space for all.

All qualified applications will receive consideration for employment without regard to race, colour, nationality, religion, sexual orientation, gender, gender identity, age, physical [dis]ability or length of time spent unemployed.

#LOC-RemoteEurope

#engineering"
"Senior Data Scientist, User Interest",2023-01-10,2023-01-30 12:18:41,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=iH-AyDvuj0wAAAAAAAAAAA%3D%3D&fpstate=tldetail,Unity Technologies,Full-time,NA,"Helsinki, Finland","The opportunityThe Unity Monetization team builds advertising, other personalized content delivery solutions, and technologies used in hundreds of thousands of apps. Our Monetization platform processes TBs of data and delivers relevant content to hundreds of millions of users every day. Unity is investing heavily in deep learning and deep reinforcement learning on multiple fronts. In Helsinki, we develop cutting edge machine learning-centric products that provide millions of predictions each and every second to optimize the efficiency and profitability of user acquisition advertising campaigns.We are now looking for a Senior Data Scientist to join a team that is building one of the key components in Unity Monetization stack. Our team builds deep learning models that capture the user interest and serves multiple other teams in the monetization stack. You will contribute to and own end-to-end machine learning pipelines and develop deep neural network models to be used by other teams... such as conversion and value prediction models, making sure that the developers and gamers have the best advertisement experience. We expect you to actively contribute with new ideas and drive execution end-to-end. If you are open-minded, interested in learning and excelling we want to hear from you.What you’ll be doing Work with the team to improve the personalization of ads for mobile gamingImplement embeddings and machine learning methods that help other models to solve business problemsDevelop deep learning and online personalized targeting solutions with tech stack of Python/Spark/Tensorflow/KerasWork with machine learning-based online decision-making systems on a large scaleWhat we’re looking for Experience in implementing data processing and training predictive modelsExperience in machine learning model development using TensorflowUnderstanding of machine learning concepts and programmingGood communication skills to help collaboration with other data scientists and engineersPassion for machine learning and data scienceYou might also haveFamiliarity with KubeFlow and KubernetesExperience with large scale data/distributed systemsExperience in mobile advertisement, gaming, or online tradingLife at UnityUnity (NYSE: U) is the world’s leading platform for creating and operating real-time 3D (RT3D) content. Creators, ranging from game developers to artists, architects, automotive designers, filmmakers, and others, use Unity to make their imaginations come to life. Unity is the foundation upon which the world’s most powerful digital content is created. Specifically, Unity’s platform provides a comprehensive set of software solutions to create, run and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices.In the fourth quarter of 2021, Unity had, on average, 3.9 billion monthly active end users who consumed content created or operated with its solutions. The applications developed by these creators were downloaded, on average, five billion times per month in 2021. For more information, please visit www.unity.com.Unity is a proud equal opportunity employer. We are committed to fostering an inclusive, innovative environment and celebrate our employees across age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. Our differences are strengths that enable us to support the growing and evolving needs of our customers, partners, and collaborators. If there are preparations or accommodations we can make to help ensure you have a comfortable and positive interview experience, please let us know.Headhunters and recruitment agencies may not submit resumes/CVs through this website or directly to managers. Unity does not accept unsolicited headhunter and agency resumes. Unity will not pay fees to any third-party agency or company that does not have a signed agreement with Unity.#LI-JP2 #SEN"
Machine Learning Engineer,2023-01-24,2023-01-30 12:18:42,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=mIJAEHy4YuEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Valohai,Full-time,NA,"Turku, Finland","Valohai is seeking a skilled Machine Learning Engineer to join our development team. In this position, you will work on a collaborative project under the guidance of our Head of Product to assist in developing new features for the Valohai MLOps platform, which automates the deployment and management of machine learning models.

We are seeking an individual with:

⭐️ Solid knowledge of Python.

⭐️ Efficient communication skills and the ability to work well in a team with internal team members, partners, and clients

We are currently prioritizing candidates in European time zones (GMT to GMT+4) or who are willing to relocate as our core development team is located in Finland. That said, we are willing to consider exceptional candidates coming from other time zones too.

As a Machine Learning Engineer, you will be responsible for the following:

⭐️ Working together with the team developing new features for the Valohai MLOps platform.

⭐️ Collaborating with team members, including the... Head of Product to ensure the smooth operation of our platform.

⭐️ Interacting with partners and clients to understand their requirements and ensure their satisfaction with our platform.

Valohai is not just any ordinary workplace. It's a dynamic and exciting environment where you can thrive professionally and personally. We value our employees and understand the importance of offering attractive compensation and benefits.

As a member of our team, you'll enjoy a competitive salary and a stock option package. You'll have the option of working remotely (nearly all the time anyway) from home or your local co-working space, or at our Turku and Helsinki offices if you feel like that instead.

If you are a self-starter with a passion for machine learning, a desire to work on cutting-edge technology, and a strong skill set in Python, with good communication and collaboration skills, we would like to hear from you"
Junior researchers in computer vision and machine learning & metal-organic...,2023-01-30,2023-01-30 12:18:42,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=q5Qhvv8VB6QAAAAAAAAAAA%3D%3D&fpstate=tldetail,LUT University,Full-time,NA,"Lappeenranta, Finland","The LUT School of Engineering Sciences is looking for junior researchers (doctoral students) in the following topics:1. Open-set domain generalization methods for the analysis of real-world image data in the field of computer vision and machine learning Research group: LUT Computer Vision and Pattern Recognition Laboratory (CVPRL) The potential candidate must have a master’s degree (M.Sc. or equivalent) in a relevant field (in computer science and engineering). For further information, please contact Prof. Heikki Kälviäinen, heikki.kalviainen@lut.fi.2. Metal-organic framework (MOF) thin-films with application to gas separationThe candidate will simultaneously obtain two doctorate degrees from LUT University and Polytechnic University of Milan by fulfilling the requirements of the doctoral studies at both universities. The potential candidate has a master’s degree (M.Sc. or equivalent) in chemical engineering, material science, or related areas, with strong computation and... experimentation skills, or an interest to acquire those skills. Prior experiences with molecular- or atomistic modeling are considered assets. Also, previous experiences with MOFs or gas separation experiments are also considered as assets. The doctoral thesis will be co-supervised by Prof. Eveliina Repo, Dr. Fatemeh Keshavarz, Assistant Prof. Nima Rezaei (from LUT University), and Prof. Piero Macchi (from Polytechnic University of Milan). For further information, please contact Assistant Prof. Nima Rezaei, nima.rezaei@lut.fi. What we are expectingIn addition to a master’s degree, candidates for all positions must have the ability and motivation to complete the doctoral studies within the normative duration of the studies for the degree (i.e., four years). Excellent written and verbal English language skills are required. Applicant whose first language is not English may be asked to take the IELTS Test.Job description Completion of the doctoral degree within four yearsParticipation in research projectsAssisting in teachingThe positions are funded by the Ministry of Education and Culture (Finland), which has awarded LUT University funding for a non-EU/EEA citizen relocating to Finland to conduct his/her doctoral studies.What we offerAn opportunity to launch a successful, international academic career and to become an expert in your research areaA four-year (1+3 years) employment contract for completing the doctoral degreeAn employment contract can be concluded only if the candidate obtains the right to pursue postgraduate studies at LUT UniversityThe contract will be made initially for one year and can be extended by three years provided that the studies and research have progressed successfully.Employment relationship and payThe work will start in March–May 2023 (negotiable) with a six-month trial period. The job is based in Lappeenranta, Finland. The salary is based on the current collective agreement for Finnish universities. Typically, the gross annual starting salary for a junior researcher is around 30 800 euros (plus a holiday bonus).How to apply Please submit your application together with the required attachments through the university's online application system:Your curriculum vitaeA copy of your degree certificate; if the original documents are not in English, Finnish or Swedish, each document must be accompanied by an official certified translation into English or FinnishA motivation letter: an account of your merits and activities of significance to the vacancy (max. 2 pages)A research plan (3–5 pages, including references) on the subject area presenting your preliminary dissertation research plan with a review of relevant literature, research gap and potential research questions as well as a tentative plan for research methods and data collection.The appendices must be in English. The deadline for applications is 19 February 2023, at midnight Finnish local time (UTC +2h). Interviews with selected potential candidates will be held soon after.Read more about LUT as an employer and LUT Doctoral SchoolClean energy, water and air are life-giving resources for which we at LUT University seek new solutions with our expertise in technology, business and social sciences. We help society and businesses in their sustainable renewal. Our international community consists of 7 500 members. Our campuses are in Lappeenranta and Lahti, Finland. We are the world’s ninth best university for climate action. Technical support for using the online recruitment system: recruitment@lut.fi"
"Senior Data Scientist, Operations Research",NA,2023-01-30 12:18:42,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=KGBZLXg-f_UAAAAAAAAAAA%3D%3D&fpstate=tldetail,Wolt,Full-time,"US$68,428–US$135,000 a year","Helsinki, Finland","Company DescriptionWolt is a technology company that makes it incredibly easy to discover and get the best restaurants, grocery stores and other local shops delivered to your home or office. Wolt is not just a delivery app – we’re a technology company building a commerce platform to seamlessly connect our millions of customers with thousands of merchant and courier partners, in real-time across 23 countries and 250+ cities. Our apps (iOS and Android) have the industry’s highest ratings, largely thanks to our customer-first-mindset, which shows in how we build products and run operations. In June 2022 we officially joined forces with DoorDash. Combined, we have a presence in 27 countries, 23 of which operate with the Wolt brand and app. Wolt and DoorDash continue largely independently, with Wolt’s name, brand, product, technology and team.Working in Product Development at WoltAt Wolt, we’re about getting things done. You’ll probably enjoy it here if you like taking ownership... developing yourself and being around friendly, humble and ambitious people. The behind the scenes of Wolt is run by an awesome bunch of over 400+ planners, builders, designers and data crunchers. We call ourselves Product+, as we’re the very core of Wolt’s products, tools and platforms. To build our products, we work in over 40 cross-functional, independent and autonomous teams. Teams are made up of a mix of talented individuals: engineers, designers, data scientists, analysts, and product leads. Each team takes ownership for solving customer problems in the best possible way.Our Commitment to Diversity, Equity & InclusionWe want to have all sorts of people in our team – people like you and me, and people different from you and me. To be able to work with diverse teammates – when it comes to gender, age, ethnicity, life background, sexual orientation, political views, religion, or any other personal trait – we consciously aim to offer equal opportunity for everyone to work with us. This is because we believe diverse teams make the most thought-through decisions and build things in the most inclusive way.Join us today to build Wolt together!Job DescriptionAnalytics at Wolt is a business-critical competence team that covers three different teams — data science, product data analytics and business intelligence. In 2022 we’re going to further scale our data science operations at Wolt. We're now looking to double our current Data Science team and searching for Data Scientist, Operations Research to join our competence team of 40+ professionals working from Helsinki, Tallinn, Berlin, Copenhagen and Stockholm all united by our excitement to put Wolt’s valuable data assets into everyday use. 🥳What you will be doing as a Data Scientist, Operations Research at WoltLogistics is one of the more complex parts of Wolt’s business and is a crucial building block of Wolt’s technology platform. Our logistics platform is responsible for courier task allocation, and generating delivery estimates that our customers, couriers, and merchants see. A more efficient logistics platform would benefit everyone in our ecosystem: our 130 000+ courier partners, our 60 000+ merchant partners, and our 18+ million customers. The logistics platform is being developed by a cross-functional team and by a mix of Data Scientists, Optimization Algorithm Developers, and Backend Engineers. It connects Courier Partners to tasks through our in-house route optimization service, which in turn relies on the delivery estimates that we generate for each step of the delivery process. All the different parts of the system come together to automatically manage customer expectations and delivery efficiency.You would work as an embedded Data Scientist, Operations Research in the Logistics Optimization team, which owns the route optimizer, and the delivery estimates - your focus would be on the optimizer. You would have an impact on Wolt’s overall business as a key player in envisioning and finding new ways to increase our delivery efficiency while keeping our customers happy with accurate estimates, and keeping our couriers engaged with a steady stream of tasks. As an operations research expert, you would find where potential problems lie through data analysis and would work with the rest of the team to get proposed changes implemented. You’d then plan and implement the live logistics experiments needed to verify the hypotheses, and understand the business impact of the changes.QualificationsYou have plenty of hands-on experience with production-level operations research projects. From identifying opportunities and developing hypotheses, to finding ways to validate and test them, ultimately driving their implementation and measuring the impact.You’ve worked with experimentation before, designing, implementing and analyzing experiments (AB-testing and switchback experiments)Demonstrated ability to improve highly complex systems/solutions working together with experts from other fieldsYou’ll have fluent programming skills in Python, which is our main language for data science projects, and experience with databases (SQL). And you’re comfortable with the rest of the tools of the trade.You’re analytical and curious, we’re looking for a self-starter with a drive to get things done. Also as well a good communicator, willing to collaborate with people in- and outside of the teamIdeally, you’ll also have a degree in a field relevant to operations research or data science We value delivery logistics business understanding, preferably deep domain experience.Our offering to you Leave your mark in building the most efficient logistics optimizer in the industry.You can choose the location from our tech hubs Helsinki or Berlin, or you can work entirely remotely anywhere in Finland, Sweden and Estonia. You have the chance to decide the ways of working —· a hybrid, at the office, or remote within the location above. 💙 Read more about our remote setup. In addition to our country-specific benefits, our compensation package includes a monthly salary based on your expertise and stock options. The latter makes it exceptionally easy to be excited about our company growing and doing well, as you'll own a piece of the pie. 🚀At Wolt, you’ll get to work in a company culture where we take ownership beyond the obvious, do common things uncommonly well, we think big but stay humble, do right by people, we treat others kindly and justly, recognise that if we don’t learn, we won’t stay still but fall behind and keep in mind that Luke was Yoda’s greatest achievement. Read more about how we work. 🤩Additional InformationIf you’d like to check up on your application or have any further questions about the position you can turn to Marco Ohde, our Talent Acquisition Partner for Data Science at any given time. We’re always happy to have a chat. 👋"
MACHINE LEARNING LOVER,NA,2023-01-30 12:18:43,https://www.google.com/search?q=Machine+Learning+Jobs+Finland&ibp=htl;jobs&sa=X&ved=2ahUKEwi87I2ogfD8AhVSFTQIHa9_A34QutcGKAF6BAgYEAU#htivrt=jobs&htidocid=po_mZdqOQlwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Recordly,Full-time,NA,Finland,"MACHINE LEARNING LOVER

Would you like to be a part of Recordly's story? Now is your chance! We’re looking for a Machine Learning Engineer eager to help businesses capitalize on the opportunities data and machine learning offer. Working at Recordly means you get to work with customers that truly want to make data and ML/AI their competitive edge.

“WHO/WHAT IS RECORDLY?” YOU MIGHT ASK

Recordly is an independent company part of the Futurice family that specializes in business data management. Our core business focuses on data management, data architectures, and hands-on data engineering that enable exceptional user experiences, efficiency gains, and new business models. In simple terms, we tech the heck out of data.

Our employee promise (besides offering engaging customer assignments of course) includes the possibility to enjoy the company's success and shape who we are and what we do, together. We believe in being open about how the business is going and how the choices we make... affect the bottom line. Take a look at our site to get to know us better.

NOW TO THE ROLE ITSELF

A Machine Learning Engineer at Recordly typically works in tight cooperation with very skilled colleagues and our customers within different assignments. Assignments vary and typically require hands-on work from time to time - meaning you may have to open up AWS/Azure/GCP Console and deploy some machine learning resources or write some MLOps stuff or data pipelines when the Data Engineers are not around.

As we focus on creating actual business value by creating or utilizing for example data and machine learning platforms, we value the following skills:
• Technical skills, both verbal and written, along with the ability to influence and demonstrate confidence in communications with data and machine learning technologies such as
• Fluent with cloud infrastructure, especially the data side of the big three. We don’t expect you to be certified (we can help you with that), but work experience at least within one of the big three is needed.
• Python - Yeah. This is our main tool in development. Knowledge of other languages is considered an advantage. Of course.
• MLOps concepts and tool(s) - The most important part of your job is to build the capabilities to enable productive machine learning solutions. We believe that MLOps and other Ops methods are an important part of that.
• Basic knowledge of machine learning models - It’s important to make business value using various machine learning models. To ensure this, a basic understanding of how the models work is sufficient, but even more important is an interest in how the models are operated in a production environment.
• Understanding and/or experience with Data Lake infrastructure, Data Warehousing, and Data Analytics tools. By this we mean, that you know what other tools (MDM, Data Catalogs, Data Lineage tools etc.) are needed for a good data platform and have some experience with those.
• Ability to understand and translate business requirements into data and machine learning technical requirements. And we truly mean this. We want to be the glue, bridge, sellotape - whatever you want to call it - between the IT and business departments so that they understand each other.
WHAT'S IN IT FOR YOU

When you join Recordly, you'll be greeted by our open and exciting culture. On the more tangible side we have you covered with benefits:
• As a Recordly employee, you have the option to buy stocks of the company through the common employee share program
• A yearly bonus based on company performance (equal to all full-time Recordlians)
• Flexible remote working
• Lunch benefit as a part of pimp-your-benefits
• Phone benefit
• Pick the laptop and phone of your choosing
• Health care & services, including dental and mental health
• Childcare services when your child falls ill
• Insurance for travel and free-time
• Recurring training & learning sessions
• Wellness and personal development
• Sports, culture & massage
• Bike benefit

Besides those, we promise you challenging customer assignments. Go check out the amazing work our data architects have done.

INTERESTED TO HEAR MORE?

The recruitment process usually has two to three steps during which we get to know who you are and what motivates you. You will learn more about Recordly and get to meet different people from our company. You'll have the opportunity to present highlights from your career and tell us about your skills, roles, and learnings. We’re committed to creating a good match between you and our organization, and want to spend time to get it right. Sometimes, an assignment might be given to you to complete between interviews.

When we’re done with the face-to-face discussions, we’ll contact the people you have chosen as references.

We hope to hear from you soon"
