Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Senior Researcher - Machine Learning for Molecules,2023-01-26,2023-01-30 12:20:55,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=3nJHN77Re6wAAAAAAAAAAA%3D%3D&fpstate=tldetail,Microsoft,Full-time,NA,"Berlin, Germany","Over the coming decade, deep learning looks set to have a transformational impact on the natural sciences. The consequences are potentially far-reaching and could dramatically improve our ability to model and predict natural phenomena over widely varying scales of space and time. Our AI4Science team encompasses world experts in machine learning, quantum physics, computational chemistry, molecular biology, fluid dynamics, software engineering, and other disciplines, who are working together to tackle some of the most pressing challenges in this field. We are looking for talented people to join us.

For our lab in Berlin, Germany, we are seeking exceptional Senior Researcher candidates in the areas of Machine Learning for Quantum Chemistry and/or Molecular Dynamics. The successful applicant is expected to contribute to a program of research in the development of machine-learning-based ab-initio methods, sampling methods and coarse-graining methods that have the potential to transform... how we simulate quantum and classical properties of molecules. This is an exceptional opportunity to drive ambitious research in a highly collaborative, diverse and global team of other researchers and engineers, and to push the state of the art in machine learning learning for molecular modelling.

There is no closing deadline for this post. The post will be filled once suitable candidates are found so if you are interested, please apply as soon as possible. When submitting your application, include your CV with a list of publications as an attachment.

Candidates are sought from a range of seniorities, after their PhD has been completed, with postdoctoral experience or early group leader / assistant professor level.

Read more about AI4Science:

AI4Science Web Site Microsoft Research AI4Science - Microsoft Research

AI4Science Blog AI4Science to empower the fifth paradigm of scientific discovery - Microsoft Research"
Machine Learning Engineer (m/f/d),2023-01-30,2023-01-30 12:20:55,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=i_OuTFcj0Q4AAAAAAAAAAA%3D%3D&fpstate=tldetail,AMAI GmbH,Full-time,NA,"Karlsruhe, Germany","Who we are

We are an interdisciplinary team of AI experts from Karlsruhe with the mission to support European companies in integrating machine learning into their products and processes. As of the next possible date, we are looking for you as Machine Learning Engineer (m/f/d). As part of the team, you will be an expert in data and machine learning. Let's make the world a little bit smarter together.
What you do
• Technology selection, concept creation and implementation of machine learning and deep learning projects
• Modeling and evaluation of various algorithms to solve customer problems
What you bring
• Completed computer science studies (or similar)
• At best first project experience in IT or AI projects
• Good knowledge of Python, C++, MLOps or Java
• Experience in the application of algorithms e.B. for object recognition, feature extraction/representation, symbol and text classification
• At best, cloud service providers experience (AWS, Azure, Google Cloud)
• Dealing with... tools such as .B. OpenCV, scikit-learn, PyTorch or Tensorflow, Keras
• Interest in new challenges
• Fluent German (at least C1 level) and good English skills, both written and spoken
What we offer
• Exciting, cross-German projects within different domains
• Exchange of ideas and knowledge transfer around the topic of Machine Learning
• Fair payment including flexible working hours
• Independent work
• 40-hour job with a healthy work-life balance
• A working environment focused on Machine Learning
• Company events, such as game afternoons, after-work drinks or Christmas party
• Choice of home office or remote work and if you are in the office: free drinks, snacks and fresh fruit

We have caught your interest? Then apply now with your entire application documents (cover letter, resume and references).

If you have any questions, please do not hesitate to contact Kieu Anh Nguyen at career@am.ai"
Junior Machine Learning Scientist (f/m/d),NA,2023-01-30 12:20:56,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=J9rXLcgkDSgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Kineo GmbH,Full-time,NA,"Berlin, Germany","We are Kineo, a Berlin-based tech startup developing machine learning solutions that bring real, tangible business value to our clients. Through our expertise, mindset, culture and most importantly with your help we are turning the AI landscape upside down. Are you up for the challenge?

Our proposition to you
• We vouch to create a space where you can explore different sets of complex problems and data across industries and verticals.
• To support you in your personal development, everyone at Kineo has a mentor. When you grow, so does Kineo.
• Your decisions matter! You will not have a boss who decides things for you. At Kineo we believe that decisions are best made locally, by the people closest to the problem at hand.
• Transparent salary and career planning from day one.
• A beautiful office in the centre of Kreuzberg, with tons of benefits, such as free drinks, snacks, consoles etc.
• Flexible, family-friendly work environment - we have parents in the team and support... them.

Success in the role means that you will have
• After 2 months: You established yourself as a member of the team and have already contributed to one of our client projects. You have a clear understanding of how we work and can independently navigate our technical architecture.
• After 6 months: You are a key member of the team and fully involved in the development of a client project. You will have made notable contributions to our codebase and internal processes.
• After 12-24 months: In collaboration with internal science and engineering resources, you lead the development of a client-facing application from the workshop phase to production. You are a trusted expert in a wide variety of machine learning algorithms and you are able to transfer that knowledge to more junior members of the team.

Your Character Traits
• Strong inner drive to get things done: you’re not waiting for others to manage or tell you what to do. You are self-driven and you like to work autonomously.
• You hate boxes: You don’t stop when your thing is done, and you don’t point to the other side. Instead, you are eager to learn and support in areas that may not be your core expertise.
• Quality ambassador: you combine an obsession with quality with a highly pragmatic prioritisation of tasks to maximize your project throughput.
• Exceptional communicator: you have excellent communication, presentation and interpersonal skills that enable you to quickly establish an emotional bond.

You fit in with our team culture if you
• Enjoy working in an environment that combines pragmatic, commercial thinking with a strong desire to learn and grow together. We value team players, not data ninjas.
• Have a highly ambitious, curious and driven mindset while being able to convey humility and respect for different opinions.
• Feel like a global citizen with a strong passion for openness and diversity.
• See open feedback, accountability and independent thinking as the foundation for exceptional (team) work.

Tasks
• You will work as part of smaller teams of 2-3 people on developing machine learning solutions with our clients.
• You will conceptualize and implement algorithmic solutions to challenging business problems. This includes prototyping and productionizing of machine learning solutions, and also defining and analysing product use cases together with the customer.
• You will own machine learning solutions from the first drop of raw data, all the way into production serving millions of inference requests.

Requirements
• An advanced quantitative degree - e.g Mathematics, Statistics, Computer Science or related fields. Strong knowledge of theoretical math and CS.
• Knowledge of working with large structured and unstructured data sets. Knowledge of data engineering tools like Apache Spark is an advantage.
• Strong programming skills in Python. We love other languages too, but Python is what we (and you) will use.
• Experience in using a wide range of ML frameworks such as SKLearn, Tensorflow, Torch in production. Experience with domain specific libraries like OpenCV, HuggingFace etc are an advantage.
• Excellent written and verbal communication, with the ability to work cross-functionally with non-scientific experts.
• Resident in one of the EU countries. Due to the size of the company, we cannot currently accept applications outside the EU.

Last but not least, keep in mind that we are hiring value based, not skill based. That being said, please tell us the following in your contact message:
• Why we would love to work with you
• Why you want to work with us"
(Senior) Machine Learning Engineer/Researcher (m/f/d),NA,2023-01-30 12:20:56,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=yuuuFUg1eB8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Huawei Research Center Germany & Austria,Full-time,NA,"Munich, Germany","Huawei is a leading global information and communications technology (ICT) solutions provider. Driven by a commitment to operations, ongoing innovation, and open collaboration, we have established a competitive ICT portfolio of end-to-end solutions in Telecom and enterprise networks, Devices and Cloud technology and services. Our ICT solutions, products and services are used in more than 170 countries and regions, serving over one-third of the world's population. With 197,000 employees, Huawei is committed to develop the future information society and build a Better Connected World.

Huawei's Munich Research Center is responsible for advanced technology research, architectural development, design and strategic engineering of our products.

The size of our cloud platform is gaining momentum and it is already planet scale. Huawei Cloud is one of the largest and fastest-growing platforms in the world. It has strong presence with over 40 availability zones located across 4 continents and... 23 geographical regions, covering locations such as Germany, Hong Kong, South Africa, or Brazil, among others.

Now we are looking for a:

(Senior) Machine Learning Engineer/Researcher (m/f/d)

Our team’s mission is to develop new intelligent tools aimed at SRE and cloud maintenance operators to enable them to quickly detect anomalies thanks to the use of artificial intelligence when cloud services are slow or unresponsive. We analyze observability data from Huawei Cloud to detect glitches which impact customers, identify their root cause within seconds, and automatically fix problems, when possible.

If you are enthusiastic about tackling real-world problems which require engineering and theoretical approaches to be solved, and you love to work with a dynamic group of people driven by challenges, come and join us!

INNOVATION FIELD

To drive reliability, we are seeking for a (Senior) Machine Learning Engineer/Researcher to join the Ultra-scale AIOps Lab which is distributed across Dublin, Munich, and Shenzhen Research Centers. This team is entrusted with developing key data mining and machine learning algorithms for Huawei Cloud. You will take systematic approaches to solve operation problems, dissect how large-scale, complicated systems work, and feel a great satisfaction from making continuous improvements.

Responsibilities
• Use deep learning and machine learning to create scalable solutions for business problems
• Develop new tools using cutting edge technology focusing on efficiency and automation
• Work closely with the AIOps team to jointly develop innovative tools driven by AI
• Build ML systems in production settings
• Collaborate with colleagues from science, engineering, and business backgrounds
Requirements
• PhD in Computer Science or related fields
• Extensive years of experience as an ML, data scientist or data engineer
• Experience with statistical software (e.g., Pandas, R) and programming languages (e.g., Python, Java).
• Hands-on expertise with ML libraries (e.g., Scikit-Learn, TensorFlow, Keras)
• Experience with applying machine learning on large-scale datasets.
• Experience with fast prototyping
• Demonstrated ability to solve challenging engineering problems is required.
• Fluent written and spoken English.

By applying to this position, you agree with our RECRUITMENT PRIVACY STATEMENT. You can read in full our recruitment privacy statement via the link below.

http://career.huawei.com/reccampportal/portal/hrd/weu_rec_all.html

What you can expect
• Our culture is characterized by innovative power and team spirit as well as the intensive exchange of knowledge and experience within our global network.
• We offer you a competitive compensation package and a broad range of training opportunities. Many online and face-to-face training programs.
• Self-responsible work in a competent, motivated and constantly growing team.

If you are enthusiastic in shaping Huawei’s Munich Research Center together with a multicultural team of highly skilled Engineers and Researchers, feel free to contact us. Driving future technologies focused on the customer experience is our main mission. Apply now!

Please send your application and CV (incl. cover letter and reference letters) in English"
(Senior) Machine Learning Engineer,NA,2023-01-30 12:20:56,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=_uhWpDwZ6M8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Snke OS GmbH,Full-time,NA,"Munich, Germany","Snke OS™ is a universally deployable digital B2B platform, founded in 2020 & headquartered in Munich. Emerging technologies continue to drive a digital transformation in the healthcare economy. Our founders recognized the potential for value creation by decoupling & deploying their best-in-class platform & team so that other companies can scale up & innovate efficiently. Fueled by AI & big data analytics, Snke OS delivers the platform & infrastructure that enables partners across the healthcare industry to deploy digital solutions for safer & more efficient interventions.

The 150-person Snke OS team brings a wealth of experience to the new company with backgrounds in large platforms, digital health & software-driven medical technology. Let’s impact the industry together! We are looking for pioneers to lead fast & lead first with Snke OS.

(Senior) Machine Learning Engineer

WHAT TO EXPECT

For our ambitious and growing Data Intelligence department, we are looking for a senior... algorithm developer with a strong background in state-of-the-art machine learning methods.

In this position, you will
• work on learning-based solutions for a variety of tasks in medical data analysis with a particular focus on the processing of medical images and videos (e.g. image segmentation, object detection and more)
• exploit the ever increasing amount of medical data in order to push the limits of intelligent software components for medical procedure support
• have the chance to drive your creative ideas from initial prototypes up to their final product release
• share your knowledge and provide technical guidance to your colleagues in the development team
• ultimately have impact on the daily work of medical professionals around the world

WHAT YOU OFFER
• Education in mathematics, physics, computer science or similar background
• Profound demonstrated experience in using modern machine learning methods along with classic computer vision approaches to solve challenging problems in the area of image processing
• Ideally, you have worked on a PhD in a relevant area or gained this experience during a range of projects in an industrial setting
• Strong mathematical background and interest, allowing you to understand modern machine learning methods in all their details, and making you eager to adapt and further develop these methods in your daily work
• Good confidence in using the Python ecosystem for efficient prototyping of your ideas
• Strong interest and skills in software engineering and object oriented programming (ideally in C++), allowing you to integrate your algorithms within a complex software framework
• Eagerness to be part of a high-skilled, dynamic team where your talent is both, challenged and supported
• Fluency in English and ideally German (or willingness to learn German)

WHAT WE OFFER
• Centrally located, modern work spaces
• 30 days of vacation plus 24.12. and 31.12.
• Flexible working hours as well as hybrid work model within Germany
• Secure bicycle storage room
• Restaurant, coffee shop on-site
• Regular after-work, team & company events
• Great 212m² roof terrace
• International team of supportive colleagues
• Comprehensive training and continuing education opportunities

Interested? Then we are looking forward to receiving your online application!

Contact person: Daniel Sypli"
Senior Radar Machine Learning Engineer (f/m/d),NA,2023-01-30 12:20:57,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=4hBu0_irGy4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Aptiv,Full-time,NA,"Wuppertal, Germany","About the Position

Aptiv is one of the leading Automotive suppliers and the forefront of solving mobility’s toughest challenges. As a large technology company, we are looking for a new talent for one of our leading Tech Centers for Artificial Intelligence in Wuppertal, Germany. We offer the chance to work in a challenging technical environment where science is transferred into real products. There, you can work together with a fantastic, passionate young, international team of technical experts from around the globe to develop new sensors, algorithms and platforms to shape the future of mobility.

Good perception is essential to extract the necessary information about the environment for future autonomous vehicles. We are looking for a passionate AI/ML engineer with a deep understanding for technology. The candidate shall have the capability to transfer the latest AI/ML techniques to combine it with Aptivs latest radar sensor technology to create market leading perception solutions... In order to turn ideas into prototypes, demonstrations and finally into products, the candidate needs to have a strong hands-on spirit. You will be working with exciting new sensor technology of one of the leading automotive radar suppliers.

Your Background
• Master or Ph.D. in science, technology, physics, engineering and mathematics or a related field
• At least 3 years of professional experience in a research oriented environment or in industry, preferably in the area of radar technology and / or AI / ML
• Excellent analytical skills and a good mathematical background with deep mathematical understanding
• Fluent in modern programming languages, such as C/C++, Python, Cuda or R
• Experience in one or more of the following fields:
• Modern radar signal processing methods
• Deep learning and other modern machine learning methods
• Good English language skills and preferably proficient German language skills

Bonus
• Experience in developing software as part of a team
• Experience with deep learning toolkits like Theano, Pytorch, Tensor Flow, etc.
• Experience in the field of real-time and embedded systems
• Autonomous driving or ADAS experience
• Familiarity with CUDA, Git, CMake, continuous integration tools
• Proven track record of publications in relevant conferences (CVPR, NIPS, ICCV, ICRA, Fusion, ...)

Aptiv Benefits
• In addition to an attractive compensation package, Aptiv offers 30 days of vacation
• A secure, permanent employment awaits you with the opportunity for continuous internal development in an international environment
• Access to internal and external training, coaching and certifications to help you develop your skills and knowledge
• We provide special recognition for innovation and outstanding performance
• A very international environment and cooperation with experts at eye level awaits you
• You have the chance to get involved in CSR activities
• At Aptiv, you will have the opportunity to actively shape the future of mobility with state-of-the-art technology (e.g. e-mobility and autonomous driving) in partnership with almost all global OEMs

Some See Differences. We See Perspectives That Make Us Stronger.

Diversity and Inclusion are sources of innovation and creativity, both of which are essential to Aptiv’s success. Everyday our diverse team comes together, drives innovation, pursues solutions, and meets challenges using their unique abilities, perspectives and talents, changing what tomorrow brings. When you join our team, you’ll get encouraged to think boldly, express your viewpoint and innovate as a matter of habit.

Some See Technology. We See a Way to Make Connections.

At Aptiv, we don’t just see the world differently; we work to change reality. That means developing technology that rewrites the rules of what’s possible in the pursuit of making transportation safer, greener and more connected. Today there are more than 180,000 of us globally, located in 46 countries, and united by one mission. Join the movement and together, let’s change tomorrow.

Are you interested in this job? Awesome! We look forward to receiving your application. Please include your certificates and a transcript with your grades from university.

If you have any questions or would like to find out more about the position and Aptiv, please contact Ms. Viktoria Behm, Talent Acquisition Specialist. She is happy to assist you and is available at 00 49 202 291 2430 or by e-mail at viktoria.behm@aptiv.com.

Applications from severely disabled persons and persons of equal status will be given preferential consideration in the event of equal suitability.

Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates

Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law"
Machine Learning Staff Engineer,NA,2023-01-30 12:20:57,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=dUmXTWb-dVkAAAAAAAAAAA%3D%3D&fpstate=tldetail,SumUp,Full-time,NA,"Berlin, Germany","As an ML Engineer in the Lending Tribe, you’ll play an essential role in supporting a relatively new SumUp product to grow to the next level. You’re going to be part of a team where the objectives are to understand the financial behavior of our customers deeply to assess their credit risk, predict their probability of defaulting during a loan, and identify their affordability. These objectives contribute directly to the profitability and the scale that our product will reach.

We empower our engineers to make significant decisions from the moment we understand the business challenges to implementing each piece of the system, ensuring incremental changes through fast iterations. As a Staff Engineer, you will have the opportunity to foster high standards that will influence the SumUp Data ecosystem.

What you’ll do
• Excel in ML architecture and documentation to support the team with a clear understanding of what and how to deliver.
• Develop high-quality code for our ML pipelines.
•... Engage in modelling to ensure good engineering practices in their development cycle.
• Engage with the ML Platform of SumUp, both technically and supporting the relationship, to ensure the Lending tribe contributes to the platform's evolution.
• Establish a solid practice to evaluate Data Quality and Consistency.

You’ll be great for this role if you have a solid experience with the following
• AWS Services (infra, data, network, sagemaker)
• Python
• ML libraries (pyspark, pandas, pytorch, scikit-learn)
• Transactional Database (Postgres)
• Data Lake
• Data warehousing

Would be a differential if you have experience with
• Data Analyses: Statistics and Probability knowledge to engage better with the Data Scientist's hypothesis.
• Credit Scoring on Payments or Banking industries.
• Data Scientist background to understand their common pain points
• Infra as a Code (K8s, ArgoCD, GitHub Actions)

Why you should join SumUp
• We’re a truly global team of 3000+ people from 60+ countries, spread across 3 continents.
• You'll have the opportunity to make an impact as we work in flat hierarchies.
• You'll attend global offsites and regular team events.
• You’ll receive a budget for attending conferences and external training.
• We offer a corporate pension scheme, 28 days’ paid leave, free German and yoga classes, subsidised Urban Sports Club membership and other great benefits.
• This role can be based in Berlin or remote within EU

About SumUp

We believe in the everyday hero.

Small business owners are at the heart of all we do, so we're creating tools that help them run their businesses. With a founder’s mentality and a 'team-first’ attitude, our diverse teams across Europe, South America and the United States work together to ensure that the small business owners we partner with can be successful doing what they love.

SumUp is an Equal Employment Opportunity employer that proudly pursues and hires a diverse workforce. SumUp does not make hiring or employment decisions on the basis of race, colour, religion or religious belief, ethnic or national origin, nationality, sex, gender, gender identity, sexual orientation, disability, age or any other basis protected by applicable laws or prohibited by company policy. SumUp also strives for a healthy and safe workplace and strictly prohibits harassment of any kind.

SumUp will not accept unsolicited resumes from any source other than directly from a candidate"
Senior Software engineer AI & Machine Learning - Remote Germany,NA,2023-01-30 12:20:58,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=ofmFlRWqM4IAAAAAAAAAAA%3D%3D&fpstate=tldetail,Dataiku,Full-time,NA,Germany,"We are looking for a talented Senior Software Developer interested in AI and machine learning to join us at Dataiku to work on the very core of our world-renowned platform used by 350+ organizations and thousands of data scientists every day. As a Senior Software Engineer, you will build a cutting-edge product that has a real impact on our customers. You will focus on Dataiku DSS’ machine learning and statistics capabilities, from building algorithms to better use ML models to developing the required visualization interfaces that allow users to make the most of their models.

What we do

Dataiku DSS is an on-premises or SaaS platform that connects together many data science technologies. We work with Pandas, Spark, scikit-learn, Keras, TensorFlow, Kubernetes, and many more. Basically, our technological stack is made up of the latest and greatest technologies from the big data and machine learning landscape.

What you will be doing

Your role will be to add new features or improve... existing ones to help our customers use predictive algorithms and put them into production with an intuitive and user-friendly interface, as well as APIs that let coders control and automate all those operations. You may also develop some other AI features (think NLP, time series, computer vision, labeling management, etc.) or collaborate with the AI Lab, our research department, to develop cutting edge POCs and experiments on a broad set of emerging machine learning topics.

The platform itself is in Java, Python, and Scala for the backend, with JavaScript and Angular on the frontend.

You are the ideal recruit if:
• You have at least 6 years of experience in software engineering.
• You are interested in machine learning and are not afraid of statistics.
• You are customer-oriented — you want to understand how the product is used and solve actual customer problems.
• You know that boosted trees are not only about silviculture.
• You have one or more professional experience building a real product.
• You can mentor less tenured developers, helping them grow both their technical and non-technical skill.
• You are humble and kind.
• You don't hesitate to ask questions when you don't know, and you treat your colleagues with respect, kindness, and honesty.

(Note: This is a Software Engineering job. We have separate Data Scientist positions open).

Hiring process:
• Initial call with the talent acquisition manager
• On-site meeting (or video call) with a software developer or a team lead
• Home test to show your skills
• Final interviews with an engineering manager and a VP of engineering
• An informal interview with a Dataiker to understand our culture

Dataiku’s culture is right for you if:
• You want to be able to define your own version of work-life balance - *flexible is our go-to word, it applies equally to remote work, vacations and parental benefits *
• You need autonomy to thrive - *we trust our people, give them space to do their best and stay away from artificial deadlines *
• You enjoy spending time with your colleagues and learning from your peers - *meet for Friday universities, annual offsites, virtual trivia nights and more *
• You like feeling cared about - watch out for the magical Christmas box delivered at home and an unforgettable onboarding week
• You care about giving back - it’s what our Ikig.AI program is all about: Dataikers are encouraged to work pro bono for one or several nonprofits of their choosing

If you want to learn more about our hiring process, you can read this article about our engineering hiring philosophy.* *

Dataiku focuses on Enterprise Software, Analytics, Machine Learning, Big Data, and Artificial Intelligence. Their company has offices in New York City, New York, Denver, Dubai, and Singapore. They have a very large team that's between 1001-5000 employees. To date, Dataiku has raised $837.29M of funding; their latest round was closed on December 2022.

You can view their website at http://www.dataiku.com/ or find them on Twitter, Facebook, and LinkedIn"
"(Senior) Software Engineer, Machine Learning - Fintech (all genders)",NA,2023-01-30 12:20:58,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=XNE6d1hbJR4AAAAAAAAAAA%3D%3D&fpstate=tldetail,"Delivery Hero, Delivery Hero",Full-time,NA,"Berlin, Germany","Be our next Hero! - Join the world’s leading local delivery platform.

We are looking for a (Senior) Software Engineer, Machine Learning (all genders) to join our Risk tribe in FinTech team on our journey to always deliver amazing experiences.

You will work with a cross functional team of engineers and data scientists. You will be involved in understanding the business problems, designing and researching the technical solutions, and making them production-ready.

If you're an experienced Machine Learning Engineer and a creative problem solver who is hungry for a new adventure, an international workplace is waiting for you in the heart of Berlin!

Your mission:
• Engineer a state-of-art ML platform for training, serving, and experimentation
• Creating, deploying and maintaining highly performant, reliable and scalable services to score millions of transactions for fraud prevention every day in multi-region set-up.
• Set standards for engineering excellence by following best practices... and providing mentorship.
• Assist domain leads to set the technical vision and strategy.
• Evaluate complex technical setups & design patterns, identify performance vs. cost trade-offs and provide technical advice.
• Drive technical learning sessions and initiatives.

Your heroic skills:
• 5+ years of engineering experience, at least 3 of them developing machine learning projects and pipelines.
• Experience with building/maintaining a large scale ML platform with 100s of models in production
• Deep understanding of Python and its ecosystem, especially oriented to data science and Machine Learning (including data libraries such as pandas, scikit, pyspark, FastAPI), SQL/NoSQL databases, Serverless infrastructure and tools.
• Apply best practices of software engineering for monitoring, observability, designing, OOP concept to build and improve the system in house.
• Good understanding of Machine Learning and Statistical methods, AB testing, practical usage of ML libraries (e.g. scikit, xgboost, lgbm etc.), and tools (e.g. mlflow, sagemaker, vertex ai, etc.)
• Ability to build scalable and cost-effective ML pipelines using cloud services (in AWS or GCP). Experience with workflow management tools (e.g. Airflow).
• Good understanding of Big Data tools and technologies such as Redshift, BigQuery, Spark, Kafka, Athena etc
• Knowledge of ""Infrastructure as code"" and containerization.
• Experience in developing, deploying, and supporting services-based enterprise cloud solutions on GCP and/or AWS using Kubernetes
• Experience with CI/CD build pipelines, integrated tests, and test-driven development
• Hands-on experience with Terraform, Linux, Git, Docker, Helm
• Having passion about good code quality and maintainability.
• Excellent communicator who builds collaborative relationships with technical and non-technical partners

Nice to have:
• Familiarity with Datadog/ ArgoCD

About us:

As the world’s leading local delivery platform, our mission is to deliver an amazing experience, fast, easy, and to your door. From prepared meals to groceries, flowers, coffee, medicine… we deliver whatever you need. We operate in over 72 countries across Asia, Europe, Latin America, the Middle East and Africa and are also pioneering quick commerce, the next generation of e-commerce. As one of Europe’s largest tech platforms, we work with a global ecosystem of employees, riders, and partners, and are at the forefront of innovation.

As one of our Heroes, you’ll work in an international and dynamic environment, with other Heroes from every corner of the globe where you can grow and develop your career with the right support, every step of the way. We are building a company that future generations can be proud of and are committed to welcoming everyone to our table. Delivery Hero has a lot to offer when it comes to benefits: we want to empower our Heroes and that means caring about all aspects of their wellbeing, such as: career, community, social, physical and financial. Learn more about our benefits at Delivery Hero here.

At Delivery Hero, we believe diversity and inclusion are key to creating not only an exciting product, but also an amazing customer and employee experience. Fostering this starts with hiring -- therefore we do not discriminate on the basis of racial identities, religious beliefs, color, national origin, gender identities or expressions, sexual orientations, age, marital or disability statuses, or any other aspect that makes you, you. Just be yourself and we can’t wait to see what value you bring to the role. We're as interested in your character as we are in your talent.

Have we sparked your interest? If you are looking for an environment where our company DNA is defined by our values and People Leader Principles, please apply and send us your CV using the online form. Please note, we do not accept applications via email"
Senior Machine Learning Engineer,2023-01-23,2023-01-30 12:20:58,https://www.google.com/search?q=Machine+Learning+Jobs+Germany&ibp=htl;jobs&sa=X&ved=2ahUKEwiJ7_LogfD8AhU0Ln0KHdF_AT0QutcGKAF6BAgREAU#htivrt=jobs&htidocid=n2ZMpHS16rQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Veeva,Full-time,NA,"Berlin, Germany","Veeva is a mission-driven organization that aspires to help our customers in Life Sciences and Regulated industries bring their products to market, faster. We are shaped by our values: Do the Right Thing, Customer Success, Employee Success, and Speed. Our teams develop transformative cloud software, services, consulting, and data to make our customers more efficient and effective in everything they do. Veeva is a work anywhere company. You can work at home, at a customer site, or in an office on any given day. As a Public Benefit Corporation, you will also work for a company focused on making a positive impact on its customers, employees, and communities.

The Role

We are an AI team supporting the entire suite of link data products (e.g., Link Key People). Agility and quality are our operating principles in developing cutting-edge ML models. Our ML models are trained by data captured by a massive group of over 1600 subject-matter experts. ML models complement the curational pipeline... and scale our solutions to different regions, languages, and therapeutic areas. Ultimately, we accelerate clinical trials and equitable care. We are proud that our work helps patients to get their most urgent care sooner. See us in this video and learn why you may prefer to join us here.
What You'll Do
• Technical lead for ML-Ops
• Develop and manage ML infrastructures and CICD pipelines to support multiple data products
• Provide engineering mentorship and guidance to data-scientists
• Collaborate with ML engineers, data scientists, data engineers, and product and operation teams
• Develop, integrate, and optimize end-to-end AI pipelines by a data-driven approach
• Build fully automated, scalable, cost-effective, and fault-tolerant solutions in AWS to process billions of records
• Collaborate with data quality teams to build data annotation/evaluation pipelines, monitoring, and dashboards
Requirements
• Strong collaboration skills as well as verbal and written communication skills
• Professional in ML Operationalization, including workflow/model management platforms such as Airflow/MLflow
• 4+ years of experience in professional software development
• 2+ years of experience as a Machine Learning Engineer or relevant jobs
• 2+ years of experience in cloud development
• Solid programming skills in Python
• Great skills in Data Engineering and big data technologies such as Spark
• Up-to-Date knowledge of the latest ML innovations and frameworks
• Strong analytical skills and data curiosity
• This position is listed identically as remote work in Germany and Netherlands. Before applying, you must already live in the above countries and be legally authorized to work there without requiring Veeva's support for a visa. If you need a Visa, plan to relocate, or intend to work in a nearby country, please submit an additional document explaining your exceptional situation.
Nice to Have
• Experience in the life/health science industry, notably pharma
• Experience in containerization, Kubernetes, and relevant distributed computing for training and inference
• Experience with NoSQL databases
• Familiarity with architectural choices, particularly for ML systems
• Leadership skills and a solid network to help in hiring and growing the team
Perks & Benefits
• Work anywhere
• Personal development budget
• Annual budget to donate to the non-profit of your choice
• Health & wellness programs
• Life insurance

#RemoteGermany

Veeva’s headquarters is located in the San Francisco Bay Area with offices in more than 15 countries around the world.

Veeva is committed to fostering a culture of inclusion and growing a diverse workforce. Diversity makes us stronger. It comes in many forms. Gender, race, ethnicity, religion, politics, sexual orientation, age, disability and life experience shape us all into unique individuals. We value people for the individuals they are and the contributions they can bring to our teams"
