Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Remote Senior Machine Learning Engineer Jobs,NA,2023-01-30 12:22:02,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=ip9cpqGW_1gAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Ghana,"A rapidly-growing company providing AI-enhanced nanomaterial synthesis solutions is looking for a Senior Machine Learning Engineer. The engineer will be providing a solid foundation for the team to build, scale, skip, and iterate on. The US-based company uses a data-driven process optimization approach to quickly analyze the vast nanomaterial synthesis in parameter spaces. This will be a full-time role that requires 4+ hours overlap with the PST time zone.

Job Responsibilities:
• Communicate, understand, and clarify tasks
• Recommend different solutions and implementations to solve scalability issues
• Use a holistic, test-oriented approach to troubleshoot and upgrade the application
• Document and maintain software functionality
• Deploy programs and evaluate user feedback
• Comply with project plans and industry standards

Job Requirements:
• Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
• At least 3+ years of relevant experience as a... machine learning engineer
• Prolific experience working with Python, Computer Vision, and Machine Learning
• Nice to have some experience with Data Engineering and DevOps technologies
• Excellent communication and interpersonal skills"
Machine Learning Engineer,NA,2023-01-30 12:22:02,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=-4p4ZW3oeDAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Remote Jobs,Full-time,NA,Ghana,"Example Responsibilities:
• Collaborate with the R&D team to build a distributed cloud-based SaaS solution for Identity Document Classification and Data Extraction.
• Build scalable machine learning models, algorithms, and analytics on large financial datasets (both fiat currency and cryptocurrency) to detect suspicious activity.
• Maintain and improve the data pipelines which support our complex data sets.
• Research new techniques, algorithms, and best practices within the industry.
• Explore, evaluate, and integrate new data pipelines.
• Participate in client interactions.

Skills and Experience:
• Advanced degree in Statistics, Machine Learning, Computer Science, Electrical Engineering, Applied Mathematics, Operations Research, or a related field.
• Proven and relevant industry experience
• Business driven and result-oriented individual.
• In-depth knowledge of Statistics, Probability, and Machine learning.
• Supervised and unsupervised statistical techniques such as regression... clustering, dimensionality reduction.
• Machine learning algorithms and concepts such as Random Forest, Boosting, SVMs, neural networks.
• Experience developing computer vision based solutions.
• Exposure to NLP models and techniques such as sentiment analysis, word embeddings, Latent Dirichlet Allocation (LDA) is a plus.
• Fluent in Python, including data science tools such as OpenCV, TensorFlow, Pytorch, PIL, Pandas etc.
• Passionate about writing reusable quality code.
• Effective communication & collaboration skills.

Extra Credit:
• Experience with big data technologies such as Map/Reduce, Hadoop, Hive, and Spark is a big plus.
• Built backend systems using Java and Python.
• Experience using cloud based solutions: AWS, GCP, Azure
• Experience with ML Ops tools and practices: Docker, CI/CD etc.

Key Characteristics and Attitudes:
In a recent global survey these attributes were valued by Jumios in all locations and functions - we firmly believe in hiring for attitude as well as skill.
• Friendly and supportive
• Adaptable and flexible
• Articulate and persuasive
• High IQ and EQ
• Curious and coachable
• Commercially Aware
• Resilient and tenacious
• Big picture and the detail"
Remote Machine Learning Engineer - Head of ML/Data Jobs,2023-01-21,2023-01-30 12:22:02,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=dgenIZUa2AMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Ghana,"A US-based startup committed to designing, building, and managing high-performing revenue operations for businesses is looking to hire a Machine Learning Engineer. The engineer will develop machine learning models to classify news/PR/industry articles based on category tags derived from a learning data of 5000+ data points. The company has assembled a dynamic group of sales, marketing, and technology experts with a track record of leading growth for some of the world’s largest and most successful companies. The selected candidate will create and leverage existing ML models for text summarization to enable rapid analyst understanding and context. This is an excellent opportunity for those who would like to join the team in pioneering the future of B2B growth.

Job Responsibilities:
• Understand the business objectives and develop models to achieve them, along with metrics for progress tracking
• Design and develop scalable machine learning systems
• Research and integrate appropriate... ML algorithms and tools
• Manage and lead the team executing the bottoms up build of a sales insight engine

Job Requirements:
• Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
• At least 3-5+ years of relevant Software, ML, or Data engineering experience
• Baseline knowledge of full-stack development is desired
• Nice to have some proficiency in Scala, Play-framework, HTML, Bootstrap, jQuery, JavaScript, and Python scripting
• Have a keen interest in building from scratch rather than with frameworks
• Competence in data science and algorithms to develop rules and scoring of quantitative information
• Sound problem-solving aptitude
• Familiarity with various machine learning frameworks and libraries
• Ability to thrive in a fast-paced, collaborative environment"
"Senior Deep Learning Researcher, ASR.",2023-01-30,2023-01-30 12:22:03,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=VFv9GfujF78AAAAAAAAAAA%3D%3D&fpstate=tldetail,Jobberman,Full-time,NA,"Accra, Ghana","Senior Deep Learning Researcher, ASR.
AssemblyAI
Research, Teaching & Training
Remote (Work From Home) Full Time

IT & Telecoms ₵ Confidential

New
Yesterday

Job Summary
AssemblyAI is growing quickly, and we’re searching for a Deep Learning Researcher to join our team. With significant investment and strong leadership to fuel our growth, it’s the perfect time to join the AssemblyAI team!

Minimum Qualification: MPhil / PhD

Experience Level: Senior level

Experience Length: 3 years

Job Description/Requirements

Responsibilities :

Continually push the state of the art in speech recognition and NLP. You will conduct cutting edge deep learning research in speech and NLP. Our ASR models already outperform companies like Google, AWS, and Microsoft - and we’re looking for the best deep learning engineers and researchers to help us continually push the state of the art in speech recognition to get to human level performance.

Research & train AssemblyAI’s deep learning models. You will... work with large scale data sets to research and train deep learning models for speech recognition. You will research and develop novel algorithms and techniques to advance the state of the art in natural language understanding. You will conduct research and experiments in order to improve accuracy of our Deep Learning ASR pipeline. You will also dig into weaknesses and failure points of our current ASR models in order to identify further areas for improvement.

Be part of a world-class team of creative researchers & engineers. You will help strengthen the position of AssemblyAI as a leading company in AI research. Our deep learning team is a tight knit group of creative researchers and engineers, who are not afraid to try unconventional ideas. You will also work with the broader speech recognition team as we continually strive to match human level accuracy.

Requirements:

PhD in computer science, machine learning, or similar field

1-3+ years of professional experience in Deep Learning research & development

2+ years of experience with PyTorch or TensorFlow

In-depth experience with Asynchronous (async) speech recognition

Wav2Letter++, Wav2vec, CTC, RNNTs, and/or LAS

Track record of publications at Speech Processing/NLP conferences (ACL, EMNLP, ICASSP, INTERSPEECH, ICLR, NeurIPS, and others)

Preferred Experience (any of the following)

Experience with Google JAX

Experience with Reinforcement Learning

Experience training large models on multiple GPUs

Speaker diarization

Multilingual speech recognition

Real-time speech recognition

Skills

Detail-oriented, analytical, and creative problem solver with a passion for quality processes

Ability to work independently, raise issues and take corrective action

A keen eye for detail

Important Safety Tips
Do not make any payment without confirming with the Jobberman Customer Support Team.
If you think this advert is not genuine, please report it via the"
Remote Machine Learning Engineer Jobs,2023-01-14,2023-01-30 12:22:03,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=MSqG2SDgO2gAAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Ghana,"A well-established fast-growing company using modern robotics analysis and systems to help further the construction industry is looking for a Machine Learning Engineer. The engineer will be collaborating on large, complex projects in a team, providing technical reviews and solving problems efficiently. The company does extensive site surveys on-demand or at regular intervals using a modern robot or terrestrial scanners. During the Seed round, it raised €2.5mn+ in funding. The selected candidate will actively contribute to key company projects involving Deep Learning, Machine Learning, Computer Vision, and many more.

Job Responsibilities:
• Develop back-end infrastructure, data pipelines, and ML models for AI-backed services
• Work on building ranking models and automate modeling pipelines
• Deploy new features for solving complex data management problems
• Integrate machine learning models for end-users and run experiments
• Build great ML models using computer science fundamentals... like data structures, algorithms, programming languages, distributed systems, and information retrieval

Job Requirements:
• Masters/Ph.D in Computer Science, Mathematics, Applied Statistics, Physics or related fields
• At least 3+ years of relevant experience as a Machine Learning expert
• Well versed in working with complex ML and Data pipelines and maintenance Large Datasets
• Thorough knowledge of technologies like Deep Learning, Machine Learning, and Computer Vision
• Must possess strong development skills using C++ and Python
• Familiarity with commonly used ML software libraries like Tensorflow, Keras, etc
• Knowledge building and deploying data pipelines and services in AWS will be beneficial
• A background in Deep Learning and 3D Vision is highly preferred
• Well-versed with Graph Neural Networks
• Deep understanding of Computer Vision, non-linear optimization, and Bayesian Statistics
• Publication in top tier conferences NIPS, ICML, ICRL, CVPR, ICCV, or ECCV would be advantageous"
Remote Machine Learning Engineer Jobs,2023-01-14,2023-01-30 12:22:04,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=oXRaTakpVA4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Turing,Full-time,NA,Ghana,"A U.S.-based company that is building a world-class meeting assistant that helps users to have a better meeting experience, is looking for a Machine Learning Engineer. The engineer will be tasked with operationalizing intelligent ML/AI services for business and engineering units. The company intelligently records meetings so that users can get transcription, tailored templates, insights, action items, and important quotes from any meeting. This will be a full-time position.

Job Responsibilities:
• Develop high-performant, testable, and maintainable code
• Conduct unit tests and code reviews
• Monitor data requirements of relevant stakeholders and clients
• Work with the engineering and the product teams to figure out what data is needed

Job Requirements:
• Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
• At least 3+ years of relevant experience as a software engineer
• Extensive experience in Java
• A minimum of 2+ years of experience in... Natural Language Processing (NLP) and Machine Learning
• Nice to have experience in GCP
• Fluent in verbal and written English"
Apply: NLP Engineer at Proto,NA,2023-01-30 12:22:04,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=L19uYspT2BMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Proto,Full-time,NA,"Accra, Ghana","We’re on a mission to make certain that the conversational AI revolution benefits everyone in emerging markets regardless of gender, geography, income or level of education. Machines are increasingly awesome at understanding English, but what about the 5+ billion people who need to communicate in their native language?

Proto automates multilingual customer support with a vertically-integrated product suite and the proprietary Natural Language Processing (NLP) engine for Chinese, Tagalog, Vietnamese, Swahili, Igbo, Yoruba, Thai and many more languages. Our core tech includes IP for mixed-language understanding and semi-supervised chat history structuring (we really love NLP).

We’re a fast-growing SaaS business with a laser-focus on being the AI Customer Experience (AICX) market-leader within the Financial, Energy and Gaming verticals in priority emerging markets.

How We Work

Build fast with usage: We deploy functional products and iterate fast with real-time usage. With this... approach, Proto rapidly implements cutting-edge NLP tech.

Lead first into frontiers: We target customer segments in underserved markets around the world. With this curiosity, Proto ventures first where others overlook.

Stay Hyper-Global: We’re a team with Taiwanese and Rwandan devs, building Canadian software, powered by Thai NLP for Swedish clients based in the Philippines.

OUR TECH & ROADMAP

Proto is driven by its passion to ensure that the conversational AI revolution benefits everyone from all corners of the Earth. To do this, we’re commercializing localized NLP techniques for every task in the customer support domain: livechat, ticketing, translation, chatbot training, upselling, and more. The combined power of the product suite and the NLP engine outperforms singular solutions like Microsoft LUIS or Zendesk in emerging markets.

In terms of the product suite, the backend of Proto consists of several python (micro) services communicating through a message queue server. This infrastructure is optimized for clients with 24/7 contact centers thus, testing and high-availability are critical to us. We are hosted on a multi-region GCP infrastructure and rely heavily on Kubernetes and Google Cloud SQL (Postgres) to achieve high levels of stability and performance. The frontend of Proto consists of interfaces with cutting-edge UX principles that blend AI functionality with the tasks of contact center agents.

In terms of the NLP engine, Proto’s research team is constantly testing and deploying the latest deep-learning techniques for domain and language-specific phenomena (i.e. slang within the Filipino financial complaints domain). This NLP research and development is always client-driven with immediate deployment into the field and with support from the governments of Canada and the European Union.

Proto’s roadmap is focused on proactive chat, churn prediction and increased vertical-integration as the AI Customer Experience industry consolidates.

DO YOUR BEST WORK, FROM ANYWHERE

Here Are Our Cultural Principles

As a remote-first company, our top priority is to implement new ways of enabling your maximum productivity, happiness, and contributions to the global team. To accomplish this, we receive incredible support from the Creative Destruction Lab, Next Canada, the National Research Council of Canada, and Enterprise Malta. The company founders are Canadian-Italian and Taiwanese, both with military backgrounds. We have set a cultural tone of high-accountability and high-inclusiveness that is respectful of all the cultures represented in the company.

Gender Equality: We strive to maintain an even gender balance with mission-critical leadership opportunities for women.

Multicultural: We align hiring to local market demands with a particular focus on polyglots and SaaS professionals.

Age Neutral: We combine the best attributes of every generation with opportunities matched to each member’s technical and lived experience.

Software: Daily communication and accountability is performed via various collaboration softwares, such as Slack, Monday, Github, JIRA, etc.

About You

Smarty Pants: Masters Degree or PhD in a related field.

Strategic Thinker: Contribute to the company’s technical product development & roadmap.

Multilingual: Native or fluent speaker of 1-2 languages.

Cool Cookie: This is a startup. We plan ahead but we must also be nimble and fast to adapt. If we asked your friends, they would say you’re the calmest person they know in tough situations.

NICE TO HAVES (BUT NOT DEALBREAKERS)
• Familiarity with machine learning tools like Scikit-learn, PyTorch and Tensorflow
• Experience with Python 3
• Knowledge of RESTful API, gRPC, airflow, message queue
• Experience with parser, semantic role labeling, or sentiment analysis, name entity recognition
• Fluent in Twi

DO NOT APPLY IF (ABSOLUTE DEALBREAKERS)
• You’re in school, running a startup, etc.
• You cannot provide up to three references
• You have a preference for unambiguous tasks
• Your dream job is at a big, name-brand company
• You’ll only be available 9-5 in your local timezone
• You prefer problem-solving to be done by management
• You consider an office with a ping-pong table to be a “perk”
• You have difficulties working with people from certain ethnicity, religions or genders
• You expect your company and colleagues to create the processes required for your success
• You have ever quit a job within one month of employment for a non-emergency reason or failed to provide a notice period

NOTE: Proto’s screening process will not always identify these factors, so please only submit your candidacy if these do not apply.

Compensation & Benefits
• 20 vacation days
• Above market salary
• Remote / flexible work
• Competitive commission
• Pets allowed at work (Vancouver office)
• Total ownership of your work and results
• Constant and immediate access to company leadership

Application Procedures : How To Apply
• Interested and qualified persons should visit the : Proto Recruitment Portal.
• Then read through the job offer
• Afterwards click on the apply now button
• You will be required to create a linked in account if you dont have one
• Afterwards click on the login button
• Then fill the Proto Recruitment form
• Then click on the submit button to submit"
Senior Machine Learning Platform Engineer,2023-01-16,2023-01-30 12:22:04,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=5a6w3sh1oIUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Jobberman,Full-time,NA,"Accra, Ghana","Senior Machine Learning Platform Engineer
Findhotel
Engineering & Technology
Remote (Work From Home) Full Time
Hospitality & Hotel ? Confidential

1 month ago
Job Summary
At FindHotel, we make heavy use of machine learning models to make critical business decisions like pricing available hotels, projecting cancellations and bidding in marketing channels, among others. We have a diverse team of data scientists, data analysts and business users contributing to making FindHotel machine learning driven organisation. You will be part of the team evolving our Machine Learning platform to make it more scalable.
Minimum Qualification: Degree
Experience Level: Senior level
Experience Length: 6 years
Job Description/Requirements
What you will actually be doing / responsibilities
Collaborate with other Machine Learning and Data engineers to build our next generation Machine Learning platform following current industry standards.
Develop batch and online inference systems at scale.
Create... products that will enhance model monitoring and experiment tracking in production.
Build, deploy and manage production ready Machine Learning pipelines in collaboration with Data Scientists.
Deploy and manage the resources of our Machine Learning infrastructure using IaC and CI/CD best practices.
Collaborate with Data Scientists. Data Engineers, Data Analysts and other stakeholders to understand and fulfil their machine learning needs.
Work in a multi-functional agile team to continuously experiment, iterate and deliver on new product objectives.
Iterate continuously using best practices to upgrade our effort in achieving world class Machine learning platform

What can you expect at the beginning of this experience?
In your first week, you will get acquainted to the squads, its codebase and the tooling, with the goal of shipping something to production and build confidence early on.
In your first month, you will get to know more people from the other squads and disciplines, in order to understand the foundation of the business and the various bits it is made of.
One quarter in, you will be effectively an active member of your squad and your teammates will fully count on you; you will have built meaningful relationships within the company and be comfortable discussing ideas, inside and outside of your squad’s scope; ideally, you will have presented a topic you are fond of in one of our internal knowledge sharing sessions and/or demoed some work the team did during our weekly all-hands meeting.

Typical day activities
Attend the daily standup with your squad where you will track how the current sprint is going towards the sprint goal, identify any possible blocker and adapt accordingly.
Meet your peers to discuss the design of the next machine learning platform product.
Build a new module of the machine learning platform to help data scientist and business people improve their work.
Test a new tool or framework that could be used in our machine learning environment.
Participate in peer programming and mentoring sessions to improve your coding skills and engineering practices.

Who we are looking for
You are willing to build a career in Machine Learning engineering and grow into a reference at FindHotel.
You have strong experience with cloud platforms and you like to get your hands dirty with them.
You understand the needs of Data Scientists and you love to create tools to improve their work.
You know your way with Python and you also manage with other languages like Go.
You are knowledgeable about what it takes to build a scalable Machine Learning platform and you are willing to put the components together.
You can manage end to end deployment of Machine Learning models and include the various necessary touch points.
You are not scared of data science algorithms and don’t view them as just another blackbox
You are pragmatic and curious, and you love to get things done.
You engage with your team and all the engineering group actively, sharing knowledge and best practices in order to improve with them every day.
You are familiar with Agile Methodologies.
Important Safety Tips
Do not make any payment without confirming with the Jobberman Customer Support Team.
If you think this advert is not genuine, please report it via the"
Senior Machine Learning Engineer,2023-01-19,2023-01-30 12:22:05,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=hgOgmLpBLfkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Jobberman,Full-time,NA,"Accra, Ghana","Senior Machine Learning Engineer
Eyeo
Engineering & Technology
Remote (Work From Home) Full Time
IT & Telecoms ? Confidential
New
1 week ago
Job Summary
As a Senior Machine Learning Engineer, you will be part of the core team responsible for devising novel machine learning approaches to ad filtering. The models you develop will be embedded in all our popular products like AdBlock Plus and Adblock.You will have the opportunity to work on a unique dataset containing millions of data points, and develop solutions which potentially impact not only our user base of 250 million but also tangibly contribute to the future of online tracking and privacy.As a senior member of the team, you will play a key role in defining the technical direction of our projects and collaborating with cross-functional teams to ship our features to the end users. Additionally, you have the opportunity to mentor junior engineers and contribute to their growth. The team is strategically poised and rapidly expanding... its portfolio of offerings. If these aspects excite you we are looking forward to talking to you.
Minimum Qualification: Degree
Experience Level: Senior level
Experience Length: 7 years
Job Description/Requirements
Responsibilities

After your morning routine, you'll be expected to...
Develop and deliver machine-learning solutions to enable automated ad filtering using state-of-the-art machine-learning models
You also know how to strike a balance between building sustainable, high-quality products/features and releasing things quickly
Follow best practices for software development in order to facilitate necessary technical and architectural discussions and decision-making within the team and across teams
Mentor and onboard junior engineers of the team and enable them to contribute to the development of the project by following our prescribed coding/development standards
Collaborate with team leads to define development milestones and translate critical business requirements into actionable development plans

What you bring to the table…
You are a go-getter who is willing to go the extra mile in order to get things done, and your values closely align with eyeo’s vision of building a fair and more prosperous web
At least 7 years of hands-on experience in developing large-scale end-to-end machine learning systems which are used by millions of users daily
Strong background in data science, machine learning, software engineering, system design and related fields
Proficient in modern deep learning architectures (knowledge of Graph neural networks is a plus) with practical experience in deploying such models on resource-constrained environments (i.e. the browser)
At least 4+ years of experience in Python/Go/Rust
At least 3 years of experience in Tensorflow, Pytorch or a related deep learning library. Added expertise in Tensorflow JS, Tensorflow Lite preferred
Familiarity with CI/CD pipelines, containers and orchestration frameworks (Kubernetes)
Hands-on experience with one of the following cloud providers - GCP, AWS, Azure etc.
Experience in modern web application development using JavaScript/TypeScript or one of the various frameworks like - React, Vue, Angular etc. is a plus
Experience with developing browser extensions will be preferred but not mandatory

It's awesome if you know about…
Web standards and cross-browser extension compatibility
Important Safety Tips
Do not make any payment without confirming with the Jobberman Customer Support Team.
If you think this advert is not genuine, please report it via the"
Data Science Specialist,2023-01-30,2023-01-30 12:22:05,https://www.google.com/search?q=Machine+Learning+Jobs+Ghana&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjeSIgvD8AhUnHjQIHa4zDlgQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=fyrvzDLtl_MAAAAAAAAAAA%3D%3D&fpstate=tldetail,getINNOtized GmbH,Full-time,NA,"Accra, Ghana","A Junior Trainer Data Science / Analytics is responsible to deliver trainings in our various Azubi Africa upskilling programs in universities as well as for young professionals. Together in a team with 5-10 other Junior Trainers, he/she delivers in our proven & innovative training structures, supported & guided by our experienced Senior Trainer. A Junior Trainer is also responsible to manage the learners on a daily basis, give them constant feedback, motivate them and report about their progress to various stakeholders.

Tasks:
• Deliver trainings in various Azubi Africa training programs at universities and for young professionals in the field of Data Science / Data Analytics
• Upskill yourself constantly to be able to add value for our learners
• Contribute to the development of curricula suited for beginners, intermediate and advanced students in analytics and machine learning fields
• Contribute to additional project tasks (e.g., events, reporting, promo material... etc.)

Qualification:
• Theoretical knowledge in the areas of Data Science / Data Analytics / Data Engineering incl. Cloud, BI tools & Data Collection (professional practical knowledge is a big plus)
• First knowledge with Microsoft Power Platform is a plus (incl. Microsoft Power Platform Associate Certification)
• Proven passion for technology topics
• AWS CCP or CSA Certification is a plus
• Passion for upskilling yourself and others – joy in seeing your trainees grow personally as well as technically
• First training / teaching experience
• Experience in community building and a strong sense of continuous improvement for members in the community.
• Ability to work independently and with team members from different backgrounds
• Excellent attention to detail, high work discipline

Expected Fill Date: ASAP

Number of vacant slots: 1

Location: Accra/ Cape Coast

Employment type: Full time

How to apply: Please send CV applications to hr.admin@azubiafrica.org latest February 10, 2023"
