Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer Intern,2023-01-15,2023-01-15 10:53:42,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=gPe5syLMWK8AAAAAAAAAAA%3D%3D&fpstate=tldetail,LST Capital,Internship,NA,"Ahmedabad, Gujarat, India","Job brief:-

We are looking for a Machine Learning (ML) Engineer Intern to help us create Fintech tools and products.

Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.

Educational qualification:-

-Must be an engineering student of a premier engineering college/University/school or must have atleast 7.5+ CGPA throughout all semesters.(we accept students from all the branches of engineering).

-Knowledge in finance is a plus point.

Responsibilities:-

-Study and transform data science prototypes

-Design machine learning systems

-Research and implement appropriate ML algorithms and tools

-Develop machine learning applications according to requirements

-Select appropriate datasets and data representation methods

-Run machine learning tests and... experiments

-Perform statistical analysis and fine-tuning using test results

-Train and retrain systems when necessary

-Extend existing ML libraries and frameworks

-Keep abreast of developments in the field

Requirements and skills:-

-Proven experience as a Machine Learning Engineer or similar role

-Understanding of data structures, data modeling and software architecture

-Deep knowledge of math, probability, statistics and algorithms

-Ability to write robust code in Python, Java and R
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)

-Excellent communication skills

-Ability to work in a team

-Outstanding analytical and problem-solving skills

Perks:-

-Extensive Networking in the Quant Finance Industry

-Internship Certificate

- Letter of Recommendation

Note:- LST Capital is a student-driven start-up; we will do our best to provide you with the best exposure in the BFSI industry; nevertheless, the internship will be non-stipendiary.

Application Process:-

To apply, please download the Application Form & the Test Assignment. Once you have filled the form and completed the assignment, send it to info@lstcapital.in. Also include a copy of your CV"
Senior Machine Learning Engineer,2023-01-14,2023-01-15 10:53:42,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=VZ2-bsG8QEwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siena AI,Full-time,NA,"Bengaluru, Karnataka, India","At Siena, we are pioneering the development of world's first autonomous customer service platform, leveraging artificial intelligence to enable machines to engage in useful and complex conversations. Our platform is the first of its kind, designed to work out-of-the-box to effectively solve customer problems across all digital channels.

Our self-service, autonomous CX platform, Siena, uses advanced natural language processing techniques to communicate with customers in a natural tone and promptly answer questions, while also utilizing conversation redirecting algorithms to develop a human + AI operating model. As a result, ecommerce companies see a significant reduction in ticket backlogs, a marked improvement in customer experience, improved ability to manage unpredictable conversation volumes, and an increase in agent capacity to handle high empathy cases.

If you're excited about artificial intelligence and the intersection of human-to-machine communications, and want to be part... of a remote team who is driving innovation and making a real impact, then come join us in pushing the boundaries of AI and CX performance.

As a part of our team, you will design, develop, and deploy large-scale machine learning training infrastructure and processes to simultaneously train and update multiple of cutting-edge models at the same time. You’ll work closely with fellow engineers to build systems capable of training machine learning models at a scale and quality required to serve our clients, the world’s fastest growing ecommerce companies. You’ll be faced with new technical challenges and things to learn about ML and software engineering on a daily basis.

What you'll do
• Design, build, and maintain model training systems that leverage and enable cutting-edge developments in training machine learning models at scale
• Actively work on creating and improving tools to parallelize model training, unifying dataset creation and accuracy measurements across experiments
• Collaborate with and mentor fellow engineers to help them maximize the speed and efficiency in model research and training
• Actively follow advancements in AI and ML, and participate in discussions about them with the ML and research teams

What you'll need
• 3+ years of production experience with Machine Learning and/or Natural Language Processing
• 5+ years of experience working with Python
• Proficiency in deep learning frameworks such as TensorFlow and PyTorch
• Experience building applications at scale and working on distributed computing projects
• Great communication skills both written and oral
• Desire to learn new things, work closely with peers from different teams, and help others

What we'd like to see
• Experience in big-data, ETL, or large-scale data science
• Production experience with modern cloud computing management (AWS, Kubernetes, Docker, etc.)
• Knowledge of additional languages such as Python, Javascript, or Typescript are not necessary but will help you work in cross-functional teams
• Be passionate about something we don’t already have expertise in.

🏠 The flexibility to work from anywhere, even if it's just from the comfort of your own bed (because let's face it, who doesn't love a good WFH situation?)

🌞 Flexible working hours, because who said you can't design your day on your terms?

💸 Competitive salaries, smaller egos. We offer highly competitive salaries and equity, because we're building this together.

🌴 Time off? More like time on. With unlimited paid time off and a minimum of 15 days off per year, you'll have plenty of time to explore the world (or just your couch).

📖 ""Edu-tainment"" budget - an annual budget to continue learning and expanding your horizons. It's like getting a raise without having to ask for it. We invest in you, so you can continue to invest in yourself.

And we're sure there's more, but we're too busy building to keep track"
Machine Learning Engineer,2023-01-02,2023-01-15 10:53:43,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=ivWG3oWFknUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Mercedes-Benz Research and Development India Private Limited,Full-time,NA,"Bengaluru, Karnataka, India","AufgabenJob Description and desired Skills for ML Engineer

- Enthusiastic self-starter with 4-6+ years industry experience delivering software as a service in a modern DevSecOps culture with Prior Experience on Virtual Intelligent assistants (chatbots)

- Strong scripting skills; Linux administration and Python
- Expert in Python coding, data analysis and business insight generation
- Customize and train models for business vertical or a group of business verticals
- Build automated ETL pipelines for a wide variety of data sources using Python, Writing Modular python Scripts,
- Some knowledge of system configuration tools such as Chef, Terraform GIT, Jenkins/Hudson
Java, WebLogic, .net( DotNET), HTML, CSS, JS, Sql Server, MySQL
- Develop RESTful APIs to serve machine learning models in production and strong debugging skills
- AI/ML Experience in NLP
- Demonstrating experience in messaging and queuing solutions such as Kafka, RabbitMQ and tools for ingest and query design
- Lead and... prioritize multiple assignments
- Build and maintain documentation on current environment, data locations/sources and models, ETL processes and associated code
- Take end-to-end ownership of Machine Learning pipelines -- from data pipelines to the real time prediction engine.
- Build and maintain deployment tools/procedures for applications, manage the CI/CD pipelines of Machine Learning systems in production
- Support and troubleshooting of staging/production environments
- Build scalable containerized applications/microservices using Docker and Kubernetes
- Develop tools to scale the different components of the Machine Learning pipeline
- Capacity planning for AI/ML Stack and communicating the same to leadership for costing of Hardware requests;
- Ensure production security standards are followed
- Ensure monitoring is robust and effective
- Zero downtime deployments and a high availability mindset
- Mandatory knowledge of Agile development practices.QualifikationenB Tech/BE
Experience in Power BI"
Machine Learning Engineer,2023-01-13,2023-01-15 10:53:44,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=Sp1xWAd26ysAAAAAAAAAAA%3D%3D&fpstate=tldetail,Stable Diffusion API,Full-time,NA,India,"Stable Diffusion API is an AI company giving services in generative AI.

We are looking for an ML engineer with 2 years of experience to build ML services on open-source models and libraries. The ideal candidate will have a strong background in machine learning and deep learning, including experience with popular frameworks such as TensorFlow and PyTorch. You should also have a good understanding of computer vision, natural language processing, and other machine-learning techniques. Experience with cloud platforms like AWS or GCP is a plus.

Responsibilities

Make ML APIs from open-source models

Debug existing services and fix issues

Write code and make docker images

Make plans, and work with the frontend team to build a workflow for API.

Qualifications
• Strong background in machine learning and deep learning, including experience with popular frameworks such as TensorFlow and PyTorch.
• Good understanding of computer vision, natural language processing, and other machine... learning techniques.
• Experience with cloud platforms like AWS or GCP is a plus.
• Strong coding skills in Python and proficiency in at least one other programming language.
• Strong analytical and problem-solving skills.
• Experience with data preprocessing, feature selection, and model evaluation techniques.
• Experience with deep learning libraries such as Keras, Pytorch, and Tensorflow
• Experience working with large datasets and distributed computing frameworks like Apache Hadoop and Apache Spark
• Knowledge of software development best practices (version control, testing, documentation, etc.)
• Strong communication and collaboration skills.
• Strong understanding of various neural network architectures and optimization techniques.
• Experience with deploying machine learning models in production environments.

This Fully Remote Fulltime Job

Compensation

Salary: INR 100,000/Month

Or $1230/Month

If you are a highly skilled and motivated Machine Learning Engineer, we would love to hear from you. Please submit your resume and a cover letter explaining why you would be a great fit for our team.

Thank you for your interest in our company.

Sincerely,

Adhik Joshi

Founder

Stable Difusion API"
Machine Learning Engineer - SSE,2023-01-15,2023-01-15 10:53:44,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=7bItwuIFgMMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Fi Money,Full-time,NA,"Bengaluru, Karnataka, India","About epiFi

Who are we : Simply put, a neo-banking startup for digital natives. Our mission is to help our users demystify their finances, maximize their savings and spend intelligently. We are building a highly secure - hub- a savings account that allows you to consolidate your finances in a single intuitive view.

Who are we looking for: Exceptional, innovative people! Passionate about delightful user experiences, clear about doing the right thing and hungry to impact millions of lives.

Why you should choose us: We are about doing the right thing always, both for our team and users. We are a positive, transparent and inclusive community celebrating success together, encouraging bias for action and individual brilliance. We are ambitious and want everyone thinking - impact and growth. Our office is not just fun, it is human, nimble and business-like.

With rich experience in the world's leading tech companies and banks, we deeply and equally understand both the - fin- and - tech... in fintech. Funded by leading global VCs, we- re in pursuit of a fantastic experience for both our consumers and colleagues.

You should apply if :

• Demonstrated application of ML techniques in the industry for a problem at scale with fruitful results.
• Ability to build, deploy and scale ML solutions/platforms including feature store, distributed training, model serving, deployment, experimentation framework etc
• Experience using machine learning libraries or platforms such as Tensorflow, Caffe, Theano, Scikit-Learn, Spark ML, etc.
• Hands-on experience with Python, scala, Go or Java.
• Knowledge of backend software engineering, data pipelines and data warehousing technical architectures.
• Knowledge of cloud computing, hosted services and multi-tenant cloud infrastructure

We aspire to create an inclusive culture of diverse people not just because it's the right thing to do but because heterogeneity inspires us and is more fun! We employ people solely on merit and do not discriminate against any employee or applicant because of race, creed, color, religion, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information, marital status, pregnancy or related condition (including breastfeeding), or any other basis protected by law"
Machine Learning Engineer,NA,2023-01-15 10:53:45,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=G7eb68i9a_kAAAAAAAAAAA%3D%3D&fpstate=tldetail,Adobe,Full-time,NA,"Noida, Uttar Pradesh, India","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences. We’re passionate about empowering people to craft alluring and powerful images, videos, and apps... and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to building exceptional employee experiences where everyone is respected and has access to equal opportunity.

We realise that new ideas can come from everywhere in the organisation, and we know the next big idea could be yours!

Role:
• Develop algorithms that use deep learning and traditional methods in NLP & computer vision, combined with traditional large complex solutions/codebases.
• Build experiments, algorithms and prototypes that not only yield high accuracy but are also crafted and engineered to scale.
• Collaborate across multiple research and engineering subject areas, making the trade-offs required to rapidly deliver solutions for complex problems.

To be successful in this role, we need someone who has:
• B.Tech in Computer Science. MS/PhD preferred.
• 3+ years of Industry experience.
• Ability to write efficient, clean, and reusable code in Python and C++.
• Strong fundamentals in Data Structures and sound knowledge of Algorithms.
• Exposure to Document content analysis and/or structure recognition work is preferred.
• Experience working and shipping products/services in Machine Learning, Image processing, Vision and/or NLP is preferred.
• Exposure in building prototypes from scratch and writing maintainable code inside large existing codebases.
• Strong software development skills that encourage code reuse among engineers and researchers.

Why Adobe?

At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.

If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.

Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, or veteran status"
Machine Learning Engineer,NA,2023-01-15 10:53:45,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=EpggcASE0OYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Monsoon CreditTech,Full-time,₹600K–₹2.4M a year,"Gurugram, Haryana, India (+1 other)","We are looking for motivated Data Scientists who fit the following description with 1-3 years of experience:

Hard-skills required
• Python- including skill with pandas, scikit-learn and to a lesser extent Django or Flask
• A Good understanding of the machine learning algorithms
• Experience working with hyper-paramter optimization, feature engineering, feature selection, calibration of models and benchmarking performance via AUC/Gini, Capture rates, K-S and other relevant metrics
• Project Management

Soft-skills required
• A keen sense of pride about work and the habit of taking ownership of work.
• Good communication skills
• Ability to work on a range of problems while breaking them down into smaller tasks & keeping track of deadlines

Benefits
• Competitive remuneration
• Great work environment with a focus on autonomy i.e. no micromanagement
• A fantastic peer-group of folks from the best universities in India and abroad
• Probably the most comprehensive insurance cover in the... market for employees, their parents and spouses.

Monsoon CreditTech focuses on Machine Learning, Artificial Intelligence, Credit, and Fin Tech. Their company has offices in Gurgaon. They have a small team that's between 11-50 employees.

You can view their website at http://www.monsoonfintech.com or find them on LinkedIn"
Sr Machine Learning Engineer,2023-01-11,2023-01-15 10:53:46,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=ZYsuaMdK4zUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Zscaler,Full-time,NA,"Bengaluru, Karnataka, India","Company Description

For over 10 years, Zscaler has been disrupting and transforming the security industry. Our 100% purpose-built cloud platform delivers the entire gateway security stack as a service through 150 global data centers to securely connect users to their applications, regardless of device, location, or network in over 185 countries protecting over 3,900 companies and have detected 100 Million threats/day.

We work in a fast-paced, dynamic and make it happen culture. Our people are some of the brightest and passionate in the industry that thrives on being the first to solve problems. We are always looking to hire highly passionate, collaborative and humble people that want to make a difference.

Job Description

At the Premier Cloud Security Provider, we are working with the massive scale of network data, security data, and enterprise data every day. We are seeking out engineers with a passion to build out tools and platforms, process and analyze data at scale, and solve... real-world business problems.

As a software engineer for our Machine Learning platform, you have three main responsibilities:

1. You will architect, build and maintain large-scale distributed systems to support the whole pipeline including data collection, feature engineering, model training, model evaluation, model deployment, and real-time serving.

2. You will apply analytical and math/statistics skills to stay on top of data and to ensure results are coherent and reliable.

3. You will solve complex real-world business problems (e.g., threat detection, automation, and business intelligence) by working closely with various stakeholders including data scientists, product management, and product engineering teams.

You may not have any prior data science and ML background but you need to have a desire in building up knowledge in this area. For example, we expect you to have tremendous curiosity in how the data can and will be utilized by the data scientist in order to have a very effective collaboration with data scientists.

Qualifications

- 3+ years of prior work experience as a Software Engineer or ML platform engineer

- Very strong algorithm and programming skills in building out data collection/processing infrastructure, Machine Learning model training, and serving platforms

- Very strong Python and SQL scripting skills

- 2+ year of experience using distributed data processing such as Spark, BigQuery or Apache Beam

- 2+ year of experience with event messaging such as Kafka, RabbitMQ, etc

- 2+ years of experience working with Docker, Kubernetes

- Ability to learn, evaluate and adopt new technologies

- BS Degree in Computer Science or related field

Desirable Skills:

- Experience with Go, C++, or Javascript

- Experience with setting up SQL/NoSql database such as Postgres, MongoDB, Redis, and table schema

- 1+ year of experience with ML automation platforms such as Kubeflow, Airflow or MLFlow

- Experience with data serialization techniques and data stores for persisting events

- Experience with Google cloud (or other public cloud)

- Experience with building quality software by writing robust interfaces, considering design principles, and applying sound testing practices

- Ability to lead and execute projects from start to finish

- Knowledge of NLP/Text mining techniques and related open-source tools

- Familiarity with networking and networking security

- Excellent interpersonal, technical, and communication skills

- Advanced degree in Machine Learning, Computer Science, Electrical Engineering, Physics, S

Additional Information

#LI-YK1

Why Zscaler?

People who excel at Zscaler are smart, motivated and share our values. Ask yourself: Do you want to team with the best talent in the industry? Do you want to work on disruptive technology? Do you thrive in a fluid work environment? Do you appreciate a company culture that enables individual and group success and celebrates achievement? If you said yes, we’d love to talk to you about joining our award-winning team.

Additional information about Zscaler (NASDAQ: ZS ) is available at https://www.zscaler.com.

Zscaler is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees"
Machine Learning Engineer - Timeseries,NA,2023-01-15 10:53:47,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=zT-IAyNfy-sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siemens,Full-time,NA,"Bengaluru, Karnataka, India","Machine Learning Engineer

Siemens
founded the new business unit Siemens Advanta (formerly known as Siemens IoT
Services) on April 1, 2019, with its headquarter in Munich, Germany. It has
been crafted to unlock the digital future of its clients by offering end-to-end
support on their outstanding digitalization journey. Siemens Advanta is a
strategic advisor and a trusted implementation partner in digital
transformation and industrial IoT with a global network of more than 8000
employees in 10 countries and 21 offices. Highly skilled and experienced
specialists offer services which range from consulting to craft &
prototyping to solution & implementation and operation – everything out of
one hand!

This is your role. What part will you play?

·
5 to 8 years of
development experience

·
Looking for Machine
Learning / Deep learning engineers with expertise in Timeserise Analytics and modelling,
Anomaly detection , forecasting and classification with python.

·
Domain knowledge
in... Industrial/electrical /Financial is highly valuable/preferable.

·
Should be open
to travel to Saudi for duration of 3-6 months.

·
Strong
interpersonal skills, fluent communication in a business environment.

·
Customer-focused
behavior, proactive initiative.

·
Capability to
collaborate strongly with responsibility and respect.

Make your mark in our exciting world at Siemens

This
role is based in Bangalore. You’ll also get to visit other locations in India
and beyond, so you’ll need to go where this journey takes you. In return,
you’ll get the chance to work with teams impacting entire cities, countries –
and the shape of things to come.

We’re
Siemens. A collection of over 379,000 minds building the future, one day at a
time in over 200 countries. We're dedicated to equality, and we encourage
applications that reflect the diversity of the communities we work in. At
Siemens we are always challenging ourselves to build a better future. We need
the most innovative and diverse Digital Minds to develop tomorrow ‘s reality.

Find out more about the Digital world of
Siemens here: www.siemens.com/careers/digitalminds

Organization: Advanta

Company: Siemens Technology and Services Private Limited

Experience Level: Experienced Professional

Full / Part time: Full-time"
Machine Learning Engineer,NA,2023-01-15 10:53:47,https://www.google.com/search?q=Machine+Learning+Jobs+India&ibp=htl;jobs&sa=X&ved=2ahUKEwjO8-Kqksr8AhWTKn0KHXyWABkQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=W4Hj4tu2pDsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Greendeck,Full-time,NA,"Indore, Madhya Pradesh, India","About the role

We want to fundamentally change how people work in retail and e-commerce. So we need a team of world-class talent. As a Machine Learning Engineer at Greendeck, you’ll be an integral part of this team from day one.

You’ll be instrumental in the improvement of our product matching framework, which help us to match same products sold across various retailers. This novel framework uses state of the art techniques and algorithms in both NLP and CV domain and is in constant need of upgrades in order to match ever increasing and new catalog of products sold on retailers.

Apart from this you will get to work with problems incorporating Reinforcement Learning, GAN, Online Learning, Time Series Data and Time Series Analytic.

You'll own your work, to build, test and iterate quickly, with direct guidance from our CEO.

Your work includes

- Working on our product matching framework.
- Building new models and training techniques to improve on current models performance.
... Working on Time Series Data and Analytic.

Skills/ Requirements

We’re looking for a communicative, experienced engineer who takes pride in producing disruptive technology products, built upon logical, simple and effective solutions to complex issues. Primarily, you should have:

- Strong programming skills in Python is a must, with experience working in ML Frameworks such as Keras, Tensorflow, Pytorch.
- Strong understanding of Deep Learning Algorithms in both NLP (LSTM’s, RNN’s etc.) and Computer Vision (CNN’s etc.) domain.
- Ready to get your hands dirty with data frames.
- Ability to implement research papers from scratch.
- Positive, pro-active team player who is passionate about their craft, is keen to take part in product discussions and cares about helping the team deliver.
- Drive for continuous learning, with the ability to get up to speed with new systems and concepts quickly.
- Good communication skills.

Optionally, It will be great if you have already

- Deep understanding about working of Tensorflow and Pytorch.
- Have created few projects in Tensorflow and Pytorch.
- Worked on the implementation of any published research paper from scratch.
- Worked on time-series analytic problem.

What you can expect

- Attractive pay, bonus scheme and flexible vacation policy.
- A truly flexible, trust-based, performance driven work culture.
- Lunch is on us, everyday!
- A young and passionate team building elegant products with intricate technology for the future of businesses around the world. Our average age is below 25!
- The chance to make a huge difference to the success of a world-class SaaS product and the opportunity to make an impact.

Its important to us

- That you relocate to Indore"
