Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-15,2023-01-30 12:24:35,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=ldTC5GSlUkcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Nomura Research Institute Indonesia,Full-time,NA,"Central Jakarta, Central Jakarta City, Jakarta, Indonesia","A Machine Learning Engineer trains, validates and evaluates machine learning and deep learning models which perform predictive tasks in various domains such as computer vision, natural language understanding and time-series analysis. Some examples include visual recognition models, activity detection using sensor data and demand forecasting.
• Translate and refine business goals into appropriate machine learning objectives.
• Design and implement ML/DL solutions and integrate them with various Big Data platforms and architectures.
• Create and maintain ML pipelines that are scalable, robust, and ready for production.
• Collaborate with domain experts, software developers, and data scientists.
• Troubleshoot ML/DL model issues, including recommendations for retrain, re-validate, and improvements/optimization."
Machine Learning Engineer,NA,2023-01-30 12:24:36,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=_pEos9WThykAAAAAAAAAAA%3D%3D&fpstate=tldetail,Pt Air Teknologi Media,Full-time,NA,"Jakarta, Indonesia","• Design & implement Machine Learning solutions and integrate them with multiple platforms and architectures.
• Create and Maintain a scalable and production ready Machine Learning pipeline.
• Collaborate with experts (marketing/sales) and programmers.
• Troubleshoot Machine Learning models, including recommendations for retraining, revalidating, and optimizing/improving.
• Create and maintain Continuous Integration (CI) and Continuous Deployment (CD) pipelines in Machine Learning platforms."
Junior Machine Learning Engineer - NLP,NA,2023-01-30 12:24:36,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=USZFHyTlvicAAAAAAAAAAA%3D%3D&fpstate=tldetail,MeetKai,Full-time,SGD 60K–SGD 75K a year,Hong Kong (+2 others),"The Job

We are hiring CS grads that hold considerable experience in Machine Learning and deploying models in production. You will have the role of improving MeetKai's ML capabilities across NLP, Search, Personalization and Online Learning. ML theoretical knowledge, while useful, is not as necessary as the ability to test and deploy models and large scale datasets.

Building a next-gen voice assistant that can understand complex utterances and speak new languages will be a big part of your role, along with designing and implementing a highly intuitive experience for our users.

Join us and be part of a highly accomplished, deeply technical and close-knit team of machine learning engineers, where you will build infrastructures, tools, and develop machine learning applications to enable the implementation of exceptional conversational experiences.

Responsibilities
• Design and train personalization models, providing insights towards innovative new approaches and features tailored to... users in APAC
• Engineering Natural Language Processing and Speech components specific to your language
• Using the power of large amount of data to tackle complex NLP and machine learning problems
• Develop processes for automatic deployment of ML models upon improvements and train deep learning models at scale
• Productionize trained models (potentially on edge)

Requirements
• Bachelor's Degree in Computer Science, Information Systems or equivalent experience
• 3+ years of programming experience with Python
• Experience with Pytorch or Tensorflow
• Demonstrated ability to write thoughtful, maintainable code under tight deadlines in a fast paced environment

Nice to have
• Relevant work experience in Natural Language Processing, Machine Learning or related sub-fields
• Experience with online learning algorithms and models
• Fluency in a 2nd language: Chinese, Indonesian, Malay, Japanese, Korean, Hindi

MeetKai focuses on Machine Learning, Artificial Intelligence, Virtual Reality, and Mobile Application. Their company has offices in Singapore and Marina del Rey. They have a mid-size team that's between 51-200 employees.

You can view their website at http://www.meetkai.com or find them on LinkedIn"
Senior Machine Learning Engineer,NA,2023-01-30 12:24:36,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=0NPKFJKvfNQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Bonza,Full-time,NA,"Jakarta, Indonesia","Company Description

About Bonza
Bonza is a no-code AI platform that aims to remove friction and barriers organizations face when creating and implementing data-driven solutions.

Now, as our business grows, we are looking for great talent to join our team!

Job Description

The Role
Bonza is looking for a Senior Machine Learning Engineer who is motivated to solve some of the organization's most challenging problems. Data is at the heart of our business, and as Senior Machine Learning Engineer you will work to design, build, and deploy Machine Learning (ML) models and solutions. You will need a strong foundation in software development, infrastructure management, data engineering, and distributed systems to facilitate the development of ML powered software products that deliver data-driven insights seamlessly to end users where when they need it. You will help to develop high performing individuals and serve as a mentor to others.

What you will do:

- Contribute to design, training... evaluating, and deploying ML product
- Maintain and monitoring ML model on the production system
- Drive and hands-on contribute to the execution of machine learning model development
- Write well written Python code for defining machine learning pipeline
- Develop a new way to scale out ML training and deployment process
- Work collaboratively with the product, engineering, data science, and business leaders to find opportunities to improve and enhance our tech products and processes

Qualifications

What You Will Need:

- Bachelor Degree / Master Degree in Computer Science or equivalent work experience
- Strong understanding of machine learning theory and practice
- Experience in building, deploy and maintain ML system in production
- Understanding in CI/CD process
- Experience with cloud platform, preferable AWS
- Exceptional critical thinking and problem-solving skills with effective communication abilities

Additional Information

We are conducting virtual interviews to keep our candidate and employees safe.

What’s on offer:
• To be part of Indonesia’s fastest growing data analytics company
• A great work culture, with coaching, massive ownership and growth opportunities
• Passionate and innovative work culture
• Attractive remuneration package and insurance coverage"
Machine Learning Engineer,NA,2023-01-30 12:24:37,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=Jak5xCZml6sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Moladin,Full-time,NA,"South Jakarta, South Jakarta City, Jakarta, Indonesia","• Design and implement cloud solutions and setup MLOps on cloud (GCP).
• Implement and track best practices for model development and deployment life cycle.
• Data science models testing, validation and automation of test cases.
• Collaborate with a team of data scientists, data engineers and solution architects.

Requirements

• 2-4 years of industry experience with 1+ years of hands-on AI or ML system development experience.
• Highly skilled in python with a good understanding of dockers and containers.
• Experience in model deployment, model monitoring, and model refresh experience in any orchestration tool like MLflow and Kubeflow is expected.
• Expertise in design and development of ML-based solutions.
• A decent understanding of data science techniques.
• Decent experience in developing deep learning models using frameworks like Tensorflow, Keras, Caffe and PyTorch.
• Good experience working with data pipelines and ETL/ELT.
• Comfortable in conversational English."
Machine Learning Engineer,NA,2023-01-30 12:24:37,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=5rJnqfRl-TAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Talentvis,Contractor,NA,Indonesia,"Hands-on experience in building ML models deployed into real-world business applications or research. ▪ Working knowledge of ML/DL algorithms (classification, regression, clustering, hyperparameter tuning, etc). ▪ Proficiency with Python and libraries for machine learning such as scikit-learn and pa..."
AI Engineer Lead,NA,2023-01-30 12:24:37,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=UN-nMXXnsvMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Robert Walters,Full-time,NA,"Jakarta, Indonesia","An AI Engineer Lead job has become available at one of the largest electronics companies in Indonesia.

About the AI Engineer Lead Role:
An AI Engineer Lead role has opened up at a leading multinational electronics company. The role requires you to utilise Deep Learning, Machine Learning and Predictive Analytic Models to conduct research within Content and Service Store, Partnership Management, Mobile Platform, Cloud and IoT.

Key Responsibilities:
• Manage neural network library (e.g. Kaldi, TensorFlow, Torch, CAFFE). TensorFlow is strongly preferred
• Manage time series data/text/multimedia/language/voice data
• Deep learning on NLU/ NLG/ASR

To succeed in this role, you must be proficient in Deep Learning, Machine Learning and Predictive Analytic Models, with a good and strong experience in neural network library.

Key Requirements:
• Ph.D. Candidates in computer science, electrical engineering, or related field is preferable from a reputable university
• Proficient in Java or... C/C++, Python programming languages
• Background in any of the following is highly preferred - mobility, HW/ SW engineering, innovation strategy, mobile services, VR/AR, mobile application development
• Excellent written and communication abilities in English and Bahasa Indonesia
• Exposure to deep learning, machine learning or predictive analytics models at a massive scale
• Proven track record of research/publication on machine learning and artificial intelligence field (NIPS, ICML, CVPR, AAAI, ICLR, ACL, EMNLP, NAACL, INTERSPEECH, ICASSP)

This AI Engineer Lead role is the next opportunity you want to take to move your career forward.

Apply now or contact me to discuss this new opportunity.

Due to the high volume of applications we are experiencing, our team will only be in touch with you if your application is shortlisted"
Senior Machine Learning Engineer (Remote),NA,2023-01-30 12:24:38,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=qLi3sqS3KWAAAAAAAAAAAA%3D%3D&fpstate=tldetail,WalletHub,Full-time,US$40K–US$70K a year,Pakistan (+2 others),"WalletHub, the #1 Personal Finance App in the US and one of Forbes Top 100 Best StartUp Employers for both 2020 and 2021, is rapidly growing and looking for a highly experienced and motivated Senior Machine Learning Engineer for a full-time, permanent position.

The main objective of the Data Science/Machine Learning Team is to improve WalletHub's services and core product. This has a direct impact on the overall user experience.

Making the right personal finance decisions by sifting through vast amounts of available information can be a daunting task for almost anyone. This is because a large number of interrelated factors need to be taken into account when making such decisions.

By designing and constructing data-driven models, the Data Science/Machine Learning Team is able to provide our users with indispensable knowledge and meaningful advice on how they can achieve their personal finance goals.

Such goals include:
• Selecting the best financial products for your needs
• Taking... the right actions to improve your credit score
• Anticipate your future financial health based on your current financial status and history

With these goals in mind, our Data Scientists/Machine Learning Engineers use the latest cloud technologies and machine learning tools in order to exploit the potential of data analytics. We always have new and interesting projects on the horizon that aim to help our users reach their personal finance aspirations!

Responsibilities
• Modeling complex problems, discovering insights and identifying opportunities through the use of statistical, algorithmic, mining and visualization techniques
• Participating in the areas of architecture, design, implementation, and testing
• Proposing innovative ways to look at problems by using data mining approaches on the set of information available
• Designing experiments, testing hypotheses, and building models
• Conducting advanced data analysis and designing highly complex algorithm
• Applying advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple real-time decision systems

Qualifications

You are the ideal candidate for this job if you have:
• At least 4 years experience in Python and MySQL (or any relational database)
• Min. 2 years of experience as a Data Scientist
• Experience with databases
• Experience in machine learning frameworks and libraries
• Machine learning concepts and techniques: Regularization, Boosting, Random Forests, Decision Trees, Bayesian models, Neural networks, Support Vector Machines (SVM)
• Experience with the whole ETL data cycle (extract, validate, transform, clean, aggregate, audit, archive)
• Computer Science or Mathematics or Physics degree
• Excellent communication and analytical skills
• Willingness to work hard (50 hrs per week)
• Very good English

Nice to have but not required
• Experience with Apache Spark
• Natural Language Processing (tokenization, tagging, sentiment analysis, entity recognition, summarization)

Compensation
• Very competitive salary based on prior experience and qualifications
• Potential for stock options after the first year
• Raise and advancement opportunities based on periodic evaluations
• Visa sponsorship (after 18 months with the company, based on performance, in case you will be working from outside the US).

Notes

Expected work schedule is 50 hours/week, Monday to Friday. This position requires a full overlap with EST business hours (8AM - 7PM ET, including 1 hr break).

Although we appreciate your interest in working with us, due to the high number of applications we receive, we will only be able to reply to successful applicants.

WalletHub focuses on Fin Tech. Their company has offices in Washington DC. They have a mid-size team that's between 51-200 employees.

You can view their website at http://www.wallethub.com or find them on Facebook and LinkedIn"
AI and Machine Learning Engineer,NA,2023-01-30 12:24:38,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=hN7x_fAQzeAAAAAAAAAAAA%3D%3D&fpstate=tldetail,PT. Meister Sinergi Indonesia,Full-time,NA,"Bandung, Bandung City, West Java, Indonesia","AI & MACHINE LEARNING ENGINEER
• Bahasa Pemograman yang dikuasai : Python, C/C++
• Memiliki Pengalaman dibidang Machine Learning
• Memiliki responsibiltas dan tanggung jawab penuh pada pekerjaan
• Dapat menggunakan model data secara teori dan mengubah skalanya ke dalam model produksi, sehingga dapat mengolah data set dan data real time menjadi sebuah produk AI (Artificial Intelligence).
• diharapkan mampu menerapkan algoritma untuk pemodelan data, menggunakannya dan melakukan strategi evaluasi guna menemukan pola dan memprediksi hasil analisis yang dapat menciptakan sebuah mesin pintar

Send your CV and portfolio project in english
• *Video call interview
• *Available Remote job (Work From Home)"
Machine Learning Engineer,2023-01-30,2023-01-30 12:24:39,https://www.google.com/search?q=Machine+Learning+Jobs+Indonesia&ibp=htl;jobs&sa=X&ved=2ahUKEwjF2vvRgvD8AhUkGDQIHe2XBc4QutcGKAF6BAgREAU#htivrt=jobs&htidocid=748xihBJJbMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Alodokter,Full-time,NA,"South Jakarta, South Jakarta City, Jakarta, Indonesia","Alodokter is the #1 digital health company in Indonesia. Launched in 2014, Alodokter brings high-quality medical services to its 26 million+ Monthly Active Users by providing an integrated mobile solution for patients and doctors.

We empower patients and doctors with better knowledge to help them make better decisions:

- 500K+ monthly patient-doctor interaction and our 30K+ doctors in our mobile app

- Largest online booking of doctors and hospitals platform in Indonesia

- Most complete medical"
