Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Researcher,NA,2023-01-30 12:25:06,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=_tnF7R8WiGMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Huawei Ireland,Full-time,NA,"Dublin, Ireland","Location: Dublin

About Huawei

Huawei, the leading Telecommunications and IT solution provider has its European Research and Development centre for Autonomous Networks in Dublin. Led by Huawei’s Autonomous Networks vision, our Ireland LABis leading pioneering R&D in advanced software architectures & systems that underpin the transformation from Operator Driven to Autonomous Networks and plays a pivotal role in the future networking products and solution for Huawei’s customers.

Our team is applying a combination of advanced software techniques/architectures and deep domain expertise to transform the network to become agile, programmable, on-demand and autonomous. We are expanding our highly talented team to unlock the potential of the network and make a major break-through in the network revolution.

With the goal of maximising the benefits and use of cloud, big data, and artificial intelligence (AI) technologies, Huawei is developing their Autonomous Driving Networks solution to... bridge the gaps between the physical network and business goals. This solution aims to deliver networks driven by a business logic and service strategies based around end user experience and incorporating intelligence, simplicity, ultra-broadband, security, and openness with built-in automation from end to end. These networks also look to sense the quality of the user experience in real time, and perform predictive analysis so that they can proactively optimize performance.

Key Responsibilities:
• Contribute to ground breaking technology towards fully autonomous networks
• Design and implement Machine Learning model and pipelines to enable the automation of complex tasks in the Networking Domain
• Follow the latest ML research developments and evaluate their relevance for our projects
• Focus on the explicability of our models to allow independent result validation by network experts
• Demonstrate the potential of ML model through proof of concept projects
• Work with a distributed team of network experts, software architects and researchers, contributing to the enhancement of Huawei’s products and ecosystem
• Strong Machine Learning research record
• Experience performing data extraction, cleaning, analysis and presentation for big data sets
• High proficiency with at least one programming language (Python, R, Java, etc.)
• Proficiency with ML frameworks / packages (PyTorch, TensorFlow, Jax, scikit-learn etc.)
• Experience on building explainable ML models or source code modelling and generation
• Knowledge of computer networks (or willingness to learn about them)
• Experience in deploying ML models in production is a plus

Academic & Technical:
• MSc (PhD preferred) in Machine Learning, Computer Science, Maths or related fields.
• 5+ years of academic research or/and industry research experience.
• Knowledge of software architecture design, scalability, distributed systems and cloud technologies in the context of ML is a plus.

Basic:
• Fluent in English (written and spoken).
• Excellent communication and interpersonal skills.
• Quick learner and confident in working in research projects
• Ability to work within a team while successfully delivering individual targets.
• Experience working within an Asian business culture is a plus.
• Private Health Insurance
• Pension Plan
• Paid Time Off
• Work From Home
• Training & Development
• Performance Bonus

ONLY CANDIDATES WHO MAY LIVE AND WORK IN IRELAND WITHOUT RESTRICTION CAN BE CONSIDERED FOR THIS POSITION.

DUE TO THE HIGH VOLUME OF REPLIES, ONLY CANDIDATES WHO ARE SHORTLISTED FOR INTERVIEW WILL BE CONTACTED

http://career.huawei.com/reccampportal/portal/hrd/weu_rec_all.html"
Senior Machine Learning Engineer,2023-01-30,2023-01-30 12:25:06,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=tc7j3lq8Q7sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Cadence Design Systems,Full-time,NA,"Cork, Ireland","Cadence is a pivotal leader in electronic design, building upon more than 30 years of computational software expertise. The company applies its underlying Intelligent System Design strategy to deliver software, hardware and IP that turn design concepts into reality.

Cadence customers are the world’s most innovative companies, delivering extraordinary electronic products from chips to boards to systems for the most dynamic market applications including consumer, hyperscale computing, 5G communications, automotive, aerospace industrial and health.

At Cadence, we hire and develop leaders and innovators who want to make an impact on the world of technology.

The System Verification Group are seeking a Senior Machine Learning Engineer to join our team at Cadence Design Systems. As a Senior Machine Learning Engineer, you will be responsible for leading and mentoring more junior engineers or ML scientists and will play a key role in the development and implementation of machine learning... solutions for our electronic design and EDA projects.

Job Responsibilities:
• Design and development of ML systems and ML features in within Cadence’s suite of System Verification Tools.
• Identify and evaluate opportunities to apply ML to solve very hard real-world engineering problems.
• Effectively communicate and educate other engineers in the theory and best practices of the application of ML.
• Evaluate and select appropriate ML algorithms and tools appropriate for specific problems.
• Perform statistical analysis and tuning to ensure implemented algorithms are producing accurate results.
• Reporting and documenting on ML processes and results.
• Lead and mentor more junior ML scientists and software engineers.

Job Qualifications:
• 7+ years of C/C++, Java or python development experience.
• 3+ years of experience in implementing ML applications.
• M.Sc. in Software Engineering/Computer Science or equivalent experience.
• Strong understanding of various ML models and algorithms, particularly for solving classification problems.
• Extensive experience in building applications with various ML toolkits in Python, C/C++ or Java.
• Expertise in various ML frameworks and libraries.
• Strong understanding of Software Development best practices and in OO Design principles and patterns.
• Very strong competency in mathematics, statistics, data structures and algorithms.
• A penchant for find outstanding solutions to very difficult problems.
• Excellent communication skills and collaboration capabilities.
• Experience team building and mentoring of Junior Engineers.
• Ability to work in a diverse/multi-cultural environment.

Nice to Haves:
• Strong appreciation for Software of System Verification principles.
• Experience or understanding of electronic design.
• Experience developing in a Linux environment.
• Experience managing software development projects.
• Experience dealing with customers & external stakeholders.
• Strong presentation skills.
• Additional Information:

Cadence is committed to equal employment opportunity and employment equity throughout all levels of the organization. We strive to attract a qualified and diverse candidate pool and encourage diversity and inclusion in the workplace"
Machine learning Intern,NA,2023-01-30 12:25:06,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=6f7OG9gAaj4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Intel Ireland Ltd,Internship,NA,"Leixlip, County Kildare, Ireland","AI Image Analytics division of the Manufacturing, Supply and Operations Automation (MSOA) group at Intel Ireland offers unique internship experience to candidates with a combination of cutting-edge research and commercial technology development.

We are seeking an intern who is self-motivated and passionate about working on Computer Vision research and its applications involving various problems such as Classification, Object Detection etc.

Responsibilities include:
• Define and pursue application/research questions
• Solve technical problems with experimentation
• Communicate results with well-written technical documentation
• Collaborate with engineers across other divisions.

Qualifications

UNDERGRADUATE STUDENT, M.Sc. or Ph.D. students in Computer Science, Electronics, Applied Mathematics, and Statistics or related area. Students should be studying towards a Degree.
• Fluency in Python
• Experiences in programming and testing on Linux or Windows environment
• Experience with... version control (Git, CI)
• Understanding of Computer Vision and Deep Learning techniques
• Problem-solving and algorithm design skills
• Experience working with one or more frameworks such as TensorFlow, PyTorch and OpenCV
• Excellent verbal and written communication skills
• Experience with web development

Preferred Qualifications
• Experience with databases (SQL)
• Full-stack web development
• Scientific Publications in one or more of Deep Learning, Computer Vision, Electronics and Computer Science
• Requirements listed would be obtained through a combination of industry-relevant job experience, internship experiences or college assignments, classes, or research.

What we will offer you
• Extensive training and hands-on practical experience working with some of the smartest people in the world
• Competitive benefits and pay
• Onsite bank, gym, canteens, games areas and sports and social clubs
• Opportunities to volunteer

Inside this Business Group

As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art -- from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology Development and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore’s Law to bring smart, connected devices to every person on Earth.

Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

Benefits

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

Working Model

This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.

In certain circumstances the work model may change to accommodate business needs"
Senior Deep Learning Engineer,2023-01-10,2023-01-30 12:25:07,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=nWxeDf0kV18AAAAAAAAAAA%3D%3D&fpstate=tldetail,Binance,Full-time,NA,"Dublin, Ireland","Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?

Data-driven based business is the core in helping us to use the cloud-native platforms to serve tens of millions of crypto-currency users. Engineers and Data Scientists across the company use the data platform to do interesting and impactful analyses for continuous innovations. As a data scientist, you will have the opportunity to leverage rich data (PB-level scalability) and state-of-art machine learning infrastructure to develop data products that are used by our tens of millions of crypto-currency users. You will collaborate with a strong team of engineers, data analysts, business operation and... product/marketing managers to define and build solutions, features, algorithms and products based on our rich data and cutting-edge machine learning technology.

We have multiple openings available and many more are coming due to our rapid growth of the business. Sample projects include:
• User behavior and pattern analysis: KYC, Anti-Money Laundry, and abnormal user automated recognition to provide our users with safe and more accurate information service
• Digital data asset: obtain the blockchain based data to perform chain-based data analysis, prediction and recommendations.
• Personalized recommender system: leverage of our PB-scale data warehouse to perform in-depth analysis and recommender system for our end-users
• Data driven customer feedback and satisfaction analysis: leverage of machine learning techniques to understand customer’s feedback and satisfaction with proven data evidence and analysis

To be successful in this role, you MUST be a quick learner, stellar machine learning skills with rich and solid experience from inception to business impact, strong communication capabilities and work well in cross-functional teams (e.g. with data users from different marketing and consumer team). This is a great opportunity to enhance your machine learning /data science skills in markets and familiarize with Blockchain based technology and etc while making a real impact on Blockchain and Crypto-Currency technology globally.

Responsibilities
• Conduct applied research and development in AI applications that involve computer vision, natural language processing, speech processing, and other related techniques
• Work closely with other team members on implementing algorithms that power user focused products
• Build and release models, and elevate customer experience and track impact over time

Requirements
• MSc or Phd in Machine Learning, Computer Vision, Computer Science or Applied Mathematics with at least 5 years of relevant industry experience
• Excellent hands-on experience with popular Machine Learning frameworks such as PyTorch or TensorFlow
• Fluent in English, both written and spoken
• Experience with application development practices at scale
• Good experiences in Computer Vision particularly on OCR and text extract with the deep learning-based end-to-end solutions is a plus
• Good global team collaboration skills and experiences are good add-ons as well
• Publication record at top conferences and journals is a plus

Working at Binance
• Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry
• Fast moving, challenging and unique business problems
• International work environment and flat organisation
• Great career development opportunities in a growing company
• Possibility for relocation and international transfers mid-career
• Competitive salary
• Flexible working hours, Casual work attire

By submitting a job application, you confirm that you have read and agree to our Candidate Privacy Notice "
Senior Machine Learning Engineer,2023-01-23,2023-01-30 12:25:07,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=gJLRCHnX61oAAAAAAAAAAA%3D%3D&fpstate=tldetail,Intercom,Full-time,NA,"Dublin, Ireland","What's the opportunity? 🤔

Intercom’s Machine Learning team is responsible for defining new ML features, researching appropriate algorithms and technologies, and rapidly getting first prototypes in our customers’ hands.

We are an extremely product focussed team. We work in partnership with Product and Design functions of teams we support. Our team's dedicated ML product engineers enable us to move to production fast, often shipping to beta in weeks after a successful offline test.

We are very passionate about applying machine learning technology and have productized everything from classic supervised models, to cutting-edge unsupervised clustering algorithms, to novel applications of transformer neural networks. We test and measure the real customer impact of each model we deploy.

What will I be doing? 🚀
• Identify areas where ML can create value for our customers
• Contribute to finding the right ML framing of a product problem
• Working with teammates and Product and Design... stakeholders
• Taking algorithms which work offline, and putting them in a production setting
• Deeply understand and modify as needed
• Solve hard scalability and optimization problems
• Run production ML infrastructure, evolve it over time
• Build new data infrastructure to enable exploration
• Establish processes for large scale data analyses, model development, validation, and implementation
• Work with teammates to measure and iterate on algorithm performance
• Partner deeply with the rest of team, and others, to build excellent ML products

What skills might I need? 📖

These are meant to be indicative, not hard requirements.
• Excellent pragmatic engineering skills
• Familiar with tools used to write, test, deploy, debug and monitor software
• Comfort owning features from inception to outcome.
• 5+ years experience in a production environment, with contributions to the design and architecture of distributed systems.
• We’re looking for engineers who can confidently put ML-powered features in production.
• Strong communication skills, both within engineering teams and across disciplines.
• Excellent programming skills
• Comfort with ambiguity
• BSc in Computer Science, or similar knowledge

Bonus skills & attributes 🙌
• Deep knowledge of AWS services
• ML Ops experience
• Large scale computation experience
• Track record shipping ML products
• Experience in a research environment
• Algorithmic optimisation experience
• Advanced education in CS, ML, Math, Stats, or similar
• Practical stats knowledge (experiment design, dealing with confounding, etc)
• Experience in an applicable ML area. E.g. NLP, Deep learning, Bayesian methods, Reinforcement learning, clustering
• Visualization, data skills, SQL, matplotlib, etc.

Benefits 😍

We are a well treated bunch, with awesome benefits! If there’s something important to you that’s not on this list, talk to us! :)
• Competitive salary and equity in a fast-growing start-up
• We serve lunch every weekday, plus a variety of snack foods and a fully stocked kitchen
• Regular compensation reviews - we reward great work!
• Peace of mind with life assurance, as well as comprehensive health and dental insurance for you and your dependents
• Open vacation policy and flexible holidays so you can take time off when you need it
• Paid maternity leave, as well as 6 weeks paternity leave for fathers, to let you spend valuable time with your loved ones
• If you’re cycling, we’ve got you covered on the Cycle-to-Work Scheme. With secure bike storage too
• MacBooks are our standard, but we’re happy to get you whatever equipment helps you get your job done

We are a diverse bunch of people and we want to continue to attract and retain a diverse range of people into our organisation. We're committed to an inclusive and diverse Intercom! We do not discriminate based on gender, ethnicity, sexual orientation, religion, civil or family status, age, disability, or race"
Machine Learning Engineer,2023-01-25,2023-01-30 12:25:07,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=u6KniUvGjEIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Huawei Ireland,Full-time,NA,"Dublin, Ireland","We are currently looking for a Machine Learning Engineer – Search to join our Huawei Consumer Cloud Service - App Gallery team based in the Dublin Office.

In this role, you will have the chance to work on projects that impact millions of people, explore novel ways to build search systems for our App Gallery and provide the most relevant items to users while preserving user privacy.

Requirements

Key Responsibilities:
• Responsible for building and evolving the core module of Search Engine system, including data analysis, distributed model training, productionization and online experiments, etc.
• Work with text and apply various NLP techniques on text understanding
• Write product or system development code

Minimum Qualifications:
• Solid background in machine learning, familiar with search engine systems and their core components.
• Have hands-on experience in handling large-scale data with one or more frameworks like Spark, Hadoop, Flink, ES, etc.
• Proficient with software... development in programming languages Java, Python, and Scala.

Preferred Qualifications:
• MS/Ph.D. in Natural Language Processing or related technical field
• Experience in leading a technical team.
• Experience in developing real-time applications/services with high throughput and evaluating new features with A/B tests.

Privacy Statement

Please read and understand our West European Recruitment Privacy Notice before submitting your personal data to Huawei so that you fully understand how we process and manage your personal data received.

"
Machine Learning Engineer,2023-01-26,2023-01-30 12:25:08,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=ui4aT4cDADsAAAAAAAAAAA%3D%3D&fpstate=tldetail,TEKsystems,Full-time,NA,"Dublin, Ireland",Responsibilities * Act as an expert and quality keeper in the area of productionalize machine learning algorithms * Collaborate with architect on the
Machine Learning Engineer,NA,2023-01-30 12:25:08,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=Ws_-YBZ6m_wAAAAAAAAAAA%3D%3D&fpstate=tldetail,Reperio Human Capital,Full-time,NA,"Dublin, Ireland","Apply Now

Salary €90-100k

Location Dublin, Republic of Ireland

Type Permanent

Start ASAP

Machine Learning Engineer

73119

Desired skills:

Scikit-learn, Pandas, Spark, MLlib, TensorFlow , PyTorch, Machine Learning

We have an exciting opportunity to be part of a thriving and dynamic team, focused on solving business problems with Machine Learning algorithms. You will work with a motivated and talented group of software engineers and data scientists. You will grow with the team and have a lot of influence over how the team approached key business problems, mainly focused on advertising and customer churn data.

Skills Needed:
• Excellent knowledge of machine learning concepts, experience of building models for production essential
• Strong Python development experience, including experience with APIs desirable
• Proficient with at least two of the following libraries or packages - scikit-learn, pandas, Spark MLlib, TensorFlow or PyTorch
• Strong software development fundamentals... familiarity with software development lifecycle and best practices
• NLP would be an advantage but not essential
• Familiarity with Python and SQL data structures

This is an outstanding opportunity to get working with a team who are building at scale and are transforming the business over the next couple of years. You will have the chance to impact business decisions, liaise with senior management on how to approach problem solving, gain further up - skilling in ML techniques and ultimately carve out an amazing career for yourself.

Benefits include: market leading salary, pension, healthcare, wellbeing days, generous parental leave, bonus structure and more.

For a confidential discussion about your job search, please contact Graeme King at Reperio Human Capital.

Reperio Human Capital acts as an Employment Agency and an Employment Business.

Apply Now

Graeme King is recruiting for this role.

Get in touch with Graeme King for more information: +353 (0)1 553 9518

View profile"
Software Engineer - AI/ML,NA,2023-01-30 12:25:09,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=rhuBnPjJcL4AAAAAAAAAAA%3D%3D&fpstate=tldetail,UnitedHealth Group,Full-time,NA,"Dublin, Ireland","Dublin Open Evening

Come to the Marker Hotel on Wednesday 25th January (4:30pm - 7:30pm GMT) for our opening evening, where you can learn more about our Dublin-based career opportunities, with a special focus on Technology, Analytics, Data Science, Pharma (Contracting, Pricing, Industry Relations), Actuarial, Project Management and more!

The Marker Hotel, Grand Canal Quay, Docklands, Dublin, D02 CK38

Register now!

https://optum.co/event

-

Software Engineer - AI/ML, Dublin (Remote)

Optum, the fast-growing part of UnitedHealth Group, is a leading information and technology-enabled health services business. Our teams are dedicated to modernizing the health care system and improving the lives of people and communities.

Serving virtually every dimension of the health system, we work with a diverse set of clients across 150 countries - from those who diagnose and treat patients to those who pay for care, deliver health services, and those who supply the cures. Optum maintains... operations across North America, South America, Europe, Asia Pacific and the Middle East. Our innovative partnerships provide technology and tools that enable unprecedented collaboration and efficiency. As a result, we can tap into valuable health care data to uncover insights and develop strategies for better care at lower costs.

About the role:

OptumLabs is a diverse and curious team with the highest level of expertise in engineering, cloud systems, product development, artificial intelligence (AI), machine learning (ML), scientific research, and clinical practices. We partner with global thought leaders across a range of disciplines to build disruptive solutions and innovative products that change the way healthcare is accessed and delivered. For decades, UHG has been a global leader in the healthcare industry, meaning that we have access to the most robust healthcare datasets on the planet. Today, UHG is well positioned to be the leader in applying AI and ML capabilities to solve the most complex problems in health care.

OptumLabs' engineering team works to develop a Data, Analytics, and Machine Learning platform that unifies available data, expands UHG's data portfolio, and provides a common infrastructure that allows AI/ML practitioners to expedite the development of AI-enabled products. We strive to ensure that data is of high quality and meets all security and compliance requirements. We develop platform capabilities that are reusable and scalable across the enterprise. These capabilities accelerate our enterprise strategy, while providing computing services that allow UHG to develop and deploy AI and ML products that impact millions of lives each day.

Join us! There's never been a better time to do your life's best work℠

Primary Responsibilities:
• Build and manage secure, scalable, and distributed AI/ML training and hosting platform, evaluation frameworks and visualization tools.
• Decompose complex problems into simple, straight-forward solutions
• Design, implement, test, deploy and maintain innovative software solutions to transform service performance, durability, cost, and security.
• Use software engineering best practices to ensure a high standard of quality for all the team's deliverables. Write high quality distributed system software.
• Perform code review

You will be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role, as well as providing development for other roles you may be interested in.

Required Qualifications:
• Strong experience with a core software engineering language. e.g. Python, Java or Scala
• Excellent experience with SQL
• Bachelor's Degree in Computer Science or similar experience

Careers with Optum. Here's the idea. We built an entire organization around one giant objective; make the health system work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.

All telecommuters will be required to adhere to the UnitedHealth Group's Telecommuter Policy

Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.

Key Words: #RPO, #ERP"
Principal Software Engineer - Machine Learning,NA,2023-01-30 12:25:09,https://www.google.com/search?q=Machine+Learning+Jobs+Ireland&ibp=htl;jobs&sa=X&ved=2ahUKEwi3x67ggvD8AhUvJzQIHQzPAPMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=vfHkwD5Z-hcAAAAAAAAAAA%3D%3D&fpstate=tldetail,arm,Full-time,NA,"Galway, Ireland","This is a great opportunity to join Arm’s Machine Learning Software team, based in our Galway office in Ireland, working with teams and projects across Arm’s worldwide locations. You will work with cool technology, developing software which runs on many millions of Arm devices each day across different use-cases. The team develops Open-Source software which enables Machine Learning applications to run with high-performance on a wide range of Arm hardware platforms.

You will be joining a welcoming team that provides great support to new members and builds opportunities for you to develop your skills across a range of technologies and roles within an Agile development environment. The team is open and collaborative, where you are encouraged to share your ideas and opinions to benefit the overall team. As a senior member of the team, we will look for your input and leadership in forming and shaping the direction of the technology, our development process and flow, and the team itself... overall. You will also have the opportunity to interact with and influence activities and technology across wider teams in Arm and the broader external Machine Learning Eco-System.

If you would like to join us, don't delay! We look forward to receiving your application - and potentially welcoming you to Arm.
About you

The ideal person is someone with a keen problem-solving mind, passionate about software development and working as part of a team to deliver complex solutions in a dynamic field. You are experienced in leading technology development from early-stage, building and evolving robust software development flows and have experience leading highly-skilled software development engineers to build great products.
Essential skills and experience:
• University Degree (or equivalent) in Computer Science, Software Engineering or a related field
• Very strong C++ development experience in a production environment
• Strong experience developing on Linux or Android platforms
• Experience working in an Agile team environment using continuous integration flows, including defining/building/optimising those flows
• Team-leadership experience in a technical role – defining product architecture, driving technical decision-making and collaborating with the wider team to implement
• Strong communication skills - in this role you will regularly share your work with wider teams within Arm
Desirable skills:
• Experienced in hiring, managing and developing software engineers, building and growing strong technical teams
• Experience with Machine Learning Frameworks and approaches (for example, TensorFlow or TensorFlow Lite)
• Experience of working-in, or contributing-to Open-Source projects
• Experience with Python frameworks in a production environment

In Return

With offices around the world, Arm is full of diverse, dedicated, creative and hard-working engineers. By enabling an inclusive, meritocratic and open workplace where all our people can grow and succeed, we support our people to share their contributions to Arm's success in the global marketplace.

Arm has a responsibility to ensure that all employees are eligible to live and work in Ireland.

#LI-JC1"
