Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Senior Machine Learning Engineer,NA,2023-01-30 12:25:31,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=Ap8YO1BEHuMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Nucleai,Full-time,NA,"Tel Aviv-Yafo, Israel","We are looking for an experienced deep-learning/machine-learning/computer-vision researcher to join our algorithms team.

Our algorithms team is responsible for developing algorithmic data-driven solutions, using ML/DL/statistical-analysis, to be applied in clinical trials, drug research and clinical practice.

Why join us?

There are plenty of reasons:
• Your job matters, use your experience and skills to implement solutions that save lives.
• Come as you are, Do what you love: We are a diverse team who are inspired to let our people bring their real self to work by providing an inclusive respectful work environment, and openness to feedback and ideas.
• Work with amazing people that share a passion for using technology as a tool to achieve great things.
• Work with a top notch team on complex vision and prediction problems.
• Be a part of a fast growing startup backed by top VCs.

Responsibilities
• participate in research and development of state-of-the-art machine learning and... deep learning algorithms to find novel digital biomarkers that predict patients’ response to new treatments.
• You will be working with clinical trial data as well as real world evidence, curated from leading medical institutions.
• You’ll be dealing with multiple data modalities such as: tissue sample (WSI), genomics, clinical data, and more.

Requirements
• At least 2 years developing machine learning algorithms
• At least 3 years of hands-on software/algorithms development experience
• Deep learning and/or computer vision background – Advantage
• Solid knowledge of statistical analysis methods – Advantage"
Machine Learning Researcher,2023-01-30,2023-01-30 12:25:31,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=2WoXtja6RI8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Confidential,Full-time,NA,Israel,"Job Description

Join a multinational pharmaceutical and biotechnology company, that focuses in bringing data, analytics & science together into solutions for scientists to develop medicines for patients.

Responsibilities
• Design and implement novel scientific approaches to leveraging high-dimensional biological data sets to build predictive models for precision oncology
• Identify opportunities to apply the latest advancements in Machine Learning and Artificial Intelligence to build, test, and validate predictive models
• Connect and collaborate with subject matter experts in biology, genomics and medicine
• Deploy your algorithms to production to identify actionable insights from large databases
• Job requirements

A higher degree in computer science, data science, applied math, physics, systems biology, bioinformatics or other related fields

Past experience in building deep learning models, preferably with exposure to functional genomics, molecular and cellular biology or to... modeling dynamical systems

Job position: #406906

CV to: hilas@nisha.co.il"
Machine Learning Engineer,2023-01-30,2023-01-30 12:25:32,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=B-jnzY1JAEYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Gotfriends,Full-time,NA,Israel,"A young, dynamic well- funded startup. Their mission is to build a platform to predict and prevent accidents.

The company is implemented AI solutions to create a new delightful and safe driving experience. Since our launch last year, we have grown and expanded to more countries in Europe, USA and Asia

We are looking for a smart passionate mission driven people who are well versed in the secrets of deep learning

What you will need:

· MSc/PhD degree in Computer Science or related quantitative field with focus on AI/ML.

· Deep understanding of statistical modelling and strong background in machine learning and deep learning.

· Programming skills in C++ and in a scripting language such as Python.

· Experience in building systems and rapid prototyping based on ML/DL methods.

· Experience in working with popular deep learning frameworks such as Caffe, Theano, Torch, TensorFlow.

· Knowledge of application areas, such as computer vision or sensor processing, is a plus.

· Experience... designing, developing and bringing to production efficient algorithms. You are not the kind of person who likes to throw things “over the wall”"
Machine Learning Engineer,NA,2023-01-30 12:25:32,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=AB5mKZcDmwUAAAAAAAAAAA%3D%3D&fpstate=tldetail,ZipRecruiter,Full-time,NA,"Tel Aviv-Yafo, Israel","ZipRecruiter is a leading online employment marketplace. Powered by AI-driven smart matching technology, the company actively connects job seekers with millions of businesses of all sizes through innovative mobile app, web, and email services, as well as partnerships with the best job sites on the web. ZipRecruiter has the #1 rated job search app on iOS & Android.

Summary of Job:

ZipRecruiter is changing the way job seekers get hired and how small businesses manage their HR. Our R&D center in Tel Aviv offers an empowering, fun, and collaborative culture where talented individuals who think like business owners and entrepreneurs are invited to join our growing team.

We use models and algorithms of machine-learning and deep-learning to find candidates for a job, and get the job information to reach the candidate as quickly as possible to allow the employer to reach the best candidates in the least possible time.

With data such as a billion+ historical job postings, tens of millions... of active job seekers interacting with our system, and hundreds of billions of impression and click events, there are incredible opportunities to use your skills to build new data-driven features. Working at ZipRecruiter, you will be helping literally millions of people find their dream job

This is a unique opportunity to work on the full life cycle of ML, you will design, build, and optimize our platforms for ML pipelines, data infrastructure, and scaling our models from research to production, you will work closely with data-scientists in various disciplines – search, match, NLP, ML, and DL.

Key focuses:
• Develop, integrate and optimize end to end ML pipelines, oversee the quality and performance of ongoing models
• Partner with researchers and domain engineering teams for development, exploration, and research of ML driven products
• Build, deploy, monitor, and support models and services that run in high load in critical mission products.
• Provide feedback and interact with infrastructure teams to help automate and scale algorithms.

Minimum Requirements:
• At least 5+ years of coding experience with at least one of the following: Java, Python, Scala. Experience with ML and NLP software packages and tools, at least one of Scikit-learn, TensorFlow, spaCy, NLTK, etc.
• End to end experience – owning feature from an idea stage, through design, architecture, coding, integration, deployment, and monitoring stages
• Model optimization techniques – familiarity with testing and hyperparameter optimization tools and frameworks.
• Familiarity with Deep Learning – an advantage
• Experience with Linux environment, AWS an advantage
• Team player with excellent communication skills

As part of our team you'll enjoy:
• Competitive salary
• A fun environment where work-life balance is valued"
Senior Machine Learning Engineer,NA,2023-01-30 12:25:32,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=n0gXH6DKRDUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Intuit,Full-time,NA,"Petah Tikva, Israel","In this role, you’ll be part of a vibrant team of Data Scientists and Machine Learning engineers.

You’ll be expected to help architect, code, optimize, and deploy Machine Learning models at scale using the latest industry tools and techniques.

You’ll also help automate, deliver, monitor, and improve machine learning solutions.

Important skills include software development, systems engineering, data wrangling, feature engineering, architecting, and testing.

#LI-Hybrid
Responsibilities
• Design and build systems which improve machine learning scalability, usability, and performance.
• Work cross functionally with product managers, data scientists, and engineers to understand, implement, refine, and design machine learning and other algorithms.
• Effectively communicate results to peers and leaders.
• Explore the state-of-the-art technologies and apply them to deliver customer benefits.

Interact with a variety of data sources, working closely with peers and partners to refine... features from the underlying data and build end-to-end pipelines

Use cases:
• Model Productionalization: Work with data scientists to productionalize prototype models to the point where it can be used by customers at scale. This might involve increasing the amount of data used to train the model, automation of training and prediction, and orchestration of data for continuous prediction. The engineer would be expected to understand the details of the data being used and provide metrics to compare models.
• Model Enhancement: Work on existing codebases to either enhance model prediction performance or to reduce training time. In this use case you will need to understand the specifics of the algorithm implementation in order to enhance it. This enhancement could be exploratory work based off of a performance need or directed work based off of ideas that other data science team members propose.
• Machine Learning Tools: The Big Data Engineer would build a tool for a specific project, or multiple projects though generally these types of projects are decoupled from any one project. The goal of this type of use case would be to ease a pain point in the data science process. This may involve speeding up training, making a data processing easier, or data management tooling"
Machine Learning Engineer,2023-01-18,2023-01-30 12:25:33,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=qshcmFGoYZkAAAAAAAAAAA%3D%3D&fpstate=tldetail,DRW,Full-time,NA,"Tel Aviv-Yafo, Israel","DRW is a technology-driven, diversified principal trading firm. We trade our own capital at our own risk, across a broad range of asset classes, instruments and strategies, in financial markets around the world. As the markets have evolved over the past 25 years, so has DRW – maximizing opportunities to include real estate, cryptoassets and venture capital. With over 1,000 employees at our Chicago headquarters and offices around the world, we work together to solve complex problems, challenge consensus and deliver meaningful results. It’s a place of high expectations, deep curiosity and thoughtful collaboration

DRW is looking for highly skilled Machine Learning Engineer for an Algorithmic Trading Research Group in Tel Aviv. DRW office is located at the TLV expo center, right next to TLV University train station and offers highly competitive compensation packages.

As a Machine Learning Engineer, you will be an integral member of an algorithmic trading team comprised of experienced... technologists and quantitative researchers. Your team will work closely to solve challenging technical problems and contribute to our full tech stack, from hardware and software development to grid computing. You will be surrounded by cutting edge technology, offered training and continuing education opportunities, and given immediate responsibility. We are looking for creative technologists, natural programmers, and disciplined engineers eager to develop new technologies that directly impact our business.

How You Will Make An Impact
• Build infrastructure for running Machine Learning algorithms on big data.
• Optimize Machine Learning algorithms to run under latency constraints.
• Parallelize Machine Learning algorithms to run on a parallel compute grid.
• Build software for data acquisition and cleaning that can handle hundreds of terabytes of data.
• Build data visualization tools for feature exploration and model verification.
• Integrate Machine Leaning algorithms into trading strategies simulations to verify end to end performance improvements.
• Contribute to technological innovation through exploration of cutting-edge hardware, software, and methods.
• As an active member of the research team you will have an impact on the technological direction and the analysis of trade-offs between complexity and performance.

What You Bring To The Team
• MSc-Bsc in Computer Science, Computer Engineering, or related field.
• 5+ years of software development experience in modern C++ and Python.
• A strong understanding of object-oriented design, data structures, and algorithms.
• Ability to advise and collaborate with researchers on software engineering tools and practices.
• A solid foundation in programming with the ability to think, communicate, and code clearly.
• Skills in numerical computing, machine learning, and visual intelligence.
• Demonstrated ability to produce algorithmic code in a fast-paced environment.

For more information about DRW's processing activities and our use of job applicants' data, please view our Privacy Notice at https://drw.com/privacy-notice.

California residents, please review the California Privacy Notice for information about certain legal rights at https://drw.com/california-privacy-notice"
Machine Learning Engineer (MLE),2023-01-27,2023-01-30 12:25:33,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=wiSvCpzcFT4AAAAAAAAAAA%3D%3D&fpstate=tldetail,theGist,Full-time,NA,"Tel Aviv-Yafo, Israel","Our vision is to change how we work together using generative AI.

Information overload is hurting people’s efficiency and well-being. We are constantly bombarded with an immense amount of data, coming from multiple sources, in an unfiltered or prioritized way.

theGist is using generative-AI tech to increase workplace productivity by simplifying information creation and consumption with a contextual assistant.

About us

We’re a group of experienced and passionate founders, driven by the goal of making a product to solve our own pains. Our founding team includes executives from Wix, Blizzard, OpenWeb, and Lightricks and we’re backed by the top VCs in Israel.

About the position:
• Design, implement, maintain, and deploy NLP pipelines.
• Collaborate with other team members to integrate new models into production.
• Build, deploy, monitor, and support models and services that run in high load in core products.

Requirements
• 3+ years of experience.
• Strong programming/engineering... proficiency.
• Experience with deploying Language Models (LM).
• BSc degree in Data Science or Computer Science or equivalent experience

Tech stack:
• Python
• some NodeJS
• AWS, DevOps, CI/CD
• Git, Docker, Kubernetes
• Cloud technologies - Lambdas, SageMaker, Pipelines, StepFunctions
• * This is not a research position"
Senior Machine Learning Engineer (MLops),2023-01-24,2023-01-30 12:25:34,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=eDic_2S4fAEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Melio,Full-time,US$131K–US$201K a year,"Tel Aviv-Yafo, Israel","Melio is a TLV-based Fintech startup (and tech Unicorn!) that enables small businesses in the US to pay their bills in more efficient ways. This improves their finances and frees them up to focus more on managing the businesses they love. With our unique approach to small business payments, we're the fastest-growing payment solution in the United States. What makes Melio unique? Well, we've made B2B payments as simple as P2P payment apps like Venmo and Bit. Currently, 42% of business payments in the US are made by check… yikes! We're looking for a Senior Machine Learning Operations engineer (MLOps) that will join the Data Infrastructure team in defining, building, integrating, and deploying the Machine Learning Operation platform, services, and processes and be part of the big data operation. The goal of an MLOps Engineer is to bridge the gap between development and production - between data science and engineering. Ultimately - deliver value to customers and stakeholders faster. How... You’ll Make An Impact Manage infrastructure and configurations-as-code. Create reusable data pipelines and manage machine learning experiment job specifications as code, so that you can easily rerun and reuse a version of your experiment across environments Enable continuous experimentation and comparison against a baseline model Version control code, data, and experimentation outputs Monitor the incoming data to detect data drift Trigger model retraining and set-up a rollback just in case Examine and communicate clearly the technology and architecture choices we make. Continuously improve ML processes, tools, and standards What we’d love to see B.Sc. in Computer Science or equivalent. Over 4 years of Python / Java / Scala software development, MLOps engineering, or technical architectural experience. Experience in orchestrating Machine Learning solutions in production at scale. Applied background in machine learning platform development, software development, CI/CD, and deployment patterns. Experience in Data and ML Orchestration tools such as MLFlow, Snowflake, BigQuery, SageMaker, TensorBoard, Airflow - Advantage Working with Data version control (DVC) and other data-related tools - Advantage About us Melio builds business-to-business (B2B) payment tools so small business owners can spend less time in the back office and more time on their craft. As the fastest-growing B2B payment platform in the US, Melio is working hard to find new and better ways to help small businesses succeed in the ways that work best for them. With offices in New York, Denver, and Tel Aviv, and a vibrant work culture, Melio is expanding every single day. We are a diverse group of people who love what we do and do what we love. If you are a driven and passionate team player, you will fit right in. We are an equal-opportunity employer and are always on the lookout for top-notch talent—please reach out if you would like to join us on this exciting journey"
Machine Learning Algorithms Developer,2023-01-16,2023-01-30 12:25:34,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=2UDoGGKavjIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Speaknow,Full-time,NA,"Jerusalem, Israel","Job Description

Are you an Algorithms Developer looking to influence the world of English

Language Evaluation?

In a world of assessments which can be outsmarted by guesswork and prefab answers,

www.speaknow.co is the only solution in the language testing space to measure real life

communication capabilities by evaluating natural speech and writing.

Using a combination of cutting-edge technology and advanced linguistics research, the Speaknow test

is designed to measure English quickly and accurately. Our test is used by leading organizations

around the world to assess English abilities in recruitment and language teaching, and is trusted by

educational institutions and government offices to qualitatively measure English abilities in a wide

variety of cases.

What will you do with us?

Speaknow is looking for a forward-thinking AI Software Engineer to join our dynamic R&D team in our

work on the company’s flagship product and up-and-coming developments.

Your work on our... automatic solutions depends on close cooperation with linguistic experts, and

requires creativity, open-mindedness, independent work, and end-to-end problem solving.

The position will involve taking these skills and applying them to some of the most exciting Natural

Language Processing within the workforce and education industries.

Responsibilities:

✓ Design, develop and improve NLP and Machine Learning based algorithms

✓ Develop our main platforms using the latest technologies and machine learning.

✓ Handling development cycles architecture, development, and monitoring.

✓ Provide innovative solutions for large scale data and traffic.

Requirements

✓ BS, MS or Ph.D. degree in Computer Science or equivalent field.

✓ 3+ years Industry experience specializing in machine learning techniques and

concepts including Deep Learning, regression, and classification models.

✓ Experience with audio analysis and feature extraction techniques, as well as

experience solving text classification problems with understanding of the

language domain.

✓ Experience in highly scalable & distributed SaaS solutions.

✓ Experience with Python

✓ Excellent troubleshooting skills.

✓ High level interpersonal skills.

✓ High standards for code quality, testing and performance

✓ Proficient English

Tell them you heard about the position from Nefesh B’Nefesh.

Please do not repost position"
"Research Scientist Intern,AI Core Machine Learning (PhD) (Tel-Aviv)",2023-01-24,2023-01-30 12:25:34,https://www.google.com/search?q=Machine+Learning+Jobs+Israel&ibp=htl;jobs&sa=X&ved=2ahUKEwjZlM3sgvD8AhXfGTQIHUj-BpwQutcGKAF6BAgQEAU#htivrt=jobs&htidocid=zEXI3XcDg0gAAAAAAAAAAA%3D%3D&fpstate=tldetail,Meta,Internship,NA,"Tel Aviv-Yafo, Israel","Meta AI (FAIR), a world-class research lab, is seeking Research Interns to join our research teams to work on challenging problems that would require strong research and engineering skills to achieve a deep understanding of the problems, develop innovative approaches, and scale up with massive data and compute. Our efforts are to push the bar in the following research directions: Computer Vision, Natural Language Processing, Speech, Reinforcement Learning & Reasoning, Core Machine Learning and Creativity. We are proposing Summer, Fall, and Winter start dates. To learn more about our research, visit https://research.facebook.com.

Research Scientist Intern,AI Core Machine Learning (PhD) (Tel-Aviv) Responsibilities:
• Brainstorm with research mentors, review literature and existing solutions of a challenging real-world research problem.
• Develop novel solutions, implement prototypes and perform extensive experiments to test the proposed solutions in meaningful benchmarks and metrics... analyze the results and verify the conclusions.
• Communicate and discuss with team members about various aspects of the project. This includes answering questions, addressing concerns, improving solutions, etc.
• Draft and polish research publications.
• Present research outcomes to internal and (possibly) external audiences.
• Perform specific responsibilities which vary by team.
Minimum Qualifications:
• Currently has, or is in the process of obtaining a PhD degree.
• Experience in Python, C++ or other related languages.
• Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorisation during employment
Preferred Qualifications:
• Strong publication records in specific fields (e.g., high impact research works published on top-tier conferences, popular github repositories, etc)
• Intent to return to degree-program after the completion of the internship/co-op
• Extensive experience solving analytical problems using quantitative approaches
• Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
• Ability to communicate complex research in a clear, precise, and actionable manner
• Experience building large-scale machine learning systems and training with large datasets"
