Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
【Kyoto】Machine Learning Engineer,NA,2023-01-30 12:26:53,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=-uX9z7LPYakAAAAAAAAAAA%3D%3D&fpstate=tldetail,ExaWizards,Full-time,NA,"Kyoto, Japan","【技術で社会課題を解決する】機械学習エンジニア募集！

Role　仕事内容

・Research and implement state-of-the-art ML models

・Solve problems provided by our partner companies (large corporations)

・大手企業と連携した研究/ソリューション開発

・機械学習の研究/アルゴリズム実装

Minimum Skill/Experience　必須要件

・Strong knowledge of Python

・Experience with ML frameworks such as Scipy/Numpy, Scikit-Learn, Pandas, Tensorflow, ・Keras, Chainer, PyTorch

・Strong knowledge of Computer Science or related quantitative field

・Strong knowledge of machine learning models (linear regression, ensemble methods, boosting, RNN, CNN, GCN, GAN, etc.)

・Ability to implement models from papers

・Demonstrated history of model research and design

・Experience with git/hg

・Good communication skill (Japanese)

・Pythonの深い理解と豊富な知識

・Scipy/Numpy, Scikit-Learn, Pandas, Tensorflow, Keras, Chainer, PyTorchなどのフレームワークを利用した機械学習における実装経験

・機械学習の理論的背景を理解

・機械学習のモデルの理解（線形回帰, アンサンブル学習, 勾配ブースティング, RNN, CNN, GCN, GAN... YOLOなど）

・論文のモデルを実装する能力

・自らモデルをデザイン・研究・実装していく姿勢

・高いコミュニケーションスキル（日本語）

Preferred Skill/Experience　歓迎要件

・Good communication skill (English)

・Strong knowledge of algorithms and data structures

・Experience with working at startups

・Strong work initiative

・高いコミュニケーションスキル（英語）

・Git, hgといった開発環境での経験

・アルゴリズムやデータ構造の知識

・スタートアップで働いた経験

・新しい課題や未知の領域に果敢に挑戦した経験

面接プロセス

▼書類選考

▼オンラインテスト

▼一次面接（口頭試問）

▼二次面接

▼最終面接

▼内定

▼オファー面談

※場合によって選考回数は増減します。"
Machine Learning Engineer,NA,2023-01-30 12:26:54,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=cqUZiMEQ4RcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Treasure Data,Full-time,NA,"Minato City, Tokyo, Japan","The Machine Learning team is a relatively new team whose initial goal is to productize an Automated Machine Learning (AutoML) platform. This team works closely with the Backend Workflow team within the Core Services group in order to deliver ML pipelines as a service for all customers. Additional ML solutions already in our roadmap include Text Analysis, Causal Analysis/Discovery, Explainable AI (XAI), Uplift modeling, and Exploratory Data Analysis (EDA).

Productizing our ML products as a scalable cloud service requires diverse knowledge and experience not only in data science, but also software engineering. Areas such as container platform Java APIs (AWS ECS), AWS cloud API programming, Python ML libraries, SQL query processing for large data, Pandas dataframe processing for feature engineering, and AWS infrastructure management using Terraform are all topics you will be directly involved with over the course of your work in the ML team at Treasure Data.

This position is ideal for... those with not only Data Science and Machine Learning skills, but also conventional cloud engineering skills for developing, deploying, and operating these critical ML products. This ML engineer position will expect candidates to understand machine learning algorithms, have experience in data analysis, and desire to grow as a software engineering in cloud computing environments.

Success in this role requires a passion for developing and productizing ML products with strong interests and knowledge in data science along with strong experience in software engineering.

You do this by collaborating with others to achieve our shared goals together in a self-organized team; pursuing autonomy with ownership, while increasing trust and sustainability to evolve continuously together. You would be able to effectively communicate ideas, software system designs, implementations, and decisions in a clear and concise manner to make others understandable.

Responsibilities
• Work with product managers and engineering colleges to define and deliver new ML products.
• Continuously learning new ML algorithms or techniques.
• Work with distributed development teams to operate ML as a Service by participating in on-call rotations.
• Pro-actively and continuously improving existing systems and processes together with team members.

Requirements
• A BS in Computer Science or a related field, or equivalent work experience.
• 3+ years of experience with software development
• Hands on experience on building and maintaining machine learning product or services
• Strong Python coding skills along with other typed programming language experience such as Java or C++, meaning that not only scripting skills.
• Strong data science knowledge including state-of-the-art ML models, libraries, and techniques.
• Experience with SQL query processing and Pandas Dataframe API programming
• Industry experience using public cloud IaaS providers like AWS.
• Quickly catch up new technologies or company standards.
• Understand software development life cycle such as mock, CI (circleci), unit testing, and github actions.

Nice to haves

These aren’t required, but be sure to mention them in your application if you have them.
• Experience with Automl frameworks such as AutoGluon, H2O AutoML, PyCaret, FLAML and so on.
• Experience for Explainable AI (XAI) such as SHAP and LIME.
• Experience working with big data technologies such as Hadoop, Hive, Presto, Spark, BigQuery, and Redshift.
• (Awarded) experience in data science competitions such Kaggle.
• OSS contribution experiences.
• Strong EDA skills using Pandas and Notebooks for feature engineering and so on.
• Experience with Container runtimes such as AWS ECS/EKS and Kubernates.
• Familiar with Infrastructure as Code using Terraform, or CloudFormation.
• Demonstrated ability working collaboratively in cross-functional teams and a strong track record for delivery as part of a team.
• Familiar with security best practices including knowledge about Security Groups, IAM, networks.
• Experience with distributed teams across different time zones"
ML Engineer,NA,2023-01-30 12:26:54,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=BgOxgbez87gAAAAAAAAAAA%3D%3D&fpstate=tldetail,tripla,Full-time,NA,"Tokyo, Japan","Job Overview

At tripla, we make travelers happy. Whether it be for booking the perfect hotel room, dining at the trendiest restaurant, or partaking in an exciting excursion, we build smart, AI driven products to allow travelers plan the perfect trip. In the short amount of time that we’ve been around, Tripla chatbot has become Japan’s most popular chatbot in the industry, and the pace of growth is only increasing. We’re currently expanding our services into many other areas, but we need a talented ML engineer to help us get there.

As a ML engineer, you’ll be responsible for the refining and upkeep of the ML models that power our products, including: question/answer systems, recommenders, pricing predictors, as well as others. Since AI is what gives Tripla its competitive advantage, you’ll be a central figure as this company grows. You’ll be responsible for not only delivering powerful algorithms, but also for building them for scale. This includes designing the data pipelines that... feed our models and automating the training/inference process to enable continuous improvements.

The ideal candidate is experienced and self-directed. Comfortable supporting multiple teams, systems, and products. The candidate is excited by the prospect of working with new AI technologies and cutting edge experimental products. Perhaps most importantly, the candidate should want to be a part of a team. Nothing at Tripla is accomplished by one person. The candidate must have strong communication skills and the desire to tackle challenges as a group.

Responsibilities
• Develop and enhance our ML models: NLU, time series prediction, recommendation, etc.
• Evaluate and diagnose ML models. Analyze and clean the data being fed to them.
• Build and upkeep automated machine learning data pipelines and training systems.
• Work with stakeholders including the executive, product, data, and design teams to come up with new ways we can utilize data to solve problems.
• Automate and scale our resources and pipelines to accommodate the sharply increasing data requirements.

Qualifications
• 5+ years of some form of software engineering experience (at least 2 of which are in data science)
• Experience building and optimizing ML models.
• Extensive experience with object-oriented/object functional languages, e.g. Python, Ruby, Java, C++, etc.
• Experience supporting and working with cross-functional teams in a dynamic environment.
• English fluency

Nice to haves
• Graduate degree in computer science, mathematics, statistics, or some other quantitative discipline.
• Experience with NLP
• Experience with tensorflow
• Exposure to constructing automated training pipelines for machine learning models"
Machine Learning Engineer,NA,2023-01-30 12:26:55,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=V9FBs3SzRnQAAAAAAAAAAA%3D%3D&fpstate=tldetail,PayPay,Full-time,JP¥9M–JP¥12M a year,"Minato City, Tokyo, Japan","Responsibilities
• Research, design, and build machine learning systems for prediction, recommendation, and automation
• Execute the key phases of the ML lifecycle including data extraction, exploratory data analysis, data preparation, model development and training, model evaluation and validation, and model serving
• Build monitoring tools and pipelines for automated training and deployment
• Collaborate with data scientists, data engineers, product managers, and stakeholders to build robust production systems

Requirements
• Bachelors in a quantitative field such as Computer Science, Mathematics, Statistics, Machine Learning, or equivalent
• More than three years of experience as a data scientist, machine learning engineer, or equivalent role
• Experience in at least one primary language (e.g., Java, Scala, Python) and SQL (any variant)
• Experience in one or more machine learning frameworks such as TensorFlow, PyTorch, Theano, etc.

Nice to haves

These aren’t required, but be... sure to mention them in your application if you have them.
• Masters or PhD in a quantitative field such as Computer Science, Mathematics, Statistics, Operations Research, Machine Learning, or equivalent
• More than five years of experience as a data scientist, machine learning engineer, or equivalent role
• Experience building and maintaining microservices
• Experience with Big Data technologies like BigQuery, Spark, Hadoop, AWS Redshift, Kafka, or Kinesis streaming
• Experience with AWS services such as Glue, SageMaker, Athena, and S3
• Extensive knowledge and work experience in recommendation systems, deep learning, NLP, and optimization
• Experience maintaining data security and privacy
• Expertise in MLOps frameworks, CI/CD pipelines, and automation"
"Software Engineer, Machine Learning & Search - Mercari",NA,2023-01-30 12:26:55,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=8JQVsMbW34QAAAAAAAAAAA%3D%3D&fpstate=tldetail,"Mercari, inc.",Full-time,NA,"Minato City, Tokyo, Japan","JD in Japanese follows. 英文の後に和文JDをご覧いただけます。

Introduction

Our Mission

Mercari is a Japan-based company with the mission of “create value in a global marketplace where anyone can buy & sell.” Having continuously worked toward this goal since our founding in 2013, we are now transforming from a startup into a global player. While this transformation brings its own specific set of challenges, we believe that solving them one after another will allow us to fully achieve our mission. Are you interested in working together to take on these exciting challenges?

Our Culture

To achieve our mission at Mercari, our organization and each of our employees share the same values and perspectives. Our individual guidelines for action are defined by our three values: Go Bold, All for One, and Be a Pro. Our organization is also shaped by our four foundations: Sustainability, Diversity & Inclusion, Trust & Openness, and Well-being for Performance. Regardless of how big Mercari gets, the culture will... remain essential to achieving our mission and something we want to preserve throughout our organization.

We invite you to read the “Mercari Culture Doc,” which summarizes the behaviors and mindset shared by Mercari and its employees. We continue to build an environment where all of our members of diverse backgrounds are accepted and recognized, and where they can thrive while holding dear Mercari’s culture.

Position Overview

Work Responsibilities
• Platform engineers for machine learning/search systems develop the functions and services of the marketplace app Mercari through the development and maintenance of infrastructure and platforms. Mercari is actively applying machine learning/search technology to provide a more convenient, safer, and more enjoyable marketplace. Machine learning/search platform engineers use the cloud and Kubernetes to operate and improve machine learning/search systems.

Bold Challenges
• Develop libraries and frameworks to improve the availability of machine learning/search systems
• Improve the existing machine learning/search infrastructure and leverage industry-leading best practices to help the AI/search team operate
• Disseminate the best practices of machine learning/search engine operation, improve the development process, and improve the skills of engineers
• Develop and improve monitoring and logging systems for the evaluation of machine learning models/search experiments
• Collaborate with other teams to develop large-scale infrastructure

Required Experience
• Operating a web system
• Over 5 years of software development experience and over 3 years of Java, Python or Golang development experience
• End-to-end backend system development experience
• Basic knowledge and skills related to security, basic knowledge and troubleshooting skills related to RDBMS, SQL, network, Linux, monitoring system, logging, and operation
• Communication skills to carry out projects in collaboration with multiple teams and stakeholders

Preferred Experience
• Developing and operating large-scale distributed systems (Kubernetes, Hadoop, etc.)
• Functional development and bug fixing skills necessary to improve system performance and reliability
• Using container technology such as Docker and Kubernetes
• Using the cloud (AWS, GCP, Microsoft Azure, etc.)
• Microservice development and operation experience with Docker and Kubernetes
• Using one or both of the following:
• Machine learning: TensorFlow Serving, TensorFlow Lite, ONNX
• Search: Elasticsearch, Solr or other OSS search engines

Language Requirements
• English: Independent (CEFR - B2)
• Japanese: Basic (CEFR - A2) Preferred
• For details about CEFR, see here

Related Articles
• Conversation between Machine Learning Engineers. Meet @ lain21 and @ chica #WeMakeMercari

Working Conditions

Employment Status

Full-time
• Probationary period: First 3 months after joining the company. (During this period your contract conditions will be the same as that of a permanent employee.)

Office

Roppongi
• Smoking is prohibited within our offices
• Mercari has introduced a work style policy called “Your Choice.” Each member is free to choose whether they want to work in the office or work fully remote. *Exceptions made for certain kinds of work.

Work Hours
• Full flextime (no “core time” or “flex time”)
• Does not apply to all positions

Holidays
• Two days off per week (as well as national holidays, New Year's break, etc.)
• Paid leave, congratulatory and bereavement leave, relax days, sick leave

Salary
• Annual salary paid in 12 monthly installments (including fixed overtime allowance)
• Based on skills, experience, and abilities
• Reviewed twice a year

Benefits
• Complete health and social insurance
• Incentive program
• Support systems, including those that benefit the employee’s family members
• See this page for details.

Support
• Relocation support
• Language learning support
• Translation/interpretation support
• See this page for details.

Media

Corporate Sites
• Mercari, Inc.
• Merpay, Inc. [Japanese]
• Souzoh, Inc.
• Mercoin, Inc.
• Merlogi
• Mercari US

Owned Media
• Mercari Careers
• Mercari Engineering Portal
• Mercan - Introduces the people that make Mercari
• Mercari US Careers
• Mercari US Blog

はじめに

全てはミッションの達成のために

メルカリは「新たな価値を生みだす世界的なマーケットプレイスを創る」をミッションに掲げる日本発の企業です。2013年の創業以降、ミッションの達成に向かって挑戦してきたメルカリは今、スタートアップから「世界に通用する企業」へと変化する挑戦の真っ只中にいます。今の成長フェーズでしか向き合えない価値ある課題を一つひとつ解決することが、必ずミッションの達成につながると信じて、メルカリは歩み続けています。私たちと一緒に、このミッションに挑戦してみませんか？

私たちのカルチャー

メルカリはミッションの達成のために、社員一人ひとりと組織が大切にする共通の価値観があります。「Go Bold（大胆にやろう）」「All for One（全ては成功のために）」「Be a Pro（プロフェッショナルであれ）」という個人の行動指針を意味する3つのバリュー。そして「Sustainability」「Diversity & Inclusion」「Trust & Openness」「Well-being for Performance」という組織の土壌となる価値観を意味する4つのファンデーション。これらは、どんなに組織規模が拡大したとしても、メルカリがミッションを達成するために必要不可欠な要素であり、守り続けたいカルチャーであると考えています。

このような「メルカリ（会社）とメンバー（社員）が大事にする、共通の価値観」については社内向けのドキュメントである『Mercari Culture Doc』にまとめられていますので、ぜひご覧ください。メルカリはこのカルチャーを大切にしながら、多様なバックグラウンドを持つメンバーを積極的に受け入れ、認め合い、全員が活躍できる環境を追求します。

募集要項

業務内容
• 機械学習・検索システムのプラットフォームエンジニアとして、インフラ、プラットフォームの開発、維持を通してフリマアプリ「メルカリ」の機能・サービス開発を行っていただきます。 メルカリでは機械学習・検索のテクノロジーを積極的に応用して、より便利で安全で楽しいマーケットプレイスを提供しようとしています。 機械学習プラットフォームエンジニアはクラウドやKubernetesを利用して機械学習・検索のシステムを運用し改善します。

大胆なチャレンジ
• 機械学習・検索システムの可用性を改善するため、ライブラリやフレームワークを開発します。
• 既存の機械学習・検索基盤を改善し、業界最新水準のベスト・プラクティスを活用してAI・検索チームの運用を助けます。
• 機械学習・検索エンジン運用のベスト・プラクティスを周知し、開発工程を改善し、エンジニアのスキルアップを図ります。
• 機械学習・検索モデルの評価のため、監視やロギングシステムを開発し改善します。
• 他チームと連携して大規模インフラを開発します。

必須条件
• Webシステムの運用経験
• 5年以上のソフトウェア開発経験、3年以上のJava、PythonまたはGolangによる開発経験
• End-to-endでのバックエンド・システム開発経験
• セキュリティに関する基礎知識とスキル、RDBMS、SQL、ネットワーク、Linux、監視システム、ロギング、運用に関する基礎知識とトラブルシューティング・スキル
• 複数のチームやステークホルダーと連携しプロジェクトを遂行するコミュニケーション能力

歓迎条件
• 大規模・分散システムの開発・運用経験（Kubernetes、Hadoop等）
• システムのパフォーマンスや信頼性を向上させるために必要な機能開発、バグ修正スキル
• DockerやKubernetesに代表されるコンテナ技術の活用経験
• クラウド（AWS、GCP、Microsoft Azure等）を利用した開発経験
• DockerやKubernetesによるマイクロサービス開発、運用経験
• 下記のいずれか、もしくは両方の利用経験：
• 機械学習： TensorFlow Serving、TensorFlow Lite、ONNX
• 検索： Elasticsearch、Solrもしくはその他のOSS検索エンジン

語学力
• 英語：Independent (CEFR - B2)
• 日本語：Basic (CEFR - A2) Preferred
※CEFRの詳細については、こちらをご覧ください

記事
• エンジニアと立ち話。Vol.46 @ lain21と@ chica（ともにMLエンジニア）ちょっとお話いいですか？ | mercan (メルカン)

雇用条件

雇用形態

正社員
• 試用期間：入社後3ヶ月（本採用と同条件)　

オフィス

六本木
• 受動喫煙対策: 屋内全面禁煙
• メルカリには「YOUR CHOICE」というワークスタイルに関する制度があります。オフィス出社をすることも、フルリモートワークを選択することも自由に選択することができます。※一部職種を除く

勤務時間
• フレックスタイム制（コアタイムなし・フレキシブルタイムなし）
※一部職種を除くため、ご応募の際にお問合せください。

休日・休暇
• 完全週休2日制（祝祭日、年末年始 等）
• 有給休暇、慶弔休暇、リラックス休暇、Sick Leave

給与
• 月給制（固定残業代含む）
• スキル・経験・能力に応じて決定いたします
• 毎年2回見直し　

ベネフィット　
• 各種社会保険完備
• インセンティブ制度
• 社員の家族を含めた支援制度
※ 詳しくはこちらのページをご覧ください。

サポート　
• リロケーションサポート
• 言語学習のサポート
• 翻訳と通訳のサポート

　　※ 詳しくはこちらのページをご覧ください。

メディア

コーポレートサイト
• 株式会社メルカリ
• 株式会社メルペイ
• 株式会社ソウゾウ
• 株式会社メルコイン
• 株式会社メルロジ
• Mercari US

オウンドメディア
• メルカリ採用サイト
• エンジニア情報ポータルサイト「メルカリエンジニアリング」
• メルカリの人を伝えるオウンドメディア「mercan」
• メルカリのデザインにまつわるブログ「Mercari Design」"
Machine Learning Engineer (Urgent Hiring!!!),2023-01-28,2023-01-30 12:26:55,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=obqDPNtW2_4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Fast-growing AI Start-up,Full-time,NA,"Tokyo, Japan","About Client:
A fast-growing AI international company looking for a Machine Learning Engineer

What you will do:

Build machine learning models for a wide range of business solutions

Why you should join this company:

International English speaking Environment
Flex time
Challenging & exciting working environment
High Salary & Benefit package"
VISA & housing support available ★ Multinational people are active! [AI...,2023-01-24,2023-01-30 12:26:56,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=KTqPh4hpQHIAAAAAAAAAAA%3D%3D&fpstate=tldetail,"Human Resocia Co., Ltd.",Full-time,NA,Japan,"Human Resocia is THE GLOBAL COMPANY.

Over 800 foreign engineers from more than 50 countries works at Human Resocia.

Our engineers will be seconded to the client to take charge of the projects.

The project will include machine learning, image recognition / object detection using deep learning, development of learning models / algorithms such as natural language processing, and development of systems using data analysis results.

Every engineers will be assigned to the project that suits your experiences.

【Project example】

・ Development of smart factories and robotics using AI sensors

・ Development of image processing AI for drones

・ Research and development of object recognition system for in-vehicle cameras of autonomous vehicles (ADAS)

・ Natural language processing (NLP) for AI conference systems

・ Image processing using drones at construction sites"
Senior Machine Learning Engineer,NA,2023-01-30 12:26:56,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=w9Vm0_wHOBYAAAAAAAAAAA%3D%3D&fpstate=tldetail,CADDi,Full-time,JP¥5M–JP¥12M a year,"Taito City, Tokyo, Japan","At CADDi, we have a massive amount of technical drawings, corresponding quotations, along with data describing the required manufacturing processes. By processing these data into a form that is easier to utilize and quickly implementing the cycle of hypothesis testing, we aim to find answers to the problems faced by the manufacturing industry.

Besides what we already have, there is a lot more data out there that hasn’t been fully utilized. Assessing valuable data and preparing it for utilization is the key to taking the burden off this industry.

Responsibilities
• Leveraging existing data assets to discover new value for the corporation
• Analysis of base data to obtain hypotheses concerning business and operational improvement
• Developing new user-facing features that combine CADDi’s domain expertise, data assets, and operational excellence

Requirements
• An understanding our mission to unleash the potential of manufacturing
• 3+ years of experience utilizing machine learning... methods to solve business problems
• Experience delivering services in a production environment in the cloud (AWS, GCP, Azure, etc)
• Self-driven, and can operate both independently and also as a team member
• Able to exercise strong problem solving skills to deliver customer value
• Strong fundamental skills in linear algebra, calculus, and statistics
• Experience in application development or analysis work with Python, MATLAB, or R
• Experience with machine learning frameworks (PyTorch, Tensorflow, scikit-learn, LightGBM, etc)
• Experience using SQL for data analysis
• Experience using version control systems such as Git

Nice to haves

These aren’t required, but be sure to mention them in your application if you have them.
• Experience with GPU-based data processing (CUDA, OpenCL, etc)
• Experience working with data pipeline technologies such as Airflow, Apache Beam, Spark, etc.
• Past participation in data analysis contests such as Kaggle
• Comfortable reading research papers from major journals
• Experience utilizing numerical optimization methods (continuous, discrete, or combinatorial"
Machine Learning Engineer | Featured AI company,2023-01-24,2023-01-30 12:26:56,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=vs30sr-RT3oAAAAAAAAAAA%3D%3D&fpstate=tldetail,⁑注目AI企業/Featured AI company⁑,Full-time,NA,"Tokyo, Japan","【About the Company】
The company has engaged in various industry AI projects. We have clients in a wide range of industries, such as finance, manufacturing, retail, food and drink, education, healthcare, manufacturers and IT communications, with hundreds of cases. The company is rated as one of the Best Ventures to Work in Japan.

Based on the knowledge and know-how of each industry obtained from this wide network, we promise innovative proposals that exceed the industry and precedent. Many intelligent talents in the world are gathering into the company now.

【Job Description】
Machine learning engineers who implement machine learning models to help solve actual issues in society and companies.

・Work with in-house AI consultants to translate actual issues in society and companies into statistical and machine learning problems
・Implement machine learning models and test hypotheses.
・Operate the machine learning models.
・Make new proposals in an engineer-driven manner using individual... backgrounds and the latest technologies

■Requirements for each field
【Image Processing】
・Multiple experiences in building machine learning models with input and output of images and point clouds.

In addition, meet one or more of the following 1~3

1. Familiar with the latest technologies such as CV and CG
2. Experience in presenting at conferences and writing papers.
3. Experience in product integration.

【Structured Data Processing】
・Experience in PoC and data analysis for in-house/*other companies.
• For PoC for other companies, experience in leading technical aspects for other companies is a preferred.
・Knowledge of some established machine learning/statistics methodologies and ability to implement machine learning (programming experience: 1+ years)
・Japanese: Business level~

【Natural Language Processing】
・Experience in Japanese language analysis
・Japanese: Business level~

In addition, meet one or more of the following 1~5

1. Experience in presenting at conferences and writing papers.
2. Experience in analyzing real data or open data in a company, and projects using that data.
3. Experience in service operation.
4. Experience as a researcher (project)
5. Experience in product development related to NLP

【Speech】
・Academic background or work experience in speech analysis.

In addition, meet one or more of the following 1~5

1. Experience in presenting at conferences and writing papers.
2. Experience in analyzing real data or open data in a company, and projects using that data.
3. Experience in service operation.
4. Experience in researcher (project).
5. Experience in product development

【Mathematical Optimization】
・Interested in social implementation of mathematical optimization techniques.
・Deep understanding and extensive knowledge of one or more programming languages.
・Ability to implement algorithms in papers.
・Japanese: Business level~

In addition, meet one or more of the following 1~2

1. Practical experience using mathematical optimization techniques
2. Experience in research using mathematical optimization.

【Working conditions & treatment】
5 million yen to 15 million yen

Discretionary labor system (You can come office and go home anytime)

・Full holiday 2 day system (Saturday / Sunday) holidays
・Annual holiday over 120 days
・Refreshment holidays (5 days a weekday)
・New Year holidays
・Annual paid leave
・Return vacation (2 days a year: when family lives in a remote area over 1000 km)
・Condition leave (during trial period: 3 days)
・Marriage leave (person, child)
・Maternity leave
・Nursing care leave

・Doctoral Program Support System
・Various Social Insurance (Employee Pension, Health Insurance, Employment Insurance, Labor Accident Insurance)
・Commuting allowance (up to 35,000 yen / month)
・Business trip allowance
・Medical checkup
・Online medical consultation (first call)
・Book purchase (full company burden)
・Study session (once / weekly, during business hours"
Machine Learning Engineer,NA,2023-01-30 12:26:57,https://www.google.com/search?q=Machine+Learning+Jobs+Japan&ibp=htl;jobs&sa=X&ved=2ahUKEwiHoOeTg_D8AhXKAzQIHRG4DycQutcGKAF6BAgOEAU#htivrt=jobs&htidocid=gFuTuqNsb9wAAAAAAAAAAA%3D%3D&fpstate=tldetail,Private,Full-time,JP¥6M–JP¥13M a year,"Tokyo, Japan","-------------------------------------------
Job Description
-------------------------------------------

Machine learning engineers who implement machine learning models to help solve actual issues in society and companies.

・Work with in-house AI consultants to translate actual issues in society and companies into statistical and machine learning problems
・Implement machine learning models and test hypotheses.
・Operate the machine learning models.
・Make new proposals in an engineer-driven manner using individual backgrounds and the latest technologies

■Requirements for each field
【Image Processing】
・Multiple experiences in building machine learning models with input and output of images and point clouds.

In addition, meet one or more of the following 1~3

1. Familiar with the latest technologies such as CV and CG
2. Experience in presenting at conferences and writing papers.
3. Experience in product integration.

【Structured Data Processing】
・Experience in PoC and data analysis for... in-house/*other companies.
• For PoC for other companies, experience in leading technical aspects for other companies is a preferred.
・Knowledge of some established machine learning/statistics methodologies and ability to implement machine learning (programming experience: 1+ years)
・Japanese: Business level~

【Natural Language Processing】
・Experience in Japanese language analysis
・Japanese: Business level~

In addition, meet one or more of the following 1~5

1. Experience in presenting at conferences and writing papers.
2. Experience in analyzing real data or open data in a company, and projects using that data.
3. Experience in service operation.
4. Experience as a researcher (project)
5. Experience in product development related to NLP

【Speech】
・Academic background or work experience in speech analysis.

In addition, meet one or more of the following 1~5

1. Experience in presenting at conferences and writing papers.
2. Experience in analyzing real data or open data in a company, and projects using that data.
3. Experience in service operation.
4. Experience in researcher (project).
5. Experience in product development

【Mathematical Optimization】
・Interested in social implementation of mathematical optimization techniques.
・Deep understanding and extensive knowledge of one or more programming languages.
・Ability to implement algorithms in papers.
・Japanese: Business level~

In addition, meet one or more of the following 1~2

1. Practical experience using mathematical optimization techniques
2. Experience in research using mathematical optimization.

-------------------------------------------
Required Skills
-------------------------------------------

■Required
The company's machine learning engineers are assigned to ""Image Processing,"" ""Structured Data Processing,"" ""Natural Language Processing/Speech,"" or ""Mathematical Optimization"" as their main or sub-association, depending on their technical area of expertise, creating an environment where they can get learning opportunities while performing well.

【Common】
・Able to work autonomously and with a sense of purpose, rather than passively

【Each field】
※Refer to above

■Preferred
・Good communication skills (English)
・Knowledge of algorithms and data structures
・Experience in boldly taking on new challenges and uncharted territory
・Have a proven track record in competitive programming (AtCoder: light blue or higher)

-------------------------------------------
Location
-------------------------------------------

Tokyo

-------------------------------------------
Contract Type
-------------------------------------------

Fulltime

-------------------------------------------
Annual Salary
-------------------------------------------

600 Million yen ~ 1,300 Million yen"
