Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Lead Machine Learning Engineer,NA,2023-01-30 12:28:15,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=irx0ZR8HPWwAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Latvia,"Description

You are strategic, resilient, engaging with people and a natural self-starter. You have a passion for solving complex problems. If this sounds like you, this could be the perfect opportunity to join EPAM as a Lead Machine Learning Engineer. Scroll down to learn more about the position’s responsibilities and requirements.

WHAT YOU’LL DO
• Responsible for the transition of machine learning algorithms to production environment and integration with enterprise ecosystem
• Design, create, maintain, troubleshoot, and optimize the complete end-to-end machine learning life cycle, which includes
• machine-learning model optimization
• data preparation
• feature extraction
• model performance monitoring
• AB/Canar/Bluegreen/etc. testing
• Integration with Enterprise ecosystem/IoT devices/Mobile devices
• Write specifications, documentation, and user guides for developed solutions
• Build frameworks for data scientists to accelerate the development of production-grade machine... learning models
• Collaborate with data scientists and engineering team to optimize the performance of ML pipeline
• Aid In improvement of SDLC practices
• Exploration of new tools and techniques and propose improvements
• Establish and configure CI/CD/CT processes
• Design and maintain ML models continuous training
• Provide capabilities for early detection of various drifts (data, concept, schema., etc.)
• Continuously identify technical risks and gaps, devise mitigation strategies
• Identify and eliminate technical debt in machine learning systems

WHAT YOU HAVE
• Experience in Enterprise Software Development for 5+ years
• Solid background in Machine Learning for 3+ Years
• Experience with designing, building and deploying production applications and data pipelines
• Experience in development of highly available, largely scalable, ML driven applications and systems
• Experience with cloud native services: GCP, AWS, Azure
• Able to work closely with customers and other stakeholders
• Strong knowledge and experience in Python development
• Deep understanding of Python ML ecosystem (pytorch, tensorflow, numpy, pandas, sklearn, XGBoost)
• Hands-on experience in implementation of Data Products
• Deep understanding of data preparation and feature engineering
• Understanding of Apache Spark Ecosystem (Spark SQL, MLlib/Spark ML)
• Deep hands-on experience with implementation of SDLC best practices in complex IT projects
• Experience with automated data pipeline and workflow management tools (Airflow)
• Knowledge and experience in computer science disciplines such as data structures, algorithms, and software design patterns
• Hands-on experience in different data processing paradigms (batch, micro-batch, streaming)
• Deep understanding of MLOps concepts and best practices
• Experience with some of the MLOps related platform/technology such as AWS SageMaker, Azure ML, GCP Vertex AI / AI Platform, Databricks MLFlow, Kubeflow, Airflow, Argo Workflow, TensorFlow Extended (TFX), etc
• Production experience in integrating ML models into complex data-driven systems/IoT device/Mobile devices
• Experience with basic software engineering tools (CI/CD environments such as Jenkins or Buildkit, PyPi, Docker, Kubernetes)
• Experience with one of the infrastructures as a code (IoC) framework (Terraform/CDK TF, Ansible, AWS CloudFormation / AWS CDK)

WE OFFER
• Outstanding career development roadmap to accelerate your journey
• Engineering community of 61,300+ industry’s top professionals
• Certification and mentoring programs, training, and unlimited access to LinkedIn Learning
• Innovative solutions delivery to the world’s industry leaders
• Regular assessments and salary reviews
• Bonuses for participating in the referral program
• Participation in the Employee Stock Purchase Plan
• Flexible schedule and opportunity to work remotely from any place in Latvia
• Friendly team, and enjoyable working environment
• Relocation within offices in 50+ countries with throughout support for you and your family
• 4 trust days a year (sick leave without a medical certificate)
• High-quality medical services in terms of corporate health insurance

ABOUT EPAM
• We are a team of 61,300 technologists, strategists, and designers in 50+ countries. EPAMers help leading brands transform their business through our engineering expertise, design thinking, and business consulting. We foster creativeness and unconventional ways of doing things welcoming like-minded professionals. Our newly opened office in Latvia is growing fast and offering myriad challenges for you to explore"
Machine Learning Engineer,2023-01-14,2023-01-30 12:28:15,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=YG5j02SalRQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Evolution,Full-time,€36K–€72K a year,"Riga, Latvia","Company DescriptionEvolution is a multinational B2B at the forefront of one of the world’s fastest-paced and highly technological industries – online gaming. We have an extensive track record of number 1s and we are always looking for the next big product hit. Our innovative and high-quality product portfolio includes multiple award-winning player favorites from our brands - Evolution, Red Tiger, NetEnt, Ezugi and Big Time Gaming. Evolution AB is listed on Nasdaq Nordic with market capitalization of €25B+. To continue our rapid growth, we are now opening a new Engineering hub in Berlin.In Evolution Engineering, we take the quality of our products and the uptime of our services very seriously. We believe that building solid in-house competence with limited external dependencies is critical to our success. Our code runs 24/7/365 to serve users around the world and we use a modern software stack to support our frequent and fully automated releases, which exceeds 270 releases per month to... our main live environment.Job DescriptionWe are searching for a passionate software developer / ML engineer in our Data Science team.Main Duties & Responsibilities:Design, build and maintain applications, pipelines, and workflows for our data science use cases;Work closely with data scientists to bring prototype ML models to production;Work with other teams to provide data and build cloud infrastructure for our ML solutions;Take part in ML model maintenance, retraining, and quality monitoring;Work with business and technical stakeholders to select and design data science solutions;Continuous learning about state-of-the-art technologies and practices in the data science and engineering domain.Qualifications:University degree in numerical field (Computer science, Machine Learning, Mathematics, Physics, Engineering, etc.);Experience as a software developer with at least one of the languages: Python, Scala, Java;Experience with SQL and Big data processing frameworks such as Spark or Flink;Experience with at least one ML framework and knowledge in at least one Machine Learning field such as regression, classification, clustering, optimization, and statistics.Experience bringing a machine-learning solution to production;Experience with AWS or other cloud providers;Highly proficient in spoken and written English;Excellent communication skills and a pragmatic approach to problem-solving;Willingness to learn and interest in the latest trends in programming and machine learning.Nice to Have:Experience with MLOps;Knowledge of Scala and interest in functional programming are highly appreciated;Experience with Kafka, Clickhouse, Postgres, Kubernetes, and Docker. We offer:Gross monthly salary from 3000 EUR to 6000 EUR;Entrepreneur culture of the company, which allows you to try new approaches and technologies all the time;Recognition from the business which translates to very competitive salaries and a supportive attitude;A healthy mix of startup-like culture of the company, which enables us to try new approaches and technologies and remain on the edge of technological development and enterprise, with stability and supporting functions to help you focus on your job;Modern and developer-friendly delivery processes, including Agile (Scrum / Kanban), JIRA issue tracking, Confluence wiki, GitLab source control, Jenkins continuous integration and delivery, modern hardware and software for development (an IDE of your choice);Being a part of an international team in a successful, publicly-traded company;Health insurance, contemporary office environment, tech conference attendance, training, hackathons, 24/7 company gym, and other benefits and perks. #LI-ES1#LI-HybridAdditional InformationAbout UsEvolution is a market-leading developer and provider of products and services for online casino entertainment. Our excellence is driven by over 16,000 EVOlutioneers across 30 markets worldwide, working in product innovation, software development, IT solutions, game hosting and business support. Evolution's dynamic and creative environment creates a unique opportunity for personal and professional growth.Our integrated business-to-business solutions guarantee that our clients can always provide an unrivalled online entertainment experience to their players globally. We thrive on remaining an award-winning digital powerhouse of entertainment products and services with an ever-expanding line-up of product brands: Evolution Live, NetEnt, Red Tiger, Ezugi, Big Time Gaming, Nolimit City and DigiWheel.Evolution is a Swedish company founded in 2006 and listed on Nasdaq Nordic (EVO"
MLOps engineer,2023-01-01,2023-01-30 12:28:15,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=j97UCaMQhvUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Accenture Baltics,Full-time,NA,"Riga, Latvia","Description:

MLOps is a set of management techniques for the deep learning or production ML lifecycle, formed from machine learning or ML and operations or Ops. These include ML and DevOps methods, as well as data engineering processes for deploying and maintaining machine learning models in production.

Benefits:
• Competitive salary 2625 - 4500 EUR gross
• Flexible vacation + health & travel insurance + relocation
• Work from home, flexible working hours
• Work with Fortune 500 companies from different industries all over the world
• Skills development and training opportunities, company-paid certifications
• Opportunities to advance career
• An open-minded and inclusive company culture

Key responsibilities:
• Design and implement cloud solutions, build MLOps on cloud (AWS, Azure, or GCP)
• Build CI/CD pipelines orchestration by GitLab CI, GitHub Actions, Circle CI, Airflow or similar tools
• Data science model review, run the code refactoring and optimization, containerization... deployment, versioning, and monitoring of its quality
• Data science models testing, validation and tests automation
• Communicate with a team of data scientists, data engineers and architect, document the processes

Required Qualifications:
• Ability to design and implement cloud solutions and ability to build MLOps pipelines on cloud solutions (AWS, MS Azure or GCP)
• Experience with MLOps Frameworks like Kubeflow, MLFlow, DataRobot, Airflow etc.
• Experience with Docker and Kubernetes, OpenShift
• Programming languages like Python, Go, Ruby or Bash, good understanding of Linux, knowledge of frameworks such as scikit-learn, Keras, PyTorch, Tensorflow, etc.
• Ability to understand tools used by data scientist and experience with software development and test automation
• Fluent in English, good communication skills and ability to work in a team

Desired Qualifications:
• Bachelor’s degree in Computer Science or Software Engineering
• Experience in using AWS, MS Azure or GCP services
• Good to have any associate Cloud Certification"
Senior Machine Learning Engineer,NA,2023-01-30 12:28:16,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=lYa-ZJA1tBkAAAAAAAAAAA%3D%3D&fpstate=tldetail,EPAM Systems,Full-time,NA,Latvia,"EPAM is a leading global provider of digital platform engineering and development services. We are committed to having a positive impact on our customers, our employees, and our communities. We embrace a dynamic and inclusive culture. Here you will collaborate with multi-national teams, contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions, and have an opportunity to continuously learn and grow. No matter where you are located, you will join a dedicated, creative, and diverse community that will help you discover your fullest potential.

DESCRIPTION

We are looking for a Senior Machine Learning Engineer who can design and implement standardized processes and technology capabilities for building, deploying and operationalizing ML systems rapidly and reliably. To provide leadership in defining and implementing strategies and tools, working with internal and external stakeholders.

Half of the time is dedicated to the hands-on analysis of... data science initiatives, plans, and ML-powered products. In contrast, the other half is spent building data and modelling pipelines, tools and applications to automate that process.

WHAT YOU’LL DO
• Work with Data Scientists to understand what they are working on, analyze the work from a machine learning engineering point of view and list a roadmap of what needs to be done to bring ML artefacts into life: guiding practices on how to improve, helping with a preliminary ML system design and anticipating of consequent Product changes, advising what the team should look for the project, implementing of some hypotheses (YOLO model, an algorithm from a whitepaper, etc.)
• Participate in the code review process
• Participate in the code review process
• Design and build efficient and reproducible ML pipelines: producing features and anything needed to iterate over a model (feature selection, hyperparameter tuning, validation, etc.)
• Schedule and operate model in a production data pipeline
• Design and build ML pipeline end to end to promote ML artefacts into production
• Analyze and communicate model performance
• Write clean and tested code that can be maintained and extended by other software engineers
• Keep up to date on relevant technologies and frameworks and propose new ones that the team could leverage
• Have some vision on an ML system design to fill in the gaps
• Build a framework (coordination between teams, DevOps, Data Engineers, QA, MLE, DS)

WHAT YOU HAVE
• Expertise in Python and its ecosystem
• Machine learning, software engineering and distributed computing basics
• Experience with DBMS and different data models (relational, columnar, document, etc.)
• Competency in building HTTP-based APIs for distributed systems
• Experience with machine learning tools such as Pandas, Numpy, Scikit-Learn, TensorFlow, PyTorch, DeepAR, Prophet, Catboost, XGBoost, Spark, PySpark and tasks such as Time Series forecasting, Computer Vision, Recommendation Systems
• Understanding how web applications are built and organized
• Experience with continuous integration and continuous development

WE OFFER
• Innovative solutions delivery to the world’s digital changes
• Experience exchange with colleagues all around the world
• Opportunities for self-realization
• Unlimited access to LinkedIn learning solutions
• Friendly team and enjoyable working environment
• Engineering, corporate and social events
• Social package: professional & soft skills trainings, medical & family care programs, sports
• Free English classes
• Flexible working schedule"
Data Scientist,2023-01-18,2023-01-30 12:28:16,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=x8-HE40Vg8MAAAAAAAAAAA%3D%3D&fpstate=tldetail,Evolution,Full-time,€36K–€72K a year,"Riga, Latvia","Company DescriptionEvolution is a world-leading B2B provider of video-streamed Live Dealer gaming, committed to deliver a unique and flawless gameplay across multiple platforms through revolutionary product innovation. Firmly rooted in our values: ALIVE, do RIGHT and work TOGETHER, we are on a quest to lead the way in an industry which is pioneering technical solutions and pushing the limits of what has been done in terms of online user experience. Our services have won multiple industry awards, including 'Live Casino Supplier of the Year' at the 2019 EGR B2B Awards for nine consecutive years and 'Casino Content Provider of the Year' in the 2019 EGR North America Awards. Our success is largely down to the quality and commitment of our people. We are now looking for an experienced and driven Data Scientist. This is truly an exciting opportunity for a talented individual who is looking for a career opportunity in a dynamic and international work environment. Evolution Gaming Group AB... (publ) was founded in 2006 and it is stock listed on the Swedish stock exchange Nasdaq. Today, about 9000 people work in the company's 20 sites, including locations like the U.S., Malta, Latvia, Georgia, Holland, Canada, Estonia, the U.K. and Sweden. Job DescriptionWe are searching for a passionate Data Scientist to help with our Machine Learning tasks and statistical analysis.Main Duties & Responsibilities:Work with business and technical stakeholders to choose the most appropriate ML solutions;Design and develop machine learning models for use cases like:recommender systemsfraud detectionchat text analysisWork with data engineers to select appropriate datasets and data representation methods;Work with game developers to make sure that the necessary data are available;Research and implement appropriate ML algorithms and tools;Devise metrics and evaluation processes for the performance and impact of your models;Train, test and retrain machine learning models;Work with other team members to deploy machine learning models to production;Use and, where necessary, extend existing machine learning libraries and frameworks.Qualifications:University degree in numerical field (Machine Learning, Statistics, Mathematics, Computer Science, Physics, Engineering, etc.);At least 3 years of work experience in the Data Science field;Experience and understanding of linear algebra and statistical modeling;Experience with deploying machine learning solutions to production;In-depth knowledge in at least one Machine Learning field such as regression, classification, clustering, pattern mining or optimization;Experience with at least one Machine Learning framework such as Scikit-Learn, Keras, Tensorflow, Pytorch, MLLib;Hands-on with Python, in particular packages such as Pandas, Numpy, Matplotlib (or equivalent);Experience with SQL and Big data tools such as Spark/Hive;Highly proficient in spoken and written English;Excellent communication skills and a pragmatic approach to problem-solving;Willingness to learn and interest in the latest trends in programming and machine learning.Nice to Have:Knowledge of Scala or Java;Experience with AWS or other cloud providers;Experience with Kafka, Clickhouse, Postgres, Kubernetes, and Docker.We offer:Gross monthly salary from 3000 EUR to 6000 EUR;Entrepreneur culture of the company, which allows you to try new approaches and technologies all the time;Recognition from the business which translates to very competitive salaries and a supportive attitude;A healthy mix of startup-like culture of the company, which enables us to try new approaches and technologies and remain on the edge of technological development and enterprise, with stability and supporting functions to help you focus on your job;Modern and developer-friendly delivery processes, including Agile (Scrum / Kanban), JIRA issue tracking, Confluence wiki, GitLab source control, Jenkins continuous integration and delivery, modern hardware and software for development (an IDE of your choice);Being a part of an international team in a successful, publicly-traded company;Health insurance, contemporary office environment, tech conference attendance, training, hackathons, 24/7 company gym, and other benefits and perks. #LI-ES1#LI-HybridAdditional InformationAbout UsEvolution is a market-leading developer and provider of products and services for online casino entertainment. Our excellence is driven by over 16,000 EVOlutioneers across 30 markets worldwide, working in product innovation, software development, IT solutions, game hosting and business support. Evolution's dynamic and creative environment creates a unique opportunity for personal and professional growth.Our integrated business-to-business solutions guarantee that our clients can always provide an unrivalled online entertainment experience to their players globally. We thrive on remaining an award-winning digital powerhouse of entertainment products and services with an ever-expanding line-up of product brands: Evolution Live, NetEnt, Red Tiger, Ezugi, Big Time Gaming, Nolimit City and DigiWheel.Evolution is a Swedish company founded in 2006 and listed on Nasdaq Nordic (EVO"
Internet Data Evaluator - Latvian (Work-from-home),2023-01-11,2023-01-30 12:28:16,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=U6sVTH-NeD4AAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Bauska, Bauskas pilsēta, Latvia","TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com

We are hiring Personalized Internet Assessors in Latvia (Latvian Language)

In this role you will be reviewing online search results in order to improve their content and quality. You will be required to provide feedback and analysis on content found in search engine results and provide ratings on their relevance... to the search terms used. Another aspect of this role will involve reviewing the language used in the search results by examining grammar, tone and cultural relevance.

Through this work you will be making a valuable contribution by expressing your opinion on the quality and content of what is currently out there on the web. You will play a part in improving the quality of one of the largest search engines in the world using both your PC and Smartphone.

Who is suitable for this role?

We are currently seeking dynamic and creative people who have a strong interest in social media, specifically those who are an active daily user of their Gmail account. We also require suitable candidates to own & use a smartphone – Android or iPhone – and have a familiarity with other forms of social media and Google products. You should also be flexible, reliable and have the ability to interpret and follow established guidelines.

You will have the flexibility and freedom to work from your own home, working your own hours. We are currently seeking people who have a specific smartphone device (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks.

What are the main requirements for the role?
• You must have full professional proficiency in both written and verbal English & Latvian
• You must be living in Latvia for the last 5 consecutive years
• You must own and use a Smartphone (Android V4.2 or higher or iPhone running iOS version 13.0 or higher) to complete tasks
• The majority of the task types will require both a desktop/laptop and a smartphone
• Gmail must be your primary email
• Active daily user of Gmail and other forms of social media
• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Latvia
• Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense
• Experience in use of web browsers to navigate and interact with a variety of content

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?
• Earn extra income
• Access to our community wellbeing initiative
• Remote work & Location Independence
• Be your own boss
• Flexible Hours to fit in with your lifestyle
• Be a part of an online community

What’s next?
• If this sounds like a role you’d be interested in taking on, please apply below.

Please follow the steps below on how to apply for the project:
• Create an account on https://www.telusinternational.ai/cmp/contributor/jobs/available/91
• Click ""Sign Up"" and answer the necessary fields.
• Check your email inbox to confirm your email and set up your password and account. Please check your spam/junk folder as well.
• Select Latvia as your country and Latvian as your primary language. Please note that you must set up your country and primary language correctly in order to view this project.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.

Once you complete the registration process, click the ""Apply"" button to start your application process for the project"
Internet Ads Evaluator - Latvian (Work-from-home),2023-01-11,2023-01-30 12:28:17,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=dcY8qASZ8UQAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Part-time,NA,"Krāslava, Krāslavas pilsēta, Latvia","Our Company

TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com

Who is suitable for this work?

We are looking for dynamic people who have strong communication skills and use the Internet daily.

This is a freelance, independent contractor position. You will have the flexibility and freedom to work from your own home, working your own hours.

What does the work... involve?

In this job you will be reviewing online advertisements in order to improve their content, quality and layout. You will be required to provide feedback and analysis on advertisements found in search engine results and provide ratings on their relevance to the search terms used. Another aspect of this opportunity will involve reviewing the language used in advertisements by examining grammar, tone and cultural relevance.

As a Personalized Internet Ads Assessor your ultimate goal will be to contribute towards making internet search and online advertising more relevant and interesting for all Latvian speakers in Latvia.

Requirements
• You must be living in Latvia for the last 3 consecutive years
• Suitable candidates must have full professional proficiency in English and Latvian
• Access to and use of a broadband internet connection and associated computer and antivirus software to perform the work, all provided at your own expense
• Experience in use of web browsers to navigate and interact with a variety of content
• Access to and use of an Android (version 4.1 or higher) or IOS Smartphone (version 8 or higher) to complete tasks
• A Barcode Scanner application must be installed on your smartphone to complete certain tasks
• Active daily user of Gmail and other forms of Social Media

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a part time project and your work will be subject to our standard quality assurance checks during the term of this agreement.

Why Join the TELUS International AI Community?
• Earn extra income
• Access to our community wellbeing initiative
• Remote work & Location Independence
• Be your own boss
• Flexible Hours to fit in with your lifestyle
• Be a part of an online community

What’s next?
• If this sounds like a role you’d be interested in taking on, please apply below.

Please follow the steps below on how to apply for the project:
• Create an account on https://www.telusinternational.ai/cmp/contributor/jobs/available/180
• Click ""Sign Up"" and answer the necessary fields.
• Check your email inbox to confirm your email and set up your password and account. Please check your spam/junk folder as well.
• Select Latvia as your country and Latvian as your primary language. Please note that you must set up your country and primary language correctly in order to view this project.

Once you complete the registration process, click the ""Apply"" button to start your application process for the project.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status"
MLOps engineer,NA,2023-01-30 12:28:17,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=l37ytjMqOREAAAAAAAAAAA%3D%3D&fpstate=tldetail,Accenture,Full-time,NA,"Riga, Latvia","Benefits:
• Competitive salary 2625 - 4500 EUR gross
• Flexible vacation + health & travel insurance + relocation
• Work from home, flexible working hours
• Work with Fortune 500 companies from different industries all over the world
• Skills development and training opportunities, company-paid certifications
• Opportunities to advance career
• An open-minded and inclusive company culture

Key responsibilities:
• Design and implement cloud solutions, build MLOps on cloud (AWS, Azure, or GCP),
• Build CI/CD pipelines orchestration by GitLab CI, GitHub Actions, Circle CI, Airflow or similar tools;
• Data science model review, run the code refactoring and optimization, containerization, deployment, versioning, and monitoring of its quality.
• Data science models testing, validation and tests automation.
• Communicate with a team of data scientists, data engineers and architect, document the processes.

Required Qualifications:
• Ability to design and implement cloud solutions and ability... to build MLOps pipelines on cloud solutions (AWS, MS Azure or GCP)
• Experience with MLOps Frameworks like Kubeflow, MLFlow, DataRobot, Airflow etc., experience with Docker and Kubernetes, OpenShift.
• Programming languages like Python, Go, Ruby or Bash, good understanding of Linux, knowledge of frameworks such as scikit-learn, Keras, PyTorch, Tensorflow, etc.
• Ability to understand tools used by data scientist and experience with software development and test automation.
• Fluent in English, good communication skills and ability to work in a team.

Desired Qualifications:
• Bachelor’s degree in Computer Science or Software Engineering
• Experience in using AWS, MS Azure or GCP services.
• Good to have any associate Cloud Certification

#LI-DNI"
AI Developer,NA,2023-01-30 12:28:18,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=eawufcMLfu0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Printful,Full-time,NA,"Riga, Latvia","As our company keeps growing, we’re looking for a skilled Artificial Intelligence (AI) Developer to join our IT department and work on machine learning (ML) projects.

You’ll be responsible for designing, implementing, and maintaining an AI-based smart recommendation system (SRS).

What we offer:
• monthly salary EUR 3,500–4,400 gross, depending on work experience, education, and skills
• all the resources and tools to perform your tasks (choose between Mac or Windows)
• flexible working hours (start your day as late as 11 a.m.)
• free and healthy lunch at the office
• health insurance, including a mental wellness program
• day off on your birthday
• partially paid gym membership
• employee discounts for 400+ premium products
• room for professional growth (conferences, workshops, mentoring, guest lectures)
• exciting team-building events and parties you’ll never forget!

Your daily tasks will entail:
• coming up with suitable technical solutions across the full life cycle of the... SRS
• designing data specifications for data that needs to be ingested for model training and facilitating automation of the ingestion process
• creating and maintaining high-performance, cost-effective, and scalable AI-based recommendation system
• training, testing, troubleshooting, and deploying ML models
• accommodating interoperability between the AI-based recommendation system and legacy recommendation system

Our day-to-day toolkit includes:
• Python
• PyTorch
• Jupyter
• AWS—SageMaker, Redshift
• GIT

Below is a list of formal requirements, but what matters the most is that you’re willing to learn and master new technologies. Since we’re an international team, our developers also need to have good English skills.

What we expect from you:
• at least 2 years of experience related to deep learning, ML, or AI
• experience working with AWS and web development
• active involvement in project development
• analytical approach to problem solving

Experience working with the pandas library will be considered an advantage.

​

Printful is an equal opportunity workplace. We’re committed to diversity and inclusion and make our hiring decisions based solely on qualifications, merit, and work experience.

If you think you’d excel in this role—send us your resume in English!

Interested, but don’t think this is the right fit for you? Feel free to share it with friends and check out other open positions at Printful. We’re always looking for creative and driven minds to join our ever-growing team!

AS Printful Latvia (Reģ. nr. LV40203050078"
Data Science Specialist,2023-01-20,2023-01-30 12:28:18,https://www.google.com/search?q=Machine+Learning+Jobs+Latvia&ibp=htl;jobs&sa=X&ved=2ahUKEwizu7e6g_D8AhXzGzQIHY7SAH4QutcGKAF6BAgWEAU#htivrt=jobs&htidocid=nqCeSuSPuLYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Rise up HR,Full-time,NA,"Riga, Latvia","If wide range of work in statistics and numerical analysis gives you the greatest satisfaction in your daily work, our client JSC ""Crefo Birojs"" vacancy is for you. Join team of professionals and probably be the best

DATA SCIENCE EXPERT

If you have:
• Higher education in statistics, mathematics, computer science or a related field (may be a student);
• Good understanding of probabilities and statistical models, willingness to continue learning and developing these skills;
• Experience in fields related to data science and the ability to perform tasks using statistics;
• Interest in machine learning (ML, AI) and data modeling;
• Programming skills with Python or R, experience with SQL databases;
• Previous financial experience is not required, although an interest in business is highly desirable;
• Ability and willingness to work independently with several projects at the same time;
• Good business communication skills in presenting data to various audiences, technicians and business... teams;
• Experience with MS Azure will be an advantage.

We will entrust you:
• Creating scoring models and maintaining a full cycle according to the goals of the model and business needs;
• Help to analyze credit portfolios, predict their cash flow in various development scenarios, automate processes;
• Development and programming of complex queries for data acquisition, transformation and preparation for statistical modeling;
• Participation in the development of artificial intelligence / machine learning methods (AI / ML), providing data acquisition and statistical analysis;
• In-depth presentation of data analysis in a simple, understandable and comprehensible way, emphasizing the potential impact on different business directions (lending, sales, marketing, etc.).

Benefits for you:
• Exciting challenges and the opportunity to participate in the implementation of new projects;
• A supportive and collaborative team of professionals;
• Work in an international work environment;
• Salary 2500 - 2800 EUR gross (depending on experience and qualification);
• Social guarantees and health insurance;
• A modern and ergonomic work environment with the possibility to work remotely;
• Paid parking in Riga, Skanstes Street 50.

Find out more about employer here: https://www.crefobirojs.lv/par-mums/

In turn, in order to get acquainted and discuss the common future professional development, we invite you to send your CV and application letter in the section ""apply"" or send your CV by e-mail: personals@riseuphr.lv.

We will contact the candidates who will be selected for the 2nd selection round. The processing of personal data submitted in the application will be carried out for the purpose of ensuring the selection of candidates for the job competition. Controller: LTD “Rise up HR”, reg. No. 40203246924. Applicants' data will be stored until the end of the competition, as well as for 3 months after that"
