Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-15 11:00:16,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=VU_zg58U9pYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hilti Panama,Full-time,NA,"Petaling Jaya, Selangor, Malaysia","In the role of a Machine Learning Engineer, you will be part of our Analytics Solutions team and collaborate with our Data Scientists as well as our Data Engineers on building and deploying advanced statistical models. Hilti has a tremendous wealth of external and internal data. We are using it to bring our customer relationship to another level as well as develop advanced tools and services based on tool data. The Data Science team is highly technical and at the same time at the core of Hilti’s digital business.

In this role you deploy and operate machine learning models and build our analytics solutions. As a ML engineer you own the operations of our Data Science workbench and enable MLOps processes.
You design and build artificial intelligence systems to automate machine learning models. You assess, analyze and organize large amounts of data, while also executing tests and optimizing machine learning models and algorithms. You create machine learning models and retrain systems... when needed. You also research ML algorithms and tools to maintain and extend our ML libraries and our ML toolbox. You select appropriate data sets and pick appropriate representation methods.
You identify differences in data distribution that affects model performance and verify data quality. You transform and convert data science prototypes as well as run machine learning tests. You also use results to improve models and train and retrain systems when needed. You also build entire applications based on ML models.
You provide on-going tracking and monitoring of performance of decision systems and statistical models. You lead the design and deployment of enhancements and fixes to systems as needed.
• Bachelor’s in computer science, engineering or related field with CGPA 3.5 and above.
• Relevant experience in building, deploying, and monitoring analytics solutions using state of the art tools.
• Deep knowledge of statistical techniques and experience using machine learning algorithms.
• Understanding with cloud platforms (e.g. AWS and Azure)
• Strong programming skills in Python, C and Java.
• Strong data engineering skills in SQL in order to partner up most efficiently with our data engineers and data scientists.
• Advanced software engineering skills (software architecture, version control systems, continuous integration software)
• Strong communication and interpersonal skills.

Become a valuable member of our highly professional and international team of IT experts and tackle the challenges of a global multinational company using the latest technologies. You will have the freedom to act in the responsible area and will have career prospects in a dynamic environment with excellent opportunities to develop yourself to higher levels and wider range of knowledge. We have a clearly defined career development track for every individual employee and an excellent team who are duly rewarded by performance.
What do we offer?

Show us what you’re made of and we’ll offer you opportunities to move around the business – to work abroad, experience different job functions and tackle different markets. It’s a great way to find the right match for your ambitions and achieve the exciting career you’re after.
We have a very thorough people review process, unlike any we know of in any other business. We can pair talent with opportunities - developing our people in their current roles or challenging them to work in new ways or in new places. It’s how we find the right fit, further our teams personally and professionally, get the best value for each employee and increase the job satisfaction. Additionally, we offer you a wide range of benefits"
"Senior Data Scientist (AI,ML,CI)",NA,2023-01-15 11:00:16,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=FaPPziffuvsAAAAAAAAAAA%3D%3D&fpstate=tldetail,"RBV, AirAsia Digital Sdn. Bhd.",Full-time,NA,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Job Description

Are you ready to take off and be part of the Allstar employee? Whether you’re applying for a developer, customer happiness or crew, at AirAsia we act as One AirAsia.

If you are hungry to make a difference with one of the most well known low-cost airlines and to work in the dynamic technology hub, this is the job for you.

Group Data comes under AirAsia Digital which is responsible for spearheading digital transformation across AirAsia. Group Data works on business and operations problems across all entities in the AirAsia Group. Key problems we solve include improving revenue and reducing costs through large-scale data federation, predictive and prescriptive analytics, state-of-the-art machine/deep learning, intelligent scheduling and optimization, and other advanced techniques. Group Data is also responsible for the data lakes across all our businesses, deriving insights and value from them and sharing them back with the businesses. In addition, Group Data also... actively participates in innovation and training in the Redbeat Academy as well as collaboration with strategic partners like Google, GE, Airbus, and academia.

What You'll Do:
• Develop, train, implement models that significantly impact the field of data science and data analytics in Customer Intelligence and other areas.
• Design and develop data-related prototypes, POCs, programs, applications, reports, dashboards, etc., and deliver solutions that directly provide value to the business.
• Improve models and algorithms to further optimize business outcomes, especially in the area of Customer Intelligence.
• Collaborate and work across functional and multidisciplinary teams (including Data Scientists, Data Engineers, Software Developers, various stakeholders, etc.) in a dynamic environment to develop an understanding of evolving/agile business needs.
• Formulate hypotheses, and design and develop corresponding necessary measures, systems, simulations, and experiments in order to validate the hypotheses.

About You:
• BS/MS/PhD in Computer Science, Data Science, IT, Statistics, AI, Machine Learning, Analytics, etc.
• At least 5 years of relevant experience beyond the first degree.
• Must have strong Data Science skills, knowledge and experience, and strong domain knowledge in Customer Intelligence, Business Intelligence in Consumer Experience, etc. Must have successfully completed projects in large-scale real-world Customer Intelligence.
• Customer Profile, Segmentation, feature store, CLTV modelling, customer lifecycle optimization, CRM, etc.
• High proficiency in SQL, and experience with NoSQL databases.
• Good applied statistical knowledge with emphasis in business, finance and Customer Intelligence related statistical distributions, statistical testing, modeling, regression analysis, etc.
• Understanding of machine learning algorithms such as k-NN, Naive Bayes, SVM, Decision tree, and different kinds of Machine Learning objectives such as supervised learning (classification, regression, etc.), unsupervised learning, semi-supervised learning and reinforcement learning.
• Have completed successful large-scale projects using Python and its corresponding Data Science, Machine Learning and Deep Learning ecosystem of libraries or frameworks including Scikit-Learn, Pandas, TensorFlow, PyTorch, etc.
• Experience with code versioning, code review and documentation.
• Experience using cloud platform products and services.
• Good working knowledge of productivity tools such as G Suite, Git, Jira, Confluence.

Good to have:
• Experience writing clean and well-engineered code for containerised applications to handover to other teams.
• Experience using Google Cloud Platform products and services (such as BigQuery and App Engine, AI Platform, Cloud Big Table, Cloud Firestore, Cloud Run and Kubernetes Engine) and Google Data Studio.
• Graph modelling and Graph Query Language. E.g. Neo4j and Cypher Query Language.
• Product (front-facing) experimentation experience.

We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be your best.We are committed to creating a diverse work environment and are proud to be an equal opportunity employer.

Search Firm Representatives - AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place"
"Senior Manager, Data Science",2023-01-13,2023-01-15 11:00:17,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=ABn-zySvNuEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Western Digital,Full-time,"US$55,440–US$102,960 a year","Petaling Jaya, Selangor, Malaysia","Company DescriptionAt Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.Binge-watch any shows, use social media or shop online lately? You’ll find Western Digital supporting the storage infrastructure behind many of these platforms. And, that flash memory card that captures and preserves your most precious... moments? That’s us, too.We offer an expansive portfolio of technologies, storage devices and platforms for business and consumers alike. Our data-centric solutions are comprised of the Western Digital®, G-Technology™, SanDisk® and WD® brands.Today’s exceptional challenges require your unique skills. It’s You & Western Digital. Together, we’re the next BIG thing in data.Job DescriptionAs a Data Science Senior Manager, you will execute the vision for digital process and transformation in the operations. In this role, you will collaborate and/or lead a team involving areas of 4IR technologies, supply chain, engineering, manufacturing, development, etc to solve sophisticated problems with solutions.Successful candidate will have a successful track record of digital transformation and thought-leader. The individual is comfortable working in a multifaceted, iterative environment that also affords the stability of a global, well-established technology company. You will enable a broad focus across technology development initiatives exploring capabilities with artificial intelligence, advanced analytics, cognitive computing, machine learning, optimization, etc.ESSENTIAL DUTIES AND RESPONSIBILITIES:Execute Digital Innovation roadmap and strategy using artificial intelligence, cognitive computing, physics-based modeling, data analytics, RPA etcInteract with functional subject matter experts from Supply Chain, Process, Design, Development, Product Engineering, and Systems teams, to identify and deliver solutions and discover areas of the business that can be made autonomous and smarterPartner with various stakeholders in the business to identify capabilities and deploy solutions that generate high financial, operational and sustainability impactProvide guidance on innovative analytical tools, methodologies, applications and technologiesInteract with business partners and lead discussion to understand the critical to success data needs and provide guidance both technical and best practice process.Lead projects that involve any of the upstream or downstream processes.Engaged and lead strategic projects with multi-functional internal and external team.QualificationsREQUIRED:PhD or Master’s degree in an Engineering or Science field; additional informative experience in Data Science preferredAt least 5-10 years of related experience in management or thought-leadership positions with excellent knowledge in data science and business acumenExperience in large technology company in process technology, product technology, design, or systems level developmentPREFERRED: Deep experience in solving business problems across functions by translating them into solutions with measurable high business valueExperience crafting a Data Science Roadmap and executing the vision behind itExperience in solution architecture and its technology stacks and components. Familiarity with common data modeling approaches and good understanding of how to deal with various datatypes, larger data sets and parallel computing problems.Experience leading projects that span the fields of data science and data engineering using cluster computing environments such as Spark, Hadoop, cloud and othersSKILLS:Consistent track record forming successful teams from scratch, managing under tight deadlines, and providing mentorship on strategiesDemonstrated expertise in managing impact through others by leading full life cycle engagement from strategy to design and implementationDemonstrated ability to collaborate with teams and key partners, both in and outside the organization, to develop highly effective working relationshipsSolid understanding and hands-on experience with Machine Learning/AI, Robotics, Cognitive computing, optimization, etcExpert knowledge of statistical programming languages such as R, Python, and SQLPassion to teach others about data science and continue to learn new techniques. Monitor the market for emerging technologies for adoption and work on proof of concepts then scale for full deployment.Results-oriented, with a growth and imaginative mindset and strong dedication and passion to identify and implement improvement opportunities. Strong drive for results.Strong analytical skillsExcellent written and verbal English-language communication and presentation skillsProven track record to perform in an environment characterized by volatility, uncertainty, complexity, and ambiguity (VUCA)Strong influencing skills and the ability to build strong interpersonal relationshipsAbility to assume high exposure responsibilities and interact with senior leadershipDemonstrated capability to build highly effective and engaged teamsStrong project management and organizational change skills and experienceAbility to execute requests with strong attention to detail and strong time-management skillsProficiency in Agile Project Management. Agile Certified is an added advantage.Additional InformationWestern Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at staffingsupport@wdc.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying"
Machine Learning Engineer,2023-01-11,2023-01-15 11:00:17,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=pGVagE1sRzUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Avanade,Full-time,NA,Malaysia,"​
Job Description

​

As ML Engineer, you will be part of team to develop analytics solutions based on machine learning & statistical predictive algorithms for clients of Data & AI. We are looking for experienced machine learning engineers with extensive hands-on experience in machine and deep learning, statistical modeling, and software development, proven scientific research skills, and technical leadership.

To ensure success as a machine learning engineer, you should demonstrate solid data science knowledge and experience in a related ML role. Avanade is looking someone whose expertise translates into the enhanced performance of predictive automation software.

Experience: 6-8 years overall experience and at least 5 years working as ML Engineer

Skills:

​
• Python, Java.
• Hands-on experience and understanding of deep learning techniques (TensorFlow, Theano, MXNet, Microsoft DMTK).
• Experience with big data stack (Spark, Hadoop, Storm, Hive & Pig) and NoSQL stores.
• Experience... with distributed machine learning (RHadoop, Spark MLlib).
• Strong algorithmic and programming skills in Java or C/C++ or C# or Scala.
• A solid grounding in applied mathematics, especially optimization and graph theory, and statistics.

​

Key Responsibilities:

​

​
• Consulting with managers to determine and refine machine learning objectives.
• Designing machine learning systems and self-running artificial intelligence (AI) software to automate predictive models.
• Transforming data science prototypes and applying appropriate ML algorithms and tools.
• Ensuring that algorithms generate accurate user recommendations.
• Turning unstructured data into useful information by auto-tagging images and text-to-speech conversions.
• Solving complex problems with multi-layered data sets, as well as optimizing existing machine learning libraries and frameworks.
• Developing ML algorithms to analyze huge volumes of historical data to make predictions.
• Running tests, performing statistical analysis, and interpreting test results.
• Documenting machine learning processes.
• Keeping abreast of developments in machine learning.

​

Job Requirements:

​
• Significant experience in the design and build of data science solutions for customers.
• Strong experience with Microsoft Technologies
• Hands-on experience in data science, machine learning and statistical analytics.
• Experience in data analytics, BI, data warehousing, a data platform development or other relevant hands-on technical experience.
• Understanding of structured and unstructured data analysis, streaming data, IoT, artificial intelligence, natural language processing and related topical analytics fields.
• Understanding of data science methodologies and the processes of data scientists follow in problem-solving.
• Significant experience in implementing/deploying ML solutions in Azure or other cloud platforms
• Experience on NER (Named entity recognition), NLP tasks like Cosine similarity, word embedding, document similarity, context based search
• Experience with document search system like elastic search, solr, Azure cognitive search
• Advanced knowledge on Azure Databricks, Azure Pipelines, Azure Storage
• Understanding of optimizers, hyper parameter tuning, ML ops libraries and platforms, detecting data drift

​

What we offer you

Come for the distinctive experiences you have helping forward-thinking corporations, non-profits, and governments push the boundaries of digital innovation. Stay for the limitless learning opportunities that encourage you to master Microsoft and pursue big ideas. Enjoy ambitious growth for yourself as part of Avanade’s people-first culture with benefits like employee share purchasing, flexible work arrangements, a commitment to diversity and inclusion, and competitive pay.

​"
Machine Learning Engineer,NA,2023-01-15 11:00:18,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=j6eSSpcas6MAAAAAAAAAAA%3D%3D&fpstate=tldetail,Arvato Systems Malaysia,Full-time,NA,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia (+1 other)","Responsibilities:

The ML Ops project acts as a center of expertise and pursues the goal to conceptualize and provide central services and tools for reliable and efficient deployment of data science models. The following functionalities are planned:
• Deployment of models with automated processes
• versioning and monitoring of data
• continuous monitoring and updating of models
• Scalability of developed models and processe
• collaboration through the reuse of models and processes
Scope of service
• conception and implementation of a model repository
• conception and implementation of data access, preparation, modeling, versioning
• conception, implementation and provision of services for continuous monitoring of models and their quality, especially with regard to changing data
• evaluation and selection of existing solutions and technologies
• support teams in designing, building and running P-environments for ML
• develop helpers, utils, functionalities
• roll out tools ... functionalities to teams

Requirements:
• B.Sc., M.Sc. or Ph.D. in computer science or a related field
• Excellent communication and teamwork skills
• Familiar with workflow management platforms like Airflow or Argo Workflows (Preferable)
• Familiar with best practices in the Software Engineering and MLOps community (Preferable)
• You enjoy working in an agile team, like to get involved, think ""out of the box"" and are keen to tackle new topics
• Good English skills complete your profile
Must Have:
• Expert level understanding and hands-on experience with building MLOps or DevOps infrastructure in CI/CD environments
• Basic understanding of Machine Learning Models and Use Cases
• Some level of experience with most or all of the Technologies/Tools/Platforms of our used stack

Technology Stack:
• GCP
• Kubernetes
• Prometheus,
• Helm,
• GitLab,
• Terraform,
• Argo,
• MLFlow,
• Python

Life at Arvato Systems Malaysia:

If you're looking to be creative and at the same time putting on the entrepreneurship hat while working on Technology related work, then you fit right into our culture.

Top 10 Perks & Benefits on Why You Should Join Us:
• Yearly Company Trip.
• We promote flexi work arrangements having flexi benefits where employees could enjoy what they see fit.
• Besides Annual Leaves & Sick Leaves, we have other unique paid time-offs such as Birthday Leave & Child Care/Parental Leave.
• We got you covered in terms of insurance alongside with your immediate family members (Spouse & Children only).
• Attractive Employee Referral Program.
• Sponsored meals if you work at the office!
• Unlimited coffee refills with state-of-the-art barista coffee machine where you can practice on your preferred choice of latte art.
• Believes in learning and people development with plenty of trainings to upskill your personal growth.
• Plenty of initiatives and interest groups to ensure that not only everyone in the team gels and bond closer together, we put an emphasis on CSR work as well.
• Work is important, but your mental health should always take priority. At Arvato Systems Malaysia, we do everything we can to make sure you lead a healthy and happy life by walking the talk on work-life balance.

Diversity & Inclusion:

Arvato Systems Malaysia stands for Equal Employment Opportunity (EEO). We do not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need.

Arvato Systems Malaysia focuses on Corporate IT. Their company has offices in Kuala Lumpur and Kuala Lumpur City Centre. They have a large team that's between 201-500 employees.

You can view their website at https://arvato-systems.com/malaysia"
Machine Learning Engineer,2022-12-20,2023-01-15 11:00:19,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=MajYUdbc6v0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Intel Corporation,Full-time,NA,Malaysia,"Innovative thinkers who are highly interested in explorations, pathfinding, and piloting new capabilities using Predictive Modelling, Deep Learning, Computer Vision, Natural Language Processing, ML-based optimization/simulation and other techniques.
• Must be able to explore and path-find solution to complex business problems, coordinate concept proving and pilot testing. Works closely with business stakeholder, observations to find patterns and relationships in data.
• Must be able to Interacts with users to define requirements for breakthrough product/solutions. In either research environments or specific product environments, utilizes current programming methodologies to translate machine learning models and data processing methods into software.
• Must be able to work well in teams, lead and provide end-to-end oversights to use cases and project progresses.
• Responsible for providing project and management updates.
• Be part of leadership team to enable MLOps for scaled/POR... integration, deployment, adoption and support.

Qualifications
• Candidate must have at least 5-6 years of working experience with project/program management experience.
• Must have deep knowledge in machine learning algorithms and experience in applying to solve problems in various data science disciplines
• Has strong understanding of manufacturing business segment stakeholders and possess strong written and communication skills.
• Have expertise or passionate to learn and explore ELK, Kubernetes, KubeFlow, Scripting, Python, Tensorflow, SQL queries, and related software
• Knowledgeable in ML Life Cycle with strong track record to lead use case exploration all the way to implementation and scale. Background in programming, testing, debugging, documentation and/or deployment of the solution/products will be an added advantage.
• Proven leadership ability, strong in business engagement and good track record in project/program management.
• Curiosity and endless desire to learn, along with passion for solving intricate business problems using data science
• Has degree in Computer Science, Mathematics, Machine Learning, AI, Optimization, Operation Research, Statistics or equivalent.

Inside this Business Group

Intel's Information Technology Group (IT) designs, deploys and supports the information technology architecture and hardware/software applications for Intel. This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. IT is also responsible for e-Commerce development, data hosting and delivery of Web content and services"
"Software Development Engineer, Machine Learning/AI",NA,2023-01-15 11:00:19,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=CPMkGN_y0FgAAAAAAAAAAA%3D%3D&fpstate=tldetail,AkiraKan Limited,Full-time,NA,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","If you are excited about cutting edge AI, robotics that affects the real world, and want to join a company where your skills can have a huge impact, you'll fit right in. Join us as part of the Autonomy Team, you will support the team by building robust AI systems to improve transit, land transportation and marine operation. You will be able to closely interact with others within the company who are experts in perception systems, Deep Learning, Machine learning, and robotics. There is an opportunity to make a strong impact on products, while having the freedom and bandwidth to tinker. Come join us to enjoy flexible working hours, attractive rewards and promising career outlook. What you will be doing: -Stay up to date with the latest research and innovations in deep learning. -Collaboration with other teams in the Mapping and Localization Group. -Training Deep Neural Networks for Perception Systems. -Build infrastructure, data and computation pipelines, data storage strategies, common... libraries and useful tools needed to optimize research and development of deep-learning models. -Integrating DL algorithms into production C++ code. -Defining the requirements for training dataset needs. -Working with a variety of sensors: cameras, LIDAR, radar, GPS, odometry. -Building training pipelines and real-time inference run-times (PyTorch, TensorFlow, TensorRT, Python, C++). -Performing in-vehicle tests and collecting data. [Apply now at https://my.hiredly.com/jobs/jobs-malaysia-akirakan-limited-job-software-... -Bachelor's degree in Computer Science, Software Engineering, Applied Math, Robotics or a related technical discipline. -Solid coding proficiency in Python, C++, Scala/Java, Golang or Rust. -Ability to productionize deep learning models. -Familiar with at least one deep learning framework (TensorFlow, PyTorch, MXNet, JAX or other); -Any knowledge of the following would be a plus: CUDA programming, compilers like ONNX, TVM, XLA, TensorRT, Triton, TFRT, model quantization, model compression, etc.; -Good communication and analytical skills. Ability to work with multiple teams in a dynamic environment"
Artificial Intelligence Consultant - Java / C++ / Python,2023-01-14,2023-01-15 11:00:20,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=RObuLswi5PcAAAAAAAAAAA%3D%3D&fpstate=tldetail,5G-STARLINK PTE. LTD.,Full-time,NA,"Malacca, Malaysia","job description

We are hiring AI Consultant for Malaysia, Singapore and other locations for our clients across the globe.

Responsibilities :

- Understanding of business objectives and developing models that help to achieve metrics and to track progress.

- Set up and manage AI development and production infrastructure.

- Help AI product managers and business stakeholders to understand the potential and limitations of AI when planning new products.

- Identify new learning opportunities and AI use cases.

- Build AI models from scratch and help product managers and stakeholders to understand results.

- Deploy AI models into production.

- Create APIs and help business customers to put the results of your AI models into operations.

- Keep current of the latest AI research relevant to our business domain.

- Managing available resources such as hardware, data, and personnel so that deadlines are met

- Analyzing the algorithms that could be used to solve a given problem and ranking... them by their success probability

- Analyzing the errors of the model and designing strategies to overcome them

Skills & Experience :

- At least 5 years of hands-on programming experience working on enterprise products. 10 years- experience preferred.

- Demonstrated proficiency in multiple programming languages such as Python, SQL, Java or C++.

- Proficiency in Python and basic libraries for machine learning such as sci-kit-learn, numpy, scipy and pandas.

- Experience building AI models in platforms such as Keras, TensorFlow, or PyTorch.

- Proficiency with OpenCV.

- Ability to select hardware to run an AI model with the required latency.

- Demonstrated commitment to learning about AI through your own initiatives through courses, books, or side projects"
Machine Learning Engineer,2023-01-09,2023-01-15 11:00:20,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=EoVemk9MmogAAAAAAAAAAA%3D%3D&fpstate=tldetail,MYTUKAR SDN. BHD.,Full-time,NA,"Subang Jaya, Selangor, Malaysia","Are you as fascinated by Skynet as we are? You won't be building that here (yet) but you will be working alongside our diversely talented team and building impactful solutions. Your motto is ""Yes, we can automate that!"" You will be part of the integral team that will aid the technical development and deployment of algorithmic, automated, and innovations that Carro is undertaking. Come and have a chat with us!

What you will be doing:
• Contribute to the development of machine-learning innovations, including but not limited to machine learning, computer vision, acoustic signal processing, and artificial intelligence
• Work closely with the Chief Data Scientist to further enhance Carro as a deep-tech South East Asia
• Build robust data collection procedures and highly scalable APIs
• Processing, cleansing, and verifying the integrity of data used for analysis
• Design, build and handle the deployment of ML models and acute awareness of optimized server configurations
• Build innovative... approaches to automated repurposing and redeployment of the ML models
• Design and build recommendation engines to improve the user experience of our products

What you will need:
• Bachelor, Master or Ph.D. in Computer Science, Statistics, Computational Finance, Mathematics, Economics or quantitative discipline
• At least 3 years of hands-on industry experience in building and deploying end to end machine learning platforms
• Strong working knowledge of engineering and coding skills (Python, Javascript..etc)
• Good understanding of current algorithms such as gradient boosting machines, e.g XGBoost
• Good understanding of decision trees, linear regression, and NLP with preference to candidates with hands-on experience.
• Good understanding of various cloud-based solutions, other high/low-level languages (PHP, Ruby..etc) is advantageous
• Hands-on experience with TensorFlow, PyTorch, and Scikit.
• Demonstrable track record of hands-on experience in distributed data platforms and processing frameworks
• Good communication skills to communicate with technical and non-technical stakeholders
• Demonstrated ability to operate as a high-performing member of a small cross-functional team"
AI / Computer Vision Engineer,NA,2023-01-15 11:00:21,https://www.google.com/search?q=Machine+Learning+Jobs+Malaysia&ibp=htl;jobs&sa=X&ved=2ahUKEwjL5o7nk8r8AhX4AzQIHbe5A4QQutcGKAF6BAgREAU#htivrt=jobs&htidocid=auokCbwlLBAAAAAAAAAAAA%3D%3D&fpstate=tldetail,poladrone solutions sdn bhd,Full-time,NA,Malaysia (+1 other),"JOB RESPONSIBILITIES

• Research and develop existing computer vision algorithms and incorporate novel techniques or create new algorithms from ground up to solve desired use cases

• Designs, trains, and optimizes deep learning model pipelines for customer applications using state of the art open source models and custom models from R&D team

• Develop and adapt advanced computer vision and state-of-the-art deep learning techniques for object segmentation / detection / classification Prototype, benchmark and implement new algorithms in production-level code

• Develop scalable machine learning and computer vision algorithms, leveraging deep learning

• Deploy deep learning models into production

• Assist business team to deliver product value

• Assist in testing and evaluation on the developed solutions by unit test, stress test, etc.

• Write professional documents for what you will develop

JOB REQUIREMENTS

• Solid knowledge of machine learning and deep learning is a MUST.

•... Experience with deep learning frameworks (Tensorflow, Caffe, Pytorch).

• Demonstrated experience extracting / applying software from open source repos

• Experience with applying machine learning algorithms in imaging domains.

• Hands on experience in computer vision algorithms such as segmentation and object detection.

• Proficiency in Python and strong willingness to learn.

• Proficiency in object-oriented languages, such as C++ or Objective-C

• Proficiency in OpenCV.

• Self-learning ability, passionate, open-minded, team player, and good communication skills.

• Ability to research, prototype, benchmark and implement new algorithms in production-level code.

• Bachelor’s or Master’s degree in computer science/ Information Technology/ Engineering or a related field.

poladrone solutions sdn bhd focuses on General Aviation. Their company has offices in Selangor and Cyberjaya. They have a mid-size team that's between 51-200 employees.

You can view their website at https://www.poladrone.com"
