Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Data Scientist (Machine Learning Engineer),NA,2023-01-30 12:32:02,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=MJnxyMyNUO8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Okra,Full-time,NA,"Lagos, Nigeria","Who we are

Our mission is to digitize financial services. We are building the tools and services that will enable developers launch, optimize, & scale financial platforms and services. Our thesis is simply the fact that — financial innovation cannot exist without an Open Finance infrastructure. Essentially, the growth of the African Fintech industry is intrinsically tied to the success of an infrastructure like Okra.

Okra powers the tools that millions of people rely on to plan and manage their finances today. We are proudly working with hundreds of companies like Interswitch and D-local, and many of the largest financial institutions to make it easy for people to securely connect their accounts to the apps and services they choose. Okra’s network covers over 100 banks and financial institutions across Nigeria, South Africa, Kenya, and Ghana.

We believe that by building Africa’s Open Finance infrastructure, we enable developers to create better, fairer financial services for... everyone. We are dedicated to removing the complexity around accessing financial information and payment infrastructure for everyone.

The role

It’s an amazing time to join the Data Science (Machine Learning) team at Okra. As a Data Scientist (Machine Learning Engineer), you will analyse large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.Your goal will be to help our company analyze trends to make better decisions.

The successful candidate will:
• Identify valuable data sources and automate data collection processes.
• Undertake preprocessing of structured and unstructured data.
• Analyze large amounts of information to discover trends and patterns.
• Build predictive models and machine-learning algorithms.
• Combine models through ensemble modeling.
• Present information using data visualization techniques.
• Propose solutions and strategies to business challenges.
• Collaborate with engineering and product development teams.

What you'll need:
• BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred.
• 3+ years experience as a Data Scientist, Machine Learning Engineer, or Data Analyst.
• Strong math and statistics skills. Expert in Python.
• Extensive experience with machine learning algorithms in the areas of NLP, NLU, text analysis, forecasting, and named entity recognition.
• Expert in transformer models (BERT).
• Experience with Numpy, Pandas, and Scikit-Learn. Expert in any of the following deep learning frameworks: pytorch, tensorflow, keras, or MXNet.
• Rest API using Flask.
• Cloud computing with AWS.
• Containers (Docker) and Container Orchestration Framework (Kubernetes).
• Workflow scheduler (Airflow).
• Machine Learning Model lifecycle management using Mlflow, and Kubeflow.
• Experience with graph databases (Neo4j, or AWS Neptune) is a plus.

Nice to have:
• Analytical mind and business acumen.
• Problem-solving aptitude.
• Ability to learn new skills quickly.
• Excellent communication and presentation skills.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Okra focuses on SaaS, Big Data, Finance Technology, and Fin Tech. Their company has offices in Lagos. They have a small team that's between 11-50 employees. To date, Okra has raised $4.5M of funding; their latest round was closed on April 2021.

You can view their website at http://www.okra.ng or find them on Twitter and LinkedIn"
Data Scientist,NA,2023-01-30 12:32:02,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=UVfux6FEQE0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Vendease,Full-time,NA,"Lekki, Nigeria","Overview:
We are seeking the services of a qualified Data Scientist to utilize their analytical, statistical, and programming skills to collect, analyze, and interpret large data sets and deliver analytics and insights (predictive, prescriptive, diagnostic, deep learning).
The ideal candidate will use these insights to develop data-driven solutions to difficult business challenges to the management team.

Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modelling to increase and optimize customer experiences, revenue generation, ad targeting and other business... outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Leverage visualisation tools to deliver graphs, tables and charts for management decision
Deliver API services for data consumption by 3rd parties and partners.

Qualification:
Bsc. in Statistics, Mathematics, Computer Science or other quantitative field
6+ years of experience manipulating data sets and building statistical models
Strong problem-solving skills with an emphasis on product development
Excellent written and verbal communication skills for coordinating across teams
A drive to learn and master new technologies and techniques

EXPERIENCE
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures using AWS, Heroku and MongoDB.
Experienced using MongoDB Graph, Tableau etc
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, MongoDB, Heroku etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc"
Analyst - Machine Learning,2023-01-27,2023-01-30 12:32:03,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=QuT4pAseUJ0AAAAAAAAAAA%3D%3D&fpstate=tldetail,MTN Nigeria,Full-time,NA,"Lagos, Nigeria","• Carry out data mining and statistical modelling for various machine learning use-cases.
• Search and select appropriate data sets before performing data collection and data modelling.
• Train and retrain machine learning systems and models as needed.
• Work closely with data engineers, business analyst, statisticians and subject matter experts to drive deep analysis and uncover useful insights.
• Identify differences in data distribution that could affect model performance in real-world situations.
• Perform data visualization for deeper insights.
• Analyze the use cases of machine learning algorithms and ranking them by their success probability.
• Explain and infer the results of various algorithmic approaches and evaluating their performance.
• Design systems, alerts, and dashboards to monitor machine learning workflows.
• Document machine learning processes.
• Ensuring that machine learning algorithms generate accurate CVM recommendations.
• Work with campaign management team to... understand customer needs and develop proactive and innovative data driven solutions and campaigns.
• Conduct analyses with focus on experimental design, assessment, execution, and measurement of current marketing programs.
• Contribute and participate in campaign idea generation meetings and cross functional Customer Lifecycle Management meeting as required
• Work closely with CVM stakeholders to understand and maintain focus on their analytical needs, including identifying critical metrics and KPIs, and deliver actionable insights to relevant decision makers.
• Summarize analytic findings and integrate with non-traditional data sources when appropriate, to enhance campaign development initiatives.

Education:
• First degree in Mathematics, Statistics, Computer Science, Engineering or other related disciplines
• Fluent in English

Experience:
• 3 - 7 years’ experience including:
• 1 – 2 years’ experience in AI/ML analyst roles
• Advanced proficiency with Python, SQL and PySpark
• Understanding of big data technologies
• Experience in aggregating & transforming data, exploring & manipulating data, creating training & inference pipelines, building & validating models.
• Extensive knowledge of ML frameworks, libraries, data structures, data modelling, and software architecture
• Certification in machine learning, data engineering, data science or related fields will be an added advantage
• Solid understanding of predictive analysis: predictive modelling, machine learning and data mining.
• Good understanding of customer data analysis, propensity modelling and segmentation techniques; excellent understanding of data manipulation and interrogation techniques
• Strong analytical, problem-solving and teamwork skills
• Good oral & written communications skills
• Experience working in a medium organization"
Analyst - Machine Learning.Marketing NG,2023-01-27,2023-01-30 12:32:03,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=A0DIlLZ-VpwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Candidate Experience site,Full-time,NA,Nigeria,"Reports To: Manager Machine Learning

Division: Marketing

Mission
• Responsible for the design and implementation of machine learning and artificial intelligence solutions in analytics environments under the Customer Value Management (CVM) platform.

Description
• Carry out data mining and statistical modelling for various machine learning use-cases.
• Search and select appropriate data sets before performing data collection and data modelling.
• Train and retrain machine learning systems and models as needed.
• Work closely with data engineers, business analyst, statisticians and subject matter experts to drive deep analysis and uncover useful insights.
• Identify differences in data distribution that could affect model performance in real-world situations.
• Perform data visualization for deeper insights.
• Analyze the use cases of machine learning algorithms and ranking them by their success probability.
• Explain and infer the results of various algorithmic approaches and... evaluating their performance.
• Design systems, alerts, and dashboards to monitor machine learning workflows.
• Document machine learning processes.
• Ensuring that machine learning algorithms generate accurate CVM recommendations.
• Work with campaign management team to understand customer needs and develop proactive and innovative data driven solutions and campaigns.
• Conduct analyses with focus on experimental design, assessment, execution, and measurement of current marketing programs.
• Contribute and participate in campaign idea generation meetings and cross functional Customer Lifecycle Management meeting as required
• Work closely with CVM stakeholders to understand and maintain focus on their analytical needs, including identifying critical metrics and KPIs, and deliver actionable insights to relevant decision makers.
• Summarize analytic findings and integrate with non-traditional data sources when appropriate, to enhance campaign development initiatives.

Education:
• First degree in Mathematics, Statistics, Computer Science, Engineering or other related disciplines
• Fluent in English

Experience:

3 - 7 years’ experience including:
• 1 – 2 years’ experience in AI/ML analyst roles
• Advanced proficiency with Python, SQL and PySpark
• Understanding of big data technologies
• Experience in aggregating & transforming data, exploring & manipulating data, creating training & inference pipelines, building & validating models.
• Extensive knowledge of ML frameworks, libraries, data structures, data modelling, and software architecture
• Certification in machine learning, data engineering, data science or related fields will be an added advantage
• Solid understanding of predictive analysis: predictive modelling, machine learning and data mining.
• Good understanding of customer data analysis, propensity modelling and segmentation techniques; excellent understanding of data manipulation and interrogation techniques
• Strong analytical, problem-solving and teamwork skills
• Good oral & written communications skills
• Experience working in a medium organization"
Senior Data Scientist,2023-01-30,2023-01-30 12:32:03,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=6Molh37_c1YAAAAAAAAAAA%3D%3D&fpstate=tldetail,Insight7,Full-time,NA,Nigeria,"Summary

We are seeking a Senior Data Scientist with expertise in AI algorithms to lead and drive data-driven solutions for our business. The ideal candidate will have experience in data processing, machine learning models and neural networks, as well as the ability to translate business requirements into technical solutions.

Responsibilities:
• Lead the development of AI algorithms and models to address business challenges and improve data-driven decision-making processes.
• Design, implement and evaluate machine learning models and neural networks, using large and complex datasets.
• Collaborate with cross-functional teams to understand business requirements, design experiments and validate the models.
• Communicate results to both technical and non-technical stakeholders, presenting insights and recommendations in a clear and concise manner.
• Stay up-to-date with the latest advancements in AI and bring new ideas to the table for innovation and improvements.
• Implement best... practices for data privacy and security.

Requirements and skills:
• HND/BSc in Computer Science, Data Science, or a related field required.
• Strong experience in developing and deploying AI algorithms and models.
• Expertise in data processing and analysis, machine learning, and neural networks.
• Excellent communication and collaboration skills, able to work with cross-functional teams.
• Proficient in programming languages such as Python and R.
• Strong understanding of data privacy and security best practices.
• Prior experience in leading AI projects is a plus.
• Master's degree in related area is a plus.

Job Types: Full-time, Permanent

Salary: ₦200,000.00 - ₦400,000.00 per month

Application Deadline: 24/02/2023
Expected Start Date: 27/02/2023"
Senior Data Scientist,NA,2023-01-30 12:32:04,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=xK5lX0xdl-4AAAAAAAAAAA%3D%3D&fpstate=tldetail,NielsenIQ,Full-time,NA,"Lagos, Nigeria","Company Description

Overview

As the world's largest research organization, Nielsen is powered by talented creative scientists. Our Data Scientist Business Leaders come from diverse disciplines such as statistics, research methodology, mathematics, psychology, business, engineering, physics and demography. These professionals drive innovation, new product ideation, develops complex analysis and delivery of data insights to measure what consumers buy.

Job Description

➢Own Data Science solutions for client request and provide initial recommendation for complex client raised issues.

➢Support Internal and External Clients with the understanding of Data Science design and methodology.

➢Accompanied senior leaders meet with clients to understand business needs and help offer innovative solutions.

➢Work on creating new solutions use cases, proof of concept and prototypes by exploring diverse data sets using tools such as python/r.

➢Understand Nielsen product and services to suggest to... new solutions for client challenges.

➢Collaborate with other Data Science team units.

➢ Automate and develop solutions for existing processes.

➢ Innovate and create out of the box solutions by leveraging large and diverse data sets and state of the art technologies.

Qualifications

Experience

➢Professionals with degrees in Maths, Data Science, Statistics, or related fields involving statistical analysis of large data sets.

➢ 0-3 years of experience in market research or relevant field.

Qualifications

➢Soft skills qualifications

○Passionate about innovation and technology

○Problem-Solving skills

○Ability to effectively convey complex concepts to non-experts

○Intellectual curiosity and persistence to find answers to questions

○Eager to continuously learn and adapt to changing technologies and tools.

○Good command of written and spoken English.

○Good collaborative and interpersonal skills to communicate at all levels. (Preferred)

○Entrepreneur mindset (Preferred)

➢Analytical and Technical skills:

○Solid understanding of Statistics.

○Good aptitude for data analysis.

○Critical/ logic thinking.

○Familiar with programing language such as Python/R.

○Familiar with contemporary database systems.

Preferred/Desired Qualification

➢Working knowledge with data visualization tools (e.g. Spotfire, Tableau, etc) and mapping tools.

➢Working knowledge with collaboration tools such as Google Suite(Googlesite, Google Data Studio), Atlassian, Git, Bitbucket and Confluence.

➢Familiar with Machine Learning

➢Familiarity with marketing analytics, including designing experiment and consumer behavior analysis.

Additional Information

About NielsenIQ

NielsenIQ is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. We provide consumer packaged goods manufacturers/fast-moving consumer goods and retailers with accurate, actionable information and insights and a complete picture of the complex and changing marketplace that companies need to innovate and grow. Our approach marries proprietary NielsenIQ data with other data sources to help clients around the world understand what’s happening now, what’s happening next, and how to best act on this knowledge. We like to be in the middle of the action. That’s why you can find us at work in over 90 countries, covering more than 90% of the world’s population. For more information, visit www.niq.com.

NielsenIQ is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class"
Python for Data Analysis and Machine Learning,2023-01-26,2023-01-30 12:32:04,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=EfaVTndF7GgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Loctech Nigeria Limited,Full-time,NA,"Port Harcourt, Nigeria","Job Description/Requirements

Responsibilities:
• Python for Data Science and Machine Learning
• Use Spark for Big Data Analysis
• Implement Machine Learning Algorithms
• NumPy for Numerical Data
• Pandas for Data Analysis
• Matplotlib for Python Plotting
• Seaborn for statistical plots
• Plotly for interactive dynamic visualizations
• SciKit-Learn for Machine Learning Tasks
• K-Means Clustering
• Logistic Regression
• Linear Regression
• Random Forest and Decision Trees
• Natural Language Processing and Spam Filters
• Neural Networks
• Support Vector Machines

Requirements:
• A minimum of HND qualification
• At least 2 years of working experience
• Good communication skills
• Good attention to details"
"Data Scientist - Lagos, Nigeria",NA,2023-01-30 12:32:05,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=N24OtypXmI8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Airtel Nigeria (Airtel Networks Limited),Full-time,NA,"Lagos, Nigeria","Location: Lagos What Will You Do? If you are passionate about building, owning and operating massively scalable systems and experienced in being in a team of highly competent software engineers impacting millions of lives around you, here is an opportunity tailored for you. This job is responsible for extracting, analyzing and interpreting large amounts of data from a range of sources, using algorithmic, data mining, artificial intelligence, machine learning and statistical tools, in order to make it accessible to Airtel Business and its various LOBs. This requires that the candidate should have right combination of technical, analytical and communication skills. Key Accountabilities Identifying the data-analytics problems that offer the greatest opportunities to the organization Determining the correct data sets and variables Collecting large sets of structured and unstructured data from disparate sources Cleaning and validating the data to ensure accuracy, completeness, and... uniformity Devising and applying models and algorithms to mine the stores of big data Analyzing the data to identify patterns and trends Interpreting the data to discover solutions and opportunities Communicating findings to stakeholders using visualization and other means What Will Make You Successful? Bachelor's degree in Computer science, Social sciences, Physical sciences, and Statistics Master's degree in Data science, Mathematics, Astrophysics or any other related field (Add on) Excellent analytical and problem-solving skills Experience in database interrogation and analysis tools such as Hadoop, SQL and SAS. In depth knowledge of data analytical tools, preferably R Programming. Python, Java, Perl, or C/C++ coding expertise Sql/Database coding expertise. Knowledge of working on Apache Spark Experience on Data Visualization tools like ggplot, d3.js and Matplottlib, and Tableau or any other. Should have Machine Learning and AI skills. Exceptional communication and presentation skills in order to explain your work to people who don't understand the mechanics behind data analysis Effective listening skills in order to understand the requirements of the business Drive and the resilience to try new ideas if the first one doesn't work - you'll be expected to work with minimal supervision, so it's important that you're able to motivate yourself Planning, time management and organizational skills Ability to deliver under pressure and to tight deadlines Great attention to detail Team working skills and a collaborative approach to sharing ideas and finding solutions. Application Closing Date Not Specified. How to Apply Interested and qualified candidates should: Click here to apply onlinehttps://www.linkedin.com/jobs/view/2481468479"
Senior Machine Learning Engineer (Remote),NA,2023-01-30 12:32:05,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=DViABERQu2wAAAAAAAAAAA%3D%3D&fpstate=tldetail,WalletHub,Full-time,US$40K–US$70K a year,Nigeria (+2 others),"WalletHub, the #1 Personal Finance App in the US and one of Forbes Top 100 Best StartUp Employers for both 2020 and 2021, is rapidly growing and looking for a highly experienced and motivated Senior Machine Learning Engineer for a full-time, permanent position.

The main objective of the Data Science/Machine Learning Team is to improve WalletHub's services and core product. This has a direct impact on the overall user experience.

Making the right personal finance decisions by sifting through vast amounts of available information can be a daunting task for almost anyone. This is because a large number of interrelated factors need to be taken into account when making such decisions.

By designing and constructing data-driven models, the Data Science/Machine Learning Team is able to provide our users with indispensable knowledge and meaningful advice on how they can achieve their personal finance goals.

Such goals include:
• Selecting the best financial products for your needs
• Taking... the right actions to improve your credit score
• Anticipate your future financial health based on your current financial status and history

With these goals in mind, our Data Scientists/Machine Learning Engineers use the latest cloud technologies and machine learning tools in order to exploit the potential of data analytics. We always have new and interesting projects on the horizon that aim to help our users reach their personal finance aspirations!

Responsibilities
• Modeling complex problems, discovering insights and identifying opportunities through the use of statistical, algorithmic, mining and visualization techniques
• Participating in the areas of architecture, design, implementation, and testing
• Proposing innovative ways to look at problems by using data mining approaches on the set of information available
• Designing experiments, testing hypotheses, and building models
• Conducting advanced data analysis and designing highly complex algorithm
• Applying advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple real-time decision systems

Qualifications

You are the ideal candidate for this job if you have:
• At least 4 years experience in Python and MySQL (or any relational database)
• Min. 2 years of experience as a Data Scientist
• Experience with databases
• Experience in machine learning frameworks and libraries
• Machine learning concepts and techniques: Regularization, Boosting, Random Forests, Decision Trees, Bayesian models, Neural networks, Support Vector Machines (SVM)
• Experience with the whole ETL data cycle (extract, validate, transform, clean, aggregate, audit, archive)
• Computer Science or Mathematics or Physics degree
• Excellent communication and analytical skills
• Willingness to work hard (50 hrs per week)
• Very good English

Nice to have but not required
• Experience with Apache Spark
• Natural Language Processing (tokenization, tagging, sentiment analysis, entity recognition, summarization)

Compensation
• Very competitive salary based on prior experience and qualifications
• Potential for stock options after the first year
• Raise and advancement opportunities based on periodic evaluations
• Visa sponsorship (after 18 months with the company, based on performance, in case you will be working from outside the US).

Notes

Expected work schedule is 50 hours/week, Monday to Friday. This position requires a full overlap with EST business hours (8AM - 7PM ET, including 1 hr break).

Although we appreciate your interest in working with us, due to the high number of applications we receive, we will only be able to reply to successful applicants.

More about WalletHub

WalletHub, the #1 Personal Finance App in the US and one of Forbes’ Top 100 Best StartUp Employers for both 2020 and 2021, is seeking hardworking, like-minded individuals to help us disrupt personal finance and make a tangible difference in people's everyday lives.

More specifically, we are harnessing the power of data analytics and artificial intelligence to build the brain of a smart financial advisor, whose services we’re offering to everyone for free. The WalletHub brain enables users to make better financial decisions in a fraction of the time with three unique features:
• Customized Credit-Improvement Tips: WalletHub identifies improvement opportunities and guides you through the necessary corrections.
• Personalized Money-Saving Advice: WalletHub’s savings brain constantly scours the market for load-lightening opportunities, bringing you only the best deals.
• Wallet Surveillance: Personal finance isn’t as scary with 24/7 credit monitoring providing backup, notifying you of important credit-report changes.

WalletHub’s initial focus was in the credit card space, and we quickly became the go-to credit card resource for consumers and industry professionals alike. Not only did the nonprofit group Consumer Action rate WalletHub as the best credit card website, but our industry research and expert opinions are featured in the national media far more often than any other company in the space.

In addition to the valuable intelligence the brain provides, WalletHub is the first service to offer free credit scores and full credit reports that are updated on a daily basis absent of user interaction, rather than weekly or monthly and only when a user logs in. Some other services hang their hats on free credit scores and reports, yet they’re still inferior to what WalletHub considers minor pieces to a much larger puzzle.

WalletHub focuses on Fin Tech. Their company has offices in Washington DC. They have a mid-size team that's between 51-200 employees.

You can view their website at http://www.wallethub.com or find them on Facebook and LinkedIn"
"Senior Data Scientist in Edo, Nigeria",NA,2023-01-30 12:32:05,https://www.google.com/search?q=Machine+Learning+Jobs+Nigeria&ibp=htl;jobs&sa=X&ved=2ahUKEwiA-O2mhPD8AhXNCTQIHfdNC3YQutcGKAF6BAgcEAU#htivrt=jobs&htidocid=_n4vbCGkfAkAAAAAAAAAAA%3D%3D&fpstate=tldetail,dipolediamond,Full-time,NA,"Lagos, Nigeria","As a Senior Data Scientist, you will turn raw data into valuable insights that an organisation needs in order to grow and compete. Interpret and analyse data from multiple sources to come up with imaginative solutions to problems.

Responsibilities

As Senior Applied Data Scientist, your responsibilities will be to:

 Work with clients, managers and technical staff to understand business needs and develop technical plans to deliver results.

 Develop, deploy, and implement predictive models and protocols for mining production data sources.

 Appropriately deliver existing analytic methods and tools; applying theory to practice.

 Learn new analytic methods and tools as needed.

 Create analytic models and test hypotheses collaboratively in a rapid-paced work environment to meet client needs.

 Responsible for solution and code quality including providing detailed and constructive design and code reviews

 Help establish standards in machine learning and statistical analysis to... ensure consistency in quality across projects and teams

 Lead data science consulting engagements on the ground.

Requirements

Have a strong foundation in statistics and data analytics with expertise in survey research and statistical modelling.

 Experience with one or more data science toolkits such as R, Python, Matlab, Rapidminer, SAS or SPSS.

 Have experience with traditional data mining tools (SQL, Power BI, OLAP, advanced EXCEL, etc.) and ‘Big Data’ tools/techniques (Hadoop, etc.)

 Have experience with machine learning algorithms and classifiers such as k-NN, Naive Bayes, SVM, Random Forest, Linear Regression, ARIMA, Neural Nets, Deep learning, etc.

 Are familiar with applied statistics such as probability distributions, measures of dispersion and central tendency, hypothesis testing and statistical inferences.

 Possess demonstrable experience of delivering a wide variety of machine learning techniques including classifiers, regression, clustering, decisions trees, neural networks, NLP and ensemble techniques

 Understand data visualization patterns and have experience with one or more data visualization tools such as Tableau, R Shiny, Seaborn, MicroStrategy, SAP BusinessObjects, QlikView, etc.

 Have a keen understanding of the business value perspective on predictive analytics.

 Have experience deploying and monitoring predictive models"
