Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
PH - Machine Learning Engineer,2023-01-26,2023-01-30 12:33:06,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=tK96l2jmYpEAAAAAAAAAAA%3D%3D&fpstate=tldetail,"Thinking Machines Data Science, Inc.",Full-time,NA,"Taguig, Metro Manila, Philippines","Working at Thinking Machines

Thinking Machines is a technology consultancy building AI & data platforms to solve high impact problems for our clients. Our vision is for Southeast Asia to become a global hub for data science. To do that, we create data cultures one organization at a time.

We’re a company made up of intellectually curious, civic-minded, forever-learning individuals. We believe that great data science products are built with care for people, and that the best way to drive inclusive innovation is to start with a diverse team.

Our field of work is incredibly dynamic, so we want to work with people who are committed to growing with us. We want to hire people who can demonstrate an ability to learn, then provide them with personalized coaching, growth opportunities, and a great working environment to get them to world-class.

Role Description

As a Machine Learning Engineer, your main responsibility will be building large, scalable solutions for big data problems. You... will be highly involved with the various machine learning specialization teams, transforming their work into systems that are able to handle immense amounts of data. To do this, you will be expected to approach problems from many different ways: from leveraging cloud solutions in order to process embarrassingly parallel data problems, to picking apart and writing your own algorithms to speed up computations. Through this practice, you will be cutting down processing time from literal years to mere days, hours, or even minutes, all while being within budget.

You will also be involved in creating machine learning production systems, akin to DevOps, called MLOps. Your main challenge will be building, deploying, and maintaining highly reliable and available systems, powered by the machine learning models we create, that live in real-world production environments. This is especially important for ML projects with user application components, which need to consume and interact with our machine learning models, be it through an API that serves real-time predictions, or feedback mechanisms to continually update them.

Overall, you will be an engineer specializing in handling machine learning components for parallelization and productionalization. You are expected to have a solid engineering sense to piece together solutions from all available tools, as well as strong algorithmic thinking to create one if it does not yet exist.

Since the startup space can get crazy, we are looking for someone who is up for any challenge and has the initiative to seek out ways to be useful. We move fast, and we expect you to keep up!
Requirements

We’re looking for someone who meets the following profile:
• Enjoys coding - You must be very comfortable with writing and explaining code.
• Great code hygiene - You are not the only one who will read and work on your code. You must be able to write clean, clear, and maintainable code for the whole team.
• Enjoys optimization problems - You will be working on algorithms that you may not have created, and have to find ways to maximize every step of it.
• Builds things fast - Time is our most precious resource. You can always throw money at things to make them faster but that’s not very engineer-y.
• Builds sustainably - It’s okay to labor over a new thing once or twice, but if we have to do this a third time, we need to think of how to scale it with less effort. Suggest best practices, create frameworks, build reusable code!
• Communication skills - You’ll be explaining things during most conversations either internally or externally. Therefore, you need to know how to phrase yourself to be understandable depending on who you’re talking to. Documenting your code is a given, and you also need to write technical documentation in the form of manuals, guidelines, etc.
• High initiative - Sometimes, the team won’t know that they need you. You need to be aware of the projects people are working on and support when applicable. You don’t need to know how to use/fix the printer.

Additionally, we are requiring Philippine candidates to have an internet connection speed of at least 12 mbps and a viable work from home setup as we are now operating as a fully remote company.

Qualifications and competencies

This position requires the following minimum technical skills and experience:
• 2+ years working experience as a software engineer, DevOps, or similar backgrounds
• Proficiency on version control tools (preferably Git) and modern terminals
• Demonstrated experience using DevOps concepts and tools such as:
• Continuous deployment and integration
• Automated testing
• Docker and Kubernetes, or similar alternatives
• Working knowledge of ML modules such as sklearn, torch, keras
• Working knowledge of web services and scraping

Bonus points for experience working on Google Cloud Platform, AWS, or similar cloud providers, and can demonstrate reasonable knowledge of its architecture and moving components. Further bonus points if you have already performed ML Ops at a professional capacity.

Benefits and Perks

We offer the following compensation and benefits:
• Competitive salary — the compensation amount is positively correlated with the difficulty of the job, relevant experience, fit, and skill factors.
• Fully remote — due to the global pandemic, we have shifted to a fully remote company for the foreseeable future while we monitor the situation.
• Individual professional development budget— an annual budget for conferences, training courses, books, and software is available to sharpen your skills and build new ones to help you grow in your role.
• Full health benefits — generous health insurance package upon hiring.
• Regular 1:1 meetings with the leadership team to discuss career and personal goals, job progress and any questions and concerns"
Data and Machine Learning Engineer,NA,2023-01-30 12:33:07,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=JnMOX2MX-JcAAAAAAAAAAA%3D%3D&fpstate=tldetail,Expedock,Contractor,NA,"Makati, Metro Manila, Philippines","Data and Machine Learning software engineers at Expedock will be responsible for building machine learning models that operate on a high volume of shipment and semi-structured document data. Engineers will be involved in model construction and data engineering work with a variety of languages and frameworks, notably Python, Pandas, Pytorch and Scikit-Learn. Engineers will work closely with our product and design teams to define the machine learning roadmap and build impactful products, have a high degree of ownership over the products that they help build, and spend their time on meaningful, interesting technical problems, and mentor junior engineers on the team.

Responsibilities
• Develop classifiers and tools leveraging machine learning, data regression, and rule-based models
• Adapt and deploy models in a modern data infrastructure
• Work with product and design teams to suggest and collect requirements to build our machine learning roadmap
• Code deliverables with the engineering... team
• Participate in code reviews
• Mentor junior engineers on the team"
Data Engineer (Data lake / Python / AI / Machine Learning),2023-01-02,2023-01-30 12:33:07,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=NOXRLaLyF_MAAAAAAAAAAA%3D%3D&fpstate=tldetail,Wisecloud Inc,Full-time,NA,"Taguig, Metro Manila, Philippines","WiseCloud Inc. is a recruitment company based in Manila with Swedish management and owners that recruits talents to work for Swedish tech companies. Our partners in Sweden are emerging tech companies that use the latest in tech and enjoy the laidback Swedish management culture.

﻿﻿Our success in the Philippines comes mainly from the company culture we have. Our laidback, soft-spoken, and very happy environment is made to be a great thing for our employees. For us our employees are really the most important asset we have, we treat them also exactly like that. Because, those who don't want to be seen, or listened to, take responsibility for their own work, and develop as a human.
﻿
If you like to work in a big company with 500+ employees, please stop reading now. it´s not us.
﻿
﻿Do you want to be a part of something amazing with a lot of cool Swedish Tech people that need talents?
﻿Do you want to join our laid-back environment?
﻿Are you fed up with long working hours to meet a goal or... timeline?
﻿Are you working graveyard shift for a cool American company that really knows how to get the last drop of work out of anyone?
﻿
﻿Then I want you to send us a message or apply to this opening, we might be a good place for you to rest and have the time to do a great job.
﻿
﻿Our long-time partner Bluecom AB looking for a person that is interested in AI and Machine learning.
﻿Bluecom has been the sole provider of IT solutions to the biggest sports league in Sweden where the idea is to gather all kinds of data through their systems into a data lake that's used to generate income.
﻿All this data are handled and processed and this is where YOU come in.

﻿Your mainly tasks will be :
• Validation and monitoring incoming data
• Create and build new integrations to data lakes through export and import of data.
• Support in the data lake field﻿

﻿﻿Required skills﻿ :
• Bachelor in IT
• At least some work experience
• Know how to use Python programming language
• Have a STRONG interest in AI and Machine learning

Good to have :
• ﻿Experience with Elastic Search, Kafka, NIFI or Kibana
• Knows about dataflows and data streaming

So are you a person that really wants to work with the latest in technology in one of the hottest tech companies in Sweden, Don't wait with your application!

What you get from us :
• Anticipate a regularization increase in your 6th month.
• Annual salary increase based on your performance.
• Tax-Free allowances are incorporated into your pay.
• Employee health is our top priority, so everyone gets a Medical and Life Insurance package from day one. (With possible level-ups)
• Leave credits you can enjoy for vacation and travels with family because we believe that work-life balance matters!
• Afterworks, lunches, and outings are of course included. (If office work)
• If you live in Manila we use a hybrid kind of setup with some days at the office and some days at work (If the distance is ok)

Working at WiseCloud Inc :

Working has never felt this good. Our success in the Philippines comes mainly from the company culture we have. Our laidback, soft-spoken, and very happy environment is made to be a great thing for our employees. For us our employees are really the most important asset we have, we treat them also exactly like that. Because, those who don't want to be seen, or listened to, take responsibility for their own work, and develop as a human.

Our office is in BGC, Manila.. and we will do everything to get you there to work with help with transport, free lunch sometimes and Wisecloud Afterwork once a month.

Drink, coffee and of course ""Swedish Fika"" is always present.

And awesome colleagues"
Linux Support Engineer - Philippines,NA,2023-01-30 12:33:08,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=RvPkr8rmCGkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Lambda,Full-time,NA,Philippines,"Lambda's GPU cloud is used by deep learning engineers at Stanford, Berkeley, and MIT. Lambda's on-prem systems power research and engineering at Intel, Microsoft, Kaiser Permanente, major universities, and the Department of Defense.

If you'd like to build the world's best deep learning cloud, join us.

About the Role

Lambda is growing! Come work at a profitable startup where we’re building powerful research computers and software for Machine Learning and Artificial Intelligence experts around the world.

We’re looking for a Linux technical support engineer who wants to help provide our customers with world class UNIX / Linux support for their GPU servers, workstations, laptops, and cloud instances. We’re looking for someone who is inherently hands-on, yet has the know-how and would be ready to take the next step forward in their career at a startup, drive change and build for growth in order to help scale the company. This role is a great way to gain experience and understanding in... how to run an enterprise level hardware / software cluster, which is a great stepping stone into future opportunities. We’re looking for those who want a front row seat to the ML space. You won't be supporting run of the mill tech, you'll be exposed to ML frameworks and working with on the edge companies.

What You’ll Do
• Be first point of contact for all incoming technical support questions (phone, email, chat, and forum)
• Troubleshoot software and hardware issues for customers
• Document solutions to common problems

You
• Have professional Linux administration experience
• Have computer hardware experience
• Have Shell and Python scripting proficiency
• Have networking experience
• Have Excellent written and oral communication skills

Nice to Have
• Familiarity with ML / AI / Deep Learning.

About Lambda
• We offer generous cash compensation
• Investors include Gradient Ventures, Google’s AI-focused venture fund
• We are experiencing extremely high demand for our systems, with quarter over quarter, year over year profitability
• Our research papers have been accepted into top machine learning and graphics conferences, including NeurIPS, ICCV, SIGGRAPH, and TOG
• We have a wildly talented team of 100, and are growing fast
• Our remote workforce, based on role, is across the U.S., with headquarters in San Francisco
• Health, dental, and vision coverage for you and your dependents
• Commuter/Work from home stipends
• 401k Plan
• Flexible Paid Time Off Plan that we all actually use

A Final Note

You do not need to match all of the listed expectations to apply for this position. We are committed to building a team with a variety of backgrounds, experiences, and skills.

Equal Opportunity Employer

Lambda Labs is an Equal Opportunity employer. Applicants are considered without regard to race, color, religion, creed, national origin, age, sex, gender, marital status, sexual orientation and identity, genetic information, veteran status, citizenship, or any other factors prohibited by local, state, or federal law.

Lambda focuses on Machine Learning, Artificial Intelligence, Hardware + Software, and Deep Learning. Their company has offices in San Francisco. They have a mid-size team that's between 51-200 employees. To date, Lambda has raised $24.5M of funding; their latest round was closed on July 2021.

You can view their website at http://lambdalabs.com or find them on Twitter, Facebook, and LinkedIn"
PH - Software Engineer,2023-01-30,2023-01-30 12:33:08,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=lwo1Kj6ZRWYAAAAAAAAAAA%3D%3D&fpstate=tldetail,"Thinking Machines Data Science, Inc.",Full-time,NA,"Taguig, Metro Manila, Philippines","Working at Thinking Machines

Thinking Machines is a technology consultancy building AI & data platforms to solve high impact problems for our clients. Our vision is for Southeast Asia to become a global hub for data science. To do that, we create data cultures, one organization at a time.

We’re a company made up of intellectually curious, civic-minded, forever-learning individuals. We believe that great data science products are built with care for people, and that the best way to drive inclusive innovation is to start with a diverse team.

Our field of work is incredibly dynamic, so we want to work with people who are committed to growing with us. We want to hire people who can demonstrate an ability to learn, then provide them with personalized coaching, growth opportunities, and a great working environment to get them to world-class.

Role Description

As a Software Engineer, you will be working with our team to create and maintain web apps that our clients will use to interact... with our machine learning products and data pipelines. It will be your job to make sure our users can intuitively make sense of our solutions. This can be in the form of an interactive map with various feature layers, a custom dashboard with features beyond Tableau’s capabilities, a knowledge base that leverages our ML predictions, or a mobile web app that uses the camera to classify different items in a store shelf. No two projects will be completely the same!

You will be involved in designing, creating, and maintaining both frontend and backend components. If you have been focusing on one over the other thus far, we still encourage you to apply, but expect that you will need to train up to become a full-stack developer to be fully effective in the team.

You must be comfortable working with APIs -- expect to build web applications that will consume both internal and external APIs. You will also be responsible for building and maintaining web services that will interface our ML models with apps.

At the end of the day, we are committed to giving our clients the best user experience when using our web apps.

Across the board, you are expected to have great code hygiene. Readable, documented code is at the core of our collaborative projects. Even better if you are already routinely testing your code. Finally, it is very important that you are comfortable using version control systems (ideally git).

Since the scale-up space can get crazy, we are looking for someone who is up for any challenge and has the initiative to seek out ways to be useful. We move fast, and we expect you to keep up!
Requirements

We’re looking for someone who meets the following profile:
• Enjoys coding - You must be very comfortable with writing and explaining code.
• Great code hygiene - You are not the only one who will read and work on your code. You must be able to write clean, clear, and maintainable code for the whole team.
• Makes things fast - Time is our most precious resource. You can always throw money at things to make them faster but that’s not very engineer-y.
• Builds sustainably - It’s okay to labor over a new thing once or twice, but if we have to do this a third time, we need to think of how to scale it with less effort. Suggest best practices, create frameworks, build reusable code!
• Communication skills - You’ll be explaining things during most conversations either internally or externally. Therefore, you need to know how to phrase yourself to be understandable depending on who you’re talking to. Documenting your code is a given, and you also need to write technical documentation in the form of manuals, guidelines, etc.
• High initiative - Sometimes, the team won’t know that they need you. You need to be aware of the projects people are working on and support when applicable. You don’t need to know how to use/fix the printer.
Qualifications and Competencies

At its core, we need engineers that have strong fundamental, language-agnostic skills. You must be able to create web apps as well as design and build APIs. We believe that great engineers do not necessarily perfectly match our tech stack in the beginning, but will be able to pick it up quickly.

High preference for candidates that have:
• 3 years of working experience on web development
• Experience with working on different cloud computing platforms
• GCP or AWS
• Experience using some or all of our usual tech stack
• Python, Javascript
• Vue.js, React
• Django, Flask, FastAPI
• Airflow, Dagster
• Experience working with any SQL/NoSQL databases
• PostgreSQL
• Elasticsearch
• Experience working with git
• Bonus if you have experience with trunk-based development

Benefits and Perks

We offer the following compensation and benefits:
• Competitive salary — the compensation amount is positively correlated with the difficulty and scope of the job, relevant experience, fit, and skill factors.
• Fully remote — due to the global pandemic, we have shifted to a fully remote company for the foreseeable future while we monitor the situation.
• Individual professional development budget — an annual budget for conferences, training courses, books, and software are available to sharpen your skills and build new ones to help you grow in your role.
• Full health benefits — generous health insurance package.
• Regular 1:1 meetings with the leadership team to discuss career and personal goals, job progress and any questions and concerns"
Software Engineering Lead- Machine Learning,NA,2023-01-30 12:33:08,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=aKhj3yLpmKoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Michael Page Philippines,Full-time,NA,Philippines,"About Our Client

Top branding internet company.

Job Description
• Lead a small team of software engineers working on recommendation system; * Build and maintain online services for recommendation system； * Build extremely efficient and reliable data pipelines for candidates generation, profile generation, training examples generation, realtime online training, etc; * Build globalized large-scale recommendation system; * Design and develop high performance computing frameworks and storage systems.

The Successful Applicant
• Bachelor's degree or above, majoring in Computer Science, or related fields, with 3+ years of experience building scalable system; * Experience in programming, included but not limited to, the following programming languages: C, C++, Java or Golang; * Effective communication skills and a sense of ownership and drive; * Experienced in at least one area of the following areas: personalized recommendations, search engine, machine learning, distributed storage... system, big data frameworks is a plus.

What's on Offer

Competitive salary

Work-life balance

Stock option"
Machine Learning Engineer (Temp. Work from Home),2023-01-13,2023-01-30 12:33:09,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=SCssKm-3CnMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Nityo Infotech Services Philippines Inc.,Full-time,NA,"Taguig, Metro Manila, Philippines","Job Summary

Ubiquity is hiring for a Machine Learning Engineer to join our team. The Machine Learning Engineer has overall responsibility for developing machine learning techniques and algorithms required for Ubiquity’s product platforms. He/she provides support during demo as well as project phase by defining requirements and creating solutions required for proper data processing and decision making of software products.

What it will do:
• Provide Machine Learning / Deep Learning algorithms and solutions for data processing and analysis required per project.
• Work together with the software engineering team for software solution integration, to ensure software product deployment and integrity. Support the software team with programming if necessary.
• Provide Machine Learning and algorithm expertise and develop requirement documents collaboratively with project teams. Provide guidance for data collection and annotation process, based on requirement of the Machine Learning... algorithm development.
• Maintain Machine Learning solution as a part of the software product.
• Provide ongoing solution development to meet project target, and reengineer solution as needed.

What do we need from you?
• You have 3+ years' experience as a machine learning engineer or scientist, deploying models in production at scale. Experience deploying models as a part of a (possibly stateful) microservice is strongly desired.
• You are passionate about directly optimizing core products or operations through AI/ML systems deployed to production.
• You care deeply about exploring data and understanding the real-life user behavior and processes that generate it.
• You are an expert in Python's open-source machine learning ecosystem. Experience with tensorflow or pytorch is strongly desired.
• Experience with Object Oriented Programming (OOP) paradigm and related concepts.
• Independent and innovative thinker with an ability to work in an autonomous environment.
• You excel at communicating progress, trade-offs, and the results of your work to team members from other functions.

What We Do.

Ubiquity delivers business process outsourcing and advisory solutions across customer service, technology, and operations. Focused on transforming the Client experience through data, applied science, and an unprecedented passion for people, Ubiquity offers deep industry and practical expertise across four continents on behalf of 150 brands and counting.

We want you.

We’re committed to creating an inclusive employee experience for all. Regardless of race, gender, religion, sexual orientation, or disability, we believe that we’re at our best when everyone feels free to be their most authentic self"
AI Engineer Consultant,NA,2023-01-30 12:33:09,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=myEMEKgQ5IMAAAAAAAAAAA%3D%3D&fpstate=tldetail,AIA Hong Kong,Full-time,NA,"Taguig, Metro Manila, Philippines","At AIA we’ve started an exciting movement to create a healthier, more sustainable future for everyone.

As pioneering innovators for over 100 years, we’re now transforming our organisation to be faster, simpler and more connected. Because we want to be even better equipped to develop digital solutions and experiences that help more people live Healthier, Longer, Better Lives.

To get there, we need people with tech/digital/analytics expertise and passion to help develop positive, sustainable change through digitally enhanced experiences that will impact the lives of millions of people and create a healthier future for everyone.

If you believe in developing a better tomorrow, read on.

WE ARE LOOKING FOR .....

• Implement ETL pipelines in Azure cloud environment for reporting and analytics projects
• Monitor and support existing BAU pipelines in Azure cloud platform
Provide infrastructure support to Azure cloud platform users as a part of the admin team

Roles and Responsibilities:
•... Design and implement MLOPS, i.e. set of tools and operating models used to deploy and maintain machine learning models in production reliably and efficiently
• Act as a bridge between data scientists and IT & data engineers & data architects, especially during development & production architecture design & set-up
• Test and optimizing machine learning models and algorithms before they go in production
• Assist in monitoring and retraining models when needed

Minimum Job Requirements:
• Degree in computer science, math, statistics or related
• Strong knowledge and experience in Python
• Strong knowledge and experience in MLOPS
• Strong communication skills in English, both spoken and written
• Strong knowledge and experience in machine learning and statistics
• Strong Software engineering skills
• Good knowledge of Agile, DevOps, TDD, CI/CD tools & methodologies
• Familiar with Azure Databricks, MLFLOW, Dockers, Kubernetes
• Familiar with DB/Cache systems like SQL Server, MongoDB, Redis, etc.
• Strong analytical, problem-solving and teamwork skills
• 3+ years of relevant experience

Nice to Have:
• Good knowledge of Microsoft Azure stack (AMLS, Synapse, Data Factory, etc.)
• Strong knowledge of Databricks
• Strong knowledge of pySpark & SQL
• Strong experience in Python web framework like Flask, Django, FastAPI, etc.Strong knowledge of RDBMS and 2+ NoSQL database

Build a career with us as we help our customers and the community live Healthier, Longer, Better Lives.

You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date"
Data Science Manager,NA,2023-01-30 12:33:09,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=NScTTzdI9c0AAAAAAAAAAA%3D%3D&fpstate=tldetail,MSD,Full-time,NA,"Makati, Metro Manila, Philippines","Job Description
• Join a Global Innovative Pharmaceutical Company
• Supportive and flexible team culture
• Great opportunity for Personal and Professional development

Summary of Job Scope:

The Data Scientist will primarily be responsible for bringing an analytics mindset to the organization to ensure that critical business decisions are informed by data.

Key Responsibilities
• Understand business requirements and deliver data-driven insights to inform a go/no go decision on business strategies, using advanced analytics.
• Lead & guide the Business Units and other departments in identifying the data-analytics problems that offer the greatest opportunities to the organization.
• Evaluate and decide on appropriate statistical tools, machine learning and artificial intelligence needed to analyze data and answer business problems.
• Devise and apply models and algorithms to mine large sets of structured and unstructured data from disparate sources.
• Communicate advanced analytics use... case findings/insights, results and recommendations to stakeholders.
• Design and implement Data & Analytics training initiatives to educate and build the skills and competencies of all internal stakeholders on Data & Analytics.
• Co-develop (with the Data Lead) a continuing DnA training curriculum for various stakeholders.
• Lead DnA ""expert"" discussions and application workshops among BUs and other departments.
• Conduct training sessions/workshops within the Company, and if needed, among 3rd party partners of the company
• Identify, design, and implement internal process improvements and software solutions to organize data, assemble large & complex data sets and maintain optimal data pipeline and architecture.
• Lead, advise and mentor the local Data & Analytics team in administration, system automation, development and improvement of internal business processes related to data management.
• Work closely with all levels of the organization influencing and educating the business on data issues and opportunities, communicating the impact on complex processes, and establishing data quality metrics and targets.
• * Establish network and collaborate with the Digital & Data Analytics community in AP & Global to leverage and enable sharing of DnA approaches, processes, technology, and country-specific use cases/projects.

Education level:
• University degree (BS Data Science, Computer Science, Computer Engineering, IT, Math or Statistics)

Experience:
• Minimum: 3 years in Data Science/Analytics role
• Understanding of the pharmaceutical industry/market and operations preferred, but not required.

Skills/Capabilities:
• Highly knowledgeable and skilled in statistical and machine learning tools/techniques, Artificial Intelligence, computer programming languages (python, R, SQL, etc.) which help to draw insights from data.
• Strong communication and presentation skills
• Ability to mentor/support local teams in data visualizations, data management & analytics
• Highly developed analytical skills: ability to synthesize and interpret data/insights into recommendations/inputs.
• Excellent project management and cross-functional team collaboration skills
• Well-developed stakeholder engagement skills with the ability to effectively communicate with various stakeholders including those at the executive level

Current Employees apply HERE

Current Contingent Workers apply HERE

Search Firm Representatives Please Read Carefully
Merck & Co., Inc., Rahway, NJ, USA, also known as Merck Sharp & Dohme LLC, Rahway, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails.

Employee Status:
Regular

Relocation:
No relocation

VISA Sponsorship:

Travel Requirements:

Flexible Work Arrangements:

Shift:

Valid Driving License:

Hazardous Material(s):

Number of Openings:
1

Requisition ID:R211980"
Analytics Engineer,2023-01-19,2023-01-30 12:33:10,https://www.google.com/search?q=Machine+Learning+Jobs+Philippines&ibp=htl;jobs&sa=X&ved=2ahUKEwiM78vFhPD8AhVTAjQIHZXLAM8QutcGKAF6BAgaEAU#htivrt=jobs&htidocid=z0xmNc-aX2gAAAAAAAAAAA%3D%3D&fpstate=tldetail,InDebted,Contractor,"US$103,432–US$175,000 a year",Philippines,"About UsCommitted to making a difference, InDebted was founded to change the world of consumer debt recovery for good. We're disrupting a broken industry and creating a better way for businesses to recover debt - where the customer comes first.We’re a global, digital first and customer-obsessed team of over 270 people, living and working across 11 different countries.And we’ve also recently been named the AFR BOSS Best Place to Work! By focusing on the happiness and wellbeing of our people, we’ve created a truly flexible, purpose driven and engaging workplace. We’re all here with one shared vision - to remove barriers to financial freedom for all people.About the Role:We are developing machine learning models, BI insights dashboards and other data driven approaches to accelerate our disruption of the traditional debt collection industry. By utilising the rich datasets we have accumulated from communicating with our customers via digital-first channels and other innovations, we are... able to efficiently deliver significantly better results compared to our peers. Be part of this exciting journey as an analytics engineer in our Analytics & Insights team working with our data analysts and data engineers to develop robust data pipelines. Duties and Responsibilities Develop data pipelines using Python and associated orchestration tools and processes.Deploy data pipelines following best practice DevOps principles and incorporating automated testing.Work with key stakeholders to perform data analysis and investigations, including presenting key insights to business users to support data-driven decision making.Drive a culture of continuous analytics improvement to advance data literacy across the organisation.Be a team player, foster a speed-oriented culture in our data team and help to cultivate a fast-growing team.Work autonomously and make decisions collaboratively, within a team that will support and challenge you as you grow and develop. Experience and Skills Must HaveStrong development skills in PythonExperience writing SQL queries for extracting and processing dataExperience with data structure and data modelling, as well as translating business requirements to fit the purposeExperience using Git version controlComfort working within a fast-paced environment where priorities may change frequentlyNice to HaveExperience deploying data pipelines following best practice, including writing automated testsExperience with orchestration tools such as Dagster and data processing frameworksExperience working with event-oriented data structuresExperience working with BI tools (in particular Tableau)Familiarity with data transformation tools such as dbtFamiliarity with SnowflakeFamiliarity with AWS (or other cloud platforms)Excellent verbal and written communication skills with the ability to understand and explain complex concepts to technical and non-technical audiences.Our Benefits At InDebted, you get a lot more than just a highly rewarding and exciting career, we also offer:4DWW - Not a compressed working week, but actually work 4 days, be paid for 5Work wherever - We’re a global team working in flexible locations - choose to work from home, in a co-working space, a bit of both, or see where the role takes you Employee equity - Access to share options in something bigFlexible paid leave - We offer a trust based leave model - choose when you take leave, how much you take, and what you take it forRemote Work Stipend - A quarterly budget to spend on the items you need to create a working environment that supports your success and productivityUprise - Our EAP Provider supports your physical, social & psychological wellbeingAt InDebted, we respect and celebrate the unique attributes, characteristics, and perspectives that make each person who they are. We also believe that bringing diverse individuals together allows us to build better products and a better overall company. InDebted is an Equal Opportunity Employer.Indebted is also a proud 2022 Circle Back Initiative Global Employer and we commit to respond to every applicant"
