Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer | Data Engineer,NA,2023-01-30 12:33:55,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=2qpnVb6Ibi0AAAAAAAAAAA%3D%3D&fpstate=tldetail,DBServices Portugal,Full-time,NA,"Porto, Portugal","Company Description

Who is DBServices

We are positioned to help organizations in their digital transformation process by promoting innovation and optimizing legacy systems with our Digital Services. We are a spinoff of DBServer in Portugal, one of the largest and best software development companies in Brazil with more than 28 years of experience and 500+ projects successfully delivered.

What we DO

Digital Business Services. Advisory & Transformation Consulting in Cloud Migration, DevOps, QAOps, FinOps. Specialized in Test Automation, Tools and Test Frameworks (ATM, SAP), TDD, Unit Testing, Performance & Security Testing and Inspection.

DBLab is focused on MVPs, Prototyping and Proofs of Concept. Innovation is in our blood. Let us help you to focus on your Business while we Design+Build breakthrough and leading-edge solutions.

Agile Projects Custom Software Development. Software that meets the unique processes of your business, solves your specific problems, satisfies your... exclusive needs and makes your workflows easier, faster, and more efficient.

Team Extension increases the capacity of your teams with the excellence level you would expect when hiring local resources. Our teams can work seamlessly as part of your teams or work as autonomous squads.

Job Description

Machine Learning Engineer | Data Engineer

Qualifications
• Proven experience as MLE/DE
• BSc in Computer Science or a similar field, with a very solid Spark and Python programming experience; Scala is a plus - for creating data pipelines that will fuel machine learning models in an Azure Databricks based environment
• Proven experience with the engineering aspects of popular machine learning practices, libraries, and platforms - such as the ones that allow serving and productionasing machine learning models
• Acquaintance with CD4ML and MLOps, software design patterns and RESTful APIs
• Main tech stack: Databricks, Spark, Airflow, MLflow, MLeap, Kafka, Delta Lake and Azure ADLS (Parquet, Avro), Azure Devops.
• Proficient in code versioning tools: Github
• Strong English communicator.
• Comfortable with an Agile methologies (Scrum, Kanban) using Jira Agile

OUT OF SCOPE: Front-end development. Data Science, in the way that he will not research, apply, create and train statistical / math / machine learning models. - Apply advanced Machine Learning (e.g. NLP, CV, Mathematical Optimization).

Additional Information
• Necessary to live in Portugal"
Staff Machine Learning Engineer,2023-01-11,2023-01-30 12:33:56,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=JGbe7BP4Ld8AAAAAAAAAAA%3D%3D&fpstate=tldetail,PagerDuty External,Full-time,NA,"Lisbon, Portugal","Why We Need You:

We’re looking for a staff-level engineer and a proven technical leader passionate about successfully collaborating with data scientists and engineers to run machine learning models in production. We expect you to understand the requirements from the Data Science, and Product teams and drive alignment with Engineering teams on design patterns and best practices to support the business.

You are expected to anticipate data science & engineering-related bottlenecks, suggest escalation and investment wherever necessary, communicate immediate and long-term technical as well as strategic solutions and trade-offs, and will possess an excellent capacity to manage time. In addition, you will demonstrate emotional intelligence as you navigate stakeholder relationships championing and scoping the organization's data science and machine learning initiatives.

How you contribute to our vision: Key Responsibilities
• Build and improve the capabilities that enable and accelerate... the production of machine learning (ML) based solutions
• Drive and define standards for data engineering across the organization
• Provide guidance, technical leadership, and mentoring to other members of the team
• Proactively recommend improvements and new approaches addressing potential systemic pain points and technical debt
• Mentor junior members and participate in scaling up the existing team
• Develop a long-term plan for data science investments

Minimum Requirements
• You have 8+ years of experience building, designing, and evolving data architecture for large-scale systems
• Experience working with Product teams ensuring and driving a timely delivery
• Have a deep understanding of the trade-offs to be considered when designing and delivering machine learning solutions to production
• Demonstrated experience with data modeling, database design, extract transform load (ETL) processes, working with unstructured data, and cloud-based data infrastructure
• Awareness of and experience with ML processes (exploration, training, deployment), technologies (services, packages), and infrastructure (AWS)
• Passionate about data/ML engineering and interested in driving discussions with stakeholders and executives

PagerDuty is a global company focused on inclusion and employee well-being by building a culture that isn’t location specific and gives equal opportunity to everyone—regardless of where you are working.

As a Dutonian, you can expect competitive pay and benefits; structured learning, development, and advancement; immersion in our award-winning company culture; and exceptional colleagues. PagerDuty currently has offices in Atlanta, Lisbon, London, San Francisco, Sydney, Tokyo, and Toronto, with remote opportunities in those countries and Chile. We offer a hybrid, flexible workplace, while also providing ample opportunities for connection in-person and virtually with your fellow Dutonians.

Not sure if you qualify?

Apply anyway! We extend opportunities to a broad array of candidates, including those with diverse workplace experiences and backgrounds. Whether you're new to the corporate world, returning to work after a gap in employment, or simply looking to transition or take the next step in your career path, we are excited to connect with you.

PagerDuty Offers

One way we ensure our employees are inspired to do their best is through a comprehensive total rewards approach that supports them and their loved ones. As a global organization, our programs are competitive with industry standards and aligned with local laws and regulations.

Your package may include:
• Competitive salary and company equity
• Comprehensive benefits package from day one
• Flexible work arrangements
• ESPP (Employee Stock Purchase Program)
• Retirement or pension plan
• Paid parental leave - up to 22 weeks for pregnant parent, up to 12 weeks for non-pregnant parent (some countries have longer leave standards and we comply with local laws)
• Generous paid vacation time
• Paid holidays and sick leave
• Paid volunteer time off - 20 hours per year
• Bi-annual company-wide hack weeks
• Mental wellness programs
• Dutonian Wellness Days & Midyear Wellness Week - scheduled company-wide paid days off in addition to PTO and scheduled holidays
• HibernationDuty - a week each year when everyone at PagerDuty, with the exception of a small, coverage crew, is asked to take a much needed break to truly disconnect and recharge

About PagerDuty

PagerDuty, Inc. (NYSE:PD) is a leader in digital operations management. In an always-on world, organizations of all sizes trust PagerDuty to help them deliver a better digital experience to their customers, every time. Teams use PagerDuty to identify issues and opportunities in real time and bring together the right people to fix problems faster and prevent them in the future. Notable customers include Cisco, Genentech, Electronic Arts, Cox Automotive, Shopify, Zoom, DoorDash and more.

Led by CEO Jennifer Tejada, 50% of our board of directors is comprised of women, 45% of our managers are from underrepresented groups, and we are a proud member of the Pledge 1% Movement, committed to donating 1% Equity, 1% Employee time, and 1% Product to accelerate change in our communities.

PagerDuty is Great Place to Work-certified™, a Fortune Best Place to Work for Women, and a top rated product on TrustRadius and G2.

Go behind-the-scenes @pagerdutylife on Instagram.

Additional Information

PagerDuty is committed to creating a diverse environment and is an Equal Employment Opportunity (EEO) employer. PagerDuty provides equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information.

PagerDuty is committed to providing reasonable accommodations for qualified individuals with disabilities in our job application process. Should you require accommodation, please email accommodation@pagerduty.com and we will work with you to meet your accessibility needs.

PagerDuty uses the E-Verify employment verification program"
Machine Learning Engineer,2023-01-25,2023-01-30 12:33:56,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=ti0qzO9AD40AAAAAAAAAAA%3D%3D&fpstate=tldetail,Farfetch,Full-time,US$131K–US$201K a year,"Porto, Portugal","FARFETCH exists for the love of fashion. Our mission is to be the global platform for luxury fashion, connecting creators, curators and consumers.We're a positive platform for good, bringing together an incredible creative community made up by our people, our partners and our customers. This community is at the heart of our business success. We welcome differences, empower individuality and celebrate diverse skills and perspectives, creating an inclusive environment for everyone. We are FARFETCH for All.TECHNOLOGYWe're on a mission to build the technology that powers the global platform for luxury fashion. We operate a modular end-to-end technology platform purpose-built to connect the luxury fashion ecosystem worldwide, addressing complex challenges and enjoying it. We're empowered to break traditions and revolutionise, with the freedom and autonomy to make a difference for our customers all over the world.PORTOOur Porto office is located in Portugal's vibrant second city, known for... its history and its creative yet cosy environment. From Account Management to Technology and Product, whatever your skills are, you'll find your fit here. You can have an informal meeting in the treehouse or play the piano in your lunch break!THE ROLEWe are looking for a Software Engineer to develop MACHINE LEARNING-BASED SOLUTIONS in our next-generation intelligent platform for online luxury fashion. You will work in a very friendly environment and be part of a well-motivated, multicultural and growing team, building and optimising our data-driven products, through research and experimentation in a big data context. If you love to learn and expand your competencies in a data-driven philosophy, if you are willing to shate knowledge and would love to be a part of the building process to reach the top, using latest technology stack and having fun doing it, this is an opportunity you can’t miss. WHAT YOU'LL DO Work with technical team to implement the end-to-end architecture;Surface the team's output through the construction of data pipelines and APIs;Design model serving solutions and develop machine learning-based applications, data pipelines and APIs so as to productionise machine learning models;Partnering with the Data Scientists (those who actually build, train and evaluate ML models) to provide an end-to-end solution for machine learning-based projects;Fostering the technological evolution of services and improve their end-to-end quality and performance;Testing new ML models trough AB testing methodology;Committed to Continuous Integration and Continuous Deployment. WHO YOU ARE Experienced implementing end-to-end data products with Data Engineering and Machine Learning components - from the system design to construction, deployment, orchestration and monitoring;Experienced with Continuous Integration & Continuous Deployment processes and platforms, software design patterns and APIs;Experienced writing production quality code in Python, including dependency management and testing frameworks;Familiarised with the engineering concepts of some of popular Machine Learning practices, libraries and platforms (e.g. MLflow, feature store, VSE, Kubernetes, Databricks, Spark, PyTorch, Numpy, Pandas, TensorFlow and scikit-learn among others);A person that enjoys staying on top of all the best practices and tools of modern software engineering, while being a advocate of code quality and continuous improvement;Not afraid of failing, we challenge assumptions and push boundaries since we have a culture of experimentation and learning from our mistakes so we can improve! REWARDS & BENEFITS Health insurance for the whole family, flexible working environment and well-being support and toolsExtra days off, sabbatical program and days for you to give back for the communityTraining opportunities and free access to UdemyFlexible benefits programFARFETCH Equity plan EQUAL OPPORTUNITIES STATEMENT FARFETCH is an equal opportunities employer ensuring that all applicants are treated equally and fairly throughout our recruitment process. We are determined that no applicant experiences discrimination on the basis of sex, race, ethnicity, religion or belief, disability, age, gender identity, ancestry, sexual orientation, veteran status, marriage and civil partnership, pregnancy and maternity, or any other basis prohibited by applicable law. We continue to build our consciously inclusive culture as part of our Positively FARFETCH strategy throughout our business, partnerships and communities.We are looking for a savvy and experienced Software Engineer to Develop MACHINE LEARNING-BASED SOLUTIONS in our next-generation intelligent platform for online luxury fashion"
Data Scientist,2023-01-30,2023-01-30 12:33:56,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=kPPKsQvYFQkAAAAAAAAAAA%3D%3D&fpstate=tldetail,BABEL,Contractor,NA,"Lisbon, Portugal","Babel is a multinational company that provides technology services to support the Digital Transformation process of large companies in the Public Administration, Banking, Insurance, Industry and Telecommunications sectors.

Our offices are in Portugal, Spain, Mexico, Morocco, the United States, Peru, Chile and Costa Rica. An essential part of Babel's mission is to offer employees a long-term professional career. We believe in teamwork, people and their strength when they combine their passion with their talent.

Tasks

Function: Data Scientist

Workplace: Lisbon / Hybrid

Requirements
• MSc or PhD in Computer Science, Electrical Engineering, Statistics, Applied Mathematics, Physics or related field;
• 2-3 years of experience in Data Science / Machine Learning.
• Fundamental understanding of the most common Machine Learning algorithms;
• Expertise in the training and testing of models, handling large datasets and comfortably applying DS techniques to tackle: dimensionality reduction... leakage, overfitting, etc.;
• High proficiency in Python and SQL, and basic knowledge of Bash.
• Good knowledge of Statistics;
• Knowledge of Deep Learning - plus.

Benefits
• Professional career and continuous training;
• Open-ended contract;
• Attractive remuneration;
• Social benefits package of your choice;
• Attendance bonus;
• Balance between professional and personal life;
• Innovative vacation system;
• Participation in the company profits.

Join us!

Send us an updated CV, preferably in English indicating in the title of your CV the reference: DataScientist_JOIN

Find out more about our culture and the advantages of being part of our team"
Machine Learning Engineer,NA,2023-01-30 12:33:57,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=RrjfSyfw9XcAAAAAAAAAAA%3D%3D&fpstate=tldetail,SIXT,Full-time,NA,"Lisbon, Portugal","SIXT is a global market leader in the mobility space and sets the pace for innovation like nobody else. We are transforming the industry to become fully digitalized and offer our customers an answer to all mobility needs they have. Our vision is: Transform the world moves, because people expect better. Join our Data Science team and make the magic happen. We drive business processes like pricing and many more with the use of sophisticated algorithms. For this purpose, we design, develop and maintain state of the art machine learning models and manifold optimization solvers as well as simulation models. As a member of this team, your work will improve the experience of millions of our customers and have a direct impact on our business results. Apply now and join our journey and become a part of the SIXT family.

Do what you love:
• You will further develop and maintain a solid infrastructure within the Data Science team based on our public cloud footprint.
• You will establish and... further extend tools to automate our Data Science Tech Stack to continuously enhance MLOps processes.
• You will ensure a scalable deployment foundation for our Data Science ML models and algorithms.
• You will effectively collaborate within the Data Science team and with various stakeholders from other departments like cloud infrastructure etc"
Software Engineering and Machine Learning Specialist,NA,2023-01-30 12:33:57,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=6jpH9G1wcnUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Lisbon Tech Guide,Full-time,€35K–€50K a year,Portugal,"Company Information

DataHow AG is a spin-off company from ETH Zurich specialized in data analytics and process modeling for the process industry with a particular focus on the biopharmaceutical and chemical domains.

Description

You will initially support all activities concerning the creation of software prototyping ranging from development of predictive machine learning algorithms to creation of practical user interface and communication protocols. You will also support activities on improving and testing our machine learning and hybrid modeling tools on ongoing projects with idustrial customers. This includes the interaction with the academic partners and with the main customers (mostly biotech and pharma companies), in addition to the support of all promotion and dissemination initiatives on international events.

Tasks
• Support software solution prototyping
• Perform data analysis on dynamic process data
• Develop and improve algorithms for dynamic process data analysis
•... Support project work for international clients and partners from biotechnological and chemical industry
• Support solution marketing and customer acquisition
• Support dissemination activities and academic collaborations

Main requirements
• Excellent university degree (at least Bachelor) in computer science, informatics, statistics or similar fields
• Strong programing experience in a major Object Oriented Language, ideally Python
• Experience with the Python Data Science stack (Numpy, Pandas, Scikit-learn, etc.)
• Version Control (Git)
• Automated testing
• DevOps and continuous development experience
• Knowledge of container-based technologies (Docker)
• Experience of producing production ready code
• Experience using and building REST-APIs
• SQL and design of database schemas
• Understanding of Microservices architectures
• Expertise in Machine Learning and Data Analytics
• Expertise in work on dynamic (such as signaling and spectral) data
• Experience in app and GUI development (e.g. Matlab app developer)
• Fluency in written and spoken English
• Responsibility, creativity, divergent thinking, enthusiasm
• Capability of team work and pro-active independent work

Nice to have
• Interest in engineering problems and challenges related to industry 4.0
• Interest in work associated with biotechnological, chemical and pharmaceutical process data
• Motivation to work in an internationally active start-up company

Perks
• Integration into a young and dynamic team of computationally experienced chemical engineers, biotechnologists and computer scientists ready to master the digitalization challenge in the process industry
• Work from the new branch in Portugal with regular visits to the main office in Zurich
• Versatile working environment with on-site visits of international clients and international conference trips
• Work can be supervised and carried out despite Covid-19 restrictions
• Sharp learning curve in a challenging and highly interdisciplinary working environment
• Attractive working conditions and progression in the spin-off company

Lisbon Tech Guide focuses on Consulting, Recruiting, Corporate IT, and Management Consulting. Their company has offices in London, Zürich, and Lisboa. They have a small team that's between 1-10 employees.

You can view their website at http://www.lisbontechguide.com"
Machine Learning Engineer - Jumia (Full Time),NA,2023-01-30 12:33:58,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=vbA_lkXE8F0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Jumia,Full-time,NA,"Porto, Portugal","Jumia in Porto

At Jumia Porto Tech Center we boast over 16 different nationalities. We have around 350 employees from several business areas, from IT, to Finance, to HR. The IT team represents 75% of it, so as you can see we are a major tech company, and as a Tech company, we share an innovative spirit. At Jumia PTC you will work under the most updated technologies and work methodologies. We are great fans of Agile philosophy and we aim to keep things simple but smart. Also, for Jumia, technology relates with improvement for our world. We see technology as something we need to put purpose into. Our mission is to leverage technology to improve everyday life in Africa and we do it by delivering convenient and affordable online services to consumers, helping them fulfill basic everyday needs. And while we’re present in Africa, we get to take African economy online, helping small and large businesses grow and reach new consumers. This is what drives our day to day decisions.

We are... looking for great people to join our amazing teams and celebrate our achievements. At Jumia we work hard, but we do Tech With Purpose! At Jumia, we are always looking for new talent!

Check out below!

At Jumia we are data-driven always looking into the future. Our data teams are building the next generation of data science and analytics solutions, using state of the art technologies and platforms on Big Data and Artificial Intelligence.

We are currently hiring a Machine Learning Engineer to help us with the guidance and automation of machine learning models. As a part of our Data Science Center of Excellence tech team you will work closely with engineers and data scientists steering the entire company’s Big Data, Data Science and Machine Learning projects.

What you will be doing
• Automation of machine learning models in Big Data cluster
• Support of data science projects
• Design standards, and best practices for the development and deployment of Data Science projects
• Automation of integration and deployment (CI/CD) workflows
• Scale data science efforts
• Implementation of automation testing of machine learning artifacts, such as data validation, model testing, model integration testing
• Automation of machine learning lifecycle
• Promote an agile environment to implement and deliver data science projects.

What we are looking for
• Experience in Python (Scikit-learn, Pandas, NumPy, XGBoost and matplotlib) or R (similar libraries)
• Exposure to deep learning approaches and modeling frameworks (PyTorch, Tensorflow, Keras, etc.)
• Machine learning end-to-end lifecycle
• Knowledge of applied statistics & machine learning techniques
• Demonstrable skills and experience using SQL with large data sets
• Experience with the BigData landscape to serve the different layers of a BigData pipeline
• Knowledge of Apache HDFS, Hive
• Experience of Spark and MapReduce
• Experience supporting and working with cross-functional teams in a dynamic environment
• Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
• Good communication skills.

Valued
• Proven experience implementing CI/CD on large operational AI pipelines
• Experience with Data Science processes and technologies, including the Dataiku platform
• Experience with Machine Learning
• Experience in working in a SCRUM/ AGILE environment
• Experience working with cloud computing
• Understanding of one or more object-oriented programming languages (C#, Java, etc.)
• Knowledge of data integration processes
• Knowledge of Kafka data streaming (publishing and consuming coding"
AI Engineer (PT or Remote),NA,2023-01-30 12:33:58,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=bA_OUTVbAx0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Sword,Full-time,NA,Portugal,"Who we are:

Each year, 2 billion people across the world are limited by physical pain. By helping people live without pain, they are free to do the things they love most with the people they love—and never miss a moment. This is what we do. We create and design new technologies to solve one of the biggest problems in healthcare: taking care of our Physical Health. Sword Health is the world’s fastest growing digital musculoskeletal (MSK) care provider on a bold mission to free two billion people from acute, chronic, and post-surgical physical pain . Our customers include some of the most progressive Fortune 100 and 500 companies, as well as over 160+ other established businesses across the world.

The Sword program allows members to complete a personalized physical therapy program from the comfort of home, with continued support and supervision from one of our talented SWORD specialists. Sword’s personalized care is more effective than traditional standards of care, and has proven to... deliver best-in-class clinical results. Since breaking into the market less than two years ago, Sword has worked with insurers, health systems, and employers in the U.S., Canada, Europe, and Australia to make high quality musculoskeletal care accessible to everyone.

This is an opportunity to join Sword during a time of hyper growth and expansion. After our recent $2bn valuation, we’re excited to continue accelerating our impact by scaling with high caliber people with passion, commitment and energy to create and deliver technologies, services and products that drive human progress forward.

We welcome you to join our mission, to make a difference on a grand scale and play a pivotal role with a global team at Sword– working alongside great people pioneering novel products and cutting edge technologies.

AI TEAM

Our AI team is responsible for bringing forth initiatives that will ultimately enable Sword to treat billions of people with high clinical effectiveness. They thrive at the productisation of Machine Learning features and certainly enjoy the Software development that comes with it.

What you'll be doing:
• Develop Machine Learning algorithms for extracting meaningful information or making inferences using the data we collect;
• Develop ETL pipelines for end-to-end data processing;
• Work alongside the Product Team to define new features by integrating the above algorithms into the product;
• Identify and lead initiatives for adding AI capabilities to our product.

What you need to have:
• 3+ years of experience (or PhD) in Machine Learning;
• 3+ years of experience in Python (in industry or academia) and strong software development skills;
• Working knowledge of scikit-learn or similar frameworks;
• Experience leading complex and ambiguous projects from ideation to completion;
• Ability to learn quickly and dive deep into new problems and fields;
• Ability to interface with non-technical stakeholders;
• Critical thinking & self-direction;
• Results-oriented mindset.

We'd Love to see:
• Experience working in a fast-paced environment and wearing different hats;
• Experience in deploying and monitoring ML models in production and iterating as a result;
• Experience building ETL pipelines.

To ensure you feel good solving a big Human problem, we offer:
• A stimulating, fast-paced environment with lots of room for creativity;
• A bright future at a promising high-tech startup company;
• Career development and growth, with a competitive salary;
• The opportunity to work with a talented team and to add real value to an innovative solution with the potential to change the future of healthcare;
• A stimulating environment with room for creativity;
• A flexible environment where you can control your hours (remotely) with unlimited vacation;
• Access to our health and well-being program (digital therapist sessions);
• Remote or Hybrid work policy;
• To get to know more about our Tech Stack, check here

We are proud to be an Equal Employment Opportunity employer. We champion diversity and are committed to building a team that represents a variety of backgrounds, perspectives and skills. At SWORD, we believe that diversity and inclusion among our applicants and teammates is critical to our success as a global company. The more inclusive we are the better our work will be.

Sword Benefits - Portugal

Health, dental and vision Insurance

Meal Allowance

Equity Shares

Sword Perks - Portugal

Phone Stipend

Flexible working hours

Work from home

Unlimited Vacation

Free Digital Therapist for your family

Snacks and Beverages

English Class"
Senior Machine Learning Engineer,2023-01-27,2023-01-30 12:33:58,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=S76K7SmqSMgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Zendesk,Full-time,NA,Portugal,"Job Description

Zendesk's people have one goal in mind: to make Customer Experience better. Our products help more than 125,000 global brands (AirBnb, Uber, JetBrains, Slack, among others) make their billions of customers happy, every day.

Our team is responsible for helping Customer Experience teams to achieve their best, by intelligently solving repetitive work, so they can shift their focus to solving more sophisticated problems. We use the latest trends in Machine Learning and AI algorithms to help us on that mission, and we're passionate about empowering our customers.

As a Senior ML Engineer, you'll be responsible for developing products in collaboration with our Data Scientists and other Machine Learning engineers, and delivering high-quality ML and AI products to our customers, at a scale that most companies only dream of.
What you get to do every day:
• Write clean and maintainable code to support the team's delivery commitments.
• Work closely with Data Science and... Product teams to tackle hard problems Zendesk customers face, using AI and ML technology.
• Collaborate closely with fellow Engineers to find innovative solutions to traditional technical challenges.
• Actively contribute to discussions about technical design and standard methodology.
• Support the building of MLOps processes in the team.
• Investigate and resolve production issues.
• Champion initiatives to improve the scalability and robustness of our platforms.
What you bring to the role:
• Proficiency in at least one of our core languages: Python, Scala, or Java. Experience in Spark is a bonus too
• A discernible passion for data engineering: especially around large-scale data processing.
• Exposure to AWS infrastructure is an advantage.
• A self-managed and dedicated approach with the ability to work independently.
• Strong problem-solving capabilities as well as the flexibility (of working style) to deal with changing and conflicting priorities.
• Experience building scalable and stable software applications.
• Willingness to mentor junior team members, as well as to learn and improve.
What our tech stack looks like:
• Our code is written in Scala, Ruby, Python, Java, and Go
• Our servers live in AWS
• Our machine learning models rely on PyTorch and Tensorflow
• Our ML pipelines use AWS Batch and EMR
• Our data is stored in S3, RDS MySQL, Redis, ElasticSearch, and Aurora
• Our services are deployed to Kubernetes using Docker, and use Kafka for stream-processing
Zendesk

At Zendesk, we believe that every great customer relationship stems from a conversation. So we built a customer service software company that designs solutions to foster better customer relationships. From large enterprises to startups, powerful, innovative customer experiences should be within reach for every company, no matter the size, industry or ambition. Zendesk serves more than 150,000 customers across a multitude of industries in over 30 languages. Zendesk is headquartered in San Francisco, and operates offices worldwide. Learn more at .

We believe in service. Learn more about how we provide support to our local communities with volunteering, grants and product donations.

Zendesk is an equal opportunity employer, and we're proud of our ongoing efforts to foster global diversity, equity, & inclusion in the workplace. Individuals seeking employment and employees at Zendesk are considered without regard to race, color, religion, national origin, age, sex, gender, gender identity, gender expression, sexual orientation, marital status, medical condition, ancestry, disability, military or veteran status, or any other characteristic protected by applicable law. We are an AA/EEO/Veterans/Disabled employer.

By submitting your application, you agree that Zendesk may collect your personal data for recruiting, global organization planning, and related purposes. Zendesk's Candidate Privacy Notice explains what personal information Zendesk may process, where Zendesk may process your personal information, its purposes for processing your personal information, and the rights you can exercise over Zendesk's use of your personal information.

About Zendesk - Champions of Customer Service

Zendesk software was built to bring a sense of calm to the chaotic world of customer service. Today we power billions of conversations with brands you know and love. We advocate for digital first customer experiences — and we stick with it in our workplace. Over 6,000 employees worldwide have the flexibility and trust to choose where they work. The fact is, we know great work happens anywhere. Whether you're collaborating from your home office, a Zendesk workspace, or the kitchen table, you're part of one team at Zendesk.

Zendesk is an equal opportunity employer, and we're proud of our ongoing efforts to foster global diversity, equity, & inclusion in the workplace. Individuals seeking employment and employees at Zendesk are considered without regard to race, color, religion, national origin, age, sex, gender, gender identity, gender expression, sexual orientation, marital status, medical condition, ancestry, disability, military or veteran status, or any other characteristic protected by applicable law. We are an AA/EEO/Veterans/Disabled employer. If you are based in the United States and would like more information about your EEO rights under the law, please click here .

Zendesk endeavors to make reasonable accommodations for applicants with disabilities and disabled veterans pursuant to applicable federal and state law. If you are an individual with a disability and require a reasonable accommodation to submit this application, complete any pre-employment testing, or otherwise participate in the employee selection process, please send an e-mail to with your specific accommodation request"
Homebased Job | Online Data Analyst (PORTUGUESE),2023-01-12,2023-01-30 12:33:59,https://www.google.com/search?q=Machine+Learning+Jobs+Portugal&ibp=htl;jobs&sa=X&ved=2ahUKEwjYz4vdhPD8AhVCCTQIHdByAnoQutcGKAF6BAgWEAU#htivrt=jobs&htidocid=v9sZJvNIaQUAAAAAAAAAAA%3D%3D&fpstate=tldetail,TELUS International AI Data Solutions,Full-time,NA,"Vieira do Minho, Portugal","TELUS International AI-Data Solutions partners with a diverse and vibrant community to help our customers enhance their AI and machine learning models. The work of our AI Community contributes to improving technology and the digital experiences of many people around the world. Our AI Community works in our proprietary AI training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. We offer flexible work-from-home opportunities for people with passion for languages. The jobs are part-time, and there is no fixed schedule. Whoever you are, wherever you come from, come join our global AI community. www.telusinternational.com

We are hiring freelance Portuguese speaking Online Data Analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. The job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local... geography.

This is a freelance position on a flexible schedule - you can work in your own time whenever work is available. You will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. You will be provided with guidelines for each task, which need to be followed. The project offers a variety of tasks, and work is paid per task.

Requirements
• Full Professional Proficiency in English and Portuguese
• You must be living in Portugal for the last 2 consecutive years
• Ability to follow guidelines and do research online using search engines, online maps and website information
• You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in Portugal
• Being open to work across a diverse set of Task Types (e.g. News, Audio tasks, Relevance)
• Applicants must be 18 years or over. ID verification must be attached when submitting your application.

Working on this project will require you to go through a standard recruitment process (including passing an open book assessment). This is a long-term project and your work will occasionally be subject to quality assurance checks.

Why Join the TELUS International AI Community?
• Earn extra income
• Access to our community wellbeing initiative
• Remote work & Location Independence
• Be your own boss

What' next?

Create an account using the Apply button or link below, click the Sign Up button and fill the required fields. An email confirmation will be sent to your email to set your password and account. Then select PORTUGAL as your country and PORTUGUESE as your primary language. Then complete the registration process, do not forget to click the Apply button to start your application process for the project.
• You can apply through Apply button or use this link: https://jobs.telusinternational.com/en_US/careers/PipelineDetail/Online-Data-Analyst-Portugal/21422
• *NOTE**: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status"
