Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-30 12:34:27,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=1lFo_pU6UkIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Veoneer Romania,Full-time,NA,"Timișoara, Romania (+1 other)","Veoneer is an automotive technology company, a world leader in active safety and restraint control systems, focused on delivering innovative, best-in-class products and solutions to our customers. Our purpose is to create trust in mobility. Veoneer is a Tier-1 hardware supplier and system integrator with products being part of more than 125 scheduled vehicle launches for 2022. Headquartered in Stockholm, Sweden, Veoneer has 6,100 employees in 11 countries. The Company is building on a heritage of close to 70 years of automotive safety development.
• What you’ll do?
• You will be part of a Research and Development team aiming to create new features for possible new products;
• You will analyze state of the art architectures and new solutions / algorithms, make proposals for new Proof Of Concept projects and contribute to their implementation;
• You will use your creativity to build up from scratch Proof Of Concept projects (data collection / annotation /cleaning / model creation ... training / optimization and demos);
• You will implement algorithms (vision / signal processing) to support the research work, optimize existing implementations for products core development;
• Use / optimize existing developments.
• What you’ll bring?
• Very good knowledge of machine learning for classification / clustering / optimization / regression problems;
• Very good knowledge of machine learning frameworks (Tensorflow / Keras);
• Very good python knowledge (virtual environments, numpy, Jupiter Lab, opencv, scikit-learn);
• Knowledge of C/C++, is a plus;
• Knowledge of embedded systems or ARM architectures / development, is a plus;
• Knowledge about devops (mlops skills will be highly appreciated)
• Understanding of Windows, Linux development and OOP;
• It will be considered an advantage some experience with full stack programming (web components integration"
"Deep Learning Engineer, Engineering Center, Cluj / Bucharest",NA,2023-01-30 12:34:27,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=-4ngxCrgYyEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Bosch Group,Full-time,NA,"Cluj-Napoca, Romania","Company Description

At Bosch, we shape the future by inventing high-quality technologies and services that spark enthusiasm and enrich people’s lives. Whether in areas of Automated Driving, Electric & Connected Mobility, IoT or Connectivity, our ideas make driving safer and more comfortable than ever before. This is only possible with the help of more than 1000 talented engineers from Bosch Engineering Center Cluj specialized in software, hardware & mechanics and reliability engineering, who work closely together with other Engineering Centers within Bosch and with Bosch Cluj Plant in order to offer unique products and AIoT solutions to our clients from around the world.

So, are you ready to shape the future of the mobility together with us? Let us tell you more. Our promise to our associates is rock-solid: we grow together, we enjoy our work, and we inspire each other. Join in and feel the difference.

Job Description

We are currently looking for a Deep Learning Engineer to work... within our team.

We are a team of engineers that harness the power of artificial intelligence and deep learning to create industry leading automated driving technologies. We develop state-of-the art neural networks based on video sensors, with the focus on the traffic / driving scenes understanding. Our activities cover the entire data-driven development loop, ranging from data selection and filtering to creating models for various vision tasks and to optimizing & deploying them on embedded automotive hardware, for various mobile platforms (vehicles, trains, motorcycles etc.). Join us in our deep learning revolution!

In your role you will:
• Create, adapt and train deep learning models that detect / classify / segment objects of interest in the context of automated driving, such as, but not limited to: vehicles of all types, pedestrians, road infrastructure elements, traffic lights, signs, free-space etc.
• Be responsible for the data-engineering related activities such as data filtering and automatic search, doing statistics, defining labeling guidelines, preparing the data requirements for each model etc.
• Be responsible for optimizing and deploying trained deep learning models to dedicated hardware devices
• Evaluate and validate the performance of the models based on ground truth and reference sensors data, and will experiment ways to improve scenarios with undesired behavior

Technology Stack:
• Python, C++
• TensorFlow, Keras, PyTorch
• MATLAB, OpenCV
• NEON
• Horovod, Microsoft Azure, Nvidia CUDA
• Linux
• GIT, Jira, Bitbucket

Qualifications
• You have a university degree in computer science, automation, electronics and telecommunications, informatics, mathematics or comparable
• You have a thorough understanding of deep learning / machine learning (i.e., building blocks, mathematics, and intuition behind)
• You have experience with Python and with a deep learning training framework (TensorFlow, PyTorch, etc.)
• You enjoy working on both research & development related activities
• You are motivated and committed to get involved, learn and contribute to the development of cutting-edge technologies in collaboration with a global network of experts
• You have good communication, strong analytical skills, you are team oriented, have initiative, perseverance, and attention to details
• You are self-organized and able to estimate, prioritize and schedule own tasks
• You are result and quality oriented

Nice to have:
• Experience with deep learning-based multi-task perception
• Experience with non-learning-based algorithms (i.e., 3D computer vision, optical flow, tracking etc.)
• Experience with C++ (for model deployment, re-simulation, pre/post processing)
• Experience with developing automated driving systems
• Experience with software design on embedded systems
• Knowledge of embedded software optimization and parallelization (ex: NEON, DSP) for real-time performance
• Experience with software documentation, tracking (ex: Jira) and versioning tools
• Not even the slightest desire to develop any kind of web design / java project

Additional Information

Hybrid working is the new way of working! We offer super nice and cozy office spaces, however you can also work from home if you feel like it (70% remote work)

Our #LikeABosch benefits:
• 25 days of annual leave
• Medical subscription
• Accident insurance
• A monthly budget which can be used for several different services on an online benefit platform
• Annual bonus
• Relocation bonus
• Lunch discounts
• Sport activities and well-being initiatives
• Technical and soft skills trainings
• Access to e-learning platforms
• Local and Global career development programs
• Bookster subscription"
Senior Deep Learning Software Engineer,NA,2023-01-30 12:34:28,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=B36kAm7L54IAAAAAAAAAAA%3D%3D&fpstate=tldetail,Intel,Full-time,NA,"Timișoara, Romania","Job Description

The VPU team designs and delivers industry leading low power AI inference IP and software for edge use cases including Client and IoT platforms. The Compiler team is developing an NN Compiler for deployment of Deep Learning models on Intel Movidius hardware accelerator. The job of the compiler is to take an already trained neural network model, optimize the graph and format the model to a command list or compiler assembly code that can be run by the hardware accelerator.
Role's responsibilities will include compiler design in addition to software development. The compiler features must be designed according to the hardware capabilities. The compiler is based on MLIR framework and utilizes its API and features (dialects, passes, etc.) to schedule and optimize the list of tasks which correspond to model inference.
Qualifications
• BS/MS in Computer Science Computer Engineering or a similar field
• At least 6 years of experience in programming
• C/C++ embedded... programming
• Design of multithreading and multithreaded application
• Proven experience in low level optimization and vectorization

Preferred Qualifications:
• Proven experience in modern compiler architecture and code compilation process (e.g. llvm compiler, Java compiler)
• Theoretical and applied skills in Machine Learning
• Deep Learning frameworks (Tf, Caffe, PyTorch, etc) is a plus

Inside this Business Group
The Internet of Things Group (IOTG) consists of ~4700 dedicated employees across 25 locations across the world. IOTG drives significant growth in the Internet of Things (IoT) market, capitalizing on the inflection and creation of edge computing, leveraging smart, connected devices and artificial intelligence (AI) to enable partners to transform their businesses. IOTG's vision is to lead the industry and enterprises to enhance the way we live and work by making it easier to create exciting, new IoT/edge solutions. IOTG's strategy includes creating unique differentiated silicon to consolidate workloads at the Edge, investing in video and AI inference as the killer app for the Edge, creating new developer tools and ecosystems, and establishing a dedicated vertical consultative sales team to add value to our partners across many verticals.Posting Statement
All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.Benefits
We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html"
Machine Learning DevOps Engineer @ING Hubs Romania,NA,2023-01-30 12:34:28,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=PdbmOvFHanUAAAAAAAAAAA%3D%3D&fpstate=tldetail,ING,Full-time,NA,"Bucharest, Romania","Discover ING Hubs Romania

We started out in 2015 as ING’s software development hub – a distinct entity from ING Bank Romania – then steadily expanded our range to include more services and competencies.

Formerly known as ING Tech, as of 2022 we provide borderless services with bank-wide capabilities under the name of ING Hubs Romania and operate from two locations: Bucharest and Cluj.

With the help of 1400 engineers, risk and operations professionals, we offer 150 services in tech, non-financial risk & compliance, audit and retail operations to 24 ING units worldwide.

Our tech capabilities remain the core of our business, with more than 1100 colleagues active in Data Management, TouchPoint Channels & Integration and Core Banking.

We enjoy a flexible way of working and a highly collaborative environment, where fair and constructive feedback is encouraged. Work ethics, honesty and knowledge sharing are key to our teams and we’re always looking for like-minded people.

The... Mission

Your day to day

Even if you’ll start your day from the comfort of your home or drink your morning coffee in our office’s garden, your day will be quite similar when comes to tasks. Here are your daily responsibilities:

Support our Machine Learning Engineering squad in order to
• Help the Data Scientists convert their models to run on GCP Dataproc
• Modify/improve our Python in-house ML tool
• Help expending the cloud based platform

Live and breath ING’s culture
• Have an active role in embedding & strengthening the Agile way of working
• Put in place a culture of self-development, high performing teams & continuous improvement

What you’ll bring to the team
• Experience: minimum 3 years
• Tech stack/ knowledge:
• Mandatory:
• Unix/Linux abilities, Python
• Being hands-on with Big Data Tooling - Hadoop, Yarn, (Py)spark, Hive
• Schedulers (preferably Apache Airflow DAGS/Composer)
• Experience working with Google Cloud platform (GCP)
• Nice to have:
• General Web Architecture knowledges (DNS, Cloud storage, Networking, …)
• Familiarity with ELK stack and knowledge in how to integrate web applications with it
• Knowledge of Git
• Experience with CD/CI automation using any tools (Azure Devops is preferred)
• Awareness of IT Risk security themes and ability to act on vulnerability findings
• Knowledge of data manipulation and transformations using tools such as Spark, SQL, pandas, etc.
• Hand-on experience of Machine Learning Engineering concepts
• Foreign languages: English (advanced)
• Education: nice to have Bachelor’s Degree (or higher) in an IT related field

What’s in it for you
• Annual Performance Bonus up to two salaries
• Extra vacation days depending on the total length of working experience
• Flextime – our own way of working
• Monthly budget on Benefit platform
• Growth opportunities
• Defining a clear career path on short/ mid/ long term and identify the competencies you need to build/ develop to reach the next level: vertically – towards a managerial position or horizontally – towards an expert or architect level, locally or globally
• Internal mobility is encouraged
• Possibility to access International Short-Term Assignments or Long-Term Assignments
• Upskilling/ reskilling programs
• Learning & Development opportunities
• Annual training & certifications budget
• Pluralsight & e-learning platforms
• Management talk sessions (6/ year) – hands-on workshops led by specialized consultants on different areas (e.g. leading difficult conversations, sense of belonging,
• CSR activities: tree planting, coding lessons for teenagers etc"
Senior Machine Learning _Data Scientist Engineer,2023-01-12,2023-01-30 12:34:29,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=esmsEdUYmjEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Accenture,Full-time,NA,"Bucharest, Romania","POSITION DESCRIPTION

If you are a data scientist with experience dealing with large amount of data and putting AI applications in production, we invite you to join the fast-growing Accenture Data Science & Machine Learning Engineering practice in Europe location to work as part of a worldwide team of experts.
Technologies you might work with:
Python, R PyTorch, Keras, Tensorflow, SciKit, MLlib,
Azure ML, AWS SageMaker, GCP
Hadoop, Beam, Databricks
Docker, Kubernetes
Statistics, Probabilities

WHAT WILL YOU DO?
• Data gathering and data wrangling on large amount of data spread across multiple sources.
• Performing data analysis, formalizing hypothesis and assumptions around data and models expected behavior
• Designing and Implementing machine learning and statistical models; performing validation, testing and hyperparameter tunning
• Apply various techniques to reach the expected level of interpretability and explainability of machine learning models"
Data Scientist,NA,2023-01-30 12:34:29,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=HBUJ7RP_vq8AAAAAAAAAAA%3D%3D&fpstate=tldetail,SAS,Full-time,NA,"Bucharest, Romania","As a Junior Data Scientist in Customer Advisory you will be an owner of all related activities needed to generate demand for the next generation of SAS Analytics, Machine Learning and AI applications and consulting services for a broad territory in South East Europe, establish yourself as a trusted advisor in the customers and partners ecosystem, connect to the customers' stakeholders on different levels, create the vision and the plan for success. You will observe the market and the technological innovations around customer analytics, define approach, positioning, software and services combinations to help SAS customers to drive innovation. You will be on the frontline, supporting the sales opportunities with your domain and technology knowledge.

You will:
• Act as an Analytics expert with deep knowledge on Value Propositions around Advanced Analytics, Machine Learning, Open Source Operationalization, ModelOps & Decisioning
• Actively contributes to promotion of SAS solutions for... our customers (Financial Services, Telcos, Retail, Manufacturing, Utilities etc.) in South East Europe
• Connect SAS-related technology trends with the actual business value they bring to Client organizations
• Through technology-based discussions build trusted relationships with sales teams and Client accounts across South-east Europe
• Influence sales through domain or business expert credibility brought directly to ongoing sales cycles by enabling those who will be executing sales cycles or through supporting in-country business development efforts
• Deliver excellent presentations, demos, proposals and PoCs, leveraging on his/her business acumen.
• Clearly articulates the breadth and value of analytics in respective sectors, and how SAS differentiates on the market
• Works closely with sales executives and consulting management to validate Go-to-market approach to mirror actual Client need
• Contributes to the design and production of sales, customer advisory and marketing materials, including positioning SAS as an expert within conferences, publications, webinars and social media activities
• Co-ordinates the internal launch of new services / new value propositions to sales staff

What we’re looking for
• A BSc or MSc degree in a relevant field (computer science, information technology, mathematics, statistics)
• Hands-on experience (minimum 1-2 years) in the domain of Analytics, Machine Learning etc. using relevant programming languages and tools (e.g. SAS, SPSS, R, Python etc.)
• Basic Industry knowledge in order to convey go-to marketing messaging and deliver business value through Analytics
• You’re curious, passionate, authentic and accountable. These are our values and influence everything we do.

The other knowledge, skills, and abilities needed
• Entrepreneurial— not afraid to take on responsibility and solve real customer problems.
• A critical thinker — who uses logic and experience to identify alternatives, evaluate, and present approaches to solve complex problems.
• Driven to make a big impact in a fast-developing digital world.
• Highly collaborative, driven by the customer, both technical and creative excellence, and a self-starter. Skilled at bringing people together, highly organized, and has leadership level communication. Possesses strategic and tactical decision-making skills that can weigh business needs alongside technological capabilities.
• An engaging story teller and mindful listener, attentive to details.

Why SAS
• We love living the #SASlife and believe that happy, healthy people have a passion for life, and bring that energy to work. No matter what your specialty or where you are in the world, your unique contributions will make a difference.
• Our multi-dimensional culture blends our different backgrounds, experiences, and perspectives. Here, it isn’t about fitting into our culture, it’s about adding to it - and we can’t wait to see what you’ll bring"
AI & Deep Learning Research Engineer,2023-01-05,2023-01-30 12:34:29,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=lOnqM_VoO8gAAAAAAAAAAA%3D%3D&fpstate=tldetail,Arnia Software,Full-time,NA,"Bucharest, Romania","AI & Deep Learning Research Engineer

Arnia AI Research is seeking outstanding research engineers for positions in the field of deep learning.
Our R&D team focuses on applied deep learning algorithms and software in computer vision, sound, and natural language processing. Previous and ongoing projects include and are not limited to 3D face recognition, Audio-Video data augmentation (generative models), natural language understanding.
We value potential as much as experience and above all an enthusiastic attitude towards this research field.

Job Responsibilities:
As a Research Engineer at Arnia, you'll work with a talented group of software engineers and scientists to design and implement cutting edge AI technologies.
You will be part of the full R&D cycle: reading papers, prototyping algorithms, making proof of concept demonstrations. You will have the opportunity to work on advanced applied deep learning projects, implement and improve upon state-of-the-art methods, work in a team... with the same interests.
You should apply if you are a software engineer who is fairly comfortable with linear algebra, basic statistics, and the basics of stochastic gradient descent. Experience in machine learning is highly valued, but we do not expect proficiency in deep learning — since the tasks we try to develop are somewhat at the edge of state-of-the-art, we trust that nobody's an expert.

Here’s what we’d like to see in you:

Programming skills to prototype and test ideas - proficiency in at least one programming language (C, C++, Python, MATLAB) - preferable Python

Machine learning (Neural Networks) knowledge

Fairly comfortable with linear algebra, calculus, statistics, and the basics of numerical optimization (stochastic gradient descent, second-order methods etc.)

Experience with at least one main stream deep learning frameworks like TensorFlow, Caffe, Theano, PyTorch

Know your way around a Unix shell

Objective achievements in another field, such as creating a large software system, awards in international math/science/programming contests. (optional)

Would be a plus:

MSc /. in mathematics, machine learning, image or signal processing

Track record of coming up with new ideas in machine learning (publications or projects)

Open-source contributions to deep learning projects

Familiarity with ARM architecture and embedded systems (mobile phones, development boards)

Experience with high-performance computing architectures, such as FPGAs, GPUs, and DSPs

Experience or knowledge in image processing (algorithms, image formats, digital camera architecture, and functionality"
R&D engineer for Natural Language Processing,2023-01-02,2023-01-30 12:34:30,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=LZEcsrQm2uUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Siemens,Full-time,NA,"Brașov, Romania","The Image Fusion and Analytics R&D group is responsible for delivering state-of-the-art technology in the area of Medical Data, Imaging and Visualization.

We are looking for a person in the Artificial Intelligence team with expertise in Natural Language Processing (NLP), capable of accomplishing a wide variety of innovations.

This is your role:

• Performing research, development and evaluation of methodologies and systems for information extraction, text summarization, question answering, unstructured log file analysis, and other machine learning and NLP (including speech-based) tasks

• Creating scalable prototypes for NLP applications in the medical and customer service domains

• Generating technical reports and documentations to support productization of the prototypes

• Generating intellectual property and scientific manuscripts to showcase novel NLP applications in top-ranked journals/conferences

• Collaborating with senior R&D and Business stakeholders on integration of... prototypes within current and new products

• Identifying and applying problem-solving skills in addressing scientific and business challenges of interest to the company

What do I need to qualify for this program?

• Demonstrates and applies a broad knowledge of machine learning, deep learning and NLP

• Demonstrates research experience working on NLP problems such as information extraction, text summarization, question answering, sentiment classification etc.

• Familiar with state-of-the-art NLP models for general sequence modeling tasks

• Proficient in deep learning frameworks such as Pytorch, TensorFlow, Keras, etc.

• Demonstrates strong hands-on experience in Python programming

• Familiar with fundamental concepts, practices, and principles of software development, version control, and scalable infrastructure/platforms

• Able to work well as individual contributor and within a multidisciplinary team

Optional:

• PhD in computer science or related discipline (or master’s and currently in a PhD program)

• Provides track record of publications & presentations at top-tier conferences / competitions

• Demonstrates hands-on experience in C++

Want to join us?

We’re excited to hear that you would like to join us here at Siemens. Our people love it here, and we want you to be a part of helping us make real, what matters.

We are looking forward to receiving your online application.

At Siemens we are always challenging ourselves to build a better future. We need the most innovative and diverse Digital Minds to develop tomorrow‘s reality. Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds

Organization: Advanta

Company: Siemens S.R.L.

Experience Level: Mid-level Professional

Full / Part time: Full-time"
Senior Machine Learning Engineer (Anomaly Detection),NA,2023-01-30 12:34:30,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=pDT8z1camBoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Binance,Full-time,NA,"Iași, Romania","Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?

Responsibilities:
• Responsible for the development and algorithm optimization of abnormal detection, root cause analysis and other functions of monitoring products
• Focus on cutting-edge technologies and trends in AiOps field to drive algorithm and product optimization

Requirements:
• At least 5 years of work experience
• Good foundation of program development, familiar with Python, Java, spark, Flink and other distributed computing platforms
• Familiar with machine learning and deep learning algorithms, such as logistic regression, tree model, ensemble learning, temporal data correlation algorithms... ARIMA, LSTM, CNN, etc
• Familiar with machine learning related development frameworks, such as Numpy, Sklearn, Tensorflow, PyTorch, etc., experience in practical application and optimization of algorithm projects
• Experience in anomaly detection or root cause analysis related to monitoring products is preferred
• AiOps related experience is preferred

Working at Binance

• Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry

• Fast moving, challenging and unique business problems

• International work environment and flat organisation

• Great career development opportunities in a growing company

• Possibility for relocation and international transfers mid-career

• Competitive salary

• Flexible working hours, Casual work attire

By submitting a job application, you confirm that you have read and agree to our Candidate Privacy Notice"
Internship Deep Learning Labeling for Autonomous Mobility (TM),2023-01-26,2023-01-30 12:34:30,https://www.google.com/search?q=Machine+Learning+Jobs+Romania&ibp=htl;jobs&sa=X&ved=2ahUKEwip4JjshPD8AhXXFzQIHbBaBvMQutcGKAF6BAgREAU#htivrt=jobs&htidocid=Sk9zxvNKHy4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Continental,Full-time,NA,"Timișoara, Romania","Company Description

Each one of us can contribute to a better future. You can do this on a daily basis on a labeling role.

AM (Autonomous Mobility) department develops products and systems based on intelligent Camera, Radar & Lidar sensors that are able to “see” and collect details from traffic in the surrounding area of the vehicles.

By joining our team, you will be part of the Labeling group for Deep Learning activities. Focus area covers Camera, Lidar and Radar technologies.

#AutonomousMobility

Job Description
• You will be labeling the data that comes from the different sensors based on the requirements agreed with the development.
• You will provide essential data to algorithms implemented using Deep Neural Network, and covering Object Detection, Lane detection, Semantic Segmentation, etc.
• You will be working together with the algorithm development team to find the best possible solution for data annotation.
• Highly flexible work.
• Technical university/technical... knowledge not needed.

A mentor will support you to stepwise take over own responsibility after an initial training phase which will familiarize you with our products, tools, processes and organization.

Qualifications
• Currently studying at University;
• Quality oriented, responsible, determined;
• English language;
• Highly motivated and willing to get involved in technical projects;
• Detail oriented mind;
• 8 hour availability

Would be a plus:
• Hungarian language,
• German language,
• Automotive knowledge,
• Experience in activities related to data labeling, data marking, data annotation, test and validation.

Additional Information

What we offer:
• Integration Program in a professional, young & dynamic team;
• A mentor for your learning period;
• Competitive Salaries & Benefits;
• Recommendation Bonuses for new team members;
• Flexible working hours for your studies.

Wellbeing:
• Health & Wellness (Private Health Insurance, Life Insurance, Sport activities etc.);
• Different discounts (glasses, tires, medical, shopping);
• In-house restaurant & coffee corners.

Ready to drive with Continental? Take the first step and fill in the online application"
