Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-30 12:35:24,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=VWpr_PI2fsUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Headhunte.rs,Full-time,NA,"Novi Sad, Serbia","Job Description

We are looking for a Machine Learning Engineer to join our team!

This is what we do:

Machine learning solutions that don’t include just model training, evaluation, and deployment, but a full machine learning cycle such as building data pipelines, data ingestion, feature engineering, serving, monitoring, and maintenance of machine learning models.

Some of the technologies we like to use:
• Apache Spark for big data processing and feature engineering
• Apache Flink for data stream processing
• TensorFlow for training and serving ML models
• Pandas / Scikit for prototyping and experimentation
• Kafka for messaging, ingestion, multiple data solutions for storage including but not limited to Cassandra, Postgre, Druid
• Code is written in Python/Java/Scala
• PowerBI, Superset tech for visualization/reporting
• Airflow for orchestration

You:
• You are a machine learning engineer. That means (to us) you know how to deploy your trained models and to bring them to life... Also, it means that building the data pipeline around the ML is no stranger to you.
• You have 2+ years of experience in data engineering/machine learning
• You have experience building data pipelines with machine learning systems
• You also got your hands dirty with training machine learning models
• You already know / would like to learn distributed technologies such as Kafka, Cassandra, Spark, Flink, the-latest-and-greatest-you name it-tech, etc
• You worked on a project with Scrum organization, so you know how to prepare for daily,
• demo, retrospective, refinement and you know how to manage your work transparently through the issue tracking tool
• You like learning new things and are open to exploring different approaches to solutions
• You like a healthy balanced relationship between work and free time - we don’t like overtime
• You know when and how to ask for help - we’re here to work together

We offer:
• Clearly defined pay grades: from L1 (talented junior) to L5 (a senior who is an expert in at least one technology we use)
• The career path that connects these grades - you know where your life is going (at least
• here with us)
• Loyalty coefficient: 10% on net compensation after 3 years in company, 20% on net compensation after 5 years
• Knowledge budget: extra money for conferences, books and training of your choice
• Flexible working hours and work from home
• End of the year bonus program
• We are transparent - from L-levels to salary, strategy, financial reports, and beyond
• You will have our full support towards gaining expertise
• An excellent team of senior engineers and data scientists"
Machine Learning Engineer (Belgrade),NA,2023-01-30 12:35:24,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=REiKFsHOrCsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Incode Technologies,Full-time,NA,"Belgrade, Serbia","The Opportunity

Incode is seeking talented Machine learning engineers to join our machine learning team.

We are building world-class solutions for facial biometrics, document analysis, and risk assessment.
You will help to design and build new machine learning components using state-of-the-art methods and algorithms.
You will be working in an experienced, hard-working, and open-minded team of great engineers.

We are looking for curious, driven, and hard-working candidates who want to be part of a culture of innovation and creativity that will revolutionize biometrics.

Responsibilities:
• Develop innovative CV solutions for challenging business problems that are fundamental for Incode
• Partner with product teams to analyze key business problems
• Collaborate with data science and engineering teams to integrate and validate computer vision solutions end-to-end
• Deliver enduring value in terms of software and modeling artifacts

Requirements:
• 2+ years of experience in Deep... Learning and Computer vision
• Worked on several comprehensive industry-level projects in computer vision (it should not be a part of your academic program)
• Fluency in Python
• Comprehensive knowledge in PyTorch or Tensorflow
• Creativity and curiosity for solving highly complex problems
• Fluent in English

Other skills:
• Experience in one of the following fields: face recognition and anti-spoofing, facial expression analysis, 3D face modeling or reconstruction, background analysis (removal, classification)
• C/C++ programming skills
• Experience in applying machine learning & computer vision to resource constrained devices (such as mobile phones"
Machine Learning Engineer,2023-01-19,2023-01-30 12:35:25,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=uXdPsLyzP5QAAAAAAAAAAA%3D%3D&fpstate=tldetail,Rising Academy Network,Full-time,NA,"Belgrade, Serbia","The context:

Across the developing world, more children than ever are in school – but they are not learning. A recent study estimated that less than 1% of schoolchildren in Sub-Saharan Africa attend a school where the teaching meets basic standards of quality. At Rising Academies, we’re changing that, and we want your help.

About us:

We are a growing network of inspiring schools in West Africa. Our mission is to unleash the full potential of every student, equipping them with the knowledge, skills, and character to succeed in further study, work, and day-to-day life. We support more than 250,000 students across Sierra Leone, Liberia, and Ghana through a combination of low-cost private schools we manage directly, and partnership schools we manage in collaboration with governments. Independent evaluations have found that Rising students make learning gains two to three times larger than their peers in comparable schools.

We have recently closed our Series A funding round and won a... multi-year, multi-million dollar grant to accelerate the development of our digital ed-tech solutions for low-income students across the globe. Our ‘Bambai’ suite of digital tools already includes a school information system, school observation tool, chatbot tutor, accelerated learning program, and teacher coaching app. This is just the start. We want to expand our range of digital products to help improve the quality of education for millions of students around the world. If you want to make a difference in the lives of teachers, students, and parents, then we are the right place for you.

About the role:

We are looking for a Machine Learning Engineer to join our product team for Rori, an AI-powered math tutor that students use over WhatsApp. As Rori is a chat–based interface, expertise in NLP is a must. You will be a founding member of our Machine Learning team and will be working in close collaboration with experts from organizations such as Oxford University, the University of Florida, and Schmidt Futures. You will be joining a small team solving big real-world problems, working in an agile environment, and deploying new features every week. We are all self-motivated and ready to support one another to get the job done. If you want to make a difference in the lives of teachers, students, and parents, then you are in the right place!

The Machine Learning Engineer will:
• Collaborate in the development of Rori's architectural design by working with key stakeholders, and other potential ML Specialist Consultants.
• Ensure Rori's automated A/B testing tools are designed, deployed, and utilized to their full potential.
• Develop a product feature for Rori that predicts student learning ability.
• Develop a scalable machine learning infrastructure.
• Co-design ML models, evaluate performance, refine models, and put them into production.
• Create a product feature based on a recommender system that enables Rori to offer users customized suggestions.
• Optimize data pipelines (acquisition, cleaning, transformation).
• Run evaluation experiments.
• Remain updated in the rapidly changing field of machine learning.
• Collaborate with academics at Oxford, UF, WPI, UC, and UPenn among others.
• Communicate with the product and content teams to inform and iterate on your models.

Location and reporting:

This is a full-time remote position and is open to candidates from around the world. The role reports to the CTO of Rising Academies.

Requirements

Qualifications and Experience:
• Bsc in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred BSc, MSc, or PhD in a relevant field or equivalent on-the-job experience.
• A minimum of 5+ years of experience developing and deploying machine learning systems into production
• Experience in deploying production-grade machine learning models.
• Experience with tools for managing the ML lifecycle (e.g. Airflow, Kubeflow, MLflow).
• Experience with cloud services and infrastructure as code.
• Experience with GitHub and testing components used to deploy CI/CD pipelines.
• Understanding of containerization to execute tasks in reproducible environments.
• Experience with NLP, specifically LLMs, common platforms (i.e Hugginface) and libraries.

Preferred But Not Essential
• Experience working in Edtech or a startup environment.

About You:
• You can communicate with technical teams and stakeholders in a multicultural environment, as well as clearly document reports for these audiences.
• You demonstrate people skills; must be able to collaborate effectively with diverse personalities and skill sets, and enjoy constructive conflict.
• You have a strong track record of professionalism, trustworthiness and working independently sometimes.
• You possess effective relationship building, and teamwork skills.
• You are proactive, self-driven and can take initiative and problem-solve.
• You are comfortable working with senior leadership, reporting on data and outcomes.
• You are willing to take risks, fail, learn, give and receive feedback, and try new approaches.
• You are passionate about improving the quality of education across Africa.

Benefits

We offer a competitive salary and benefits package. We regularly benchmark our compensation against comparable businesses, social ventures and non-profits.

Rising’s goal is to be transparent about salaries at all levels of the organization and have a standard, global pay scale for all positions that is non-negotiable.

The benefits we offer are built to have a strong added value on our staff’s well-being and we are excited to discuss this further with you in the process.

Rising is an Equal Opportunity Employer. We celebrate diversity and are committed to providing a work environment that is inclusive and free of discrimination and harassment. All employment decisions are based on individual qualifications without regard to race, color, religion, age, sex, sexual orientation, ethnicity, gender identity and expression, national origin, family or parental status, veteran or disability status.

Rising is committed to creating a culture within the organization, and its schools, that recognizes the importance of safeguarding children and prioritizing their rights and needs. We strive to uphold international safeguarding standards, and keep the safety and well-being of our students at the heart of what we do. All Rising employees are expected to abide by the Child Protection Policy, and to have the same level of commitment to protect children from harm. Safeguarding questions are part of every interview process and all Rising employees undergo reference checks before joining the organization"
Junior Machine Learning Engineer,2023-01-17,2023-01-30 12:35:25,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=CjvCHtq6BPMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Wonder Dynamics,Full-time,NA,"Novi Sad, Serbia","About the Company

Focused on the future of filmmaking, Wonder Dynamics is an LA-based start up founded by Actor/Producer, Tye Sheridan who’s starred in films like Ready Player One, X-Men: Apocalypse, Mud and VFX Supervisor/Filmmaker Nikola Todorovic. Their mission is to revolutionize the production and post-production process by leveraging state-of-the-art AI. They are striving to democratize the use of visual effects which will pave the way for the next generation of filmmakers. That mission attracted some of the most influential individuals in the film and tech industry that are now involved in their team.

Wonder Dynamics is backed by Epic Games, Samsung, Horizons Ventures (a Hong Kong VC firm with early investments in Skype, Siri, Facebook and more) and Founders Fund, a leading Silicon Valley VC that funded some giants like Space X, Facebook, Spotify, DeepMind, etc.)

Their Advisory Board consists of leaders in Hollywood and Silicon Valley:
• Joshua Baer, founder/CEO of Capital... Factory;
• Terry Dougas, Producer and financier of Film and TV. Founder of Rhea Films,1821 Media
• Angjoo Kanazawa, assistant professor at UC Berkeley and Google research scientist;
• Joe Russo Director, screenwriter, and Producer (directed Avengers: Infinity War and Avengers: Endgame)
• Robert Schwab - Private equity investor, President, and CEO of R&L Properties.
• Steven Spielberg - Film director, producer, and screenwriter
• Antonio Torralba - Professor and Head of AI and Decision making, EECS, Massachusetts Institute of Technology (MIT).
• Gregory Trattner - President, Film Finances Inc. (World leader in completion guarantees and film services)

What we are looking for
• Strong understanding of modern Machine Learning concepts
• Experience (academic or industry) in Computer Vision and Deep Learning with a focus on 3D body and motion reconstruction from images and videos, Generative deep learning methods, esp. for image generation, and/or Reinforcement learning
• The ideal candidate would be acquainted with Computer Graphics techniques, Neural Rendering, and Numerical Optimization
• Proficiency in general purpose programming languages: Python, and/or C++.
• Experience with ML frameworks such as: PyTorch, Tensorflow, etc.
• Research work and publications in the fields of Machine Learning, Computer Graphics and/or Computer Vision
• (Optional) Knowledge of 3D packages such as Blender, Maya or any game engine technology
• BSc in Computer Science, Mathematics, Electrical Engineering, or related technical field.
• Ability to speak and write in English fluently and idiomatically.

Why should you consider joining us?

At the intersection of film and technology, this job will offer a very unique experience, and you will be exposed to a diverse set of fields spanning from film production and visual effects to AI, machine learning, and computer vision. Because we are operating in the state-of-the-art territory, there will always be something new to learn on the horizon. We highly value our team and the support of our co-workers and strive to create the best environment to work in.

We offer a competitive salary, valuable stock options and comprehensive benefits that allow individual flexibility for all employees to choose what makes the most sense for their personal situation.

Wonder Dynamics is committed to a culture of flexibility, diversity, and fun for all of our employees. We are working on some of the most challenging technical problems and we know the solutions will come from all of us working together in an inclusive, transparent and open manner.

FLEXIBLE WORK OPTIONS: Remote, in-office & hybrid opportunities available"
"Data Scientist - Belgrade, Serbia",NA,2023-01-30 12:35:25,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=1MHRX24xMNwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Pactera EDGE,Full-time,NA,"Belgrade, Serbia","• Develop and assess AI algorithms, with a focus on NLP, based on large and complex data sets, across multiple projects and product lines, to meet customer requirements.

• Raise the awareness across the organisation natural language processing and understanding and prioritise key use cases for AI.

• Contributing to the development and ensuring adherence to relevant frameworks and regulations to ensure safe development of AI and data science applications.

• Collaborate with the Applied Research team to harness the latest developments in interactive AI and data.

• Assessing and advising on most appropriate AI techniques or approaches to develop, adapt or buy to build AI-first solutions.

• Development and assessment of high-quality AI-based solutions that take account of aspects such as transparency, accountability and trustworthiness.

• Clear and transparent reporting on technical progress of projects, identifying and highlighting risks and opportunities as appropriate.

• Utilize... Machine Learning and NLP techniques to drive innovation

Job Requirements:

• Solid grounding in computer science/software engineering or strong programming skills – You must write well-engineered code (maintainable, portable and documented).

• Flexible and agile work skills – You are comfortable working in a fast-paced, highly collaborative, dynamic work environment across multiple projects, with little or no direct supervision.

• Ability to write production-grade Python

• Exposure to the use of machine learning frameworks like Keras and PyTorch

• Ability to work with tools like Github

• Problem solving skills - You show initiative, eager to learn through self-learning and research.

• Excellent communication - You simplify technical concepts and outcomes are comfortable communicating verbally and in writing to a range of different audiences. You can create accurate, succinct, relevant and informative reports on progress and decision-points and can make clear recommendations on next steps.

• Data Protection – You have a good understanding of data protection laws and have a commitment to data protection and the ethical use of data.

• Hold a graduate and/or postgraduate degree in ML, AI, or discipline relevant to Interactive AI

• Proven success at developing or shaping AI systems and algorithms with a focus on NLP.

• Experience in translating theories (e.g. from social sciences or psychology) into AI for real world, commercial applications.

• Ability to work independent.

Why would you want to apply for this job?

• Working with us offers a dynamic experience to explore your talents, learn new technologies and open new horizons

• Training and genuine opportunity for progression through our Udemy platform in line with business needs

• Remote job

• Successful Team Environment

Details: Full-time position

Location: Belgrade, Serbia (Remote)

Pactera EDGE, a global digital and technology services company. We bring together data, intelligence and experiences to deliver human-centric solutions to complex business challenges.

Pactera EDGE are an equal opportunity employer and will not discriminate against any of our applicants on the grounds of race, gender, religion, background or any other reason.

Pactera EDGE focuses on Internet of Things. Their company has offices in Redmond. They have a large team that's between 501-1000 employees.

You can view their website at https://www.pacteraedge.com"
Senior ML Engineer,NA,2023-01-30 12:35:26,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=qCfhs9Avm-MAAAAAAAAAAA%3D%3D&fpstate=tldetail,Sounder,Full-time,NA,"New York, NY, USA (+1 other)","Machine Learning Engineer
Engineering, Sounder AI Team (, Full-time
...
About Sounder

Sounder is an end-to-end audio management platform focused on making every audio creator 10x better through data and insights. For years, creators have depended solely on their own instincts when making important decisions about their content. With Sounder, creators have a new way to operate, blending their creativity with contextual insights to supercharge their growth.

Since 2019, Sounder has been focused on helping audio creators get discovered and be heard. Today, we have more than 30k creators on our platform sharing their voices. We are scaling our team and are seeking the right person to help us engage our community and market our brand.

About The Role

As a Machine Learning Engineer working within the Data team, you’ll be a key member of Sounder’s overall Product & Engineering team, responsible for developing and executing against the product vision and engineering roadmap. We are seeking an experienced and skilled software engineer who is able to work at every step of building a scalable AI/ML solution for an audio data cloud particularly around ASR and NLP. This role requires understanding a Product Requirement Definition, proposing a scalable and practical AI/ML solution, discussing, evaluating options against consumers’ needs and infrastructure constraints and being able to independently develop the AI solution into a production level quality.

You will work closely with various departments throughout Sounder including but not limited to Design, Marketing, Product, and Data Science. You’ll have the opportunity to dynamically work with a wide variety of projects and challenges:

What You'll Do
• Plan, architect, and build AI/ML solutions both for Sounder’s SaaS and Enterprise platforms
• Daily collaboration between engineering and product to understand and determine strategies on how to build competitive AI/ML solutions for our overall platform
• Take initiative to learn, grow and develop technical skills to ensure Sounder’s product is exceptional
• Research new technologies to find the most optimal technical solutions
• Become an expert in podcasting technology and the overall audio industry
• What We're Looking For *
• 5+ years of experience in AI/ML software development against large consumer facing data; having worked with creator data is a plus;
• Strong understanding of AI and ML algorithms, evaluation techniques, scaling AI solutions, good grasp of open source libraries and datasets,
• Strong understanding of agile product development and coding principles,
• Experience with cloud based data stores and APIs (AWS preferred),
• A proven track record of planning and shipping successful technology
• BA/BS in an analytical field such as engineering, math, computer science, physics, Masters Degree in AI/ML related fields is a plus.
• An attention to detail and an eye for great architecture, performance, and scalability
• Strong analytical, organizational, and communication skills, both oral and written in English
• Eagerness to work in a fast-paced work environment
• Passion about creator economy, and love for podcasts!

Our Benefits
• Competitive salary and equity commensurate with experience and performance
• Full medical, dental, and vision packages to fit your needs
• Unlimited vacation policy; work hard and take time off when you need it
• A rare, ground-floor opportunity to work with sharp, motivated teammates solving hard challenges and changing the world in a fast-growing industry just getting started
• Sounder focuses on Audio, Content, Content Discovery, Content Delivery, and Content Creators. Their company has offices in New York City, Denver, Amsterdam, and Novi Sad. They have a small team that's between 11-50 employees. To date, Sounder has raised $1.8M of funding; their latest round was closed on March 2020.

You can view their website at http://www.sounder.fm or find them on Twitter, Facebook, LinkedIn, and Product Hunt"
Инженер по машинному обучению,2023-01-12,2023-01-30 12:35:26,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=Uv281XBs6DgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Rebels.ai,Full-time,NA,Serbia,"The rebels.ai rocks since 2019, we are always open to new specialists, constantly in search due to the growing number of projects.
We deal with the development of ML and data-driven systems for startups and large companies, projects for several months with a quick ""landing"" in the customer's infrastructure, communication with an existing team, or building a new one.
Lots of cool experience, good team, and ability to stay up to date on ML and data analytics.
Work is completely remote, if needed we can pay for co-working in your city.
Salary depends on your skills and will be discussed individually.
We are mostly interested in ML developers, data scientists, and front-end developers.
Do you want to be part of our team? Send your CV!"
AI/ML SDK Software Engineer,2023-01-25,2023-01-30 12:35:27,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=LuOmLRFug9AAAAAAAAAAAA%3D%3D&fpstate=tldetail,Tenstorrent Inc.,Full-time,NA,"Belgrade, Serbia","The Tenstorrent team combines technologists from different disciplines who come together with a shared passion for AI and a deep desire to build great products. We value collaboration, curiosity, and a commitment to solving hard problems. Find out more about our culture .

At Tenstorrent, we are developing silicon, software, and systems to address the rapidly growing demands of AI and machine learning workloads. We have taped out three generations of chips and continuously developing new ones.

Our chips are parallel dataflow processors with hundreds of AI-specialized engines, a high-throughput interconnect among the engines, and controllers of high-speed off-chip memory and communication peripherals. Each engine consists of a variable-precision math unit and multiple RISC-V cores.

Our SDK, consisting of a graph compiler, a runtime environment, runtime firmware for the engines, software that generates the runtime firmware, and supporting tools, provides a familiar environment to... machine learning developers while hiding complexities of scheduling and low-level execution.

Our systems range from single-chip boards for inference to multi-rack computers with hundreds of chips for training.

We are growing our team and looking for software engineers of all seniorities.

Responsibilities
• In this role you will develop graph compiler part of the SDK for the AI/ML processor.
• Implement, in C++ and Python, neural network graph transformations and logic that schedules and executes neural network operations on our AI/ML processor and systems. Optimize for high performance, high resource utilization, low latency, and low power consumption.
• Develop tools to analyze and visualize performance, hardware utilization, placement, routing, and power consumption.
• Define and implement new APIs in our SDK using Python and C++, to meet latest needs of AI and machine learning application developers, as our customers.
• Optimize and train modern neural networks on our chips and systems, as a proof of concept and as part of collaborating with our customers.
• Define new fundamental operations on tensors of data, as well as other functionalities to be implemented in silicon and firmware of our AI/ML processor, to increase performance and reduce power of executing modern neural networks.
• Test and ensure functional correctness and high performance of the execution schedule generated by the graph compiler, from a single operation to a whole neural network running on hundreds of chips.
• Perform other duties assigned from time to time.

Experiences And Qualifications
• Degree or final year of education in Computer Science, Computer Engineering, Software Engineering, Electronics, Math, or a related field.
• Passion for programming and solid foundation in algorithms and data structures.
• Passion for neural networks and related deep-learning architectures.
• Experience and proficiency in one or more programming languages, but not limited to: Python and C++.
• Experience with various deep learning architectures including RNNs, transformers, convolutional is great to have.
• Experience with any of these is a plus: functional programming, parallel systems, dataflow architectures, scalar and vector processor architectures, GPU architectures and programming models, digital signal processing systems, real-time hardware and firmware systems.

Ready to apply? Have more questions? Send us your resume or questions via the form below.

Tenstorrent offers a highly competitive compensation package and benefits, and we are an equal opportunity employer"
AMD ML Framework Software Development Engineer,2023-01-05,2023-01-30 12:35:27,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=RMVIiCLjDkoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Luxoft,Full-time,NA,Serbia,"Project Description:

Working on AMD GPU support for OpenAI/Triton — a language and compiler for writing highly efficient custom Deep-Learning primitives. Work with the open-source community to analyze, develop, test, and deploy performance improvements for neural networks implemented with Triton on GPUs with ROCm.

Methodology: scrum, agile

Team: 5+, continues to grow

Responsibilities:
• Development, support and optimization of OpenAI/Triton project for GPU.
• Communication with developers, customers and project managers.
• Creation, documentation, and executing of unit/component/functional tests.

Skills

Must have:
• C/C++ (Senior level) and Python (min Middle level) programming and software design skills, including debugging, performance analysis, test design, responsibility, and communication skills.
• Knowledge of GPU computing (HIP or CUDA, or OpenCL) (Senior level)
• Knowledge in ML/NN (Middle-Senior level)
• Experience developing C/C++ applications
• Strong knowledge of OOP... (Object-Oriented Programming)
• Software Version Control (Git)

Nice to Have:
• Knowledge of and experience with a state-of-the-art compiler stack such as LLVM and MLIR is highly desired.
• Basic understanding of PyTorch is a plus.
• Knowledge of ROCm.
• Experience in CMake, make/ninja build system.
• GEMM performance fundamentals.

Languages:

English B2 Upper Intermediate

💌 yulia.koroleva@dxc.com"
Data Scientist,2023-01-24,2023-01-30 12:35:27,https://www.google.com/search?q=Machine+Learning+Jobs+Serbia&ibp=htl;jobs&sa=X&ved=2ahUKEwjuzKKHhfD8AhWWLTQIHW1RAWcQutcGKAF6BAgTEAU#htivrt=jobs&htidocid=8buDFwpjDOIAAAAAAAAAAA%3D%3D&fpstate=tldetail,Gero,Full-time,NA,"Novi Sad, Serbia","Gero.ai is seeking a Data Scientist who has an interest in solving challenging ML/AI problems in the fields of longevity and digital health. The work will mostly entail exploratory work and numerous testing in an existing dataset, as well as creative approaches to finding/generating/requesting novel datasets.

About Gero

Gero is a preclinical-stage physics-enabled biotechnology company creating therapeutics against chronic diseases with a mission to slow down human aging itself.

Gero applies machine learning algorithms originating from the physics of complex systems to build clinically relevant disease progression models (phenotypes) in real-world human data and identify clusters of diseases with shared biology. Gero is developing GeroSense.ai, a digital biomarker of biological age which uses longitudinal data from smartwatches and smartphones as input.

Gero’s research has been published in Nature Communications and Science journals and is covered by Scientific... American.

Responsibilities:
• Solve problems in the most important industry (longevity)
• Develop DL/ML model from the prototype to the pre-production stage
• Work with time-series/longitudinal data from wearable devices (steps, activity, pulse, etc)
• Analysis of age and health signatures from high-dimensional biomedical data
• Represent results in a visually pleasant manner
• Proactively find datasets to prototype models
• Collaborate with other engineers, data scientists
• Write scientific papers and patents

Key Skills:

Python (PyTorch, Tensorflow, SciPy, Pandas, sklearn), Data Visualization, SQL (optional), Version Control Systems (git).

Education & Experience:

Required
• Masters in Computer Science, Data Science, Information Technology or equivalent
• 3+ years of experience as a data scientist or in machine learning
• Data engineering experience, including manipulation of large structured or unstructured datasets for analysis
• Hands-on experience in designing, training, using, and/or deploying machine learning models (using PyTorch or Tensorflow)
• Self-starter with a strong self-directed work ethic

Desired
• PhD student in Computer Science, Bioinformatics, Data Science, Information Technology or equivalent
• Experience in working with digital health data and/or biomedical data is an advantage
• Experience in writing scientific papers is an advantage (please attach a list of publications)
• Excellent data presentation skills"
