Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer [Remote],NA,2023-01-30 12:35:43,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=oYyujKN33Z8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Polymerize,Full-time,NA,Singapore,"At Polymerize, we provide materials informatics software for materials companies to accelerate their product development and efficiently manage data while bringing operational efficiency and AI driven material innovation to their R&D. We work at the intersection of AI and materials science and use our years of material research & experience background.

We are looking for an experienced ML Engineer to join our team.

Our expectations from you
• Implement robust and scalable pipelines for Continuous Integration (CI), Continuous Training (CT), Continuous Delivery/Deployment (CD), and Monitoring
• Implement pipelines for data ingestion, validation/cleaning, storage, and wrangling
• Work with Data Scientists to design and productionize custom ML model architectures and AI systems
• Design and improve the ML infrastructure by using best practices and third-party tools for automating processes
• Develop and automate internal workflows to allow seamless data access to Data Scientists and... Research Scientists
• Develop tools for understanding structured data using statistical techniques and visualizations

What you'll need?
• Version Control: GIT
• Databases: MongoDB, Redis
• System / OS: Linux
• Cloud: AWS Ecosystem
• Programming Languages: Python, BASH
• Tools: Docker, GitHub Actions
• Machine Learning: Scikit-Learn, XGBoost, Keras
• MLOps: MLFlow, Cortex, Seldon.io
• Other: FastAPI, Websockets, Celery / Ray

Abstract Skills:
• Working knowledge of Machine Learning and Deep Learning fundamentals
• Understanding of training, hyper-parameter optimization, testing, and model/data drift concepts
• Knowledge of multi-tier architectures with load balancers, caching, web servers, application servers and databases
• Hands-on experience in development, training, and deployment of ML models

Polymerize is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability or age.

Mail: contact@polymerize.io

Polymerize focuses on B2B, Manufacturing, and B2B · SaaS · Mobile · Artificial Intelligence / Machine Learning. Their company has offices in Singapore. They have a small team that's between 11-50 employees.

You can view their website at https://polymerize.io or find them on LinkedIn"
Machine Learning Engineer,2023-01-30,2023-01-30 12:35:43,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=I9csXgtzUkkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Airwallex,Full-time,NA,Singapore,"Airwallex is the leading financial technology platform for modern businesses growing beyond borders. With one of the world’s most powerful payments and banking infrastructure, our technology empowers businesses of all sizes to accept payments, move money globally, and simplify their financial operations, all in one single platform.

Established in 2015 in Melbourne, our purpose is to connect entrepreneurs, business builders, makers and creators with opportunities in every corner of the world. Today, Airwallex has a global footprint across Asia-Pacific, Europe, and North America.

As an ML engineer, you will work with a team of ML engineers on interesting ML problems in the risk management domain. You will build sophisticated features and models based on real world transaction data. We expect you to experiment with different features; try out various model architectures, from random forest, xgboost to DNN, LSTM and graph model; tune model performance; and build applications on top of... models to achieve business values.

Responsibilities：
• Analyze business requirements and turn them into ML problems
• Work on feature engineering and model training
• Collaborate with different teams to apply models to business problems
• Be an expert about the cutting-edge ML technologies and be able to pick the right model architecture for our problems
• Coach junior ML engineers to grow and be more effective in their job

Qualifications：
• Modeling background in risk domain, fraud detection experience is a plus
• Proficient in Python and/or a JVM language (Java, Scala, Kotlin)
• Experience with model training and ML libraries, such as scikit-learn, Tensorflow, PyTorch, Keras, etc.
• Experience with big data frameworks, such as Flink or Spark
• Familiar with SQL

At Airwallex you’ll have the ability to make an impact in a rapidly growing, global fintech. You’ll be offered a competitive salary and we also like to ensure we create the best environment for our people by providing a collaborative open office space with a fully stocked kitchen. We organise regular team building events, encourage flexible/remote working and we give our people the freedom to be creative.

Airwallex is proud to be an equal opportunity employer. We value diversity and anyone seeking employment at Airwallex is considered based on merit, qualifications, competence and talent. We don’t regard colour, religion, race, national origin, sexual orientation, ancestry, citizenship, sex, marital or family status, disability, gender, or any other legally protected status. If you have a disability or special need that requires accommodation, please let us know.

Airwallex does not accept unsolicited resumes from search firms/recruiters. Airwallex will not pay any fees to search firms/recruiters if a candidate is submitted by a search firm/recruiter unless an agreement has been entered into with respect to specific open position(s). Search firms/recruiters submitting resumes to Airwallex on an unsolicited basis shall be deemed to accept this condition, regardless of any other provision to the contrary"
Machine Learning Engineer,NA,2023-01-30 12:35:43,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=avdIFJXgK-IAAAAAAAAAAA%3D%3D&fpstate=tldetail,Razer USA Ltd.,Full-time,NA,Singapore,"Getting onboard Razer will place you on a global mission to revolutionize the way the world games. Razer is a place to do great work, offering you the opportunity to make an impact globally while working across a global team located across 5 continents. Razer is also a great place to work, providing you the unique, gamer-centric #LifeAtRazer experience that will put you in an accelerated growth, both personally and professionally.

Job Responsibilities :

Razer's analytics & insights team is growing and we are looking for a machine learning engineer with 1 to 2 years of experience in designing and developing machine learning systems to join us.
• Build, test data and model pipelines for machine learning applications and analytics purpose.
• Perform extract, transform, load operations from multiple data sources.
• Design, build, test, validate, and deploy machine learning systems based on requirements to productionize models for product development, marketing campaigns and business... strategies.
• Develop processes and tools to monitor and analyze data quality and model performance.
• Build data platform tools for stakeholders and team members for data visualization, catalog, and observability

Pre-Requisites :
• A drive to learn and master new technologies and techniques.
• Excellent written and verbal communication skills for coordinating across teams.
• Experience in programming languages such as Python, SQL.
• Knowledge of machine learning data structures and modeling, software architecture, libraries and frameworks to create data science products that accomplishes outlined goals.
• Experience using orchestration tools like Airflow or Prefect, distributed computing framework like Spark or Dask.
• Demonstrated experience in applying DevSecOps, DataOps and MLOps.
• Developed and deployed applications running on cloud systems such as AWS, Azure or Google Cloud Platform using Infrastructure as code tools such as Terraform, containerization tools like Dockers.
• Experience visualizing/presenting data for stakeholders using: PowerBI, Tableau.
• Experience on working with Enterprise level data platform and product would be a plus
• Has a Bachelor or Masters degree in Computer Science, Statistics, Mathematics or another quantitative field.

Are you game"
"Research Engineer, Machine Learning",2023-01-26,2023-01-30 12:35:44,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=VkNrVgANS6EAAAAAAAAAAA%3D%3D&fpstate=tldetail,NATIONAL UNIVERSITY OF SINGAPORE,Full-time,NA,Singapore,"Job Description

Vessel Collision Avoidance System is a real-time framework to predict and prevent vessel collisions based on historical movement of vessels in heavy traffic regions such as Singapore strait. We are looking for talented developers to join our development team to help us develop machine learning and agent-based simulation models to quantify vessel collision risk at Singapore strait and port. If you are data curious, excited about deriving insights from data, and motivated by solving a real-world problem, we want to hear from you.

Qualifications

A B.Sc. in a quantitative field (e.g., Computer Science, Statistics, Engineering, Science) Good coding habit in Python and able to solve problems in a fast pace Familiar with popular machine learning models Eager to learn new things and has passion in work Take responsibility, team oriented, and result oriented The ability to communicate results clearly and a focus on driving impact

Covid 19 Message

At NUS, the health and... safety of our staff and students are one of our utmost priorities, and COVID-vaccination supports our commitment to ensure the safety of our community and to make NUS as safe and welcoming as possible. Many of our roles require a significant amount of physical interactions with students/staff/public members. Even for job roles that may be performed remotely, there will be instances where on-campus presence is required.

Taking into consideration the health and well-being of our staff and students and to better protect everyone in the campus, applicants are strongly encouraged to have themselves fully COVID-19 vaccinated to secure successful employment with NUS.

More Information

Location: Kent Ridge Campus

Organization: Engineering

Department : Industrial Systems Engineering And Management

Employee Referral Eligible: No

Job requisition ID : 7334"
Lead Data Scientist (Machine Learning),2023-01-30,2023-01-30 12:35:44,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=eeWST1e8bIoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Employment Hero,Full-time,NA,Singapore,"Description

Employment Hero is an Australian tech unicorn - valued at over $1.25 billion.

Our world-class software is the easiest way for small and medium-sized businesses to manage HR, payroll, employee engagement, and benefits. We’ve grown 100% year-on-year since our inception in 2014, and now service over 90,000 businesses and 850,000+ active users globally. We have exciting growth plans for 2023 and beyond, powered by our mission of making employment easier and more valuable for everyone.

We take a Remote First approach with our team. Employment Hero can hire across the world, so long as candidates have eligible working rights and are in a suitable timezone to their colleagues. If you’ve got the skills for the role and the passion for our mission then we want to hear from you!

About The Lead Data Scientist Job

Employment Hero is continuing to innovate and grow, and have now opened a new opportunity for a Lead Data Scientist who can join us and be foundational in establishing... a Data Science function.

As our Lead Data Scientist, you will leverage our wealth of data gained through our broad Human Resources and Employee Experience products, developing new Machine Learning (ML) models, building advanced analytics and insights, whilst growing and developing a team of data professionals.

You’ll have an impressive challenge ahead of you, where you’ll provide sophisticated insights and intelligence, including for commercial use cases to our sales, marketing and product teams on customer trends and opportunities, and also to inform and build products for our clients where we can continue to make employment easier for small and medium sized businesses around the world.

We’re moving fast, and often build the plane while flying, we’re looking for someone who isn’t afraid to start running from day 1.

Some Of Your Responsibilities Will Include
• Design, develop, maintain and manage our data warehouses /data lake
• Build advanced Machine Learning / Analytics models
• Work with our product and engineering teams to use your ML initiatives, including developing products
• Be our data steward - own our governance, be a data security evangelist
• Coach, mentor and develop a small team of Data Analysts in Data Science
• Provide advice and work directly with our Chief Product and Technology Officer (CPTO) to scale the data function into the future

About Your Experience, Skills And Abilities
• Experienced as a Lead or Senior Data Scientist within a product lead technology business, including experience in ML for revenue generation
• Deep hands-on experience with creating Machine Learning models from scratch and getting them into production
• A passion for and confidence in Data Governance and stewardship
• An experience or desire to manage and develop a team
• Solid ability to code in Python, SQL, R

Nice To Haves But Not Essential
• Masters or PhD in a relevant field
• Experience with ETL or systems integration projects

Some Of Our Benefits
• Remote-first! With flexible working arrangements.
• Participate in our Employee Share Options Program - you’ll be a part owner of Employment Hero
• 20 days vacation leave, plus 1 Leisure Rules day a year
• Self, health, wealth and happiness programs
• We set you up for success with the latest and greatest hardware, tools and tech + a generous budget to spend on setting up your home office (if you need a desk, chair, screen? You name it!)
• Budgets towards continuing your learning and other generous allowances
• International annual company conference (Last conference we went to Phuket, Thailand!)
• Refer friends to open jobs and receive a cash bonus for every successful referral you make
• Virtual yoga classes
• Our Sydney office is dog friendly and remains open for team meetings, collaboration days and those who need a day away from their home office (we are a COVID-safe workspace for those who choose to use it)

We celebrate diverse perspectives and experiences, and we celebrate and invite people of all backgrounds and identities to apply for this position.

Why join Employment Hero?
• Raised $181M achieving unicorn status in February 2022
• LinkedIn Top 25 Startups 2021, ranked #2 in Australia
• The Australian Top 100 Innovators List 2021
• Raised $140M Series E round led by Insight Partners July 2021
• Raised $45M Series D round led by Seek 2021
• Deloitte Technology Fast 50 2020, ranked #42 in Australia
• LinkedIn Top 10 Startups 2020
• Raised $22M Series C Round led by Seek July 2019
• Raised $8 mill series B round led by Seek and OneVentures
• Deloitte Technology Fast 50 2019, ranked #20 in Australia
• GetApp Category Leader Q1 2019
• Deloitte Technology Fast 50 2018, ranked #12 in Australia
• HRD Gold Medalist - Human Capital Management Systems 2018
• HRD Gold Medalist - Rewards and Recognition Service Provider 2018
• HRD Rewards and Recognition Employer of Choice 2018
• LinkedIn Top 25 Startups 2018
• EY Entrepreneur of the Year National Finalist 2018

#ANZSG"
Machine Learning Engineer,2023-01-21,2023-01-30 12:35:44,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=qMQPjNt5_JEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Michael Page,Full-time,NA,Singapore,"As a qualified Machine Learning Engineer, you will be involved in the design and development of Data modelling, Data Mining, Statistical Analysis, Simulation, Operations Research & Predictive Analytics.

Our client, one of the largest engineering group in Singapore that bring innovation and technology together to create cutting-edge solutions

Description

As a Machine Learning Engineer, your responsibilities are below:
• Design, develop, test and maintain Machine Learning systems based on customers or internal stakeholder's requirements.
• Explore new Machine Leaning method, techniques and platforms
• Assist to maintain Machine Learning/AI knowledge repository

Profile

As a Machine Learning Engineer, you shall possess min. Degree, Master's Degree or PhD in Computer Science/Engineering, or other related field. At least 3 years of experiences in design and development of Machine Learning systems. You shall have the experience in Python or C++ as your main programming skill with... Kubernetes deployment work experience as well.

Job Offer
• Permanent position with stable career
• Involvement in exclusive government projects
• Good working culture with flexible work setting

To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Wilson Tay on +65 6416 9838"
Junior Machine Learning Engineer - NLP,NA,2023-01-30 12:35:45,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=USZFHyTlvicAAAAAAAAAAA%3D%3D&fpstate=tldetail,MeetKai,Full-time,SGD 60K–SGD 75K a year,Singapore (+2 others),"The Job

We are hiring CS grads that hold considerable experience in Machine Learning and deploying models in production. You will have the role of improving MeetKai's ML capabilities across NLP, Search, Personalization and Online Learning. ML theoretical knowledge, while useful, is not as necessary as the ability to test and deploy models and large scale datasets.

Building a next-gen voice assistant that can understand complex utterances and speak new languages will be a big part of your role, along with designing and implementing a highly intuitive experience for our users.

Join us and be part of a highly accomplished, deeply technical and close-knit team of machine learning engineers, where you will build infrastructures, tools, and develop machine learning applications to enable the implementation of exceptional conversational experiences.

Responsibilities
• Design and train personalization models, providing insights towards innovative new approaches and features tailored to... users in APAC
• Engineering Natural Language Processing and Speech components specific to your language
• Using the power of large amount of data to tackle complex NLP and machine learning problems
• Develop processes for automatic deployment of ML models upon improvements and train deep learning models at scale
• Productionize trained models (potentially on edge)

Requirements
• Bachelor's Degree in Computer Science, Information Systems or equivalent experience
• 3+ years of programming experience with Python
• Experience with Pytorch or Tensorflow
• Demonstrated ability to write thoughtful, maintainable code under tight deadlines in a fast paced environment

Nice to have
• Relevant work experience in Natural Language Processing, Machine Learning or related sub-fields
• Experience with online learning algorithms and models
• Fluency in a 2nd language: Chinese, Indonesian, Malay, Japanese, Korean, Hindi

MeetKai focuses on Machine Learning, Artificial Intelligence, Virtual Reality, and Mobile Application. Their company has offices in Singapore and Marina del Rey. They have a mid-size team that's between 51-200 employees.

You can view their website at http://www.meetkai.com or find them on LinkedIn"
Information Technology - Senior Data Sciences & Analytics Engineer (Machine...,2023-01-13,2023-01-30 12:35:45,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=Q23mzZqyD1cAAAAAAAAAAA%3D%3D&fpstate=tldetail,Singapore Airlines,Full-time,NA,Singapore,"Job Description

SIA has multiple positions for machine learning/deep learning experts to drive our AI and data science initiatives.

Key Responsibilities
• Member of the in-house AI Center-of-Excellence team that works on challenging problems in machine learning (including areas on NLP, computer vision, recommender system, transfer learning and reinforcement learning), mathematical optimization, game theory, and experimental design.
• Research and develop statistical machine learning and deep learning algorithms to meet complex product requirements. The scope includes defining hypotheses, executing necessary tests and experiments; evaluating, tuning and optimizing algorithms and methods; and having an eye towards cloud implementation ease, scalability, and robustness in a live customer-facing production environment.
• Provide technical direction and guidance to a small and highly skilled team of junior and senior data scientists embedded in Kanban data squads. These squads deliver... products/services in AI, data science and data analytics to stakeholders in a large number of business units. Serve as a go-to expert in your area of ML/DL expertise.
• Work closely with business stakeholders to create impactful and intelligent features/products. Collaborate with other team members including data scientists, data engineers and data strategists. Strategic ownership of all critical end-to-end AI processes.
• Administer/maintain performant cloud and on-premises GPU compute resources that train large ML models and provide inference microservices in production.

Requirements
• PhD degree related to computer science, advanced machine learning or other AI disciplines is required. Consideration will be given to exceptional candidates without advanced degrees.
• Advanced programming skills in Python. Strong technical skills in algorithm design/analysis, data structure and SQL. Intermediate-level mastery of functional/object-oriented software development using modern programming languages such as Scala, JavaScript, Java and C#.
• At least 3 years of relevant industry experience in two or more of the following areas:
• Expert-level hands-on skills in shallow and deep machine learning. Highly conversant with GPU-accelerated deep learning frameworks (such as TensorFlow and PyTorch).
• Demonstrated ability in rapidly adapting, training and deploying state-of-the-art AI models in production based on the latest published research papers and code.
• Knowledge and working experience in workflow, map-reduce or stream processing systems such as Spark and Kafka.
• Strong skills in Bayesian statistics and inference. Comfortable with the application of Bayesian and causal networks for probabilistic reasoning.
• Significant hands-on experience with AWS, GCP or similar public cloud environment.
• Excellent mentoring, interpersonal and communication skills for working with both technical staff and non-technical business users.
• Demonstrated intellectual firepower as a rapid problem-solver and tech lead.
• Experience with Agile/Scrum/Kanban methodologies is a plus"
Research Fellow (Machine Learning),2023-01-03,2023-01-30 12:35:46,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=BWsFp8ZL5YMAAAAAAAAAAA%3D%3D&fpstate=tldetail,NATIONAL UNIVERSITY OF SINGAPORE,Full-time,NA,Singapore,"Job Description

Postdoctoral Research Fellow (Machine Learning)

The Department of Geography at the National University of Singapore (https://fass.nus.edu.sg/geog/) is seeking one full-time Postdoctoral Research Fellow (RF) with relevant experience to work on assessing the impact of climate extremes in . The RF is expected to integrate advanced knowledge in data science to explore patterns in the plethora of open-access observations (e.g., satellite remote sensing, eddy covariance) of the earth system, in particular focus on the extreme climate in tropical Asia.

The ideal candidate is expected to be highly creative, have strong numerical and critical thinking skills, a working familiarity with the processes governing the terrestrial carbon cycle and the ability to work in a diverse environment. This position is funded by the NUS presidential young professor award. The initial contract will be 1 year with the possibility of renewal contingent on satisfactory job performance and... funding availability. We provide competitive salary (> S$65k/year) for the position with the consideration of years of experience postgraduate.

The duties of the RF include:
• Collect and organize large open-access data relevant to the terrestrial carbon cycle.
• Implement advanced machine learning method to explore patterns in big data.
• Develop algorithms to examine climate-carbon cycle interactions under extreme conditions.
• Presentation of results at international conferences.
• Writing and publishing in scientific journals.

Interested candidates should submit an application comprising: 1) a letter of interest with details of their research experience, interest and future plan (1-2 pages), 2) a full curriculum vitae, with contact information for three references (one of which must be from your PhD supervisor) and 3) the PDF of your best paper (optional). For full consideration, please submit your application by Oct 30th, 2022. The posting shall remain open until the position is filled.

NUS is one of the top universities in Asia, and its geography department has recently been ranked as the 5th best in the world. This position offers an excellent environment for working with a highly skilled interdisciplinary team and will provide chances to collaborate with researchers at both national and international institutes.

Please contact Assistant Prof. Xiangzhong (Remi) Luo (xzluo.remi@nus.edu.sg) with any questions regarding the position or application process.

Qualifications
• PhD in data science, mathematics, physics or a related field (preferably less than 3 years postdoctoral experience).
• Proficient coding skills in at least one of Matlab, R and Python.
• Experience processing large dataset and implementing mainstream machine learning techniques.
• Basic understanding of the application of machine learning in earth system science.
• Strong numerical and communication skills.
• Evidence of ability to publish results in relevant journals.
• An ability to work in an integrated team environment.

Covid-19 Message

At NUS, the health and safety of our staff and students are one of our utmost priorities, and COVID-vaccination supports our commitment to ensure the safety of our community and to make NUS as safe and welcoming as possible. Many of our roles require a significant amount of physical interactions with students/staff/public members. Even for job roles that may be performed remotely, there will be instances where on-campus presence is required.

Taking into consideration the health and well-being of our staff and students and to better protect everyone in the campus, applicants are strongly encouraged to have themselves fully COVID-19 vaccinated to secure successful employment with NUS.

More Information

Location: Block AS2-03-01

Organization: National University of Singapore

Department : Geography

Employee Referral Eligible:

Job requisition ID : 17567"
"Machine Learning Engineer, e-Commerce",2023-01-10,2023-01-30 12:35:46,https://www.google.com/search?q=Machine+Learning+Jobs+Singapore&ibp=htl;jobs&sa=X&ved=2ahUKEwi09_KPhfD8AhU4AjQIHT39Ce4QutcGKAF6BAgSEAU#htivrt=jobs&htidocid=11koTvvoPiQAAAAAAAAAAA%3D%3D&fpstate=tldetail,ByteDance,Full-time,NA,Singapore,"Responsibilities

TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

Our TikTok team is responsible for developing state-of-the-art machine learning models and strategies to improve user consumption experience, inspire creativity, build a fair and flourishing ecosystem.

Responsibilities
• Design and apply machine learning algorithm and recommendation strategies to improve users' experience on e-commerce content, including videos and livestreams.
• Understand ecosystem of e-commerce content and use algorithm and strategy to make it thrive.
• Work with product and ops team to deliver features that drives growth of e-commerce content on TikTok.
• Build industry leading recommendation system; develop highly scalable classifiers and tools leveraging machine learning

Qualifications
•... Bachelor's degree in computer science or a related technical discipline, with at least 2 years of related work experience;
• Solid experience with data structures and algorithms;
• Software development experience through hands on coding in a general purpose programming language;
• Experience in one or more of the following areas: machine learning, recommendation systems, data mining or other related areas;
• Strong communication and teamwork skills;
• Passion about technologies and solving challenging problems.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace.

At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too"
