Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,2023-01-22,2023-01-30 12:36:39,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=ufSUKZB35mMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Flash Group,Full-time,NA,"Cape Town, South Africa","Responsibilities:
• Contribute to the Data Science and AI strategy, particularly the strategy for operationalizing machine learning models
• Design and build automated, scalable and reliable Machine Learning CI/CD pipelines, including automatic re-training, re-testing and re-deploying
• Manage and monitor productionized machine learning models
• Enhance data collection procedures to include information that is relevant for building analytic systems
• Assist in the integration and development of an external analytics system, which involves various data processing and data science technologies
• Enable smarter processes and implement analytics for meaningful insights
• Keep current with technical and industry developments
• Communicate findings to all stakeholders

Minimum Requirements:
• B. Sc or B. Com in Physics, Computer Science, Applied Mathematics, Statistics, Data Science, Software Engineering or similar
• 5+ years of relevant professional experience, preferably in the fintech... industry

Knowledge / Skills:
• Strong analytical and problem-solving skills
• Expert in Python and SQL
• Experience with the modern software development best practices, e.g.
• agile software development
• code reviews
• unit testing
• version control, e.g. git
• CI/CD
• Experience with microservice architectures
• Experience working in an agile team
• Experience with ML frameworks and tools (e.g. pandas, numpy, scikit-learn, TensorFlow, Pytorch, Spark MLlib)
• Experience with cloud-based services such as Azure, AWS, etc
• Experience with modern ETL, compute and orchestration frameworks, e.g. Apache Spark, Apache Flink, Apache Kafka, etc.
• Experience with container technologies, e.g. Docker, Kubernetes
• Experience in building machine learning or AI systems
• Experience deploying models to production
• Experience working with ML platforms, e.g. MLflow, Kubeflow, etc.
• Experience with cloud-based infrastructure, e.g. Azure, AWS, GCP; ideally AWS
• Experience with robotic automation of processes within the Financial Services industry

Attributes:
• Self-motivated and assertive
• Strong analytical ability
• Strong verbal and written communication/ presentation skills;
• Team player and ability to operate independently
• Good interpersonal skills
• Trustworthy
• Ability to prioritise
• Ability to work in a pressured environment
• Deadline driven

#ZB"
Machine Learning Advocate Engineer - Africa Remote,NA,2023-01-30 12:36:40,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=bB-3lTpsOZMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hugging Face,Full-time,NA,South Africa,"Here at Hugging Face, we’re on a journey to advance good Machine Learning and make it more accessible. Along the way, we contribute to the development of technology for the better.

We have built the fastest-growing, open-source, library of pre-trained models in the world. With over 100M+ installs and 65K+ stars on GitHub, over 10 thousand companies are using HF technology in production, including leading AI organizations such as Google, Elastic, Salesforce, Algolia, and Grammarly.

About the Role

As a Machine Learning Advocate Engineer for Africa, you will have a key role in driving the adoption of the Hub platform and Open Source technologies by creating, fostering and growing communities, extending the use cases of the Hub, developing tools to improve the developer experience, and bringing feedback to the team. You’ll collaborate extremely closely with both the Open Source, Science and Product teams.

This is not a marketing position! Developer Advocacy at Hugging Face is deeply... technical and having a generalist mindset is essential. Our team contributes to libraries such as Transformers and Datasets, as well as external libraries, and being able to technically collaborate with the rest of the team is essential.

We value that each team member works on impactful projects that are interesting to them. As such, you’ll have a key part in defining your role and day-to-day activities. Depending on your interests, you could work on developing tools to expand the Hub to new domains such as Reinforcement Learning or Computer Vision in a week and craft blog posts, videos, talks and demos the next one.

About you

You'll love working here if you enjoy both developing your Machine Learning skills and amplifying your impact by engaging with the ecosystem. If you can spend Monday coding, Tuesday designing a workshop, Wednesday writing a blog post and Thursday crafting ML memes, this job opening is for you!

We are growing a team with diverse backgrounds and skills, and hence being proficient in other human languages and having deep connections with your local ecosystem is a strong bonus. Having experience in Open Source development is a huge bonus. Existing engagement in different platforms (GitHub, LinkedIn, Twitter, TikTok, Reddit, etc) is also a bonus but not required.

If you're interested in joining us, but don't tick every box above, we still encourage you to apply! We're building a diverse team whose skills, experiences, and backgrounds complement one another. We're happy to consider where you might be able to make the biggest impact.

More about Hugging Face

We are actively working to build a culture that values diversity, equity, and inclusivity. We are intentionally building a workplace where people feel respected and supported—regardless of who you are or where you come from. We believe this is foundational to building a great company and community. Hugging Face is an equal opportunity employer and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

We value development. You will work with some of the smartest people in our industry. We are an organization that has a bias for impact and is always challenging ourselves to continuously grow. We provide all employees with reimbursement for relevant conferences, training, and education.

We care about your well-being. We offer flexible working hours and remote options. We offer health, dental, and vision benefits for employees and their dependents. We also offer parental leave and unlimited paid time off.

We support our employees wherever they are. While we have office spaces in NYC and Paris, we’re very distributed and all remote employees have the opportunity to visit our offices. If needed, we’ll also outfit your workstation to ensure you succeed.

We want our teammates to be shareholders. All employees have company equity as part of their compensation package. If we succeed in becoming a category-defining platform in machine learning and artificial intelligence, everyone enjoys the upside.

We support the community. We believe major scientific advancements are the result of collaboration across the field. Join a community supporting the ML/AI community"
Junior Machine Learning Developer,2023-01-30,2023-01-30 12:36:40,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=EzTwdflkEA8AAAAAAAAAAA%3D%3D&fpstate=tldetail,confidencial,Full-time,NA,"Johannesburg, South Africa","Job Classification Job Family Information Technology Career Stream Application Development Leadership Pipeline Manage Self Technical

FAIS Affected Job Purpose To design, prototype, and build next:
Generation analytic engines and services by applying strong expertise in matching learning , data Confidential and information Confidentialrieval. Job Confidentialponsibilities: :
Develop statistical models and algorithms through the use of libraries and abstractions: :
Conducts explority data analysis: :
Create value out of enterprise wide data: :
Provide insights to BI and BA to further exploit and present their models. : :
Apply advanced analytical techniques such as machine learning and artificial in---ligence in order to derive business value. : :
Conduct data discovery for inclusion in models. : :
Keep abreast with latest tools and techniques. : :
Focus on spesific date poibnt within the data process life cycle. : :
Access and clean data and validate data quality. : :
Indentify... addiiotnal data sources. : :
Collaborates with model developers to implement and deploy scalable Confidential : :
Implement and maintain complex models and algorithms that drive innovation throughout the organization. : :
Ensure improvement of on:
Time performance and network planning,: :
Conduct self development through Confidentialearching best practices, conducting experiments, and collaborating with industry leaders. : :
Work with large data sets, simulation/ optimization and distributed computing tools (Map/Confidentialuce, Hadoop, Hive, Spark, Gurobi, Arena, etc. ): :
Monitor and maintain models in production and Confidential:
Train if necessary. : :
Support the achievement of the business strategy, objectives and values. : :
Stay abreast of developments in field of expertise. : :
Ensure personal growth and enable effectiveness in performance of roles and Confidentialponsibilities. : :
Contribute to the Nedbank Culture building initiatives (e. G. Taff surveys etc. ). : :
Participate and support corporate Confidentialponsibility initiatives for the achievement of business strategy. : :
Seek opportunities to improve business processes, models and systems though agile thinking. People Specification Essential

Qualifications : NQF Level Tylemargin:
Top: 0. 0;:
Ottom: 0. 0: : :
Matric / Grade 12 / National Senior Certificate: :
Advanced Diplomas/National 1st Degrees Preferred Qualification Degree Computer Science, Econometrics , Mathematical Statistics. Essential Certifications Tylemargin:
Top: 0. 0;:
Ottom: 0. 0:
Preferred Certifications Minimum Experience Level: :
Degree in computer science, statistics, or operations Confidentialearch or Confidentialated technical discipline. : : : : 3 years' experience in a statistical and/or data science role: :
Cursory knowledge of machine learning, statistics, optimization or Confidentialated field: :

Experience with R, Python, Matlab is Confidentialuired, programming in C, C++, Java: :

Experience working with large data sets, simulation/ optimization and distributed computing tools (Map/Confidentialuce, Hadoop, Hive, Spark, Gurobi, Arena, etc. ): :
Excellent written and verbal communication skills along with strong desire to work in cross functional teams: :
Attitude to thrive in a fun, agile start:
Up like environment. Technical / Professional Knowledge Tylemargin:
Top: 0. 0;:
Ottom: 0. 0: : :
Data Confidential >: :
Data Tools: :
Data Warehousing Behavioural Competencies Tylemargin:
Top: 0. 0;:
Ottom: 0. 0: : :
Planning and Organizing: :
Collaborating: :
Continuous Improvement: :
Innovation: :
Leveraging Feedback: :
Applied Learning: : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : :

: : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : :

: : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : :
The Nedbank Confidentialruiting Team at"
Machine Learning Engineer (JHB CPT),NA,2023-01-30 12:36:40,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=rdRIKpGlcvYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Datafin Recruitment,Full-time,NA,"Cape Town, South Africa","Machine Learning Engineer (JHB & CPT) IT - Analyst, Data Management

Cape Town - Western Cape ~ Johannesburg - Gauteng

ENVIRONMENT:

BUILD, implement, improve and support the AI platform which will support delivery of the AI strategy as the next Machine Learning Engineer sought by a forward-thinking Financial Services Provider. The ideal candidate must possess a suitable tertiary qualification in Information Technology/Computer Science or similar discipline, have 2+ years' Software Development including proficiency in Python, SQL, Git, CI/CD, Docker, Kubernetes, Linux, Windows and experience with Machine Learning concepts and frameworks & tools including pandas, numpy, scikit-learn, TensorFlow, Pytorch, Spark MLlib. You will also require experience with modern ETL, compute and orchestration frameworks such as Apache Spark, Apache Flink, Apache Kafka, etc.

REQUIREMENTS:

Qualifications -
• A relevant qualification in Information Technology - Computer Science or Engineering - other.
•... Master's Degree in Information Technology - Computer Science or Engineering - other (ideal or preferred).

Experience/Skills -
• 2+ Years Software Development experience.
• Object Oriented and functional programming in Python.
• Modern Software Development practices.
• Database querying using SQL.
• Data life cycle.
• Machine Learning concepts and model life cycle.
• Strong analytical and problem-solving skills,
• Experience with the modern software development best practices, e.g.
• Agile Software Development
• Code Reviews
• Unit Testing
• Version Control, e.g., Git
• CI/CD
• Experience with Microservice Architectures.
• Experience working in an Agile team.
• Experience with ML frameworks and tools (e.g., pandas, numpy, scikit-learn, TensorFlow, Pytorch, Spark MLlib).
• Experience with modern ETL, compute and orchestration frameworks, e.g., Apache Spark, Apache Flink, Apache Kafka, etc.
• Development experience in both Windows and Linux.
• Experience with container technologies, e.g., Docker, Kubernetes.

Nice to haves -
• Experience building Machine Learning or AI systems.
• Proficiency in R language.
• Experience deploying models to production.
• Experience building distributed systems.
• Experience with NoSQL databases.
• Experience working with ML platforms, e.g., MLflow, Kubeflow, etc.
• Experience working with Data Science platforms, e.g., Dataiku, Domino, etc.
• Experience with cloud-based infrastructure, e.g., Azure, AWS, GCP; ideally AWS.
• Data Science lifecycle
• Distributed system design.
• Big Data storage and processing solutions.
• Machine Learning model architectures.

ATTRIBUTES:
• Analytical skills.
• Decision making skills.
• Planning, organising and coordination skills.
• Research skills.

Apply for this Job"
"Engineer, Machine Learning",2023-01-23,2023-01-30 12:36:41,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=yCYUYs3j6msAAAAAAAAAAA%3D%3D&fpstate=tldetail,Standard Bank Group,Full-time,NA,"Johannesburg, South Africa","Company Description

Standard Bank Group is a leading Africa-focused financial services group, and an innovative player on the global stage, that offers a variety of career-enhancing opportunities – plus the chance to work alongside some of the sector’s most talented, motivated professionals. Our clients range from individuals, to businesses of all sizes, high net worth families and large multinational corporates and institutions. We’re passionate about creating growth in Africa. Bringing true, meaningful value to our clients and the communities we serve and creating a real sense of purpose for you.

Job Description

To work with business stakeholders to identify and deliver on new AI initiatives. To apply deep domain expertise to shape/influence the AI-thinking in the organisation through thought leadership; enabling the successful adoption and acceleration of AI and ML across Standard Bank Group (SBG), ensuring the needs of stakeholders are correctly understood and... addressed.

Qualifications
• Masters - Computer Science, Math, Engineering
• Cloud certification, Machine Learning certification.

Experience
• 5-7 years Experience in the Artificial Intelligence and Machine Learning area.

Additional Information

Behavioural Competencies
• Generating Ideas
• Exploring Possibilities
• Interpreting Data
• Examining Information
• Documenting Facts

Technical Competencies
• Emerging Technology Monitoring
• Requirements Elicitation
• Data Analysis
• Systems Design
• Use of Libraries and Frameworks"
Machine Learning Engineer,NA,2023-01-30 12:36:41,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=9uacDVq-dEUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Capitec,Full-time,NA,"Stellenbosch, South Africa","Apply By

We're on the lookout for energetic, self-motivated individuals who share our passion for service in the banking industry. To be part of the journey, follow the steps below:
• To see what life at Capitec is all about and complete a short assessment, please click here !
• Once you have completed the above finalize your application by clicking apply below

Purpose Statement
• To build, implement, improve and support the AI platform which will support delivery of the Capitec AI strategy.
• To collaborate in creating and delivering the AI strategy to ensure Capitec is able to compete in a fast changing landscape. The effective use of AI technologies will be a key strategic differentiator in the future.

Experience

Minimum:

Proven Experience In
• 2+ yrs software development experience
• Strong analytical and problem-solving skills
• Expert in Python and SQL
• Experience with the modern software development best practices, e.g.
• agile software development
• code reviews
• unit... testing
• version control, e.g. git
• CI/CD
• Experience with microservice architectures
• Experience working in an agile team
• Experience with ML frameworks and tools (e.g. pandas, numpy, scikit-learn, TensorFlow, Pytorch, Spark MLlib)
• Experience with modern ETL, compute and orchestration frameworks, e.g. Apache Spark, Apache Flink, Apache Kafka, etc.
• Development experience in both Windows and Linux
• Experience with container technologies, e.g. Docker, Kubernetes

Ideal
• Experience in building machine learning or AI systems
• Proficiency in R language
• Experience deploying models to production
• Experience building distributed systems
• Experience with NoSQL databases
• Experience working with ML platforms, e.g. MLflow, Kubeflow, etc.
• Experience working with Data Science platforms, e.g. Dataiku, Domino, etc.
• Experience with cloud-based infrastructure, e.g. Azure, AWS, GCP; ideally AWS

Qualifications (Minimum)
• A relevant qualification in Information Technology - Computer Science or Engineering - Other

Qualifications (Ideal Or Preferred)
• Masters Degree in Information Technology - Computer Science or Engineering - Other

Knowledge

Min

Must have knowledge of:
• Object oriented and functional programming in Python
• Modern software development practices
• Database querying using SQL
• Data life cycle
• Machine learning concepts
• Machine learning model life cycle
• Microservice architectures

Ideal

Knowledge of:
• Data Science lifecycle
• Distributed system design
• Big data storage and processing solutions
• Machine learning model architectures

Skills
• Analytical Skills
• Decision making skills
• Planning, organising and coordination skills
• Problem solving skills
• Researching skills

Conditions of Employment
• Clear criminal and credit record
• A valid driver's license and own vehicle is required
• Contactable via own mobile phone

Capitec is committed to diversity and, where feasible, all appointments will support the achievement of our employment equity goals"
Machine Learning Team Lead,NA,2023-01-30 12:36:42,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=9UHQhCl3FWQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Networkers,Full-time,ZAR 1–ZAR 2 a year,"Cape Town, South Africa","Machine Learning, AI, Big Data, Software Engineering Manager"
Machine Learning Engineer,2023-01-27,2023-01-30 12:36:42,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=mAGP5j86xPUAAAAAAAAAAA%3D%3D&fpstate=tldetail,De Beers Group SA,Full-time,NA,"Johannesburg, South Africa","Post:

Machine Learning Engineer Ref No:
REF38235VDepartment: Engineering

Location:
Johannesburg, South Africa

Job Description:

The purpose of the Machine Learning Engineer is to develop algorithms and software for computer vision-based diamond identification and classification equipment."
Machine Learning Engineer,NA,2023-01-30 12:36:42,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=sS0Z9d2oD9gAAAAAAAAAAA%3D%3D&fpstate=tldetail,GoldmanTech (Stand-Out Staffing),Full-time,NA,"Cape Town, South Africa","Job Description

We have an amazing opportunity for a Machine Learning Engineer based in Cape Town!

We Require a Candidate With
• Bachelors Degree in Computer Science/IT or National Diploma in Computer Science/IT
• Maths / Stats / Computer Science / Data Science / Artificial Intelligence Qualification (or related)
• 6+ years’ experience developing multiple productionized Machine Learning solutions with automatic re-train, re-score, re-deployment
• Solid experience with Retail, Credit Risk, Python, Sklearn, Tensorflow and up-to-date knowledge of ML / DL techniques, building AutoML and Feature Store pipelines, building

Should you meet the requirements for this position, please email your CV to it.careers@goldmantech.co.za. You can also contact Claudia on 031 350 4019 or alternatively you can visit our website www.goldmantech.co.za

Should you not hear from us within 3 days, please consider your application unsuccessful."
Machine Learning Engineer (Jnr - Mid),2023-01-15,2023-01-30 12:36:43,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjl_eiqhfD8AhW9MzQIHc7sA00QutcGKAF6BAgTEAU#htivrt=jobs&htidocid=vm5H_Fy1ouUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Progressive Edge,Full-time,NA,"Cape Town, South Africa","Machine Learning Engineer (Jnr - Mid)

Cape Town

The Machine Learning Engineer is an emerging specialist professional who will kick start their careers by supporting the ML team to apply computer science (including data structures, algorithms, computability and complexity) statistical modeling, and software engineering in machine learning operations (MLOps) to build cutting edge, end-to-end ML data models. The role supports the development of solutions and design of self-running and automated software and predictive models to enable the Group increase efficiencies, reduce costs, identify opportunities that generate value and drive data as a competitive advantage.

Role Description
• Participate in stakeholder meetings and work with senior colleagues to analyze business problems, clarify requirements and define the scope of the resolution needed.
• Collaborate within a cross-functional team of Data Scientists, Engineers and Analysts in order to understand project goals, and build... implement and scale-up algorithms for measurable impact.
• Display basic understanding of ANN's, CNN's, RNN's, autoencoders, fundamental data science concepts (linear and logistic regression, SVM's, dimensionality reduction), decision trees, gradient boosting, ensemble models, etc. to develop machine learning models.
• Work with above architectures within deep learning frameworks such as Keras and TensorFlow.
• Demonstrate foundational understanding of relevant applications and/or systems (including, but not limited to, the machine learning algorithms) being created.
• Build basic algorithms based on statistical modelling procedures and build and maintain machine learning solutions in production.
• Use data modelling and evaluation strategy to find patterns and predict unseen instances.
• Train models on large-scale data and fine tune hyper-parameters.
• Research appropriate machine learning algorithms and tools and work with senior colleagues to select the correct libraries, programming languages and frameworks for each task.
• Apply understanding of theoretical frameworks in computer science fundamentals, including data structures, algorithms, computability, complexity and computer architecture.
• Keep abreast of technological developments in the field and integrate the latest data technologies into existing requirements.
• Follow best practices and standards of machine learning operations (MLOps) workflows for data preparation, deployment, monitoring and retraining to enable agile application methods to projects, and support machine learning models and data sets within a CI/CD process.

REQUIREMENTS
• Bachelors Degree in Data Science, Computer Science, Mathematics, Statistics, Information Technology, Information Systems or a related field
• +2 years experience working with machine learning frameworks, models or systems with strong mathematical and statistical experience skills
• Exposure to common machine learning, data, math and visualization libraries (i.e. Pandas, pyTorch, SciPy, NumPy, Scikit-Learn etc.)
• Exposure to developing Machine Learning & NLP solutions over opensource platforms such as (TensorFlow, SparkML, OpenCV, pyTorch, etc.)
• Exposure to different coding environments (local, notebooks, containers) and software engineering workflows (testing, code management/Git)
• Understanding of relational databases as SQL, MySQL

Preferred but not required
• Familiarity with a cloud environment (AWS, Azure, GCP) and containerized environment (Mesos, Kubernetes, Docker) and CI/CD (Jenkins, AWS Code Pipelines)
• Experience in a retail, commercial or IT environment"
