Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
"Senior Software Engineer, Machine Learning, Google Research",2023-01-19,2023-01-30 12:38:26,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=HrFZQWgmRkkAAAAAAAAAAA%3D%3D&fpstate=tldetail,Google,Full-time,NA,"Zürich, Switzerland (+1 other)","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

With your technical expertise you will manage project priorities... deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.

Google Research addresses challenges that define the technology of today and tomorrow. From conducting fundamental research to influencing product development, our research teams have the opportunity to impact technology used by billions of people every day.

Our teams aspire to make discoveries that impact everyone, and core to our approach is sharing our research and tools to fuel progress in the field -- we publish regularly in academic journals, release projects as open source, and apply research to Google products"
Ph.D. Internship in Machine Learning for Protein Design (m/f/d),2023-01-10,2023-01-30 12:38:26,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=lzELzTLMRvAAAAAAAAAAAA%3D%3D&fpstate=tldetail,"1201, Roche",Full-time,NA,"Basel, Switzerland","The Position

The Swiss Machine Learning (ML) group within Prescient Design in Roche is seeking a Ph.D. Intern in Machine Learning for Protein Design with a demonstrated research background in machine learning, a passion for independent research and technical problem-solving, and a proven ability to develop and implement ideas from research.

Our mission is to develop and apply methods in designing novel macromolecules. You'll have the opportunity to work on the deep learning subfield of machine learning with a focus on methods that incorporate (graph/geometric/combinatorial) structure as well as methods capable of effective representation learning that can help drive and sharpen the research questions we study. Fundamentally, our research goals allow us to collaborate closely with and–contribute uniquely to–many different project teams across the company.

Details of the Internship:
Start Date: Summer 2023
Duration: 3 - 4 months

The Role
• You will develop cutting-edge machine... learning methods for the analysis of biological data and processes, which can be represented as graphs or sequences, with a focus on structural biology data and chemical molecules and applications to drug discovery, design, and development
• You will collaborate closely with cross-functional teams across gRED and pRED to solve complex problems in structural and computational biology
• You will be expected to contribute to and drive publications.

Who you are
You are an ambitious student currently enrolled in your Ph.D. Studies in Computer Science, Statistics, Applied Mathematics, Computational Biology, Computational Chemistry, or Physics.

Moreover, you have:
• Good knowledge of machine learning fundamentals and expertise in at least one of the following: graph representation learning, generative models, geometric deep learning, and reinforcement learning. Experience with ML on biological data is desired but optional.
• Strong publication record and experience contributing to research communities, including conferences like NeurIPS, ICML, ICLR, AISTATS, UAI, CVPR, ACL, etc.
• Strong Python programming skills
• Hands-on know-how in building and training neural networks — experience with at least one DL framework (preferably Pytorch), keen to build unconventional models, a knack for getting things to work
• Eagerness to contribute to scientific and computational efforts.

To be considered, please send us your complete application merged into one PDF, including
• CV
• Motivation Letter (including desired start date )
• A certificate of enrollment (if you are currently studying)
• For non-EU/EFTA citizens: Certificate from the university stating that an internship is mandatory (required due to regulations). Please upload it together with your application.

Please have a look at our Q&A section for more information: https://careers.roche.com/global/en/faq

We look forward to receiving your application!

Who we are

At Roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. Working together, we’ve become one of the world’s leading research-focused healthcare groups. Our success is built on innovation, curiosity and diversity.

Basel is the headquarters of the Roche Group and one of its most important centres of pharmaceutical research. Over 10,700 employees from over 100 countries come together at our Basel/Kaiseraugst site, which is one of Roche`s largest sites. Read more.

Besides extensive development and training opportunities, we offer flexible working options, 18 weeks of maternity leave and 10 weeks of gender independent partnership leave. Our employees also benefit from multiple services on site such as child-care facilities, medical services, restaurants and cafeterias, as well as various employee events.

We believe in the power of diversity and inclusion, and strive to identify and create opportunities that enable all people to bring their unique selves to Roche.

Roche is an Equal Opportunity Employer"
Embedded Machine Learning Engineer (C++),NA,2023-01-30 12:38:26,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=otWxOodPl0cAAAAAAAAAAA%3D%3D&fpstate=tldetail,Scandit,Full-time,NA,"Zürich, Switzerland","*Please note as much as this is a remote position, we are only able to consider candidates based in (or willing to relocate to) Switzerland, Finland, Poland, France, Italy, Spain, Germany, and the UK.*

At Scandit, we develop real-time computer vision solutions for smartphones, wearables and robots that combine modern machine learning approaches with computer vision. To expand our engineering team, we are looking for an engineer with strong C++ programming experience and a keen interest in machine learning, to work on on-device deep learning for our computer vision pipelines.

About The Role You will be working with image processing and computer vision specialists to develop algorithms for real-time barcode decoding, text recognition and object detection for robust real-world performance.

You’ll have a strong C++ programming background, along with some exposure to machine learning, with a passion to improve this knowledge.

Other responsibilities could include:

• Implement deep... learning algorithms for mobile devices that run in real-time, in high resolution and in challenging real life variations of scale and lighting
• Help design and maintain a C++ framework involving complex computer vision and machine learning pipelines
• Collaborate with a large group of engineers on a C++ codebase that is cross-compiled and delivered to hundreds of millions devices.
• Train ML models in Python, and contribute to their design
• Be a shining example of code quality, strive for excellence in test coverage, modularity and scalability of our solutions

Who You Are• Proven industrial experience in C++ (> 3 years)
• MSc in Computer Vision or related fields
• Knowledge of machine learning, and a strong interest in improving within the domain
• Passionate about sustainable code development: modularity, clean architectures, test driven development, good software documentation
• Good communicator, team player
• Strong analytical mindset and attention to detail
• You are willing to go beyond your role, your team and (sometimes) your comfort zone to make a cross-functional impact on the business

What We OfferHere are just some of the reasons why people choose to build their career at Scandit:

• A highly skilled team and a fun environment where you can put your enthusiasm for cutting-edge technologies to use
• Excellent office infrastructure, optimized for hybrid working in Zurich, Warsaw, Tampere, and London.
• Excellent support for remote work across the UK, France, Italy, Spain, and Germany
• Innovation hackathons
• People-first culture
• Global team outings
• Festive/end of year all company celebrations
• Your birthday off
• An attractive individual equity plan in a high growth company
• Do good and give back with 2 impact days where you are able to give time to one of our trusted nonprofit partners
• Specific benefits related to the location you are joining

Who We AreScandit enables enterprises and consumers to change the way they interact with everyday objects and augment the physical world with real-time data captured by scanning barcodes and recognizing text, objects, and other visual identifiers using smartphones, tablets, wearables, drones and robots.

Scandit’s mobile data capture platform is built on proprietary computer vision, augmented reality, and machine learning technologies. Companies in industries such as retail, transportation & logistics, manufacturing, and healthcare can use Scandit’s technology to create and power mobile apps for crucial enterprise workflows like mobile point of sale, mobile shopping, self-checkout, inventory management, and proof of delivery.

Many of the world’s most innovative and successful companies are benefiting from Scandit’s enterprise-grade mobile data capture platform, including Sephora, Nissan, DHL, and Levi Strauss & Co.

Scandit was founded by a group of researchers from ETH Zurich and MIT. The company is headquartered in Zurich and is also represented in Boston, London, Warsaw, Tokyo and Tampere. Over the years, our company has evolved into a world-class team of mobile image processing, cloud-computing and “Internet of Things” experts from around the globe.

“Everybody is welcome here” - Is a celebrated component of our DNA.

At Scandit we strive to create an inclusive environment that empowers our employees. We believe that our products and services benefit from our diverse backgrounds and experiences and are proud to be a safe space for all.

All qualified applications will receive consideration for employment without regard to race, colour, nationality, religion, sexual orientation, gender, gender identity, age, physical [dis]ability or length of time spent unemployed.

#LI-MB1

#LI-Remote
#LOC-RemoteEurope
#engineering
#LI-midsenior"
1 PhD Position in Machine Learning and Computer Vision,2023-01-10,2023-01-30 12:38:27,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=sHRz-aHmQnEAAAAAAAAAAA%3D%3D&fpstate=tldetail,University of Bern,Full-time,NA,"Bern, Switzerland","Positions: We have an opening for 1 PhD position in the areas of machine learning and computer vision. The position is on motion estimation (such as optical flow and structure from motion) via deep learning. Research will be performed in the Computer Vision Group at the University of Bern. The position is immediately available and will be filled as soon as a suitable candidate is found. Your profile: We are looking for a highly motivated candidate, who is eager to get involved in cutting edge, creative research. You hold a Master of Science in Computer Science, Mathematics or Engineering, with a solid background in machine learning and computer vision. You have excellent skills in applied mathematics, in probability theory, and a programming language (e.g., Python, C/C++). You have a solid background in Deep Learning and you are already a proficient programmer in one of the main Deep Learning libraries (e.g., TensorFlow, PyTorch). We expect fluent communication skills in English.What... we offer: You will be part of a team of academic researchers working on state of the art technologies for machine learning and computer vision. You will have the chance to contribute to and participate in the international research community. We are located in Bern in the core of Switzerland, one of the cities with the highest quality of life worldwide. You will receive a very competitive salary and be given financial support to attend training courses and international conferences.Application and further information:Applications must be submitted to Prof Paolo Favaro, through the submission website link http://cvg.unibe.ch/vacancies/Applications submitted directly via email will not be considered"
Senior Machine Learning Engineer - Special Projects Group,NA,2023-01-30 12:38:27,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=DZDvIvQGfi4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Apple Switzerland AG,Full-time,NA,"Zürich, Switzerland","Senior Machine Learning Engineer - Special Projects Group

Key Qualifications

Key Qualifications
• In-depth expertise in deep learning (DL), statistical machine learning (ML), and specifically with deep reinforcement learning (DRL)
• In-depth theoretical understanding of the foundations of Reinforcement Learning, practical experience is a plus.
• Familiar with current DL literature and the math of machine learning: optimization methods, common types of models and layers, etc.
• Understanding and experience of modern machine learning concepts and state of the art deep learning frameworks
• Experienced with distributed training and cloud compute infrastructure— Demonstrated experience scaling neural network training jobs across clusters of GPU’s
• Ability to train and debug deep learning systems: Define metrics and datasets, performing error analysis, training models in a modern DL framework
• Excellent programming skills in Python, C/C++ is a plus
• Strong publication record... demonstrating innovative research
• Passionate about building extraordinary products
• Creative, collaborative, and product focused
• Excellent communication skills — you collaborate effectively with other teams and communicate clearly about your work

Description

DescriptionAs a member of the team, you will work on a hardware/software product enabled by the ML technologies you build. Our team pursues research & development in the areas of machine learning (ML) with a particular focus on deep learning (DL), optimization, and deep reinforcement learning (DRL). You will work on one of the most challenging technical problems of today, and develop new ML solutions that will impact and enable future Apple products. You’ll join a fantastic team of talented engineers and researchers with deep experience in robotics, machine learning, and software engineering. You will research and develop innovative ML strategies for challenging problems that will affect future Apple products. We hope you’re excited about the values that drive us: Passion for the mission: We’re here to make something great. We take on whatever work is right for the product and strive for the best possible results. Humility: The right answer is more important than being right. We search for solutions as a team and value clear-eyed feedback. Lean habits: You can’t grow without limits. Time constraints and big goals encourage us to sharpen our focus and learn to make great decisions.

Education & Experience

Education & ExperiencePhD or Masters degree in Machine Learning, Robotics, Statistics, Computer Science, or equivalent professional experience.

Additional Requirements

Additional Requirements"
Senior Machine Learning Engineer,NA,2023-01-30 12:38:28,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=4aDWcNi4MosAAAAAAAAAAA%3D%3D&fpstate=tldetail,DevITjobs,Contractor,NA,"Zürich, Switzerland","Salary 125’000 - 145’000 CHF per year Requirements:- - You have 5+ years of experience with data science, with particular focus on Deep Learning and Computer Vision.- Furthermore, you gained 2+ years of experience with DevOps and MLOps concepts, ideally using GitHub workflows.- You enrich your team with strong programming skills in Python, incl. clean/modular and production-ready code.- You are experienced in working with large data sets and in building auto-scaling ML systems & MLOps.- You have good business acumen and ability to communicate technical matters to non-experts.- You enjoy collaborating in a diverse environment, and developing fit-for-purpose solutions together with PO’s, ML Engineers and other developers.- You’re working in a startup spirit (all hands on deck / MVP thinking).- You are proficient in EnglishResponsibilities:- Do you want to shape the vision of noimos from a ML Engineer’s perspective? Side by side with your new colleagues, you will develop efficient... production-ready analytical models that help drive the claims revolution.Your new mission looks like this:- It all starts from the business problem: you collaborate with the Product Owner and other business stakeholders to understand business needs, and design fit-for-purpose ML solutions.- You then technically design, create, test and implement complex models (ML incl. computer vision) and end-to-end pipelines.- At the same time, you will be responsible for managing running ML pipelines, including logging output, prioritizing and implementing bugs.- You underpin this by writing production-ready code, following DevOps and MLOps concepts.- You are a team player, co-defining our standards, supporting with code reviews, and discussions around common problems.Technologies:- CI/CD- Computer Vision- DevOps- Docker- GCP- GitHub- Product Owner- PyTorch- Python- SQL- numpy- opencv- pandas- CloudMore: noimos is a Zurich-based, but globally focused, start-up harnessing the potential of ML, computer vision and design to shake up the insurance industry and revolutionize the all-important claims process.We are an independent subsidiary of one of the largest insurance groups in the world, AXA, enjoying many of the benefits that that brings.From a personal point of view, noimos is a small group of experienced professionals, with strong background in technology, entrepreneurship, and insurance. We are passionate about making a difference with our products and enjoying ourselves along the way.The challenges we tackle at noimos are diverse, demanding, and meaningful.Our tech stack:- Python and computer vision libraries (e.g., numpy, pandas, OpenCV, scikit-image)- Frameworks associated with training and evaluation of image recognition tasks (PyTorch, Tensorboard, COCO)- Databases (SQL)- Infrastructure (GCP, GPU, Docker, GitHub, Actions, CI/CD)- This turns you into the perfect candidate"
(Senior) Machine Learning Engineer in a fast-growing AI Startup,2023-01-18,2023-01-30 12:38:28,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=H-TxJ6lvXmYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Lightly AG,Full-time,NA,"Zürich, Switzerland","At the ETH spin-off Lightly, we build software solutions to help companies improve their deep learning models. The available data for deep learning grows faster than human tagging and available compute power.

Our customers already face this problem and have too much data to process. As a solution, we built software to identify and work with the most relevant samples only.

Learn more about us on our website.

We are a team of talented developers and researchers in Zurich and are backed by YCombinator. Every member of the team is going to have a massive impact.

Thus, we are looking for an experienced engineer with lots of passion for the subject. We offer attractive cash- & equity package for you to become part-owner of Lightly.

Remote work is also possible.

We use a modern stack of :
• PyTorch, Python, Typescript, C++, React, NodeJS
• Docker, Kubernetes, Google Cloud Platform, AWS

Tasks

As a Machine Learning Engineer, you will be part of a team which solves the data annotation... bottleneck with state of the art deep learning technology.

Particularly, you will get to :
• Work on our open-source python package for self-supervised learning : https : / / github.com / lightly-ai / lightly .
• Work on our on-premise solutions including many different computer vision tasks like object detection, segmentation, tracking, and more.
• Work on our sampling solutions, e.g. for active learning.
• All these tasks will include working with state-of-the-art technology such as self-supervised learning, active learning, and deep learning for computer vision in general.
• Participate in and hold paper sessions about the latest papers in the field

Ideally, you have :
• MSc or PhD in Computer Science, Engineering, or a related field
• Experience in deep learning and computer vision, ideally in self-supervised learning and active learning.
• Excellent Python coding skills and knowledge of software engineering best practices.
• Experience with building and shipping software solutions.
• Strong passion for new technologies and interest in keeping up with the latest technologies and publications in deep learning.

Benefits

We offer attractive cash- & equity package for you to become part-owner of Lightly. Remote work is also possible.

Interested? Contact us!

We look forward to getting to know you"
Robotics and Machine Learning Engineer - Special Projects Group,NA,2023-01-30 12:38:28,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=a5hwEkxP1N4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Apple,Full-time,NA,"Zürich, Switzerland","Summary
Posted: 23 Dec 2022

Role Number:200453746

Apple is looking for a world-class machine learning and robotics engineer to accelerate the development and evaluation of AI technologies at the core of our Special Projects Group (SPG) focused on autonomous systems. You will join a team of excellent researchers and software engineers where you can apply your expertise in software engineering, robotics and modern machine learning to shape the future of Apple products. You will work on one of the most challenging technical problems of our time and have the opportunity to innovate and create groundbreaking technology that enables complex autonomous systems.

Key Qualifications

Key Qualifications
• Excellent Python and C++ development skills.
• 5+ years of experience in machine learning and/or robotics (e.g., computer vision or field robotics).
• A proven record of successfully deploying ML and robotics platforms in the real world.
• Knowledge of modern robotics machine learning... methods for perception and decision-making.
• A passion for software systems design with good interfaces and modularity and clean, well-tested and correct code.
• Experience working on large software projects using version control and collaboration tools.
• Demonstrated creative, critical and independent thinking capabilities and troubleshooting skills.
• A creative, collaborative, and product-focused mindset.
• Willingness to pick up novel tasks and acquire novel skills.
• Strong verbal and written communication skills in English.
• Solid grasp of data science and statistics is a plus.
• Familiarity with cloud infrastructure, distributed compute frameworks, and storage backends (e.g., AWS, Spark, Presto, SQL and databases) is a plus.
• Experience with full-stack (frontend and backend) web development or visualization of large volumes of data is a plus.

Description

Description
In this role, you will:
- Develop high quality software contributing to the advancement of machine learning and robotics at SPG.
- Work with a creative team of people to develop data-driven approaches to identify and analyze challenging scenarios for our systems to shape their learning algorithms.
- Cut through the ambiguity of open-ended real-world problems posed by autonomous systems and develop cutting-edge solutions for them, scaling your solutions to petabyte-size data pipelines.
- Collaborate with other teams, including the ML and data infrastructure teams, as well as various research and systems engineering teams.

We hope you're excited about the same values that drive us:

Passion for the mission: We’re here to make something great. We take on whatever work is right for the product and strive for the best possible results.
Humility: The right answer is more important than being right. We search for solutions as a team and value clear-eyed feedback.
Lean habits: You can’t grow without limits. Time constraints and big goals encourage us to sharpen our focus and learn to make great decisions.

Education & Experience

Education & Experience
PhD or Masters in robotics, machine learning, computer science, or equivalent work experience.

Additional Requirements

Additional Requirements"
Computer Vision / Machine Learning Intern,NA,2023-01-30 12:38:29,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=bBlsy19NMLYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Apple Switzerland AG,Full-time,NA,"Zürich, Switzerland","Computer Vision / Machine Learning Intern

Key Qualifications

Key Qualifications
• Excellent programming skills with Python
• Excellent understanding of 2D and 3D Computer Vision, as well as Machine Learning, especially Deep Learning
• Proven experience with CV and ML tools (Torch, PyTorch, NumPy, TensorFlow, OpenCV)
• Good software design, problem solving and debugging skills
• Excellent communication and collaboration skills
• Available for 6 months or more

Description

DescriptionThis position requires a highly motivated person who wants to help us do fundamental academic research as well as invent real-world solutions. You will be responsible for implementing, evaluating and improving Computer Vision and Machine Learning algorithms based on the latest advancements in the fields.

Education & Experience

Education & ExperienceCurrently enrolled in your penultimate year of studies in a Computer Science, Computer Vision, Computer Graphics, Machine Learning or equivalent (Master's... or PhD).

Additional Requirements

Additional Requirements"
Software Engineer​/Machine Learning,2023-01-20,2023-01-30 12:38:29,https://www.google.com/search?q=Machine+Learning+Jobs+Switzerland&ibp=htl;jobs&sa=X&ved=2ahUKEwiHjr3dhfD8AhXDJzQIHTMcBWsQutcGKAF6BAgPEAU#htivrt=jobs&htidocid=1E-t3qXtbo8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Isomorphic Labs,Full-time,CHF 80K–CHF 100K a year,"Lausanne, Switzerland","Position: Software Engineer (Machine Learning
Software Engineer, Machine Learning, London or Lausanne

We are looking for engineers with various levels of experience - Mid through to Senior, Principal, Staff or equivalent levels.

This is an extraordinary opportunity to join a new Alphabet company that will reimagine drug discovery through a computational- and AI-first approach.

We are assembling a world-class, multi-disciplinary team who want to drive forward groundbreaking innovations. As one of the first members of this pioneering organisation, you will play a meaningful role in building this team, embodying an inspiring, collaborative and entrepreneurial culture.

This early-stage venture is on a mission to accelerate the speed, increase the efficacy and lower the cost of drug discovery. You’ll be working of the new era of ‘digital biology’ and advancing a new type of biotech that will deliver transformative social impact for the benefit of millions of people.
Your impact

This... is an exciting opportunity for you to work on a greenfield ML-based software platform that will transform the biopharmaceutical world as we know it.

Working in a highly creative, iterative environment, you will be partnering with leading engineers, scientists and ML researchers to build the critical platform driving that transformation. This is a newly created role and you will need to use your previous experience and show initiative in order to fully carve out your contribution.
What you will do
• Design and create a world-leading ML drug discovery platform by developing secure, scalable, cloud-based software and libraries
• Develop tools to enable large-scale machine learning experiments.
• Partner with the ML Research, Drug Design, and Data Engineering teams to design, develop, train, and evaluate a variety of cutting edge ML models.
• Maximise model performance, scalability, and robustness for production use within our computational platform.
• Collaborate with the MLOps team to support model operation in production.
• Create novel instrumental drug discovery tools in partnership with domain experts, taking end-to-end ownership from rapid prototyping to production-quality code
• Iterate collaboratively with scientists and domain experts to gather feature requirements and user feedback

Skills and qualifications

Essential
• Strong experience with developing large-scale machine learning models
• Experience with a variety of modern ML frameworks in production settings, including at least one of PyTorch, JAX, or Tensor Flow
• Experience with the full ML development lifecycle
• Experience partnering with research and product teams to prototype then productionise ML models - particularly Deep Learning and Neural Networks
• Strong software engineering experience with software design / architecture skills
• Extensive programming experience writing production code using any mainstream programming languages, e.g. Python, Java, C++, Go
• Experience building secure/scalable platforms/products on cloud
• Demonstrate ongoing career progression / trajectory and a passion for learning
• Either a Bachelor’s degree in Computer Science, a related technical field, or equivalent practical experience
• Strong understanding of data structures and algorithms
• Basic understanding of maths and statistics
Nice to have
• Strong experience in Python
• Basic knowledge of biology / chemistry
• Experience working with biomedical data
• Knowledge of the pharmaceutical industry, ideally with a focus on drug discovery
• Experience building, deploying and maintaining production systems on GCP
Behaviours and attributes
• Grounded and original thinker: you combine the best from industry with new ideas and creative approaches, taking well-informed risks to advance progress
• Motivated by purpose and impact:
Self-directed, chooses the most effective path to maximise impact in pursuit of higher level purpose, operates a clear bias for action
• Experimental:
Comfortable with ambiguity, embraces new ideas, responds quickly and adapts to maximise opportunities
• Collaborative and inclusive: you are willing to go the extra mile and work beyond role remit, building strong partnerships with a variety of collaborators
• Curious mindset:
Strong interest in self-development, learns from setbacks as well as successes"
