Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Scientist,NA,2023-01-30 12:38:58,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=-_uBll1OZcYAAAAAAAAAAA%3D%3D&fpstate=tldetail,ASUS Robotics & AI Center,Full-time,NA,"Taipei, Taiwan","• Work with other stakeholders to gain new insights from data by employing statistical and/or machine learning models.
• Employ fast experimentation, iterations, and exploratory data analysis to reduce time to market.
• Work with data-infrastructure engineers to build up top-notch data infrastructure and tools.
• Write clean, maintainable, and well-commented source code.
• Work in a cross-functional team that takes ownership of the full software lifecycle.
• Independently read relevant literature and share your insights and knowledge with other stakeholders.
• Collaborate with other teams to make optimal software architecture design decisions.
• Master’s degree or PhD in computer science, electrical engineering, mechanical engineering, applied mathematics, or a related field.
• Exceptional academic track record with expertise in data science, statistics, machine learning, and/or artificial intelligence.
• Expertise in deep learning frameworks such as TensorFlow and/or PyTorch... Hands-on experience with training deep learning models such as CNN, RNN, and/or graph NN. Familiarity with traditional machine learning models.
• Exceptionally strong understanding of fundamentals and problem solving skills.
• Strong verbal and written communication skills.
• Understanding of software development best practices, including coding standards, code reviews, design patterns, source control management, and test automation.
• Programming skills in C++, Python, JavaScript, and/or Go.
• Work with experts from around the world
• Top-notch facility and compensation
• Fully English-speaking work environment in Taiwan
• Combination of the best aspects of a startup, academia, and a large international enterprise"
Machine Learning Engineer,NA,2023-01-30 12:38:58,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=hiHGqCvBIs8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Taiwan AILabs,Full-time,NA,"Taipei, Taiwan","Taiwan AILabs is looking for top talents to develop world-class AI researches. We need Machine Learning Engineer of all areas:
Speech recognition and synthesis
Image and face recognition
Intent understanding and dialog system
Music composition and generation

We develop the next-generation AI solutions. Our team empowers intelligence for Taiwan healthcare system, smart cities solutions and social natural conversations. The team collaborates with top research Institutes in the world and works on cutting edge technologies in large-scale system. Our mission is to define the future experiences with AI for the world.

We are looking for top engineers or scientists that have strong technical skills and are passionate about this area. We have open positions from junior to senior engineers both in platform and machine learning/natural language areas.

Company:

Taiwan AILabs

Qualifications:

Required skills
Strong ability in problem solving. Capable to reach out for solutions and to... collaborate with top AI projects around the world.
Eager to experiment and solve day-to-day problems by proof of concept with strong quality in mind.
Strong ability in applying data structures and algorithms learned in school, including analyzing performance.
Fast learner in new areas. Experience in one or more of major programming languages (C++, C#, Java), as well as scripting languages (Python, Perl, etc.)
Good to have
Involved in open source development
AI related experiences such as, deep learning experince (CNN, RNN, LSTM… etc), speech process experience (recognition, NLP, … etc), image process experience (face recognition, etc)
Familiarity with large scale distributed systems, and map-reduce.

Tagged as: Academia, Machine Learning, Taiwan"
"Software Engineer, Machine Learning",NA,2023-01-30 12:38:58,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=rnCvBPTH3goAAAAAAAAAAA%3D%3D&fpstate=tldetail,Appier,Full-time,NA,"Taipei, Taiwan","Appier is an AI SaaS company on a mission to make AI easy, by making software intelligent. Founded in 2012, Appier has 17 offices across APAC, U.S. and Europe and is listed on the Tokyo Stock Exchange. Visit www.appier.com for more information.

About the role

Appier's mission is to make AI easier for everyone to use. To achieve this, we build AI systems to connect heterogeneous data in the cross-screen era, to process information efficiently while achieving our goals, and to solve new and exciting real-world problems. Are you passionate about AI, and looking to be part of this flourishing AI age? Do you want to witness how different types of data play a key role in concurrent AI systems and contribute to improving the capability of these systems? Do you want to build incredible AI systems and watch them grow to meet our product needs? If yes, we'd love to talk to you.

Task of the role
• Build a flexible framework to speed up the development process of AI models
• Turn exciting AI... prototypes/ideas into products
• Develop next-generation AI backend systems related to large-scale real-time data access, collection, analytics and monitoring
• Continuously improve the quality of AI production systems

About you

[Essential]
• BS/BA degree in Computer Science or related field with 2+ years experience in related industry
• Know basic software testing (able to write unit test for algorithms)
• Experience in Unix/Linux environments.
• Strong problem-solving skill and passion for learning new technologies.
• Great communication skills to work side-by-side with scientists, and collaborate with engineers, product managers and other teams.
• Write clean and maintainable code.

[Nice to have]
• Familiarity of the machine learning flow of building a data-driven AI system.
• Experience in query authoring and optimization of SQL/NoSQL databases.
• Experience with distributed computing and machine learning frameworks (Spark, Hadoop or Flink).
• Experience in one of the following programming languages: Python/C++/Scala.
• Experience with one or more continuous delivery tools including but not limited to: Jenkins, Ansible, Docker, Kubernetes.

Why join us?

We believe in building a great working environment where passionate individual can give their best, and to work with a talented team. To reward Appiers for their contribution, we also work hard to offer perks and benefits to make their life better

Perks and benefits
• Company office locations at the heart of central business district (CBD) in all our countries.
• Well stocked pantry with snacks and drinks
• Competitive salary
• Health insurance for all employees
• Your choice between Mac and Microsoft OS
• Frequent company and team gatherings to celebrate success and life in general"
Machine Learning Engineer,NA,2023-01-30 12:38:59,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=hHgZJuR7JPAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Taiwan AI Labs_台智擎股份有限公司,NA,NA,"Datong District, Taipei City, Taiwan","【工作內容】

Taiwan AILabs is looking for top talents to develop world-class AI researches. We need Machine Learning Engineers in all areas:

－Speech recognition and synthesis
－Image and face recognition
－Intent understanding and dialog system
－Music composition and generation

Required skills
－Strong ability in problem-solving.
－Capable to reach out for solutions and to collaborate with top AI projects around the world.
－Eager to experiment and solve day-to-day problems by proof of concept with strong quality in mind.
－Strong ability in applying data structures and algorithms learned in school, including analyzing performance.
－Fast learner in new areas.

- 職務類別：軟體設計工程師,演算法開發工程師
- 工作待遇：待遇面議
- 工作性質：全職
- 上班地點：台北市大同區
- 管理責任：不需負擔管理責任
- 出差外派：無需出差外派
- 上班時段：日班
- 休假制度：依公司規定
- 可上班日：不限
- 需求人數：1~2人

【相關條件】

- 工作經歷：2年以上
- 學歷要求：碩士以上
- 公司產業：其它軟體及網路相關業
- 科系要求：不拘
- 語文條件：英文--聽 /精通、說 /精通、讀 /精通、寫 /精通
- 擅長工具：不拘
- 工作技能：Machine Learning

【其他條件】

- 其他：Good to have
－Involved in open source development
－AI... related experiences such as, deep learning experince (CNN, RNN, LSTM… etc), speech process experience (recognition, NLP, … etc)
－Familiarity with large scale distributed systems, and map-reduce.
－Experience with 3D computer vision algorithm (3D reconstruction, SLAM, camera calibration).
－Experience with face recognition.
－Experience with object detection, semantic segmentation, and instance segmentation in street or aerial review.

【公司福利】

- 福利制度：正職福利制度

▌彈性工時：正常工作時數內，每日1hr的彈性工時

▌彈性遠端：每週1~3天的遠端工作日

▌工作環境：吧台公共空間，提供自助零食、新鮮水果、飲料、原豆研磨咖啡機

▌年度休假：優於勞基法之特休

▌免費健檢：一年一次健康檢查

▌團隊聚餐：每個月定期公司組織員工聚餐一次、尾牙、春酒、不定期員工活動

年終獎金,三節獎金/禮品,零食櫃,咖啡吧,結婚禮金,國內旅遊,部門聚餐,特約商店,免費下午茶,可遠端/在家上班

更多工作資訊請參考：https://www.104.com.tw/job/77sw8"
Data Scientist,NA,2023-01-30 12:38:59,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=S2OVHVaFRNQAAAAAAAAAAA%3D%3D&fpstate=tldetail,Dupont,Full-time,NA,"Taipei, Taiwan","About DuPont Corporate Functions

To be the best science company in the world, we need more than scientists. We need passionate people who are the best at finance, human resources, law, logistics, and so much more. While we’re deeply rooted in science, DuPont careers span a wide range of skills and disciplines. Our teams are focused on achieving the best results for our customers and the business. They're inspired by innovation, excited by collaboration, and strive to achieve more agile ways of moving the business forward. Learn more about us here: https://www.dupont.com

The data scientist/engineer will work with DuPont manufacture teams and Continuous Improvement teams. They are going to be part of a project team to develop an end-to-end solution for manufacture operators to enhance or improve their operation efficiency and effectiveness by optimize the process monitoring, prediction and decrease failure rate.

In a data scientist role, you will be responsible for modeling complex... manufacturing process problems, discovering insights and identifying opportunities through the use of statistical, machine learning, mining and visualization techniques.

【JOB DESCRIPTION】
• Collaborate with stakeholders to identify the business requirements, formulate lists of questions in analytics terms, and the expected outcome.
• Identify and select relevant and credible data sources, and provide technical instructions to data analysts to collect, integrate and mine data.
• Identify and analyze patterns. test hypotheses, and build models.
• Conducts advanced data analysis and complex algorithm to help stakeholders to discover and quantify leading information.
• Solves stakeholders’ problems through analytics and communicate results and methodologies through an iterative collaboration process.
• Partner with stakeholders to ensure the expected qualification and assurance of the information.
• Design and participate in implementation of analytics pipelines and visualization by collaborating with other digital/site team members.

【REQUIRED QUALIFICATIONS】

General Requirement
• A college degree or higher in Engineering and/or Science.
• 2 + year experience in data analytics and data pipelines.
• Strong coding skills in Python and/or R, including data processing, statistics, ML, and visualization.
• Quick self-learner to understand the manufacture process and engineering mechanism.
• Excellent communication and customer-facing skills with the ability to explain technical approaches and rationale of findings in easy-to-understand terms to scientists, engineering, and business developers.
• Excellent team player.

Data Scientist Specific Requirement
• Expertise in Statistics e.g. feature engineering, time series, regression models, principal component analysis, multi-variance analysis.
• Expertise in Machine Learning techniques e.g. supervised and unsupervised methods, classifications, clustering, bootstraps, forests, boosting, etc.
• Proficiency in implementation of descriptive, predictive, and prescriptive models in manufacturing domain.
• Familiar with Microsoft Azure Cloud PaaS.
• knowledge on chemical process first principle models, e.g. kinetics, thermo-dynamic, system optimization, etc.

DuPont is an equal opportunity employer. Qualified applicants will be considered without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability or any other protected class. If you need a reasonable accommodation to search or apply for a position, please visit our Accessibility Page for Contact Information.

For US Applicants: See the “Equal Employment Opportunity is the Law” poster at: http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf
For our U.S. Affirmative Action Policy, click here"
Intern- AI Software Platform Engineer,NA,2023-01-30 12:39:00,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=CoiNuXEjSyEAAAAAAAAAAA%3D%3D&fpstate=tldetail,Qualcomm,Internship,NA,"Hsinchu, Hsinchu City, Taiwan","Company:

Qualcomm Semiconductor Limited

Job Area:

Interns Group, Interns Group > Interim Engineering Intern - SW

Qualcomm Overview:

Qualcomm is a company of inventors that unlocked 5G ushering in an age of rapid acceleration in connectivity and new possibilities that will transform industries, create jobs, and enrich lives. But this is just the beginning. It takes inventive minds with diverse skills, backgrounds, and cultures to transform 5Gs potential into world-changing technologies and products. This is the Invention Age - and this is where you come in.

General Summary:

Job Overview

Do you want to work in the biggest emerging field of technology since the birth of the Internet? Machine learning is going to change EVERYTHING. We are rapidly expanding our AI Software Engineering team in Taiwan. This team has been working with a large number of other AI R&D teams around the world. We invite you to join this team to apply your skills to expand Qualcomm’s already impressive AI... portfolio (known as Qualcomm AI Stack) , with a special focus on software platform to fulfill AI applications for Mobile, Automotive, IoT and HPC devices. We combine high performance software with cutting edge hardware to run deep neural networks fast, and we do it with the lowest power on our incredible range of Snapdragon processors.

In this position you will be responsible for enabling advanced machine learning usage scenarios on top of Qualcomm’s hardware and software infrastructure and participate in system software, tools development, maintenance and evolution for various ML computing SDK for Qualcomm processors. To extend SDK’s capability and applicability, you will work with neural network frameworks like Pytorch and TensorFlow, extend our neural net engine to support the latest and greatest DNNs emerging from the research community, and optimize for next generation hardware acceleration cores. You will also validate the performance and accuracy of the engine through detailed analysis and test coverage. Live and breathe software development with excellent analytical, development, and debugging skills and partner with industry-leading organizations for delivering next generation of machine learning technology into the hands of millions.

Minimum Qualifications

• Master student in Computer Science, Electrical Engineering, or related field.

• Good experience with Programming Language such as C, C++, Java, Python etc.

Preferred Qualifications

• Experience in large-scale software project.

• Ability to speak and write in English fluently.

• Experience in machine learning software stack and hardware architecture.

• Experience in programming domain-specific accelerators, including DSP, GPU etc.

• Experience in compiler design and implementation, image/video/speech algorithms and software/hardware implementation techniques.

• Experience in Unix, Android or Linux operating system, framework, application and development environment.

Applicants : If you need an accommodation, during the application/hiring process, you may request an accommodation by sending email to accommodationsupport

To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.

If you would like more information about this role, please contact Qualcomm Careers (http://www.qualcomm.com/contact/corporate) .

EEO Employer: Qualcomm is an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or any other protected classification.

Equal Employment Opportunity: https://www.eeoc.gov/sites/default/files/migrated_files/employers/poster_screen_reader_optimized.pdf

""EEO is the Law"" Poster Supplement : https://www.dol.gov/sites/dolgov/files/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf

Pay Transparency NonDiscrimination Provision: https://www.dol.gov/sites/dolgov/files/ofccp/pdf/pay-transp_%20English_formattedESQA508c.pdf

Employee Polygraph Protection Act: https://www.dol.gov/sites/dolgov/files/WHD/legacy/files/eppac.pdf

Family Medical Leave Act: https://www.dol.gov/sites/dolgov/files/WHD/legacy/files/fmlaen.pdf

Rights of Pregnant Employees: https://www.dfeh.ca.gov/wp-content/uploads/sites/32/2020/12/Your-Rights-and-Obligations-as-a-Pregnant-Employee_ENG.pdf

Discrimination and Harassment: https://www.dfeh.ca.gov/wp-content/uploads/sites/32/2020/10/Workplace-Discrimination-Poster_ENG.pdf

California Family Rights Act: https://www.dfeh.ca.gov/wp-content/uploads/sites/32/2020/12/CFRA-and-Pregnancy-Leave_ENG.pdf"
"Research Scientist, Computer Vision - Deep Learning",NA,2023-01-30 12:39:00,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=tmXADyN9y28AAAAAAAAAAA%3D%3D&fpstate=tldetail,NVIDIA,Full-time,NA,"Taipei, Taiwan","NVIDIA is searching for several outstanding computer vision and deep learning researchers to join our new research team in Taipei. We are passionate about research that pushes boundaries but also has impact in the real world. Specific areas we are excited by include but are not limited to computer vision for multimodal AI (e.g., vision and language, audio-visual learning, etc.), transfer and meta learning, as well as explainable and trustworthy AI. You will work within an amazing and collaborative research organization that consistently publishes at the top venues across computer science. You have the opportunity to join and shape a new research team, where your contributions can create real impact on our products. What you will be doing:
• Research, design and implement novel computer vision and deep learning methods.
• Publish original research.
• Collaborate with other team members and teams.
• Mentor interns.
• Speak at conferences and events.
• Transfer technology to product... groups.
• Collaborate with external researchers.
What we need to see:
• Must hold a Ph.D. in Computer Science/Engineering, Electrical Engineering, etc., or have equivalent research experience.
• Excellent knowledge of theory and practice of computer vision and deep learning methods.
• Excellent programming skills in some rapid prototyping environment such as Python; C++ and parallel programming (e.g., CUDA) is a plus.
• Knowledge of common machine learning frameworks, such as PyTorch.
• Outstanding research track record.
• Very good publication record.
• Excellent communications skills.

NVIDIA is widely considered to be one of the technology world's most desirable employers. We have some of the most forward-thinking and productive people in the world working for us. If you're creative and autonomous, we want to hear from you!
We are an AA/EEO/Veterans/Disabled employer. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation"
"Senior/Software Developer (Full Stack/AI) 軟件開發人員(台北市Taipei, Taiwan)",NA,2023-01-30 12:39:00,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=vE1hm4RW6H4AAAAAAAAAAA%3D%3D&fpstate=tldetail,C&R Wise AI,Full-time,US$18K–US$60K a year,"Taipei, Taiwan (+2 others)","C&R is a 12-year artificial intelligence and software development company with a free-thinking, stimulating culture that rewards curiosity and creativity. We run in Hong Kong, Taiwan, United Kingdom, and Canada.

At C&R, we Create & Realize, turning the Impossible into Possible. Our AI capabilities bring smart cities to life. We have a team of high caliber, devoted, and passionate artificial intelligence engineers and software developers with in-depth knowledge of the latest software technology. Your great idea will be executed and realized in our products and many real-life business applications.

We are hiring Software Developers starting from the entry level with minimal or no experience. We will determine your seniority based on your competence as evidenced by your curriculum and your performance during the interview process.

Job Highlights

Full stack/AI/JavaScript/Python/AWS

Year-end/gratuity bonus, electronic gadget or sports activity claim allowance

No experience is... required for entry level

About Your Role

Software Developer: (With or without experience) Will independently or collaboratively develop and deliver projects and/or systems.

Senior Software Developer: Will lead a small team of developers and both execute and design complex projects and/or systems.

About You

BSc/MSc/MPhil in Computer Science, Computer Engineering, or Electrical Engineering — or relevant industry experience to the same effect.

Possess strong analytical and problem-solving skills; good communication skills.

Passion for software development and the latest technologies in computing.

Strong interest in artificial intelligence is a big plus, though previous experience in these fields is not a requirement.

Solid experience in leading a small team if you apply for Senior Software Developer.

Your Benefits

Year-end/gratuity bonus

Electronic gadget or sports activity claim allowance

Medical benefits and life insurance

Regular free TGIF team lunches and happy hours

Free snack, coffee and drink corner

Company trips to our operating countries

Your own latest Macbook with multiple gaming monitors and GPUs

Access to our pre-approved Coursera courses free-of-charge

Access to our internal training programmes

References

https://cnr.ai

https://cnr.ai/career/

C&R Wise AI focuses on Enterprise Software, Health Care Information Technology, Artificial Intelligence, Deep Information Technology, and Web Design. Their company has offices in Hong Kong. They have a small team that's between 11-50 employees.

You can view their website at http://cnr.ai"
Associate (Developer Machine Learning),NA,2023-01-30 12:39:01,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=FhI8odVoshkAAAAAAAAAAA%3D%3D&fpstate=tldetail,"Polymer Systematic Taiwan Limited, Taiwan Branch",Full-time,NA,Taiwan,"About Polymer A market-neutral, multi-manager platform investing in liquid securities with a strong Asia focus, Polymer Capital combines established institutional support and deep knowledge of local financial markets with a dedication to discovering and developing the region’s best investment talent. Polymer has six offices around Asia-Pacific. Job Description As a software engineer, you will work closely with ML researchers and other developers in the team. Our team develops machine learning/deep learning models for quant strategies. We’re looking for machine learning engineers to design, develop and maintain systems that assist ML researchers with various tasks including storage, data ETL, model training, validation and hyper-parameters tuning. Our team follows Agile & DevOps practices, developers are expected to handle solutions end-to-end. Based on data types, access patterns, design systems including but not limited to: Data storage Data ETL Workflow Integrate ML models for... offline and online inference Help researchers with technical issues, best practices and performance tuning"
Machine Learning Intern,NA,2023-01-30 12:39:01,https://www.google.com/search?q=Machine+Learning+Jobs+Taiwan&ibp=htl;jobs&sa=X&ved=2ahUKEwj76IHthfD8AhWPMDQIHd2SCNoQutcGKAF6BAgSEAU#htivrt=jobs&htidocid=ymJXNnyOsbgAAAAAAAAAAA%3D%3D&fpstate=tldetail,PicCollage,Full-time,NT$500K–NT$700K a year,Taiwan,"As an intern, you will collaborate with product managers, designers, and excellent developers to build products, improve code quality and make a positive impact on the community. In addition, you will have the chance to explore new, interesting areas and technologies.

If you are passionate about building, learning, and sharing, let's talk!

Responsibilities:
• Research cutting-edge machine learning techniques and apply them for automated creativity.
• Quickly prototype simple machine learning models to demonstrate your ideas.
• Collaborate with the product and developer team to push new features to production.

Requirements:
• You love problem-solving, and you have good programming ability.
• Familiar with object-oriented programming, data structures, version control, etc.
• You are proactive, take initiative, communicative and work well in a team environment.
• Know how to use at least one machine learning framework (TensorFlow, PyTorch, Caffe,...).
• Have experience... manipulating/exploring data in a personal project.

Note:
• Please note we prefer interns who can work at least three days a week (during the academic year) for at least 4 to 6 months. If you believe you fit the bill, and are eager to start a new journey in a fun and creative startup team, hesitate no more and join us"
