Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Lead Data Scientist/ Lead Machine Learning Engineer (Bangkok based...,NA,2023-01-30 12:39:27,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=XxS_QC-AT30AAAAAAAAAAA%3D%3D&fpstate=tldetail,Agoda.com,Full-time,NA,"Bangkok, Thailand","About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our TeamThe Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to... their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity

We are looking for ambitious and agile data scientists that would like to seize the opportunity to work on some of the most challenging productive machine learning and big data platforms worldwide, processing some 600B events every day and making some 5B predictions.

As part of the Data Science and Machine Learning (AI/ML) team you will be exposed to real-world challenges such as: dynamic pricing, predicting customer intents in real time, ranking search results to maximize lifetime value, classifying and deep learning content and personalization signals from unstructured data such as images and text, making personalized recommendations, innovating algorithm-supported promotions and products for supply partners, discovering insights from big data, and innovating the user experience. To tackle these challenges, you will have the opportunity to work on one of the world's largest ML infrastructure employing dozens of GPUs working in parallel, 30K+ CPU cores and 150TB of memory.

In This Role, You’ll Get to
• Design, code, experiment and implement models and algorithms to maximize customer experience, supply side value, business outcomes, and infrastructure readiness.
• Mine a big data of hundreds of millions of customers and more than 600M daily user generated events, supplier and pricing data, and discover actionable insights to drive improvements and innovation.
• Work with developers and a variety of business owners to deliver daily results with the best quality.
• Research discover and harness new ideas that can make a difference

What You’ll Need to Succeed
• 4+ years hands-on data science experience.
• Excellent understanding of AI/ML/DL and Statistics, as well as coding proficiency using related open source libraries and frameworks.
• Significant proficiency in SQL and languages like Python, PySpark and/or Scala.
• Can lead, work independently as well as play a key role in a team.
• Good communication and interpersonal skills for working in a multicultural work environment.

It’s Great if You Have
• PhD or MSc in Computer Science / Operations Research / Statistics or other quantitative fields
• Experience in NLP, image processing and/or recommendation systems
• Hands on experience in data engineering, working with big data framework like Spark/Hadoop
• Experience in data science for e-commerce and/or OTA

We welcome both local and international applications for this role. Full visa sponsorship and relocation assistance available for eligible candidates.

#sanfrancisco #newyork #seattle #boston #washdc #sydney #melbourne #perth #paris #london #tokyo #dhaka #vienna #edinburgh #liverpool #manchester #amsterdam #munich #berlin #toronto #vancouver #moscow #dublin #seoul #hcmc #singapore #ENG #IT #4 #LI-PK1 #LI-ST2 #LI-Hybrid

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy.

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes"
AI/Machine Learning Engineer,2023-01-30,2023-01-30 12:39:28,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=d7BpeoCyEa0AAAAAAAAAAA%3D%3D&fpstate=tldetail,"Wisesight (Thailand) Co., Ltd.",Full-time,NA,"Bangkok, Thailand","RESPONSIBILITIES
• Work with large and complex datasets, including but not limited to, social media texts, images, and geo-locations
• Develop and evaluate AI models for different use cases in a continuous delivery environment
• Design new datasets and prepare data for new applications
• Extend and maintain AI automation in the organization

QUALIFICATIONS
• Applicants from any educational program are welcome
• Python, basic regular expression, SQL, and NoSQL are preferred
• Fluently explain how your code/model is working and why you designed it this way
• Experienced in at least one of the following areas:
• Computer vision
• Natural language processing
• Information retrieval
• Pattern recognition
• Internship and self-directed learning projects can be counted
• Excellent problem solving, critical thinking, and interpersonal skills

Experiences in the following skill is a plus
• Good understanding of basic mathematics and statistic
• Experiences in some of these data analysis... libraries and machine learning architectures, like Pandas, Scikit-learn, TensorFlow, and Torch
• Experiences in Unix-based server and cloud platform management (AWS or Google Cloud)
• Experiences in software development with a virtual environment or container like Docker or Pythons venv
• Experiences in model deployment with serving platforms including TorchServe, TensorFlow Serving, KServe, and ONNX Runtime"
"Scientist 2, Data Science",NA,2023-01-30 12:39:28,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=DwjJcn6MQT0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Western Digital,Full-time,NA,"Phra Nakhon Si Ayutthaya, Thailand","Company Description

At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.

At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.

We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.

Binge-watch any shows, use social media or shop online lately? You’ll find Western Digital supporting the storage infrastructure behind many of these platforms. And, that flash memory card that captures and preserves your most... precious moments? That’s us, too.

We offer an expansive portfolio of technologies, storage devices and platforms for business and consumers alike. Our data-centric solutions are comprised of the Western Digital®, G-Technology™, SanDisk® and WD® brands.

Today’s exceptional challenges require your unique skills. It’s You & Western Digital. Together, we’re the next BIG thing in data.

Job Description

As a Data Scientist, you will be working on Digital Innovation projects leveraging 4IR technologies. You will be collaborating with Data Science Team to design and build Big Data tools/models/analytics to unlock business value from data insights. You are required to constantly learn new front-tier technology and creatively apply/deliver solutions to manufacturing operations to meet goals.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
• Work with a global team of data scientists, data engineers, software engineers, process & product engineers, design engineers, etc collaboratively to develop new data science solutions that improve productivity and operations metrics.
• Leverage data mining techniques in mathematics, statistics, information technology, machine learning, deep learning, data engineering, visualization etc to discover insightful patterns.
• Work on projects and develop solutions that would be of high impact to various areas at all manufacturing.
• Develop/take an idea, access and prepare necessary data to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins.
• Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process, ERP/MES data etc to extract meaningful information for analytics.
• Design, model and prototype machine learning models and algorithms to solve specific Supply Chain, Manufacturing, Inventory Management & Distribution problems.
• Strong understanding of business strategy to develop a clear vision of data science
• The ability to develop, tune, and deploy predictive models that explain or predict business outcomes
• Prepare and deliver presentations with data visualizations and business conclusions
• Develop and code, software programs, algorithms, typically on very large datasets, from multiple sources, including IoT devices/sensors
• Interprets actionable insights from large data and metadata sources and communicates the findings to product, service, and business leaders for product improvement

Qualifications

REQUIRED:
• Bachelor's Degree or Master's Degree in related fields and research projects related to Analytics/Data Science with relevant industry or academia experience.
• Experience with SQL, Relational databases, Big Data platforms, AWS, etc.
• Experience in applied statistics and statistical modeling. Practical experience in the application of ML and AI algorithms.
• Experience with Hadoop or other MapReduce paradigms, and associated languages such as Hive, Presto, etc.
• Experience working with structured, semi-structured, and unstructured data sources

PREFERED:
• Full stack development experience is preferred
• Knowledge of web front-end development: HTML/CSS, JavaScript (JQuery or Angular preferred)
• Knowledge of Hadoop Environment, including Hive, Map Reduce, No/SQL, HBase, and Spark
• Excellent knowledge of at least one of the following programming languages / frameworks: Python, R, Java, Matlab, SQL, Scala
• Familiar with collaborative solutions, model & code versioning (Github), solution packaging (Docker)
• Practical experience of cloud-based solutions is a strong plus.
• Knowledge of Software Engineering standards and best practices is a strong plus
• Knowledge of the AI/ML Model Lifecycle Management and tools including EDA, Modelling, Integration/Deployment, Data/Model drift detection, Model retraining, etc.
• Up-to-date knowledge and skills in recent Machine Learning tools and techniques such as NN, NLP, Deep Learning, etc
• Passion for Innovation, collaboration with the eco-system, and creating value to the organization
• Aptitude to interact with functional or business stakeholders who are not familiar with ML Engineering considerations.
• Self-starter

SKILLS:
• Strong communication, analytical and creative problem-solving skills
• Strategically focused, impact-oriented, highly organized, and adaptable.
• Strong knowledge and experience with R, Python, or other statistical software
• Familiarity with core techniques in statistical and machine learning e.g. regularized regression, time series analysis, decision trees, boosting algorithms, neural networks, frequentist and Bayesian inference, power calculation, and experimental design, clustering, collaborative filtering, NLP, cross-validation and bootstrapping, and data visualization
• Strong interpersonal skills and maintain positive relationships with colleagues
• Proactive and collaborative effectively in a rapidly changing environment
• Solid grasp of statistics and probability
• Ability to solve problems and provide complex solutions with limited direction
• Analytical mind and business acumen. Application understanding of machine-learning and operations research
• Experience with manipulating massive-scale structured and unstructured data.
• Excellent communications and presentation skills, with the ability to synthesize, simplify and explain complex problems to different types of audiences, including executives. A great team player.
• Results-oriented, with growth and imaginative mindset and strong dedication and passion to identify and implement improvement opportunities. Strong drive for results.
• Proven track record to perform in an environment characterized by volatility, uncertainty, complexity, and ambiguity (VUCA)
• Ability to execute requests with strong attention to detail and strong time-management skills
• Knowledge in web crawling, natural language processing, visualization, and dashboard creation
• Ability to deploy data science solutions in cloud analytics infrastructure and AWS
• Excellent written and verbal English-language communication and presentation skills

Additional Information

Western Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.

Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at staffingsupport@wdc.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying"
Machine Learning Engineer,NA,2023-01-30 12:39:28,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=3ZC2pGMjdCUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Coinbag,Full-time,US$65K–US$115K a year,Thailand (+2 others),"Machine Learning Engineer @ Coinbag

At Coinbag, engineers develop in every part of the code and we mean every part. We embrace technology and innovation. It is a critical skill for every engineer to be language & technology agnostic - meaning not only do you have the ability to pick up new languages and technologies quickly, but you are able to turn around and implement them with high quality, best practices. You don’t mind building mathematical models, creating smart contracts, pixel pushing on the marketing page or spinning up servers, and everything in between.

We are a well-funded startup team and we are seeking individuals that want to bring innovation and make an impact. To take on this role, you will need to be ambitious, decisive, open minded and results driven.

You will have the opportunity to work closely with our experienced co-founding team to execute on the roadmap as well as have a voice in what we decide to build going forward.

If all that sounds good to you, check... out below.

Responsibilities
• Develop solutions keeping in mind decentralization
• Design infrastructure able to support a wide variety of situations while optimizing cost
• Automate anything that can be automated, we ate manual work
• Monitor and implement highest quality security standards

Qualifications & minimum requirements

We are looking for smart people that have experience writing software, no degree or papers required

Our stack
• Anything... and many things :)
• Scala
• NodeJs
• Python
• Solidity
• Haskell
• Blockchains: Terra, Cardano, Ethereum, Binance Smart Chain, Cosmos, Polkadot, Solana, and more)

About Coinbag

We are well-funded, blockchain-based company focused on automated cross-chain crypto interest optimization. Our mission is to make cryptocurrency investing simple for the every day investor. We work with our customers crypto portfolio to maximize interest earned on their holdings.

Why Coinbag
• Competitive salary
• Company equity + access to pre-sale of token
• Get paid in cryptocurrency
• 100% remote
• Flexible work hours
• Full-time, ongoing contract work so you can benefit from tax write-offs
• Unlimited time off - though we will ensure minimums to make sure people take time!
• Work with a team of experience blockchain experts

Coinbag focuses on Financial Services, Technology, Cryptocurrency, Blockchains, and Fin Tech. Their company has offices in Remote. They have a small team that's between 11-50 employees. To date, Coinbag has raised $1M of funding; their latest round was closed on January 2022.

You can view their website at https://www.coinbag.finance or find them on Twitter and LinkedIn"
Senior Machine Learning Engineer,NA,2023-01-30 12:39:29,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=T5wRtBDza3QAAAAAAAAAAA%3D%3D&fpstate=tldetail,LINE MAN Wongnai,Full-time,NA,"Bangkok, Thailand","About LINE MAN Wongnai

LINE MAN Wongnai is Thailand’s Leading On-Demand Delivery and Lifestyle e-Commerce platform services. We build technology to help Thai people live better, to empower all local businesses by creating an end-to-end food ecosystem through our channel LINE MAN and Wongnai. Connected consumers, riders, and local businesses and improved the daily life of all parties with restaurants nationwide. And because we are local, we provide the deepest variety and services that are tailor-made for Thai people.

We are looking for an experienced Machine Learning Engineer to take our ML model to another level. Working in a fast-paced environment, you will bring your expertise and skills to tackle the challenges that impact millions of people on our journey to become the No.1 food platform in Thailand.

What you’ll Do:
• Design, build and maintain components of MLOps to ensure robust machine learning pipelines with high visibility on model current performance
• Iterate to... continuously improve MLOps standard
• Deploy machine learning at scale
• Handle required engineering work to interface data science works with the rest of LINE MAN services (build proxies, modify current code to support AB testing)

What you’ll Need:
• Proficient in Python, Go or Java
• Good understanding of microservice architecture
• Good understanding of ML practices and operations, CI/CD/CT
• Basic understanding of DevOps
• Have experiences in MLOps on production environment"
"Senior Machine Learning Engineer (Bangkok based, relocation provided)",NA,2023-01-30 12:39:29,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=XkatnpqLP8MAAAAAAAAAAA%3D%3D&fpstate=tldetail,Agoda.com,Full-time,NA,"Bangkok, Thailand","About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team​

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to... their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity

As part of a Machine Learning – Data Platform team, you participate in building large scale ML backed solution to drive the business forward. You will split your time between working on our offline environment, where you will build Spark Jobs running on our Hadoop clusters Or on GPUs, and our Online environment, where dozens of models are predicting more than 1B predictions per day in a multi-DC, low latency environment.

In This Role, You’ll Get to
• Work alongside experienced engineers, data scientists and product owners to identify business opportunities, design and create new data pipelines from scratch, all the way to deploying them to production
• Develop solutions for real world, large scale problems
• Participate in cutting edge research in machine learning applications
• Improve scalability, speed and performance of existing models
• Contribute to the full life cycle of ML models – data analysis, modeling, tuning & productization

What You’ll Need to Succeed
• 5+ years of industry experience, including software development experience
• Experience in one or more object-oriented languages, including Scala, Python, Java or C++
• Experience working in an agile environment using test driven methodologies
• Adherence to data driven development where decisions are based on data and A/B experimentation
• Desire to learn the details of advance machine learning algorithms

It’s Great If You Have
• Work or educational experience in Machine Learning or Artificial Intelligence
• Experience working with Apache Spark, Tensorflow, Caffe, Torch, Theano, or Scikit-Learn
• Experience building large-scale distributed products
• Passionate about functional programming

#bangkok #tainan #istanbul #london #kiev #hcmc #sanaa #manila #warsaw #paris #berlin #athens #hongkong #budapest #jakarta #dublin #telaviv #milan #rome #tokyo #vancouver #shanghai #beijing #shenzhen #marrakech #wroclaw #taipei #ENG #IT #4 #LI-ST2

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy.

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes"
Data Scientist,2023-01-03,2023-01-30 12:39:30,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=WJZR2RQ8EE4AAAAAAAAAAA%3D%3D&fpstate=tldetail,"Data Wow Co., Ltd.",Full-time,NA,"Bangkok, Thailand","We are seeking a bright data scientist to join our Data Science Team. As a part of our data science team, you will work related to various fields such as computer vision, NLP, data analytics, and recommendation systems.

Your tasks will implement the tailor-made solution for the sake of customer satisfaction and business value-added. Our customers are from various industries such as oil and gas, logistics, banking, social network, and so on

Responsibilities:
• Work with complex data sets to solve a wide array of challenging problems using different analytical and statistical approaches.
• Apply technical expertise with quantitative analysis, experimentation, data exploration, and the presentation of data to develop solutions.
• Identify and measure success of product efforts through business goal setting and make sure it can be aligned with technical metrics as well.
• Cooperate within a team as well as other teams (e.g. Labeller, Data Engineer, Developers, Sales & Marketing) for... delivering the best data modeling solution to our customers at a fast pace.

Must-Have Qualifications :
• Excellent understanding of mathematics, statistics, machine learning algorithms, and deep learning and optimizations
• Experience with data querying languages (e.g. SQL and noSQL)
• Proficiency in using python libraries
• Experience in using deep learning frameworks (e.g. Tensorflow, Pytorch)
• **You must pass our tests:
• Coding skill: SQL and MCQ: Statistics knowledge (Regression, Classification, Feature Selection and Ranking and others relevant with Machine learning) for Junior-Mid level
• Coding skill: Python (Creating statistics tests & Analysis by applying regression model) for Senior level

Preferred Qualifications :
• Eager to learn and share knowledge about the new AI/ML algorithms in several fields (e.g. Anomaly Detection, NLP, Computer Vision, etc.)
• Good command of Linux-based operating systems and git is a plus
• Knowledge in Docker and Kubernetes is a plus
• Good communication skills in Thai and English
• Competitive Salary
• Work from Anywhere
• Choose your own office equipment
• Monthly Grab Food and Transportation Credit
• Health Insurance and Mental Wellness Service
• Education Allowance (Pay 100% for Job-related)
• Stash money for your home office
• Free snacks & drinks bar"
Head of Data and AI (Thailand),2023-01-27,2023-01-30 12:39:30,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=DqmUekDy_foAAAAAAAAAAA%3D%3D&fpstate=tldetail,Welovesupermom Pte Ltd,Full-time,NA,Thailand,"Responsibilities
• Drive the establishment and execution of the roadmap and vision for information delivery and management; including the enterprise data warehouse, big data, BI & analytics, AI and data governance
• Lead data architects, data engineers and machine learning specialists to architect and deliver the solutions that fulfil the Business information needs and align with the information vision and strategy
• Apply business strategy while driving technology strategy, balancing short term and long term needs
• to ensure that the architecture can scale and evolve accordingly
• Ensuring data and information security by integrating and upholding digital security systems
• Create and support an environment of digital data-driven innovation and best practice, ensuring the
• use of technologies for the benefit of stakeholders
• Implement transformational change to enable the organisation to deliver data-driven products and
• services which are efficient, effective and user-centric
•... Identify and develop data-driven digital innovations to reduce operational inefficiencies and transform
• work processes.
• Facilitate organisation’s understanding of good data-driven digital experience and use data-driven
• methods to enhance customer digital engagement.

Key Performance Expectations
• Grow, mentor and lead the AI, data analytics and data engineering team
• Build on Supermom data & AI roadmap, lead the development of the AI and data vision, strategy and
• capability plan
• Develop Supermom data platform, and integrate the latest data models and data pipelines,
• establishing a model management approach that is best in class for responsible data use and to
• accelerate the processes of data analysis and decision-making
• Create and embed a prioritization approach to develop a roadmap for data-driven innovation with
• relevant processes, tools and metrics to support business objectives and new growth opportunities
• Lead design of technology solutions pertaining to data quality and data security.
• Derive KPIs, driving outcome and adoption for data-related digital transformation within the
• organisation.

Key Job Competencies
• Experience of handling and preparing data, developing and training models and algorithms, and will understand how to implement model management/risk management
• Expertise will include leveraging probabilistic computing techniques, machine learning and AI to generate insights from data, and understand the benefit and limitations of data.
• Knowledge of the contemporary digital landscape of organisations and experience in designing, owning and evaluating organisational transformations to deliver scalable change that add value from data and information
• Excellent communication skills to translate/frame complex problems using non-technical terms to help internal/external stakeholders translate their business objectives into digital strategies.
• In-depth understanding of modern database and information technologies
• Excellent problem-solving and analytical skills and strong facilitation skills to synergise digital
• objectives across the organisation.
• Good knowledge and understanding of data protection and privacy legislation, rights legislation and
• frameworks, ethical frameworks for AI, policy and best practice
• Excellent time management skills and the ability to work towards meeting multiple deadlines
• simultaneously
• Masters/Degree/Certifications in related disciplines in IT, Data Science or Data Analytics.
• At least 5-7 years of hands-on experience in the areas of data warehouse, big data, BI & Analytics, data innovation, data collaboration, data governance and/or data change management.
• Minimum 3-5 years recruiting & leading a team including data architects, engineers, quality assurance, and operations professionals
• Proven experience of providing strategic and technical leadership to transforming organisations
• Experience with modern data technologies in any of the following areas including; SQL Server, Oracle 11g, MySQL, SQL Data Warehouse Appliance, Oracle Exadata, Netezza, Greenplum, Vertica, Teradata, Aster Data, SAP HANA, Hadoop, SAS, SPSS, Spotfire, Tableau, Qlikview, R, Oracle Endeca, Oracle OBIEE, SAP Business Objects, SAS and other Analytics Vendors with BI component"
"[Cooperative Internship 2023] Machine Learning Intern, Data Team",NA,2023-01-30 12:39:30,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=MG9gQP5mU2sAAAAAAAAAAA%3D%3D&fpstate=tldetail,Agoda.com,Internship,NA,"Bangkok, Thailand","About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Cooperative internship period: January - May 2023 and August - December 2023

The Opportunity

Within our Data Team, we build and maintain the engines behind the Machine learning driven optimizations we serve at real time to our customers. It's a combination of Real-time Microservices that are called every time users land on the website, machine learning models, Spark jobs running on the Hadoop clusters, and a back-office UI component exposed to our internal business users. The... systems are spread across 5 data centers and more than a thousand machines overall. Our biggest challenges are to support the ever-growing feature and business requirements while keeping up with the SLA and scale of the systems.

In This Role, You’ll Get to
• You’ll work with experienced engineers and product owners to identify business opportunities, design and create new data system from scratch, all the way to deploying software
• Improve scalability, stability, speed of existing applications
• Debug and fix production problems
• Collaborate with other teams
• Research new technologies and share across organizations

What You’ll Need to Succeed
• Passion for Data and problems in large scale
• Basic knowledge of at least one of the following languages: Scala, Java, Python, or any functional/OO languages. We code primarily in Scala
• “Can do” attitude
• Willingness to learn a new thing every day

It’s Great If You Have
• Any prior Experience
• Experience working with big data technologies (eg. Spark, Hadoop)
• SQL knowledge

#students #cooperativeintern

Equal Opportunity Employer

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy.

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes"
"NLP Internships available now! (Bangkok, Thailand)",NA,2023-01-30 12:39:31,https://www.google.com/search?q=Machine+Learning+Jobs+Thailand&ibp=htl;jobs&sa=X&ved=2ahUKEwiFjJv7hfD8AhUjIDQIHQrxBo8QutcGKAF6BAgUEAU#htivrt=jobs&htidocid=b6H2jQ9iaWMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Omniscien Technologies,Internship,NA,"Bangkok, Thailand","Omniscien Technologies is a market-leading artificial intelligence and language technology company that develops and provides ground-breaking automated machine translation and language processing technologies, products and services under the Language Studio™ brand to a wide variety of customers throughout the world including governments and some of the world’s leading companies and best known global brands.

We are currently looking for interns with NLP skills who can learn and apply their skills in an exciting and fast-moving, leading-edge environment!
What we offer

We offer you an exciting and unique opportunity to join our team for the duration of this internship, learn from a team with leading-edge capabilities and work on a market-leading platform and workflow. This will give you insight into real-life challenges in a large language processing environment where language processing, machine translation, and machine learning converge.

We offer you the ability to join our R&D team... in Bangkok, Thailand and also experience one of the most exciting countries in Southeast Asia.
What we expect

We expect you to have a background in natural language processing (NLP) and good command of English, plus the willingness to work with our team in Bangkok"
