Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Team Lead - Machine Learning Engineer,NA,2023-01-30 12:39:51,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=tVUIQbUfKdoAAAAAAAAAAA%3D%3D&fpstate=tldetail,InstaDeep Ltd,Full-time,NA,"Tunis, Tunisia","Founded in 2014, InstaDeep is today an EMEA leader in decision-making AI products for the Enterprise, with headquarters in London, and offices in Paris, Berlin, Tunis, Lagos, Dubai, Cape Town and the USA. InstaDeep has been named among the Top 100 global AI startups for three consecutive years by CB Insights, as well as one of the 100 most promising B2B companies in Europe, by Sifted. We have created an environment that ensures to challenge you by working closely with a broad spectrum of high-quality clients, pushing you to thrive in an environment that’s rarely tedious and always looking to push you to come up with outside-the-box solutions using cutting-edge technologies. In our mission to stay ahead of the curve, we are proud to partner with firms such as BioNTech SE, Google DeepMind, NVIDIA Elite Service Delivery Partner, Google Cloud Partner, and Intel, and world-class universities as MIT, Oxford, UCL, and Imperial College London.

Are you a Team Lead - Machine Learning Engineer... capable of leading a team sitting at the cornerstone of algorithms, mathematics, and engineering? Leading the team that is tasked with solving problems by designing and implementing production-ready data science algorithms and machine learning models.}

If so then keep reading….

As Team Leads you are responsible for managing and mentoring junior Research Engineers (REs) in the Engineering team. you’ll be responsible for those apprentice Research Engineers in developing their expertise by helping them to advance in their profession. Your wisdom will be called upon for understanding business issues, identifying and developing the right AI or cognitive computing technologies to solve them and bring their answers to market. You are involved at every step of the project life cycle, including providing technical expertise and establishing projects before sales, driving R&D for POCs, developing MVPs, and ensuring continuous improvement and maintenance for industrialized solutions.

In this role, at InstaDeep you will report to the Deputy Head of Engineering in Tunis. This role may require overseas travel.

The Team Leader must accomplish the following:
• Manage a team of Research Engineers primarily based in Tunis with technical mentoring & support.
• Develop novel algorithms and research ideas in fields such as machine learning, deep learning, and reinforcement learning.
• Collaborate with the Engineering & Research teams to design and evaluate new algorithms as well as implement known algorithms.
• Write and maintain high-quality, maintainable and modular code with concise documentation and tests together with researchers and engineers.
• Report and present experimental results and research findings clearly and efficiently, both internally and externally, verbally and in writing.
• Be the client’s point of contact on small/medium projects
• Actively collaborate with BD team in the pre-sales activities, including but not limited to presenting the company to new prospective clients, writing decks and proposals, participating in calls and meetings, and representing InstaDeep in conferences/events.

Who you are
• Your team's performance depends on your expertise as a leader of technical teams in high-performance tech environments.
• You enable others to succeed, so your job is to ensure that the team delivers.
• You have created, trained, validated, benchmarked, and monitored machine learning algorithms in production flows.
• You have learned how to use an extensive data framework to create the pipelines needed to feed models with the appropriate data.
• You have a solid understanding of software development, data engineering, machine learning, and operational principles.
• You can clearly explain complex outcomes to a wide range of audiences.
• You know how to work with product managers to produce successful products.
• You deeply understand data science and statistical methods, tools, and algorithms, such as Spark, Scikit-Learn, TensorFlow, PyTorch, XGBoost, Pandas, MLFlow, or similar MLOps frameworks.

Requirements:
• MSc/PhD degree in Computer Science or a related scientific field.
• 4+ years of professional experience in AI or similar fields
• Experience in managing a team of engineers.
• Experience in developing and debugging in Python. C/C++, or similar languages are a plus.
• Experience using deep learning frameworks such as PyTorch, Tensorflow and/or Keras.
• Proficiency with Git workflow or similar, development with best coding practices.
• Research and software engineer experience demonstrated via contributions to open source, work experience or coding competitions.
• Excellent communication skills and collaboration with researchers and developers.
• Excellent English skills. French fluency is a plus

Our Diversity, Equity, and Inclusion commitments

We empower individuals to celebrate their uniqueness here at InstaDeep. Our team comes from all walks of life, and we’re proud to continue to encourage and support applicants from underrepresented groups across the globe. Our commitment to creating an authentic environment comes from our ability to learn and grow from our diversity, and how better to experience this by other than by joining our team?

At present we operate in a hybrid way allowing work from home or work from the office as per each individual’s preferences. We are continuing to review the situation with the well-being of InstaDeepers at the forefront of our minds.

Right to work: Please note you will require the legal right to work in the location you are applying for.

Any further questions please do not hesitate to contact us at: talent@instadeep.com"
Data Scientist,NA,2023-01-30 12:39:51,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=QhKbJsIFEvMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Veamly,Full-time,NA,Tunisia,"Veamly is a desktop app that aims to empower engineers to get a better understanding of how they are spending their time, how productive they are and how to improve their productivity.

It is a unified workspace for engineers to manage and respond to their notifications.

The objective is to streamline the notification process in order to improve their productivity and reduce interruptions.

Mission:

As a leader of the Data Science Team efforts, you will wear multiple hats while focusing on the user experience, thinking creatively on how customers use Veamly and use this knowledge for building end-to-end machine learning models. You will need to be creative to capture the right data points and make them speak for themselves.

The role will be located in Tunisia, with occasional travels to Paris and San Francisco when required.

Your Impact:
• Architect, design, implement, test and deliver innovative predictive models in production environments (deployment included).
• Master our... development process, culture and code base, then improve it.
• Work closely with a team of engineers, product managers, user experience experts and performance engineers to build new features our customers will love, adopt and use while keeping our trusted platform stable and scalable.
• Translate ambiguous business problems into data driven solutions.
• Develop internal analytics capabilities and best practices (models, standards, tools), and share learnings with peers during learning times.
• Conduct advanced exploratory data analysis to discover statistically significant patterns and opportunities in our data.
• Become an ambassador for data governance standards and practices.

Basic Requirements:
• Concrete experience with deep learning technologies (Tensorflow & PyTorch preferred).
• Previous work in the Natural Language Processing fied.
• Experience with Python and object-oriented programming.
• Proficiency in data science and analytics, including statistical analyses and A/B testing.
• Experience designing, conducting, analyzing, and interpreting experiments and investigations.
• Excellent problem solving, critical thinking, creativity, organizational design and interpersonal and communication skills

Preferred Requirements:
• Experience with Agile software development and test-driven development.
• Master's degree in Computer Science, Software Engineering, Data Science, Applied mathematics or equivalent experience.
• Deployment skills through Kubernetes & Micronaut / data engineering.

Welcome to a place for people who are willing to take risks and desire responsibility, excellence, and the chance to reach new heights. We're fostering an environment where outstanding people can trust one another and thrive as a team.

Why join us?

💻 Remote-first company, with hybrid local office

🧑‍💻 Top notch advisers & mentors

🚀 Key moment to join Veamly in terms of growth and opportunities

💆‍♀️ People-first, with great emphasis on work-life balance

📚 Fast-learning environment with a strong team spirit

🌍 5+ Nationalities: cosmopolite & multi-cultural mindset

💵 Competitive salary package & equity

🧘 Unlimited PTO

Diversity, Equity & Inclusion Statement:

Diversity, equity, and inclusion - regardless of origins, identity, background, or orientations – are crucial to Veamly's mission.

We take pleasure in actively encouraging active inclusion within our company in order to build a strong sense of belonging among all employees. We're aiming to create a space where people of all backgrounds may benefit and learn from one another. We're dedicated to ensuring that everyone has a place at the table and is recognized and respected there by offering equitable opportunities to grow and succeed.

We'll keep challenging ourselves to make sure we're living up to our diversity, equity, and inclusion goals, and we'll keep this conversation going.

Curious about our tech stack?
• Backend Technologies used: Java 11, Axon Framework, Spring (Boot), Micronaut, Restful APIs, Maven, Gradle, JUnit 4 / 5, Mockito & AssertJ, Pub/Sub, Pubnub, Elasticsearch (Full-text searchable conversations database) and MySQL.
• Frontend Technologies used: Electron, Pub/Sub, Pubnub, ReactJS, UmiJS & Ant-Design, Tailwindcss, LESS and CSS.
• Additional insights: Atlassian project and source management tools (Jira, Confluence, Bitbucket...), Micro-services based architectures, CQRD and DDD design models, and Event-driven architectures.

Applications are only accepted when submitted at: www.veamly.co/careers

Veamly focuses on SaaS and Artificial Intelligence. Their company has offices in San Francisco. They have a small team that's between 1-10 employees.

You can view their website at https://veamly.com or find them on Twitter, Facebook, LinkedIn, and Product Hunt"
Software and Machine Learning Developer M/F,2023-01-25,2023-01-30 12:39:52,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=YT23xOKSyo4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Manpower,Full-time,NA,"Tunis, Tunisia","You will create artificial intelligence and machine learning instances on Sales platform that provides solutions to the compnay to support customers. You will develop code in their Interaction Advisor software instance and create machine learning models and retrain systems. You have to design and develop machine learning options within the Interaction Advisor Software, write code within their software platform and validating requirements.
You will Run machine learning tests and experiments ,implement appropriate ML algorithms ,perform statistical analysis and fine-tuning using test results.You have to train and retrain systems when necessary."
Data Scientist - Tunis,NA,2023-01-30 12:39:52,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=M-RuluMdL_EAAAAAAAAAAA%3D%3D&fpstate=tldetail,Acredius,Full-time,NA,"Tunis, Tunisia","Acredius Group general description
Acredius Group (“Acredius”) is a Swiss Fintech group. Having the mission to make an impact in the real economy and be one of the future leaders of innovation, Acredius provides an ecosystem supporting entrepreneurs and investors. Acredius assists them throughout their journey, especially with:
• A Crowdlending online platform that makes investors’ and borrowers’ needs meet in an unconventional, digital, intuitive and safe environment
• A Private Equity Fundraising offer for promising startups and dynamic companies searching for equity investments
• A Growth Strategy arm which closes the loop of the company’s journey by supporting it pre-, during and post fundraising, or credit obtention

Acredius Headquarters are in Zurich, Switzerland, with 2 affiliates, one in Tunisia and one in Portugal. The 3 entities work hand in hand in an enriching multicultural environment.

Acredius Tunisia is focusing on Artificial Intelligence (AI) and data-driven... analytics as well as Marketing. Its purpose is to help international clients stay relevant in a customer-centric and insights-driven future.

Acredius Portugal is our new Technology hub, being our CTO’s home, backed by a powerful and local team of developers and marketers. It will also be complemented by data-driven business consultants, with a focus on management consulting

What we offer
• The opportunity to actively have an economic impact by helping innovation go from ideas to life-changing products and services
• Access to international markets using Swiss enabled capabilities
• An inspiring working environment fuelled by a Swiss quality label
• A dynamic work environment
• A guaranteed steep learning curve
• A sharp and motivated team in a results-driven environment
• Being part of the Acredius worldwide expansion and in the driver seat of local/global innovation
• An attractive compensation package

Key responsibilities
• Be part of different data science projects and participate in solving real-world business problems with Machine Learning (ML), Deep Learning (DL) and Natural Language Processing (NLP) techniques
• Enable clients to scale data and AI across their businesses
• Design REST-based APIs that can be accessed securely from web and client application
• Help driving the development of data science practices across Acredius teams and departments
• Run continuous improvement of data science, data engineering practices and tools to create world-class capabilities

Candidate profile
• Master’s degree in Statistics, or Data-related fields
• Some experience in designing, developing and implementing AI/ML models (supervised, unsupervised)
• Some hands-on experience in Python, R, Scala other similar languages
• Experience in statistics and data analysis
• Familiar with deep learning frameworks such as PyTorch, Keras, and Tensorflow
• Prior knowledge of web-scrapping (selenium, BeautifulSoup, etc)
• Fluent in English, other languages are a plus
• Entrepreneurial spirit and startup mindset. Humility and engagement are strong values

Good to have (A plus but not a must)
• Finance background (balance sheet analysis, banking tools, credit risk scoring, etc)
• Reinforced learning
• Hands-on experience in cloud technologies (Docker/AWS/GCP/Azure)
• Experience with NoSQL & relational databases. Ideally good knowledge of automation tooling

We are looking forward to receiving your application!

The Acredius Team"
Développeur IA junior,NA,2023-01-30 12:39:52,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=9CzOSKP33-kAAAAAAAAAAA%3D%3D&fpstate=tldetail,Talan,Full-time,NA,"Tunis, Tunisia","Description de l'entreprise

Depuis 2008, Talan Tunisie oeuvre en tant que centre nearshore. Basé à Tunis, Talan Shore est le 2ème plus grand centre de développement du groupe.

Qualifications

méthodes et techniques de programmation

outils de développement et langages de programmation

Connaissances: machine learning et le deep learning sont incontournables"
Computational Biologist,NA,2023-01-30 12:39:53,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=xsS62j6b3IwAAAAAAAAAAA%3D%3D&fpstate=tldetail,InstaDeep,Full-time,NA,"Tunis, Tunisia","Founded in 2014, InstaDeep is today an EMEA leader in decision-making AI products for the Enterprise, with headquarters in London, and offices in Paris, Berlin, Tunis, Lagos, Dubai, Cape Town and the USA. InstaDeep has been named among the Top 100 global AI startups for three consecutive years by CB Insights, as well as one of the 100 most promising B2B companies in Europe, by Sifted. We have created an environment that ensures a challenge by working closely with a broad spectrum of high-quality clients, pushing you to thrive in an environment that’s rarely tedious and always looking to push you to come up with outside-the-box solutions using cutting-edge technologies. In our mission to stay ahead of the curve, we are proud to partner with firms such as BioNTech SE, Google DeepMind, NVIDIA and Intel, and world-class universities as MIT, Oxford, UCL, and Imperial College London. We are also an NVIDIA Elite Service Delivery Partner and Google Cloud Partner.

Are you a Computational... Biologist interested in joining our expanding team in Tunis, Tunisia? The Computational Biologist at InstaDeep develops software applications and data pipelines, in collaboration with other team members. In this role at InstaDeep, you will report to the Head of Machine Learning.

If so then keep reading….

Who you are:
• Design, implement and deliver complex pieces of research and engineering as part of a multi-functional Clinical Engineering team.
• Manipulate and evaluate large and complex medical datasets with privacy constraints.
• Developing, and operating data integration pipelines to provide high-quality datasets for analytical and machine learning use cases.
• Coordinate with internal teams from local and international offices
• Create solid and self-explanatory documentation.
• Continuously improve our algorithms and approaches. On this note, we encourage thinking outside the box and want our employees to challenge the status quo.
• Won’t do easy, and be inspired and proud of your work.
• Research-driven aptitude toward addressing yet unsolved problems on the frontier of AI and life sciences.

Requirements:
• Master's or PhD in BioInformatics, computational biology, computational biophysics, or computational immunology.
• Knowledge and experience working with medical data in compliance with data protection law.
• Relevant areas of experience might include, but are not limited to, direct application of molecular dynamics or other computational methods to drug discovery, investigation of allosteric interactions or other functionally important conformational changes in biological molecules, structure/design prediction for proteins, analysis of effects of mutations on protein function and interactions, sequence/-or-/structure based evaluation of protein-based signalling, modelling of protein-protein interactions, or study of fundamental biophysical problems, such as protein folding.
• Basic understanding of (or wish to acquire) molecular mechanisms involved in human immunity and signalling.
• Familiarity with standard bioinformatics tools and methods in protein research such as protein bioinformatics, homology detection, comparative protein structure modelling, protein-protein docking, protein structure refinement
• Experience with protein structure modelling (e.g. ROSETTA) and simulation (e.g. GROMACS) is a big plus.
• Basic understanding of machine learning.
• Ability to understand and write python code.
• TDD, version control, and release notes follow best practices of team software development.
• Solid understanding of biology and biochemistry and ability to explain it to non-experts.
• Excellent written and verbal communication skills in English.
• Experience in communicating with users, other technical teams and management to collect requirements, identify tasks, provide estimates and meet production deadlines.

We also welcome candidates with less computationally-oriented backgrounds, but with hands-on experience in any and all of the following areas:
• Antibody discovery and design.
• Enzyme optimization.
• Immune function assays.
• Drawing actionable insights from protein binding affinity assays.

Our Diversity, Equity, and Inclusion commitments

We empower individuals to celebrate their uniqueness here at InstaDeep. Our team comes from all walks of life, and we’re proud to continue to encourage and support applicants from underrepresented groups across the globe. Our commitment to creating an authentic environment comes from our ability to learn and grow from our diversity, and how better to experience this by other than by joining our team?

At present we operate in a hybrid way allowing work from home or work from the office as per each individual’s preferences. We are continuing to review the situation with the well-being of InstaDeepers at the forefront of our minds.

Right to work: Please note you will require the legal right to work in the location you are applying for.

Any further questions please do not hesitate to contact us at: talent@instadeep.com"
Data Engineer,NA,2023-01-30 12:39:53,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=06CJXVNVfp0AAAAAAAAAAA%3D%3D&fpstate=tldetail,Yassir,Full-time,NA,"Tunis, Tunisia","About Yassir

Yassir is the leading super App for on demand, ride-hailing, last-mile delivery, payment services and more, set to change the way daily services are provided. It currently operates in 45 cities across multiple countries. It has raised $150 million in Series B funding, five times what it raised in its previous priced round last November with world class investors such as BOND and Y Combinator, which is the precursor of the likes of Airbnb, Stripe, Dropbox, Doordash, among others.

We’re not just about serving people - we’re about creating a marketplace to bring people what they need while infusing social values.

ABOUT THE ROLE

We are looking for a Data Engineer at Yassir, with a thorough understanding of cloud technologies. You will help deploy Big Data solutions, build and manage data and model pipelines, ETL processes, and deploy machine learning models in a production, secure and scalable manner. The senior data engineer should be a data specialist with strong... experience in the deployment and automation of data warehousing, data and model pipelines, data cleansing, monitoring data processing systems, and dealing with large and various sets of structured and unstructured data. You possess excellent communication skills along with the perseverance to solve problems that may not have obvious solutions. You may need to ""Think out of the box"" or ""hack around"" a problem to solve it. We like that!

TASKS
• Design and build data and model pipelines in Google Cloud Platform, AWS or similar.
• Manage and automate ETL, ML model pipelines and cloud deployment implementations.
• Design and implement Data Warehousing solutions with their corresponding Data Governance processes.
• Design, implement, test CI/CD pipelines for the various data products to be productised.
• Design for data security and compliance.
• Manage, provision and orchestrate necessary cloud solution infrastructure.
• Be in charge of the MLOps lifecycle: research, design, experimentation, development, deployment, monitoring, and maintenance.
• Liaise with stakeholders to analyze business problems, clarify requirements and define the scope of the resolution needed.

REQUIREMENTS
• 5+ years experience using SQL and BigQuery or a SQL-based tool.
• Demonstrable deep knowledge and experience in cloud migration, cloud architecture, and data engineering.
• Production-level Python, SQL & NoSQL, CloudOps (GCP, AWS or Azure ecosystems), Git, CI/CD (Github Actions or CircleCI), MLflow.
• 2+ years of hands-on experience with cloud orchestration tooling, infrastructure-as-a-code (Terraform, CloudFormation or similar).
• 2+ years of hands-on experience building scalable ETL pipelines (Apache Beam, Airflow, Cloud Composer, Cloud Functions, Pub/Sub).
• Broad knowledge of one of the major cloud vendors.
• Strong problem-solving or analytics experience.
• Willingness to both teach others and learn new techniques.
• Advanced English communication skills.

About your experience
• A set of certifications in GCP: Cloud Architect, Data Engineer, Cloud Engineer, ML Engineer (or similar in another cloud vendor).
• Hands-on experience in MLOps, ML model deployment, governance, and workflow optimization.
• Hands-on experience in one or various: LightGBM/XGBoost/Sklearn, Numpy/SciPy, Keras/PyTorch/Tabnet, Rust/C++, TensorFlow/Caffe/MXNet, CUDA/Ray, Node.js, REST/GraphQL, Neo4J, Grafana/Datadog, Kafka/Spark/Presto.
• Knowledge of/exposure to Google Analytics.
• Knowledge of/exposure to Adobe Marketing Cloud or Adobe Analytics.

BENEFITS
• Great compensation and bonuses including stock options.
• Ground floor opportunity with the team; shape the strategic direction of the company
• Sharp, motivated co-workers in a fun office environment or in remote
• Paid company holidays
• Full social coverage

WHY YOU SHOULD JOIN YASSIR
• Join one of the fastest-growing tech companies in North Africa
• Have a lasting impact on our company's culture
• Make a real impact on the world by helping us bring affordable financial and on-demand services to millions of Africans
• Work on some really hard technical challenges from identity infrastructure for Africans, digital payment networks to complex mapping and routing systems across the continent.
• We are the first Algerian startup to go through Y Combinator program and we’re backed by top investors including Unpopular Ventures, Rebel Fund and DainTree.VC
• As a company, we are passionate about diversity and inclusion, 40% of our team are women leaders in the tech sector. Research shows that women do not apply for jobs if they do not meet all of the requirements. We would like to hear from you if you feel you would be a good fit for us!

Do you want to become part of our first-class team? Then you absolutely have to send us your application. 🚀

PS: And if you want to stand out in your application, just let us know in your cover letter why we should have in our team. 💡

Diversity & Inclusion & Engagement:

We celebrate diversity and are committed to creating an inclusive environment for all employees, as we believe diverse teams are more successful in the long term. We do not discriminate on the basis of race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, and we encourage all people equally to apply for jobs with us"
Junior M&A Analyst Intern (H/F),NA,2023-01-30 12:39:53,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=YX4IzZSIYEUAAAAAAAAAAA%3D%3D&fpstate=tldetail,SESAMm,Internship,NA,"Tunis, Tunisia","SESAMm (www.sesamm.com) extracts behavioral insights from millions of unstructured text data sources across the public internet in over 100 languages, helping clients distill valuable intelligence on businesses and their customers to make investment decisions and manage risk.

We work with many well-known firms around the world in private equity, investment banking, insurance, and asset management to apply Natural Language Processing and Artificial Intelligence algorithms to track e-reputation, competitive positioning, sentiment analysis, risk and ESG factors.

SESAMm is growing quickly, with over 90 team members around the globe and offices in Paris, New York, London, Metz, Tunis, and Tokyo.

Key technologies: Alternative Data, Natural Language Processing, Machine Learning and Quantitative Analysis.

Are you looking for a new challenge? Do you dream of joining a growing company, proposing new ideas, and taking part in innovative processes?

At SESAMm, everyone brings their ideas... skills, and creativity. We value collaboration, support and teamwork. We learn every day from the experience of this great team and we constantly take up new challenges. We are proud of the work accomplished and to participate in the success of this great adventure!

The Junior M&A Analyst Intern role

As a Junior Business Intelligence Analyst Intern you will be in charge of analyzing data using SESAMm’s natural language processing tools and creating visualizations and presentations for international clients. You will participate in the development of dynamic dashboards for various investment use cases and will be part of a growing team of BI analysts.

Key activities:

❖ Data analysis and visualization:

• Analyze data regarding market trends and patterns
• Help tell a story by translating data into visualizations, metrics, and goals
• Participate in the delivery of dashboards, including requirements gathering, testing, and implementation
• Participate in client meetings

❖ Collaborate with Sales and Marketing & Communications teams:

• Work with Sales team to manage client relationships, build projects and handle deliveries
• Work with Marketing & Communication team to create studies and dashboards, keep up to date with financial news and propose visualizations based on recent events, publish newsletters with data analytics

The duties and responsibilities in this job description may evolve with business needs.
An excellent level of English proficiency, very good interpersonal skills and strong motivation are required. The candidate will need to demonstrate autonomy and innovation in the face of a constantly changing environment. The list of tasks described is not necessarily exhaustive and may be modified according to the constraints of the company and the evolution of its needs.

Desired Background and Skills

Educational background :
▪ Business School or University Master Degree

Professional background :
▪ A first experience (including internship) in Business Intelligence / Data Analytics is appreciated
▪ Good analytical skills and detail-oriented
▪ Excellent communication and relational skills : communicate with clients, understand their needs and issues, collaborate with internal teams
▪ Ability to turn complex concepts into actionable recommendations
▪ Highly organized, with the ability to manage multiple tasks simultaneously
▪ Languages : fluent English speaker with very good writing skills
▪ Proficiency with Powerpoint and Excel

Even better :
▪ Knowledge of REST APIs
▪ Any prior data visualization software skills : Kibana, Looker, Tableau, PowerBI, QuickSight or similar

Benefits of Working at SESAMm

Flexibility: Team members can work remotely up to 4 days a week, and have the opportunity to work with colleagues around the world.

Work environment: SESAMm is multicultural, with technology, sales, and management teams in the US, France, and Tunisia making important contributions to the company’s growth.

Career development: SESAMm is growing quickly, which means the opportunities for your own growth are continually expanding, and that you can shape the company’s culture and evolution.

Professional evolution: SESAMm values training and knowledge-sharing. We organize internally and externally led training sessions and pay for access to educational platforms.

In summary, SESAMm has a strong team spirit, communication facilitated by a horizontal hierarchy and a rich culture of diversity.

Working conditions
• Location: Tunis
• Type of contract: Internship (6 months)
• Start date: ASAP"
Data Scientist,NA,2023-01-30 12:39:54,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=UAbn_y_xQxsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Devoteam,Full-time,NA,"Tunis, Tunisia","Description de l'entreprise

Avec plus de 9000 collaborateurs à travers le monde, nous accompagnons les entreprises dans leur transformation numérique. Nous imaginons et concrétisons leurs ambitions grâce aux possibilités infinies des plateformes digitales, pour faire évoluer leur culture et leur mode de travail, et créer de la valeur dans leurs organisations.

Présent dans 18 pays dans toute la région EMEA fort de 25 ans d’expérience, nous mettons la “Technologie au service de l’Homme” afin de construire un monde plus humain et plus durable.

Travailler chez Devoteam, c’est :

Apporter de l’expertise sur les technologies de nos partenaires comme Google, Microsoft, AWS, Servicenow ou Salesforce dont nous implémentons les solutions chez nos clients

évoluer dans un groupe international qui vous accompagne dans le développement de votre carrière avec des parcours de formation et de certification adaptés.

Rejoindre une équipe spécialisée, accompagné par un manager de proximité qui saura... vous guider dans vos choix et favoriser les échanges avec vos pairs, que ce soit lors d'événements techniques ou conviviaux.

Grandir dans une entreprise qui challenge ses équipes en étant agile et ambitieuse, s’adaptant pour permettre les succès individuels et collectifs.

Description du poste

Votre mission consistera à :
• Identifier des sources d’informations précieuses et automatiser les processus de collecte de données
• Combiner des modèles via un processus de modélisation des ensembles
• Présenter des informations selon des techniques de visualisation des données
• Proposer des solutions et des stratégies en réponse aux difficultés commerciales
• Répondre à un besoin métier grâce à la data science, de bout en bout : concevoir, développer, tester et industrialiser
• Mettre en place des modèles de Machine Learning pour développer des cas d’usage clients variés : allant du marketing prédictif (segmentation clients, scoring, recommandation de produits ou détection de fraude) à la reconnaissance d’images (deep learning), en passant par le traitement naturel du langage (NLP)
• Collaborer avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développés,
• Accompagner les clients dans la résolution de leurs problématiques data

Qualifications
• Issu(e) d’une formation supérieure, BAC+5
• Une expérience professionnelle d’au moins 2 ans en Data Science
• Vous connaissez les langages de programmation (Python, R, SQL, SAS, etc) et les bases de données (SQL, NoSQL)
• Compréhension de l’apprentissage automatisé et des recherches sur les opérations"
Data Scientist,2023-01-11,2023-01-30 12:39:54,https://www.google.com/search?q=Machine+Learning+Jobs+Tunisia&ibp=htl;jobs&sa=X&ved=2ahUKEwjnqaiGhvD8AhXfBTQIHe0xAfkQutcGKAF6BAgUEAU#htivrt=jobs&htidocid=u20t73jn2xoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Yperflow,Full-time,NA,"Sfax, Tunisia","yperflow provides hyperautomation implementation services to enterprises based mainly in Europe. Based in Germany and Tunisia, our team has an outstanding knowledge in a wide range of automation and AI technologies and focuses on solving process automation challenges with Machine Learning and digital workers.
About the role
As a Data Scientist you’ll be responsible for the successful delivery of large-scale software solutions that use AI and ML technologies. You will strengthen our data science team by understanding the outcomes our data-based algorithms are designed for, the data implications, the processes and workflows to be improved and actively participate to improve AI performance and impact. You’ll work with our teams in Tunisia and Germany to agree data architectural principles, functional and non-functional designs and develop ML and neural networks algorithms, with room to learn, develop and grow."
