Job-Title,Date-Posted,Date-Scraped,Url,Company,Job-Type,Salary,Location,Description
Machine Learning Engineer,NA,2023-01-30 12:40:40,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=nGbksywJV5EAAAAAAAAAAA%3D%3D&fpstate=tldetail,CAFU,Full-time,NA,Dubai - United Arab Emirates,"Company Overview

CAFU has a vision to create a better world through connected mobility, serving both consumers and businesses. We started as an on-demand fuel delivery app and have now extended our services to car wash, tyre change, battery change and insurance...but this is only the beginning.

We have global plans to become a super app, offering products & services which are agnostic of fuel and mobility. Cafu is a technology business passionate about sustainability and positively impacting the communities we operate in. We’ve already won awards for best AI platform and voted LinkedIn’s Number 1 Top Start-ups 2021!

If you want to make a real impact to our communities and you are forever curious about how things work and why and want to join a company that moves with purpose and collaborates, then we want to hear from you!
• A proven track record in developing, innovating, and applying advanced Machine Learning/Statistical algorithms to address practical problems.
• Good... familiarity with AWS
• Good familiarity with object-oriented programming and design principles
• Expertise in one or more of the areas: statistics, vehicle routing problems, mixed integer programming (MIP) – optimization, customer churn, customer segmentation, multi-modal classification, predictive systems, DevOps (AWS)
• Knowledge of Python, Scikit learn and related libraries, PyTorch, AWS
• Strong project management abilities, including excellent organisational skills to manage and prioritise a range of work, projects, and ad hoc requests.
• Exploring and advocating ways of utilising new ML and DL tools and techniques to tackle business and organisational challenges, drawing on the application of, and innovation in online platforms, and other sectors.
• A collaborative environment where diversity is celebrated
• A flexible workforce
• A competitive market salary with housing and transport allowances
• A fast-moving supportive company where everybody takes ownership over their work
• The opportunity to share in the success of the business with stock options for qualifying employees
• The opportunity to work on a product with growing global appeal
• The opportunity to work with some of the most talented people in the industry from well-known digital brands"
Machine Learning Engineer,2023-01-23,2023-01-30 12:40:41,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=5fbhxtuo1B8AAAAAAAAAAA%3D%3D&fpstate=tldetail,Client of AIQU,NA,NA,Dubai - United Arab Emirates,Role Machine Learning EngineerContract Duration 6 months amp extendableWork Location Dubai United Arab EmiratesStart Date Immediate joiners to a maximum of 30 days notice preferredSalary amp Benefits Negotiable based on the expertise Important Note Candidates outside UAE are welcome to applyTechnologies and Skills Required At least 2 years of experience in Azure 3 years of experience in developing and deploying ML DL solutions focused on batch and real-time data pipelines Practical knowledge of how to build efficient end-to-end ML workflows Understanding of machine learning amp deep learning concepts and algorithms various statistical techniques and experimentation analysis workflows Deep understanding of various statistical techniques and experimentation analysis workflows Proficiency in the following programming languages SQL Python Pyspark Extensive hands-on experience implementing ML DL solutions using services Azure Databricks Azure ML Azure Kubernetes Service Azure Container... Registry etc Well-versed in DevOps MLOps CI CD Experience working with developer tools such as PyCharm VS Code Docker Azure DevOps etc Strong understanding of distributed computing technologies approaches and patterns
Machine Learning Engineer,NA,2023-01-30 12:40:41,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=jKW8ZHJ15Q4AAAAAAAAAAA%3D%3D&fpstate=tldetail,CAFU,Full-time,NA,United Arab Emirates,"Company Overview

CAFU has a vision to create a better world through connected mobility, serving both consumers and businesses. We started as an on-demand fuel delivery app and have now extended our services to car wash, tyre change, battery change and insurance...but this is only the beginning.

We have global plans to become a super app, offering products & services which are agnostic of fuel and mobility. Cafu is a technology business passionate about sustainability and positively impacting the communities we operate in. We’ve already won awards for best AI platform and voted LinkedIn’s Number 1 Top Start-ups 2021!

If you want to make a real impact to our communities and you are forever curious about how things work and why and want to join a company that moves with purpose and collaborates, then we want to hear from you!"
Data Scientist,2023-01-30,2023-01-30 12:40:41,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=NLhXuryxxAoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Times World Information Technology,Full-time,NA,Dubai - United Arab Emirates,Need a Data Scientist fluent in English and Arabic to be based in our office in Dubai The person will be undertaking data collection preprocessing and analysis building models to address business problems and presenting information using data visualization techniques Key responsibilities Independently lead E2E Analytics projects Act as a product owner and coachthe analysts within the teamWork closely with business stakeholders to understand their goals amp determinehow Data analytics can be used to achieve those goals Should be able to design data modelling processes create algorithms amp developpredictive models to help analyse the data Develop innovative solutions which enables machine learning and prediction Also Work with Cross-functional team to come up with innovative solutions Act as a Technical lead in the field of Analytics and Machine LearningRequirements Qualifications Experience Competencies Strong knowledge in Blockchain and PythonProficiency in string data processing and... cleansingProficiency in SQL and SharePointProficiency in databases merger and migration into single unified databaseProficiency in migration of legacy PDF IMAGES WORD files into searchable filesthrough creating a consistent and relevant tag system Proficiency in Identification and implementation of automation on String Dataincluding mapping relevant data fields similar topics and converting text tohyperlinks like Wikipedia Identify and implement automation use-cases including calendar planning automatic follow-ups and predict delays in project plans based on live data Fully skilled in Visualization tools such as Power Bi Tableau with ability toutilize it as Automation tool Should be able to develop Data Analysis AlgorithmShould have experience in developing prediction formulas for non-linear data Can make use of statistical tools for data prediction Regression analysis Linear Non-linear Should be able to present the data in a meaningful form Passion for Innovation and TechnologyPositive outlook strong work ethic willingness to learn and grow Excellent communication skills in Arabic and EnglishDesired Skills Programming High skilled in SQL SharePoint SAS Python AI ML Tools BlockchainQualification Bachelors Masters in Science Technology Engineering and Maths Experience 8 -10 Years
Specialist- AI Design,NA,2023-01-30 12:40:42,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=Ie-Rhq3r6WMAAAAAAAAAAA%3D%3D&fpstate=tldetail,First Abu Dhabi Bank,Full-time,NA,Abu Dhabi - United Arab Emirates,"Company Description

Ready to join our exciting transformation at the biggest bank in the Middle East? Now is your chance! By being part of our journey here at FAB, you can make a real impact on customers, employees, shareholders and communities. In return, you’ll have everything you need to be part of the #growstronger movement. If you’re looking for a career that will help you stand out, kindly apply.

Job Description

This Role will be responsible Designing Analytics , AI and Data implementations. Candiate will be responsible for

The purpose of this role is to implement multiple BI & Data Analytics projects by working with key stakeholders specially customer experience and contact center teams. The job holder will design aspects of AI implementations.

The task of AI designers will be to close the gap between business wants and available technology. Providing design support to development and application team partners and for developing customer experiences interacting with AI... solutions like computer vision, speech, language, video, and AI assistant efforts will be worked on by AI designers. The designer collaborates with several AI implementation teams. The role will be in charge of making sure that development teams comprehend user wants for a specific kind of technology and are creating the technology to satiate those needs.

To increase productivity and make it simple to gather high-quality data, AI designers collaborate with the engineers who create the tools for data collection and annotation as well as the platforms that make it possible. When more automated methods are ineffective, designers may assist with data collection.

The role requires job holder to be a creative thinker and able to propose innovative ways to look at business problems by using data mining (the process of discovering new patterns from large datasets) approaches on the set of Information available. They will need to validate their findings using an experimental and iterative approach. Also, Lead Data Scientist will need to be able to present back their findings to the business by exposing their assumptions and validation work in a way that can be easily understood by their business counterparts.

Core responsibilities
• Work with and coordinate between Business Analysts and Data Scientists in the organization
• Convert machine learning models into APIs to enhance functionality so that other applications can access them
• Automate and manage the infrastructure used by the Data Science team
• Develop and automate processes by using machine learning
• Test and deploy AI software and models
• Use AI to empower the organization
• Research and make improvements to machine learning algorithms
• Data mining
• Use machine learning in a software development life cycle on a set of data inputs
• Patten matching and recognition
• Develop innovative and effective approaches to test the AI systems
• Utilize patterns and variations in the volume, speed and other characteristics of data supporting the initiative, the type of data (e.g. Images, text, clickstream or metering data) in predictive analysis.
• Provide on-going tracking and monitoring of performance of decision
• Recommend & implement ongoing improvements to methods and algorithms that lead to findings, including new information & patterns in the data.

People Management responsibilities
• Collaborate with team members and Business users across the Bank.

Qualifications

Minimum Qualifications:
• Master’s in Business Administration from top B Schools. (preferred)
• Bachelor's degree in Statistics, Computer Sciences, Maths, Operations Research or other related fields.
• Additional degree or certifications in the field related to the data science/Analytics is preferred.
• They should have strong practical and theoretical knowledge of technical aspects such as Machine Learning, Software Development Life Cycle & Design Patterns

Minimum Experience:
• Minimum 1-2 years of experience in internships or Woking in AI related design projects.

Knowledge, Skills, and Attributes:

Knowledge and Skills
• Ability to independently manage analytics engagements from start to finish in testing, delivering actionable insights
• Develop understanding of machine learning and Artificial Intelligence(AI) techniques and algorithms, such as k-NN, Naive Bayes, SVM, Random Forests, Deep Learning etc.
• The ability to come up with solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets.
• Use problem solving methodologies to propose creative solutions to solve business problem. Recommend design and develop state-of-the-art data driven analysis using statistical & advanced analytics methodologies to solve business problems.
• Strong communication skills with ability to expresses technical and business concepts, ideas, feelings, opinions, and conclusions verbally and in writing. Listens attentively and reinforces words through empathetic body language and tone.
• Experience leading teams.

Attributes
• Change Advocate: Identifies and acts upon opportunities for continuous improvement. Encourages prudent risk-taking, exploration of alternative approaches, and organizational learning.
• Conceptual & Innovating Thinking: Synthesizes facts, theories, trends, inferences, and key issues and/or themes in complex and variable situations. Recognizes abstract patterns and relationships between apparently unrelated entities or situations.
• Leadership: Leads members of formal and informal groups in the pursuit of common
• Missions, vision, values and mutual goals. Places team needs and priorities above personal needs. Involves others in making decisions that affect them. Draws on the strengths of colleagues and gives credit to others' contributions and achievements"
Machine Learning Engineer,2023-01-04,2023-01-30 12:40:42,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=AqSCzwl55v4AAAAAAAAAAA%3D%3D&fpstate=tldetail,Group 42,Full-time,NA,Abu Dhabi - United Arab Emirates,"Overview: Looking for an ambitious, passionate and creative-minded Machine Learning Engineer, to support the development of Machine Learning Operations at G42 Healthcare, driving and enabling automated machine learning model deployments and managing the full lifecycle of our ML projects.The opportunityTo play a key supporting role in shaping the overall Machine Learning Operations strategy & capabilities G42 Healthcare!G42 Healthcare is committed to developing a world-class, sustainable healthcare sector in the UAE and wider region. At the forefront in the battle against the pandemic, G42 Healthcare partnered with Abu Dhabi authorities to develop a massive throughput laboratory in 14 days and spearheaded the world's first Phase 3 clinical trial of COVID-19 inactivated vaccine. Beyond Covid-19, G42 Healthcare is also developing a program of activities to support the health of future generations - ranging from genomics, imaging and diagnostics to digitization programs, manufacturing and... cutting-edge research. Responsibilities: Key responsibilities Lead projects and advocate for ML excellenceAdapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, GPU)Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules-based modelsSuggest, collect and synthesize requirements and create effective feature roadmapsCode deliverables in tandem with the engineering teamML model's deployment, testing and continues maintenanceQualifications: To qualify, you must have 5+ years of experience as a software engineer.2+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining, deep learning, artificial intelligenceExperience with developing machine learning models at scale from inception to business impactKnowledge developing and debugging in PythonMasters degree or PhD in Computer Science or a related technical fieldExposure to architectural patterns of large scale software applicationsAt Least 2+ years of experience using frameworks such as scikit-learn, Keras, PyTorch, Tensorflow, etc. and ability to understand tools used by data scientistsDemonstrated ability to build MLOps pipelines on cloud solutions (AWS, GCP)Experience with MLOps Frameworks like Kubeflow, MLFlow, Airflow etc.Experience with Docker and KubernetesWhat we look for:If you are a performance-driven, inquisitive mind with the agility to adapt to ambiguity, you will fit right in. You should be eager to explore opportunities to build meaningful collaborations with stakeholders and aspire to create unique customer-centric solutions. Bias for action and a passion to conquer new frontiers in the AI space is at the heart of the G42 community.What working at G42 offers:Culture: An open, diverse and inclusive environment with a global vision that encourages personal growth and focuses on ground-breaking, industry-first innovations.Career: Outstanding learning, development & growth opportunities via structured training programs and innovative, high-tech projects.Work-Life: A hybrid work policy to strike the perfect balance between office and home.Rewards: A competitive remuneration package with a host of perks including healthcare, education support, leave benefits and more.About G42G42 is a global leader in creating visionary artificial intelligence for a better tomorrow. Born in Abu Dhabi and operating across the world, G42 champions AI as a powerful force for good. Its people are constantly reimagining what technology can do, applying advanced thinking and innovation to accelerate progress and tackle society's most pressing problems. G42 is driving change in the region and beyond, joining forces with nations, corporations and individuals to create the infrastructure for tomorrow's world. From molecular medicine to space travel and everything in between, G42 realizes exponential possibilities, today.To confidently demonstrate that you meet the criteria above, please contact us.G42 is the force that gets you further. Join us"
Data Scientist,NA,2023-01-30 12:40:42,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=0_WTEkpbN8AAAAAAAAAAAA%3D%3D&fpstate=tldetail,Helloconstellation,Full-time,NA,Dubai - United Arab Emirates,This position is requiring 5 years of professional experience As a Data Scientist you should be comfortable exploring complex datasets building machine learning models making foundational and architectural decisions setting paradigms providing mentorship and guidance introducing new ideas and solutions and helping improve the overall functionality performance and quality of the platform On a daily basis you will be interpreting requirements writing amp debugging code setting up ETL pipelines and collaborating with co-workers across the company You will be working with a technology-savvy team so candidates who are eager to exercise amp enhance their technical abilities leadership and mentorship skills will fit in perfectly Responsibilities Collaborate with product teams data analysts and other data scientists to model data and conceptualize dashboards Pair with other developers to read review and provide feedback on their work Organize model and build dashboards that visualize data and... insights Design and maintain ETL processes Recommend new solutions and process to develop and enhance our existing portfolio Manage individual project priorities deadlines and deliverables Maintain and manage code in a Git repository Exposure to workflow automation tools and concepts such as Airflow crons etc Mentor and oversee members of the Data teamQualifications 5 years of previous professional experience in a development or data science role using the above technologies Past experience building churn survival or CLTV models based on different business requirements Ability to perform data analysis and modeling in Python required Experienced modeling data and building dashboards in BI platforms such as Looker amp Tableau Extremely comfortable writing and reading SQL familiarity with complex joins able to understand docs and take advantage of warehouse specific functions Knowledge and experience of managing databases organizing tables schemas Comfortable writing technical documentation Excellent communication skills eager to work with a team and collaborate Exposure to Deep Learning Generative modeling and recommendation engines is a plusQualifications amp Technologies 5 years of previous professional experience in a development or data science role using technologies such as Scikit-learn PyMC3 Tensorflow amp PyTorch Past experience building churn survival or CLTV models based on different business requirements Ability to perform data analysis and modeling in Python specifically with Pandas and NumPy Extremely comfortable writing and reading SQL familiarity with complex joins able to understand docs and take advantage of warehouse specific functions Knowledge and experience of managing databases organizing tables schemas Comfortable writing technical documentation Excellent communication skills eager to work with a team and collaborate Experience working with AWS services such as Lambda EC2 Batch SageMaker Exposure to Deep Learning Generative modeling and recommendation engines is a plus Experience working with Graph Databases such as Neo4j and processing Network Effects is a plus
Machine Learning Developer,NA,2023-01-30 12:40:43,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=R2uf2vJEzDUAAAAAAAAAAA%3D%3D&fpstate=tldetail,Talent Arabia,Full-time,NA,Abu Dhabi - United Arab Emirates,"DESCRIPTION
• Work with ADD AI/Analytics Team to priorities Machine Learning Identified Use Cases for Development and Rollout
• Meet and understand current retail/Marketing Requirements and how AI/ML solution will address and automate the decision process.
• Develop AI/ML Programs using Dataiku Solution & Python or open source Tech. with focus to deliver high Quality and accurate ML predetion Model
• Gather additional and external data sources to support the AI/ML Model as desired .
• Support the ML Model and fine Tune it to ensure high accuracy all the time.
• Example of use cases (Customer Segmentation , Product Recommendation , Price Optimization , Retail Customer Personalization Offers , Next Best Location for Business Est., CCTV Computer Vision , NLP and Voice Regontion Solutions)

ADDITIONAL INFO

Looking for Immediate joiners

Job Type - Permanant

Location - United Arab Emirates, Abu Dhabi

Experience - 8 Years

Qualification - Bachelors

Salary - 17000"
Data Scientist,NA,2023-01-30 12:40:43,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=MD3bZkiVvBwAAAAAAAAAAA%3D%3D&fpstate=tldetail,The Emirates Group,Full-time,NA,United Arab Emirates,All jobsUnited Arab Emirates Data Scientist - UAE National - 220002PNShareFacebookTwitterLinkedInPrintApplyJob PurposeLead Data Engineer Enterprise Data amp AnalyticsDo you want to be part of one of the leading and fastest growing global brands based in one of the world s most exciting and vibrant cities A world where ambitions fly high and our people are at the centre of what we do We have an exciting opportunity for talented UAE national graduates to join us in Dubai United Arab Emirates as part of a three phased Enterprise Analytics Data Engineering Graduate Programme The objective of this programme is to select business thinking UAE national graduates having good foundation of Data Engineering technologies and provide them opportunities to build a career path in Enterprise Analytics one of the key functions within an organisation Once you graduate from this programme you will be a qualified data engineer gaining both technical and soft skills to allow you to grow within the... profession or move into a leadership role within the business What will I do You will become an integral part of the Emirates Group Enterprise Analytics Data Engineering team supporting one of the world s most dynamic and diverse aviation groups You will design and engineer self-service ready data amp analytics products empowering and enabling our business with data-driven decision making You will be working with a large size engineering team using most modern technologies to scope plan and implement enterprise data products You will be collaborating with appropriate level of management in the business and other stakeholders Qualifications amp ExperienceWhat do I need Below are some of the skills amp experiences we are looking for Degree or Honours 12 3 or equivalent in Computer Science Computational Mathematics Computer Engineering Software Engineering with a CGPA of 3 0 and above- Excellent conceptual numerical and analytical skills- Strong English communication and presentation skills written and verbal - Aptitude for continuous learning and independent work- Good interpersonal and collaboration skills- Candidates should hold a valid UAE passport and Khulasat Al Qaid- Military services clearance statusThe graduation program candidate requires to complete minimum one internship project related related to data and analytics and work involving statistical analysis and machine learning approaches The project product should be implemented using SQL and Python The duration of the programme is 18 months and is divided into three main phases Phase 1 8 monthsDuring this period you will be inducted to enterprise analytics capabilities data science goals best practices tools and technologies data products and analytics framework You will work within a team complete data science coding and design tasks on problems of medium scope and complexity You will involve in building stable scalable and maintainable data products As part of the learning path you will complete formal certification of Data Science You will be seeking regular feedback from peers and leaders to review and revise learning Phase 2 8 monthsDuring this period you will collaborate with members of the cross-functional team to identify areas of inefficiency and propose suitable solutions You will be effectively contributing to optimal resource utilization cost reduction technical debt remediation service improvement and reuse value You will be seeking timely feedback from cross-functional stakeholders and aligning to data science organization capabilitiesPhase 3 2 months nbsp
"Data Scientist, Machine Learning innovator",NA,2023-01-30 12:40:44,https://www.google.com/search?q=Machine+Learning+Jobs+United+Arab+Emirates&ibp=htl;jobs&sa=X&ved=2ahUKEwjNipeehvD8AhU0FzQIHQYPCbsQutcGKAF6BAgbEAU#htivrt=jobs&htidocid=ch0EIXjzjDYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Standard Chartered Bank,Full-time,NA,Dubai - United Arab Emirates,"Data Scientist, Machine Learning innovator

Job: Data and Analytics

Primary Location: Africa & Middle East-United Arab Emirates-Dubai

Schedule: Full-time

Employee Status: Permanent

Posting Date: 17/Jan/2022, 3:10:06 AM

Unposting Date: 31/Jan/2022, 5:59:00 PM

About Standard Chartered

We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.

To us, good performance is about much more than turning a profit. It’s about showing how you embody our valued behaviours – do the right thing, better together and never settle – as well as our brand promise, Here for good.

We’re committed to promoting equality in the workplace and creating an inclusive and flexible culture – one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.

The Role Responsibilities

Key responsibilities
• We apply scientific... techniques to find patterns in large, noisy and rapidly changing real-world data sets. We are working on the fringes of the possible, innovating new techniques where necessary. We also build on the latest academic research into optimisation methods to find innovative solutions that overcome the simplified assumptions of traditional financial maths. Hence the following are key:
• Design and develop client centric and bank wide ML-powered analytical products
• Provide necessary data analytics support to various internal stakeholders, including (but not limited to): sales, relationship managers, leadership, traders
• Develop machine learning and advanced analytics solutions with the aim of improving yields from the business and enable improved customer experience.
• Work alongside existing analytics teams to enable consistent approach to data requirements
• Work alongside engineering team to make the models production-ready and deployable for use of internal customers

Regulatory & Business Conduct
• Display exemplary conduct and live by the Group’s Values and Code of Conduct.
• Take personal responsibility for embedding the highest standards of ethics, including regulatory and business conduct, across Standard Chartered Bank. This includes understanding and ensuring compliance with, in letter and spirit, all applicable laws, regulations, guidelines and the Group Code of Conduct.
• Lead to achieve the outcomes set out in the Bank’s Conduct Principles
• Effectively and collaboratively identify, escalate, mitigate and resolve risk, conduct and compliance matters.
• Exercise authorities delegated by the Board of Directors and act in accordance with Articles of Association

Key Stakeholders
• Global Head of Digital Channels and Data Analytics, Global Heads of Credit and Rates Trading

Our Ideal Candidate
• MSc./PhD in a quantitative discipline (e.g. mathematics, physics, computer science, engineering)
• Ability to learn new skills (e.g. new programming languages, new business terminology)

Apply now to join the Bank for those with big career ambitions.

To view information on our benefits including our flexible working please visit our career pages. We welcome conversations on flexible working"
